"id"	"成熟期"	"科名"	"保存编号"	"品种名称"	"其他"	"原产地"	"柱头色"	"叶色"	"千粒重"	"类别"	"出苗期"	"样品类型"	"省"	"粒色"	"有效分蘖数"	"保存单位"	"库编号"	"花药色"	"播种期"	"学名"	"统一编号"	"译名"	"属名"	"粒形"	"株高"	"叶鞘色"
"1"	"10.05"	"Gramineae(禾本科)"	"YI19"	"苏16"	"--"	"江苏"	"--"	"绿"	"82.50"	"栽培"	"7.02"	"地方"	"江苏"	"棕黑"	"9.0"	"中国农科院品资所"	"I7C00347"	"黄"	"6.20"	"--"	"ZI000001"	"SU 16"	"Coix(薏苡属)"	"尖卵球"	"71.00"	"绿"
"2"	"10.15"	"Gramineae(禾本科)"	"YI24"	"无锡薏苡"	"--"	"无锡"	"--"	"绿"	"263.50"	"野生"	"7.10"	"野生"	"江苏"	"黄"	"9.0"	"中国农科院品资所"	"I7C00870"	"黄"	"6.20"	"--"	"ZI000002"	"TIAN XI YI YI"	"Coix(薏苡属)"	"扁圆球"	"78.90"	"绿"
"3"	"10.15"	"Gramineae(禾本科)"	"YI25"	"南京薏苡"	"--"	"南京"	"--"	"绿"	"180.00"	"野生"	"7.10"	"野生"	"江苏"	"棕黑"	"12.0"	"中国农科院品资所"	"I7C00911"	"黄"	"6.20"	"--"	"ZI000003"	"NAN JING YI YI"	"Coix(薏苡属)"	"长卵球"	"75.00"	"绿"
"4"	"12.25"	"Gramineae(禾本科)"	"YI20"	"粤1"	"--"	"广东"	"--"	"绿"	"163.30"	"栽培"	"7.03"	"地方"	"广东"	"黄"	"6.0"	"中国农科院品资所"	"I7C00348"	"黄"	"6.20"	"--"	"ZI000004"	"YUE 1"	"Coix(薏苡属)"	"卵球"	"151.60"	"黄绿"
"5"	"12.20"	"Gramineae(禾本科)"	"YI21"	"琼1"	"--"	"海南"	"--"	"绿"	"332.70"	"野生"	"7.11"	"野生"	"海南"	"灰兰"	"12.0"	"中国农科院品资所"	"I7C00912"	"黄"	"6.20"	"--"	"ZI000005"	"QIONG 1"	"Coix(薏苡属)"	"卵球"	"173.00"	"紫绿"
"6"	"12.15"	"Gramineae(禾本科)"	"YI22"	"滇2"	"--"	"云南"	"--"	"绿"	"123.50"	"栽培"	"7.05"	"地方"	"海南"	"棕灰"	"8.0"	"中国农科院品资所"	"I7C00349"	"黄"	"6.20"	"--"	"ZI000006"	"DIAN 2"	"Coix(薏苡属)"	"卵球"	"164.60"	"红绿"
"7"	"10.25"	"Gramineae(禾本科)"	"YI23"	"昌平草珠子"	"--"	"昌平"	"--"	"绿"	"205.00"	"野生"	"7.10"	"野生"	"北京"	"灰黑"	"6.0"	"中国农科院品资所"	"--"	"黄"	"6.20"	"--"	"ZI000007"	"CHANG PING CAO ZHU ZI"	"Coix(薏苡属)"	"卵圆球"	"162.00"	"绿"
"8"	"10.20"	"Gramineae(禾本科)"	"YI26"	"延庆薏米"	"--"	"延庆"	"--"	"绿"	"234.00"	"野生"	"7.10"	"野生"	"北京"	"棕黑"	"7.0"	"中国农科院品资所"	"--"	"黄"	"6.20"	"--"	"ZI000008"	"YAN QING YI MI"	"Coix(薏苡属)"	"卵圆球"	"153.50"	"绿"
"9"	"10.20"	"Gramineae(禾本科)"	"YI28"	"延庆薏苡"	"--"	"延庆"	"--"	"绿"	"210.00"	"野生"	"7.10"	"野生"	"北京"	"棕黑"	"7.0"	"中国农科院品资所"	"--"	"黄"	"6.20"	"--"	"ZI000009"	"YAN QING YI YI"	"Coix(薏苡属)"	"卵圆球"	"150.00"	"绿"
"10"	"11.15"	"Gramineae(禾本科)"	"YI27"	"慈利薏苡"	"--"	"慈利"	"--"	"绿"	"218.20"	"野生"	"7.10"	"野生"	"湖南"	"灰黑"	"13.0"	"中国农科院品资所"	"I7C00871"	"黄"	"6.20"	"--"	"ZI000010"	"CI LI YI YI"	"Coix(薏苡属)"	"卵球"	"120.10"	"红绿"
"11"	"12.25"	"Gramineae(禾本科)"	"YI80"	"薏苡"	"--"	"文昌"	"--"	"绿"	"198.50"	"野生"	"7.10"	"野生"	"海南"	"灰黑"	"12.0"	"中国农科院品资所"	"I7C00938"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000011"	"YI YI"	"Coix(薏苡属)"	"卵球"	"135.70"	"绿"
"12"	"1.05"	"Gramineae(禾本科)"	"YI81"	"薏苡"	"--"	"琼海"	"--"	"绿"	"340.80"	"野生"	"7.10"	"野生"	"海南"	"灰兰"	"9.0"	"中国农科院品资所"	"I7C00350"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000012"	"YI YI"	"Coix(薏苡属)"	"卵球"	"147.80"	"紫绿"
"13"	"1.05"	"Gramineae(禾本科)"	"YI82"	"薏苡"	"--"	"陵水"	"--"	"绿"	"86.10"	"栽培"	"7.03"	"地方"	"海南"	"黄白"	"8.0"	"中国农科院品资所"	"I7C00929"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000013"	"YI YI"	"Coix(薏苡属)"	"长卵球"	"145.00"	"绿"
"14"	"1.10"	"Gramineae(禾本科)"	"YI83"	"薏苡"	"--"	"澄迈"	"--"	"绿"	"237.20"	"野生"	"7.10"	"野生"	"海南"	"灰兰"	"9.0"	"中国农科院品资所"	"I7C00913"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000014"	"YI YI"	"Coix(薏苡属)"	"卵球"	"163.00"	"绿"
"15"	"1.20"	"Gramineae(禾本科)"	"YI84"	"薏苡"	"--"	"白沙"	"--"	"绿"	"77.10"	"野生"	"7.10"	"野生"	"海南"	"灰兰"	"11.0"	"中国农科院品资所"	"I7C00872"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000015"	"YI YI"	"Coix(薏苡属)"	"卵球"	"103.00"	"绿"
"16"	"1.05"	"Gramineae(禾本科)"	"YI85"	"薏苡"	"--"	"三亚"	"--"	"绿"	"85.60"	"栽培"	"7.05"	"地方"	"海南"	"黄白"	"8.0"	"中国农科院品资所"	"--"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000016"	"YI YI"	"Coix(薏苡属)"	"长卵球"	"123.00"	"绿"
"17"	"1.05"	"Gramineae(禾本科)"	"YI86"	"薏苡"	"--"	"琼海"	"--"	"绿"	"245.00"	"野生"	"7.10"	"野生"	"海南"	"灰兰"	"9.0"	"中国农科院品资所"	"I7C00873"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000017"	"YI YI"	"Coix(薏苡属)"	"卵球"	"190.60"	"紫绿"
"18"	"1.15"	"Gramineae(禾本科)"	"YI87"	"薏苡"	"--"	"琼海"	"--"	"绿"	"375.00"	"野生"	"7.10"	"野生"	"海南"	"灰兰"	"10.0"	"中国农科院品资所"	"I7C00874"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000018"	"YI YI"	"Coix(薏苡属)"	"卵圆球"	"171.00"	"紫绿"
"19"	"1.15"	"Gramineae(禾本科)"	"YI88"	"麻薏苡"	"--"	"万宁"	"--"	"绿"	"250.00"	"野生"	"7.10"	"野生"	"海南"	"黑"	"9.0"	"中国农科院品资所"	"--"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000019"	"MA YI YI"	"Coix(薏苡属)"	"卵圆球"	"170.00"	"绿"
"20"	"1.05"	"Gramineae(禾本科)"	"YI89"	"薏米"	"--"	"通什"	"--"	"绿"	"85.00"	"栽培"	"7.05"	"地方"	"海南"	"黄白"	"8.0"	"中国农科院品资所"	"--"	"黄"	"6.20"	"Coix lacryma-jobi L."	"ZI000020"	"YI MI"	"Coix(薏苡属)"	"长卵球"	"125.00"	"绿"
"21"	"11.04"	"Gramineae(禾本科)"	"YI79"	"云南薏苡"	"--"	"沧源"	"紫"	"绿"	"74.10"	"栽培"	"7.07"	"地方"	"云南"	"黄褐"	"3.8"	"中国农科院品资所"	"I7C00352"	"黄"	"6.28"	"--"	"ZI000024"	"YUN NAN YI YI"	"Coix(薏苡属)"	"卵圆球"	"186.80"	"绿"
"22"	"10.25"	"Gramineae(禾本科)"	"YI173"	"伟江薏苡"	"--"	"龙胜"	"紫"	"淡绿"	"90.60"	"栽培"	"7.11"	"地方"	"广西"	"淡黄"	"3.8"	"中国农科院品资所"	"I7C00765"	"黄"	"6.28"	"--"	"ZI000025"	"WEI JIANG YI YI"	"Coix(薏苡属)"	"卵圆球"	"179.80"	"绿紫"
"23"	"10.17"	"Gramineae(禾本科)"	"YI175"	"金水褐薏苡"	"--"	"城步"	"紫"	"淡绿"	"92.00"	"栽培"	"7.06"	"地方"	"湖南"	"黄褐"	"3.0"	"中国农科院品资所"	"I7C00767"	"黄"	"6.28"	"--"	"ZI000027"	"JIN SHUI HE YI YI"	"Coix(薏苡属)"	"卵圆球"	"163.40"	"淡紫"
"24"	"10.17"	"Gramineae(禾本科)"	"YI178"	"隘上褐薏"	"--"	"城步"	"紫"	"淡绿"	"73.70"	"栽培"	"7.05"	"地方"	"湖南"	"黑褐"	"3.2"	"中国农科院品资所"	"--"	"黄"	"6.28"	"--"	"ZI000030"	"AI SHANG HE YI"	"Coix(薏苡属)"	"卵圆球"	"185.00"	"绿"
"25"	"9.23"	"Gramineae(禾本科)"	"I0007"	"草珍珠"	"--"	"宁城"	"白"	"绿"	"231.00"	"栽培"	"5.26"	"地方"	"内蒙"	"淡灰"	"4.5"	"内蒙古赤峰市农科所"	"I7C00877"	"黄"	"5.09"	"--"	"ZI000037"	"CAO ZHEN ZHU"	"Coix(薏苡属)"	"圆球"	"123.00"	"绿"
"26"	"9.10"	"Gramineae(禾本科)"	"I0008"	"草珍珠"	"--"	"宁城"	"白"	"绿"	"258.00"	"栽培"	"5.24"	"地方"	"内蒙"	"淡灰"	"5.6"	"内蒙古赤峰市农科所"	"I7C00357"	"黄"	"5.09"	"--"	"ZI000038"	"CAO ZHEN ZHU"	"Coix(薏苡属)"	"圆球"	"97.00"	"绿"
"27"	"9.13"	"Gramineae(禾本科)"	"I0009"	"草珍珠"	"--"	"敖汉"	"白"	"绿"	"239.00"	"栽培"	"5.25"	"地方"	"内蒙"	"淡灰"	"5.6"	"内蒙古赤峰市农科所"	"I7C00358"	"黄"	"5.09"	"--"	"ZI000039"	"CAO ZHEN ZHU"	"Coix(薏苡属)"	"圆球"	"96.00"	"绿"
"28"	"9.13"	"Gramineae(禾本科)"	"I0010"	"草珠子"	"--"	"赤峰"	"白"	"绿"	"241.00"	"栽培"	"5.25"	"地方"	"内蒙"	"淡灰"	"4.5"	"内蒙古赤峰市农科所"	"I7C00359"	"黄"	"5.09"	"--"	"ZI000040"	"CAO ZHU ZI"	"Coix(薏苡属)"	"圆球"	"99.00"	"绿"
"29"	"9.14"	"Gramineae(禾本科)"	"I0011"	"草珠子"	"--"	"翁牛特"	"白"	"绿"	"229.00"	"栽培"	"5.26"	"地方"	"内蒙"	"淡灰"	"4.5"	"内蒙古赤峰市农科所"	"I7C00360"	"黄"	"5.09"	"--"	"ZI000041"	"CAO ZHU ZI"	"Coix(薏苡属)"	"圆球"	"96.00"	"绿"
