"id"	"成熟期"	"科名"	"保存编号"	"品种名称"	"其他"	"原产地"	"柱头色"	"叶色"	"千粒重"	"类别"	"出苗期"	"样品类型"	"省"	"粒色"	"有效分蘖数"	"保存单位"	"库编号"	"花药色"	"播种期"	"学名"	"统一编号"	"译名"	"属名"	"粒形"	"株高"	"叶鞘色"
"45"	"7.30"	"Gramineae(禾本科)"	"31"	"浙13"	"深褐色纵条纹"	"富阳"	"紫红"	"绿"	"198.95"	"野生"	"5.08"	"野生"	"浙江"	"棕褐"	"5.0"	"江苏省植物所"	"I7C00902"	"黄"	"4.10"	"Coix lacryma-jobi L."	"ZI000078"	"ZHE 13"	"Coix(薏苡属)"	"卵球"	"174.00"	"绿"
"46"	"8.30"	"Gramineae(禾本科)"	"30"	"浙11"	"深褐色纵条斑纹"	"余杭"	"紫红"	"绿"	"194.92"	"野生"	"5.06"	"野生"	"浙江"	"褐"	"6.5"	"江苏省植物所"	"I7C00903"	"黄"	"4.10"	"Coix lacryma-jobi L."	"ZI000079"	"ZHE 11"	"Coix(薏苡属)"	"宽卵球"	"167.00"	"绿"
"47"	"8.30"	"Gramineae(禾本科)"	"33"	"川11"	"不明显暗色斑纹"	"犍为"	"紫红"	"绿"	"166.60"	"野生"	"5.10"	"野生"	"四川"	"灰白"	"5.0"	"江苏省植物所"	"I7C00904"	"黄"	"4.10"	"Coix lacryma-jobi L."	"ZI000080"	"CHUAN 11"	"Coix(薏苡属)"	"椭圆球"	"184.00"	"绿红"
"48"	"7.30"	"Gramineae(禾本科)"	"28"	"浙23"	"有深褐色斑纹"	"绍兴"	"紫红"	"绿"	"195.50"	"野生"	"5.06"	"野生"	"浙江"	"褐"	"7.0"	"江苏省植物所"	"I7C00905"	"黄"	"4.10"	"Coix lacryma-jobi L."	"ZI000081"	"ZHE 23"	"Coix(薏苡属)"	"卵球"	"190.00"	"绿"
"49"	"8.30"	"Gramineae(禾本科)"	"27"	"川12"	"黑褐、兰黑斑纹"	"夹江"	"紫红"	"绿"	"155.04"	"野生"	"5.10"	"野生"	"四川"	"灰白"	"5.0"	"江苏省植物所"	"I7C00906"	"黄"	"4.10"	"Coix lacryma-jobi L."	"ZI000082"	"CHUAN 12"	"Coix(薏苡属)"	"椭圆球"	"176.00"	"绿"
"50"	"7.30"	"Gramineae(禾本科)"	"29"	"浙12"	"深褐色斑纹"	"萧山"	"紫红"	"绿"	"182.80"	"野生"	"5.06"	"野生"	"浙江"	"褐"	"5.0"	"江苏省植物所"	"I7C00907"	"黄"	"4.10"	"Coix lacryma-jobi L."	"ZI000083"	"ZHE 12"	"Coix(薏苡属)"	"宽卵球"	"168.00"	"绿"
"51"	"10.25"	"Gramineae(禾本科)"	"YI188"	"临桂野薏"	"--"	"临桂"	"白"	"绿"	"109.70"	"野生"	"7.08"	"野生"	"广西"	"褐"	"4.4"	"中国农科院品资所"	"I7C00923"	"黄"	"6.29"	"--"	"ZI000084"	"LIN GUI YE YI"	"Coix(薏苡属)"	"卵圆球"	"180.00"	"绿"
"52"	"11.04"	"Gramineae(禾本科)"	"YI189"	"阳朔野苡"	"--"	"阳朔"	"紫"	"绿"	"134.90"	"野生"	"7.08"	"野生"	"广西"	"灰褐"	"4.8"	"中国农科院品资所"	"I7C00924"	"黄"	"6.29"	"--"	"ZI000085"	"YANG SHUO YE YI"	"Coix(薏苡属)"	"卵圆球"	"173.40"	"淡紫"
"53"	"10.14"	"Gramineae(禾本科)"	"01"	"白城薏苡"	"--"	"白城市"	"白"	"绿"	"484.00"	"--"	"6.05"	"地方"	"吉林"	"灰"	"2.0"	"山西省农科院品资所"	"I7C00362"	"黄"	"5.16"	"Coix lacryma-jobi L."	"ZI000086"	"BAI CHENG YI YI"	"Coix(薏苡属)"	"球"	"158.00"	"绿"
"54"	"10.10"	"Gramineae(禾本科)"	"02"	"吉林薏苡"	"--"	"吉林市"	"白"	"绿"	"489.00"	"--"	"6.05"	"地方"	"吉林"	"灰白"	"5.9"	"山西省农科院品资所"	"I7C00878"	"黄"	"5.16"	"Coix lacryma-jobi L."	"ZI000087"	"JI LIN YI YI"	"Coix(薏苡属)"	"球"	"180.00"	"绿"
"55"	"10.08"	"Gramineae(禾本科)"	"08"	"阳曲薏苡"	"--"	"阳曲县"	"白"	"绿"	"110.00"	"--"	"6.02"	"地方"	"山西"	"褐黄"	"4.5"	"山西省农科院品资所"	"I7C00367"	"黄"	"5.16"	"Coix lacryma-jobi L."	"ZI000093"	"YANG QU YI YI"	"Coix(薏苡属)"	"椭圆球"	"154.00"	"紫"
"56"	"10.10"	"Gramineae(禾本科)"	"09"	"太谷薏苡"	"--"	"太谷县"	"白"	"绿"	"89.00"	"--"	"6.02"	"地方"	"山西"	"褐"	"4.6"	"山西省农科院品资所"	"I7C00368"	"黄"	"5.16"	"Coix lacryma-jobi L."	"ZI000094"	"TAI GU YI YI"	"Coix(薏苡属)"	"椭圆球"	"176.00"	"紫"
"57"	"10.10"	"Gramineae(禾本科)"	"10"	"平遥薏苡"	"--"	"平定县"	"白"	"绿"	"111.00"	"--"	"6.02"	"地方"	"山西"	"褐"	"4.2"	"山西省农科院品资所"	"I7C00369"	"黄"	"5.16"	"Coix lacryma-jobi L."	"ZI000095"	"PING YAO YI YI"	"Coix(薏苡属)"	"椭圆球"	"178.00"	"紫"
"58"	"9.26"	"Gramineae(禾本科)"	"薏001"	"石关薏仁米"	"--"	"岳西县"	"紫红"	"绿"	"76.05"	"栽培"	"5.02"	"地方"	"安徽"	"乳白"	"3.4"	"安徽省农科院作物所"	"I7C00370"	"黄"	"4.18"	"Coix lacryma-jobi L."	"ZI000096"	"SHI GUAN YI REN MI"	"Coix(薏苡属)"	"长圆球"	"175"	"紫"
"59"	"10.10"	"Gramineae(禾本科)"	"薏002"	"桐城薏仁米"	"--"	"桐城县"	"白"	"绿"	"226.60"	"野生"	"5.07"	"野生"	"安徽"	"褐花"	"2.4"	"安徽省农科院作物所"	"I7C00930"	"黄"	"4.18"	"Coix agrestis Lour."	"ZI000097"	"TONG CHENG YI REN MI"	"Coix(薏苡属)"	"卵圆球"	"260"	"淡绿"
"60"	"10.01"	"Gramineae(禾本科)"	"薏003"	"陈村薏仁米"	"--"	"泾县"	"紫红"	"深绿"	"113.50"	"栽培"	"5.04"	"地方"	"安徽"	"黑褐"	"2.4"	"安徽省农科院作物所"	"--"	"黄"	"4.18"	"Coix lacryma-jobi L."	"ZI000098"	"JING XIAN CHEN CUN YI REN MI"	"Coix(薏苡属)"	"长圆球"	"180"	"紫"
"61"	"10.10"	"Gramineae(禾本科)"	"薏004"	"七井薏仁米"	"--"	"石召县"	"紫红"	"绿"	"213.10"	"野生"	"5.07"	"野生"	"安徽"	"褐花"	"2.6"	"安徽省农科院作物所"	"I7C00931"	"黄"	"4.18"	"Coix agrestis Lour."	"ZI000099"	"QI JING YI REN MI"	"Coix(薏苡属)"	"卵圆球"	"258"	"绿"
"62"	"9.27"	"Gramineae(禾本科)"	"薏005"	"店前薏仁米"	"--"	"岳西县"	"白"	"绿"	"82.90"	"栽培"	"5.02"	"地方"	"安徽"	"乳白"	"2.7"	"安徽省农科院作物所"	"--"	"黄"	"4.18"	"Coix lacryma-jobi L."	"ZI000100"	"DIAN QIAN YI REN MI"	"Coix(薏苡属)"	"长圆球"	"172"	"淡绿"
"63"	"9.20"	"Gramineae(禾本科)"	"薏006"	"头陀薏仁米"	"--"	"岳西县"	"紫红"	"淡绿"	"68.30"	"栽培"	"5.02"	"地方"	"安徽"	"乳白"	"2.9"	"安徽省农科院作物所"	"I7C00371"	"黄"	"4.18"	"Coix lacryma-jobi L."	"ZI000101"	"TOU TUO YI REN MI"	"Coix(薏苡属)"	"长圆球"	"165.00"	"淡紫"
"64"	"9.27"	"Gramineae(禾本科)"	"薏007"	"薏仁米"	"--"	"潜山县"	"白"	"绿"	"73.00"	"栽培"	"5.02"	"地方"	"安徽"	"乳白"	"3.1"	"安徽省农科院作物所"	"I7C00372"	"黄"	"4.18"	"Coix lacryma-jobi L."	"ZI000102"	"YI REN MI"	"Coix(薏苡属)"	"长圆球"	"168"	"紫"
"65"	"10.17"	"Gramineae(禾本科)"	"YI198"	"洒雨五谷"	"--"	"安龙"	"紫"	"绿"	"69.50"	"栽培"	"7.05"	"地方"	"贵州"	"白"	"3.2"	"中国农科院品资所"	"I7C00790"	"黄"	"6.28"	"--"	"ZI000127"	"SA YU WU GU"	"Coix(薏苡属)"	"卵圆球"	"149.60"	"绿"
