"id"	"备注"	"老荚日数"	"单荚重"	"品种名称"	"株型"	"保存编号"	"译名"	"青荚日数"	"荚形"	"荚壁纤维"	"种子来源"	"荚厚"	"翼瓣次色"	"种子形状"	"种子皮色"	"嫩荚色"	"株高"	"种子大小"	"保存单位"	"亩产"	"翼瓣色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种皮次色"	"抗逆性"	"抗病虫性"	"荚宽"	"品质"	"嫩荚次色"	"荚长"
"15"	"--"	"70"	"6.0"	"秋白豇豆"	"蔓生"	"Vs17(86)"	"QIU BAI JIANG DOU"	"60"	"扁条"	"--"	"安徽农科院园艺所"	"0.5"	"--"	"卵圆"	"浅紫"	"白"	"280.0"	"小"	"安徽农科院园艺所"	"1250"	"浅紫"	"Ⅱ7E0604"	"V07E0015"	"5上-7下"	"早"	"--"	"耐涝"	"强"	"0.8"	"好"	"--"	"33.0"
"16"	"--"	"75"	"8.0"	"长白豇豆"	"蔓生"	"Vs11(87)"	"CHANG BAI JIANG DOU"	"58"	"细长条"	"多"	"安徽潜山县"	"0.2"	"--"	"--"	"黑"	"白"	"245.0"	"小"	"安徽农科院园艺所"	"3000"	"紫"	"Ⅱ7E0598"	"V07E0016"	"5中-8下"	"中"	"--"	"强"	"强"	"0.5"	"差"	"--"	"55.0"
"17"	"--"	"90"	"12.0"	"洋胖子"	"蔓生"	"Vs12(87)"	"YANG PANG ZI"	"52"	"扁条"	"少"	"安徽潜山县"	"0.2"	"--"	"--"	"黑"	"深绿"	"250.0"	"大"	"安徽农科院园艺所"	"2500"	"紫"	"Ⅱ7E0599"	"V07E0017"	"5中-9上"	"中"	"--"	"强"	"强"	"0.6"	"好"	"--"	"50.0"
"18"	"--"	"65"	"15.0"	"紫皮豇"	"蔓生"	"Vs22(87)"	"ZI PI JIANG"	"53"	"扁条"	"多"	"安徽潜山县"	"0.3"	"--"	"--"	"红"	"紫"	"260.0"	"大"	"安徽农科院园艺所"	"4000"	"紫"	"Ⅱ7E0608"	"V07E0018"	"5中-8下"	"中"	"--"	"强"	"强"	"0.7"	"好"	"--"	"57.0"
"19"	"--"	"90"	"13.0"	"寒豆角"	"蔓生"	"Vs18(87)"	"HAN DOU JIAO"	"65"	"--"	"少"	"安徽石台县"	"0.5"	"--"	"--"	"紫"	"白"	"255.0"	"大"	"安徽农科院园艺所"	"2500"	"紫"	"Ⅱ7E0605"	"V07E0019"	"5中-9上"	"迟"	"--"	"强"	"强"	"0.7"	"好"	"--"	"52.0"
"20"	"--"	"120"	"10.0"	"紫躁豇豆"	"蔓生"	"Vs14(86)"	"ZI ZAO JIANG DOU"	"100"	"扁条"	"--"	"安徽寿县"	"0.7"	"--"	"肾形"	"紫"	"紫"	"260.0"	"大"	"安徽农科院园艺所"	"1500"	"紫"	"Ⅱ7E0601"	"V07E0020"	"5上-8上"	"中"	"--"	"耐旱"	"强"	"1.0"	"好"	"--"	"49.0"
"21"	"--"	"110"	"27.4"	"青之豇28-2"	"--"	"88－G-16"	"QING ZHI JIANG 28-2"	"70"	"棍形"	"少"	"福建福州市"	"0.9"	"--"	"肾形"	"褐"	"浅绿"	"307.6"	"中"	"福州市蔬菜科研所"	"1800"	"浅绿"	"Ⅱ7E0680"	"V07E0042"	"3下-4中"	"--"	"--"	"中"	"弱"	"1.0"	"好"	"--"	"71.4"
"22"	"--"	"95"	"28.5"	"义序豇豆"	"--"	"88-G-14"	"YI XU JIANG DOU"	"70"	"棍形"	"少"	"福建福州市"	"1.0"	"--"	"肾形"	"褐"	"绿"	"276.0"	"中"	"福州市蔬菜科研所"	"2250"	"浅紫"	"Ⅱ7E0670"	"V07E0043"	"3上-4中"	"--"	"--"	"强"	"强"	"0.8"	"好"	"--"	"71.6"
"23"	"--"	"95"	"5.9"	"青皮1号"	"--"	"87-G-13"	"QING PI 1 HAO"	"70"	"细长条"	"少"	"福建福州市"	"0.8"	"紫"	"肾形"	"黑"	"绿"	"410.2"	"中"	"福州市蔬菜科研所"	"2000"	"浅兰"	"Ⅱ7E0217"	"V07E0044"	"3上-4中"	"--"	"--"	"中"	"中"	"0.8"	"好"	"紫"	"69.2"
"24"	"--"	"40"	"17.5"	"青豇豆"	"蔓生"	"87-G-1"	"QING JIANG DOU"	"59"	"--"	"--"	"福建福州市"	"0.5"	"紫"	"肾形"	"褐"	"--"	"289.0"	"--"	"福州市蔬菜科研所"	"2350"	"浅兰"	"Ⅱ7E0216"	"V07E0045"	"6上-6中11上"	"中"	"--"	"弱"	"弱"	"0.6"	"好"	"--"	"65.0"
