"id"	"备注"	"老荚日数"	"单荚重"	"品种名称"	"株型"	"保存编号"	"译名"	"青荚日数"	"荚形"	"荚壁纤维"	"种子来源"	"荚厚"	"翼瓣次色"	"种子形状"	"种子皮色"	"嫩荚色"	"株高"	"种子大小"	"保存单位"	"亩产"	"翼瓣色"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种皮次色"	"抗逆性"	"抗病虫性"	"荚宽"	"品质"	"嫩荚次色"	"荚长"
"60"	"--"	"71"	"30.1"	"粤夏3-1"	"蔓生"	"G42-157"	"YUE XIA 3-1"	"65"	"细长条"	"少"	"广东农科院"	"0.9"	"--"	"肾形"	"褐"	"--"	"--"	"中"	"广东农科院经作所"	"3200"	"浅紫"	"Ⅱ7E0131"	"V07E0196"	"3-9"	"--"	"--"	"中"	"中"	"0.9"	"好"	"--"	"51.3"
"61"	"--"	"63"	"27.5"	"长荚锦穗"	"蔓生"	"G42-150"	"CHANG JIA JIN SUI"	"56"	"细长条"	"少"	"广东农科院"	"0.6"	"--"	"肾形"	"黑"	"--"	"--"	"中"	"广东农科院经作所"	"2000"	"白"	"Ⅱ7E0264"	"V07E0197"	"3-8"	"--"	"白"	"强"	"强"	"0.7"	"好"	"--"	"61.0"
"62"	"*"	"85"	"26.0"	"粤夏八号"	"蔓生"	"G42-111"	"YUE XIA BA HAO"	"65"	"细长条"	"中"	"广东农科院"	"1.0"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1850"	"浅紫"	"Ⅱ7E0117"	"V07E0198"	"2-5播"	"--"	"--"	"中"	"中"	"1.0"	"好"	"--"	"51.0"
"63"	"--"	"60"	"15.9"	"快四三号"	"蔓生"	"G42-163"	"KUAI SI SAN HAO"	"54"	"细长条"	"中"	"广东农科院"	"0.5"	"--"	"肾形"	"赤"	"--"	"--"	"中"	"广东农科院经作所"	"2800"	"浅紫"	"Ⅱ7E0150"	"V07E0199"	"2-9"	"--"	"--"	"中"	"中"	"0.6"	"好"	"--"	"48.0"
"64"	"*选育品种"	"70"	"30.0"	"翡翠"	"蔓生"	"G42-90"	"FEI CUI"	"48"	"细长条"	"中"	"广东农科院"	"0.9"	"--"	"肾形"	"黑"	"绿"	"--"	"中"	"广东农科院经作所"	"2200"	"浅紫"	"Ⅱ7E0103"	"V07E0200"	"2-9播"	"--"	"白"	"强"	"中"	"1.0"	"好"	"--"	"49.0"
"65"	"--"	"64"	"25.0"	"快四二号"	"蔓生"	"G42-162"	"KUAI SI ER HAO"	"59"	"细长条"	"中"	"广东农科院"	"0.6"	"--"	"肾形"	"赤"	"--"	"--"	"中"	"广东农科院经作所"	"2800"	"浅紫"	"Ⅱ7E0149"	"V07E0201"	"2-9"	"--"	"--"	"中"	"中"	"0.7"	"好"	"--"	"58.0"
"66"	"*"	"75"	"24.0"	"粤夏十号"	"蔓生"	"G42-110"	"YUE XIA SHI HAO"	"55"	"细长条"	"中"	"广东农科院"	"0.8"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1800"	"浅紫"	"Ⅱ7E0116"	"V07E0202"	"2-6播"	"--"	"--"	"强"	"中"	"0.8"	"好"	"--"	"53.0"
"67"	"--"	"65"	"18.0"	"蛇豆"	"蔓生"	"G42-31"	"SHE DOU"	"60"	"棍形"	"少"	"广东农科院"	"0.4"	"--"	"肾形"	"赤"	"--"	"--"	"中"	"广东农科院经作所"	"4000"	"浅紫"	"Ⅱ7E0281"	"V07E0203"	"3-9"	"--"	"--"	"强"	"强"	"0.4"	"好"	"--"	"57.0"
"68"	"*"	"--"	"21.0"	"七叶仔"	"蔓生"	"G42-11"	"QI YE ZI"	"43"	"棍形"	"少"	"广东农科院"	"0.8"	"--"	"肾形"	"紫"	"浅绿"	"--"	"中"	"广东农科院经作所"	"2250"	"浅紫"	"Ⅱ7E0082"	"V07E0204"	"春2-3播秋7-8播"	"--"	"--"	"较耐雨水"	"抗锈病弱"	"0.9"	"好"	"绿"	"39.0"
"69"	"--"	"68"	"17.0"	"一揭上"	"蔓生"	"G42-42"	"YI JIE SHANG"	"60"	"细长条"	"中"	"广东农科院"	"0.6"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"2000"	"浅紫"	"Ⅱ7E0287"	"V07E0205"	"3-9"	"--"	"白"	"中"	"中"	"0.6"	"好"	"--"	"50.0"
"70"	"*"	"85"	"21.0"	"粤夏六号"	"蔓生"	"G42-112"	"YUE XIA LIU HAO"	"65"	"细长条"	"中"	"广东农科院"	"0.9"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1850"	"浅紫"	"Ⅱ7E0118"	"V07E0207"	"2-5播"	"--"	"--"	"中"	"中"	"0.9"	"好"	"--"	"44.0"
"71"	"--"	"76"	"20.0"	"二七一号"	"蔓生"	"G42-133"	"ER QI YI HAO"	"71"	"细长条"	"少"	"广东农科院"	"0.6"	"--"	"肾形"	"赤"	"--"	"--"	"中"	"广东农科院经作所"	"1500"	"紫"	"Ⅱ7E0307"	"V07E0208"	"3-8"	"--"	"--"	"中"	"中"	"0.5"	"好"	"--"	"30.0"
"72"	"*"	"70"	"30.0"	"粤夏二号"	"蔓生"	"G42-114"	"YUE XIA ER HAO"	"50"	"细长条"	"中"	"广东农科院"	"0.9"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1850"	"浅紫"	"Ⅱ7E0258"	"V07E0209"	"2-8播"	"--"	"白"	"中"	"中"	"1.0"	"好"	"--"	"52.0"
"73"	"*"	"85"	"19.0"	"新桥13号豆角"	"蔓生"	"G42-62"	"XIN QIAO 13 HAO DOU JIAO"	"65"	"细长条"	"中"	"广东新会县"	"0.8"	"--"	"肾形"	"棕"	"浅绿"	"--"	"大"	"广东农科院经作所"	"1750"	"浅紫"	"Ⅱ7E0091"	"V07E0225"	"2-8播"	"--"	"白"	"强"	"强"	"0.8"	"好"	"--"	"44.0"
"74"	"--"	"52"	"7.0"	"菲6"	"半蔓生"	"G42-232"	"FEI 6"	"45"	"扁条"	"多"	"广东引自菲律宾"	"0.8"	"--"	"肾形"	"红"	"浅绿"	"--"	"中"	"广东农科院经作所"	"600"	"白"	"Ⅱ7E1048"	"V07E0228"	"4-8"	"--"	"白"	"中"	"中"	"0.9"	"好"	"--"	"20.5"
"75"	"--"	"55"	"4.0"	"菲8"	"半蔓生"	"G42-233"	"FEI 8"	"46"	"扁条"	"中"	"广东引自菲律宾"	"0.6"	"紫"	"肾形"	"褐"	"浅绿"	"--"	"小"	"广东农科院经作所"	"550"	"浅兰"	"Ⅱ7E1004"	"V07E0229"	"4-8"	"--"	"--"	"强"	"强"	"0.7"	"好"	"--"	"16.5"
"76"	"--"	"63"	"3.8"	"菲7"	"蔓生"	"G42-239"	"FEI 7"	"55"	"扁条"	"中"	"广东引自菲律宾"	"0.7"	"紫"	"肾形"	"浅红"	"浅绿"	"--"	"中"	"广东农科院经作所"	"500"	"浅兰"	"Ⅱ7E0962"	"V07E0230"	"4-9"	"--"	"--"	"强"	"强"	"0.7"	"好"	"--"	"15.5"
"77"	"--"	"57"	"3.0"	"菲5"	"半蔓生"	"G42-231"	"FEI 5"	"48"	"扁条"	"多"	"广东引自菲律宾"	"0.6"	"紫"	"肾形"	"紫"	"绿"	"--"	"小"	"广东农科院经作所"	"450"	"浅兰"	"Ⅱ7E1003"	"V07E0231"	"4-8"	"--"	"--"	"强"	"强"	"0.6"	"好"	"--"	"17.5"
"78"	"*引进品种"	"85"	"26.0"	"桂林白豆"	"蔓生"	"G42-130"	"GUI LIN BAI DOU"	"65"	"细长条"	"中"	"广东引自广西"	"0.7"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1700"	"浅紫"	"Ⅱ7E0262"	"V07E0232"	"3-6播"	"--"	"--"	"中"	"中"	"0.7"	"好"	"--"	"81.0"
"79"	"*引自浙江杭"	"75"	"16.0"	"杭州青线豇"	"蔓生"	"G42-41"	"HANG ZHOU QING XIAN JIANG"	"55"	"细长条"	"中"	"广东引自杭州"	"0.8"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1600"	"浅紫"	"Ⅱ7E0250"	"V07E0233"	"2-9播"	"--"	"--"	"弱"	"弱"	"0.7"	"好"	"--"	"55.0"
"80"	"--"	"68"	"20.0"	"北引二号"	"蔓生"	"G42-144"	"BEI YIN ER HAO"	"60"	"扁条"	"中"	"广东引自河北"	"0.7"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"1000"	"浅紫"	"Ⅱ7E0554"	"V07E0234"	"4-8"	"--"	"--"	"中"	"中"	"0.5"	"好"	"--"	"60.0"
"81"	"--"	"68"	"15.0"	"北引一号"	"蔓生"	"G42-147"	"BEI YIN YI HAO"	"58"	"扁条"	"中"	"广东引自河北"	"0.7"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"1200"	"浅紫"	"Ⅱ7E0557"	"V07E0235"	"4-8"	"--"	"--"	"中"	"中"	"0.5"	"好"	"--"	"45.0"
"82"	"种子产量"	"85"	"0.7"	"一点红"	"矮生"	"G42-124"	"YI DIAN HONG"	"--"	"扁条"	"--"	"广东引自江西"	"0.2"	"--"	"肾形"	"褐"	"深绿"	"36.7"	"小"	"广东农科院经作所"	"100"	"红"	"Ⅱ7E0260"	"V07E0236"	"8中-11中"	"早中"	"--"	"耐热耐旱"	"强"	"0.7"	"--"	"--"	"3.0"
"83"	"*引进品种"	"85"	"22.0"	"江西白豆"	"蔓生"	"G42-129"	"JIANG XI BAI DOU"	"65"	"细长条"	"中"	"广东引自江西"	"0.6"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1700"	"浅紫"	"Ⅱ7E0305"	"V07E0237"	"3-6播"	"--"	"--"	"中"	"中"	"0.6"	"好"	"--"	"52.0"
"84"	"*"	"75"	"30.0"	"茶罗米一"	"蔓生"	"G42-131"	"CHA LUO MI YI"	"55"	"细长条"	"中"	"广东引自日本"	"0.7"	"紫"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1700"	"浅兰"	"Ⅱ7E0306"	"V07E0238"	"2-7播"	"--"	"--"	"中"	"中"	"0.8"	"好"	"--"	"71.0"
"85"	"*"	"75"	"20.0"	"赤种三尺长虹豆"	"蔓生"	"G42-135"	"CHI ZHONG SAN CHI CHANG HONG DOU"	"55"	"细长条"	"中"	"广东引自日本"	"0.7"	"--"	"肾形"	"棕"	"黄"	"--"	"中"	"广东农科院经作所"	"1600"	"浅紫"	"Ⅱ7E0127"	"V07E0239"	"3-6播"	"--"	"--"	"中"	"中"	"0.5"	"好"	"--"	"55.0"
"86"	"--"	"66"	"16.0"	"陕引六号"	"蔓生"	"G42-148"	"SHAN YIN LIU HAO"	"58"	"细长条"	"中"	"广东引自陕西"	"0.5"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"1500"	"浅紫"	"Ⅱ7E0558"	"V07E0240"	"3-8"	"--"	"--"	"中"	"中"	"0.5"	"好"	"--"	"60.0"
"87"	"--"	"68"	"18.0"	"陕引三号"	"蔓生"	"G42-145"	"SHAN YIN SAN HAO"	"59"	"扁条"	"中"	"广东引自陕西"	"0.6"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"2000"	"浅紫"	"Ⅱ7E0555"	"V07E0241"	"4-8"	"--"	"--"	"强"	"强"	"0.5"	"好"	"--"	"50.0"
"88"	"--"	"69"	"15.0"	"海豇"	"蔓生"	"G42-128"	"HAI JIANG"	"60"	"细长条"	"多"	"广东引自上海"	"0.6"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"2000"	"浅紫"	"Ⅱ7E0516"	"V07E0242"	"3-6"	"--"	"--"	"强"	"强"	"0.5"	"好"	"--"	"62.5"
"89"	"--"	"54"	"20.0"	"上海白豆角"	"蔓生"	"G42-175"	"SHANG HAI BAI DOU JIAO"	"49"	"细长条"	"中"	"广东引自上海"	"0.5"	"紫"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"3200"	"浅兰"	"Ⅱ7E0566"	"V07E0243"	"3-8"	"--"	"--"	"强"	"强"	"0.6"	"好"	"--"	"53.7"
"90"	"--"	"68"	"18.0"	"张圹豆角"	"蔓生"	"G42-69"	"ZHANG KUANG DOU JIAO"	"59"	"细长条"	"中"	"广东引自上海"	"0.5"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"2000"	"浅紫"	"Ⅱ7E0841"	"V07E0244"	"4-8"	"--"	"--"	"中"	"中"	"0.5"	"好"	"--"	"65.0"
"91"	"--"	"83"	"5.0"	"台湾白豆"	"蔓生"	"G42-138"	"TAI WAN BAI DOU"	"76"	"细长条"	"少"	"广东引自台湾"	"0.7"	"--"	"肾形"	"白"	"--"	"--"	"中"	"广东农科院经作所"	"3000"	"白"	"Ⅱ7E0308"	"V07E0245"	"3-8"	"--"	"--"	"中"	"中"	"0.9"	"好"	"--"	"55.0"
"92"	"--"	"77"	"20.0"	"交黑白豆"	"蔓生"	"G42-126"	"JIAO HEI BAI DOU"	"68"	"细长条"	"少"	"广东引自台湾"	"0.7"	"--"	"肾形"	"黑"	"--"	"--"	"中"	"广东农科院经作所"	"1000"	"白"	"Ⅱ7E0261"	"V07E0246"	"3-6"	"--"	"白"	"中"	"中"	"0.7"	"好"	"--"	"52.5"
"93"	"--"	"58"	"29.0"	"YB-2(全绿白仁)"	"--"	"G42-252"	"YB-2( QUAN LU BAI REN )"	"52"	"细长条"	"中"	"广东引自台湾"	"0.9"	"--"	"肾形"	"白"	"浅绿"	"--"	"中"	"广东农科院经作所"	"420"	"白"	"Ⅱ7E1062"	"V07E0247"	"3-8"	"--"	"--"	"中"	"弱"	"0.9"	"好"	"--"	"40.0"
"94"	"--"	"57"	"12.0"	"黑仁白豆角"	"--"	"G42-253"	"HEI REN BAI DOU JIAO"	"50"	"扁条"	"中"	"广东引自台湾"	"0.7"	"--"	"肾形"	"黑"	"绿"	"--"	"中"	"广东农科院经作所"	"500"	"红"	"Ⅱ7E1064"	"V07E0248"	"3-5"	"--"	"--"	"中"	"中"	"1.2"	"好"	"--"	"16.0"
"95"	"*"	"85"	"27.0"	"泰国豇豆"	"蔓生"	"G42-83"	"TAI GUO JIANG DOU"	"65"	"细长条"	"中"	"广东引自泰国"	"1.0"	"--"	"肾形"	"棕"	"绿"	"--"	"大"	"广东农科院经作所"	"1300"	"浅兰"	"Ⅱ7E0099"	"V07E0249"	"3-6播"	"--"	"白"	"弱"	"中"	"1.0"	"好"	"--"	"60.0"
"96"	"*引自天津"	"75"	"12.0"	"天津线青"	"蔓生"	"G42-37"	"TIAN JIN XIAN QING"	"55"	"细长条"	"多"	"广东引自天津"	"0.7"	"--"	"肾形"	"棕"	"绿"	"--"	"小"	"广东农科院经作所"	"1400"	"浅紫"	"Ⅱ7E0590"	"V07E0250"	"春"	"--"	"白"	"中"	"弱"	"0.7"	"好"	"--"	"46.0"
"97"	"--"	"68"	"15.0"	"天引四号"	"蔓生"	"G42-146"	"TIAN YIN SI HAO"	"60"	"棍形"	"中"	"广东引自天津"	"0.5"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"1500"	"浅紫"	"Ⅱ7E0556"	"V07E0251"	"4-8"	"--"	"--"	"中"	"中"	"0.5"	"好"	"--"	"50.0"
"98"	"--"	"66"	"36.0"	"902豆角"	"蔓生"	"G42-192"	"902 DOU JIAO"	"61"	"扁条"	"少"	"广东引自香港"	"1.0"	"--"	"肾形"	"白"	"--"	"--"	"中"	"广东农科院经作所"	"3000"	"白"	"Ⅱ7E0583"	"V07E0252"	"3-6"	"--"	"--"	"强"	"强"	"0.8"	"好"	"--"	"61.0"
"99"	"--"	"78"	"15.0"	"蕉径白豆"	"蔓生"	"G42-61"	"JIAO JING BAI DOU"	"68"	"扁条"	"少"	"广东引自香港"	"0.7"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"1000"	"浅紫"	"Ⅱ7E0293"	"V07E0253"	"3-8"	"--"	"--"	"中"	"中"	"0.5"	"好"	"--"	"45.0"
"100"	"*引进品种"	"85"	"18.0"	"香港粉豆"	"蔓生"	"G42-97"	"XIANG GANG FEN DOU"	"65"	"细长条"	"中"	"广东引自英国"	"0.7"	"--"	"肾形"	"棕"	"浅绿"	"--"	"中"	"广东农科院经作所"	"1750"	"浅紫"	"Ⅱ7E0109"	"V07E0254"	"2-4播"	"--"	"--"	"中"	"中"	"0.7"	"好"	"--"	"46.0"
"101"	"--"	"64"	"18.3"	"之豇28-2B"	"蔓生"	"G42-165"	"ZHI JIANG 28-2B"	"58"	"细长条"	"多"	"广东引自浙江"	"0.5"	"--"	"肾形"	"赤"	"--"	"--"	"中"	"广东农科院经作所"	"3000"	"紫"	"Ⅱ7E0133"	"V07E0255"	"4-8"	"--"	"--"	"中"	"中"	"0.5"	"好"	"--"	"55.0"
"102"	"*引自浙江"	"75"	"16.0"	"浙江青"	"蔓生"	"G42-44"	"ZHE JIANG QING"	"55"	"细长条"	"少"	"广东引自浙江"	"0.7"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1650"	"浅紫"	"Ⅱ7E0251"	"V07E0256"	"2-7播"	"--"	"--"	"强"	"强"	"0.7"	"好"	"--"	"54.0"
"103"	"*引自浙江"	"75"	"21.0"	"浙大青"	"蔓生"	"G42-45"	"ZHE DA QING"	"55"	"细长条"	"少"	"广东引自浙江"	"0.9"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1750"	"浅紫"	"Ⅱ7E0289"	"V07E0257"	"3-8播"	"--"	"--"	"强"	"强"	"0.9"	"好"	"--"	"57.0"
"104"	"*引自浙江"	"75"	"17.0"	"浙江青皮"	"蔓生"	"G42-43"	"ZHE JIANG QING PI"	"55"	"细长条"	"中"	"广东引自浙江"	"0.8"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1800"	"浅紫"	"Ⅱ7E0288"	"V07E0258"	"2-7播"	"--"	"--"	"强"	"强"	"0.8"	"好"	"--"	"54.0"
"105"	"--"	"70"	"25.0"	"增城黑仁"	"蔓生"	"G42-140"	"ZENG CHENG HEI REN"	"62"	"细长条"	"多"	"广东增城县"	"0.7"	"--"	"肾形"	"黑"	"--"	"--"	"中"	"广东农科院经作所"	"2400"	"紫"	"Ⅱ7E0310"	"V07E0259"	"3-8"	"--"	"--"	"强"	"强"	"0.7"	"好"	"--"	"57.5"
"106"	"--"	"59"	"29.0"	"元洲青豆"	"蔓生"	"G42-170"	"YUAN ZHOU QING DOU"	"54"	"细长条"	"少"	"广东增城县"	"0.6"	"--"	"肾形"	"棕"	"--"	"--"	"中"	"广东农科院经作所"	"4000"	"浅紫"	"Ⅱ7E0561"	"V07E0260"	"2-9"	"--"	"--"	"强"	"强"	"0.6"	"好"	"--"	"53.8"
"107"	"种子产量"	"52"	"5.0"	"红豆"	"--"	"G42-255"	"HONG DOU"	"45"	"扁条"	"中"	"广东湛江"	"0.6"	"--"	"肾形"	"红"	"绿"	"--"	"中"	"广东农科院经作所"	"150"	"浅紫"	"Ⅱ7E1099"	"V07E0261"	"3-8"	"--"	"--"	"中"	"弱"	"0.8"	"好"	"--"	"16.0"
"108"	"--"	"54"	"4.0"	"湛江眉豆"	"半蔓生"	"G42-235"	"ZHAN JIANG MEI DOU"	"47"	"扁条"	"中"	"广东湛江市"	"0.6"	"--"	"肾形"	"白"	"浅绿"	"--"	"小"	"广东农科院经作所"	"--"	"白"	"Ⅱ7E0948"	"V07E0262"	"4-8"	"--"	"--"	"中"	"中"	"0.7"	"好"	"--"	"17.5"
"109"	"*"	"85"	"18.0"	"青皮豆角"	"蔓生"	"G42-87"	"QING PI DOU JIAO"	"65"	"细长条"	"少"	"广东湛江市"	"0.6"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1800"	"浅紫"	"Ⅱ7E0299"	"V07E0263"	"2-8播"	"--"	"--"	"中"	"中"	"0.6"	"好"	"--"	"40.0"
"110"	"*"	"80"	"19.0"	"寸金青皮豆角"	"蔓生"	"G42-92"	"CUN JIN QING PI DOU JIAO"	"60"	"细长条"	"中"	"广东湛江市"	"0.6"	"--"	"肾形"	"棕"	"绿"	"--"	"中"	"广东农科院经作所"	"1750"	"浅紫"	"Ⅱ7E0257"	"V07E0264"	"2-8播"	"--"	"--"	"中"	"中"	"0.6"	"好"	"--"	"41.0"
"111"	"--"	"62"	"25.0"	"齐尾青(增城)"	"蔓生"	"G42-159"	"QI WEI QING (ZENG CHENG )"	"58"	"细长条"	"少"	"广州增城县"	"0.5"	"--"	"肾形"	"赤"	"--"	"--"	"中"	"广东农科院经作所"	"3000"	"浅紫"	"Ⅱ7E0146"	"V07E0294"	"3-8"	"--"	"--"	"强"	"强"	"0.6"	"好"	"--"	"55.0"
"112"	"*"	"130"	"25.0"	"青豇豆"	"蔓生"	"7-E-22-138"	"QING JIANG DOU"	"100"	"细长条"	"少"	"贵州安顺市"	"0.8"	"--"	"卵圆"	"黄"	"浅绿"	"275.0"	"大"	"贵州农科院园艺所"	"2500"	"浅紫"	"Ⅱ7E0717"	"V07E0295"	"4中-7下"	"--"	"--"	"耐旱"	"--"	"0.8"	"好"	"--"	"48.0"
"113"	"*"	"135"	"25.0"	"红豇豆"	"蔓生"	"7-E-22-137"	"HONG JIANG DOU"	"105"	"细长条"	"少"	"贵州安顺市"	"0.7"	"--"	"肾形"	"褐"	"深紫"	"315.0"	"中"	"贵州农科院园艺所"	"2600"	"紫"	"Ⅱ7E0716"	"V07E0296"	"4中-7下"	"--"	"--"	"耐旱"	"--"	"0.7"	"好"	"--"	"40.0"
"114"	"--"	"--"	"--"	"胖子豆"	"蔓生"	"7-E-22-49"	"PANG ZI DOU"	"98"	"棍形"	"--"	"贵州赤水县"	"1.1"	"--"	"肾形"	"褐"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0733"	"V07E0297"	"3下-7下"	"中"	"--"	"弱"	"中"	"1.2"	"好"	"--"	"44.0"
"115"	"--"	"--"	"--"	"乌梢豇"	"蔓生"	"7-E-22-90"	"WU SHAO JIANG"	"94"	"棍形"	"--"	"贵州赤水县"	"0.9"	"--"	"肾形"	"褐"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0740"	"V07E0298"	"3下-7下"	"早"	"--"	"中"	"中"	"1.0"	"好"	"--"	"41.0"
"116"	"--"	"--"	"--"	"天豇(2)"	"蔓生"	"7-E-22-110"	"TIAN JIANG (2)"	"--"	"棍形"	"--"	"贵州水城市"	"0.4"	"--"	"截形"	"黑"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0376"	"V07E0338"	"4中-8"	"--"	"--"	"中"	"--"	"0.5"	"--"	"--"	"10.0"
"117"	"--"	"--"	"9.0"	"牵藤饭豆"	"半蔓生"	"7-E-22-120"	"QIAN TENG FAN DOU"	"120"	"棍形"	"--"	"贵州水城市"	"0.8"	"--"	"肾形"	"黑"	"绿"	"--"	"--"	"贵州农科院园艺所"	"--"	"浅黄"	"Ⅱ7E0977"	"V07E0339"	"4-7"	"中"	"--"	"中"	"中"	"0.7"	"差"	"--"	"28.0"
"118"	"--"	"--"	"--"	"天豇(3)"	"蔓生"	"7-E-22-111"	"TIAN JIANG (3)"	"--"	"棍形"	"--"	"贵州水城市?"	"0.5"	"--"	"截形"	"浅黄"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0377"	"V07E0340"	"4中-8"	"中"	"--"	"中"	"--"	"0.7"	"--"	"--"	"14.0"
"119"	"--"	"--"	"--"	"天豇(5)"	"蔓生"	"7-E-22-114"	"TIAN JIANG (5)"	"--"	"棍形"	"--"	"贵州水城县"	"0.6"	"--"	"卵圆"	"红"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0729"	"V07E0341"	"3下-7下"	"--"	"--"	"强"	"强"	"0.8"	"差"	"--"	"12.0"
"120"	"--"	"--"	"--"	"打米豇"	"蔓生"	"7-E-22-121"	"DA MI JIANG"	"--"	"棍形"	"--"	"贵州水城县"	"0.6"	"--"	"肾形"	"浅黄"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0731"	"V07E0342"	"3下-7下"	"--"	"--"	"强"	"强"	"0.7"	"差"	"--"	"10.5"
"121"	"--"	"--"	"--"	"天豇(7)"	"蔓生"	"7-E-22-116"	"TIAN JIANG (7)"	"--"	"--"	"--"	"贵州水城县"	"0.7"	"--"	"卵圆"	"红"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0730"	"V07E0343"	"3下-7下"	"--"	"--"	"强"	"强"	"0.8"	"差"	"--"	"11.6"
"122"	"--"	"--"	"--"	"天豇(4)"	"蔓生"	"7-E-22-113"	"TIAN JIANG (4)"	"--"	"棍形"	"--"	"贵州水城县"	"0.5"	"--"	"--"	"红"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0728"	"V07E0344"	"3下-7下"	"--"	"--"	"强"	"强"	"0.7"	"差"	"--"	"14.5"
"123"	"--"	"--"	"--"	"墩豇"	"蔓生"	"7-E-22-112"	"DUN JIANG"	"95"	"棍形"	"--"	"贵州水城县"	"0.8"	"--"	"肾形"	"褐"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0727"	"V07E0345"	"3下-7下"	"中"	"--"	"强"	"强"	"0.9"	"好"	"--"	"58.0"
"124"	"--"	"--"	"--"	"青豇豆"	"蔓生"	"7-E-22-33"	"QING JIANG DOU"	"105"	"棍形"	"--"	"贵州思南县"	"0.9"	"--"	"肾形"	"黑"	"--"	"--"	"--"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0725"	"V07E0346"	"3下-7下"	"晚"	"--"	"强"	"强"	"0.9"	"好"	"--"	"70.0"
"125"	"--"	"126"	"15.0"	"紫云迟豇豆"	"蔓生"	"7-E-22-96"	"ZI YUN CHI JIANG DOU"	"89"	"细长条"	"--"	"贵州紫云县"	"0.8"	"--"	"肾形"	"浅褐"	"--"	"--"	"中"	"贵州农科院园艺所"	"--"	"紫"	"Ⅱ7E0395"	"V07E0367"	"4中-5上"	"中晚"	"--"	"强"	"强"	"0.8"	"--"	"--"	"34.0"
"126"	"*"	"130"	"30.0"	"花豇豆"	"蔓生"	"7-E-22-64"	"HUA JIANG DOU"	"100"	"棍形"	"多"	"贵州遵义市"	"--"	"--"	"肾形"	"褐"	"浅绿"	"--"	"--"	"贵州农科院园艺所"	"--"	"红"	"Ⅱ7E0372"	"V07E0368"	"3-10"	"--"	"--"	"强"	"强"	"--"	"差"	"--"	"30.0"
"127"	"*"	"120"	"20.0"	"青线豇"	"蔓生"	"7-E-22-89"	"QING XIAN JIANG"	"90"	"细长条"	"少"	"贵州遵义市"	"0.8"	"--"	"肾形"	"棕"	"--"	"250.0"	"小"	"贵州农科院园艺所"	"1750"	"--"	"Ⅱ7E0393"	"V07E0369"	"4上-7上"	"--"	"--"	"耐旱热"	"--"	"0.8"	"好"	"--"	"50.0"
