"id"	"科名"	"品种名称"	"株精麻重"	"炭疽病"	"根结线虫病"	"中茎色"	"纤维亩产"	"株鲜茎重"	"保存单位"	"省"	"开花期"	"播种期"	"收种期"	"统一编号"	"出苗期"	"学名"	"花萼色"	"种千粒重"	"原麻亩产"	"花冠色"	"拉力"	"茎粗"	"现蕾期"	"属名"	"株原麻重"	"库编号"	"株干皮重"	"苗茎色"	"原产地"	"叶色"	"支数"	"花喉色"	"鲜皮厚"	"全生育天数"	"后茎色"	"干皮精麻率"	"株鲜皮重"	"备注"	"纤维收获期"	"叶柄色"	"译名"	"生长天数"	"种子来源"	"精麻亩产"	"花冠大小"	"株高"	"鲜茎干皮率"	"叶型"
"121"	"Malvaceae(棉葵科)"	"EGY(2)"	"30.0"	"中"	"弱"	"淡红"	"241"	"550.0"	"麻类所"	"国外"	"93.9.26"	"92.5.2"	"93.11.20"	"00000520"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"400.0"	"黄"	"37.0"	"1.83"	"93.9.1"	"Hibiscus(木槿属)"	"--"	"--"	"53.0"	"红"	"EGY"	"绿"	"232.0"	"红"	"1.22"	"198"	"淡红"	"--"	"195.0"	"--"	"93.10.5"	"淡红"	"EGY(2)"	"152"	"--"	"--"	"中"	"380"	"--"	"裂"
"122"	"Malvaceae(棉葵科)"	"TRA143"	"34.0"	"弱"	"弱"	"淡红"	"242"	"560.0"	"麻类所"	"国外"	"93.10.16"	"92.5.2"	"93.12.15"	"00000521"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"29.0"	"400.0"	"黄"	"43.0"	"1.94"	"93.9.20"	"Hibiscus(木槿属)"	"--"	"I3F00416"	"59.0"	"红"	"TRA"	"绿"	"241.0"	"红"	"1.27"	"223"	"淡红"	"--"	"210.0"	"--"	"93.10.5"	"淡红"	"TRA143"	"152"	"--"	"--"	"大"	"392"	"--"	"裂"
"123"	"Malvaceae(棉葵科)"	"NN60"	"25.0"	"中"	"弱"	"淡红"	"223"	"440.0"	"麻类所"	"国外"	"93.10.18"	"92.5.2"	"93.12.15"	"00000522"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"31.0"	"370.0"	"黄"	"42.0"	"1.63"	"93.922"	"Hibiscus(木槿属)"	"--"	"I3F00417"	"45.0"	"淡红"	"TRA"	"深绿"	"251.0"	"红"	"1.14"	"223"	"淡红"	"--"	"180.0"	"--"	"93.10.5"	"淡红"	"NN60"	"152"	"--"	"--"	"大"	"373"	"--"	"裂"
"124"	"Malvaceae(棉葵科)"	"CUB378"	"18.0"	"中"	"弱"	"微红"	"150"	"330.0"	"麻类所"	"国外"	"93.10.8"	"92.5.2"	"93.12.12"	"00000523"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"绿"	"34.0"	"295.0"	"黄"	"39.0"	"1.58"	"93.9.14"	"Hibiscus(木槿属)"	"--"	"I3F00351"	"34.0"	"淡红"	"CUB"	"绿"	"306.0"	"紫"	"1.03"	"220"	"微红"	"--"	"110.0"	"--"	"93.10.5"	"微红"	"CUB378"	"152"	"--"	"--"	"中"	"318"	"--"	"全"
"125"	"Malvaceae(棉葵科)"	"US343"	"29.0"	"中"	"弱"	"淡红"	"225"	"460.0"	"麻类所"	"国外"	"93.10.16"	"92.5.2"	"93.12.20"	"00000524"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"27.0"	"375.0"	"黄"	"44.0"	"1.67"	"93.9.20"	"Hibiscus(木槿属)"	"--"	"--"	"47.0"	"淡红"	"USA"	"绿"	"255.0"	"紫"	"1.25"	"228"	"淡红"	"--"	"174.0"	"--"	"93.10.5"	"微红"	"US343"	"152"	"--"	"--"	"中"	"378"	"--"	"裂"
"126"	"Malvaceae(棉葵科)"	"US344"	"27.0"	"中"	"弱"	"淡红"	"220"	"440.0"	"麻类所"	"国外"	"93.10.16"	"92.5.2"	"93.12.20"	"00000525"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"350.0"	"黄"	"42.0"	"1.71"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"I3F00418"	"46.5"	"红"	"USA"	"绿"	"261.0"	"紫"	"1.21"	"228"	"淡红"	"--"	"180.0"	"--"	"93.10.5"	"微红"	"US344"	"152"	"--"	"--"	"中"	"353"	"--"	"裂"
"127"	"Malvaceae(棉葵科)"	"US369"	"38.0"	"中"	"弱"	"淡红"	"244"	"620.0"	"麻类所"	"国外"	"93.10.20"	"92.5.2"	"93.12.20"	"00000526"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"405.0"	"黄"	"50.0"	"1.91"	"93.9.23."	"Hibiscus(木槿属)"	"--"	"I3F00419"	"66.0"	"红"	"USA"	"绿"	"214.0"	"紫"	"1.26"	"228"	"淡红"	"--"	"230.0"	"--"	"93.10.5"	"微红"	"US369"	"152"	"--"	"--"	"小"	"393"	"--"	"裂"
"128"	"Malvaceae(棉葵科)"	"US383"	"30.0"	"中"	"弱"	"淡红"	"235"	"500.0"	"麻类所"	"国外"	"93.10.20"	"92.5.2"	"93.12.20"	"00000527"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"390.0"	"黄"	"46.0"	"1.87"	"93.9.21"	"Hibiscus(木槿属)"	"--"	"I3F00343"	"50.0"	"淡红"	"USA"	"绿"	"241.0"	"紫"	"1.25"	"228"	"淡红"	"--"	"190.0"	"--"	"93.10.5"	"微红"	"US383"	"152"	"--"	"--"	"中"	"390"	"--"	"裂"
"129"	"Malvaceae(棉葵科)"	"US395"	"29.0"	"强"	"弱"	"绿"	"242"	"460.0"	"麻类所"	"国外"	"93.10.18"	"92.5.2"	"93.12.20"	"00000528"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"400.0"	"黄"	"47.0"	"1.58"	"93.9.21"	"Hibiscus(木槿属)"	"--"	"I3F00420"	"48.0"	"绿"	"USA"	"绿"	"317.0"	"红"	"1.29"	"228"	"绿"	"--"	"170.0"	"--"	"93.10.5"	"绿"	"US395"	"152"	"--"	"--"	"中"	"404"	"--"	"裂"
"130"	"Malvaceae(棉葵科)"	"US410"	"26.0"	"中"	"弱"	"绿"	"224"	"440.0"	"麻类所"	"国外"	"93.10.16"	"92.5.2"	"93.12.15"	"00000529"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"33.0"	"370.0"	"黄"	"46.0"	"1.56"	"93.9.18"	"Hibiscus(木槿属)"	"--"	"I3F00344"	"46.0"	"绿"	"USA"	"绿"	"272.0"	"红"	"1.11"	"223"	"绿"	"--"	"170.0"	"--"	"93.10.5"	"绿"	"US410"	"152"	"--"	"--"	"中"	"374"	"--"	"裂"
"131"	"Malvaceae(棉葵科)"	"US413"	"26.0"	"中"	"弱"	"淡红"	"221"	"480.0"	"麻类所"	"国外"	"93.10.15"	"92.5.2"	"93.12.15"	"00000530"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"33.0"	"365.0"	"黄"	"45.0"	"1.76"	"93.9.18"	"Hibiscus(木槿属)"	"--"	"I3F00345"	"45.0"	"红"	"USA"	"绿"	"276.0"	"红"	"1.44"	"223"	"红"	"--"	"190.0"	"--"	"93.10.5"	"淡红"	"US413"	"152"	"--"	"--"	"大"	"375"	"--"	"裂"
"132"	"Malvaceae(棉葵科)"	"85-98"	"28.0"	"中"	"弱"	"微红"	"228"	"490.0"	"麻类所"	"国外"	"93.10.18"	"92.5.2"	"93.12.20"	"00000531"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"绿"	"30.0"	"375.0"	"紫"	"44.0"	"1.87"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"--"	"50.0"	"淡红"	"USA"	"黄绿"	"267.0"	"红"	"1.24"	"228"	"绿"	"--"	"190.0"	"--"	"93.10.5"	"绿"	"85-98"	"152"	"--"	"--"	"大"	"385"	"--"	"裂"
"133"	"Malvaceae(棉葵科)"	"85-44"	"25.0"	"弱"	"弱"	"微红"	"217"	"450.0"	"麻类所"	"国外"	"93.9.5"	"92.5.2"	"93.10.10"	"00000532"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"绿"	"28.0"	"360.0"	"红"	"39.0"	"1.80"	"93.8.15"	"Hibiscus(木槿属)"	"--"	"--"	"45.0"	"淡红"	"IRN"	"黄绿"	"242.0"	"红"	"1.20"	"159"	"绿"	"--"	"170.0"	"--"	"93.9.4"	"绿"	"85-44"	"121"	"--"	"--"	"大"	"370"	"--"	"全"
"134"	"Malvaceae(棉葵科)"	"85-45"	"24.0"	"弱"	"弱"	"淡红"	"218"	"450.0"	"麻类所"	"国外"	"93.9.5"	"92.5.2"	"93.10.10"	"00000533"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"29.0"	"365.0"	"黄"	"39.0"	"1.67"	"93.8.15"	"Hibiscus(木槿属)"	"--"	"--"	"44.0"	"淡红"	"IRN"	"绿"	"245.0"	"紫"	"1.22"	"159"	"淡红"	"--"	"180.0"	"--"	"93.9.4"	"微红"	"85-45"	"121"	"--"	"--"	"中"	"375"	"--"	"裂"
"135"	"Malvaceae(棉葵科)"	"ZB367"	"23.0"	"中"	"感"	"淡红"	"--"	"380.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/89"	"12月中旬"	"00000297"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"红"	"33.0"	"360.0"	"红"	"48.0"	"1.80"	"9月中旬"	"Hibiscus(木槿属)"	"42"	"--"	"--"	"淡红"	"ZMB"	"深绿"	"286.0"	"紫红"	"1.40"	"230"	"红"	"54.8"	"170.0"	"--"	"9月下旬"	"红"	"ZB367"	"145"	"USA"	"--"	"中"	"365"	"11.1"	"全"
"136"	"Malvaceae(棉葵科)"	"85-140"	"23.0"	"中"	"感"	"淡红"	"--"	"400.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/89"	"12月中旬"	"00000298"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"红"	"32.0"	"345.0"	"黄"	"42.0"	"1.70"	"9月中旬"	"Hibiscus(木槿属)"	"42"	"I3F00273"	"--"	"淡红"	"ZIM"	"绿"	"275.0"	"红"	"1.50"	"230"	"红"	"54.8"	"175.0"	"--"	"9月下旬"	"浅红"	"85-140"	"145"	"USA"	"180"	"中"	"380"	"10.5"	"裂"
"137"	"Malvaceae(棉葵科)"	"85-368"	"23.0"	"中"	"感"	"淡红"	"--"	"410.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/26/89"	"12月中旬"	"00000299"	"05/01/89"	"Hibiscus cannabinus L.(红麻)"	"绿"	"33.0"	"350.0"	"黄"	"42.0"	"1.80"	"9月中旬"	"Hibiscus(木槿属)"	"44"	"I3F00300"	"--"	"淡红"	"ZIM"	"绿"	"280.0"	"红"	"1.40"	"230"	"红"	"52.3"	"175.0"	"--"	"9月下旬"	"浅红"	"85-368"	"145"	"USA"	"--"	"中"	"370"	"10.7"	"裂"
"138"	"Malvaceae(棉葵科)"	"85-369"	"14.0"	"感"	"感"	"淡红"	"--"	"300.0"	"中国农科院麻类所"	"国外"	"7月下旬"	"04/26/90"	"8月下旬"	"00000300"	"05/01/90"	"Hibiscus cannabinus L.(红麻)"	"红"	"29.0"	"305.0"	"黄"	"35.0"	"1.40"	"6月下旬"	"Hibiscus(木槿属)"	"30"	"--"	"--"	"淡红"	"ZIM"	"绿"	"248.0"	"红"	"1.20"	"115"	"红"	"46.7"	"130.0"	"--"	"7月下旬"	"浅红"	"85-369"	"85"	"USA"	"140"	"中"	"330"	"10.0"	"裂"
"139"	"Malvaceae(棉葵科)"	"K370"	"22.0"	"中"	"--"	"淡红"	"--"	"365.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/25/90"	"12月中旬"	"00000301"	"05/01/90"	"Hibiscus cannabinus L.(红麻)"	"绿"	"32.0"	"350.0"	"黄"	"--"	"1.80"	"9月中旬"	"Hibiscus(木槿属)"	"41"	"I3F00274"	"--"	"淡红"	"USA"	"绿"	"--"	"红"	"1.50"	"230"	"淡红"	"53.7"	"160.0"	"--"	"9月下旬"	"浅红"	"K370"	"145"	"USA"	"180"	"中"	"370"	"11.2"	"裂"
"140"	"Malvaceae(棉葵科)"	"K371"	"23.0"	"感"	"--"	"淡红"	"--"	"440.0"	"中国农科院麻类所"	"国外"	"10月中旬"	"04/25/90"	"12月中旬"	"00000302"	"05/01/90"	"Hibiscus cannabinus L.(红麻)"	"红"	"34.0"	"340.0"	"黄"	"45.0"	"1.80"	"9月中旬"	"Hibiscus(木槿属)"	"45"	"I3F00248"	"--"	"淡红"	"USA"	"绿"	"270.0"	"紫红"	"1.20"	"230"	"红"	"51.1"	"200.0"	"--"	"9月下旬"	"浅红"	"K371"	"145"	"USA"	"175"	"大"	"380"	"10.2"	"全"
"141"	"Malvaceae(棉葵科)"	"K372"	"22.0"	"感"	"--"	"淡红"	"--"	"385.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/25/90"	"12月中旬"	"00000303"	"05/01/90"	"Hibiscus cannabinus L.(红麻)"	"红"	"34.0"	"360.0"	"黄"	"42.0"	"1.70"	"9月中旬"	"Hibiscus(木槿属)"	"40"	"I3F00249"	"--"	"淡红"	"USA"	"深绿"	"275.0"	"紫红"	"1.50"	"230"	"红"	"55.0"	"170.0"	"--"	"9月下旬"	"浅红"	"K372"	"145"	"USA"	"182"	"中"	"360"	"10.4"	"全"
"142"	"Malvaceae(棉葵科)"	"K373"	"24.0"	"感"	"--"	"淡红"	"--"	"420.0"	"中国农科院麻类所"	"国外"	"10月下旬"	"04/25/90"	"12月中旬"	"00000304"	"05/01/90"	"Hibiscus cannabinus L.(红麻)"	"红"	"33.0"	"380.0"	"黄"	"48.0"	"2.10"	"9月中旬"	"Hibiscus(木槿属)"	"50"	"I3F00250"	"--"	"红"	"USA"	"深绿"	"282.0"	"红"	"1.40"	"230"	"红"	"48.0"	"200.0"	"--"	"9月下旬"	"浅红"	"K373"	"145"	"USA"	"195"	"大"	"385"	"11.9"	"裂"
"143"	"Malvaceae(棉葵科)"	"AS223"	"31.5"	"弱"	"弱"	"淡红"	"230"	"540.0"	"麻类所"	"国外"	"93.10.12"	"92.5.4"	"93.12.15"	"00000408"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"380.0"	"黄"	"45.0"	"1.18"	"93.9.20"	"Hibiscus(木槿属)"	"--"	"I3F00365"	"55.2"	"淡红"	"AOS"	"绿"	"259.0"	"红"	"1.18"	"223"	"淡红"	"--"	"195.0"	"--"	"93.10.5"	"微红"	"AS223"	"152"	"--"	"--"	"中"	"388"	"--"	"裂"
"144"	"Malvaceae(棉葵科)"	"AS224"	"30.4"	"弱"	"中"	"微红"	"215"	"540.0"	"麻类所"	"国外"	"93.10.16"	"92.5.4"	"93.12.15"	"00000409"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"绿"	"32.0"	"375.0"	"黄"	"48.0"	"1.30"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"I3F00366"	"50.5"	"淡红"	"AOS"	"绿"	"233.0"	"紫"	"1.30"	"223"	"淡红"	"--"	"190.0"	"--"	"93.10.5"	"淡红"	"AS224"	"152"	"--"	"--"	"中"	"360"	"--"	"裂"
"145"	"Malvaceae(棉葵科)"	"AS225"	"25.0"	"中"	"弱"	"微红"	"168"	"425.0"	"麻类所"	"国外"	"93.10.16"	"92.5.4"	"93.12.15"	"00000410"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"绿"	"31.0"	"330.0"	"黄"	"41.0"	"1.31"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"I3F00367"	"41.0"	"淡红"	"AOS"	"绿"	"220.0"	"红"	"1.31"	"223"	"淡红"	"--"	"180.0"	"--"	"93.10.5"	"淡红"	"AS225"	"152"	"--"	"--"	"小"	"302"	"--"	"裂"
"146"	"Malvaceae(棉葵科)"	"AS226"	"32.2"	"弱"	"弱"	"淡红"	"232"	"480.0"	"麻类所"	"国外"	"93.10.15"	"92.5.4"	"93.12.15"	"00000411"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"380.0"	"黄"	"42.0"	"1.12"	"93.9.21"	"Hibiscus(木槿属)"	"--"	"I3F00368"	"54.0"	"红"	"AOS"	"深绿"	"232.0"	"红"	"1.12"	"223"	"红"	"--"	"180.0"	"--"	"93.10.5"	"淡红"	"AS226"	"152"	"--"	"--"	"中"	"382"	"--"	"裂"
"147"	"Malvaceae(棉葵科)"	"AS227"	"33.0"	"弱"	"弱"	"紫"	"242"	"510.0"	"麻类所"	"国外"	"93.10.10"	"92.5.4"	"93.12.15"	"00000412"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"35.0"	"400.0"	"黄"	"42.0"	"1.32"	"93.9.18"	"Hibiscus(木槿属)"	"--"	"I3F00369"	"55.0"	"紫"	"AOS"	"深绿"	"261.0"	"紫"	"1.32"	"223"	"紫"	"--"	"190.0"	"--"	"93.10.5"	"紫"	"AS227"	"152"	"--"	"--"	"小"	"400"	"--"	"裂"
"148"	"Malvaceae(棉葵科)"	"AS228"	"28.0"	"中"	"弱"	"淡红"	"206"	"460.0"	"麻类所"	"国外"	"93.10.22"	"92.5.2"	"93.12.22"	"00000413"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"365.0"	"黄"	"38.0"	"1.73"	"93.9.26"	"Hibiscus(木槿属)"	"--"	"I3F00348"	"49.0"	"红"	"AOS"	"深绿"	"259.0"	"红"	"1.21"	"231"	"红"	"--"	"180.0"	"--"	"93.10.5"	"红"	"AS228"	"152"	"--"	"--"	"大"	"363"	"--"	"裂"
"149"	"Malvaceae(棉葵科)"	"AS229"	"35.0"	"弱"	"弱"	"微红"	"237"	"560.0"	"麻类所"	"国外"	"93.10.19"	"92.5.2"	"93.12.20"	"00000414"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"绿"	"30.0"	"390.0"	"黄"	"44.0"	"1.90"	"93.9.21"	"Hibiscus(木槿属)"	"--"	"I3F00370"	"60.0"	"淡红"	"AOS"	"绿"	"261.0"	"红"	"1.39"	"228"	"淡红"	"--"	"230.0"	"--"	"93.10.5"	"微红"	"AS229"	"152"	"--"	"--"	"中"	"382"	"--"	"全"
"150"	"Malvaceae(棉葵科)"	"AS230"	"33.0"	"弱"	"中"	"微红"	"234"	"520.0"	"麻类所"	"国外"	"93.10.20"	"92.5.2"	"93.12.20"	"00000415"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"绿"	"33.0"	"385.0"	"黄"	"40.0"	"1.88"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"--"	"56.0"	"淡红"	"AOS"	"绿"	"216.0"	"红"	"1.23"	"228"	"淡红"	"--"	"190.0"	"--"	"93.10.5"	"微红"	"AS230"	"152"	"--"	"--"	"中"	"389"	"--"	"全"
"151"	"Malvaceae(棉葵科)"	"AS231"	"37.0"	"中"	"弱"	"淡红"	"240"	"580.0"	"麻类所"	"国外"	"93.10.20"	"92.5.2"	"93.12.20"	"00000416"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"400.0"	"黄"	"41.0"	"1.87"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"I3F00371"	"58.0"	"红"	"AOS"	"深绿"	"231.0"	"紫"	"1.28"	"228"	"淡红"	"--"	"230.0"	"--"	"93.10.5"	"淡红"	"AS231"	"152"	"--"	"--"	"大"	"391"	"--"	"裂"
"152"	"Malvaceae(棉葵科)"	"AS232"	"23.0"	"弱"	"弱"	"微红"	"220"	"400.0"	"麻类所"	"国外"	"93.10.20"	"92.5.2"	"93.12.20"	"00000417"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"30.0"	"370.0"	"黄"	"47.0"	"1.67"	"93.9.23"	"Hibiscus(木槿属)"	"--"	"--"	"38.0"	"淡红"	"AOS"	"深绿"	"209.0"	"紫"	"1.16"	"228"	"微红"	"--"	"140.0"	"--"	"93.10.5"	"微红"	"AS232"	"152"	"--"	"--"	"中"	"365"	"--"	"全"
"153"	"Malvaceae(棉葵科)"	"AS233"	"33.0"	"弱"	"弱"	"淡"	"232"	"550.0"	"麻类所"	"国外"	"93.10.14"	"92.5.2"	"93.12.15"	"00000418"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"30.0"	"385.0"	"黄"	"42.0"	"1.84"	"93.9.18"	"Hibiscus(木槿属)"	"--"	"--"	"55.0"	"红"	"AOS"	"深绿"	"292.0"	"紫"	"1.14"	"223"	"淡红"	"--"	"205.0"	"--"	"93.10.5"	"淡红"	"AS233"	"152"	"--"	"--"	"中"	"397"	"--"	"全"
"154"	"Malvaceae(棉葵科)"	"AS234"	"30.0"	"弱"	"弱"	"淡"	"222"	"510.0"	"麻类所"	"国外"	"93.10.19"	"92.5.2"	"93.12.20"	"00000419"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"30.0"	"375.0"	"黄"	"38.0"	"1.88"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"I3F00425"	"52.0"	"红"	"AOS"	"深绿"	"259.0"	"紫"	"1.25"	"228"	"淡红"	"--"	"195.0"	"--"	"93.10.5"	"淡红"	"AS234"	"152"	"--"	"--"	"中"	"368"	"--"	"全"
"155"	"Malvaceae(棉葵科)"	"AS235"	"31.0"	"弱"	"中"	"淡"	"226"	"550.0"	"麻类所"	"国外"	"93.10.16"	"92.5.2"	"93.12.15"	"00000420"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"36.0"	"380.0"	"黄"	"46.0"	"1.95"	"93.9.19"	"Hibiscus(木槿属)"	"--"	"--"	"54.0"	"红"	"AOS"	"深绿"	"288.0"	"紫"	"1.18"	"223"	"淡红"	"--"	"205.0"	"--"	"93.10.5"	"淡红"	"AS235"	"152"	"--"	"--"	"大"	"393"	"--"	"全"
"156"	"Malvaceae(棉葵科)"	"AS236"	"25.0"	"弱"	"弱"	"红"	"202"	"460.0"	"麻类所"	"国外"	"6..10.18"	"92.5.2"	"93.12.20"	"00000421"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"29.0"	"360.0"	"黄"	"40.0"	"1.71"	"93.9.20"	"Hibiscus(木槿属)"	"--"	"I3F00338"	"44.0"	"红"	"AOS"	"深绿"	"268.0"	"紫"	"1.27"	"228"	"红"	"--"	"180.0"	"--"	"93.10.5"	"红"	"AS236"	"152"	"--"	"--"	"小"	"347"	"--"	"全"
"157"	"Malvaceae(棉葵科)"	"AS237"	"33.0"	"弱"	"弱"	"微红"	"228"	"590.0"	"麻类所"	"国外"	"93.10.20"	"92.5.2"	"93.12.15"	"00000422"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"36.0"	"380.0"	"黄"	"48.0"	"1.91"	"93.9.19"	"Hibiscus(木槿属)"	"--"	"--"	"58.0"	"微红"	"AOS"	"绿"	"245.0"	"紫"	"1.55"	"223"	"微红"	"--"	"225.0"	"--"	"93.10.5"	"微红"	"AS237"	"152"	"--"	"--"	"中"	"378"	"--"	"全"
"158"	"Malvaceae(棉葵科)"	"AS238"	"24.0"	"中"	"弱"	"紫"	"192"	"440.0"	"麻类所"	"国外"	"93.10.18"	"92.5.2"	"93.12.15"	"00000423"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"红"	"28.0"	"350.0"	"黄"	"38.0"	"1.64"	"93.9.19"	"Hibiscus(木槿属)"	"--"	"I3F00372"	"44.0"	"紫"	"AOS"	"深绿"	"258.0"	"紫"	"1.37"	"223"	"红"	"--"	"180.0"	"--"	"93.10.5"	"淡红"	"AS238"	"152"	"--"	"--"	"小"	"330"	"--"	"裂"
"159"	"Malvaceae(棉葵科)"	"AS238"	"24.0"	"中"	"弱"	"紫"	"192"	"440.0"	"麻类所"	"国外"	"93.10.18"	"92.5.2"	"93.12.15"	"00000423"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"红"	"28.0"	"350.0"	"黄"	"38.0"	"1.64"	"93.9.19"	"Hibiscus(木槿属)"	"--"	"I3F00372"	"44.0"	"紫"	"AOS"	"深绿"	"258.0"	"紫"	"1.37"	"223"	"红"	"--"	"180.0"	"--"	"93.10.5"	"淡红"	"AS238"	"152"	"--"	"--"	"小"	"330"	"--"	"裂"
"160"	"Malvaceae(棉葵科)"	"AS239"	"23.0"	"弱"	"弱"	"淡红"	"190"	"475.0"	"麻类所"	"国外"	"93.10.20"	"92.5.2"	"93.12.15"	"00000424"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"30.0"	"352.0"	"黄"	"--"	"1.71"	"93.9.20"	"Hibiscus(木槿属)"	"--"	"--"	"43.0"	"微红"	"AOS"	"绿"	"--"	"紫"	"1.24"	"223"	"淡红"	"--"	"180.0"	"--"	"93.10.5"	"微红"	"AS239"	"152"	"--"	"--"	"小"	"331"	"--"	"全"
"161"	"Malvaceae(棉葵科)"	"AS240"	"35.0"	"中"	"中"	"淡红"	"218"	"580.0"	"麻类所"	"国外"	"93.10.12"	"92.5.2"	"93.12.15"	"00000425"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"32.0"	"365.0"	"黄"	"37.0"	"1.92"	"93.9.20"	"Hibiscus(木槿属)"	"--"	"--"	"58.0"	"红"	"AOS"	"绿"	"212.0"	"紫"	"1.36"	"223"	"红"	"--"	"220.0"	"--"	"93.10.5"	"微红"	"AS240"	"152"	"--"	"--"	"中"	"366"	"--"	"裂"
"162"	"Malvaceae(棉葵科)"	"AS241"	"27.0"	"弱"	"弱"	"淡红"	"215"	"500.0"	"麻类所"	"国外"	"93.10.16"	"92.5.2"	"93.12.15"	"00000426"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"33.0"	"360.0"	"黄"	"44.0"	"1.77"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"I3F00373"	"47.0"	"淡红"	"AOS"	"绿"	"215.0"	"紫"	"1.33"	"223"	"红"	"--"	"185.0"	"--"	"93.10.5"	"微红"	"AS241"	"152"	"--"	"--"	"中"	"364"	"--"	"裂"
"163"	"Malvaceae(棉葵科)"	"AS241(2)"	"27.0"	"弱"	"弱"	"淡红"	"215"	"510.0"	"麻类所"	"国外"	"93.10.16"	"92.5.2"	"93.12.15"	"00000427"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"30.0"	"365.0"	"黄"	"40.0"	"1.77"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"--"	"45.0"	"淡红"	"AOS"	"绿"	"248.0"	"紫"	"1.17"	"223"	"红"	"--"	"175.0"	"--"	"93.10.5"	"微红"	"AS241(2)"	"152"	"--"	"--"	"中"	"368"	"--"	"全"
"164"	"Malvaceae(棉葵科)"	"AS242"	"31.0"	"中"	"弱"	"淡红"	"210"	"580.0"	"麻类所"	"国外"	"93.10.18"	"92.5.2"	"93.12.20"	"00000428"	"93.5.6"	"Hibiscus cannabinus L.(红麻)"	"点红"	"33.0"	"360.0"	"黄"	"43.0"	"1.93"	"93.9.22"	"Hibiscus(木槿属)"	"--"	"--"	"57.0"	"淡红"	"AOS"	"深绿"	"248.0"	"紫"	"1.49"	"228"	"红"	"--"	"220.0"	"--"	"93.10.5"	"红"	"AS242"	"152"	"--"	"--"	"大"	"355"	"--"	"全"
