"id"	"熟性"	"叶柄色"	"科名"	"品质"	"品种名称"	"叶球重"	"叶面"	"株幅"	"开展度"	"省"	"单产"	"叶球横径"	"收获期"	"译名"	"口感性"	"可溶性糖"	"播种期"	"霜霉发病率"	"统一编号"	"种质库编号"	"学名"	"繁种单位"	"叶球抱合型"	"叶球心"	"TUMV发病率"	"耐旱性"	"属名"	"水分"	"叶色"	"粗纤维"	"抗虫性"	"叶球形状"	"耐涝性"	"生长期"	"贮藏性"	"备注"	"抗病性"	"叶球顶"	"单位编号"	"纤维含量"	"耐寒性"	"品种来源"	"叶球纵径"	"栽培时期"	"种子千粒重"	"株高"	"耐热性"
"112"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"二黄白"	"2300"	"较平"	"--"	"40.0"	"内蒙"	"4250"	"--"	"--"	"ER HUANG BAI"	"淡"	"--"	"--"	"--"	"V02A0714"	"Ⅱ2A1014"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"内蒙农科院蔬菜所"	"褶抱"	"翻心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"淡绿"	"--"	"--"	"长筒"	"--"	"90"	"弱"	"--"	"--"	"--"	"内2A025"	"--"	"--"	"内蒙托克托县"	"--"	"7中-10上"	"--"	"45.5"	"--"
"113"	"中早"	"白"	"Cruciferae(十字花科)"	"中"	"韶山黄芽白"	"1750"	"微皱"	"25x30"	"--"	"湖南"	"49500"	"17.3"	"11上-11下"	"SHAO SHAN HUANG YA BAI"	"略甜"	"--"	"8下"	"--"	"V02A1469"	"Ⅱ2A1591"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"湖南农科院蔬菜所"	"合抱"	"包心"	"--"	"中"	"Brassica(芸薹属)"	"--"	"淡绿"	"--"	"中"	"倒卵"	"中"	"--"	"中"	"--"	"中"	"圆圆"	"2-A20"	"少"	"强"	"湖南韶山"	"30"	"--"	"2.7"	"40.0"	"中"
"114"	"中晚"	"绿白"	"Cruciferae(十字花科)"	"中"	"旋心白菜"	"3100"	"平滑"	"57x48"	"--"	"甘肃"	"120000"	"28"	"10下"	"XUAN XIN BAI CAI"	"甜"	"--"	"7下"	"--"	"V02A1470"	"Ⅱ2A1565"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"甘肃农科院蔬菜所"	"叠抱"	"包心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"绿"	"--"	"--"	"卵圆"	"--"	"--"	"中"	"--"	"--"	"平顶"	"甘Ⅱ2A019"	"少"	"--"	"甘肃宁县"	"31"	"--"	"1.7"	"45.0"	"--"
"115"	"--"	"白绿"	"Cruciferae(十字花科)"	"--"	"大锉菜"	"2200"	"皱"	"101x96"	"--"	"吉林"	"--"	"--"	"11上"	"DA CUO CAI"	"--"	"--"	"8上"	"--"	"V02A1486"	"Ⅱ2A1277"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"中国农科院蔬菜所"	"合抱"	"舒心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"淡绿"	"--"	"--"	"高桶"	"--"	"--"	"--"	"--"	"--"	"--"	"吉29"	"--"	"--"	"长春蔬菜所"	"--"	"--"	"--"	"51.6"	"--"
"116"	"中早"	"白"	"Cruciferae(十字花科)"	"--"	"果心白"	"1100"	"微皱"	"60"	"--"	"云南"	"45000"	"--"	"--"	"GUO XIN BAI"	"甜"	"--"	"--"	"--"	"V02A1510"	"Ⅱ2A1333"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"云南农科院园艺所"	"拧抱"	"翻心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"黄绿"	"--"	"--"	"长筒"	"--"	"--"	"--"	"--"	"中"	"--"	"4#"	"--"	"--"	"云南会泽县"	"--"	"--"	"--"	"47.0"	"--"
"117"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"银川包头"	"3000"	"较平"	"--"	"70.0"	"宁夏"	"5000"	"--"	"--"	"YIN CHUAN BAO TOU"	"好"	"1.60"	"--"	"100"	"V02A0730"	"Ⅱ2A0046"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"宁夏农林院蔬菜室"	"叠抱"	"包心"	"100"	"--"	"Brassica(芸薹属)"	"94.80"	"绿"	"0.78"	"--"	"倒卵"	"--"	"75"	"弱"	"--"	"--"	"--"	"87-12"	"--"	"--"	"宁夏银川市"	"--"	"7下-10下"	"--"	"40.0"	"--"
"118"	"--"	"浅绿"	"Cruciferae(十字花科)"	"--"	"大青麻叶"	"7000"	"微皱"	"--"	"65.0"	"宁夏"	"8000"	"--"	"--"	"DA QING MA YE"	"中"	"3.35"	"--"	"98"	"V02A0731"	"Ⅱ2A0051"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"宁夏农林院蔬菜室"	"拧抱"	"翻心"	"100"	"--"	"Brassica(芸薹属)"	"92.80"	"深绿"	"0.94"	"--"	"长筒"	"--"	"90"	"中"	"--"	"--"	"--"	"87-17"	"--"	"--"	"宁夏银川市"	"--"	"7下-10下"	"--"	"80.0"	"--"
"119"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"天津白麻叶"	"2000"	"较平"	"--"	"74.3"	"宁夏"	"4000"	"--"	"--"	"TIAN JIN BAI MA YE"	"淡"	"1.36"	"--"	"82"	"V02A0732"	"Ⅱ2A0039"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"宁夏农林院蔬菜室"	"叠抱"	"包心"	"100"	"--"	"Brassica(芸薹属)"	"95.60"	"淡绿"	"0.76"	"--"	"短筒"	"--"	"75"	"弱"	"引自天津"	"--"	"--"	"87-5"	"--"	"--"	"宁夏银川市"	"--"	"7下-10下"	"--"	"46.7"	"--"
"120"	"--"	"绿"	"Cruciferae(十字花科)"	"--"	"天津中青麻叶"	"5000"	"微皱"	"--"	"98.7"	"宁夏"	"8000"	"--"	"--"	"TIAN JIN ZHONG QING MA YE"	"中"	"2.23"	"--"	"90"	"V02A0733"	"Ⅱ2A0050"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"宁夏农林院蔬菜室"	"拧抱"	"拧心"	"100"	"--"	"Brassica(芸薹属)"	"93.80"	"深绿"	"0.90"	"--"	"长筒"	"--"	"90"	"强"	"引自天津"	"--"	"--"	"87-16"	"--"	"--"	"宁夏银川市"	"--"	"7下-10下"	"--"	"74.3"	"--"
"121"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"拧心白"	"2000"	"微皱"	"--"	"67.0"	"宁夏"	"5000"	"--"	"--"	"NING XIN BAI"	"中"	"--"	"--"	"--"	"V02A0734"	"Ⅱ2A1175"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"宁夏农林院蔬菜室"	"竖心"	"翻心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"淡绿"	"--"	"--"	"长筒"	"--"	"60"	"弱"	"--"	"--"	"--"	"ⅢA89AA-26"	"--"	"--"	"宁夏银川市"	"--"	"7下-10中"	"--"	"48.0"	"--"
"122"	"--"	"浅绿"	"Cruciferae(十字花科)"	"--"	"乐都京白菜"	"2000"	"微皱"	"--"	"55.0"	"青海"	"3500"	"--"	"--"	"LE DU JING BAI CAI"	"淡"	"1.10"	"--"	"87"	"V02A0745"	"Ⅱ2A0732"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"青海农科院园艺所"	"竖心"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"95.10"	"淡绿"	"0.90"	"--"	"长筒"	"--"	"90"	"弱"	"--"	"--"	"--"	"Ⅱ2A008"	"--"	"--"	"青海乐都县"	"--"	"7下-10中"	"--"	"64.0"	"--"
"123"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"小白口"	"1300"	"微皱"	"--"	"55.0"	"青海"	"2500"	"--"	"--"	"XIAO BAI KOU"	"略甜"	"--"	"--"	"--"	"V02A0746"	"Ⅱ2A1214"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"青海农科院园艺所"	"竖心卷合"	"舒心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"淡绿"	"--"	"--"	"长筒"	"--"	"90"	"中"	"--"	"--"	"--"	"Ⅱ2A009"	"--"	"--"	"青海民和县"	"--"	"7上-10上"	"--"	"45.0"	"--"
"124"	"--"	"绿白"	"Cruciferae(十字花科)"	"--"	"牛腿棒"	"2000"	"微皱"	"--"	"45.0"	"青海"	"3500"	"--"	"--"	"NIU TUI BANG"	"淡"	"--"	"--"	"--"	"V02A0747"	"Ⅱ2A1211"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"青海农科院园艺所"	"合抱"	"舒心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"淡绿"	"--"	"--"	"长筒"	"--"	"90"	"弱"	"引自山西太原"	"--"	"--"	"Ⅱ2A002"	"--"	"--"	"青海西宁市"	"--"	"7上中-9下"	"--"	"45.0"	"--"
"125"	"--"	"浅绿"	"Cruciferae(十字花科)"	"--"	"栖霞小包头"	"2700"	"平滑"	"--"	"50.0"	"青海"	"5000"	"--"	"--"	"QI XIA XIAO BAO TOU"	"略甜"	"--"	"--"	"--"	"V02A0748"	"Ⅱ2A1212"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"青海农科院园艺所"	"合抱"	"包心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"绿"	"--"	"--"	"高桩"	"--"	"113"	"强"	"引自山东"	"--"	"--"	"Ⅱ2A005"	"--"	"--"	"青海西宁市"	"--"	"7下-9下"	"--"	"45.0"	"--"
"126"	"--"	"绿白"	"Cruciferae(十字花科)"	"--"	"冠县包头"	"2800"	"多皱"	"--"	"55.0"	"青海"	"5000"	"--"	"--"	"GUAN XIAN BAO TOU"	"略甜"	"--"	"--"	"--"	"V02A0749"	"Ⅱ2A1213"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"青海农科院园艺所"	"叠抱"	"包心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"绿"	"--"	"--"	"矮桩"	"--"	"115"	"强"	"引自山东冠县"	"--"	"圆圆"	"Ⅱ2A006"	"--"	"--"	"青海西宁市"	"--"	"7上-10上"	"--"	"43.0"	"--"
"127"	"--"	"绿白"	"Cruciferae(十字花科)"	"--"	"安丘白菜"	"3200"	"中皱"	"--"	"73.2"	"山东"	"4250"	"--"	"--"	"AN QIU BAI CAI"	"略淡"	"1.87"	"--"	"100"	"V02A0756"	"Ⅱ2A0177"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"山东农科院蔬菜所"	"合抱"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"94.00"	"深绿"	"0.74"	"--"	"短筒"	"--"	"100"	"中"	"--"	"--"	"尖顶"	"合76"	"--"	"--"	"山东安丘县"	"--"	"8中-11下"	"--"	"40.6"	"--"
"128"	"--"	"浅绿"	"Cruciferae(十字花科)"	"--"	"苍山大白菜"	"3500"	"微皱"	"--"	"75.2"	"山东"	"5000"	"--"	"--"	"CANG SHAN DA BAI CAI"	"略甜"	"2.40"	"--"	"100"	"V02A0757"	"Ⅱ2A0195"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"山东农科院蔬菜所"	"合抱"	"包心"	"98"	"--"	"Brassica(芸薹属)"	"94.60"	"深绿"	"0.57"	"--"	"长筒"	"--"	"100"	"强"	"--"	"--"	"圆圆"	"合119"	"--"	"--"	"山东苍山县"	"--"	"8中-11下"	"--"	"41.4"	"--"
"129"	"--"	"绿白"	"Cruciferae(十字花科)"	"--"	"曹县蒙头白"	"3500"	"微皱"	"--"	"82.6"	"山东"	"4000"	"--"	"--"	"CAO XIAN MENG TOU BAI"	"略甜"	"1.57"	"--"	"100"	"V02A0758"	"Ⅱ2A1056"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"山东农科院蔬菜所"	"叠抱"	"包心"	"93"	"--"	"Brassica(芸薹属)"	"95.20"	"绿"	"0.71"	"--"	"长筒"	"--"	"100"	"强"	"--"	"--"	"圆圆"	"叠79号"	"--"	"--"	"山东曹县"	"--"	"8中-11下"	"--"	"38.2"	"--"
"130"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"昌乐大白菜"	"3000"	"微皱"	"--"	"70.0"	"山东"	"4250"	"--"	"--"	"CHANG LE DA BAI CAI"	"略甜"	"1.55"	"--"	"100"	"V02A0759"	"Ⅱ2A0182"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"山东农科院蔬菜所"	"合抱"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"94.90"	"绿"	"0.77"	"--"	"短筒"	"--"	"100"	"强"	"--"	"--"	"尖顶"	"合84"	"--"	"--"	"山东昌乐县"	"--"	"8中-11下"	"--"	"45.0"	"--"
"131"	"--"	"浅绿"	"Cruciferae(十字花科)"	"--"	"昌乐雪头白菜"	"3500"	"皱"	"--"	"87.6"	"山东"	"4500"	"--"	"--"	"CHANG LE XUE TOU BAI CAI"	"略甜"	"1.81"	"--"	"100"	"V02A0760"	"Ⅱ2A0181"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"山东农科院蔬菜所"	"合抱"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"94.80"	"深绿"	"0.65"	"--"	"短筒"	"--"	"100"	"强"	"--"	"--"	"尖顶"	"合83"	"--"	"--"	"山东昌乐县"	"--"	"8中-11下"	"--"	"37.6"	"--"
"132"	"--"	"绿"	"Cruciferae(十字花科)"	"--"	"延安小安心"	"900"	"微皱"	"--"	"--"	"陕西"	"2250"	"--"	"--"	"YAN AN XIAO AN XIN"	"淡"	"--"	"--"	"--"	"V02A0984"	"Ⅱ2A1206"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"陕西农科院蔬菜所"	"叠抱"	"包心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"深绿"	"--"	"--"	"长筒"	"--"	"65"	"强"	"--"	"--"	"--"	"8a-88"	"--"	"--"	"陕西引自河南"	"--"	"8中-10下"	"--"	"45.0"	"--"
"133"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"洛阳大包头"	"4500"	"微皱"	"--"	"70.0"	"陕西"	"4500"	"--"	"--"	"LUO YANG DA BAO TOU"	"略甜"	"--"	"--"	"--"	"V02A0985"	"Ⅱ2A1182"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"陕西农科院蔬菜所"	"叠抱"	"包心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"淡绿"	"--"	"--"	"倒卵"	"--"	"110"	"强"	"引自河南洛阳"	"--"	"--"	"8a-11"	"--"	"--"	"陕西引自洛阳"	"--"	"8中-11下"	"--"	"49.0"	"--"
"134"	"--"	"绿"	"Cruciferae(十字花科)"	"--"	"小根白菜"	"6300"	"较平"	"--"	"70.0"	"陕西"	"4000"	"--"	"--"	"XIAO GEN BAI CAI"	"淡"	"--"	"--"	"--"	"V02A0986"	"Ⅱ2A1181"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"陕西农科院蔬菜所"	"叠抱"	"包心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"绿"	"--"	"--"	"扁圆"	"--"	"95"	"强"	"引自山东荷泽"	"--"	"圆圆"	"8a-83"	"--"	"--"	"陕西引自山东"	"--"	"8中-11下"	"--"	"41.5"	"--"
"135"	"--"	"绿"	"Cruciferae(十字花科)"	"--"	"大绿白菜"	"1000"	"较平"	"--"	"66.0"	"陕西"	"5000"	"--"	"--"	"DA LU BAI CAI"	"略甜"	"--"	"--"	"--"	"V02A0987"	"Ⅱ2A1218"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"陕西农科院蔬菜所"	"竖心卷合"	"包心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"绿"	"--"	"--"	"长筒"	"--"	"85"	"强"	"--"	"--"	"--"	"8a-87"	"--"	"--"	"陕西引自山西"	"--"	"8中-11下"	"--"	"56.0"	"--"
"136"	"--"	"绿"	"Cruciferae(十字花科)"	"--"	"清涧核桃纹"	"2250"	"皱"	"--"	"--"	"陕西"	"4500"	"--"	"--"	"QING JIAN HE TAO WEN"	"淡"	"--"	"--"	"--"	"V02A0988"	"Ⅱ2A1207"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"陕西农科院蔬菜所"	"叠抱"	"包心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"深绿"	"--"	"--"	"长筒"	"--"	"95"	"中"	"--"	"--"	"--"	"8a-89"	"--"	"--"	"陕西引自山西"	"--"	"8中-11下"	"--"	"43.5"	"--"
"137"	"--"	"浅绿"	"Cruciferae(十字花科)"	"--"	"小安肃堆"	"1800"	"微皱"	"--"	"35.0"	"天津"	"3500"	"--"	"--"	"XIAO AN SU DUI"	"淡"	"1.01"	"--"	"90"	"V02A0996"	"Ⅱ2A0521"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"天津农科院蔬菜所"	"合抱"	"翻心"	"100"	"--"	"Brassica(芸薹属)"	"95.20"	"淡绿"	"0.86"	"--"	"短筒"	"--"	"60"	"弱"	"--"	"--"	"--"	"2A-020"	"--"	"--"	"天津北郊区"	"--"	"7下-9下"	"--"	"35.0"	"--"
"138"	"--"	"浅绿"	"Cruciferae(十字花科)"	"--"	"王庄小纹"	"2500"	"微皱"	"--"	"50.0"	"天津"	"4000"	"--"	"--"	"WANG ZHUANG XIAO WEN"	"淡"	"1.41"	"--"	"85"	"V02A0997"	"Ⅱ2A0522"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"天津农科院蔬菜所"	"合抱"	"翻心"	"100"	"--"	"Brassica(芸薹属)"	"94.00"	"绿"	"0.97"	"--"	"长圆"	"--"	"75"	"弱"	"--"	"--"	"--"	"2A-021"	"--"	"--"	"天津北郊区"	"--"	"7下-10上"	"--"	"48.0"	"--"
"139"	"--"	"浅绿"	"Cruciferae(十字花科)"	"--"	"芦台青"	"3500"	"皱"	"--"	"35.0"	"天津"	"4500"	"--"	"--"	"LU TAI QING"	"略甜"	"0.86"	"--"	"95"	"V02A0998"	"Ⅱ2A0518"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"天津农科院蔬菜所"	"拧抱"	"翻心"	"100"	"--"	"Brassica(芸薹属)"	"95.30"	"绿"	"0.89"	"--"	"长筒"	"--"	"80"	"中"	"--"	"--"	"--"	"2A-011"	"--"	"--"	"天津东郊区"	"--"	"8上-10下"	"--"	"55.0"	"--"
"140"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"翻心白"	"1800"	"皱"	"--"	"50.0"	"天津"	"3000"	"--"	"--"	"FAN XIN BAI"	"淡"	"1.09"	"--"	"97"	"V02A0999"	"Ⅱ2A0517"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"天津农科院蔬菜所"	"合抱"	"翻心"	"100"	"--"	"Brassica(芸薹属)"	"95.40"	"淡绿"	"0.77"	"--"	"矮桩"	"--"	"65"	"弱"	"引自北京"	"--"	"--"	"2A-008"	"--"	"--"	"天津汉沽区"	"--"	"8上-10上"	"--"	"40.0"	"--"
"141"	"--"	"白绿"	"Cruciferae(十字花科)"	"--"	"二包头"	"5000"	"微皱"	"--"	"40.0"	"天津"	"7500"	"--"	"--"	"ER BAO TOU"	"略甜"	"1.81"	"--"	"91"	"V02A1000"	"Ⅱ2A0524"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"天津农科院蔬菜所"	"合抱"	"包心"	"28"	"--"	"Brassica(芸薹属)"	"94.60"	"深绿"	"0.76"	"--"	"长筒"	"--"	"105"	"强"	"--"	"--"	"--"	"2A-023"	"--"	"--"	"天津蓟县"	"--"	"8上-11中"	"--"	"56.0"	"--"
"142"	"--"	"绿"	"Cruciferae(十字花科)"	"--"	"小杜庄小纹"	"2000"	"微皱"	"--"	"61.0"	"天津"	"3000"	"--"	"--"	"XIAO DU ZHUANG XIAO WEN"	"略甜"	"2.21"	"--"	"93"	"V02A1016"	"Ⅱ2A0529"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"天津农科院蔬菜所"	"拧抱"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"93.80"	"绿"	"0.97"	"--"	"长筒"	"--"	"78"	"中"	"--"	"--"	"--"	"2A-015"	"--"	"--"	"天津西郊区"	"--"	"7下-10上"	"--"	"60.0"	"--"
"143"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"大白菜"	"2400"	"微皱"	"--"	"76.0"	"新疆"	"11250"	"--"	"--"	"DA BAI CAI"	"略甜"	"1.78"	"--"	"98"	"V02A1017"	"Ⅱ2A0667"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"新疆农科院园艺所"	"叠抱"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"93.70"	"绿"	"1.06"	"--"	"长筒"	"--"	"94"	"强"	"--"	"--"	"--"	"82-106"	"--"	"--"	"新疆"	"--"	"7上-10中"	"--"	"52.0"	"--"
"144"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"拜城小包心"	"2800"	"微皱"	"--"	"48.2"	"新疆"	"13750"	"--"	"--"	"BAI CHENG XIAO BAO XIN"	"略甜"	"--"	"--"	"96"	"V02A1018"	"Ⅱ2A0671"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"新疆农科院园艺所"	"合抱"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"--"	"黄绿"	"--"	"--"	"长筒"	"--"	"90"	"中"	"--"	"--"	"--"	"86-29"	"--"	"--"	"新疆拜城县"	"--"	"7上-9下"	"--"	"37.0"	"--"
"145"	"--"	"白绿"	"Cruciferae(十字花科)"	"--"	"哈密大青帮"	"2400"	"微皱"	"--"	"29.6"	"新疆"	"10778"	"--"	"--"	"HA MI DA QING BANG"	"略甜"	"--"	"--"	"89"	"V02A1019"	"Ⅱ2A0672"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"新疆农科院园艺所"	"叠抱"	"包心"	"100"	"--"	"Brassica(芸薹属)"	"--"	"绿"	"--"	"--"	"倒卵"	"--"	"96"	"强"	"--"	"--"	"--"	"82-72"	"--"	"--"	"新疆哈密市"	"--"	"7上-10下"	"--"	"30.8"	"--"
"146"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"乌市大包心"	"3400"	"微皱"	"--"	"58.6"	"新疆"	"14584"	"--"	"--"	"WU SHI DA BAO XIN"	"略甜"	"--"	"--"	"63"	"V02A1020"	"Ⅱ2A0668"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"新疆农科院园艺所"	"合抱"	"拧心"	"100"	"--"	"Brassica(芸薹属)"	"--"	"淡绿"	"--"	"--"	"长筒"	"--"	"94"	"中"	"--"	"--"	"--"	"86-0302"	"--"	"--"	"新疆乌市"	"--"	"7上-10中"	"--"	"54.0"	"--"
"147"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"小根白"	"1700"	"较平"	"--"	"53.0"	"云南"	"4750"	"--"	"--"	"XIAO GEN BAI"	"略甜"	"0.31"	"--"	"70"	"V02A1028"	"Ⅱ2A0074"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"云南农科院园艺所"	"叠抱"	"包心"	"100"	"--"	"Brassica(芸薹属)"	"95.60"	"淡绿"	"0.96"	"--"	"长筒"	"--"	"88"	"中"	"--"	"--"	"--"	"67#"	"--"	"--"	"云南大理市"	"--"	"(8上-9下)-(11上-次年1上)"	"--"	"45.0"	"--"
"148"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"黄秧白"	"1500"	"微皱"	"--"	"51.0"	"云南"	"4250"	"--"	"--"	"HUANG YANG BAI"	"略甜"	"0.97"	"--"	"100"	"V02A1029"	"Ⅱ2A1075"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"云南农科院园艺所"	"拧抱"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"90.20"	"淡绿"	"1.24"	"--"	"长筒"	"--"	"90"	"弱"	"--"	"--"	"--"	"43#"	"--"	"--"	"云南大理市"	"--"	"(8上-9下)-(11上-次年1上)"	"--"	"44.0"	"--"
"149"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"雪里白"	"2000"	"微皱"	"--"	"56.0"	"云南"	"6000"	"--"	"--"	"XUE LI BAI"	"略甜"	"0.24"	"--"	"100"	"V02A1030"	"Ⅱ2A1074"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"云南农科院园艺所"	"合抱"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"94.30"	"淡绿"	"0.99"	"--"	"长筒"	"--"	"90"	"中"	"--"	"--"	"--"	"42#"	"--"	"--"	"云南大理市"	"--"	"(8上-9下)-(11上-次年1上)"	"--"	"41.0"	"--"
"150"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"鸡窝白"	"900"	"微皱"	"--"	"50.2"	"云南"	"2750"	"--"	"--"	"JI WO BAI"	"淡"	"0.57"	"--"	"100"	"V02A1031"	"Ⅱ2A0066"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"云南农科院园艺所"	"叠抱"	"包心"	"96"	"--"	"Brassica(芸薹属)"	"95.30"	"淡绿"	"0.95"	"--"	"扁圆"	"--"	"92"	"中"	"--"	"--"	"--"	"038#"	"--"	"--"	"云南个旧市"	"--"	"(7下-9下)-(10下-次年1上)"	"--"	"26.8"	"--"
"151"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"黑叶高桩白"	"1300"	"皱"	"--"	"50.0"	"云南"	"3900"	"--"	"--"	"HEI YE GAO ZHUANG BAI"	"甜"	"0.64"	"--"	"100"	"V02A1032"	"Ⅱ2A1081"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"云南农科院园艺所"	"合抱"	"舒心"	"100"	"--"	"Brassica(芸薹属)"	"89.60"	"深绿"	"1.54"	"--"	"直筒"	"--"	"100"	"中"	"--"	"--"	"--"	"74#"	"--"	"--"	"云南个旧市"	"--"	"(7下-9下)-(11上-次年1下)"	"--"	"56.0"	"--"
"152"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"大绿白菜"	"2900"	"微皱"	"--"	"57.8"	"云南"	"8000"	"--"	"--"	"DA LU BAI CAI"	"略甜"	"0.53"	"--"	"87"	"V02A1071"	"Ⅱ2A0063"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"云南农科院园艺所"	"合抱"	"舒心"	"98"	"--"	"Brassica(芸薹属)"	"95.00"	"绿"	"1.06"	"--"	"长筒"	"--"	"95"	"中"	"--"	"--"	"--"	"80#"	"--"	"--"	"云南墨江县"	"--"	"8上-12下"	"--"	"49.0"	"--"
"153"	"--"	"白"	"Cruciferae(十字花科)"	"--"	"黑二叶白菜"	"500"	"皱"	"--"	"54.0"	"云南"	"3000"	"--"	"--"	"HEI ER YE BAI CAI"	"淡"	"--"	"--"	"--"	"V02A1087"	"Ⅱ1201"	"Brassica campestris L. ssp. pekinensis Olsson(大白菜)"	"云南农科院园艺所"	"拧抱"	"翻心"	"--"	"--"	"Brassica(芸薹属)"	"--"	"深绿"	"--"	"--"	"长筒"	"--"	"100"	"中"	"--"	"--"	"--"	"180#"	"--"	"--"	"云南昭通市"	"--"	"9下-次年2下"	"--"	"48.0"	"--"
