"id"	"耐旱性"	"科名"	"保存编号"	"库编号"	"锈脚"	"原产地"	"鲜皮厚度"	"叶色"	"雌蕾色"	"根型"	"花叶病"	"麻骨色"	"原麻产量"	"叶形"	"备注"	"分株力"	"雌蕾现蕾期"	"蔸型"	"译名"	"单纤维强力"	"生长整齐度"	"品种名称"	"生长均匀度"	"抗风性"	"工艺成熟天"	"叶面皱纹"	"省"	"学名"	"统一编号"	"雌花开花期"	"保存单位"	"单纤支数"	"属名"	"鲜皮出麻率"	"种子来源"	"株高"	"有效株率"	"茎粗"	"单位编号"	"米色"	"抽穗日数"	"北纬"	"粒色"	"高程"	"单株秆重"	"粗蛋白"	"东经"	"主茎节数"	"刺毛长度"	"单株粒重"	"蚕豆"	"脂肪酸160"
"245"	"强"	"Urticaceae(荨麻科)"	"153"	"1010"	"长"	"蜀武胜"	"0.55"	"黄绿"	"黄白"	"中"	"MR"	"黄白"	"100.0"	"宽卵"	"--"	"强"	"9月中旬"	"散生"	"dayezi1hao"	"50.4"	"整齐"	"大叶子1号"	"均匀"	"强"	"184"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00765"	"9月下旬"	"川达县地区农科所"	"1558"	"Boehmeria(苎麻属)"	"10.0"	"蜀武胜"	"152.0"	"70.0"	"0.80"														
"246"	"中"	"Urticaceae(荨麻科)"	"154"	"1011"	"长"	"蜀武胜"	"0.57"	"绿"	"淡红"	"中"	"MS"	"黄白"	"75.0"	"尖椭"	"--"	"弱"	"9月上旬"	"散生"	"dayezi2hao"	"43.0"	"不整齐"	"大叶子2号"	"不均匀"	"中"	"184"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00766"	"9月中旬"	"川达县地区农科所"	"1678"	"Boehmeria(苎麻属)"	"9.0"	"蜀武胜"	"132.0"	"66.0"	"0.90"														
"247"	"强"	"Urticaceae(荨麻科)"	"155"	"1012"	"无"	"蜀武胜"	"0.47"	"深绿"	"红"	"浅"	"MR"	"绿白"	"75.0"	"宽卵"	"--"	"强"	"9月上旬"	"串生"	"wushengyema1hao"	"42.6"	"不整齐"	"武胜野麻1号"	"不均匀"	"强"	"190"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00767"	"9月中旬"	"川达县地区农科所"	"2336"	"Boehmeria(苎麻属)"	"8.8"	"蜀武胜"	"137.0"	"47.6"	"0.80"														
"248"	"强"	"Urticaceae(荨麻科)"	"156"	"1013"	"无"	"蜀武胜"	"0.46"	"深绿"	"黄白"	"浅"	"R"	"绿白"	"57.0"	"宽卵"	"--"	"强"	"9月上旬"	"串生"	"wushengyema2hao"	"44.2"	"不整齐"	"武胜野麻2号"	"不均匀"	"强"	"190"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00768"	"9月中旬"	"川达县地区农科所"	"2392"	"Boehmeria(苎麻属)"	"9.7"	"蜀武胜"	"135.0"	"61.7"	"0.80"														
"249"	"强"	"Urticaceae(荨麻科)"	"001"	"77"	"长"	"蜀达农"	"0.59"	"黄绿"	"黄白"	"深"	"MS"	"黄白"	"100.0"	"卵圆"	"--"	"弱"	"9月中旬"	"丛生"	"chuanzhuyihao"	"62.3"	"整齐"	"川苎一号"	"均匀"	"强"	"190"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00769"	"10月上旬"	"川达县地区农科所"	"1450"	"Boehmeria(苎麻属)"	"12.0"	"蜀达农"	"150.0"	"86.8"	"1.00"														
"250"	"强"	"Urticaceae(荨麻科)"	"002"	"79"	"短"	"蜀达农"	"0.71"	"绿"	"黄绿"	"深"	"MS"	"绿白"	"100.0"	"尖椭"	"--"	"中"	"9月下旬"	"丛生"	"chuanzhuer'hao"	"65.9"	"整齐"	"川苎二号"	"均匀"	"强"	"191"	"多"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00770"	"10月上旬"	"川达县地区农科所"	"1051"	"Boehmeria(苎麻属)"	"13.4"	"蜀达农"	"136.0"	"68.9"	"0.90"														
"251"	"强"	"Urticaceae(荨麻科)"	"003"	"78"	"短"	"蜀达农"	"0.65"	"黄绿"	"黄白"	"深"	"MS"	"黄白"	"125.0"	"近圆"	"--"	"弱"	"9月下旬"	"丛生"	"chuanzhusanhao"	"65.6"	"整齐"	"川苎三号"	"均匀"	"强"	"191"	"少"	"四川"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00771"	"10月上旬"	"川达县地区农科所"	"1131"	"Boehmeria(苎麻属)"	"10.0"	"蜀达农"	"160.0"	"78.7"	"1.00"														
"252"	"弱"	"Urticaceae(荨麻科)"	"161"	"161"	"短"	"豫信阳县"	"0.64"	"绿"	"深红"	"浅"	"S"	"绿白"	"50.0"	"尖椭"	"--"	"强"	"9月中旬"	"串生"	"xinyangyeqingma"	"49.1"	"较整齐"	"信阳野青麻"	"较均匀"	"中"	"180"	"少"	"河南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00773"	"9月下旬"	"中国农科院麻类所"	"1574"	"Boehmeria(苎麻属)"	"11.3"	"豫信阳县"	"111.0"	"60.4"	"0.77"														
"253"	"中"	"Urticaceae(荨麻科)"	"173"	"292"	"长"	"陕紫阳"	"0.65"	"绿"	"深红"	"深"	"MS"	"黄白"	"100.0"	"尖椭"	"--"	"弱"	"9月中旬"	"丛生"	"ziyanghuangganma"	"46.4"	"不整齐"	"紫阳黄秆麻"	"不均匀"	"中"	"198"	"多"	"陕西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00779"	"9月下旬"	"川达县地区农科所"	"1818"	"Boehmeria(苎麻属)"	"11.7"	"陕紫阳"	"136.0"	"64.3"	"0.78"														
"254"	"中"	"Urticaceae(荨麻科)"	"293"	"293"	"长"	"陕紫阳"	"0.71"	"黄绿"	"淡红"	"深"	"S"	"黄白"	"90.0"	"尖椭"	"--"	"弱"	"9月中旬"	"丛生"	"gangbianma"	"64.0"	"整齐"	"钢鞭麻"	"较均匀"	"中"	"191"	"少"	"陕西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00780"	"9月下旬"	"麻类所"	"1197"	"Boehmeria(苎麻属)"	"10.0"	"陕紫阳"	"142.0"	"75.0"	"0.80"														
"255"	"弱"	"Urticaceae(荨麻科)"	"85"	"85"	"短"	"农业部"	"0.61"	"绿"	"红"	"浅"	"MR"	"黄白"	"75.0"	"卵圆"	"--"	"强"	"9月上旬"	"串生"	"gubazhuma"	"49.1"	"整齐"	"古巴苎麻"	"较均匀"	"弱"	"184"	"少"	"国外"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00783"	"9月下旬"	"中国农科院麻类所"	"1674"	"Boehmeria(苎麻属)"	"9.5"	"古巴"	"135.0"	"66.8"	"0.80"														
"256"	"中"	"Urticaceae(荨麻科)"	"89"	"810"	"短"	"巴西"	"0.68"	"深绿"	"绿白"	"浅"	"MR"	"绿白"	"80.0"	"尖椭"	"--"	"中"	"9月上旬"	"串生"	"ribenzhuma 1 hao"	"46.6"	"不整齐"	"日本苎麻1号"	"较均匀"	"强"	"180"	"多"	"国外"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00785"	"9月下旬"	"湖北农科院经作所"	"1493"	"Boehmeria(苎麻属)"	"11.2"	"从日本引进"	"150.0"	"73.0"	"0.89"														
"257"	"中"	"Urticaceae(荨麻科)"	"90"	"811"	"短"	"巴西"	"0.71"	"深绿"	"绿白"	"浅"	"MR"	"绿白"	"125.0"	"近圆"	"--"	"中"	"9月上旬"	"串生"	"ribenzhuma 2 hao"	"45.7"	"不整齐"	"日本苎麻2号"	"较均匀"	"强"	"180"	"多"	"国外"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00786"	"9月下旬"	"湖北农科院经作所"	"1718"	"Boehmeria(苎麻属)"	"14.2"	"从日本引进"	"166.0"	"74.3"	"0.87"														
"258"	"中"	"Urticaceae(荨麻科)"	"91"	"812"	"短"	"巴西"	"0.70"	"深绿"	"微红"	"中"	"MR"	"绿白"	"125.0"	"宽卵"	"--"	"中"	"9月上旬"	"散生"	"ribenzhuma 3 hao"	"50.9"	"不整齐"	"日本苎麻3号"	"较均匀"	"强"	"180"	"多"	"国外"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00787"	"9月下旬"	"湖北农科院经作所"	"1498"	"Boehmeria(苎麻属)"	"13.6"	"从日本引进"	"150.0"	"75.3"	"0.80"														
"259"	"中"	"Urticaceae(荨麻科)"	"92"	"813"	"短"	"巴西"	"0.74"	"浅绿"	"微红"	"浅"	"MR"	"绿白"	"110.0"	"宽卵"	"--"	"中"	"9月上旬"	"串生"	"ribenzhuma 4 hao"	"49.9"	"不整齐"	"日本苎麻4号"	"较均匀"	"强"	"180"	"多"	"国外"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00788"	"9月下旬"	"湖北农科院经作所"	"1433"	"Boehmeria(苎麻属)"	"14.0"	"从日本引进"	"156.0"	"77.2"	"0.85"														
"260"	"中"	"Urticaceae(荨麻科)"	"296"	"296"	"短"	"巴西"	"0.81"	"绿"	"红"	"浅"	"MR"	"黄白"	"90.0"	"卵圆"	"--"	"中"	"9月上旬"	"串生"	"ribenzhuma 5 hao"	"48.9"	"不整齐"	"日本苎麻5号"	"不均匀"	"中"	"194"	"少"	"国外"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00789"	"9月下旬"	"中国农科院麻类所"	"1369"	"Boehmeria(苎麻属)"	"14.1"	"农业部"	"152.0"	"58.0"	"0.97"														
"261"	"中"	"Urticaceae(荨麻科)"	"297"	"297"	"短"	"巴西"	"0.65"	"深绿"	"黄白"	"浅"	"MS"	"黄白"	"85.0"	"尖椭"	"--"	"中"	"9月上旬"	"串生"	"ribenzhuma 6 hao"	"52.8"	"不整齐"	"日本苎麻6号"	"不均匀"	"中"	"194"	"多"	"国外"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00790"	"9月下旬"	"中国农科院麻类所"	"1479"	"Boehmeria(苎麻属)"	"12.8"	"农业部"	"165.0"	"66.3"	"0.98"														
"262"	"中"	"Urticaceae(荨麻科)"	"298"	"298"	"短"	"巴西"	"0.64"	"深绿"	"黄绿"	"浅"	"MR"	"黄白"	"85.0"	"卵圆"	"--"	"中"	"9月上旬"	"串生"	"ribenzhuma 7 hao"	"--"	"不整齐"	"日本苎麻7号"	"不均匀"	"中"	"194"	"少"	"国外"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00791"	"9月中旬"	"中国农科院麻类所"	"1617"	"Boehmeria(苎麻属)"	"9.8"	"农业部"	"171.0"	"66.7"	"0.96"														
"263"	"中"	"Urticaceae(荨麻科)"	"299"	"299"	"短"	"巴西"	"0.74"	"深绿"	"黄绿"	"浅"	"MR"	"黄白"	"90.0"	"近圆"	"--"	"中"	"9月上旬"	"串生"	"ribenzhuma 8 hao"	"49.0"	"不整齐"	"日本苎麻8号"	"不均匀"	"中"	"194"	"多"	"国外"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00792"	"9月下旬"	"中国农科院麻类所"	"1596"	"Boehmeria(苎麻属)"	"13.0"	"农业部"	"163.0"	"68.0"	"1.00"														
"264"	"弱"	"Urticaceae(荨麻科)"	"681"	"681"	"短"	"琼儋县"	"0.63"	"绿"	"淡红"	"浅"	"S"	"绿白"	"56.7"	"卵圆"	"--"	"中"	"9月下旬"	"串生"	"na'dazhuma"	"41.0"	"整齐"	"那大苎麻"	"较均匀"	"中"	"163"	"少"	"海南"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00796"	"不开花"	"中国农科院麻类所"	"2078"	"Boehmeria(苎麻属)"	"7.6"	"琼儋县"	"122.0"	"62.0"	"0.78"														
"265"	"强"	"Urticaceae(荨麻科)"	"676"	"676"	"长"	"粤信宜县"	"0.55"	"绿"	"黄白"	"深"	"MR"	"黄白"	"80.2"	"卵圆"	"--"	"中"	"8月下旬"	"丛生"	"zhu1hao"	"43.5"	"整齐"	"真苎1号"	"较均匀"	"中"	"180"	"少"	"广东"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00797"	"10月上旬"	"中国农科院麻类所"	"1907"	"Boehmeria(苎麻属)"	"9.8"	"粤信宜县"	"125.0"	"63.1"	"0.78"														
"266"	"强"	"Urticaceae(荨麻科)"	"677"	"677"	"长"	"粤信宜县"	"0.69"	"深绿"	"淡红"	"深"	"MS"	"白绿"	"47.9"	"宽卵"	"--"	"中"	"8月中旬"	"丛生"	"zhu2hao"	"43.3"	"整齐"	"真苎2号"	"不均匀"	"中"	"178"	"多"	"广东"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00798"	"10月中旬"	"中国农科院麻类所"	"2013"	"Boehmeria(苎麻属)"	"6.0"	"粤信宜县"	"124.0"	"65.2"	"0.93"														
"267"	"强"	"Urticaceae(荨麻科)"	"680"	"680"	"长"	"粤高州县"	"0.64"	"深绿"	"微红"	"深"	"MS"	"绿白"	"101.4"	"宽卵"	"--"	"中"	"9月上旬"	"丛生"	"baima2hao"	"47.6"	"不整齐"	"白麻2号"	"不均匀"	"中"	"187"	"多"	"广东"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00800"	"10月上旬"	"中国农科院麻类所"	"1744"	"Boehmeria(苎麻属)"	"11.6"	"粤高州县"	"129.0"	"65.6"	"0.90"														
"268"	"中"	"Urticaceae(荨麻科)"	"161"	"562"	"短"	"桂宜山县"	"0.62"	"绿"	"淡红"	"中"	"S"	"绿白"	"50.0"	"卵圆"	"--"	"弱"	"9月中旬"	"散生"	"yishanyuanma"	"42.8"	"较整齐"	"宜山圆麻"	"较均匀"	"中"	"177"	"多"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00802"	"9月下旬"	"广西桂林地区所"	"1762"	"Boehmeria(苎麻属)"	"7.9"	"桂宜山县"	"120.0"	"52.8"	"0.82"														
"269"	"中"	"Urticaceae(荨麻科)"	"151"	"621"	"短"	"桂横县"	"0.50"	"绿"	"深红"	"中"	"R"	"黄白"	"40.0"	"卵圆"	"--"	"弱"	"9月中旬"	"散生"	"xiaojingyuanma"	"31.7"	"较整齐"	"小茎圆麻"	"均匀"	"中"	"180"	"少"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00818"	"9月下旬"	"广西桂林地区所"	"2454"	"Boehmeria(苎麻属)"	"9.1"	"桂横县"	"115.0"	"61.9"	"0.77"														
"270"	"中"	"Urticaceae(荨麻科)"	"168"	"608"	"短"	"桂横县"	"0.70"	"绿"	"淡红"	"中"	"R"	"黄白"	"40.0"	"卵圆"	"--"	"弱"	"9月上旬"	"散生"	"dajingyuanma"	"49.3"	"较整齐"	"大茎圆麻"	"较均匀"	"弱"	"181"	"多"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00819"	"9月下旬"	"广西桂林地区所"	"2050"	"Boehmeria(苎麻属)"	"8.1"	"桂横县"	"124.0"	"47.0"	"0.95"														
"271"	"强"	"Urticaceae(荨麻科)"	"67"	"67"	"短"	"桂阳朔县"	"0.67"	"深绿"	"深红"	"深"	"MS"	"黄白"	"40.0"	"卵圆"	"--"	"弱"	"9月中旬"	"丛生"	"yangshuoyezhuma"	"47.1"	"较整齐"	"阳朔野苎麻"	"较均匀"	"强"	"202"	"多"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00820"	"9月下旬"	"中国农科院麻类所"	"1756"	"Boehmeria(苎麻属)"	"7.8"	"桂阳朔县"	"130.0"	"65.0"	"0.98"														
"272"	"强"	"Urticaceae(荨麻科)"	"65"	"65"	"短"	"桂平乐县"	"0.80"	"深绿"	"深红"	"深"	"I"	"黄白"	"68.6"	"近圆"	"--"	"弱"	"9月中旬"	"丛生"	"pingleqingyadou"	"52.4"	"较整齐"	"平乐青芽兜"	"较均匀"	"强"	"181"	"多"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00821"	"9月下旬"	"中国农科院麻类所"	"1661"	"Boehmeria(苎麻属)"	"11.3"	"桂平乐县"	"121.0"	"65.0"	"0.95"														
"273"	"中"	"Urticaceae(荨麻科)"	"75"	"751"	"长"	"桂桂林市郊"	"0.76"	"绿"	"微红"	"中"	"S"	"绿白"	"78.1"	"卵圆"	"--"	"强"	"9月中旬"	"散生"	"qixingyanzhuma"	"42.6"	"不整齐"	"七星岩苎麻"	"不均匀"	"中"	"187"	"多"	"广西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00822"	"9月下旬"	"中国农科院麻类所"	"1706"	"Boehmeria(苎麻属)"	"7.3"	"桂桂林市郊"	"129.0"	"66.2"	"0.86"														
"274"	"弱"	"Urticaceae(荨麻科)"	"687"	"687"	"短"	"闽宁德县"	"--"	"绿"	"微红"	"浅"	"S"	"白绿"	"--"	"卵圆"	"--"	"弱"	"9月上旬"	"串生"	"ningdezhuma1hao"	"--"	"不整齐"	"宁德苎麻1号"	"较均匀"	"弱"	"184"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00823"	"9月中旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"--"	"闽宁德县"	"40.0"	"65.0"	"--"														
"275"	"弱"	"Urticaceae(荨麻科)"	"688"	"688"	"长"	"闽宁德县"	"0.60"	"绿"	"微红"	"浅"	"S"	"黄白"	"61.9"	"宽卵"	"--"	"中"	"8月中旬"	"串生"	"ningdezhuma2hao"	"58.4"	"较整齐"	"宁德苎麻2号"	"均匀"	"弱"	"185"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00824"	"9月上旬"	"中国农科院麻类所"	"1437"	"Boehmeria(苎麻属)"	"10.7"	"闽宁德县"	"104.0"	"60.0"	"0.75"														
"276"	"弱"	"Urticaceae(荨麻科)"	"689"	"689"	"长"	"闽宁德县"	"--"	"深绿"	"黄绿"	"浅"	"S"	"白绿"	"--"	"卵圆"	"--"	"中"	"8月下旬"	"串生"	"ningdezhuma3hao"	"--"	"不整齐"	"宁德苎麻3号"	"较均匀"	"弱"	"158"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00825"	"9月中旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"--"	"闽宁德县"	"54.0"	"--"	"0.54"														
"277"	"中"	"Urticaceae(荨麻科)"	"690"	"690"	"长"	"闽宁德县"	"0.61"	"绿"	"红"	"中"	"S"	"黄白"	"78.7"	"卵圆"	"--"	"中"	"8月下旬"	"散生"	"ningdezhuma4hao"	"58.0"	"较整齐"	"宁德苎麻4号"	"较均匀"	"中"	"180"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00826"	"9月中旬"	"中国农科院麻类所"	"1328"	"Boehmeria(苎麻属)"	"11.1"	"闽宁德县"	"111.0"	"60.0"	"0.74"														
"278"	"弱"	"Urticaceae(荨麻科)"	"691"	"691"	"短"	"闽宁德县"	"0.54"	"绿"	"淡红"	"浅"	"MR"	"绿白"	"30.3"	"卵圆"	"--"	"中"	"9月中旬"	"串生"	"ningdezhuma5hao"	"--"	"较整齐"	"宁德苎麻5号"	"较均匀"	"弱"	"168"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00827"	"10月上旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"11.4"	"闽宁德县"	"102.0"	"58.0"	"0.60"														
"279"	"强"	"Urticaceae(荨麻科)"	"695"	"695"	"短"	"闽福鼎县"	"0.62"	"绿"	"黄白"	"深"	"S"	"绿白"	"107.3"	"宽卵"	"--"	"中"	"9月上旬"	"丛生"	"fudingzhuma1hao"	"52.2"	"较整齐"	"福鼎苎麻1号"	"不均匀"	"强"	"176"	"少"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00828"	"9月下旬"	"中国农科院麻类所"	"1595"	"Boehmeria(苎麻属)"	"10.5"	"闽福鼎县"	"120.0"	"73.5"	"0.84"														
"280"	"中"	"Urticaceae(荨麻科)"	"696"	"696"	"长"	"闽福鼎县"	"0.55"	"绿"	"微红"	"中"	"S"	"黄白"	"95.8"	"卵圆"	"--"	"强"	"8月下旬"	"散生"	"fudingzhuma2hao"	"45.2"	"较整齐"	"福鼎苎麻2号"	"较均匀"	"中"	"178"	"少"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00829"	"9月上旬"	"中国农科院麻类所"	"1603"	"Boehmeria(苎麻属)"	"13.5"	"闽福鼎县"	"114.0"	"69.2"	"0.71"														
"281"	"中"	"Urticaceae(荨麻科)"	"697"	"697"	"长"	"闽福鼎县"	"0.70"	"绿"	"深红"	"中"	"S"	"黄白"	"213.6"	"宽卵"	"--"	"强"	"9月上旬"	"散生"	"fudingzhuma3hao"	"49.1"	"较整齐"	"福鼎苎麻3号"	"较均匀"	"中"	"171"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00830"	"9月下旬"	"中国农科院麻类所"	"1906"	"Boehmeria(苎麻属)"	"13.0"	"闽福鼎县"	"146.0"	"70.3"	"0.85"														
"282"	"弱"	"Urticaceae(荨麻科)"	"698"	"698"	"长"	"闽浦城县"	"0.57"	"绿"	"淡红"	"浅"	"S"	"绿白"	"41.7"	"卵圆"	"--"	"强"	"9月上旬"	"串生"	"puchengzhuma1hao"	"--"	"较整齐"	"蒲城苎麻1号"	"较均匀"	"弱"	"173"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00831"	"9月中旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"11.5"	"闽浦城县"	"102.0"	"64.9"	"0.66"														
"283"	"中"	"Urticaceae(荨麻科)"	"699"	"699"	"短"	"闽浦城县"	"0.52"	"深绿"	"微红"	"中"	"MR"	"黄白"	"81.2"	"卵圆"	"--"	"强"	"9月上旬"	"散生"	"puchengzhuma2hao"	"48.6"	"不整齐"	"蒲城苎麻2号"	"较均匀"	"中"	"168"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00832"	"9月中旬"	"中国农科院麻类所"	"1791"	"Boehmeria(苎麻属)"	"11.1"	"闽浦城县"	"120.0"	"65.4"	"0.72"														
"284"	"强"	"Urticaceae(荨麻科)"	"701"	"701"	"短"	"闽三明市"	"0.84"	"绿"	"淡红"	"深"	"R"	"黄白"	"214.5"	"宽卵"	"--"	"强"	"9月中旬"	"丛生"	"sanmingzhuma1hao"	"51.1"	"整齐"	"三明苎麻1号"	"较均匀"	"强"	"169"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00834"	"9月下旬"	"中国农科院麻类所"	"1441"	"Boehmeria(苎麻属)"	"12.9"	"闽三明市"	"114.0"	"79.4"	"0.87"														
"285"	"中"	"Urticaceae(荨麻科)"	"702"	"702"	"短"	"闽三明市"	"0.72"	"绿"	"红"	"中"	"MS"	"绿白"	"161.0"	"尖椭"	"--"	"强"	"9月上旬"	"散生"	"sanmingzhuma2hao"	"46.2"	"较整齐"	"三明苎麻2号"	"均匀"	"中"	"164"	"少"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00835"	"9月下旬"	"中国农科院麻类所"	"1769"	"Boehmeria(苎麻属)"	"12.7"	"闽三明市"	"131.0"	"70.5"	"0.83"														
"286"	"中"	"Urticaceae(荨麻科)"	"703"	"703"	"长"	"闽大田县"	"0.65"	"绿"	"微红"	"中"	"S"	"绿白"	"216.7"	"尖椭"	"--"	"强"	"8月下旬"	"散生"	"datianzhuma1hao"	"--"	"不整齐"	"大田苎麻1号"	"较均匀"	"中"	"178"	"多"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00836"	"9月下旬"	"中国农科院麻类所"	"--"	"Boehmeria(苎麻属)"	"14.1"	"闽大田县"	"139.0"	"65.7"	"0.75"														
"287"	"强"	"Urticaceae(荨麻科)"	"704"	"704"	"短"	"闽大田县"	"0.72"	"绿"	"红"	"深"	"R"	"黄白"	"198.7"	"卵圆"	"--"	"强"	"9月上旬"	"丛生"	"datianzhuma2hao"	"48.9"	"较整齐"	"大田苎麻2号"	"较均匀"	"强"	"178"	"少"	"福建"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00837"	"9月中旬"	"中国农科院麻类所"	"1627"	"Boehmeria(苎麻属)"	"10.7"	"闽大田县"	"146.0"	"75.1"	"0.92"														
"288"	"中"	"Urticaceae(荨麻科)"	"692"	"692"	"长"	"浙云和县"	"0.66"	"绿"	"微红"	"中"	"S"	"黄白"	"86.0"	"宽卵"	"--"	"强"	"9月上旬"	"散生"	"yunhezhuma1hao"	"60.0"	"较整齐"	"云和苎麻1号"	"不均匀"	"中"	"171"	"少"	"浙江"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00842"	"9月下旬"	"中国农科院麻类所"	"1270"	"Boehmeria(苎麻属)"	"10.8"	"浙云和县"	"117.0"	"60.8"	"0.76"														
"289"	"强"	"Urticaceae(荨麻科)"	"693"	"693"	"短"	"浙云和县"	"0.68"	"绿"	"微红"	"深"	"MR"	"黄白"	"104.6"	"宽卵"	"--"	"中"	"9月上旬"	"丛生"	"yunhezhuma2hao"	"59.9"	"不整齐"	"云和苎麻2号"	"不均匀"	"强"	"165"	"多"	"浙江"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00843"	"9月中旬"	"中国农科院麻类所"	"1275"	"Boehmeria(苎麻属)"	"12.4"	"浙云和县"	"129.0"	"71.4"	"0.83"														
"290"	"强"	"Urticaceae(荨麻科)"	"694"	"694"	"短"	"浙云和县"	"0.76"	"绿"	"微红"	"深"	"MR"	"绿白"	"138.0"	"宽卵"	"--"	"中"	"9月中旬"	"丛生"	"yunhezhuma3hao"	"47.0"	"较整齐"	"云和苎麻3号"	"较均匀"	"强"	"175"	"少"	"浙江"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00844"	"9月下旬"	"中国农科院麻类所"	"1499"	"Boehmeria(苎麻属)"	"12.0"	"浙云和县"	"122.0"	"71.6"	"0.87"														
"291"	"强"	"Urticaceae(荨麻科)"	"103"	"--"	"短"	"赣宜春"	"0.91"	"绿"	"红"	"深"	"R"	"绿白"	"100.0"	"近圆"	"--"	"中"	"9月中旬"	"丛生"	"yizhu1hao"	"32.1"	"整齐"	"宜苎1号"	"均匀"	"中"	"161"	"少"	"江西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00849"	"9月下旬"	"中国农科院麻类所"	"2012"	"Boehmeria(苎麻属)"	"11.1"	"赣宜春"	"164.0"	"87.4"	"1.03"														
"292"	"强"	"Urticaceae(荨麻科)"	"104"	"--"	"短"	"赣宜春"	"0.88"	"绿"	"淡红"	"深"	"R"	"黄白"	"150.0"	"近圆"	"--"	"强"	"8月下旬"	"丛生"	"yiza1hao"	"30.2"	"整齐"	"宜杂1号"	"均匀"	"强"	"186"	"少"	"江西"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00850"	"9月中旬"	"江西宜春麻科所"	"2398"	"Boehmeria(苎麻属)"	"11.7"	"赣宜春"	"176.0"	"82.4"	"1.21"														
