"id"	"耐旱性"	"科名"	"保存编号"	"库编号"	"锈脚"	"原产地"	"鲜皮厚度"	"叶色"	"雌蕾色"	"根型"	"花叶病"	"麻骨色"	"原麻产量"	"叶形"	"备注"	"分株力"	"雌蕾现蕾期"	"蔸型"	"译名"	"单纤维强力"	"生长整齐度"	"品种名称"	"生长均匀度"	"抗风性"	"工艺成熟天"	"叶面皱纹"	"省"	"学名"	"统一编号"	"雌花开花期"	"保存单位"	"单纤支数"	"属名"	"鲜皮出麻率"	"种子来源"	"株高"	"有效株率"	"茎粗"	"单位编号"	"米色"	"抽穗日数"	"北纬"	"粒色"	"高程"	"单株秆重"	"粗蛋白"	"东经"	"主茎节数"	"刺毛长度"	"单株粒重"	"蚕豆"	"脂肪酸160"
"215"	"强"	"Urticaceae(荨麻科)"	"237"	"237"	"长"	"皖巢县"	"0.81"	"黄绿"	"红"	"中"	"MS"	"黄白"	"100.0"	"卵圆"	"--"	"弱"	"9月上旬"	"散生"	"heigan"	"48.4"	"较整齐"	"黑秆腿"	"不均匀"	"中"	"180"	"少"	"安徽"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00530"	"9月下旬"	"中国农科院麻类所"	"1401"	"Boehmeria(苎麻属)"	"12.6"	"皖巢县"	"110.0"	"66.0"	"0.80"														
"216"	"弱"	"Urticaceae(荨麻科)"	"238"	"238"	"短"	"皖巢县"	"0.53"	"深绿"	"黄白"	"浅"	"MS"	"黄白"	"50.0"	"卵圆"	"--"	"中"	"9月上旬"	"串生"	"hanshanyema"	"38.6"	"整齐"	"含山野麻"	"较均匀"	"弱"	"180"	"多"	"安徽"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00531"	"9月下旬"	"中国农科院麻类所"	"1665"	"Boehmeria(苎麻属)"	"8.0"	"皖巢县"	"112.0"	"69.5"	"0.75"														
"217"	"弱"	"Urticaceae(荨麻科)"	"219"	"--"	"短"	"皖歙县"	"0.70"	"绿"	"深红"	"浅"	"MR"	"黄白"	"75.0"	"卵圆"	"--"	"强"	"9月上旬"	"串生"	"xixianbaipizhu1hao"	"47.1"	"较整齐"	"歙县白皮苎1号"	"不均匀"	"弱"	"181"	"少"	"安徽"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00532"	"9月下旬"	"中国农科院麻类所"	"1546"	"Boehmeria(苎麻属)"	"10.7"	"皖歙县"	"150.0"	"74.5"	"0.93"														
"218"	"中"	"Urticaceae(荨麻科)"	"232"	"221"	"长"	"皖歙县"	"0.81"	"浅绿"	"深红"	"中"	"MS"	"黄白"	"75.0"	"尖椭"	"--"	"中"	"9月上旬"	"散生"	"xixianbaipizhu2hao"	"44.2"	"较整齐"	"歙县白皮苎2号"	"不均匀"	"弱"	"184"	"少"	"安徽"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00533"	"9月中旬"	"中国农科院麻类所"	"1778"	"Boehmeria(苎麻属)"	"10.0"	"皖歙县"	"142.0"	"75.0"	"0.92"														
"219"	"弱"	"Urticaceae(荨麻科)"	"227"	"227"	"长"	"皖金寨县"	"0.81"	"绿"	"红"	"中"	"MS"	"黄白"	"90.0"	"卵圆"	"--"	"强"	"9月上旬"	"散生"	"meishanzhuma"	"43.5"	"整齐"	"梅山苎麻"	"均匀"	"中"	"187"	"少"	"安徽"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00534"	"9月下旬"	"中国农科院麻类所"	"1529"	"Boehmeria(苎麻属)"	"9.8"	"皖金寨县"	"125.0"	"64.5"	"0.89"														
"220"	"弱"	"Urticaceae(荨麻科)"	"11"	"772"	"短"	"湖北蒲圻县"	"0.75"	"绿"	"红"	"中"	"MR"	"绿白"	"130.0"	"椭圆"	"--"	"强"	"9月上旬"	"散生"	"puxidayepao1hao"	"59.4"	"整齐"	"蒲圻大叶泡1号"	"较均匀"	"弱"	"170"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00550"	"10月上旬"	"湖北农科院经作所"	"1394"	"Boehmeria(苎麻属)"	"14.3"	"湖北蒲圻县"	"138.0"	"81.4"	"0.83"														
"221"	"强"	"Urticaceae(荨麻科)"	"12"	"--"	"短"	"湖北蒲圻县"	"0.75"	"黄绿"	"淡红"	"中"	"MR"	"绿白"	"130.0"	"卵圆"	"--"	"强"	"9月上旬"	"散生"	"puxidayepao2hao"	"49.1"	"较整齐"	"蒲圻大叶泡2号"	"较均匀"	"弱"	"170"	"少"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00551"	"9月下旬"	"湖北农科院经作所"	"1473"	"Boehmeria(苎麻属)"	"12.3"	"湖北蒲圻县"	"162.0"	"79.3"	"0.92"														
"222"	"中"	"Urticaceae(荨麻科)"	"17"	"--"	"短"	"湖北咸宁县"	"0.82"	"绿"	"淡红"	"中"	"R"	"绿白"	"135.0"	"卵圆"	"--"	"强"	"9月上旬"	"散生"	"xianningxiyelu1hao"	"51.8"	"较整齐"	"咸宁细叶绿1号"	"均匀"	"强"	"172"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00556"	"9月下旬"	"湖北农科院经作所"	"1514"	"Boehmeria(苎麻属)"	"12.3"	"湖北咸宁县"	"168.0"	"76.0"	"0.98"														
"223"	"中"	"Urticaceae(荨麻科)"	"18"	"--"	"短"	"湖北咸宁县"	"0.76"	"深绿"	"淡红"	"中"	"MS"	"绿白"	"130.0"	"椭圆"	"--"	"强"	"9月上旬"	"散生"	"xianningxiyelu2hao"	"59.0"	"较整齐"	"咸宁细叶绿2号"	"均匀"	"强"	"180"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00557"	"10月上旬"	"湖北农科院经作所"	"1413"	"Boehmeria(苎麻属)"	"14.5"	"湖北咸宁县"	"160.0"	"61.7"	"0.91"														
"224"	"中"	"Urticaceae(荨麻科)"	"21"	"--"	"短"	"湖北咸宁县"	"0.71"	"黄绿"	"微红"	"中"	"MR"	"黄白"	"120.0"	"近圆"	"--"	"中"	"9月上旬"	"散生"	"xianningdayebai1hao"	"48.6"	"不整齐"	"咸宁大叶白1号"	"较均匀"	"中"	"174"	"多"	"湖北"	"Boehmeria nivea (L.) Gaud(苎麻)"	"ZZM00560"	"9月下旬"	"湖北农科院经作所"	"1493"	"Boehmeria(苎麻属)"	"13.4"	"湖北咸宁县"	"170.0"	"78.7"	"1.05"														
