"id"	"备注"	"蚜害病评价"	"异亮氨酸"	"酩氨酸"	"样品类型"	"花色"	"单荚粒数"	"全生育日数"	"粒型"	"赤斑病评价"	"支链淀粉"	"赤斑病级"	"丙氨酸"	"锈病指数"	"译名"	"粒色"	"色氨酸"	"有效枝"	"属名"	"粗脂肪"	"省"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"天冬氨酸"	"蚜害病指数"	"亮氨酸"	"熟性"	"褐斑病评价"	"谷氨酸"	"荚宽"	"粗蛋白"	"百粒重"	"粒形"	"成熟期"	"精氨酸"	"直链淀粉"	"库编号"	"品种名称"	"均匀度"	"苏氨酸"	"蛋氨酸"	"保存编号"	"学名"	"褐斑病级"	"播种期"	"种子来源"	"锈病病级"	"原产地"	"抗涝性"	"脯氨酸"	"株高"	"组氨酸"	"单株荚数"	"保存单位"	"芽期耐盐"	"缬氨酸"	"统一编号"	"蚜害病级"	"锈病评价"	"单株产量"	"褐斑病指数"	"苯丙氨酸"	"胱氨酸"	"总淀粉"	"荚长"	"赤斑病指数"	"总和"	"科名"	"苗期耐盐"	"穗形"	"酪氨酸"	"穗柄长"	"蛋白质"	"赖氨占蛋白"	"脂肪"	"锤度"	"分枝数"	"来源地"	"结荚习性"	"分蘖性"	"荚色"	"引入时间"	"生长习性"	"丝黑穗病率"	"灌浆抗寒性"	"高程"	"水份"	"颖壳包皮度"	"幼苗色"	"壳色"	"苗期抗寒性"
"317"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.1"	"204"	"中"	"--"	"33.16"	"--"	"--"	"--"	"7006"	"乳白"	"--"	"3.4"	"Vicia(巢菜属)"	"1.88"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.8"	"25.48"	"116.0"	"中薄"	"5.21"	"--"	"8.36"	"I2M01638"	"7006"	"不均"	"--"	"--"	"C6"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"叙利亚"	"--"	"叙利亚"	"--"	"--"	"87.0"	"--"	"10.0"	"浙江农科院作物所"	"--"	"--"	"H0000494"	"--"	"--"	"12.0"	"--"	"--"	"--"	"41.52"	"10.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"318"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.0"	"210"	"中"	"--"	"27.12"	"--"	"--"	"--"	"8037"	"乳白"	"--"	"3.0"	"Vicia(巢菜属)"	"1.45"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.8"	"25.30"	"83.0"	"窄厚"	"5.27"	"--"	"9.78"	"I2M01639"	"8037"	"不均"	"--"	"--"	"C123"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"日本"	"--"	"日本"	"--"	"--"	"104.0"	"--"	"21.0"	"浙江农科院作物所"	"--"	"--"	"H0000495"	"--"	"--"	"38.0"	"--"	"--"	"--"	"36.90"	"8.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"319"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.9"	"205"	"中"	"--"	"29.85"	"--"	"--"	"--"	"8038"	"乳白"	"--"	"4.0"	"Vicia(巢菜属)"	"1.26"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.3"	"26.26"	"78.0"	"窄厚"	"5.22"	"--"	"9.58"	"I2M01640"	"8038"	"中"	"--"	"--"	"C124"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"日本"	"--"	"日本"	"--"	"--"	"87.0"	"--"	"21.0"	"浙江农科院作物所"	"--"	"--"	"H0000496"	"--"	"--"	"27.0"	"--"	"--"	"--"	"39.43"	"6.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"320"	"--"	"HS"	"--"	"--"	"国外"	"深紫"	"2.1"	"212"	"大"	"MS"	"--"	"5"	"--"	"--"	"8096"	"乳白"	"--"	"5.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"MR"	"--"	"2.8"	"30.57"	"240.0"	"阔薄"	"5.29"	"--"	"10.50"	"--"	"8096"	"均匀"	"--"	"--"	"C86"	"Vicia faba L.(蚕豆)"	"1-3"	"10.29"	"日本"	"--"	"日本"	"5"	"--"	"108.0"	"--"	"9.0"	"浙江农科院作物所"	"--"	"--"	"H0000497"	"9"	"--"	"43.0"	"25.9"	"--"	"--"	"38.28"	"14.0"	"53.6"	"--"	"Leguminosae(豆科)"	"--"																						
"321"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.3"	"210"	"中"	"--"	"33.17"	"--"	"--"	"--"	"8049"	"乳白"	"--"	"3.4"	"Vicia(巢菜属)"	"1.53"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.5"	"23.64"	"70.0"	"窄厚"	"5.27"	"--"	"9.78"	"I2M01981"	"8049"	"中"	"--"	"--"	"C135"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊朗"	"--"	"伊朗"	"--"	"--"	"95.0"	"--"	"23.6"	"浙江农科院作物所"	"--"	"--"	"H0000498"	"--"	"--"	"32.0"	"--"	"--"	"--"	"42.95"	"7.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"322"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.1"	"210"	"中"	"--"	"35.28"	"--"	"--"	"--"	"8018"	"乳白"	"--"	"3.6"	"Vicia(巢菜属)"	"1.47"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.6"	"23.64"	"85.3"	"窄厚"	"5.27"	"--"	"10.52"	"I2M01641"	"8018"	"中"	"--"	"--"	"C104"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"土耳其"	"--"	"土耳其"	"--"	"--"	"100.2"	"--"	"22.0"	"浙江农科院作物所"	"--"	"--"	"H0000499"	"--"	"--"	"34.0"	"--"	"--"	"--"	"45.80"	"8.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"323"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.2"	"210"	"中"	"HS"	"28.78"	"9"	"--"	"--"	"8019"	"乳白"	"--"	"3.6"	"Vicia(巢菜属)"	"1.48"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"23.66"	"99.0"	"窄厚"	"5.27"	"--"	"10.87"	"I2M02645"	"8019"	"中"	"--"	"--"	"C105"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"土耳其"	"--"	"土耳其"	"--"	"--"	"65.2"	"--"	"17.5"	"浙江农科院作物所"	"--"	"--"	"H0000500"	"--"	"--"	"35.2"	"--"	"--"	"--"	"39.65"	"10.2"	"92.6"	"--"	"Leguminosae(豆科)"	"--"																						
"324"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.5"	"208"	"中"	"--"	"--"	"--"	"--"	"--"	"7071"	"乳白"	"--"	"4.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"--"	"111.5"	"窄厚"	"5.25"	"--"	"--"	"I2M01982"	"7071"	"中"	"--"	"--"	"C11"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"土耳其"	"--"	"土耳其"	"--"	"--"	"78.0"	"--"	"11.2"	"浙江农科院作物所"	"--"	"--"	"H0000501"	"--"	"--"	"29.0"	"--"	"--"	"--"	"--"	"10.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"325"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.9"	"207"	"大"	"--"	"35.60"	"--"	"--"	"--"	"7044"	"乳白"	"--"	"3.6"	"Vicia(巢菜属)"	"1.82"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"25.96"	"121.4"	"窄厚"	"5.24"	"--"	"9.65"	"I2M01642"	"7044"	"不均"	"--"	"--"	"C44"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"土耳其"	"--"	"土耳其"	"--"	"--"	"65.2"	"--"	"10.4"	"浙江农科院作物所"	"--"	"--"	"H0000502"	"--"	"--"	"22.0"	"--"	"--"	"--"	"45.25"	"7.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"326"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.9"	"210"	"小"	"--"	"32.11"	"--"	"--"	"--"	"8053"	"乳白"	"--"	"2.6"	"Vicia(巢菜属)"	"1.73"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.3"	"25.85"	"51.5"	"窄厚"	"5.27"	"--"	"11.06"	"I2M01643"	"8053"	"中"	"--"	"--"	"C139"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"土耳其"	"--"	"土耳其"	"--"	"--"	"76.4"	"--"	"18.2"	"浙江农科院作物所"	"--"	"--"	"H0000503"	"--"	"--"	"16.4"	"--"	"--"	"--"	"43.17"	"6.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"327"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.7"	"210"	"中"	"--"	"--"	"--"	"--"	"--"	"8010"	"乳白"	"--"	"3.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.9"	"--"	"101.0"	"中厚"	"5.27"	"--"	"--"	"I2M01644"	"8010"	"不均"	"--"	"--"	"C96"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"86.6"	"--"	"12.8"	"浙江农科院作物所"	"--"	"--"	"H0000504"	"--"	"--"	"32.0"	"--"	"--"	"--"	"--"	"9.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"328"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.2"	"210"	"中"	"--"	"--"	"--"	"--"	"--"	"8011"	"乳白"	"--"	"4.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"--"	"87.5"	"中薄"	"5.27"	"--"	"--"	"I2M02642"	"8011"	"中"	"--"	"--"	"C97"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"85.0"	"--"	"13.2"	"浙江农科院作物所"	"--"	"--"	"H0000505"	"--"	"--"	"25.0"	"--"	"--"	"--"	"--"	"8.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"329"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.2"	"210"	"中"	"--"	"--"	"--"	"--"	"--"	"8012"	"乳白"	"--"	"5.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.6"	"--"	"88.5"	"中薄"	"5.27"	"--"	"--"	"I2M02643"	"8012"	"不均"	"--"	"--"	"C98"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"94.4"	"--"	"12.4"	"浙江农科院作物所"	"--"	"--"	"H0000506"	"--"	"--"	"21.0"	"--"	"--"	"--"	"--"	"8.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"330"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.9"	"207"	"中"	"--"	"--"	"--"	"--"	"--"	"8013"	"乳白"	"--"	"4.8"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"--"	"106.0"	"中薄"	"5.24"	"--"	"--"	"I2M02644"	"8013"	"不均"	"--"	"--"	"C99"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"88.4"	"--"	"17.6"	"浙江农科院作物所"	"--"	"--"	"H0000507"	"--"	"--"	"30.0"	"--"	"--"	"--"	"--"	"10.3"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"331"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.4"	"210"	"中"	"--"	"--"	"--"	"--"	"--"	"8008"	"乳白"	"--"	"4.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"--"	"119.0"	"中厚"	"5.27"	"--"	"--"	"I2M01645"	"8008"	"不均"	"--"	"--"	"C94"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"100.4"	"--"	"15.6"	"浙江农科院作物所"	"--"	"--"	"H0000508"	"--"	"--"	"41.0"	"--"	"--"	"--"	"--"	"8.4"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"332"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.8"	"206"	"中"	"--"	"--"	"--"	"--"	"--"	"7011"	"乳白"	"--"	"4.5"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"--"	"105.0"	"中薄"	"5.23"	"--"	"--"	"I2M01646"	"7011"	"不均"	"--"	"--"	"C11"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"52.0"	"--"	"8.0"	"浙江农科院作物所"	"--"	"--"	"H0000509"	"--"	"--"	"11.0"	"--"	"--"	"--"	"--"	"7.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"333"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.3"	"205"	"中"	"--"	"--"	"--"	"--"	"--"	"7012"	"乳白"	"--"	"3.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"--"	"92.0"	"中厚"	"5.22"	"--"	"--"	"I2M01983"	"7012"	"中"	"--"	"--"	"C12"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"70.8"	"--"	"10.6"	"浙江农科院作物所"	"--"	"--"	"H0000510"	"--"	"--"	"20.0"	"--"	"--"	"--"	"--"	"6.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"334"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.7"	"205"	"中"	"--"	"--"	"--"	"--"	"--"	"7013"	"乳白"	"--"	"5.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.6"	"--"	"101.5"	"中薄"	"5.22"	"--"	"--"	"I2M01984"	"7013"	"中"	"--"	"--"	"C13"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"70.2"	"--"	"13.8"	"浙江农科院作物所"	"--"	"--"	"H0000511"	"--"	"--"	"22.8"	"--"	"--"	"--"	"--"	"7.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"335"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.2"	"205"	"中"	"--"	"--"	"--"	"--"	"--"	"7014"	"乳白"	"--"	"2.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"--"	"112.4"	"中薄"	"5.22"	"--"	"--"	"I2M01647"	"7014"	"不均"	"--"	"--"	"C14"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"60.0"	"--"	"7.0"	"浙江农科院作物所"	"--"	"--"	"H0000512"	"--"	"--"	"15.0"	"--"	"--"	"--"	"--"	"7.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"336"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.1"	"205"	"中"	"--"	"--"	"--"	"--"	"--"	"7016"	"乳白"	"--"	"3.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.5"	"--"	"78.4"	"中厚"	"5.22"	"--"	"--"	"I2M01648"	"7016"	"不均"	"--"	"--"	"C16"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"73.2"	"--"	"11.8"	"浙江农科院作物所"	"--"	"--"	"H0000513"	"--"	"--"	"13.0"	"--"	"--"	"--"	"--"	"8.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"337"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.9"	"207"	"中"	"--"	"33.87"	"--"	"--"	"--"	"7043"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"1.85"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.8"	"26.70"	"119.0"	"中厚"	"5.24"	"--"	"7.98"	"I2M01649"	"7043"	"中"	"--"	"--"	"C43"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"76.6"	"--"	"12.0"	"浙江农科院作物所"	"--"	"--"	"H0000514"	"--"	"--"	"27.0"	"--"	"--"	"--"	"41.85"	"8.4"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"338"	"--"	"--"	"--"	"--"	"国外"	"白"	"1.5"	"210"	"中"	"HS"	"36.16"	"7-9"	"--"	"--"	"7037"	"乳白"	"--"	"3.4"	"Vicia(巢菜属)"	"1.61"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.9"	"23.47"	"118.0"	"中厚"	"5.27"	"--"	"8.55"	"I2M02625"	"7037"	"中"	"--"	"--"	"C37"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"88.4"	"--"	"10.4"	"浙江农科院作物所"	"--"	"--"	"H0000515"	"--"	"--"	"17.6"	"--"	"--"	"--"	"44.71"	"8.3"	"88.9"	"--"	"Leguminosae(豆科)"	"--"																						
"339"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.2"	"205"	"中"	"--"	"35.62"	"--"	"--"	"--"	"7038"	"乳白"	"--"	"4.4"	"Vicia(巢菜属)"	"1.80"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.4"	"23.75"	"78.5"	"中薄"	"5.22"	"--"	"8.43"	"I2M01985"	"7038"	"不均"	"--"	"--"	"C38"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"85.4"	"--"	"13.2"	"浙江农科院作物所"	"--"	"--"	"H0000516"	"--"	"--"	"22.0"	"--"	"--"	"--"	"44.05"	"8.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"340"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.0"	"205"	"大"	"--"	"34.04"	"--"	"--"	"--"	"7039"	"乳白"	"--"	"3.2"	"Vicia(巢菜属)"	"1.80"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.9"	"23.48"	"131.0"	"中厚"	"5.22"	"--"	"8.36"	"I2M01650"	"7039"	"均匀"	"--"	"--"	"C39"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"伊拉克"	"--"	"伊拉克"	"--"	"--"	"85.2"	"--"	"11.5"	"浙江农科院作物所"	"--"	"--"	"H0000517"	"--"	"--"	"29.0"	"--"	"--"	"--"	"42.40"	"11.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"341"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.3"	"213"	"大"	"--"	"--"	"--"	"--"	"--"	"8060"	"乳白"	"--"	"3.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.9"	"--"	"133.0"	"中厚"	"5.30"	"--"	"--"	"I2M01986"	"8060"	"中"	"--"	"--"	"C146"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"89.4"	"--"	"14.2"	"浙江农科院作物所"	"--"	"--"	"H0000518"	"--"	"--"	"39.0"	"--"	"--"	"--"	"--"	"8.3"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"342"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.7"	"213"	"中"	"--"	"--"	"--"	"--"	"--"	"8058"	"乳白"	"--"	"2.5"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.5"	"--"	"104.2"	"中厚"	"5.30"	"--"	"--"	"I2M01987"	"8058"	"中"	"--"	"--"	"C144"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"79.3"	"--"	"11.5"	"浙江农科院作物所"	"--"	"--"	"H0000519"	"--"	"--"	"30.0"	"--"	"--"	"--"	"--"	"9.2"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"343"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.7"	"211"	"中"	"--"	"32.62"	"--"	"--"	"--"	"8059"	"乳白"	"--"	"3.8"	"Vicia(巢菜属)"	"1.50"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"--"	"23.80"	"111.7"	"--"	"5.28"	"--"	"9.45"	"I2M01988"	"8059"	"中"	"--"	"--"	"C145"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"94.2"	"--"	"15.4"	"浙江农科院作物所"	"--"	"--"	"H0000520"	"--"	"--"	"40.0"	"--"	"--"	"--"	"42.07"	"--"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"344"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.8"	"209"	"中"	"--"	"34.50"	"--"	"--"	"--"	"7027"	"乳白"	"--"	"2.0"	"Vicia(巢菜属)"	"1.61"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.6"	"23.65"	"119.0"	"中厚"	"5.26"	"--"	"9.55"	"I2M01651"	"7027"	"中"	"--"	"--"	"C27"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"73.4"	"--"	"6.0"	"浙江农科院作物所"	"--"	"--"	"H0000521"	"--"	"--"	"28.3"	"--"	"--"	"--"	"44.05"	"9.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"345"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.8"	"208"	"中"	"--"	"31.78"	"--"	"--"	"--"	"7029"	"乳白"	"--"	"3.6"	"Vicia(巢菜属)"	"1.35"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"2.0"	"26.66"	"119.0"	"阔薄"	"5.25"	"--"	"8.86"	"I2M01721"	"7029"	"中"	"--"	"--"	"C29"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"82.6"	"--"	"12.4"	"浙江农科院作物所"	"--"	"--"	"H0000522"	"--"	"--"	"43.0"	"--"	"--"	"--"	"40.64"	"11.4"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"346"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.9"	"207"	"中"	"--"	"32.56"	"--"	"--"	"--"	"7030"	"乳白"	"--"	"3.8"	"Vicia(巢菜属)"	"1.56"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"25.24"	"113.0"	"中厚"	"5.24"	"--"	"8.63"	"I2M01989"	"7030"	"不均"	"--"	"--"	"C30"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"70.4"	"--"	"12.0"	"浙江农科院作物所"	"--"	"--"	"H0000523"	"--"	"--"	"33.4"	"--"	"--"	"--"	"41.19"	"10.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"347"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.2"	"210"	"中"	"--"	"--"	"--"	"--"	"--"	"7065"	"乳白"	"--"	"4.2"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.6"	"--"	"93.5"	"中薄"	"5.27"	"--"	"--"	"I2M02635"	"7065"	"不均"	"--"	"--"	"C65"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"85.8"	"--"	"12.6"	"浙江农科院作物所"	"--"	"--"	"H0000524"	"--"	"--"	"25.0"	"--"	"--"	"--"	"--"	"7.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"348"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.3"	"210"	"大"	"--"	"34.19"	"--"	"--"	"--"	"7066"	"乳白"	"--"	"3.8"	"Vicia(巢菜属)"	"1.45"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"26.05"	"126.7"	"阔薄"	"5.27"	"--"	"8.43"	"I2M01990"	"7066"	"不均"	"--"	"--"	"C66"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"76.4"	"--"	"12.8"	"浙江农科院作物所"	"--"	"--"	"H0000525"	"--"	"--"	"31.0"	"--"	"--"	"--"	"42.62"	"6.7"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"349"	"--"	"HS"	"--"	"--"	"国外"	"白"	"2.3"	"210"	"中"	"MS"	"33.67"	"5"	"--"	"--"	"7068"	"乳白"	"--"	"2.0"	"Vicia(巢菜属)"	"1.74"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"MS"	"--"	"1.8"	"27.51"	"114.4"	"中厚"	"5.27"	"--"	"11.37"	"I2M02636"	"7068"	"中"	"--"	"--"	"C68"	"Vicia faba L.(蚕豆)"	"3-5"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"4"	"--"	"75.2"	"--"	"9.5"	"浙江农科院作物所"	"--"	"--"	"H0000526"	"9"	"--"	"25.0"	"41.4"	"--"	"--"	"40.70"	"9.9"	"52.2"	"--"	"Leguminosae(豆科)"	"--"																						
"350"	"--"	"--"	"--"	"--"	"国外"	"白"	"3.4"	"211"	"中"	"--"	"--"	"--"	"--"	"--"	"8022"	"乳白"	"--"	"3.0"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"1.8"	"--"	"97.5"	"中厚"	"5.28"	"--"	"--"	"I2M01652"	"8022"	"中"	"--"	"--"	"C108"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"91.8"	"--"	"12.4"	"浙江农科院作物所"	"--"	"--"	"H0000527"	"--"	"--"	"40.0"	"--"	"--"	"--"	"--"	"10.1"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"351"	"--"	"--"	"--"	"--"	"国外"	"白"	"2.3"	"209"	"中"	"--"	"--"	"--"	"--"	"--"	"7031"	"乳白"	"--"	"3.4"	"Vicia(巢菜属)"	"--"	"国外"	"--"	"--"	"--"	"--"	"--"	"--"	"早"	"--"	"--"	"1.7"	"--"	"98.0"	"中薄"	"5.26"	"--"	"--"	"I2M01991"	"7031"	"不均"	"--"	"--"	"C31"	"Vicia faba L.(蚕豆)"	"--"	"10.29"	"黎巴嫩"	"--"	"黎巴嫩"	"--"	"--"	"83.4"	"--"	"14.4"	"浙江农科院作物所"	"--"	"--"	"H0000528"	"--"	"--"	"30.0"	"--"	"--"	"--"	"--"	"8.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
