"id"	"备注"	"蚜害病评价"	"异亮氨酸"	"酩氨酸"	"样品类型"	"花色"	"单荚粒数"	"全生育日数"	"粒型"	"赤斑病评价"	"支链淀粉"	"赤斑病级"	"丙氨酸"	"锈病指数"	"译名"	"粒色"	"色氨酸"	"有效枝"	"属名"	"粗脂肪"	"省"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"天冬氨酸"	"蚜害病指数"	"亮氨酸"	"熟性"	"褐斑病评价"	"谷氨酸"	"荚宽"	"粗蛋白"	"百粒重"	"粒形"	"成熟期"	"精氨酸"	"直链淀粉"	"库编号"	"品种名称"	"均匀度"	"苏氨酸"	"蛋氨酸"	"保存编号"	"学名"	"褐斑病级"	"播种期"	"种子来源"	"锈病病级"	"原产地"	"抗涝性"	"脯氨酸"	"株高"	"组氨酸"	"单株荚数"	"保存单位"	"芽期耐盐"	"缬氨酸"	"统一编号"	"蚜害病级"	"锈病评价"	"单株产量"	"褐斑病指数"	"苯丙氨酸"	"胱氨酸"	"总淀粉"	"荚长"	"赤斑病指数"	"总和"	"科名"	"苗期耐盐"	"穗形"	"酪氨酸"	"穗柄长"	"蛋白质"	"赖氨占蛋白"	"脂肪"	"锤度"	"分枝数"	"来源地"	"结荚习性"	"分蘖性"	"荚色"	"引入时间"	"生长习性"	"丝黑穗病率"	"灌浆抗寒性"	"高程"	"水份"	"颖壳包皮度"	"幼苗色"	"壳色"	"苗期抗寒性"
"11"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.4"	"108"	"小"	"HS"	"33.75"	"7-9"	"--"	"--"	"CAN DOU"	"乳白"	"--"	"1.6"	"Vicia(巢菜属)"	"1.35"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"S"	"--"	"--"	"24.78"	"69.6"	"窄厚"	"7.04"	"--"	"11.30"	"I2M02322"	"蚕豆"	"--"	"--"	"--"	"80-3"	"Vicia faba L.(蚕豆)"	"7"	"3.18"	"--"	"--"	"代县"	"--"	"--"	"49.0"	"--"	"6.6"	"山西省农科院"	"--"	"--"	"H0000011"	"--"	"--"	"9.5"	"76.0"	"--"	"--"	"45.05"	"6.7"	"83.1"	"--"	"Leguminosae(豆科)"	"--"																						
"12"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.2"	"113"	"小"	"--"	"35.54"	"--"	"--"	"--"	"CAN DOU"	"乳白"	"--"	"2.0"	"Vicia(巢菜属)"	"1.35"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"--"	"23.04"	"57.5"	"中薄"	"7.05"	"--"	"11.16"	"I2M02323"	"蚕豆"	"--"	"--"	"--"	"138"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"代县"	"--"	"--"	"58.6"	"--"	"12.0"	"山西省农科院"	"--"	"--"	"H0000012"	"--"	"--"	"13.7"	"--"	"--"	"--"	"46.70"	"5.8"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"13"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.3"	"109"	"小"	"--"	"37.01"	"--"	"--"	"--"	"DA DOU"	"乳白"	"--"	"0.4"	"Vicia(巢菜属)"	"1.43"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"中"	"--"	"--"	"--"	"22.96"	"63.6"	"中薄"	"7.01"	"--"	"10.90"	"I2M02324"	"大豆"	"--"	"--"	"--"	"139"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"代县"	"--"	"--"	"67.2"	"--"	"7.8"	"山西省农科院"	"--"	"--"	"H0000013"	"--"	"--"	"10.2"	"--"	"--"	"--"	"47.91"	"5.9"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"14"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.2"	"111"	"小"	"--"	"--"	"--"	"--"	"--"	"DA DOU"	"乳白"	"--"	"0.9"	"Vicia(巢菜属)"	"--"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"--"	"--"	"63.8"	"窄厚"	"7.03"	"--"	"--"	"I2M02188"	"大豆"	"--"	"--"	"--"	"140"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"代县"	"--"	"--"	"73.0"	"--"	"7.5"	"山西省农科院"	"--"	"--"	"H0000014"	"--"	"--"	"9.3"	"--"	"--"	"--"	"--"	"5.3"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"15"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.4"	"111"	"小"	"--"	"33.72"	"--"	"--"	"--"	"YANG CAN DOU"	"乳白"	"--"	"1.2"	"Vicia(巢菜属)"	"1.26"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"--"	"25.42"	"57.6"	"中薄"	"7.03"	"--"	"12.56"	"I2M02325"	"洋蚕豆"	"--"	"--"	"--"	"141"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"代县"	"--"	"--"	"65.4"	"--"	"8.7"	"山西省农科院"	"--"	"--"	"H0000015"	"--"	"--"	"10.3"	"--"	"--"	"--"	"46.31"	"5.6"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"16"	"--"	"--"	"--"	"--"	"地方"	"白"	"2.3"	"111"	"小"	"HS"	"--"	"9"	"--"	"--"	"JIA CAN DOU"	"乳白"	"--"	"1.1"	"Vicia(巢菜属)"	"--"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"HS"	"--"	"--"	"--"	"61.6"	"窄厚"	"7.03"	"--"	"--"	"I2M02189"	"家蚕豆"	"--"	"--"	"--"	"142"	"Vicia faba L.(蚕豆)"	"9"	"3.14"	"--"	"--"	"代县"	"--"	"--"	"65.4"	"--"	"9.8"	"山西省农科院"	"--"	"--"	"H0000016"	"--"	"--"	"13.2"	"100.0"	"--"	"--"	"--"	"5.9"	"91.1"	"--"	"Leguminosae(豆科)"	"--"																						
"17"	"--"	"--"	"--"	"--"	"地方"	"白"	"1.8"	"111"	"中"	"--"	"34.89"	"--"	"--"	"--"	"CAN DOU"	"乳白"	"--"	"0.6"	"Vicia(巢菜属)"	"1.49"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"--"	"23.37"	"70.0"	"中薄"	"7.03"	"--"	"13.38"	"I2M03388"	"蚕豆"	"--"	"--"	"--"	"148"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"繁峙县"	"--"	"--"	"52.6"	"--"	"5.9"	"山西省农科院"	"--"	"--"	"H0000017"	"--"	"--"	"6.3"	"--"	"--"	"--"	"48.27"	"5.0"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"18"	"--"	"--"	"1.45"	"0.77"	"地方"	"白"	"2.4"	"104"	"小"	"--"	"33.94"	"--"	"0.98"	"--"	"CAN DOU"	"乳白"	"0.12"	"1.9"	"Vicia(巢菜属)"	"1.24"	"山西"	"1.12"	"1.68"	"0.98"	"2.50"	"--"	"2.02"	"早"	"--"	"4.39"	"--"	"24.92"	"69.8"	"窄厚"	"6.30"	"2.11"	"13.12"	"I2M02326"	"蚕豆"	"--"	"0.83"	"0.53"	"80-4"	"Vicia faba L.(蚕豆)"	"--"	"3.18"	"--"	"--"	"繁峙县 ?"	"--"	"1.08"	"59.1"	"0.51"	"10.8"	"山西省农科院"	"--"	"1.33"	"H0000018"	"--"	"--"	"17.3"	"--"	"1.58"	"0.64"	"47.06"	"6.6"	"--"	"24.62"	"Leguminosae(豆科)"	"--"																						
"19"	"--"	"--"	"1.56"	"0.87"	"地方"	"白"	"1.9"	"111"	"小"	"--"	"37.47"	"--"	"1.14"	"--"	"CAN DOU"	"乳白"	"0.14"	"0.2"	"Vicia(巢菜属)"	"1.37"	"山西"	"1.30"	"1.89"	"1.14"	"2.98"	"--"	"2.37"	"晚"	"--"	"5.18"	"--"	"22.81"	"65.2"	"中薄"	"7.03"	"2.39"	"12.08"	"I2M02327"	"蚕豆"	"--"	"0.94"	"0.56"	"143"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"五台县 ?"	"--"	"0.99"	"66.7"	"0.68"	"8.3"	"山西省农科院"	"--"	"1.56"	"H0000019"	"--"	"--"	"9.3"	"--"	"1.72"	"0.70"	"49.55"	"7.5"	"--"	"28.09"	"Leguminosae(豆科)"	"--"																						
"20"	"--"	"--"	"--"	"--"	"地方"	"白"	"1.9"	"115"	"小"	"--"	"32.09"	"--"	"--"	"--"	"CAN DOU"	"乳白"	"--"	"1.0"	"Vicia(巢菜属)"	"1.42"	"山西"	"--"	"--"	"--"	"--"	"--"	"--"	"晚"	"--"	"--"	"--"	"22.93"	"62.3"	"中薄"	"7.07"	"--"	"11.76"	"I2M02328"	"蚕豆"	"--"	"--"	"--"	"144"	"Vicia faba L.(蚕豆)"	"--"	"3.14"	"--"	"--"	"五台县 ?"	"--"	"--"	"71.8"	"--"	"9.1"	"山西省农科院"	"--"	"--"	"H0000020"	"--"	"--"	"10.3"	"--"	"--"	"--"	"43.85"	"5.5"	"--"	"--"	"Leguminosae(豆科)"	"--"																						
"21"	"--"	"HS"	"--"	"--"	"国外"	"白"	"1.8"	"100"	"小"	"MS"	"36.31"	"5-7"	"--"	"--"	"DA BAN YA"	"乳白"	"--"	"1.7"	"Vicia(巢菜属)"	"1.43"	"国外"	"--"	"--"	"--"	"--"	"100"	"--"	"早"	"HS"	"--"	"--"	"26.65"	"30.8"	"窄厚"	"8.20"	"--"	"7.48"	"I2M00897"	"大板牙"	"均匀"	"--"	"--"	"09120"	"Vicia faba L.(蚕豆)"	"7-9"	"5.12"	"--"	"--"	"内蒙农科院"	"--"	"--"	"46.3"	"--"	"12.1"	"内蒙兴安盟农科所"	"4"	"--"	"H0000059"	"9"	"--"	"9.4"	"84.4"	"--"	"--"	"44.15"	"5.3"	"56.8"	"--"	"Leguminosae(豆科)"	"5"																						
"22"	"--"	"HS"	"--"	"--"	"地方"	"白"	"2.1"	"82"	"小"	"S"	"34.76"	"5-7"	"--"	"--"	"DANG DI CAN DOU"	"乳白"	"--"	"2.0"	"Vicia(巢菜属)"	"1.16"	"内蒙古"	"--"	"--"	"--"	"--"	"68"	"--"	"早"	"HS"	"--"	"--"	"26.27"	"53.4"	"窄厚"	"8.02"	"--"	"11.86"	"I2M00922"	"当地蚕豆"	"均匀"	"--"	"--"	"0957"	"Vicia faba L.(蚕豆)"	"7-9"	"5.12"	"--"	"--"	"丰镇县"	"--"	"--"	"46.2"	"--"	"5.3"	"内蒙兴安盟农科所"	"--"	"--"	"H0000084"	"9"	"--"	"6.0"	"84.4"	"--"	"--"	"46.62"	"5.7"	"74.1"	"--"	"Leguminosae(豆科)"	"--"																						
