"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"保存编号"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"省"	"粒色"	"来源地"	"花序性"	"样品类型"	"系谱"	"播种期"	"学名"	"统一编号"	"保存单位"	"其它"	"属名"	"茎色"	"株高"
"238"	"8.24"	"111.0"	"Amaranthaceae(苋科)"	"粉红"	"X034"	"农红苋(早)"	"左旗"	"黄绿"	"0.47"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.07"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000159"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"221.0"
"239"	"8.24"	"107.0"	"Amaranthaceae(苋科)"	"粉红"	"X035"	"农红苋(早)"	"右旗"	"黄绿"	"0.48"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.07"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000160"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"221.0"
"240"	"8.24"	"107.0"	"Amaranthaceae(苋科)"	"粉红"	"X036"	"农红苋(早)"	"林西县"	"黄绿"	"0.47"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.07"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000161"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"214.0"
"241"	"8.26"	"95.0"	"Amaranthaceae(苋科)"	"粉红"	"X037"	"农红苋(早)"	"克旗"	"黄绿"	"0.47"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.10"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000162"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"198.0"
"242"	"8.22"	"117.0"	"Amaranthaceae(苋科)"	"粉红"	"X038"	"农红苋(早)"	"翁旗"	"黄绿"	"0.48"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.07"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000163"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"219.0"
"243"	"8.21"	"118.0"	"Amaranthaceae(苋科)"	"粉红"	"X039"	"农红苋(早)"	"郊区"	"黄绿"	"0.48"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.06"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000164"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"220.0"
"244"	"8.21"	"121.0"	"Amaranthaceae(苋科)"	"粉红"	"X040"	"农红苋(早)"	"红山区"	"黄绿"	"0.48"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.05"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000165"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"223.0"
"245"	"8.21"	"118.0"	"Amaranthaceae(苋科)"	"粉红"	"X041"	"农红苋(早)"	"元宝山区"	"黄绿"	"0.47"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.06"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000166"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"220.0"
"246"	"8.21"	"116.0"	"Amaranthaceae(苋科)"	"粉红"	"X042"	"农红苋(早)"	"敖汉旗"	"黄绿"	"0.48"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.01"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000167"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"223.0"
"247"	"8.21"	"125.0"	"Amaranthaceae(苋科)"	"粉红"	"X043"	"农红苋(早)"	"宁城县"	"黄绿"	"0.49"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.01"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000168"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"234.0"
"248"	"8.21"	"119.0"	"Amaranthaceae(苋科)"	"粉红"	"X044"	"农红苋(早)"	"喀旗"	"黄绿"	"0.48"	"栽培"	"内蒙"	"白粉"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.01"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000169"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"228.0"
"249"	"9.13"	"91.0"	"Amaranthaceae(苋科)"	"紫红"	"067"	"赤苋4号"	"赤峰"	"绿"	"0.78"	"选育"	"内蒙"	"棕黑"	"--"	"直立"	"选育"	"92392"	"5.10"	"--"	"ZX000192"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿粉红"	"235.0"
"250"	"8.17"	"73.0"	"Amaranthaceae(苋科)"	"紫红"	"068"	"赤4早"	"赤峰"	"绿"	"0.71"	"选育"	"内蒙"	"棕黑"	"--"	"直立"	"选育"	"92388"	"5.10"	"--"	"ZX000193"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"粉红"	"170.0"
"251"	"9.27"	"105.0"	"Amaranthaceae(苋科)"	"紫红"	"069"	"赤4晚"	"赤峰"	"绿"	"0.74"	"选育"	"内蒙"	"棕黑"	"--"	"直立"	"选育"	"92375"	"5.10"	"--"	"ZX000194"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"284.0"
"252"	"8.15"	"70.0"	"Amaranthaceae(苋科)"	"绿"	"070"	"赤苋5号"	"赤峰"	"绿"	"0.72"	"选育"	"内蒙"	"黑"	"--"	"直立"	"选育"	"92773-4"	"5.10"	"--"	"ZX000195"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"168.0"
"253"	"8.26"	"72.0"	"Amaranthaceae(苋科)"	"鲜粉红"	"071"	"赤苋6号"	"赤峰"	"绿"	"0.73"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93池中"	"5.10"	"--"	"ZX000196"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"173.0"
"254"	"8.15"	"75.0"	"Amaranthaceae(苋科)"	"绿"	"072"	"赤苋7号"	"赤峰"	"绿"	"0.73"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93110"	"5.10"	"--"	"ZX000197"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"171.0"
"255"	"8.17"	"75.0"	"Amaranthaceae(苋科)"	"绿"	"073"	"赤苋8号"	"赤峰"	"绿"	"0.81"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93489"	"5.10"	"--"	"ZX000198"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"175.0"
"256"	"8.18"	"82.0"	"Amaranthaceae(苋科)"	"淡粉"	"074"	"赤苋9号"	"赤峰"	"绿"	"0.73"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93485"	"5.10"	"--"	"ZX000199"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"182.0"
"257"	"9.27"	"150.0"	"Amaranthaceae(苋科)"	"鲜粉红"	"075"	"赤苋10号"	"赤峰"	"黄绿"	"0.53"	"选育"	"内蒙"	"淡红"	"--"	"下垂"	"选育"	"93662"	"5.10"	"--"	"ZX000200"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"335.0"
"258"	"9.24"	"110.0"	"Amaranthaceae(苋科)"	"粉红"	"076"	"赤苋11号"	"赤峰"	"黄绿"	"0.55"	"选育"	"内蒙"	"淡红"	"--"	"下垂"	"选育"	"93239"	"5.10"	"--"	"ZX000201"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"320.0"
"259"	"9.28"	"75.0"	"Amaranthaceae(苋科)"	"绿"	"077"	"赤苋12号"	"赤峰"	"黄绿"	"0.56"	"选育"	"内蒙"	"淡红"	"--"	"下垂"	"选育"	"93574"	"5.10"	"--"	"ZX000202"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"273.0"
"260"	"9.16"	"90.0"	"Amaranthaceae(苋科)"	"紫红"	"078"	"赤苋13号"	"赤峰"	"绿紫"	"0.63"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93124"	"5.10"	"--"	"ZX000203"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"紫红"	"250.0"
"261"	"8.18"	"62.0"	"Amaranthaceae(苋科)"	"桃红"	"079"	"赤13早"	"赤峰"	"粉绿"	"0.79"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93115"	"5.10"	"--"	"ZX000204"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"粉红"	"183.0"
"262"	"9.25"	"73.0"	"Amaranthaceae(苋科)"	"深粉红"	"080"	"赤13晚"	"赤峰"	"绿红"	"0.68"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93272"	"5.10"	"--"	"ZX000205"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"红"	"265.0"
"263"	"9.18"	"98.0"	"Amaranthaceae(苋科)"	"粉穗"	"081"	"赤苋14号"	"赤峰"	"粉绿"	"0.71"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93123"	"5.10"	"--"	"ZX000206"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"205.0"
"264"	"9.29"	"135.0"	"Amaranthaceae(苋科)"	"绿"	"082"	"赤苋15号"	"赤峰"	"绿"	"0.76"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93654"	"5.10"	"--"	"ZX000207"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"304.0"
"265"	"9.29"	"115.0"	"Amaranthaceae(苋科)"	"桃红"	"083"	"赤苋16号"	"赤峰"	"绿"	"0.70"	"选育"	"内蒙"	"黑"	"--"	"直立"	"选育"	"93276"	"5.10"	"--"	"ZX000208"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"350.0"
"266"	"9.20"	"55.0"	"Amaranthaceae(苋科)"	"绿"	"084"	"赤苋17号"	"赤峰"	"绿"	"0.79"	"选育"	"内蒙"	"黄"	"--"	"直立"	"选育"	"93100"	"5.10"	"--"	"ZX000209"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"185.0"
"267"	"9.28"	"88.0"	"Amaranthaceae(苋科)"	"绿"	"085"	"赤苋18号"	"赤峰"	"绿"	"0.74"	"选育"	"内蒙"	"棕黑"	"--"	"直立"	"选育"	"92530"	"5.10"	"--"	"ZX000210"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"254.0"
"268"	"9.10"	"48.0"	"Amaranthaceae(苋科)"	"绿"	"086"	"赤苋19号"	"赤峰"	"绿"	"0.79"	"选育"	"内蒙"	"黄"	"--"	"直立"	"选育"	"93507"	"5.10"	"--"	"ZX000211"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"185.0"
"269"	"9.24"	"88.0"	"Amaranthaceae(苋科)"	"桃红"	"087"	"赤苋20号"	"赤峰"	"绿"	"0.65"	"选育"	"内蒙"	"黑"	"--"	"直立"	"选育"	"93243"	"5.10"	"--"	"ZX000212"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"235.0"
"270"	"9.10"	"82.0"	"Amaranthaceae(苋科)"	"橙黄"	"088"	"赤苋21号"	"赤峰"	"黄绿"	"0.65"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93220"	"5.10"	"--"	"ZX000213"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"淡绿"	"234.0"
"271"	"9.10"	"95.0"	"Amaranthaceae(苋科)"	"黄"	"089"	"赤苋22号"	"赤峰"	"黄绿"	"0.70"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93261"	"5.10"	"--"	"ZX000214"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"239.0"
"272"	"9.14"	"85.0"	"Amaranthaceae(苋科)"	"杏黄"	"090"	"赤苋23号"	"赤峰"	"黄绿"	"0.68"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93222"	"5.10"	"--"	"ZX000215"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"黄绿"	"230.0"
"273"	"8.25"	"55.0"	"Amaranthaceae(苋科)"	"桃红"	"091"	"赤苋24号"	"赤峰"	"绿红"	"0.71"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"93644-45"	"5.10"	"--"	"ZX000216"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"红"	"155.0"
"274"	"8.25"	"75.0"	"Amaranthaceae(苋科)"	"淡粉"	"092"	"赤苋25号"	"赤峰"	"绿"	"0.68"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"92746"	"5.09"	"--"	"ZX000217"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"185.0"
"275"	"8.25"	"91.0"	"Amaranthaceae(苋科)"	"绿穗"	"093"	"赤苋26号"	"赤峰"	"绿"	"0.71"	"选育"	"内蒙"	"黑亮"	"--"	"直立"	"选育"	"92614"	"5.09"	"--"	"ZX000218"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"185.0"
"276"	"9.15"	"96.0"	"Amaranthaceae(苋科)"	"绿穗"	"094"	"赤苋27号"	"赤峰"	"绿"	"0.76"	"选育"	"内蒙"	"棕黑"	"--"	"直立"	"选育"	"92508"	"5.09"	"--"	"ZX000219"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"183.0"
"277"	"9.15"	"75.0"	"Amaranthaceae(苋科)"	"粉绿"	"095"	"赤苋28号"	"赤峰"	"淡绿"	"0.65"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"92588"	"5.09"	"--"	"ZX000220"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"淡绿"	"181.0"
"278"	"9.28"	"95.0"	"Amaranthaceae(苋科)"	"绿"	"096"	"赤苋29号"	"赤峰"	"绿"	"0.91"	"选育"	"内蒙"	"黄"	"--"	"直立"	"选育"	"92355"	"5.09"	"--"	"ZX000221"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"275.0"
"279"	"9.29"	"115.0"	"Amaranthaceae(苋科)"	"粉绿"	"097"	"赤苋30号"	"赤峰"	"绿"	"0.82"	"选育"	"内蒙"	"黄"	"--"	"直立"	"选育"	"92342"	"5.09"	"--"	"ZX000222"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"285.0"
"280"	"9.14"	"88.0"	"Amaranthaceae(苋科)"	"粉绿"	"098"	"赤苋31号"	"赤峰"	"绿"	"0.81"	"选育"	"内蒙"	"黄"	"--"	"直立"	"选育"	"92321"	"5.09"	"--"	"ZX000223"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"202.0"
"281"	"8.20"	"87.0"	"Amaranthaceae(苋科)"	"粉绿"	"099"	"赤苋32号"	"赤峰"	"绿"	"0.77"	"选育"	"内蒙"	"黄"	"--"	"直立"	"选育"	"92314"	"5.09"	"--"	"ZX000224"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"172.0"
"282"	"8.19"	"71.0"	"Amaranthaceae(苋科)"	"粉绿"	"100"	"赤苋33号"	"赤峰"	"绿"	"0.83"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"92207"	"5.09"	"--"	"ZX000225"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"125.0"
"283"	"0.00"	"11.0"	"Amaranthaceae(苋科)"	"绿"	"籽粒苋6"	"无刺苋"	"南昌"	"青"	"0.18"	"--"	"江西"	"褐"	"--"	"直立"	"地方"	"--"	"0.00"	"--"	"ZX000231"	"江西省农科院水稻所"	"--"	"Amaranthus(苋属)"	"青"	"136.0"
"284"	"0.00"	"19.0"	"Amaranthaceae(苋科)"	"绿"	"籽粒苋7"	"红尾穗苋"	"南昌"	"绿"	"0.18"	"--"	"江西"	"褐"	"--"	"直立"	"地方"	"--"	"0.00"	"--"	"ZX000232"	"江西省农科院水稻所"	"--"	"Amaranthus(苋属)"	"淡红"	"140.0"
"285"	"0.00"	"6.5"	"Amaranthaceae(苋科)"	"绿"	"籽粒苋8"	"杂交苋菜"	"新建"	"绿"	"0.17"	"--"	"江西"	"褐"	"--"	"直立"	"地方"	"--"	"0.00"	"--"	"ZX000233"	"江西省农科院水稻所"	"--"	"Amaranthus(苋属)"	"红"	"135.0"
"286"	"0.00"	"25.0"	"Amaranthaceae(苋科)"	"绿"	"籽粒苋9"	"尾穗苋"	"金溪"	"绿"	"0.18"	"--"	"江西"	"褐"	"--"	"直立"	"地方"	"--"	"0.00"	"--"	"ZX000234"	"江西省农科院水稻所"	"--"	"Amaranthus(苋属)"	"红"	"129.0"
"287"	"0.00"	"16.0"	"Amaranthaceae(苋科)"	"绿"	"籽粒苋10"	"永修新城苋"	"永修"	"绿"	"0.17"	"--"	"江西"	"褐"	"--"	"直立"	"地方"	"--"	"0.00"	"--"	"ZX000235"	"江西省农科院水稻所"	"--"	"Amaranthus(苋属)"	"红"	"112.0"
"288"	"10.16"	"20.0"	"Amaranthaceae(苋科)"	"红"	"IV005"	"西山谷"	"神农架"	"绿"	"0.43"	"--"	"湖北"	"红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"6.02"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000236"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"136.0"
"289"	"10.16"	"31.0"	"Amaranthaceae(苋科)"	"紫红"	"IV013"	"绿宣谷"	"神农架"	"绿"	"0.33"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.26"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000237"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"80.0"
"290"	"10.20"	"41.0"	"Amaranthaceae(苋科)"	"红"	"IV206"	"籽粒苋"	"神农架"	"绿"	"0.31"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.08"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000238"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"170.0"
"291"	"10.18"	"38.0"	"Amaranthaceae(苋科)"	"黄"	"IV252"	"黄尾苋"	"神农架"	"绿"	"0.33"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.08"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000239"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"160.0"
"292"	"10.15"	"21.0"	"Amaranthaceae(苋科)"	"红"	"IV032"	"西山谷"	"保康"	"绿"	"0.34"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.08"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000240"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"150.0"
"293"	"10.17"	"20.0"	"Amaranthaceae(苋科)"	"黄"	"IV034"	"西山谷"	"保康"	"绿"	"0.53"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.26"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000241"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"130.0"
"294"	"10.14"	"12.0"	"Amaranthaceae(苋科)"	"红"	"IV038"	"马尾西山谷"	"保康"	"绿"	"0.31"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.08"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000242"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"110.0"
"295"	"10.17"	"45.0"	"Amaranthaceae(苋科)"	"紫红"	"IV039"	"西山谷"	"保康"	"绿"	"0.40"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.26"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000243"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"110.0"
"296"	"10.07"	"25.0"	"Amaranthaceae(苋科)"	"淡红"	"IV041"	"西山谷"	"保康"	"绿"	"0.35"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.26"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000244"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"138.0"
"297"	"10.06"	"42.0"	"Amaranthaceae(苋科)"	"淡红"	"IV042"	"西山谷"	"保康"	"绿"	"0.33"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.08"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000245"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"187.0"
"298"	"10.04"	"33.0"	"Amaranthaceae(苋科)"	"红"	"IV045"	"西山谷"	"保康"	"绿"	"0.34"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.08"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000246"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"156.0"
"299"	"10.06"	"22.0"	"Amaranthaceae(苋科)"	"红"	"IV046"	"西山谷"	"保康"	"绿"	"0.31"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.08"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000247"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"141.0"
"300"	"10.17"	"20.0"	"Amaranthaceae(苋科)"	"黄"	"IV208"	"西山谷"	"保康"	"绿"	"0.53"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.26"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000248"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"100.0"
"301"	"10.06"	"30.0"	"Amaranthaceae(苋科)"	"黄"	"IV209"	"西山谷"	"保康"	"绿"	"0.47"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.26"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000249"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"80.0"
"302"	"10.17"	"44.0"	"Amaranthaceae(苋科)"	"红"	"IV048"	"红球苋谷"	"房县"	"绿"	"0.48"	"--"	"湖北"	"淡红"	"--"	"下垂"	"地方"	"A.caudatus L.(尾穗苋)"	"5.26"	"Amaranthus caudalus L.(尾穗苋)"	"ZX000250"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"140.0"
"303"	"9.25"	"45.0"	"Amaranthaceae(苋科)"	"绿"	"IV104"	"宣谷"	"秭归"	"绿"	"0.57"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000346"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"150.0"
"304"	"9.25"	"35.0"	"Amaranthaceae(苋科)"	"绿"	"IV105"	"宣谷"	"秭归"	"绿"	"0.52"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000347"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"150.0"
"305"	"8.31"	"42.0"	"Amaranthaceae(苋科)"	"黄"	"IV111"	"哑谷"	"长阳"	"绿"	"0.48"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000348"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"150.0"
"306"	"9.24"	"50.0"	"Amaranthaceae(苋科)"	"黄"	"IV135"	"籽粒苋"	"长阳"	"绿"	"0.48"	"--"	"湖北"	"黄"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000349"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"154.0"
"307"	"9.24"	"45.0"	"Amaranthaceae(苋科)"	"紫红"	"IV136"	"芽谷"	"长阳"	"绿"	"0.50"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000350"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"紫绿"	"159.0"
"308"	"9.27"	"55.0"	"Amaranthaceae(苋科)"	"黄"	"IV114"	"仙谷"	"恩施"	"绿"	"0.52"	"--"	"湖北"	"黄"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000351"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"148.0"
"309"	"9.25"	"40.0"	"Amaranthaceae(苋科)"	"绿"	"IV117"	"白苋谷"	"巴东"	"绿"	"0.50"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000352"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"120.0"
"310"	"10.08"	"45.0"	"Amaranthaceae(苋科)"	"绿"	"IV120"	"马尾鲜谷"	"巴东"	"绿"	"0.60"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000353"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"140.0"
"311"	"8.20"	"22.0"	"Amaranthaceae(苋科)"	"黄"	"IV172"	"仙谷"	"巴东"	"绿"	"0.50"	"--"	"湖北"	"黄"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.08"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000354"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"红"	"141.0"
"312"	"9.24"	"35.0"	"Amaranthaceae(苋科)"	"绿"	"IV173"	"仙谷"	"巴东"	"绿"	"0.60"	"--"	"湖北"	"白"	"--"	"直立"	"地方"	"A.paniculatus L.(繁穗苋)"	"5.26"	"Amaranthus paniculatus L.(繁穗苋)"	"ZX000355"	"湖北省农科院现代化所"	"--"	"Amaranthus(苋属)"	"绿"	"122.0"
