"id"	"成熟期"	"主花序长度"	"科名"	"花序色"	"保存编号"	"品种名称"	"原产地"	"叶色"	"千粒重"	"类别"	"省"	"粒色"	"来源地"	"花序性"	"样品类型"	"系谱"	"播种期"	"学名"	"统一编号"	"保存单位"	"其它"	"属名"	"茎色"	"株高"
"181"	"9.19"	"95.0"	"Amaranthaceae(苋科)"	"淡粉"	"224"	"赤苋45号"	"赤峰"	"绿"	"0.55"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"94437 野杂系"	"5.01"	"--"	"ZX000858"	"内蒙古赤峰市农科所"	"野杂系"	"Amaranthus(苋属)"	"绿"	"256.0"
"182"	"9.18"	"107.0"	"Amaranthaceae(苋科)"	"棕黄"	"225"	"赤苋46号"	"赤峰"	"黄绿"	"--"	"选育"	"内蒙"	"棕黑"	"--"	"直立"	"选育"	"94129-133 459×绿穗苋"	"5.01"	"--"	"ZX000859"	"内蒙古赤峰市农科所"	"野杂系(459×绿野)"	"Amaranthus(苋属)"	"黄绿"	"295.0"
"183"	"9.20"	"47.0"	"Amaranthaceae(苋科)"	"粉绿"	"226"	"赤苋47号"	"赤峰"	"浓绿"	"--"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"94166-167 D×K112"	"5.01"	"--"	"ZX000860"	"内蒙古赤峰市农科所"	"粉颖D白(D×K112)"	"Amaranthus(苋属)"	"紫红"	"150.0"
"184"	"9.18"	"46.0"	"Amaranthaceae(苋科)"	"橙黄"	"227"	"赤苋48号"	"赤峰"	"黄绿"	"--"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"94702 D×459"	"5.01"	"--"	"ZX000861"	"内蒙古赤峰市农科所"	"D黄方白(D×459)"	"Amaranthus(苋属)"	"黄绿"	"145.0"
"185"	"9.21"	"91.0"	"Amaranthaceae(苋科)"	"绿"	"228"	"赤苋49号"	"赤峰"	"绿"	"--"	"选育"	"内蒙"	"棕黄"	"--"	"直立"	"选育"	"94248 野杂"	"5.01"	"--"	"ZX000862"	"内蒙古赤峰市农科所"	"野杂"	"Amaranthus(苋属)"	"绿"	"250.0"
"186"	"9.20"	"83.0"	"Amaranthaceae(苋科)"	"桃红"	"229"	"赤苋50号"	"赤峰"	"绿"	"--"	"选育"	"内蒙"	"黑"	"--"	"直立"	"选育"	"94319 D.K.野"	"5.01"	"--"	"ZX000863"	"内蒙古赤峰市农科所"	"D.K.野"	"Amaranthus(苋属)"	"绿"	"153.0"
"187"	"9.30"	"125.0"	"Amaranthaceae(苋科)"	"粉红"	"230"	"赤苋51号"	"赤峰"	"黄绿"	"--"	"选育"	"内蒙"	"粉红"	"--"	"下垂"	"选育"	"94598-602 尾系"	"5.01"	"--"	"ZX000864"	"内蒙古赤峰市农科所"	"尾系"	"Amaranthus(苋属)"	"黄绿"	"186.0"
"188"	"9.03"	"47.0"	"Amaranthaceae(苋科)"	"粉红"	"231"	"赤苋52号"	"赤峰"	"绿"	"--"	"选育"	"内蒙"	"白"	"--"	"直立"	"选育"	"94696 D.K."	"5.01"	"--"	"ZX000865"	"内蒙古赤峰市农科所"	"D.K"	"Amaranthus(苋属)"	"绿"	"185.0"
"189"	"9.03"	"54.0"	"Amaranthaceae(苋科)"	"绿"	"232"	"赤苋53号"	"赤峰"	"绿"	"--"	"选育"	"内蒙"	"黄"	"--"	"直立"	"选育"	"94387"	"5.01"	"--"	"ZX000866"	"内蒙古赤峰市农科所"	"--"	"Amaranthus(苋属)"	"绿"	"128.0"
"190"	"9.30"	"105.0"	"Amaranthaceae(苋科)"	"绿"	"233"	"赤苋54号"	"赤峰"	"绿"	"--"	"选育"	"内蒙"	"黄"	"--"	"直立"	"选育"	"94714"	"5.01"	"--"	"ZX000867"	"内蒙古赤峰市农科所"	"三河系黄粒型"	"Amaranthus(苋属)"	"绿"	"273.0"
"191"	"9.27"	"50.0"	"Amaranthaceae(苋科)"	"红"	"86"	"品资红穗"	"太原市"	"红"	"0.32"	"--"	"山西"	"红"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000868"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"190.0"
"192"	"9.27"	"55.0"	"Amaranthaceae(苋科)"	"红"	"87"	"分枝籽粒苋"	"太原市"	"红"	"0.34"	"--"	"山西"	"红"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000869"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"180.0"
"193"	"9.25"	"60.0"	"Amaranthaceae(苋科)"	"绿"	"88"	"高秆粒苋"	"太原市"	"绿"	"0.35"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000870"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"220.0"
"194"	"9.24"	"55.0"	"Amaranthaceae(苋科)"	"绿"	"89"	"美国83-3"	"太原市"	"绿"	"0.37"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000871"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"210.0"
"195"	"10.04"	"30.0"	"Amaranthaceae(苋科)"	"绿"	"90"	"美国83-5"	"太原市"	"绿"	"0.37"	"--"	"山西"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000872"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"230.0"
"196"	"10.05"	"50.0"	"Amaranthaceae(苋科)"	"绿"	"91"	"吉林玉谷"	"吉林"	"绿"	"0.36"	"--"	"吉林"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000873"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"210.0"
"197"	"10.07"	"50.0"	"Amaranthaceae(苋科)"	"红"	"92"	"吉林红玉谷"	"吉林"	"红"	"0.35"	"--"	"吉林"	"黄"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000874"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"红"	"240.0"
"198"	"10.01"	"30.0"	"Amaranthaceae(苋科)"	"红"	"93"	"吉林黑籽"	"吉林"	"绿"	"0.35"	"--"	"吉林"	"黑"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000875"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"230.0"
"199"	"9.27"	"40.0"	"Amaranthaceae(苋科)"	"红"	"94"	"山东苋菜"	"山东"	"绿"	"0.36"	"--"	"山东"	"白"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000876"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"210.0"
"200"	"9.26"	"50.0"	"Amaranthaceae(苋科)"	"红"	"95"	"绿苋菜"	"山东"	"绿"	"0.37"	"--"	"山东"	"黑"	"--"	"直立"	"地方"	"A.tricolor L.(苋)"	"5.01"	"Amaranthus tricolor L.(苋)"	"ZX000877"	"山西省农科院品资所"	"--"	"Amaranthus(苋属)"	"绿"	"220.0"
