"id"	"青熟果色"	"品种名称"	"省"	"保存编号"	"抗逆性"	"备注"	"亩产"	"种子来源"	"译名"	"首花节位"	"生育期"	"株高"	"保存单位"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种子多少"	"单果重"	"青果肉质"	"抗病虫性"	"株幅"	"果形"
"78"	"绿"	"宿迁青茄"	"江苏"	"78-6-10"	"弱"	"*"	"2500"	"江苏宿迁县"	"SU QIAN QING QIE"	"13"	"52"	"100.0"	"江苏农科院蔬菜所"	"Ⅱ6B0616"	"V06B0415"	"4下-6中9"	"中"	"少"	"210.0"	"致密"	"不抗褐斑病"	"80.0"	"长卵形"
"79"	"白"	"青皮茄"	"江苏"	"80-11-44"	"--"	"*"	"2000"	"江苏泰州市"	"QING PI QIE"	"12"	"54"	"100.0"	"江苏农科院蔬菜所"	"Ⅱ6B0660"	"V06B0416"	"4中-6中9"	"中"	"少"	"260.0"	"致密"	"--"	"70.0"	"长卵形"
"80"	"紫"	"太仓长茄"	"江苏"	"80-4-47"	"--"	"*"	"2000"	"江苏太苍县"	"TAI CANG CHANG QIE"	"11"	"47"	"73.0"	"江苏农科院蔬菜所"	"Ⅱ6B0843"	"V06B0417"	"4中-6上8"	"早"	"少"	"140.0"	"致密"	"--"	"75.0"	"羊角形"
"81"	"紫"	"太仓茄"	"江苏"	"80-4-45"	"--"	"*"	"2376"	"江苏太仓县"	"TAI CANG QIE"	"11"	"54"	"71.0"	"江苏农科院蔬菜所"	"Ⅱ6B0489"	"V06B0418"	"4中-6中9"	"中"	"多"	"230.0"	"致密"	"--"	"64.0"	"长卵形"
"82"	"白绿"	"五叶茄"	"辽宁"	"6BB3"	"中"	"*"	"1376"	"辽宁辽阳市"	"WU YE QIE"	"6"	"35"	"65.0"	"辽宁农科院园艺所"	"Ⅱ6B0372"	"V06B0482"	"--"	"早"	"--"	"200.0"	"致密"	"中"	"70.0"	"卵形"
"83"	"紫红"	"海茄"	"辽宁"	"6BD9"	"--"	"--"	"1250"	"辽宁凌源县"	"HAI QIE"	"10"	"75"	"87.5"	"辽宁农科院园艺所"	"Ⅱ6B0267"	"V06B0483"	"2中-9下"	"晚"	"少"	"450.0"	"--"	"中"	"80.0"	"圆球形"
"84"	"白绿"	"白水茄"	"辽宁"	"6BB6"	"--"	"*果肉白色"	"2000"	"辽宁凌源县"	"BAI SHUI QIE"	"9"	"45"	"65.0"	"辽宁农科院园艺所"	"Ⅱ6B0294"	"V06B0484"	"3中-9下"	"中"	"中"	"300.0"	"致密"	"重感"	"65.0"	"卵形"
"85"	"绿"	"刚果茄"	"辽宁"	"6BB9"	"强"	"--"	"--"	"辽宁农科院"	"GANG GUO QIE"	"11"	"63"	"135.0"	"辽宁农科院园艺所"	"Ⅱ6B0301"	"V06B0485"	"3中-9下"	"晚"	"多"	"65.0"	"--"	"抗"	"100.0"	"卵形"
"86"	"绿"	"辽茄二号(H10)"	"辽宁"	"6BB1"	"--"	"*果肉白色"	"2000"	"辽宁农科院"	"LIAO QIE ER HAO (H10)"	"7"	"45"	"65.0"	"辽宁农科院园艺所"	"Ⅱ6B0121"	"V06B0486"	"3中-9下"	"中"	"多"	"375.0"	"致密"	"抗"	"65.0"	"卵形"
"87"	"白绿"	"辐射一号"	"辽宁"	"6BA10"	"--"	"--"	"938"	"辽宁沈阳市"	"FU SHE YI HAO"	"10"	"45"	"95.0"	"辽宁农科院园艺所"	"Ⅱ6B0296"	"V06B0490"	"2中-9下"	"中"	"多"	"225.0"	"--"	"中"	"75.0"	"圆筒形"
"88"	"白绿"	"辐射二号"	"辽宁"	"6BA11"	"--"	"--"	"938"	"辽宁沈阳市"	"FU SHE ER HAO"	"10"	"45"	"100.0"	"辽宁农科院园艺所"	"Ⅱ6B0297"	"V06B0495"	"2中-9下"	"中"	"多"	"225.0"	"--"	"中"	"75.0"	"圆筒形"
"89"	"紫红"	"diFirenze"	"辽宁"	"6BD13"	"--"	"--"	"688"	"辽宁引意大利"	"diFirenze"	"13"	"53"	"80.0"	"辽宁农科院园艺所"	"Ⅱ6B0544"	"V06B0502"	"2下-9下"	"中"	"多"	"250.0"	"--"	"中"	"70.0"	"圆球形"
"90"	"黑紫"	"黑美丽"	"辽宁"	"6BD18"	"--"	"--"	"814"	"辽宁引意大利"	"HEI MEI LI"	"10"	"53"	"100.0"	"辽宁农科院园艺所"	"Ⅱ6B0543"	"V06B0503"	"2中-9下"	"中"	"多"	"250.0"	"--"	"中"	"80.0"	"长卵形"
"91"	"黑紫"	"Bvnlca"	"辽宁"	"6BD17"	"--"	"--"	"750"	"辽宁引自意大利"	"Bvnlca"	"9"	"53"	"90.0"	"辽宁农科院园艺所"	"Ⅱ6B0747"	"V06B0504"	"2下-9下"	"晚"	"多"	"200.0"	"--"	"中"	"70.0"	"长卵形"
"92"	"黑紫"	"Vetrioe"	"辽宁"	"6BD15"	"--"	"--"	"814"	"辽宁引自意大利"	"Vetrioe"	"10"	"53"	"100.0"	"辽宁农科院园艺所"	"Ⅱ6B0748"	"V06B0505"	"2下-9下"	"晚"	"多"	"250.0"	"--"	"中"	"75.0"	"卵形"
"93"	"黑紫"	"Acieana"	"辽宁"	"6BD14"	"--"	"--"	"750"	"辽宁引自意大利"	"Acieana"	"9"	"53"	"95.0"	"辽宁农科院园艺所"	"Ⅱ6B0745"	"V06B0506"	"2中-9下"	"中"	"多"	"200.0"	"--"	"中"	"70.0"	"卵形"
"94"	"黑紫"	"Sicliana"	"辽宁"	"6BD16"	"--"	"--"	"814"	"辽宁引自意大利"	"Sicliana"	"10"	"250"	"100.0"	"辽宁农科院园艺所"	"Ⅱ6B0746"	"V06B0507"	"2下-9下"	"中"	"多"	"250.0"	"--"	"中"	"80.0"	"长卵形"
"95"	"黑紫"	"久留米"	"辽宁"	"6BC19"	"耐热"	"*引自日本"	"2000"	"辽宁营口市"	"JIU LIU MI"	"70"	"50"	"95.0"	"辽宁农科院园艺所"	"Ⅱ6B0376"	"V06B0508"	"2上播"	"中"	"--"	"150.0"	"松"	"--"	"--"	"弯曲圆条形"
"96"	"黑紫"	"庄河长茄"	"辽宁"	"6BC17"	"--"	"--"	"876"	"辽宁庄河县"	"ZHUANG HE CHANG QIE"	"10"	"55"	"90.0"	"辽宁农科院园艺所"	"Ⅱ6B0300"	"V06B0509"	"2下-9下"	"中"	"多"	"225.0"	"--"	"中"	"75.0"	"弯曲圆条形"
"97"	"紫"	"包头牛心茄"	"内蒙古"	"内6B020"	"--"	"*"	"1876"	"内蒙包头市"	"BAO TOU NIU XIN QIE"	"10"	"60"	"85.0"	"内蒙农科院蔬菜所"	"Ⅱ6B0844"	"V06B0510"	"5下-9下"	"中"	"--"	"250.0"	"--"	"中"	"65.0"	"卵形"
"98"	"紫红"	"曲阜五星茄"	"山东"	"6B070"	"--"	"*"	"1750"	"山东曲阜市"	"QU FU WU XING QIE"	"8"	"60"	"67.0"	"山东农科院蔬菜所"	"Ⅱ6B0110"	"V06B0590"	"2/上～6/下"	"--"	"多"	"250.0"	"致密"	"--"	"120.0"	"扁圆形"
"99"	"紫"	"曲阜牛心茄"	"山东"	"6B071"	"--"	"*"	"2376"	"山东曲阜市"	"QU FU NIU XIN QIE"	"11"	"60"	"80.0"	"山东农科院蔬菜所"	"Ⅱ6B0072"	"V06B0591"	"2中～7/中4/上～10/中"	"--"	"中"	"400.0"	"中"	"--"	"100.0"	"羊角形"
"100"	"红"	"荣成水红圆茄"	"山东"	"6B040"	"--"	"*"	"3750"	"山东荣成县"	"RONG CHENG SHUI HONG YUAN QIE"	"8"	"60"	"60.0"	"山东农科院蔬菜所"	"Ⅱ6B0049"	"V06B0592"	"2/中～7/中4上～10/中"	"--"	"少"	"350.0"	"软嫩"	"--"	"110.0"	"羊角形"
"101"	"紫"	"荣成牛腿茄"	"山东"	"6B039"	"--"	"*"	"2500"	"山东荣成县"	"RONG CHENG NIU TUI QIE"	"8"	"60"	"65.0"	"山东农科院蔬菜所"	"Ⅱ6B0553"	"V06B0593"	"2/中～7/中"	"--"	"少"	"225.0"	"软嫩"	"--"	"110.0"	"羊角形"
"102"	"紫"	"乳山小草茄"	"山东"	"6B041"	"--"	"*"	"2750"	"山东乳山县"	"RU SHAN XIAO CAO QIE"	"10"	"60"	"70.0"	"山东农科院蔬菜所"	"Ⅱ6B0102"	"V06B0594"	"2/中～7/中"	"--"	"中"	"240.0"	"致密"	"--"	"120.0"	"羊角形"
"103"	"紫红"	"日本茄子"	"山东"	"6B097"	"--"	"--"	"2000"	"山东引自日本"	"RI BEN QIE ZI"	"7"	"60"	"100.0"	"山东农科院蔬菜所"	"Ⅱ6B0673"	"V06B0607"	"2中-7中"	"--"	"多"	"200.0"	"松"	"抗"	"70.0"	"长卵形"
"104"	"黑紫"	"日本茄子"	"山东"	"6B098"	"--"	"--"	"250"	"山东引自日本"	"RI BEN QIE ZI"	"7"	"60"	"85.0"	"山东农科院蔬菜所"	"Ⅱ6B0674"	"V06B0608"	"2中-7中"	"--"	"多"	"60.0"	"致密"	"抗"	"65.0"	"卵形"
"105"	"黑紫"	"日本茄子"	"山东"	"6B099"	"--"	"--"	"300"	"山东引自日本"	"RI BEN QIE ZI"	"7"	"60"	"90.0"	"山东农科院蔬菜所"	"Ⅱ6B0675"	"V06B0609"	"2中-7中"	"--"	"多"	"100.0"	"松"	"抗"	"80.0"	"卵形"
"106"	"黑紫"	"日本茄子"	"山东"	"6B100"	"--"	"--"	"2250"	"山东引自日本"	"RI BEN QIE ZI"	"7"	"60"	"100.0"	"山东农科院蔬菜所"	"Ⅱ6B0676"	"V06B0610"	"2中-7中"	"--"	"多"	"90.0"	"致密"	"抗"	"80.0"	"卵形"
"107"	"黑紫"	"日本茄子"	"山东"	"6B101"	"--"	"--"	"2000"	"山东引自日本"	"RI BEN QIE ZI"	"6"	"60"	"75.0"	"山东农科院蔬菜所"	"Ⅱ6B0677"	"V06B0611"	"2中-7中"	"--"	"中"	"105.0"	"松"	"抗"	"60.0"	"羊角形"
"108"	"紫红"	"枣庄五叶茄"	"山东"	"6B093"	"--"	"*"	"1250"	"山东枣庄市"	"ZAO ZHUANG WU YE QIE"	"8"	"60"	"60.0"	"山东农科院蔬菜所"	"Ⅱ6B0059"	"V06B0619"	"2/中～7/上"	"--"	"中"	"300.0"	"中"	"--"	"90.0"	"卵形"
"109"	"紫红"	"杭州红茄"	"山东"	"6B091"	"--"	"*"	"750"	"山东枣庄市"	"HANG ZHOU HONG QIE"	"12"	"60"	"53.0"	"山东农科院蔬菜所"	"Ⅱ6B0081"	"V06B0620"	"2/中～7/中"	"--"	"少"	"150.0"	"松"	"--"	"100.0"	"羊角形"
"110"	"黑紫"	"茄子"	"山东"	"6B025"	"--"	"*不抗枯萎病"	"2000"	"山东沾化县"	"QIE ZI"	"10"	"65"	"78.0"	"山东农科院蔬菜所"	"Ⅱ6B0669"	"V06B0621"	"2/中～7/中4上～10/中"	"--"	"多"	"200.0"	"软嫩"	"--"	"100.0"	"羊角形"
"111"	"紫红"	"章丘紫园茄"	"山东"	"6B002"	"--"	"*"	"3750"	"山东章丘县"	"ZHANG QIU ZI YUAN QIE"	"9"	"60"	"95.0"	"山东农科院蔬菜所"	"Ⅱ6B0546"	"V06B0622"	"2/中～7/下"	"--"	"多"	"470.0"	"致密"	"--"	"100.0"	"卵形"
"112"	"紫红"	"大敏茄"	"山东"	"6B003"	"--"	"*"	"3250"	"山东章丘县"	"DA MIN QIE"	"9"	"60"	"110.0"	"山东农科院蔬菜所"	"Ⅱ6B0667"	"V06B0623"	"2/中～7/下"	"--"	"中"	"450.0"	"致密"	"--"	"100.0"	"圆球形"
"113"	"紫红"	"应县茄子"	"山西"	"Ⅱ6B0008"	"--"	"--"	"650"	"山西应县"	"YING XIAN QIE ZI"	"7"	"47"	"67.5"	"山西农科院蔬菜所"	"Ⅱ6B0640"	"V06B0687"	"5上-9下"	"早"	"--"	"220.0"	"软嫩"	"抗"	"79.8"	"卵形"
"114"	"黑紫"	"九叶茄"	"山西"	"Ⅱ6B0128"	"--"	"--"	"4000"	"山西永济县"	"JIU YE QIE"	"10"	"64"	"112.0"	"山西农科院蔬菜所"	"Ⅱ6B0825"	"V06B0688"	"5中-7下"	"晚"	"--"	"940.0"	"致密"	"抗"	"103.1"	"扁圆形"
"115"	"白绿"	"白茄"	"山西"	"Ⅱ6B0129A"	"--"	"*"	"2850"	"山西永济县"	"BAI QIE"	"10"	"54"	"103.6"	"山西农科院蔬菜所"	"Ⅱ6B0826"	"V06B0689"	"5中-7中"	"中"	"--"	"600.0"	"松"	"抗"	"111.5"	"圆筒形"
"116"	"黑紫"	"短把黑"	"山西"	"Ⅱ6B0065"	"--"	"*"	"2530"	"山西榆次市"	"DUAN BA HEI"	"9"	"63"	"93.4"	"山西农科院蔬菜所"	"Ⅱ6B0228"	"V06B0690"	"5中-7下"	"晚"	"--"	"700.0"	"致密"	"中"	"99.2"	"圆球形"
"117"	"紫红"	"紫袍茄"	"山西"	"Ⅱ6B0072"	"--"	"*"	"3450"	"山西榆社县"	"ZI PAO QIE"	"9"	"62"	"111.6"	"山西农科院蔬菜所"	"Ⅱ6B0532"	"V06B0691"	"5中-7中"	"晚"	"--"	"700.0"	"致密"	"抗"	"113.4"	"圆筒形"
"118"	"黑紫"	"大叶白花"	"四川"	"H2-026"	"不耐热涝"	"*"	"1626"	"四川乐山市"	"DA YE BAI HUA"	"5"	"80"	"100.0"	"成都市第一农科所"	"Ⅱ6B0695"	"V06B0738"	"4-6"	"中"	"--"	"70.0"	"--"	"--"	"80.0"	"长卵形"
"119"	"黑紫"	"牛奶茄"	"四川"	"H2-051"	"中"	"*"	"1000"	"四川雷波县"	"NIU NAI QIE"	"5"	"80"	"50.0"	"成都市第一农科所"	"Ⅱ6B0705"	"V06B0739"	"3-6"	"中"	"--"	"180.0"	"松"	"中"	"30.0"	"卵形"
"120"	"黑紫"	"二红茄子"	"四川"	"H2-100"	"中"	"--"	"1250"	"四川雷波县"	"ER HONG QIE ZI"	"7"	"80"	"75.0"	"成都市第一农科所"	"Ⅱ6B0720"	"V06B0740"	"3-5月"	"中"	"--"	"200.0"	"致密"	"抗"	"75.0"	"圆筒形"
"121"	"绿"	"线茄"	"四川"	"H2-050"	"耐寒"	"*"	"750"	"四川雷波县"	"XIAN QIE"	"6"	"60"	"83.0"	"成都市第一农科所"	"Ⅱ6B0704"	"V06B0741"	"3-5"	"早"	"--"	"185.0"	"松"	"--"	"60.0"	"弯曲圆条形"
"122"	"紫"	"竹丝茄"	"四川"	"H2-101"	"中"	"--"	"1200"	"四川美姑县"	"ZHU SI QIE"	"9"	"80"	"100.0"	"成都市第一农科所"	"Ⅱ6B0735"	"V06B0742"	"3-5月"	"中"	"--"	"150.0"	"致密"	"抗"	"73.0"	"弯曲圆条形"
"123"	"黑紫"	"四叶茄"	"天津"	"6B-002"	"耐热"	"*"	"1000"	"天津东郊区"	"SI YE QIE"	"4"	"43"	"65.0"	"天津农科院蔬菜所"	"Ⅱ6B0561"	"V06B0774"	"1上-4下-6上"	"早"	"--"	"250.0"	"致密"	"抗"	"70.0"	"圆球形"
"124"	"紫红"	"二民茄"	"天津"	"6B-001"	"耐热"	"*"	"1750"	"天津东郊区"	"ER MIN QIE"	"7"	"48"	"75.0"	"天津农科院蔬菜所"	"Ⅱ6B0210"	"V06B0775"	"1上-4下-6上"	"中"	"少"	"450.0"	"致密"	"重感"	"45.0"	"圆球形"
"125"	"白"	"凉水茄"	"天津"	"6B-009"	"耐热"	"*生食品种"	"2500"	"天津宁河县"	"LIANG SHUI QIE"	"4"	"55"	"90.0"	"天津农科院蔬菜所"	"Ⅱ6B0211"	"V06B0776"	"3下-5下-7中-8上"	"中"	"少"	"250.0"	"软嫩"	"中"	"80.0"	"长卵形"
"126"	"黑紫"	"火茄子"	"天津"	"6B-005"	"耐热"	"*"	"2000"	"天津西郊区"	"HUO QIE ZI"	"5"	"53"	"65.0"	"天津农科院蔬菜所"	"Ⅱ6B0208"	"V06B0777"	"1上-4下-6上中"	"早"	"--"	"400.0"	"致密"	"中"	"70.0"	"圆球形"
"127"	"紫红"	"大民茄"	"天津"	"6B-004"	"耐热"	"*"	"3500"	"天津西郊区"	"DA MIN QIE"	"9"	"55"	"95.7"	"天津农科院蔬菜所"	"Ⅱ6B0209"	"V06B0778"	"1底-4下-6中"	"晚"	"--"	"650.0"	"松"	"中"	"96.6"	"圆球形"
"128"	"紫红"	"荷包茄"	"云南"	"51#"	"--"	"*"	"1376"	"云南大理市"	"HE BAO QIE"	"8"	"66"	"60.4"	"云南农科院园艺所"	"Ⅱ6B0377"	"V06B0810"	"4上-6中"	"中"	"少"	"310.0"	"致密"	"抗"	"65.6"	"卵形"
"129"	"紫红"	"荷包茄"	"云南"	"58#"	"--"	"*"	"1876"	"云南大理市"	"HE BAO QIE"	"6"	"66"	"75.4"	"云南农科院园艺所"	"Ⅱ6B0329"	"V06B0811"	"4上-6中"	"中"	"少"	"150.0"	"致密"	"--"	"71.2"	"卵形"
"130"	"紫红"	"荷包茄"	"云南"	"60#"	"耐湿"	"--"	"450"	"云南大理市"	"HE BAO QIE"	"10"	"89"	"80.0"	"云南农科院园艺所"	"Ⅱ6B0331"	"V06B0812"	"4上-8中"	"中"	"多"	"150.0"	"中"	"中"	"63.0"	"卵形"
"131"	"紫"	"捧头茄"	"云南"	"56#"	"--"	"*"	"1376"	"云南大理市"	"PENG TOU QIE"	"8"	"66"	"57.8"	"云南农科院园艺所"	"Ⅱ6B0328"	"V06B0813"	"4上-6中"	"中"	"中"	"220.0"	"松"	"--"	"50.2"	"圆筒形"
"132"	"黑紫"	"紫长茄"	"云南"	"39#"	"--"	"*"	"1626"	"云南个旧市"	"ZI CHANG QIE"	"8"	"66"	"118.0"	"云南农科院园艺所"	"Ⅱ6B0319"	"V06B0814"	"4上-6中"	"中"	"中"	"180.0"	"致密"	"抗黄萎病"	"74.6"	"圆筒形"
"133"	"黑紫"	"冬茄"	"贵州"	"88-11"	"强"	"--"	"1626"	"中蔬引贵州贵阳市"	"DONG QIE"	"11"	"--"	"110.0"	"中国农科院蔬菜所"	"Ⅱ6B0629"	"V06B0894"	"4下-8上"	"晚"	"多"	"500.0"	"致密"	"抗"	"105.0"	"卵形"
"134"	"紫"	"圆茄子"	"贵州"	"88-6"	"强"	"--"	"1000"	"中蔬引贵州平塘县"	"YUAN QIE ZI"	"8"	"--"	"87.0"	"中国农科院蔬菜所"	"Ⅱ6B0624"	"V06B0895"	"4下-8上"	"中"	"多"	"300.0"	"致密"	"抗"	"80.0"	"卵形"
"135"	"紫红"	"圆茄子"	"河北"	"88-2"	"弱"	"--"	"1126"	"中蔬引河北定县"	"YUAN QIE ZI"	"8"	"--"	"93.0"	"中国农科院蔬菜所"	"Ⅱ6B0620"	"V06B0896"	"4下-8上"	"中"	"多"	"500.0"	"致密"	"中"	"107.0"	"圆球形"
"136"	"白绿"	"长茄子"	"河北"	"88-3"	"中"	"--"	"1000"	"中蔬引河北饶阳县"	"CHANG QIE ZI"	"7"	"--"	"95.0"	"中国农科院蔬菜所"	"Ⅱ6B0621"	"V06B0897"	"4下-8上"	"早"	"多"	"200.0"	"致密"	"重感"	"80.0"	"圆筒形"
"137"	"黑紫"	"紫圆茄"	"河北"	"88-1"	"中"	"--"	"1000"	"中蔬引河北遵化市"	"ZI YUAN QIE"	"8"	"--"	"90.0"	"中国农科院蔬菜所"	"Ⅱ6B0619"	"V06B0898"	"4下-8上"	"中"	"多"	"600.0"	"致密"	"重感"	"78.0"	"圆球形"
"138"	"黑紫"	"黑美丽"	"国外"	"88-15"	"强"	"--"	"1250"	"中蔬引美国"	"HEI MEI LI"	"10"	"--"	"88.0"	"中国农科院蔬菜所"	"Ⅱ6B0633"	"V06B0902"	"5中-7中"	"晚"	"多"	"500.0"	"致密"	"抗"	"110.0"	"长卵形"
"139"	"黑紫"	"早生大丸"	"国外"	"88-14"	"强"	"--"	"1250"	"中蔬引日本"	"ZAO SHENG DA WAN"	"8"	"--"	"60.0"	"中国农科院蔬菜所"	"Ⅱ6B0632"	"V06B0903"	"5中-7中"	"早"	"中"	"300.0"	"致密"	"抗"	"100.0"	"卵形"
"140"	"黑紫"	"早生真黑"	"国外"	"88-13"	"强"	"--"	"1250"	"中蔬引日本"	"ZAO SHENG ZHEN HEI"	"7"	"--"	"80.0"	"中国农科院蔬菜所"	"Ⅱ6B0631"	"V06B0904"	"4下-8上"	"早"	"中"	"200.0"	"致密"	"抗"	"90.0"	"卵形"
"141"	"黑紫"	"灯泡茄"	"国外"	"89-45"	"--"	"--"	"--"	"中蔬引自法国"	"DENG PAO QIE"	"9"	"90"	"100.0"	"中国农科院蔬菜所"	"Ⅱ6B0899"	"V06B0909"	"2下-8下"	"晚"	"多"	"350.0"	"软嫩"	"中"	"80.0"	"卵形"
"142"	"黑紫"	"黑圆茄"	"国外"	"89-44"	"--"	"--"	"--"	"中蔬引自荷兰"	"HEI YUAN QIE"	"8"	"80"	"110.0"	"中国农科院蔬菜所"	"Ⅱ6B0898"	"V06B0916"	"2下-8下"	"中"	"少"	"350.0"	"软嫩"	"抗"	"126.0"	"卵形"
"143"	"白绿"	"青茄子"	"河南"	"外6B-16-2"	"--"	"--"	"--"	"中蔬引自河南"	"QING QIE ZI"	"6"	"80"	"70.0"	"中国农科院蔬菜所"	"Ⅱ6B0852"	"V06B0930"	"2下-8下"	"中"	"多"	"400.0"	"致密"	"中"	"55.0"	"长卵形"
"144"	"黑紫"	"茄子"	"黑龙江"	"外6B-8-1"	"--"	"--"	"--"	"中蔬引自黑龙江"	"QIE ZI"	"8"	"60"	"70.0"	"中国农科院蔬菜所"	"Ⅱ6B0833"	"V06B0931"	"2下-8下"	"早"	"多"	"125.0"	"松"	"抗"	"50.0"	"长卵形"
"145"	"黑紫"	"长茄子"	"湖北"	"89-24"	"--"	"--"	"--"	"中蔬引自湖北"	"CHANG QIE ZI"	"7"	"65"	"100.0"	"中国农科院蔬菜所"	"Ⅱ6B0879"	"V06B0932"	"2下-8下"	"早"	"少"	"150.0"	"软嫩"	"重感"	"40.0"	"羊角形"
"146"	"绿"	"青茄子"	"湖北"	"89-25"	"--"	"--"	"--"	"中蔬引自湖北"	"QING QIE ZI"	"7"	"90"	"90.0"	"中国农科院蔬菜所"	"Ⅱ6B0880"	"V06B0933"	"2下-8下"	"晚"	"中"	"200.0"	"软嫩"	"抗"	"50.0"	"弯曲圆条形"
"147"	"白"	"长茄子"	"湖北"	"89-27"	"--"	"--"	"--"	"中蔬引自湖北"	"CHANG QIE ZI"	"8"	"95"	"85.0"	"中国农科院蔬菜所"	"Ⅱ6B0882"	"V06B0934"	"2下-8下"	"晚"	"中"	"250.0"	"软嫩"	"重感"	"70.0"	"羊角形"
"148"	"黑紫"	"紫黑茄"	"国外"	"89-49"	"--"	"--"	"--"	"中蔬引自罗马"	"ZI HEI QIE"	"8"	"80"	"105.0"	"中国农科院蔬菜所"	"Ⅱ6B0903"	"V06B0948"	"2下-8下"	"中"	"多"	"400.0"	"致密"	"抗"	"95.0"	"长卵形"
"149"	"黑紫"	"黑长茄"	"国外"	"89-40"	"--"	"--"	"--"	"中蔬引自美国"	"HEI CHANG QIE"	"8"	"80"	"110.0"	"中国农科院蔬菜所"	"Ⅱ6B0895"	"V06B0949"	"2下-8下"	"中"	"少"	"200.0"	"软嫩"	"抗"	"112.0"	"圆筒形"
"150"	"黑紫"	"长茄子"	"国外"	"89-39"	"--"	"--"	"--"	"中蔬引自美国"	"CHANG QIE ZI"	"6"	"85"	"70.0"	"中国农科院蔬菜所"	"Ⅱ6B0894"	"V06B0950"	"2下-8下"	"早"	"少"	"90.0"	"松"	"抗"	"45.0"	"弯曲圆条形"
"151"	"紫红"	"圆茄子"	"国外"	"89-41"	"--"	"--"	"--"	"中蔬引自墨西哥"	"YUAN QIE ZI"	"8"	"80"	"90.0"	"中国农科院蔬菜所"	"Ⅱ6B0896"	"V06B0951"	"2下-8下"	"中"	"中"	"750.0"	"软嫩"	"抗"	"60.0"	"圆球形"
"152"	"紫"	"冈11号"	"国外"	"89-48"	"--"	"--"	"--"	"中蔬引自日本"	"GANG 11 HAO"	"8"	"75"	"60.0"	"中国农科院蔬菜所"	"Ⅱ6B0902"	"V06B0955"	"2下-8下"	"中"	"中"	"150.0"	"松"	"抗"	"100.0"	"圆筒形"
"153"	"紫红"	"长茄子"	"国外"	"89-42"	"--"	"--"	"--"	"中蔬引自意大利"	"CHANG QIE ZI"	"6"	"80"	"80.0"	"中国农科院蔬菜所"	"Ⅱ6B0897"	"V06B0968"	"2下-8下"	"早"	"中"	"200.0"	"--"	"抗"	"50.0"	"圆筒形"
"154"	"紫"	"圆茄子"	"国外"	"89-47"	"--"	"--"	"--"	"中蔬引自意大利"	"YUAN QIE ZI"	"8"	"80"	"85.0"	"中国农科院蔬菜所"	"Ⅱ6B0901"	"V06B0969"	"2下-8下"	"中"	"中"	"350.0"	"致密"	"中"	"103.0"	"卵形"
"155"	"紫"	"荷包茄"	"国外"	"89-46"	"--"	"--"	"--"	"中蔬引自意大利"	"HE BAO QIE"	"9"	"90"	"100.0"	"中国农科院蔬菜所"	"Ⅱ6B0900"	"V06B0970"	"2下-8下"	"晚"	"多"	"400.0"	"软嫩"	"抗"	"103.0"	"卵形"
