"id"	"青熟果色"	"品种名称"	"省"	"保存编号"	"抗逆性"	"备注"	"亩产"	"种子来源"	"译名"	"首花节位"	"生育期"	"株高"	"保存单位"	"种质库编号"	"统一编号"	"栽培季节"	"熟性"	"种子多少"	"单果重"	"青果肉质"	"抗病虫性"	"株幅"	"果形"
"22"	"紫红"	"园选2号紫长茄"	"安徽"	"Sm35(86)"	"强"	"--"	"1750"	"安徽农科院园艺所"	"YUAN XUAN 2 HAO ZI CHANG QIE"	"6"	"55"	"72.0"	"安徽农科院园艺所"	"Ⅱ6B0431"	"V06B0023"	"4中-8上"	"早"	"多"	"520.0"	"致密"	"抗"	"56.0"	"圆筒形"
"23"	"紫红"	"园选1号紫长圆茄"	"安徽"	"Sm34(86)"	"强"	"--"	"1376"	"安徽农科院园艺所"	"YUAN XUAN 1 HAO ZI CHANG YUAN QIE"	"7"	"60"	"70.0"	"安徽农科院园艺所"	"Ⅱ6B0430"	"V06B0024"	"4中-8中"	"中"	"多"	"500.0"	"致密"	"抗"	"52.0"	"卵形"
"24"	"紫"	"园选4号紫长茄"	"安徽"	"Sm37(86)"	"强"	"--"	"1376"	"安徽农科院园艺所"	"YUAN XUAN 4 HAO ZI CHANG QIE"	"7"	"59"	"67.0"	"安徽农科院园艺所"	"Ⅱ6B0433"	"V06B0025"	"4中-8中"	"中"	"少"	"450.0"	"致密"	"抗"	"57.0"	"圆筒形"
"25"	"白"	"厦门白茄"	"福建"	"87-Z-6"	"中"	"--"	"750"	"福建厦门市"	"XIA MEN BAI QIE"	"8"	"70"	"130.0"	"福州市蔬菜科研所"	"Ⅱ6B0366"	"V06B0054"	"1上-5上"	"中"	"--"	"120.0"	"软嫩"	"中"	"--"	"弯曲圆条形"
"26"	"紫红"	"永安银朱茄"	"福建"	"87-Z-10"	"中"	"--"	"438"	"福建永安市"	"YONG AN YIN ZHU QIE"	"--"	"45"	"70.0"	"福州市蔬菜科研所"	"Ⅱ6B0368"	"V06B0055"	"1-5下"	"中"	"--"	"400.0"	"软嫩"	"抗"	"--"	"弯曲圆条形"
"27"	"紫红"	"成县园茄"	"甘肃"	"甘Ⅱ6B007"	"耐寒热"	"*"	"564"	"甘肃成县"	"CHENG XIAN YUAN QIE"	"9"	"120"	"95.0"	"甘肃农科院蔬菜所"	"Ⅱ6B0351"	"V06B0056"	"3上直播-7中"	"晚"	"少"	"300.0"	"软嫩"	"--"	"70.0"	"卵形"
"28"	"黑紫"	"兰州长茄"	"甘肃"	"甘Ⅱ6B004"	"耐寒"	"*"	"1876"	"甘肃兰州市"	"LAN ZHOU CHANG QIE"	"6"	"60"	"134.0"	"甘肃农科院蔬菜所"	"Ⅱ6B0016"	"V06B0057"	"1下-4中-7上"	"中"	"中"	"200.0"	"软嫩"	"--"	"82.0"	"弯曲圆条形"
"29"	"黑紫"	"兰州圆茄"	"甘肃"	"甘Ⅱ6B008"	"耐贮"	"*早年引自外地"	"2250"	"甘肃兰州市"	"LAN ZHOU YUAN QIE"	"8"	"80"	"85.0"	"甘肃农科院蔬菜所"	"Ⅱ6B0019"	"V06B0058"	"1-4中-7中下"	"晚"	"多"	"750.0"	"致密"	"--"	"79.0"	"卵形"
"30"	"紫红"	"石东早红茄"	"广东"	"G29-27"	"耐涝"	"--"	"1126"	"广东番禺县"	"SHI DONG ZAO HONG QIE"	"8"	"60"	"70.0"	"广东农科院经作所"	"Ⅱ6B0207"	"V06B0068"	"8-10"	"早"	"中"	"130.0"	"--"	"抗"	"70.0"	"圆筒形"
"31"	"紫红"	"东坡早红茄"	"广东"	"G29-26"	"耐寒"	"--"	"1000"	"广东广州市"	"DONG PO ZAO HONG QIE"	"11"	"90"	"78.6"	"广东农科院经作所"	"Ⅱ6B0206"	"V06B0069"	"9-12"	"早"	"中"	"150.0"	"--"	"抗"	"86.2"	"圆筒形"
"32"	"紫红"	"黄村早红茄"	"广东"	"G29-25"	"耐涝"	"--"	"1250"	"广东广州市"	"HUANG CUN ZAO HONG QIE"	"9"	"78"	"74.8"	"广东农科院经作所"	"Ⅱ6B0205"	"V06B0070"	"8-10"	"早"	"中"	"115.0"	"--"	"抗"	"80.6"	"圆筒形"
"33"	"紫红"	"长虹茄瓜"	"广东"	"G29-19"	"抗涝"	"--"	"500"	"广东广州市"	"CHANG HONG QIE GUA"	"11"	"75"	"69.6"	"广东农科院经作所"	"Ⅱ6B0200"	"V06B0071"	"2-7"	"中"	"中"	"125.0"	"--"	"抗"	"79.8"	"圆球形"
"34"	"紫红"	"电灯胆茄瓜"	"广东"	"G29-18"	"耐寒"	"*"	"626"	"广东广州市"	"DIAN DENG DAN QIE GUA"	"7"	"180"	"80.0"	"广东农科院经作所"	"Ⅱ6B0221"	"V06B0072"	"910-11-46"	"晚"	"--"	"20.0"	"致密"	"中"	"70.0"	"卵形"
"35"	"紫红"	"矮瓜"	"广东"	"G29-30"	"强"	"--"	"1000"	"广东增城县"	"AI GUA"	"7"	"40"	"66.0"	"广东农科院经作所"	"Ⅱ6B0414"	"V06B0084"	"10-2"	"早"	"少"	"150.0"	"--"	"抗"	"68.0"	"弯曲圆条形"
"36"	"黑紫"	"大肉红茄"	"广东"	"G29-37"	"强"	"--"	"750"	"广东增城县"	"DA ROU HONG QIE"	"8"	"60"	"62.0"	"广东农科院经作所"	"Ⅱ6B0742"	"V06B0085"	"12-2"	"--"	"少"	"100.0"	"--"	"抗"	"62.0"	"弯曲圆条形"
"37"	"紫红"	"硇州长茄"	"广东"	"G29-42"	"强"	"--"	"300"	"广东湛江市"	"NAO ZHOU CHANG QIE"	"7"	"55"	"76.0"	"广东农科院经作所"	"Ⅱ6B0661"	"V06B0086"	"3-9"	"早"	"中"	"110.0"	"--"	"抗"	"65.0"	"弯曲圆条形"
"38"	"--"	"莲塘茄"	"广西"	"200104"	"中"	"--"	"626"	"广西柳州市"	"LIAN TANG QIE"	"9"	"210"	"100.0"	"广西农科院园艺所"	"Ⅱ6B0689"	"V06B0087"	"--"	"早"	"--"	"300.0"	"--"	"--"	"75.0"	"圆筒形"
"39"	"绿"	"胭脂茄"	"广西"	"200030"	"强"	"*"	"1126"	"广西柳州市"	"YAN ZHI QIE"	"8"	"--"	"90.0"	"广西农科院园艺所"	"Ⅱ6B0136"	"V06B0088"	"2-3下-5中9"	"中"	"中"	"275.0"	"--"	"中"	"100.0"	"羊角形"
"40"	"紫红"	"贵定东门团茄"	"贵州"	"6-B-22-15"	"强"	"--"	"500"	"贵州贵定县"	"GUI DING DONG MEN TUAN QIE"	"9"	"70"	"82.0"	"贵州农科院园艺所"	"Ⅱ6B0493"	"V06B0102"	"3上-5中"	"--"	"中"	"181.0"	"松"	"中"	"68.2"	"卵形"
"41"	"紫红"	"贵定东门长茄"	"贵州"	"6-B-22-4"	"强"	"--"	"500"	"贵州贵定县"	"GUI DING DONG MEN CHANG QIE"	"11"	"65"	"82.2"	"贵州农科院园艺所"	"Ⅱ6B0492"	"V06B0103"	"3上-5中"	"--"	"少"	"142.0"	"松"	"抗"	"76.9"	"弯曲圆条形"
"42"	"紫红"	"坳坝长茄"	"贵州"	"6-B-22-5"	"中"	"*"	"938"	"贵州贵定县"	"AO BA CHANG QIE"	"11"	"65"	"82.2"	"贵州农科院园艺所"	"Ⅱ6B0391"	"V06B0104"	"--"	"--"	"少"	"142.0"	"--"	"中"	"77.0"	"弯曲圆条形"
"43"	"紫"	"贵阳紫团茄"	"贵州"	"6-B-22-63"	"强"	"--"	"1500"	"贵州贵阳市"	"GUI YANG ZI TUAN QIE"	"9"	"75"	"87.5"	"贵州农科院园艺所"	"Ⅱ6B0243"	"V06B0105"	"3下-5下"	"--"	"多"	"250.0"	"致密"	"抗"	"--"	"圆球形"
"44"	"紫"	"胭脂长茄"	"贵州"	"6-B-22-67"	"强"	"--"	"1500"	"贵州贵阳市"	"YAN ZHI CHANG QIE"	"9"	"70"	"95.0"	"贵州农科院园艺所"	"Ⅱ6B0245"	"V06B0106"	"3下-5下"	"--"	"中"	"230.0"	"致密"	"抗"	"65.0"	"圆筒形"
"45"	"白"	"白海茄"	"河北"	"茄21号"	"中"	"--"	"750"	"河北宽城县"	"BAI HAI QIE"	"7"	"60"	"80.0"	"河北农科院蔬菜所"	"Ⅱ6B0931"	"V06B0154"	"4中-8下"	"中"	"中"	"990.0"	"松"	"中抗瓢虫"	"86.0"	"圆球形"
"46"	"白"	"北庄白茄"	"河北"	"茄76号"	"中"	"--"	"626"	"河北南和县"	"BEI ZHUANG BAI QIE"	"10"	"--"	"110.0"	"河北农科院蔬菜所"	"Ⅱ6B0935"	"V06B0155"	"1中-7下"	"晚"	"中"	"550.0"	"致密"	"中"	"90.0"	"圆球形"
"47"	"黑紫"	"园紫茄"	"河北"	"茄41号"	"中"	"--"	"938"	"河北内丘县"	"YUAN ZI QIE"	"10"	"57"	"100.0"	"河北农科院蔬菜所"	"Ⅱ6B0133"	"V06B0156"	"1下-7下"	"中"	"中"	"300.0"	"致密"	"不抗黄萎病"	"90.0"	"圆球形"
