"id"	"熟性"	"科名"	"品质"	"品种名称"	"定植至始收"	"叶面蜡粉"	"叶球重"	"叶面"	"株幅"	"外叶色"	"省"	"单产"	"叶球横径"	"收获期"	"耐寒性"	"叶球紧实度"	"播种期"	"属名"	"统一编号"	"学名"	"抗逆性"	"繁种单位"	"纤维含量"	"外叶形"	"耐旱性"	"种质库编号"	"定植期"	"抗虫性"	"叶球形状"	"耐涝性"	"贮藏性"	"叶球大小"	"备注"	"叶球色"	"抗病性"	"球中心柱高"	"单位编号"	"译名"	"品种来源"	"叶球纵径"	"栽培时期"	"种子千粒重"	"株高"	"耐热性"
"70"	"早"	"Cruciferae(十字花科)"	"上"	"迎春甘蓝"	"--"	"少"	"500"	"微皱"	"35x35"	"绿"	"山东"	"30000"	"10.0"	"5下"	"强"	"紧"	"1中"	"Brassica(芸薹属)"	"V04A0158"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"山东农科院蔬菜所"	"少"	"倒卵圆"	"中"	"Ⅱ4A0172"	"3中"	"抗菜青虫弱"	"近圆"	"弱"	"中"	"--"	"--"	"浅绿"	"抗病毒病强"	"--"	"4A02"	"YING CHUN GAN LAN"	"山东引自"	"10.0"	"--"	"5.6"	"20.0"	"中"
"71"	"中晚"	"Cruciferae(十字花科)"	"上"	"山农56"	"--"	"中"	"1750"	"平滑"	"50x55"	"绿"	"山东"	"75000"	"22.0"	"11下"	"强"	"紧"	"7上"	"Brassica(芸薹属)"	"V04A0159"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"山东农科院蔬菜所"	"少"	"卵圆"	"中"	"Ⅱ4A0174"	"8上"	"抗菜青虫弱"	"扁圆"	"中"	"中"	"--"	"--"	"浅绿"	"抗病毒病强"	"--"	"4A013"	"SHAN NONG 56"	"山东农学院"	"10.0"	"--"	"5.0"	"27.0"	"弱"
"72"	"--"	"Cruciferae(十字花科)"	"中"	"大平顶"	"--"	"中"	"7500"	"微皱"	"73X62"	"绿"	"内蒙"	"52000"	"40.5"	"9下-10上"	"中"	"紧"	"4下"	"Brassica(芸薹属)"	"V04A0160"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"内蒙农科院蔬菜所"	"--"	"倒卵圆"	"弱"	"Ⅱ4A0162"	"6上中"	"强"	"扁圆"	"--"	"强"	"--"	"--"	"浅绿"	"强"	"8.7"	"内4AⅡ008"	"DA PING DING"	"内蒙海拉尔市"	"23.0"	"--"	"--"	"33.0"	"中"
"73"	"早"	"Cruciferae(十字花科)"	"上"	"狄特409"	"--"	"中"	"810"	"微皱"	"43x45"	"绿"	"天津"	"45000"	"14.4"	"5下"	"强"	"中"	"1上"	"Brassica(芸薹属)"	"V04A0164"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"天津农科院蔬菜所"	"少"	"倒卵圆"	"中"	"Ⅱ4A0190"	"3下"	"抗蚜虫弱"	"近圆"	"弱"	"中"	"--"	"--"	"白绿"	"抗霜霉病中"	"--"	"4A-003"	"DI TE 409"	"天津引自北京"	"13.2"	"--"	"4.5"	"21.0"	"中"
"74"	"晚"	"Cruciferae(十字花科)"	"中"	"桥靠二板墩"	"--"	"中"	"4000"	"皱"	"71x71"	"深绿"	"内蒙"	"75000"	"30.0"	"10中"	"强"	"中"	"4下"	"Brassica(芸薹属)"	"V04A0165"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"内蒙农科院蔬菜所"	"中"	"近圆扇"	"中"	"Ⅱ4A0189"	"6上"	"抗蚜虫中"	"扁圆"	"中"	"强"	"--"	"--"	"浅绿"	"抗软腐病弱"	"18.0"	"内4AⅡ020"	"QIAO KAO ER BAN DUN"	"内蒙呼和浩特市"	"18.0"	"--"	"5.0"	"42.9"	"弱"
"75"	"中晚"	"Cruciferae(十字花科)"	"上"	"泰协一号"	"--"	"少"	"200"	"微皱"	"56.52"	"绿"	"山东"	"60000"	"23.0"	"6"	"中"	"中"	"2 7"	"Brassica(芸薹属)"	"V04A0166"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"山东农科院蔬菜所"	"少"	"卵圆"	"中"	"Ⅱ4A0180"	"3 8"	"中"	"扁圆"	"中"	"强"	"--"	"--"	"浅绿"	"强"	"--"	"4A011"	"TAI XIE YI HAO"	"山东泰安市"	"12.0"	"--"	"--"	"35.0"	"强"
"76"	"早"	"Cruciferae(十字花科)"	"上"	"鲁甘一号"	"--"	"少"	"600"	"微皱"	"43X42"	"绿"	"山东"	"45000"	"11.0"	"5上"	"强"	"紧"	"12下 1中"	"Brassica(芸薹属)"	"V04A0167"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"山东农科院蔬菜所"	"少"	"近圆"	"中"	"Ⅱ4A0179"	"2中小棚-3中"	"弱"	"近圆"	"弱"	"中"	"--"	"--"	"浅绿"	"中"	"--"	"4A014"	"LU GAN YI HAO"	"山东青岛市"	"12.0"	"--"	"--"	"23.0"	"中"
"77"	"--"	"Cruciferae(十字花科)"	"上"	"甘蓝"	"--"	"多"	"1500"	"平滑"	"55x60"	"灰绿"	"新疆"	"62493"	"16.0"	"10中"	"强"	"紧"	"5下"	"Brassica(芸薹属)"	"V04A0168"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"新疆农科院园艺所"	"少"	"倒卵圆"	"强"	"Ⅱ4A0188"	"7上"	"中"	"近圆"	"强"	"中"	"--"	"--"	"浅绿"	"强"	"7.3"	"91-11"	"GAN LAN"	"新疆引"	"14.0"	"--"	"5.7"	"48.0"	"强"
"78"	"中晚"	"Cruciferae(十字花科)"	"上"	"钻石"	"--"	"多"	"1300"	"平滑"	"62x65"	"灰绿"	"吉林"	"43000"	"15.0"	"9中"	"中"	"中"	"5中"	"Brassica(芸薹属)"	"V04A0177"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"吉林省蔬菜所"	"中"	"卵圆"	"中"	"Ⅱ4A0170"	"7上"	"--"	"近圆"	"中"	"中"	"--"	"--"	"绿"	"--"	"7.5"	"92-4A-18"	"ZUANG SHI"	"吉林引自苏联"	"14.0"	"--"	"3.6"	"--"	"中"
"79"	"极早"	"Cruciferae(十字花科)"	"中"	"包儿菜"	"--"	"少"	"750"	"微皱"	"35x30"	"灰绿"	"湖北"	"25000"	"15.0"	"4"	"中"	"中"	"9下"	"Brassica(芸薹属)"	"V04A0180"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"华中农业大学"	"中"	"卵圆"	"--"	"Ⅱ4A0185"	"11"	"--"	"牛心"	"--"	"--"	"--"	"--"	"白绿"	"--"	"7.0"	"Ⅲ0301009"	"BAO ER CAI"	"湖北长阳县"	"25.0"	"--"	"3.3"	"30.0"	"--"
"80"	"极晚"	"Cruciferae(十字花科)"	"中"	"三林甘蓝"	"--"	"少"	"1750"	"平滑"	"78x80"	"绿"	"吉林"	"58000"	"--"	"9下-10上"	"中"	"松"	"5上"	"Brassica(芸薹属)"	"V04A0181"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"吉林省蔬菜所"	"中"	"近圆"	"中"	"Ⅱ4A0161"	"6下"	"--"	"扁圆"	"中"	"中"	"--"	"--"	"浅绿"	"中"	"--"	"八五-甘1"	"SAN LIN GAN LAN"	"吉林引自上海"	"--"	"--"	"3.4"	"--"	"强"
"81"	"中"	"Cruciferae(十字花科)"	"上"	"黑叶平头"	"--"	"多"	"1600"	"微皱"	"60x60"	"灰绿"	"河北"	"75000"	"26.0"	"5中,10下"	"强"	"紧"	"11中,6下"	"Brassica(芸薹属)"	"V04A0191"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"河北农科院蔬菜所"	"少"	"近圆"	"中"	"Ⅱ4A0201"	"3中,8中"	"抗菜青虫中"	"扁圆"	"中"	"强"	"--"	"--"	"浅绿"	"抗霜霉病强"	"--"	"甘4号"	"HEI YE PING TOU"	"河北邢台市"	"12.0"	"--"	"--"	"22.0"	"强"
"82"	"中"	"Cruciferae(十字花科)"	"中"	"衢州牛心"	"--"	"中"	"1250"	"平滑"	"60x60"	"灰绿"	"浙江"	"64000"	"14.0"	"5上中"	"强"	"紧"	"10上"	"Brassica(芸薹属)"	"V04A0197"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"浙江农科院园艺所"	"中"	"卵圆"	"中"	"Ⅱ4A0199"	"11下"	"强"	"牛心"	"中"	"中"	"--"	"--"	"白绿"	"强"	"10.0"	"05012"	"QU ZHOU NIU XIN"	"浙江衢州市"	"30.0"	"--"	"--"	"40.0"	"弱"
"83"	"晚"	"Cruciferae(十字花科)"	"中"	"120天茴子白"	"--"	"多"	"4800"	"--"	"94.0"	"兰灰"	"山西"	"85500"	"28.4"	"8中"	"--"	"紧"	"4上"	"Brassica(芸薹属)"	"V04A0199"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"山西农科院蔬菜所"	"--"	"椭圆"	"--"	"Ⅱ4A0153"	"--"	"中"	"扁圆"	"--"	"--"	"--"	"--"	"浅绿"	"--"	"9.9"	"Ⅱ4A0057"	"120 TIAN HUI ZI BAI"	"山西繁峙县"	"21.6"	"--"	"--"	"49.0"	"--"
"84"	"中"	"Cruciferae(十字花科)"	"上"	"小平头甘兰"	"--"	"中"	"2500"	"--"	"40"	"深绿"	"新疆"	"30000"	"16.0"	"6中"	"--"	"紧"	"3中"	"Brassica(芸薹属)"	"V04A0201"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"新疆农科院园艺所"	"--"	"--"	"--"	"Ⅱ4A0157"	"--"	"强"	"圆球"	"--"	"--"	"--"	"--"	"--"	"强"	"--"	"87-136"	"XIAO PING TOU GAN LAN"	"新疆引自北京"	"15.0"	"--"	"--"	"25.0"	"--"
"85"	"中"	"Cruciferae(十字花科)"	"中"	"丹东早生甘兰(选)"	"--"	"中"	"600"	"微皱"	"20x20"	"绿"	"辽宁"	"15000"	"--"	"6中"	"强"	"紧"	"1下"	"Brassica(芸薹属)"	"V04A0204"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"辽宁农科院园艺所"	"--"	"近圆"	"中"	"Ⅱ4A0211"	"4中"	"抗蚜虫中"	"近圆"	"中"	"中"	"--"	"--"	"绿"	"中"	"7.0"	"4AA6"	"DAN DONG ZAO SHENG GAN LAN (XUAN )"	"辽宁丹东市"	"16.5"	"--"	"--"	"21.0"	"中"
"86"	"早"	"Cruciferae(十字花科)"	"上"	"早熟一号甘兰"	"--"	"中"	"525"	"微皱"	"43x43"	"绿"	"山东"	"35000"	"12.0"	"4下"	"强"	"紧"	"1上"	"Brassica(芸薹属)"	"V04A0207"	"Brassica campestris L. ssp. pekinensis (Lour) Olsson(大白菜)"	"--"	"山东农科院蔬菜所"	"少"	"近圆"	"中"	"Ⅱ4A0216"	"3中"	"抗蚜虫中"	"近圆"	"弱"	"中"	"--"	"品种整度70%"	"浅绿"	"抗TuMV黑斑强"	"--"	"4A015(俄56)"	"ZAO SHU YI HAO GAN LAN"	"山东引自俄罗斯"	"12.0"	"--"	"--"	"17.0"	"中"
