"id"	"含油量"	"蛋氨酸"	"科名"	"品种名称"	"谷氨酸"	"种子来源"	"棕榈酸"	"精氨酸"	"丙氨酸"	"单株生产率"	"酪氨酸"	"抗根结线虫"	"单位编号"	"类型"	"硬脂酸"	"组氨酸"	"属名"	"保存单位"	"山芋酸"	"亚油酸"	"苏氨酸"	"统一编号"	"抗叶黑斑"	"学名"	"选育方法"	"苯丙氨酸"	"胱氨酸"	"蛋白质含量"	"天冬氨酸"	"油酸"	"亮氨酸"	"库编号"	"株型"	"生育期"	"花生酸"	"省"	"百果重"	"抗青枯"	"甘氨酸"	"缬氨酸"	"色氨酸"	"抗叶褐斑"	"脯氨酸"	"百仁重"	"分枝型"	"抗旱"	"赖氨酸"	"出仁率"	"抗涝"	"丝氨酸"	"开花习性"	"译名"	"花生烯酸"	"病毒病"	"抗锈病"	"异亮氨酸"	"主茎高"
"678"	"48.50"	"--"	"Leguminosae(豆科)"	"8111"	"--"	"大连市农科所"	"9.65"	"--"	"--"	"19.1"	"--"	"S"	"--"	"普通型"	"3.84"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"25.72"	"--"	"Zh.h5105"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"28.04"	"--"	"56.12"	"--"	"I4A04931"	"直立"	"129"	"1.55"	"辽宁"	"221.3"	"HS"	"--"	"--"	"--"	"S"	"--"	"100.5"	"--"	"--"	"--"	"74.00"	"--"	"--"	"交替"	"8111"	"0.88"	"HS"	"S"	"--"	"27.50"
"679"	"50.66"	"--"	"Leguminosae(豆科)"	"8453-7"	"--"	"大连市农科所"	"11.48"	"--"	"--"	"20.9"	"--"	"S"	"--"	"普通型"	"3.98"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"36.16"	"--"	"Zh.h5106"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"26.63"	"--"	"44.52"	"--"	"I4A04932"	"直立"	"130"	"1.95"	"辽宁"	"197.8"	"HS"	"--"	"--"	"--"	"S"	"--"	"91.5"	"--"	"--"	"--"	"73.80"	"--"	"--"	"交替"	"8453-7"	"0.81"	"HS"	"S"	"--"	"26.50"
"680"	"52.00"	"--"	"Leguminosae(豆科)"	"8003-66"	"--"	"大连市农科所"	"10.67"	"--"	"--"	"19.1"	"--"	"S"	"--"	"普通型"	"4.03"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"35.40"	"--"	"Zh.h5107"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"26.02"	"--"	"44.88"	"--"	"I4A04933"	"直立"	"130"	"1.73"	"辽宁"	"183.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"86.3"	"--"	"--"	"--"	"75.20"	"--"	"--"	"交替"	"8003-66"	"0.74"	"HS"	"S"	"--"	"30.20"
"681"	"48.07"	"--"	"Leguminosae(豆科)"	"8532-4"	"--"	"大连市农科所"	"9.81"	"--"	"--"	"17.4"	"--"	"S"	"--"	"普通型"	"3.38"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"26.90"	"--"	"Zh.h5108"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"27.53"	"--"	"54.97"	"--"	"--"	"直立"	"120"	"1.60"	"辽宁"	"189.3"	"HS"	"--"	"--"	"--"	"S"	"--"	"90.7"	"--"	"--"	"--"	"75.30"	"--"	"--"	"交替"	"8532-4"	"0.77"	"HS"	"S"	"--"	"25.20"
"682"	"50.84"	"--"	"Leguminosae(豆科)"	"8532-4-1"	"--"	"大连市农科所"	"11.86"	"--"	"--"	"18.1"	"--"	"S"	"--"	"普通型"	"3.83"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"36.92"	"--"	"Zh.h5109"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"26.16"	"--"	"42.77"	"--"	"I4A05145"	"直立"	"130"	"1.66"	"辽宁"	"196.7"	"HS"	"--"	"--"	"--"	"S"	"--"	"91.0"	"--"	"--"	"--"	"74.00"	"--"	"--"	"交替"	"8532-4-1"	"0.80"	"HS"	"S"	"--"	"30.50"
"683"	"49.28"	"--"	"Leguminosae(豆科)"	"8449-1"	"--"	"大连市农科所"	"9.68"	"--"	"--"	"20.6"	"--"	"S"	"--"	"普通型"	"3.51"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"25.98"	"--"	"Zh.h5110"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"28.30"	"--"	"55.87"	"--"	"I4A05146"	"直立"	"131"	"1.67"	"辽宁"	"196.3"	"HS"	"--"	"--"	"--"	"S"	"--"	"90.7"	"--"	"--"	"--"	"75.60"	"--"	"--"	"交替"	"8449-1"	"1.00"	"HS"	"S"	"--"	"29.20"
"684"	"50.01"	"--"	"Leguminosae(豆科)"	"8453-6"	"--"	"大连市农科所"	"11.53"	"--"	"--"	"23.4"	"--"	"S"	"--"	"普通型"	"4.08"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"35.67"	"--"	"Zh.h5111"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"30.06"	"--"	"43.84"	"--"	"I4A04934"	"直立"	"131"	"1.83"	"辽宁"	"191.3"	"HS"	"--"	"--"	"--"	"S"	"--"	"86.0"	"--"	"--"	"--"	"73.40"	"--"	"--"	"交替"	"8453-6"	"0.82"	"HS"	"S"	"--"	"23.20"
"685"	"51.34"	"--"	"Leguminosae(豆科)"	"8453-5"	"--"	"大连市农科所"	"11.59"	"--"	"--"	"20.5"	"--"	"S"	"--"	"普通型"	"4.08"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"36.32"	"--"	"Zh.h5112"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"26.99"	"--"	"42.50"	"--"	"I4A04935"	"直立"	"128"	"2.14"	"辽宁"	"186.7"	"HS"	"--"	"--"	"--"	"S"	"--"	"88.0"	"--"	"--"	"--"	"74.80"	"--"	"--"	"交替"	"8453-5"	"0.77"	"HS"	"S"	"--"	"21.80"
"686"	"--"	"--"	"Leguminosae(豆科)"	"8516-3"	"--"	"大连市农科所"	"--"	"--"	"--"	"20.5"	"--"	"S"	"--"	"普通型"	"--"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"--"	"--"	"Zh.h5113"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"--"	"--"	"--"	"--"	"I4A04936"	"直立"	"128"	"--"	"辽宁"	"215.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"101.0"	"--"	"--"	"--"	"75.60"	"--"	"--"	"交替"	"8516-3"	"--"	"HS"	"S"	"--"	"24.00"
"687"	"--"	"--"	"Leguminosae(豆科)"	"8516-4"	"--"	"大连市农科所"	"--"	"--"	"--"	"27.3"	"--"	"S"	"--"	"普通型"	"--"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"--"	"--"	"Zh.h5114"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"--"	"--"	"--"	"--"	"I4A04937"	"直立"	"128"	"--"	"辽宁"	"194.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"92.0"	"--"	"--"	"--"	"76.00"	"--"	"--"	"交替"	"8516-4"	"--"	"HS"	"S"	"--"	"30.30"
"688"	"--"	"--"	"Leguminosae(豆科)"	"8532-2"	"--"	"大连市农科所"	"--"	"--"	"--"	"12.5"	"--"	"S"	"--"	"普通型"	"--"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"--"	"--"	"Zh.h5115"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"--"	"--"	"--"	"--"	"I4A04938"	"直立"	"131"	"--"	"辽宁"	"173.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"88.0"	"--"	"--"	"--"	"75.20"	"--"	"--"	"交替"	"8532-2"	"--"	"HS"	"S"	"--"	"17.30"
"689"	"--"	"--"	"Leguminosae(豆科)"	"8532-3"	"--"	"大连市农科所"	"--"	"--"	"--"	"26.3"	"--"	"S"	"--"	"普通型"	"--"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"--"	"--"	"Zh.h5116"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"--"	"--"	"--"	"--"	"I4A04939"	"直立"	"131"	"--"	"辽宁"	"197.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"90.0"	"--"	"--"	"--"	"76.00"	"--"	"--"	"交替"	"8532-3"	"--"	"HS"	"S"	"--"	"24.80"
"690"	"--"	"--"	"Leguminosae(豆科)"	"8614"	"--"	"大连市农科所"	"--"	"--"	"--"	"17.5"	"--"	"S"	"--"	"普通型"	"--"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"--"	"--"	"Zh.h5117"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"--"	"--"	"--"	"--"	"I4A04940"	"直立"	"131"	"--"	"辽宁"	"198.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"92.0"	"--"	"--"	"--"	"74.80"	"--"	"--"	"交替"	"8614"	"--"	"HS"	"S"	"--"	"24.00"
"691"	"--"	"--"	"Leguminosae(豆科)"	"系1-12"	"--"	"大连市农科所"	"--"	"--"	"--"	"17.5"	"--"	"S"	"--"	"普通型"	"--"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"--"	"--"	"Zh.h5118"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"--"	"--"	"--"	"--"	"I4A04941"	"直立"	"128"	"--"	"辽宁"	"206.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"95.0"	"--"	"--"	"--"	"76.80"	"--"	"--"	"交替"	"XI 1-12"	"--"	"HS"	"S"	"--"	"28.30"
"692"	"--"	"--"	"Leguminosae(豆科)"	"无名"	"--"	"大连市农科所"	"--"	"--"	"--"	"22.0"	"--"	"S"	"--"	"普通型"	"--"	"--"	"Arachis(落花生属)"	"辽宁大连市农科所"	"--"	"--"	"--"	"Zh.h5119"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"--"	"--"	"--"	"--"	"I4A04942"	"直立"	"135"	"--"	"辽宁"	"196.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"89.0"	"--"	"--"	"--"	"75.20"	"--"	"--"	"交替"	"WU MING"	"--"	"HS"	"S"	"--"	"29.50"
"693"	"50.15"	"--"	"Leguminosae(豆科)"	"3226"	"--"	"油料所"	"12.15"	"--"	"--"	"25.0"	"--"	"S"	"--"	"中间型"	"3.29"	"--"	"Arachis(落花生属)"	"中农院油料所"	"--"	"36.98"	"--"	"Zh.h5134"	"HS"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"29.72"	"--"	"42.80"	"--"	"I4A05233"	"直立"	"120"	"1.56"	"湖北"	"207.2"	"HS"	"--"	"--"	"--"	"S"	"--"	"86.2"	"--"	"--"	"--"	"73.90"	"--"	"--"	"不规则"	"3226"	"0.82"	"HS"	"HS"	"--"	"42.10"
"694"	"52.15"	"--"	"Leguminosae(豆科)"	"3503"	"--"	"油料所"	"10.99"	"--"	"--"	"12.5"	"--"	"S"	"--"	"中间型"	"3.04"	"--"	"Arachis(落花生属)"	"中农院油料所"	"--"	"35.73"	"--"	"Zh.h5135"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"29.36"	"--"	"45.84"	"--"	"I4A05191"	"直立"	"120"	"1.64"	"湖北"	"166.6"	"HS"	"--"	"--"	"--"	"HS"	"--"	"67.2"	"--"	"--"	"--"	"75.20"	"--"	"--"	"不规则"	"3503"	"1.14"	"HS"	"S"	"--"	"36.40"
"695"	"51.76"	"--"	"Leguminosae(豆科)"	"3101"	"--"	"油料所"	"11.46"	"--"	"--"	"14.1"	"--"	"S"	"--"	"中间型"	"4.32"	"--"	"Arachis(落花生属)"	"中农院油料所"	"--"	"36.35"	"--"	"Zh.h5136"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"27.05"	"--"	"43.55"	"--"	"I4A05234"	"直立"	"120"	"1.78"	"湖北"	"165.2"	"HS"	"--"	"--"	"--"	"S"	"--"	"79.0"	"--"	"--"	"--"	"80.50"	"--"	"--"	"不规则"	"3101"	"0.64"	"HS"	"HS"	"--"	"32.50"
"696"	"52.62"	"--"	"Leguminosae(豆科)"	"3011"	"--"	"北京市"	"9.47"	"--"	"--"	"12.6"	"--"	"S"	"--"	"中间型"	"5.20"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"26.76"	"--"	"Zh.h5137"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"27.80"	"--"	"51.84"	"--"	"I4A04976"	"直立"	"136"	"2.14"	"北京"	"152.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"67.0"	"--"	"--"	"--"	"71.80"	"--"	"--"	"连续"	"3011"	"0.74"	"HS"	"S"	"--"	"28.00"
"697"	"--"	"--"	"Leguminosae(豆科)"	"3012"	"--"	"北京市"	"--"	"--"	"--"	"12.5"	"--"	"S"	"--"	"中间型"	"--"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"--"	"--"	"Zh.h5138"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"--"	"--"	"--"	"--"	"I4A04977"	"半蔓"	"135"	"--"	"北京"	"130.0"	"S"	"--"	"--"	"--"	"S"	"--"	"60.0"	"--"	"--"	"--"	"70.40"	"--"	"--"	"连续"	"3012"	"--"	"HS"	"S"	"--"	"31.90"
"698"	"52.31"	"--"	"Leguminosae(豆科)"	"3013-1-1"	"--"	"北京市"	"10.16"	"--"	"--"	"10.8"	"--"	"S"	"--"	"中间型"	"5.04"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"28.49"	"--"	"Zh.h5139"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"27.62"	"--"	"50.70"	"--"	"I4A04978"	"直立"	"136"	"2.06"	"北京"	"136.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"55.0"	"--"	"--"	"--"	"69.00"	"--"	"--"	"连续"	"3013-1-1"	"0.68"	"HS"	"S"	"--"	"29.60"
"699"	"52.65"	"--"	"Leguminosae(豆科)"	"3019"	"--"	"北京市"	"9.38"	"--"	"--"	"10.2"	"--"	"HR"	"--"	"中间型"	"5.02"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"26.07"	"--"	"Zh.h5140"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"29.25"	"--"	"52.67"	"--"	"I4A04979"	"直立"	"136"	"2.34"	"北京"	"133.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"60.0"	"--"	"--"	"--"	"75.00"	"--"	"--"	"连续"	"3019"	"1.70"	"HS"	"S"	"--"	"29.60"
"700"	"51.36"	"--"	"Leguminosae(豆科)"	"3020-1"	"--"	"北京市"	"9.52"	"--"	"--"	"11.8"	"--"	"S"	"--"	"中间型"	"5.40"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"27.30"	"--"	"Zh.h5141"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"29.56"	"--"	"52.33"	"--"	"I4A04980"	"直立"	"136"	"2.15"	"北京"	"141.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"79.0"	"--"	"--"	"--"	"79.00"	"--"	"--"	"连续"	"3020-1"	"0.68"	"HS"	"HS"	"--"	"36.50"
"701"	"49.55"	"--"	"Leguminosae(豆科)"	"3029"	"--"	"北京市"	"11.29"	"--"	"--"	"11.9"	"--"	"S"	"--"	"中间型"	"3.76"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"37.32"	"--"	"Zh.h5142"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"28.41"	"--"	"42.55"	"--"	"I4A04981"	"直立"	"136"	"1.68"	"北京"	"163.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"82.0"	"--"	"--"	"--"	"71.50"	"--"	"--"	"连续"	"3029"	"0.76"	"HS"	"HS"	"--"	"35.90"
"702"	"50.63"	"--"	"Leguminosae(豆科)"	"3030"	"--"	"北京市"	"10.97"	"--"	"--"	"11.6"	"--"	"S"	"--"	"中间型"	"4.05"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"35.46"	"--"	"Zh.h5143"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"28.95"	"--"	"44.44"	"--"	"I4A04982"	"直立"	"136"	"1.76"	"北京"	"187.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"80.0"	"--"	"--"	"--"	"73.00"	"--"	"--"	"连续"	"3030"	"0.73"	"HS"	"S"	"--"	"28.10"
"703"	"50.96"	"--"	"Leguminosae(豆科)"	"3039"	"--"	"北京市"	"11.74"	"--"	"--"	"15.6"	"--"	"S"	"--"	"珍珠豆型"	"4.61"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"37.98"	"--"	"Zh.h5144"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"30.72"	"--"	"40.30"	"--"	"I4A04983"	"直立"	"137"	"1.95"	"北京"	"155.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"70.0"	"--"	"--"	"--"	"76.00"	"--"	"--"	"连续"	"3039"	"0.66"	"HS"	"S"	"--"	"36.90"
"704"	"48.62"	"--"	"Leguminosae(豆科)"	"3042-1"	"--"	"北京市"	"11.76"	"--"	"--"	"11.4"	"--"	"S"	"--"	"普通型"	"4.33"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"35.34"	"--"	"Zh.h5145"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"30.71"	"--"	"42.83"	"--"	"I4A04984"	"直立"	"136"	"1.92"	"北京"	"135.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"63.0"	"--"	"--"	"--"	"71.10"	"--"	"--"	"交替"	"3042-1"	"0.80"	"HS"	"HS"	"--"	"28.60"
"705"	"49.19"	"--"	"Leguminosae(豆科)"	"3049-1"	"--"	"北京市"	"11.55"	"--"	"--"	"9.9"	"--"	"S"	"--"	"珍珠豆型"	"3.99"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"35.70"	"--"	"Zh.h5146"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"31.44"	"--"	"42.79"	"--"	"I4A04985"	"直立"	"136"	"1.87"	"北京"	"130.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"66.0"	"--"	"--"	"--"	"70.10"	"--"	"--"	"连续"	"3049-1"	"0.95"	"HS"	"S"	"--"	"31.80"
"706"	"49.32"	"--"	"Leguminosae(豆科)"	"3051"	"--"	"北京市"	"11.74"	"--"	"--"	"11.1"	"--"	"S"	"--"	"普通型"	"4.20"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"35.84"	"--"	"Zh.h5147"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"30.44"	"--"	"42.24"	"--"	"I4A04986"	"直立"	"133"	"1.95"	"北京"	"130.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"58.0"	"--"	"--"	"--"	"73.70"	"--"	"--"	"交替"	"3051"	"0.85"	"HS"	"S"	"--"	"31.10"
"707"	"47.63"	"--"	"Leguminosae(豆科)"	"3052"	"--"	"北京市"	"11.94"	"--"	"--"	"12.5"	"--"	"S"	"--"	"珍珠豆型"	"3.95"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"36.12"	"--"	"Zh.h5148"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"30.88"	"--"	"41.94"	"--"	"I4A04987"	"直立"	"135"	"1.88"	"北京"	"121.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"58.0"	"--"	"--"	"--"	"68.50"	"--"	"--"	"连续"	"3052"	"0.87"	"HS"	"HS"	"--"	"25.60"
"708"	"50.58"	"--"	"Leguminosae(豆科)"	"4010-1"	"--"	"北京市"	"10.79"	"--"	"--"	"10.7"	"--"	"S"	"--"	"普通型"	"5.01"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"35.41"	"--"	"Zh.h5149"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"30.10"	"--"	"42.94"	"--"	"I4A04988"	"直立"	"137"	"2.19"	"北京"	"125.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"61.0"	"--"	"--"	"--"	"72.00"	"--"	"--"	"交替"	"4010-1"	"0.71"	"HS"	"S"	"--"	"33.30"
"709"	"49.85"	"--"	"Leguminosae(豆科)"	"4015-1"	"--"	"北京市"	"10.88"	"--"	"--"	"14.0"	"--"	"S"	"--"	"中间型"	"4.45"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"38.20"	"--"	"Zh.h5150"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"30.96"	"--"	"41.12"	"--"	"I4A04989"	"直立"	"136"	"1.91"	"北京"	"138.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"64.0"	"--"	"--"	"--"	"73.00"	"--"	"--"	"连续"	"4015-1"	"0.80"	"HS"	"HS"	"--"	"43.70"
"710"	"52.23"	"--"	"Leguminosae(豆科)"	"4016-1"	"--"	"北京市"	"9.51"	"--"	"--"	"12.4"	"--"	"S"	"--"	"中间型"	"5.02"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"27.71"	"--"	"Zh.h5151"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"28.20"	"--"	"51.72"	"--"	"I4A04990"	"直立"	"136"	"2.21"	"北京"	"185.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"62.0"	"--"	"--"	"--"	"70.10"	"--"	"--"	"连续"	"4016-1"	"0.76"	"HS"	"S"	"--"	"31.60"
"711"	"52.09"	"--"	"Leguminosae(豆科)"	"4018-2-1"	"--"	"北京市"	"10.31"	"--"	"--"	"12.1"	"--"	"S"	"--"	"中间型"	"5.07"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"29.76"	"--"	"Zh.h5152"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"28.20"	"--"	"49.52"	"--"	"I4A04991"	"直立"	"134"	"2.16"	"北京"	"128.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"61.0"	"--"	"--"	"--"	"72.00"	"--"	"--"	"连续"	"4018-2-1"	"0.69"	"HS"	"S"	"--"	"27.90"
"712"	"50.51"	"--"	"Leguminosae(豆科)"	"4026-2"	"--"	"北京市"	"11.94"	"--"	"--"	"15.5"	"--"	"S"	"--"	"中间型"	"4.36"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"35.14"	"--"	"Zh.h5153"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"30.62"	"--"	"43.55"	"--"	"I4A04992"	"半蔓"	"139"	"1.96"	"北京"	"146.0"	"HS"	"--"	"--"	"--"	"S"	"--"	"66.1"	"--"	"--"	"--"	"68.10"	"--"	"--"	"连续"	"4026-2"	"0.73"	"HS"	"S"	"--"	"37.40"
"713"	"50.74"	"--"	"Leguminosae(豆科)"	"4029"	"--"	"北京市"	"10.57"	"--"	"--"	"14.1"	"--"	"S"	"--"	"中间型"	"4.50"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"32.64"	"--"	"Zh.h5154"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"29.01"	"--"	"46.77"	"--"	"I4A04993"	"半蔓"	"136"	"2.10"	"北京"	"150.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"68.0"	"--"	"--"	"--"	"70.20"	"--"	"--"	"连续"	"4029"	"0.78"	"HS"	"HS"	"--"	"35.40"
"714"	"50.67"	"--"	"Leguminosae(豆科)"	"4044"	"--"	"北京市"	"11.75"	"--"	"--"	"13.5"	"--"	"S"	"--"	"中间型"	"4.63"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"38.10"	"--"	"Zh.h5155"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"29.14"	"--"	"40.02"	"--"	"I4A04994"	"半蔓"	"139"	"1.98"	"北京"	"170.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"70.0"	"--"	"--"	"--"	"71.50"	"--"	"--"	"连续"	"4044"	"0.65"	"HS"	"HS"	"--"	"35.60"
"715"	"50.74"	"--"	"Leguminosae(豆科)"	"4045-1"	"--"	"北京市"	"11.65"	"--"	"--"	"14.0"	"--"	"S"	"--"	"中间型"	"4.80"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"36.19"	"--"	"Zh.h5156"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"28.98"	"--"	"41.50"	"--"	"I4A04995"	"直立"	"137"	"2.10"	"北京"	"175.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"65.0"	"--"	"--"	"--"	"70.10"	"--"	"--"	"连续"	"4045-1"	"0.69"	"HS"	"HS"	"--"	"37.20"
"716"	"51.28"	"--"	"Leguminosae(豆科)"	"4047"	"--"	"北京市"	"9.56"	"--"	"--"	"15.2"	"--"	"S"	"--"	"中间型"	"4.31"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"25.74"	"--"	"Zh.h5157"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"30.27"	"--"	"54.81"	"--"	"I4A04996"	"半蔓"	"137"	"1.90"	"北京"	"151.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"72.0"	"--"	"--"	"--"	"71.10"	"--"	"--"	"连续"	"4047"	"0.81"	"HS"	"HS"	"--"	"40.60"
"717"	"51.43"	"--"	"Leguminosae(豆科)"	"4053-2"	"--"	"北京市"	"10.89"	"--"	"--"	"10.9"	"--"	"S"	"--"	"中间型"	"4.66"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"32.58"	"--"	"Zh.h5158"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"29.32"	"--"	"43.02"	"--"	"I4A04997"	"直立"	"138"	"2.33"	"北京"	"141.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"64.0"	"--"	"--"	"--"	"73.20"	"--"	"--"	"连续"	"4053-2"	"3.58"	"HS"	"HS"	"--"	"39.40"
"718"	"50.71"	"--"	"Leguminosae(豆科)"	"4054"	"--"	"北京市"	"11.15"	"--"	"--"	"14.5"	"--"	"S"	"--"	"中间型"	"4.51"	"--"	"Arachis(落花生属)"	"北京农林科学院作物所"	"--"	"30.65"	"--"	"Zh.h5159"	"S"	"Arachis hypogaea L.(花生)"	"杂交"	"--"	"--"	"27.98"	"--"	"48.48"	"--"	"I4A04998"	"直立"	"137"	"1.84"	"北京"	"177.0"	"HS"	"--"	"--"	"--"	"HS"	"--"	"56.0"	"--"	"--"	"--"	"73.90"	"--"	"--"	"连续"	"4054"	"0.67"	"HS"	"HS"	"--"	"34.70"
