"id"	"含油量"	"蛋氨酸"	"科名"	"品种名称"	"谷氨酸"	"种子来源"	"棕榈酸"	"精氨酸"	"丙氨酸"	"单株生产率"	"酪氨酸"	"抗根结线虫"	"单位编号"	"类型"	"硬脂酸"	"组氨酸"	"属名"	"保存单位"	"山芋酸"	"亚油酸"	"苏氨酸"	"统一编号"	"抗叶黑斑"	"学名"	"选育方法"	"苯丙氨酸"	"胱氨酸"	"蛋白质含量"	"天冬氨酸"	"油酸"	"亮氨酸"	"库编号"	"株型"	"生育期"	"花生酸"	"省"	"百果重"	"抗青枯"	"甘氨酸"	"缬氨酸"	"色氨酸"	"抗叶褐斑"	"脯氨酸"	"百仁重"	"分枝型"	"抗旱"	"赖氨酸"	"出仁率"	"抗涝"	"丝氨酸"	"开花习性"	"译名"	"花生烯酸"	"病毒病"	"抗锈病"	"异亮氨酸"	"主茎高"
"11"	"51.90"	"0.35"	"Leguminosae(豆科)"	"牟平大红袍"	"5.85"	"山东牟平县"	"10.42"	"3.28"	"1.13"	"--"	"1.29"	"HS"	"A008"	"多粒型"	"3.58"	"0.72"	"Arachis(落花生属)"	"山东省花生研究所"	"3.39"	"38.35"	"0.83"	"Zh.h0011"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.55"	"0.50"	"31.68"	"3.39"	"39.36"	"1.86"	"I4A00006"	"直立"	"133"	"2.04"	"山东"	"186.0"	"HS"	"1.61"	"1.35"	"--"	"S"	"1.76"	"49.0"	"疏枝"	"--"	"1.10"	"65.60"	"--"	"1.49"	"连续"	"MOU PING DA HONG PAO"	"1.21"	"HS"	"HS"	"0.97"	"--"
"12"	"52.01"	"0.52"	"Leguminosae(豆科)"	"牟平红皮"	"5.98"	"山东牟平县"	"10.55"	"3.11"	"1.04"	"--"	"1.04"	"HS"	"A009"	"多粒型"	"3.88"	"0.60"	"Arachis(落花生属)"	"山东省花生研究所"	"3.46"	"38.82"	"0.69"	"Zh.h0012"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.95"	"0.43"	"28.39"	"3.18"	"38.43"	"1.85"	"I4A00007"	"直立"	"133"	"2.04"	"山东"	"181.0"	"HS"	"1.49"	"1.29"	"--"	"S"	"0.73"	"44.0"	"疏枝"	"--"	"1.04"	"67.40"	"--"	"1.28"	"连续"	"MOU PING HONG PI"	"1.15"	"HS"	"HS"	"1.14"	"--"
"13"	"53.53"	"0.42"	"Leguminosae(豆科)"	"牟平大红袍"	"6.00"	"山东牟平县"	"10.47"	"3.30"	"1.08"	"--"	"1.00"	"HS"	"A010"	"多粒型"	"3.33"	"0.63"	"Arachis(落花生属)"	"山东省花生研究所"	"3.46"	"39.63"	"0.75"	"Zh.h0013"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.77"	"0.41"	"27.89"	"3.26"	"38.06"	"3.40"	"I4A00008"	"直立"	"133"	"2.09"	"山东"	"146.0"	"HS"	"1.57"	"1.24"	"--"	"HS"	"0.82"	"49.0"	"疏枝"	"--"	"1.06"	"67.00"	"--"	"1.37"	"连续"	"MOU PING DA HONG PAO"	"1.22"	"HS"	"HS"	"1.01"	"--"
"14"	"51.92"	"0.49"	"Leguminosae(豆科)"	"招远四粒红"	"5.67"	"山东招远县"	"10.49"	"3.16"	"1.05"	"--"	"0.87"	"HS"	"A011"	"多粒型"	"3.26"	"0.61"	"Arachis(落花生属)"	"山东省花生研究所"	"3.41"	"38.82"	"0.70"	"Zh.h0014"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.80"	"0.49"	"28.69"	"3.08"	"39.15"	"3.18"	"I4A00009"	"直立"	"133"	"1.91"	"山东"	"164.0"	"--"	"1.52"	"1.24"	"--"	"S"	"0.86"	"44.0"	"疏枝"	"--"	"1.02"	"67.10"	"--"	"1.29"	"连续"	"ZHAO YUAN SI LI HONG"	"1.26"	"--"	"HS"	"0.92"	"--"
"15"	"49.63"	"0.45"	"Leguminosae(豆科)"	"莱阳四粒红"	"5.99"	"山东莱阳县"	"10.63"	"3.35"	"1.11"	"--"	"0.98"	"HS"	"A012"	"多粒型"	"4.14"	"0.59"	"Arachis(落花生属)"	"山东省花生研究所"	"4.44"	"38.92"	"0.75"	"Zh.h0015"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.68"	"0.46"	"30.18"	"3.31"	"36.40"	"3.39"	"I4A00010"	"直立"	"133"	"2.33"	"山东"	"175.6"	"HS"	"1.50"	"1.25"	"--"	"S"	"1.05"	"49.0"	"疏枝"	"--"	"1.03"	"68.10"	"--"	"1.36"	"连续"	"LAI YANG SI LI HONG"	"1.28"	"HS"	"HS"	"1.01"	"--"
"16"	"52.33"	"0.40"	"Leguminosae(豆科)"	"黄县四粒红"	"5.86"	"山东黄县"	"10.36"	"3.32"	"1.07"	"--"	"1.00"	"HS"	"A013"	"多粒型"	"3.56"	"0.61"	"Arachis(落花生属)"	"山东省花生研究所"	"3.67"	"38.61"	"0.73"	"Zh.h0016"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.89"	"0.43"	"29.19"	"3.21"	"38.80"	"3.34"	"I4A00011"	"直立"	"133"	"2.05"	"山东"	"167.0"	"HS"	"1.52"	"1.25"	"--"	"S"	"0.86"	"49.6"	"疏枝"	"--"	"1.07"	"64.00"	"--"	"1.33"	"连续"	"HUANG XIAN SI LI HONG"	"1.25"	"--"	"HS"	"1.01"	"--"
"17"	"51.27"	"0.50"	"Leguminosae(豆科)"	"即墨小红墩"	"5.87"	"山东即墨县"	"10.21"	"3.25"	"1.07"	"--"	"0.87"	"HS"	"A014"	"多粒型"	"3.59"	"0.61"	"Arachis(落花生属)"	"山东省花生研究所"	"3.43"	"37.63"	"0.70"	"Zh.h0017"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.91"	"0.48"	"30.07"	"3.19"	"40.35"	"3.30"	"I4A00012"	"直立"	"133"	"1.99"	"山东"	"152.0"	"HS"	"1.53"	"1.27"	"--"	"HS"	"0.75"	"44.0"	"疏枝"	"--"	"1.04"	"67.10"	"--"	"1.33"	"连续"	"JI MO XIAO HONG DUN"	"1.19"	"--"	"HS"	"1.03"	"--"
"18"	"52.82"	"0.37"	"Leguminosae(豆科)"	"胶南小红种"	"5.71"	"山东胶南县"	"10.50"	"3.11"	"1.06"	"--"	"0.88"	"HS"	"A015"	"多粒型"	"3.26"	"0.48"	"Arachis(落花生属)"	"山东省花生研究所"	"3.45"	"39.52"	"0.73"	"Zh.h0018"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.68"	"0.40"	"28.22"	"3.12"	"38.38"	"3.19"	"I4A00013"	"直立"	"133"	"1.94"	"山东"	"179.0"	"HS"	"1.49"	"1.24"	"--"	"S"	"0.87"	"48.0"	"疏枝"	"--"	"1.02"	"70.40"	"--"	"1.30"	"连续"	"JIAO NAN XIAO HONG ZHONG"	"1.26"	"--"	"HS"	"0.92"	"--"
"19"	"52.30"	"0.34"	"Leguminosae(豆科)"	"莒南小红种"	"5.79"	"山东莒南县"	"10.73"	"3.20"	"1.08"	"--"	"0.94"	"HS"	"A016"	"多粒型"	"3.51"	"0.62"	"Arachis(落花生属)"	"山东省花生研究所"	"3.90"	"39.94"	"0.72"	"Zh.h0019"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.59"	"0.40"	"31.29"	"3.19"	"36.88"	"3.25"	"I4A00014"	"直立"	"133"	"2.06"	"山东"	"164.0"	"HS"	"1.47"	"1.27"	"--"	"S"	"1.03"	"42.0"	"疏枝"	"--"	"1.01"	"68.00"	"--"	"1.27"	"连续"	"JU NAN XIAO HONG ZHONG"	"1.27"	"--"	"HS"	"0.95"	"--"
"20"	"52.36"	"0.39"	"Leguminosae(豆科)"	"临沂小麻果"	"5.96"	"山东临沂县"	"10.14"	"3.22"	"1.08"	"--"	"0.95"	"HS"	"A017"	"多粒型"	"3.53"	"0.61"	"Arachis(落花生属)"	"山东省花生研究所"	"3.29"	"38.92"	"0.73"	"Zh.h0020"	"HS"	"Arachis hypogaea L.(花生)"	"地方品种"	"1.76"	"0.47"	"29.45"	"3.27"	"39.24"	"3.30"	"I4A00015"	"直立"	"133"	"2.05"	"山东"	"140.0"	"HS"	"1.59"	"1.26"	"--"	"HS"	"1.02"	"44.0"	"疏枝"	"--"	"1.01"	"69.20"	"--"	"1.36"	"连续"	"LIN YI XIAO MA GUO"	"1.22"	"--"	"HS"	"0.94"	"--"
