"id"	"内质评价"	"可溶性糖％"	"品种名称"	"原产地"	"特异及用途"	"省"	"学名"	"图象"	"单果重评价"	"果实成熟期"	"成熟期评价"	"风味"	"单果重G"	"译名"	"汁液"	"外观评价"	"色泽"	"始果年龄"	"肉质"	"属名"	"可溶固形物"	"生育期D"	"生育期评价"	"统一编号"	"早果性评价"	"果形"	"维生素C"	"科名"	"可滴定酸％"
"78"	"中"	"9.1"	"珍宝"	"美国"	"果个特大,三倍体"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"很大"	"9月上旬"	"中"	"酸"	"245.3"	"ZHEN BAO"	"多"	"好"	"紫红"	"5"	"硬脆"	"Malus(苹果属)"	"11.1"	"199"	"中"	"PGB0128"	"中"	"扁圆"	"7.3"	"Rosaceae(蔷薇科)"	"0.60"
"79"	"上"	"13.1"	"秋富5号"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月中旬"	"中"	"酸甜适度"	"103.0"	"QIU FU 5 HAO"	"多"	"好"	"鲜红"	"5"	"脆"	"Malus(苹果属)"	"12.8"	"--"	"--"	"PGB0129"	"中"	"圆"	"2.3"	"Rosaceae(蔷薇科)"	"0.21"
"80"	"中"	"9.3"	"红云"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"8月下旬"	"中早"	"酸"	"108.3"	"HONG YUN"	"多"	"好"	"鲜红"	"6"	"松脆"	"Malus(苹果属)"	"11.8"	"209"	"中"	"PGB0130"	"中"	"扁圆"	"3.5"	"Rosaceae(蔷薇科)"	"0.79"
"81"	"中"	"--"	"梅露斯"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"甜酸"	"141.7"	"MEI LU SI"	"多"	"好"	"鲜红"	"4"	"韧"	"Malus(苹果属)"	"11.6"	"207"	"中"	"PGB0131"	"早"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"82"	"中"	"--"	"杰西麦克"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"甜酸"	"145.1"	"JIE XI MAI KE"	"多"	"好"	"红"	"4"	"松软"	"Malus(苹果属)"	"11.5"	"204"	"中"	"PGB0132"	"早"	"扁圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"83"	"中上"	"--"	"富士Ⅰ系"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月中旬"	"晚"	"酸甜适度"	"120.8"	"FU SHI ⅠXI"	"多"	"中"	"暗红"	"6"	"紧密脆"	"Malus(苹果属)"	"13.4"	"198"	"中"	"PGB0133"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"84"	"中"	"9.5"	"魁金"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"淡甜"	"139.3"	"KUI JIN"	"多"	"好"	"绿黄"	"4"	"松脆"	"Malus(苹果属)"	"11.6"	"187"	"短"	"PGB0134"	"早"	"扁圆"	"4.4"	"Rosaceae(蔷薇科)"	"0.30"
"85"	"中上"	"10.0"	"4-23"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月下旬"	"中晚"	"甜"	"105.2"	"4-23"	"多"	"好"	"淡紫红"	"6"	"脆紧密"	"Malus(苹果属)"	"13.0"	"189"	"短"	"PGB0135"	"中"	"圆锥"	"1.9"	"Rosaceae(蔷薇科)"	"0.34"
"86"	"上"	"--"	"秋富1号"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月中旬"	"晚"	"酸甜"	"110.5"	"QIU FU 1 HAO"	"多"	"中"	"暗红"	"4"	"松脆"	"Malus(苹果属)"	"13.5"	"204"	"中"	"PGB0136"	"早"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"87"	"中"	"--"	"斯派金"	"美国"	"三倍体"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"很大"	"9月中旬"	"中"	"微酸"	"212.5"	"SI PAI JIN"	"多"	"中"	"绿"	"4"	"脆"	"Malus(苹果属)"	"11.6"	"195"	"中"	"PGB0139"	"早"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"88"	"上"	"8.6"	"北幸"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"酸甜适度"	"120.2"	"BEI XING"	"多"	"好"	"淡红"	"4"	"松脆"	"Malus(苹果属)"	"11.7"	"195"	"中"	"PGB0140"	"早"	"圆"	"2.8"	"Rosaceae(蔷薇科)"	"0.57"
"89"	"中"	"9.0"	"早泰德曼"	"英国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"甜酸"	"118.1"	"ZAO TAI DE MAN"	"多"	"好"	"浓红"	"6"	"韧"	"Malus(苹果属)"	"10.2"	"201"	"中"	"PGB0141"	"中"	"扁圆"	"3.1"	"Rosaceae(蔷薇科)"	"0.36"
"90"	"中"	"9.8"	"乙女"	"日本"	"适于观赏"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"很小"	"9月下旬"	"中晚"	"酸甜"	"28.3"	"YI NU"	"中"	"好"	"浓红"	"4"	"松脆"	"Malus(苹果属)"	"13.4"	"198"	"中"	"PGB0142"	"早"	"圆"	"1.4"	"Rosaceae(蔷薇科)"	"0.38"
"91"	"上"	"--"	"岩富10号"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"F009.jpg"	"中"	"10月中旬"	"晚"	"甜酸"	"118.5"	"YAN FU 10 HAO"	"多"	"好"	"暗红"	"5"	"紧密脆"	"Malus(苹果属)"	"12.6"	"203"	"中"	"PGB0143"	"中"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"92"	"中上"	"--"	"美铃系津轻"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月中旬"	"中"	"淡甜"	"111.6"	"MEI LING XI JIN QING"	"中"	"好"	"淡紫红"	"5"	"硬"	"Malus(苹果属)"	"9.9"	"197"	"中"	"PGB0146"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
