"id"	"内质评价"	"可溶性糖％"	"品种名称"	"原产地"	"特异及用途"	"省"	"学名"	"图象"	"单果重评价"	"果实成熟期"	"成熟期评价"	"风味"	"单果重G"	"译名"	"汁液"	"外观评价"	"色泽"	"始果年龄"	"肉质"	"属名"	"可溶固形物"	"生育期D"	"生育期评价"	"统一编号"	"早果性评价"	"果形"	"维生素C"	"科名"	"可滴定酸％"
"125"	"中上"	"--"	"拉里坦"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"甜酸"	"114.0"	"LA LI TAN"	"多"	"好"	"淡紫红"	"5"	"松脆"	"Malus(苹果属)"	"9.8"	"212"	"中"	"PGB0182"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"126"	"中上"	"9.5"	"摩里斯"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月中旬"	"中"	"淡甜"	"143.2"	"MO LI SI"	"多"	"好"	"红"	"6"	"脆"	"Malus(苹果属)"	"10.5"	"--"	"--"	"PGB0184"	"中"	"圆锥"	"4.0"	"Rosaceae(蔷薇科)"	"0.55"
"127"	"中"	"--"	"森马兰"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"甜酸"	"133.1"	"SEN MA LAN"	"多"	"中"	"淡红"	"6"	"松脆"	"Malus(苹果属)"	"11.5"	"221"	"长"	"PGB0185"	"中"	"扁圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"128"	"上"	"11.0"	"千秋"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"酸甜"	"132.5"	"QIAN QIU"	"多"	"好"	"红"	"4"	"松脆"	"Malus(苹果属)"	"13.6"	"211"	"中"	"PGB0186"	"早"	"圆锥"	"5.4"	"Rosaceae(蔷薇科)"	"0.47"
"129"	"中上"	"7.8"	"艳红"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"淡甜"	"122.5"	"YAN HONG"	"多"	"好"	"浓红"	"5"	"脆"	"Malus(苹果属)"	"10.2"	"195"	"中"	"PGB0187"	"中"	"圆锥"	"3.3"	"Rosaceae(蔷薇科)"	"0.25"
"130"	"中上"	"--"	"宫崎"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"10月上旬"	"中晚"	"酸甜"	"156.8"	"GONG QI"	"中"	"中"	"淡红"	"4"	"疏松"	"Malus(苹果属)"	"12.8"	"190"	"短"	"PGB0188"	"早"	"扁圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"131"	"中上"	"10.1"	"卡红"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"淡甜"	"113.5"	"KA HONG"	"多"	"好"	"紫红"	"5"	"脆"	"Malus(苹果属)"	"11.6"	"192"	"短"	"PGB0189"	"中"	"扁圆锥"	"3.5"	"Rosaceae(蔷薇科)"	"0.24"
"132"	"下"	"8.5"	"澳洲青苹"	"澳大利亚"	"耐贮,极晚熟"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"10月下旬"	"晚"	"酸"	"174.7"	"AO ZHOU QING PING"	"中"	"中"	"绿"	"6"	"脆致密"	"Malus(苹果属)"	"11.8"	"218"	"长"	"PGB0190"	"中"	"阔圆锥"	"7.9"	"Rosaceae(蔷薇科)"	"0.57"
"133"	"中"	"--"	"门斯"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月下旬"	"中晚"	"酸"	"106.7"	"MEN SI"	"中"	"中"	"绿"	"--"	"脆硬"	"Malus(苹果属)"	"12.4"	"--"	"--"	"PGB0192"	"--"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"134"	"上"	"--"	"秋香"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月中旬"	"中"	"酸甜适度"	"100.0"	"QIU XIANG"	"多"	"好"	"红"	"--"	"脆致密"	"Malus(苹果属)"	"12.4"	"--"	"--"	"PGB0193"	"--"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"135"	"中"	"9.5"	"德6"	"从德国引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"酸甜"	"129.0"	"DE 6"	"中"	"较好"	"淡紫红"	"7"	"硬硬"	"Malus(苹果属)"	"12.0"	"170"	"短"	"PGB0195"	"晚"	"扁圆"	"2.6"	"Rosaceae(蔷薇科)"	"0.53"
"136"	"上"	"11.3"	"金冠"	"美国"	"优质,丰产"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"酸甜适度"	"159.8"	"JIN GUAN"	"多"	"较好"	"黄绿"	"5"	"松脆"	"Malus(苹果属)"	"14.4"	"208"	"中"	"PGB0196"	"中"	"圆锥"	"5.3"	"Rosaceae(蔷薇科)"	"0.48"
"137"	"中上"	"11.0"	"赤阳"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"10月上旬"	"晚"	"酸甜"	"161.0"	"CHI YANG"	"中"	"中"	"暗红"	"5"	"脆硬"	"Malus(苹果属)"	"12.7"	"205"	"中"	"PGB0197"	"中"	"圆锥"	"7.8"	"Rosaceae(蔷薇科)"	"0.29"
"138"	"中上"	"10.4"	"甘露"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"甜"	"133.0"	"GAN LU"	"多"	"较好"	"黄绿"	"8"	"脆"	"Malus(苹果属)"	"12.3"	"205"	"中"	"PGB0198"	"晚"	"扁圆"	"3.1"	"Rosaceae(蔷薇科)"	"0.21"
"139"	"中下"	"9.3"	"黄锦"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月下旬"	"中早"	"酸"	"134.8"	"HUANG JIN"	"多"	"较好"	"水红"	"6"	"松脆"	"Malus(苹果属)"	"9.4"	"215"	"长"	"PGB0203"	"中"	"扁圆"	"0.8"	"Rosaceae(蔷薇科)"	"0.47"
"140"	"中"	"9.5"	"凤凰卵海棠果"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"大"	"8"	"中早"	"甜酸"	"188.7"	"FENG HUANG LUAN HAI TANG GUO"	"中"	"好"	"红"	"6"	"脆"	"Malus(苹果属)"	"10.5"	"190"	"短"	"PGB0204"	"中"	"扁圆"	"3.4"	"Rosaceae(蔷薇科)"	"0.59"
"141"	"下"	"9.3"	"冬青"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月中旬"	"中"	"极酸"	"141.8"	"DONG QING"	"中"	"中"	"绿"	"5"	"脆"	"Malus(苹果属)"	"12.2"	"184"	"短"	"PGB0205"	"中"	"扁圆"	"10.0"	"Rosaceae(蔷薇科)"	"1.09"
"142"	"中"	"9.0"	"捷15"	"从捷克引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"微酸"	"145.1"	"JIE 15"	"中"	"较好"	"红条纹"	"5"	"脆硬"	"Malus(苹果属)"	"10.9"	"165"	"短"	"PGB0206"	"中"	"扁圆"	"6.6"	"Rosaceae(蔷薇科)"	"0.78"
"143"	"中上"	"9.0"	"祥玉"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"大"	"9月下旬"	"中晚"	"酸甜"	"180.1"	"XIANG YU"	"中"	"好"	"淡红"	"5"	"脆致密"	"Malus(苹果属)"	"11.4"	"174"	"短"	"PGB0207"	"中"	"扁圆"	"3.1"	"Rosaceae(蔷薇科)"	"0.52"
"144"	"中下"	"--"	"红魁"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"7月下旬"	"早"	"酸"	"110.1"	"HONG KUI"	"少"	"较好"	"红"	"6"	"松软"	"Malus(苹果属)"	"12.7"	"188"	"短"	"PGB0209"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"145"	"中"	"--"	"肉桂海棠"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"甜酸"	"144.2"	"ROU GUI HAI TANG"	"多"	"较好"	"鲜红"	"6"	"松脆"	"Malus(苹果属)"	"10.3"	"199"	"中"	"PGB0210"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"146"	"中"	"--"	"短枝旭"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"很大"	"8月下旬"	"中早"	"酸"	"204.7"	"DUAN ZHI XU"	"多"	"较好"	"淡紫红"	"6"	"松脆"	"Malus(苹果属)"	"10.9"	"203"	"中"	"PGB0211"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"147"	"中"	"--"	"列湟特.加拿大"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"极大"	"9月上旬"	"中"	"酸"	"262.9"	"LIE HUANG TE .JIA NA DA"	"中"	"较差"	"绿黄"	"7"	"松脆"	"Malus(苹果属)"	"15.3"	"190"	"短"	"PGB0215"	"晚"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"148"	"中上"	"--"	"红星"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"很大"	"9月下旬"	"中晚"	"酸甜适度"	"207.4"	"HONG XING"	"多"	"好"	"浓红"	"7"	"脆"	"Malus(苹果属)"	"11.3"	"185"	"短"	"PGB0219"	"晚"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"149"	"中上"	"--"	"孟诺尔"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月上旬"	"中"	"酸甜"	"144.6"	"MENG NUO ER"	"多"	"较好"	"暗红"	"6"	"脆硬"	"Malus(苹果属)"	"14.0"	"187"	"短"	"PGB0221"	"中"	"扁圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"150"	"中"	"--"	"鲁比"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月中旬"	"中"	"酸甜"	"152.5"	"LU BI"	"多"	"较好"	"红"	"6"	"松脆"	"Malus(苹果属)"	"10.5"	"180"	"短"	"PGB0222"	"中"	"扁圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"151"	"中上"	"--"	"陆奥"	"日本"	"三倍体"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"极大"	"10月中旬"	"晚"	"微酸"	"261.3"	"LU AO"	"多"	"较好"	"绿"	"6"	"松脆"	"Malus(苹果属)"	"12.5"	"197"	"中"	"PGB0223"	"中"	"阔圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"152"	"上"	"--"	"富士"	"日本"	"优质,耐贮"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月中旬"	"晚"	"酸甜适度"	"147.8"	"FU SHI"	"多"	"好"	"淡红"	"8"	"松脆"	"Malus(苹果属)"	"12.6"	"210"	"中"	"PGB0224"	"晚"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"153"	"中"	"--"	"克拉普"	"从丹麦引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月下旬"	"中晚"	"甜酸"	"104.1"	"KE LA PU"	"中"	"好"	"红"	"8"	"脆致密"	"Malus(苹果属)"	"11.1"	"190"	"短"	"PGB0227"	"晚"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"154"	"中上"	"--"	"青香蕉"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月中旬"	"晚"	"甜酸"	"123.3"	"QING XIANG JIAO"	"多"	"中"	"淡绿"	"8"	"脆致密"	"Malus(苹果属)"	"13.0"	"199"	"中"	"PGB0228"	"晚"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"155"	"上"	"--"	"长富4号"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"10月上旬"	"晚"	"酸甜适度"	"107.8"	"CHANG FU 4 HAO"	"多"	"较好"	"淡红"	"6"	"松脆"	"Malus(苹果属)"	"15.2"	"195"	"中"	"PGB0230"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"156"	"中上"	"--"	"长富6号"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"10月上旬"	"晚"	"酸甜"	"107.3"	"CHANG FU 6 HAO"	"多"	"较好"	"淡红"	"8"	"脆致密"	"Malus(苹果属)"	"11.6"	"198"	"中"	"PGB0231"	"晚"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"157"	"中上"	"--"	"长富10号"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月上旬"	"晚"	"酸甜"	"145.0"	"CHANG FU 10 HAO"	"多"	"较好"	"暗红"	"--"	"脆致密"	"Malus(苹果属)"	"13.8"	"--"	"--"	"PGB0232"	"--"	"近圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"158"	"上"	"--"	"青富13号"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"10月上旬"	"晚"	"酸甜"	"161.5"	"QING FU 13 HAO"	"多"	"好"	"红"	"5"	"松脆"	"Malus(苹果属)"	"13.1"	"210"	"中"	"PGB0233"	"中"	"近圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"159"	"中上"	"--"	"秋富39号"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月上旬"	"晚"	"酸甜"	"120.5"	"QIU FU 39 HAO"	"多"	"好"	"暗红"	"--"	"松脆"	"Malus(苹果属)"	"12.8"	"--"	"--"	"PGB0234"	"--"	"近圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"160"	"中"	"--"	"富士短枝"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月上旬"	"晚"	"甜酸"	"114.5"	"FU SHI DUAN ZHI"	"中"	"好"	"淡红"	"8"	"松脆"	"Malus(苹果属)"	"12.1"	"195"	"中"	"PGB0235"	"晚"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"161"	"中"	"--"	"初笑"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"7月下旬"	"早"	"微酸"	"138.0"	"CHU XIAO"	"中"	"较好"	"浓红"	"6"	"松脆"	"Malus(苹果属)"	"11.6"	"178"	"短"	"PGB0238"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"162"	"中"	"--"	"花嫁"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"7月下旬"	"早"	"甜酸"	"119.7"	"HUA JIA"	"多"	"较好"	"红"	"6"	"松脆"	"Malus(苹果属)"	"11.1"	"200"	"中"	"PGB0239"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"163"	"中"	"--"	"甜伊萨耶娃"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"小"	"8月上旬"	"早"	"甜酸"	"69.7"	"TIAN YI SA YE WA"	"多"	"较好"	"淡红"	"6"	"松软"	"Malus(苹果属)"	"8.7"	"--"	"--"	"PGB0241"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"164"	"中"	"--"	"捷4"	"从捷克引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"9月中旬"	"中"	"甜酸"	"96.9"	"JIE 4"	"多"	"较好"	"暗红"	"5"	"脆硬"	"Malus(苹果属)"	"12.6"	"173"	"短"	"PGB0244"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"165"	"中下"	"--"	"捷17"	"从捷克引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"8月下旬"	"中早"	"酸"	"167.2"	"JIE 17"	"中"	"较好"	"水红"	"5"	"韧致密"	"Malus(苹果属)"	"9.6"	"165"	"短"	"PGB0247"	"中"	"近圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"166"	"中"	"--"	"深红桔苹"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"微酸"	"126.1"	"SHEN HONG JIE PING"	"多"	"较好"	"暗红"	"5"	"脆"	"Malus(苹果属)"	"11.3"	"176"	"短"	"PGB0250"	"中"	"扁圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"167"	"中上"	"--"	"法4"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"酸甜适度"	"110.9"	"FA 4"	"中"	"较好"	"绿黄"	"8"	"脆致密"	"Malus(苹果属)"	"16.6"	"198"	"中"	"PGB0251"	"晚"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"168"	"中上"	"--"	"金太阳"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"10月上旬"	"中晚"	"甜酸"	"128.8"	"JIN TAI YANG"	"多"	"较好"	"黄绿"	"7"	"松脆"	"Malus(苹果属)"	"10.2"	"204"	"中"	"PGB0252"	"晚"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"169"	"中下"	"--"	"诺桑"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中旬"	"中早"	"酸"	"121.0"	"NUO SANG"	"中"	"较好"	"淡红"	"5"	"松软"	"Malus(苹果属)"	"10.2"	"185"	"短"	"PGB0253"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"170"	"中"	"--"	"诺达"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"8月中旬"	"中早"	"甜酸"	"97.2"	"NUO DA"	"少"	"较好"	"红条纹"	"6"	"沙面"	"Malus(苹果属)"	"9.8"	"185"	"短"	"PGB0254"	"中"	"扁圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"171"	"中上"	"--"	"马空"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"酸甜"	"116.4"	"MA KONG"	"多"	"较好"	"暗红"	"8"	"松脆"	"Malus(苹果属)"	"10.6"	"185"	"短"	"PGB0257"	"晚"	"扁圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"172"	"中"	"--"	"一斗金"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"微酸"	"125.7"	"YI DOU JIN"	"多"	"较好"	"桔红"	"7"	"脆"	"Malus(苹果属)"	"13.0"	"208"	"中"	"PGB0260"	"晚"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"173"	"中上"	"--"	"米尔顿"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月下旬"	"中早"	"甜酸"	"122.5"	"MI ER DUN"	"多"	"较好"	"淡紫红"	"5"	"松脆"	"Malus(苹果属)"	"11.6"	"182"	"短"	"PGB0262"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"174"	"中"	"--"	"大珊瑚"	"美国"	"三倍体"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月中旬"	"中"	"微酸"	"123.9"	"DA SHAN HU"	"多"	"较好"	"暗红"	"6"	"脆硬"	"Malus(苹果属)"	"10.7"	"186"	"短"	"PGB0263"	"中"	"扁圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"175"	"中"	"--"	"黄龙"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"微酸"	"148.6"	"HUANG LONG"	"中"	"好"	"绿黄"	"5"	"脆"	"Malus(苹果属)"	"11.6"	"181"	"短"	"PGB0264"	"中"	"长椭圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"176"	"中"	"--"	"乔雅尔"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"酸"	"145.0"	"QIAO YA ER"	"多"	"较好"	"紫红"	"8"	"软"	"Malus(苹果属)"	"11.0"	"210"	"中"	"PGB0265"	"晚"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"177"	"中"	"--"	"格杰克库奎"	"从阿尔巴尼亚引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"淡甜"	"126.0"	"GE JIE KE KU KUI"	"多"	"好"	"鲜红"	"5"	"松韧"	"Malus(苹果属)"	"13.0"	"199"	"中"	"PGB0272"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"178"	"中"	"--"	"日之丸"	"日本"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"甜酸"	"118.0"	"RI ZHI WAN"	"中"	"较好"	"水红"	"6"	"疏松脆"	"Malus(苹果属)"	"11.7"	"215"	"中"	"PGB0274"	"中"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"179"	"中"	"--"	"布兰斯太德"	"丹麦"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"极大"	"9月上旬"	"中"	"甜酸"	"250.0"	"BU LAN SI TAI DE"	"多"	"差"	"黄褐"	"5"	"疏松"	"Malus(苹果属)"	"15.2"	"201"	"中"	"PGB0275"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"180"	"中"	"--"	"波7"	"从波兰引入"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月中旬"	"中"	"甜酸"	"135.5"	"BO 7"	"多"	"较好"	"淡红"	"6"	"致密"	"Malus(苹果属)"	"11.9"	"203"	"中"	"PGB0276"	"中"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"181"	"中"	"--"	"阿堪"	"美国"	"三倍体"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较小"	"8月下旬"	"中早"	"甜酸"	"107.5"	"A KAN"	"中"	"好"	"紫红"	"6"	"致密韧"	"Malus(苹果属)"	"10.3"	"183"	"短"	"PGB0280"	"中"	"阔圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"182"	"中"	"--"	"南浦3号"	"朝鲜"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月下旬"	"中早"	"甜"	"134.2"	"NAN PU 3 HAO"	"多"	"较好"	"暗红"	"8"	"致密韧"	"Malus(苹果属)"	"10.4"	"187"	"短"	"PGB0281"	"晚"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"183"	"中"	"--"	"秋力蒙"	"苏联"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月下旬"	"中早"	"酸甜"	"116.9"	"QIU LI MENG"	"多"	"较好"	"水红"	"8"	"松脆"	"Malus(苹果属)"	"10.7"	"191"	"短"	"PGB0282"	"晚"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"184"	"下"	"--"	"布兰里"	"英国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"酸"	"125.8"	"BU LAN LI"	"多"	"较好"	"淡红"	"5"	"致密韧"	"Malus(苹果属)"	"11.5"	"192"	"短"	"PGB0284"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"185"	"中"	"--"	"玉霰"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"甜酸"	"133.0"	"YU XIAN"	"多"	"较好"	"绿"	"5"	"致密韧"	"Malus(苹果属)"	"10.7"	"245"	"长"	"PGB0285"	"中"	"圆柱"	"--"	"Rosaceae(蔷薇科)"	"--"
"186"	"中上"	"--"	"拉方"	"加拿大"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"酸甜"	"131.3"	"LA FANG"	"多"	"好"	"紫红"	"6"	"松脆"	"Malus(苹果属)"	"12.4"	"206"	"中"	"PGB0286"	"中"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"187"	"中下"	"--"	"昆麻斯"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"小"	"9月上旬"	"中"	"酸"	"93.3"	"KUN MA SI"	"少"	"好"	"红"	"7"	"硬"	"Malus(苹果属)"	"12.0"	"202"	"中"	"PGB0287"	"晚"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"188"	"下"	"--"	"法1"	"法国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月上旬"	"中"	"酸"	"110.5"	"FA 1"	"多"	"较好"	"淡红"	"--"	"疏松"	"Malus(苹果属)"	"11.5"	"224"	"长"	"PGB0288"	"--"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"189"	"中上"	"--"	"斯模士"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"酸甜"	"141.8"	"SI MO SHI"	"多"	"较差"	"黄绿"	"--"	"致密"	"Malus(苹果属)"	"13.4"	"--"	"--"	"PGB0289"	"--"	"阔圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"190"	"下"	"--"	"查登"	"法国"	"三倍体"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"较大"	"9月下旬"	"中晚"	"酸"	"155.8"	"CHA DENG"	"多"	"较差"	"淡绿"	"--"	"松脆"	"Malus(苹果属)"	"12.9"	"191"	"短"	"PGB0293"	"--"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"191"	"中上"	"--"	"元帅"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下旬"	"中晚"	"淡甜"	"131.8"	"YUAN SHUAI"	"多"	"好"	"浓红"	"7"	"松脆"	"Malus(苹果属)"	"12.8"	"191"	"短"	"PGB0294"	"晚"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
"192"	"中上"	"10.5"	"紫云"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"很小"	"7月下旬"	"早"	"酸甜"	"45.6"	"ZI YUN"	"多"	"差"	"水红"	"5"	"松脆"	"Malus(苹果属)"	"11.0"	"172"	"短"	"PGA0325"	"中"	"圆锥"	"1.9"	"Rosaceae(蔷薇科)"	"0.54"
"193"	"中上"	"--"	"可口香"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下"	"中晚"	"甜酸"	"145.0"	"KE KOU XIANG"	"中"	"中"	"鲜红晕"	"6"	"硬脆"	"Malus(苹果属)"	"11.8"	"216"	"长"	"PGB0374"	"中"	"扁圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"194"	"中"	"--"	"冬甜"	"乌克兰"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"8月中"	"中早"	"甜酸"	"145.0"	"DONG TIAN"	"多"	"好"	"红条纹"	"4"	"脆"	"Malus(苹果属)"	"11.0"	"203"	"中"	"PGB0383"	"早"	"圆"	"--"	"Rosaceae(蔷薇科)"	"--"
"195"	"中"	"--"	"哈地,勃莱特"	"美国"	"--"	"国外"	"Malus pumila Mill.(苹果)"	"--"	"中"	"9月下"	"中晚"	"淡甜"	"117.5"	"HA DI ,BO LAI TE"	"多"	"极好"	"暗红晕"	"5"	"松脆"	"Malus(苹果属)"	"10.8"	"199"	"中"	"PGB0384"	"中"	"圆锥"	"--"	"Rosaceae(蔷薇科)"	"--"
