"id"	"胚轴色"	"科名"	"库编号"	"原产地"	"柱头色"	"花盘直径"	"子实含油率"	"粗蛋白含量"	"类型"	"花盘倾斜度"	"粒色"	"舌状花色"	"皮壳率"	"译名"	"备注"	"省"	"品种名称"	"幼茎色"	"生育日期"	"单株子实重"	"百粒重"	"学名"	"统一编号"	"保存单位"	"分枝株率"	"属名"	"粒形"	"花盘形状"	"株高"	"叶片数"	"编号"
"142"	"绿"	"Compositae(菊科)"	"I4F00098"	"加拿大 自选"	"黄"	"23.60"	"--"	"--"	"食用"	"4"	"黑白边"	"橙黄"	"43.10"	"Gk-70-2s"	"--"	"国外"	"Gk-70-2s"	"--"	"129"	"136.20"	"13.70"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0740"	"内蒙农科院作物所"	"--"	"Helianthus(向日葵属)"	"长卵圆"	"平"	"197"	"36"	"蒙-125"
"143"	"绿"	"Compositae(菊科)"	"I4F00099"	"加拿大 自选"	"黄"	"25.20"	"--"	"--"	"食用"	"4"	"黑白条"	"橙黄"	"44.60"	"Gk-70-3s"	"--"	"国外"	"Gk-70-3s"	"--"	"129"	"123.00"	"10.80"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0741"	"内蒙农科院作物所"	"--"	"Helianthus(向日葵属)"	"长卵圆"	"平"	"183"	"35"	"蒙-126"
"144"	"紫"	"Compositae(菊科)"	"I4F00138"	"内蒙农科院选育"	"黄"	"24.00"	"--"	"--"	"油用"	"3"	"黑"	"黄"	"21.80"	"NEI KUI ZA YI HAO"	"原组合号75－33A,"	"内蒙古"	"内葵杂一号"	"--"	"106"	"65.00"	"6.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0804"	"内蒙农科院作物所"	"--"	"Helianthus(向日葵属)"	"卵圆"	"平"	"192"	"31"	"蒙-189"
"145"	"紫黑"	"Compositae(菊科)"	"I4F00139"	"内蒙农科院选育"	"紫"	"24.20"	"--"	"--"	"油用"	"4"	"紫"	"黄"	"34.30"	"76-64A× NEI 5"	"--"	"内蒙古"	"76-64A×内5"	"--"	"112"	"77.00"	"8.40"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0805"	"内蒙农科院作物所"	"--"	"Helianthus(向日葵属)"	"卵圆"	"平"	"195"	"32"	"蒙-190"
"146"	"紫黑"	"Compositae(菊科)"	"I4F00140"	"内蒙农科院选育"	"紫"	"24.00"	"--"	"--"	"兼用"	"4"	"紫"	"黄"	"30.90"	"76-64A×68-13"	"--"	"内蒙古"	"76-64A×68-13"	"--"	"108"	"78.50"	"7.10"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0806"	"内蒙农科院作物所"	"--"	"Helianthus(向日葵属)"	"短圆锥"	"平"	"205"	"30"	"蒙-191"
"147"	"紫"	"Compositae(菊科)"	"I4F00141"	"内蒙农科院选育"	"黄"	"12.20"	"--"	"--"	"油用"	"2"	"黑"	"黄"	"22.30"	"hT80-97"	"--"	"内蒙古"	"hT80-97"	"--"	"109"	"8.50"	"4.30"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0807"	"内蒙农科院作物所"	"100.0"	"Helianthus(向日葵属)"	"短圆锥"	"平"	"133"	"29"	"蒙-192"
"148"	"紫"	"Compositae(菊科)"	"I4F00142"	"内蒙农科院选育"	"黄"	"13.00"	"--"	"--"	"食用"	"4"	"黑灰条"	"黄"	"43.80"	"68-13-1"	"--"	"内蒙古"	"68-13-1"	"--"	"119"	"122.90"	"13.80"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0808"	"内蒙农科院作物所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"平"	"152"	"27"	"蒙-193"
"149"	"紫"	"Compositae(菊科)"	"I4F00143"	"内蒙农科院选育"	"黄"	"15.20"	"--"	"--"	"食用"	"4"	"黑"	"橙黄"	"37.00"	"68-13-2"	"--"	"内蒙古"	"68-13-2"	"--"	"126"	"78.30"	"9.50"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0809"	"内蒙农科院作物所"	"--"	"Helianthus(向日葵属)"	"长圆锥"	"平"	"161"	"26"	"蒙-194"
"150"	"紫"	"Compositae(菊科)"	"I4F00144"	"内蒙农科院选育"	"黄"	"20.80"	"--"	"--"	"油用"	"4"	"黑"	"黄"	"32.10"	"BT-16-2-2"	"--"	"内蒙古"	"BT-16-2-2"	"--"	"109"	"43.00"	"9.40"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0810"	"内蒙农科院作物所"	"--"	"Helianthus(向日葵属)"	"长卵圆"	"平"	"116"	"29"	"蒙-195"
"151"	"紫"	"Compositae(菊科)"	"I4F01615"	"山西太原市"	"黄"	"23.80"	"22.20"	"--"	"食用"	"5"	"白黑"	"橙黄"	"50.00"	"TAI YUAN DA KUI HUA"	"--"	"山西"	"太原大葵花"	"--"	"119"	"95.10"	"11.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0811"	"山西经作所"	"82.0"	"Helianthus(向日葵属)"	"圆锥"	"平"	"284"	"38"	"0001"
"152"	"淡紫"	"Compositae(菊科)"	"I4F01315"	"山西阳曲县"	"黄"	"22.20"	"17.50"	"--"	"食用"	"5"	"白黑条"	"黄"	"46.50"	"YANG QU SAN DAO MEI"	"--"	"山西"	"阳曲三道眉"	"--"	"120"	"130.60"	"12.80"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0812"	"山西经作所"	"73.0"	"Helianthus(向日葵属)"	"圆锥"	"凸"	"266"	"40"	"0002"
"153"	"淡紫"	"Compositae(菊科)"	"I4F01157"	"山西阳曲县"	"黄"	"19.00"	"21.50"	"--"	"食用"	"5"	"白"	"黄"	"48.60"	"YANG QU BAI KUI HUA"	"--"	"山西"	"阳曲白葵花"	"--"	"120"	"97.60"	"14.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0813"	"山西经作所"	"5.0"	"Helianthus(向日葵属)"	"长卵圆"	"凸"	"293"	"36"	"0003"
"154"	"淡紫"	"Compositae(菊科)"	"I4F01160"	"山西广灵县"	"黄"	"17.20"	"22.30"	"--"	"食用"	"5"	"白黑"	"橙黄"	"43.90"	"JIA DOU 1 HAO"	"--"	"山西"	"加斗1号"	"--"	"119"	"172.10"	"12.50"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0822"	"山西经作所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"凹"	"265"	"37"	"0012"
"155"	"绿"	"Compositae(菊科)"	"I4F01330"	"山西广灵县"	"黄"	"17.60"	"28.20"	"--"	"食用"	"3"	"白黑条"	"黄"	"40.60"	"JIA DOU 2 HAO"	"--"	"山西"	"加斗2号"	"--"	"116"	"97.30"	"11.10"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0823"	"山西经作所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"凸"	"261"	"40"	"0013"
"156"	"淡紫"	"Compositae(菊科)"	"I4F01184"	"山西广灵县"	"黄"	"16.50"	"25.50"	"--"	"食用"	"3"	"白黑条"	"黄"	"46.20"	"JIA DOU 3 HAO"	"--"	"山西"	"加斗3号"	"--"	"115"	"110.90"	"12.10"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0890"	"山西经作所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"凸"	"199"	"38"	"0080"
"157"	"绿"	"Compositae(菊科)"	"I4F01256"	"罗甸"	"--"	"16.00"	"47.50"	"--"	"食用"	"4"	"黑花"	"黄"	"47.10"	"LUO DIAN HEI KUI"	"--"	"贵州"	"罗甸黑葵"	"--"	"145"	"68.00"	"9.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0946"	"黔西南州农业科学研究所"	"--"	"Helianthus(向日葵属)"	"短圆锥"	"平"	"233"	"53"	"1-26"
"158"	"绿"	"Compositae(菊科)"	"I4F01257"	"水城"	"--"	"27.00"	"50.50"	"--"	"食用"	"4"	"白花"	"黄"	"54.20"	"SHUI CHENG BAI HUA"	"--"	"贵州"	"水城白花"	"--"	"140"	"130.00"	"10.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0947"	"黔西南州农业科学研究所"	"--"	"Helianthus(向日葵属)"	"长圆锥"	"凸"	"270"	"41"	"1-27"
"159"	"绿"	"Compositae(菊科)"	"I4F01258"	"水城"	"--"	"31.00"	"56.40"	"--"	"食用"	"4"	"黑花"	"黄"	"60.00"	"SHUI CHENG HEI HUA KUI"	"--"	"贵州"	"水城黑花葵"	"--"	"140"	"140.00"	"10.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0948"	"黔西南州农业科学研究所"	"--"	"Helianthus(向日葵属)"	"短圆锥"	"凸"	"260"	"42"	"1-28"
"160"	"绿"	"Compositae(菊科)"	"I4F01259"	"盘县广常"	"--"	"25.00"	"41.90"	"--"	"食用"	"4"	"黑花"	"黄"	"57.10"	"PAN XIAN HEI HUA KUI"	"--"	"贵州"	"盘县黑花葵"	"--"	"130"	"90.00"	"13.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK0949"	"黔西南州农业科学研究所"	"--"	"Helianthus(向日葵属)"	"长卵圆"	"凸"	"260"	"50"	"1-29"
"161"	"--"	"Compositae(菊科)"	"--"	"吉林省向日葵所"	"黄"	"22.90"	"18.60"	"--"	"食用"	"5"	"黑白条"	"橙黄"	"43.60"	"JI KUI 86"	"--"	"吉林"	"吉葵86"	"淡紫"	"114"	"33.40"	"6.70"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1281"	"吉林省向日葵所"	"--"	"Helianthus(向日葵属)"	"短锥"	"凹"	"179"	"23"	"0688"
"162"	"--"	"Compositae(菊科)"	"I4F01507"	"吉林省向日葵所"	"黄"	"17.80"	"24.08"	"--"	"食用"	"4"	"黑褐边"	"橙黄"	"40.00"	"JI KUI 87"	"--"	"吉林"	"吉葵87"	"淡紫"	"122"	"35.20"	"6.60"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1282"	"吉林省向日葵所"	"--"	"Helianthus(向日葵属)"	"长锥"	"平"	"200"	"32"	"0689"
"163"	"--"	"Compositae(菊科)"	"I4F01508"	"吉林省向日葵所"	"黄"	"19.20"	"25.86"	"--"	"食用"	"4"	"黑灰边"	"黄"	"45.10"	"JI KUI 88"	"--"	"吉林"	"吉葵88"	"淡紫"	"114"	"22.80"	"7.70"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1283"	"吉林省向日葵所"	"--"	"Helianthus(向日葵属)"	"长锥"	"平"	"200"	"34"	"0690"
"164"	"--"	"Compositae(菊科)"	"I4F01509"	"吉林省向日葵所"	"黄"	"25.00"	"19.39"	"--"	"食用"	"4"	"黑白条"	"黄"	"41.60"	"JI KUI 89"	"--"	"吉林"	"吉葵89"	"绿"	"114"	"32.60"	"8.70"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1284"	"吉林省向日葵所"	"--"	"Helianthus(向日葵属)"	"长锥"	"平"	"207"	"36"	"0691"
"165"	"--"	"Compositae(菊科)"	"--"	"吉林省向日葵所"	"黄"	"22.00"	"28.29"	"--"	"食用"	"4"	"黑白条"	"黄"	"40.80"	"JI KUI 90"	"--"	"吉林"	"吉葵90"	"淡紫"	"122"	"81.80"	"12.50"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1285"	"吉林省向日葵所"	"--"	"Helianthus(向日葵属)"	"长锥"	"平"	"217"	"35"	"0692"
"166"	"--"	"Compositae(菊科)"	"I4F01510"	"吉林省向日葵所"	"黄"	"18.70"	"25.80"	"--"	"食用"	"4"	"黑白条"	"橙黄"	"41.20"	"JI KUI 91"	"--"	"吉林"	"吉葵91"	"紫"	"114"	"54.80"	"9.10"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1286"	"吉林省向日葵所"	"--"	"Helianthus(向日葵属)"	"短锥"	"平"	"189"	"32"	"0693"
"167"	"--"	"Compositae(菊科)"	"--"	"吉林省向日葵所"	"黄"	"22.60"	"25.80"	"--"	"食用"	"4"	"黑白条"	"橙黄"	"45.60"	"JI KUI 92"	"--"	"吉林"	"吉葵92"	"紫"	"114"	"36.00"	"7.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1287"	"吉林省向日葵所"	"--"	"Helianthus(向日葵属)"	"短锥"	"凹"	"166"	"24"	"0694"
"168"	"--"	"Compositae(菊科)"	"I4F01511"	"吉林省向日葵所"	"黄"	"15.30"	"21.21"	"--"	"食用"	"3"	"白"	"橙黄"	"50.00"	"JI KUI 93"	"--"	"吉林"	"吉葵93"	"紫"	"114"	"28.30"	"7.30"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1288"	"吉林省向日葵所"	"--"	"Helianthus(向日葵属)"	"长锥"	"凹"	"147"	"26"	"0695"
"169"	"--"	"Compositae(菊科)"	"I4F01512"	"吉林省向日葵所"	"黄"	"22.40"	"21.43"	"--"	"食用"	"4"	"黑灰边"	"橙黄"	"47.90"	"JI KUI 94"	"--"	"吉林"	"吉葵94"	"紫"	"116"	"74.00"	"9.70"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1289"	"吉林省向日葵所"	"--"	"Helianthus(向日葵属)"	"长锥"	"平"	"174"	"39"	"0696"
"170"	"--"	"Compositae(菊科)"	"I4F02078"	"太源市晋源镇"	"黄"	"17.60"	"29.73"	"--"	"食用"	"4"	"白黑条"	"黄"	"46.50"	"NAN JIAO 1 HAO"	"--"	"山西"	"南郊1号"	"紫"	"115"	"99.00"	"11.40"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1485"	"山西省经作所"	"--"	"Helianthus(向日葵属)"	"圆锥"	"平"	"240"	"42"	"0129"
"171"	"--"	"Compositae(菊科)"	"I4F01567"	"太原市南郊"	"黄"	"20.30"	"28.88"	"--"	"食用"	"2"	"白黑条"	"黄"	"41.20"	"JIN ZHONG 2 HAO"	"--"	"山西"	"晋中2号"	"淡紫"	"117"	"105.00"	"10.90"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1488"	"山西省经作所"	"8.0"	"Helianthus(向日葵属)"	"卵圆"	"平"	"248"	"39"	"0132"
"172"	"--"	"Compositae(菊科)"	"I4F01568"	"阳曲县西广乡"	"黄"	"19.40"	"27.35"	"--"	"食用"	"2"	"白黑条"	"黄"	"41.80"	"YANG QU YI HAO"	"--"	"山西"	"阳曲一号"	"淡紫"	"115"	"72.00"	"9.80"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1489"	"山西省经作所"	"22.0"	"Helianthus(向日葵属)"	"长卵圆"	"平"	"205"	"28"	"0133"
"173"	"--"	"Compositae(菊科)"	"--"	"湖北省神农架"	"黄"	"12.50"	"20.96"	"--"	"食用"	"3"	"白灰"	"黄"	"55.00"	"HONG CHI BA KUI -10"	"--"	"湖北"	"红池坝葵-10"	"红"	"110"	"24.00"	"7.20"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1593"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中楔"	"平"	"184"	"31"	"056"
"174"	"--"	"Compositae(菊科)"	"I4F01655"	"湖北省神农架"	"黄"	"12.40"	"19.14"	"--"	"食用"	"4"	"黑白"	"黄"	"57.00"	"HONG CHI BA KUI -11"	"--"	"湖北"	"红池坝葵-11"	"紫红"	"105"	"26.00"	"18.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1594"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中楔"	"平"	"177"	"26"	"057"
"175"	"--"	"Compositae(菊科)"	"I4F02172"	"湖北省神农架"	"黄"	"11.40"	"22.20"	"--"	"食用"	"3"	"灰黑"	"黄"	"56.00"	"HONG CHI BA KUI -12"	"--"	"湖北"	"红池坝葵-12"	"绿"	"105"	"30.50"	"9.10"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1595"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中楔"	"平"	"171"	"25"	"058"
"176"	"--"	"Compositae(菊科)"	"I4F01786"	"湖北省神农架"	"黄"	"10.90"	"22.34"	"--"	"食用"	"2"	"白灰"	"黄"	"57.00"	"HONG CHI BA KUI -13"	"--"	"湖北"	"红池坝葵-13"	"紫红"	"104"	"27.50"	"7.40"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1596"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中楔"	"平"	"171"	"24"	"059"
"177"	"--"	"Compositae(菊科)"	"I4F01656"	"湖北省神农架"	"黄"	"14.80"	"26.43"	"--"	"食用"	"3"	"灰白"	"黄"	"49.50"	"DUAN ZI KUI HUA"	"--"	"湖北"	"短子葵花"	"紫红"	"169"	"48.50"	"8.90"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1597"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"短楔"	"平"	"162"	"60"	"060"
"178"	"--"	"Compositae(菊科)"	"I4F01657"	"湖北省神农架"	"黄"	"12.80"	"21.64"	"--"	"食用"	"4"	"黑白"	"黄"	"48.80"	"HEI XIANG RI KUI"	"--"	"湖北"	"黑向日葵"	"绿红"	"104"	"61.00"	"5.50"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1598"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中楔"	"平"	"194"	"32"	"061"
"179"	"--"	"Compositae(菊科)"	"I4F01658"	"湖北省神农架"	"黄"	"13.60"	"29.64"	"--"	"食用"	"3"	"黑白"	"黄"	"49.00"	"AI ZI XIANG RI KUI"	"--"	"湖北"	"矮子向日葵"	"紫红"	"116"	"37.50"	"4.90"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1599"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中楔"	"平"	"194"	"36"	"062"
"180"	"--"	"Compositae(菊科)"	"I4F01659"	"湖北省神农架"	"黄"	"14.20"	"25.29"	"--"	"食用"	"2"	"灰白"	"黄"	"48.00"	"ZHU XIAN SAN KE CUN"	"--"	"湖北"	"竹贤三颗寸"	"绿"	"104"	"51.00"	"8.10"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1600"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"长锥"	"凹"	"196"	"36"	"063"
"181"	"--"	"Compositae(菊科)"	"--"	"湖北省神农架"	"黄"	"14.30"	"24.73"	"--"	"食用"	"3"	"白灰"	"黄"	"54.00"	"BAI GUO XIANG RI KUI"	"--"	"湖北"	"白果向日葵"	"紫红"	"121"	"65.70"	"7.50"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1601"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"短楔"	"凸"	"187"	"35"	"064"
"182"	"--"	"Compositae(菊科)"	"I4F01660"	"湖北省神农架"	"黄"	"13.90"	"26.10"	"--"	"食用"	"4"	"灰白"	"黄"	"54.50"	"JIAN PING XIANG RI KUI"	"--"	"湖北"	"建坪向日葵"	"绿"	"121"	"32.00"	"7.90"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1602"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中楔"	"平"	"191"	"39"	"065"
"183"	"--"	"Compositae(菊科)"	"--"	"四川宜汉县"	"黄"	"26.20"	"43.50"	"--"	"食用"	"5"	"白黑"	"黄"	"58.50"	"YI HAN GAO GAN KUI"	"--"	"四川"	"宜汉高杆葵"	"绿"	"100"	"66.00"	"12.80"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1682"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中锥"	"凸"	"246"	"20"	"145"
"184"	"--"	"Compositae(菊科)"	"--"	"四川广元县"	"黄"	"23.00"	"40.74"	"--"	"食用"	"5"	"黑白"	"黄"	"51.50"	"GUANG YUAN XIANG RI KUI -1"	"--"	"四川"	"广元向日葵-1"	"淡紫"	"102"	"102.00"	"9.50"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1683"	"中国农科院油料所"	"10.0"	"Helianthus(向日葵属)"	"长锥"	"平"	"255"	"40"	"146"
"185"	"--"	"Compositae(菊科)"	"--"	"四川广元县"	"黄"	"20.60"	"41.04"	"--"	"食用"	"5"	"棕白"	"黄"	"50.00"	"GUANG YUAN XIANG RI KUI -2"	"--"	"四川"	"广元向日葵-2"	"绿"	"96"	"27.00"	"11.60"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1684"	"中国农科院油料所"	"10.0"	"Helianthus(向日葵属)"	"长锥"	"凸"	"223"	"41"	"147"
"186"	"--"	"Compositae(菊科)"	"--"	"四川旺苍县"	"黄"	"21.60"	"42.88"	"--"	"食用"	"5"	"灰白"	"黄"	"53.10"	"XIAO XIANG RI KUI -1"	"--"	"四川"	"小向日葵-1"	"绿"	"99"	"35.00"	"7.90"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1685"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中卵"	"凸"	"247"	"40"	"148"
"187"	"--"	"Compositae(菊科)"	"I4F02184"	"四川旺苍县"	"黄"	"22.00"	"41.27"	"--"	"食用"	"5"	"棕白"	"黄"	"53.40"	"WANG CANG XIAO XIANG RI KUI -2"	"--"	"四川"	"旺苍小向日葵-2"	"绿"	"87"	"61.00"	"8.80"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1686"	"中国农科院油料所"	"10.0"	"Helianthus(向日葵属)"	"长锥"	"凸"	"251"	"47"	"149"
"188"	"--"	"Compositae(菊科)"	"--"	"四川旺苍县"	"黄"	"22.60"	"41.13"	"--"	"食用"	"5"	"灰白"	"黄"	"52.10"	"PANG XIANG RI KUI"	"--"	"四川"	"胖向日葵"	"绿"	"105"	"63.00"	"11.50"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1687"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中锥"	"凸"	"252"	"48"	"150"
"189"	"--"	"Compositae(菊科)"	"--"	"四川旺苍县"	"黄"	"21.20"	"45.50"	"--"	"食用"	"2"	"黑白"	"黄"	"51.60"	"WANG CANG XIANG RI KUI"	"--"	"四川"	"旺苍向日葵"	"绿"	"99"	"75.00"	"12.20"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1688"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中锥"	"凸"	"253"	"48"	"151"
"190"	"--"	"Compositae(菊科)"	"I4F02185"	"四川旺苍县"	"黄"	"21.20"	"41.04"	"--"	"食用"	"2"	"灰白"	"黄"	"51.80"	"KUI HUA ER"	"--"	"四川"	"葵花儿"	"绿"	"93"	"91.00"	"10.60"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1689"	"中国农科院油料所"	"--"	"Helianthus(向日葵属)"	"中锥"	"凸"	"205"	"42"	"152"
"191"	"--"	"Compositae(菊科)"	"--"	"四川旺苍县"	"黄"	"22.60"	"41.14"	"--"	"食用"	"2"	"棕灰"	"黄"	"53.30"	"WANG CANG KUI HUA"	"--"	"四川"	"旺苍葵花"	"绿"	"102"	"52.00"	"10.30"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1690"	"中国农科院油料所"	"10.0"	"Helianthus(向日葵属)"	"中锥"	"凸"	"223"	"36"	"153"
"192"	"--"	"Compositae(菊科)"	"I4F02186"	"四川南江县"	"黄"	"24.80"	"39.94"	"--"	"食用"	"5"	"棕白"	"黄"	"54.20"	"NAN JIANG XIANG RI KUI -1"	"--"	"四川"	"南江向日葵-1"	"绿"	"116"	"57.00"	"10.70"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1691"	"中国农科院油料所"	"10.0"	"Helianthus(向日葵属)"	"中楔"	"平"	"250"	"48"	"154"
"193"	"--"	"Compositae(菊科)"	"I4F01922"	"五原十六团"	"黄"	"22.10"	"28.43"	"--"	"食用"	"5"	"黑白纹"	"黄"	"41.10"	"BA KUI -29"	"--"	"内蒙古"	"巴葵-29"	"淡紫"	"113"	"193.80"	"18.10"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1739"	"巴盟农研所"	"4.7"	"Helianthus(向日葵属)"	"中宽锥"	"凹"	"238"	"35"	"22"
"194"	"--"	"Compositae(菊科)"	"I4F01923"	"前旅新安"	"紫"	"21.40"	"30.81"	"--"	"食用"	"5"	"黑白纹"	"黄"	"38.80"	"BA KUI -30"	"--"	"内蒙古"	"巴葵-30"	"淡紫"	"113"	"171.30"	"13.60"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1740"	"巴盟农研所"	"7.1"	"Helianthus(向日葵属)"	"短宽锥"	"平"	"252"	"37"	"23"
"195"	"--"	"Compositae(菊科)"	"I4F01924"	"临河丹达"	"淡黄"	"18.20"	"26.42"	"--"	"食用"	"4"	"黑花"	"橙黄"	"48.50"	"BA KUI -31"	"--"	"内蒙古"	"巴葵-31"	"淡紫"	"109"	"128.50"	"13.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1741"	"巴盟农研所"	"18.1"	"Helianthus(向日葵属)"	"中锥"	"平"	"246"	"32"	"24"
"196"	"--"	"Compositae(菊科)"	"I4F01925"	"五原什巴"	"黄"	"20.90"	"26.39"	"--"	"食用"	"4"	"白花"	"橙黄"	"44.80"	"BA KUI -33"	"--"	"内蒙古"	"巴葵-33"	"绿"	"108"	"160.90"	"12.50"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1742"	"巴盟农研所"	"16.1"	"Helianthus(向日葵属)"	"中楔"	"平"	"233"	"35"	"25"
"197"	"--"	"Compositae(菊科)"	"I4F01926"	"巴盟农科所"	"淡黄"	"21.50"	"28.96"	"--"	"食用"	"5"	"黑花"	"黄"	"41.30"	"BA KUI -34"	"--"	"内蒙古"	"巴葵-34"	"淡紫"	"113"	"179.10"	"15.30"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1743"	"巴盟农研所"	"14.0"	"Helianthus(向日葵属)"	"中楔"	"平"	"274"	"33"	"26"
"198"	"--"	"Compositae(菊科)"	"--"	"巴盟农科所"	"--"	"19.70"	"27.19"	"--"	"食用"	"3"	"黑灰边"	"黄"	"47.00"	"BA KUI -35"	"--"	"内蒙古"	"巴葵-35"	"淡紫"	"111"	"149.40"	"17.20"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1744"	"巴盟农研所"	"9.5"	"Helianthus(向日葵属)"	"中锥"	"凹"	"243"	"32"	"27"
"199"	"--"	"Compositae(菊科)"	"I4F01927"	"巴盟农科所"	"黄"	"22.70"	"26.84"	"--"	"食用"	"4"	"黑灰"	"黄"	"41.00"	"BA KUI -36"	"--"	"内蒙古"	"巴葵-36"	"淡紫"	"104"	"182.00"	"15.40"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1745"	"巴盟农研所"	"3.8"	"Helianthus(向日葵属)"	"中卵"	"凸"	"240"	"34"	"28"
"200"	"--"	"Compositae(菊科)"	"I4F01928"	"杭后四支"	"紫"	"19.20"	"32.37"	"--"	"食用"	"4"	"黑棕纹"	"黄"	"34.40"	"BA KUI -37"	"--"	"内蒙古"	"巴葵-37"	"淡紫"	"108"	"158.50"	"11.40"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1746"	"巴盟农研所"	"7.1"	"Helianthus(向日葵属)"	"短锥"	"平"	"238"	"35"	"29"
"201"	"--"	"Compositae(菊科)"	"I4F01929"	"杭后四支"	"黄"	"21.90"	"19.51"	"--"	"食用"	"4"	"黑白纹"	"橙黄"	"47.30"	"BA KUI -39"	"--"	"内蒙古"	"巴葵-39"	"淡紫"	"107"	"161.60"	"17.00"	"Helianthus annuus L.(栽培向日葵)"	"ZXRK1747"	"巴盟农研所"	"7.1"	"Helianthus(向日葵属)"	"中卵"	"平"	"248"	"37"	"30"
