"id"	"科名"	"保存编号"	"品种名称"	"鲜粗淀粉"	"所属群别"	"脉基色"	"叶脉色"	"耐盐性"	"耐贮性"	"分枝多少"	"类型"	"保存单位"	"省"	"来源"	"幼苗生长势"	"鲜粗蛋白"	"原名"	"属名"	"统一编号"	"叶片大小"	"干粗蛋白"	"学名"	"茎色"	"最长蔓长短"	"茎粗"	"干可溶性糖"	"株型"	"薯皮色"	"薯形"	"原产地"	"产量"	"叶色"	"最长蔓长"	"柄基色"	"顶叶形"	"顶叶色"	"备注"	"薯瘟抗性1"	"叶形"	"根腐病指"	"茎线虫病"	"薯肉色"	"耐旱性"	"茎粗大小"	"干粗淀粉"	"鲜可溶性糖"	"根腐病抗性"	"萌芽性"	"茎端茸毛"	"叶片长"	"烘干率"	"叶片宽"	"基部分枝"	"薯瘟抗性2"	"原系号"	"黑斑病"	"异亮氨酸"	"所属"	"糖化力"	"叶锈反应型"	"直链淀粉"	"丙氨酸"	"穗密度"	"耐涝性"	"单位编号"	"蛋白质"	"北纬"	"白背飞虱"	"单株产量"	"条纹病抗性"	"籼粳"	"百粒重"	"分蘖力"	"赤霉病病穗"	"苗瘟"	"分枝数"	"条纹病病率"	"芒"	"苗期耐旱"	"脯氨酸"	"抗旱级别"	"田间抗寒性"	"精米率"	"天冬氨酸"	"水敏称度"	"秆锈反应型"	"长宽比"	"缬氨酸"	"高程"	"种子来源"	"耐涝级别"	"沉淀值"	"早中晚"	"生长习性"	"赤霉病抗性"	"保存单位_2"	"荚色"	"棱型"	"东经"	"花色"	"黄花发病率"	"冬春性"	"颖尖弯直'"	"库编号"	"全粉浸出物"	"颖尖弯直"	"酪氨酸"	"壳色"	"芒长"	"荚长"	"粗蛋白"	"根腐穗病级"	"糙米率"
"38"	"Convolvulaceae(旋花科)"	"豫A005"	"新乡白皮"	"--"	"C"	"绿"	"绿"	"--"	"--"	"特多"	"地方"	"河南省农科院粮作所"	"河南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000123"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带紫"	"中"	"中"	"--"	"匍匐"	"淡黄"	"纺锤"	"河南新乡"	"高"	"绿"	"186"	"绿"	"浅单缺"	"绿"	"感根腐病"	"--"	"浅单缺"	"--"	"--"	"淡黄"	"--"	"0.55"	"--"	"--"	"--"	"差"	"少"	"10.3"	"20.6"	"11.1"	"23"	"--"	"--"	"--"																																																									
"39"	"Convolvulaceae(旋花科)"	"豫A006"	"南阳本地种"	"--"	"--"	"紫"	"绿带紫"	"--"	"--"	"多"	"地方"	"河南省农科院粮作所"	"河南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000124"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"中"	"粗"	"--"	"匍匐"	"紫红"	"长纺"	"河南南阳"	"低"	"绿"	"242"	"绿"	"心形"	"紫"	"高抗黑斑病和根腐病"	"--"	"心形"	"--"	"--"	"淡黄"	"--"	"0.62"	"--"	"--"	"--"	"中"	"无"	"10.5"	"24.4"	"11.3"	"12"	"--"	"--"	"--"																																																									
"40"	"Convolvulaceae(旋花科)"	"豫A007"	"四道沟"	"--"	"--"	"绿"	"绿"	"--"	"--"	"特多"	"地方"	"河南省农科院粮作所"	"河南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000125"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"中"	"粗"	"--"	"匍匐"	"淡黄"	"短纺"	"河南睢县"	"低"	"绿"	"159"	"绿"	"心形"	"绿"	"中抗根腐病"	"--"	"心形"	"--"	"--"	"淡黄"	"--"	"0.65"	"--"	"--"	"--"	"差"	"少"	"10.0"	"26.7"	"11.0"	"20"	"--"	"--"	"--"																																																									
"41"	"Convolvulaceae(旋花科)"	"鄂A039"	"红洋苕"	"--"	"--"	"淡紫"	"淡紫"	"--"	"--"	"中"	"地方"	"湖北省农科院粮作所"	"湖北"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000169"	"小"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"中"	"细"	"--"	"匍匐"	"淡红"	"下膨纺"	"湖北兴山"	"低"	"绿"	"242"	"绿"	"浅复缺"	"绿边褐"	"--"	"--"	"浅复缺"	"--"	"--"	"白"	"--"	"0.39"	"--"	"--"	"--"	"中"	"无"	"6.6"	"--"	"7.1"	"8"	"--"	"--"	"--"																																																									
"42"	"Convolvulaceae(旋花科)"	"鄂A040"	"红洋苕-1"	"--"	"--"	"淡紫"	"淡紫"	"--"	"--"	"中"	"地方"	"湖北省农科院粮作所"	"湖北"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000170"	"小"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"中"	"中"	"--"	"匍匐"	"淡红"	"下膨纺"	"湖北兴山"	"中"	"绿"	"236"	"绿"	"浅复缺"	"绿边褐"	"抗根腐病"	"--"	"浅复缺"	"--"	"--"	"白"	"--"	"0.46"	"--"	"--"	"--"	"中"	"无"	"8.0"	"27.0"	"8.8"	"8"	"--"	"--"	"--"																																																									
"43"	"Convolvulaceae(旋花科)"	"鄂A041"	"红洋苕-2"	"--"	"--"	"淡紫"	"绿"	"--"	"--"	"多"	"地方"	"湖北省农科院粮作所"	"湖北"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000171"	"小"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"长"	"细"	"--"	"匍匐"	"淡红"	"纺锤"	"湖北兴山"	"--"	"绿"	"292"	"绿"	"浅复缺"	"紫红"	"--"	"--"	"浅复缺"	"--"	"--"	"白"	"--"	"0.31"	"--"	"--"	"--"	"中"	"无"	"7.5"	"--"	"7.3"	"14"	"--"	"--"	"--"																																																									
"44"	"Convolvulaceae(旋花科)"	"鄂A048"	"红皮洋薯"	"--"	"--"	"浓紫"	"浓紫"	"--"	"--"	"少"	"地方"	"湖北省农科院粮作所"	"湖北"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000178"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"紫绿"	"短"	"中"	"--"	"直立"	"紫红"	"长纺"	"湖北郧县"	"中"	"浓绿"	"61"	"紫"	"深复缺"	"绿"	"自然开花、重感黑斑病"	"--"	"掌状"	"--"	"--"	"淡黄"	"--"	"0.52"	"--"	"--"	"--"	"中"	"无"	"8.7"	"30.0"	"10.3"	"5"	"--"	"--"	"--"																																																									
"45"	"Convolvulaceae(旋花科)"	"湘A034"	"称砣薯"	"--"	"A"	"紫"	"绿带紫"	"--"	"--"	"中"	"地方"	"湖南省农科院作物所"	"湖南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000180"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿"	"长"	"细"	"--"	"匍匐"	"淡黄"	"短 纺"	"湖南"	"低"	"绿"	"227"	"绿"	"浅单缺"	"紫"	"高感薯瘟病"	"--"	"尖心"	"--"	"--"	"白"	"--"	"0.37"	"--"	"--"	"--"	"优"	"无"	"9.0"	"28.1-32.9"	"9.1"	"7"	"--"	"--"	"--"																																																									
"46"	"Convolvulaceae(旋花科)"	"湘A036"	"宁远30日早"	"--"	"B"	"紫"	"紫"	"--"	"--"	"中"	"地方"	"湖南省农科院作物所"	"湖南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000181"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带紫"	"长"	"中"	"--"	"匍匐"	"深 红"	"纺锤"	"湖南道县"	"中"	"浓绿"	"231"	"紫"	"浅单缺"	"绿边紫"	"高感薯瘟病、抗旱、结薯早"	"--"	"浅单缺"	"--"	"--"	"淡黄"	"--"	"0.57"	"--"	"--"	"--"	"差"	"中"	"9.6"	"22.6-25.0"	"10.0"	"6"	"--"	"--"	"--"																																																									
"47"	"Convolvulaceae(旋花科)"	"湘A037"	"浏阳红皮"	"--"	"--"	"紫"	"绿带紫"	"--"	"--"	"少"	"地方"	"湖南省农科院作物所"	"湖南"	"--"	"--"	"--"	"--"	"Ipomoea(番薯属)"	"ZS000182"	"中"	"--"	"Ipomoea batatas Lam.(甘薯)"	"绿带紫"	"长"	"中"	"--"	"匍匐"	"红"	"长纺"	"湖南浏阳"	"中"	"绿"	"310"	"绿带紫"	"浅复缺"	"绿"	"高感薯瘟病"	"--"	"浅单缺"	"--"	"--"	"白"	"--"	"0.50"	"--"	"--"	"--"	"差"	"中"	"11.2"	"20.1-21.0"	"12.7"	"3"	"--"	"--"	"--"																																																									
