"id"	"结球与否"	"保存编号"	"品种名称"	"叶面"	"种子来源"	"生育期"	"株幅"	"抗逆性"	"亩产"	"抽薹性"	"球形"	"备注"	"单株重"	"统一编号"	"保存单位"	"抗病虫性"	"叶色"	"译名"	"水分"	"株高"	"品质"	"种质库编号"	"栽培季节"
"37"	"结球"	"54"	"盘石包生菜"	"中"	"吉林盘石县"	"55"	"13.0"	"强"	"8750"	"--"	"圆形"	"--"	"35.0"	"V09E0063"	"吉林省蔬菜所"	"--"	"浅绿"	"PAN SHI BAO SHENG CAI"	"少"	"17.8"	"下"	"Ⅱ9E0091"	"4上-6上"
"38"	"散生"	"90"	"尖叶生菜"	"平"	"吉林舒兰县"	"55"	"15.0"	"耐热强,耐寒中"	"1350"	"--"	"--"	"*植株前期生长慢,品质上"	"35.0"	"V09E0064"	"吉林省蔬菜所"	"强"	"绿"	"JIAN YE SHENG CAI"	"中"	"20.0"	"上"	"Ⅱ9E0001"	"4上播5下6中收"
"39"	"结球"	"52"	"包生菜"	"平"	"吉林图们市"	"75"	"16.5"	"耐热寒"	"2000"	"--"	"圆形"	"--"	"175.0"	"V09E0065"	"吉林省蔬菜所"	"强"	"浅绿"	"BAO SHENG CAI"	"多"	"16.0"	"上"	"Ⅱ9E0011"	"4上-6下"
"40"	"散生"	"91"	"红生菜"	"微皱"	"吉林引自日本"	"55"	"17.0"	"耐热,寒"	"1750"	"--"	"--"	"*品质上,引自日本"	"55.0"	"V09E0066"	"吉林省蔬菜所"	"强"	"紫绿"	"HONG SHENG CAI"	"多"	"20.0"	"上"	"Ⅱ9E0002"	"4上播5下6上收"
"41"	"散生"	"--"	"紫生菜"	"微皱"	"吉林桦甸县"	"55"	"17.0"	"耐寒"	"1700"	"--"	"--"	"--"	"60.0"	"V09E0067"	"吉林省蔬菜所"	"--"	"紫绿"	"ZI SHENG CAI"	"少"	"22.0"	"下"	"Ⅱ9E0004"	"4上-6上"
"42"	"结球"	"C-01"	"大湖366"	"中"	"中蔬引"	"138"	"40.6"	"强"	"3486"	"--"	"椭圆"	"--"	"450.0"	"V09E0095"	"中国农科院蔬菜所"	"强"	"绿"	"DA HU 366"	"多"	"23.2"	"上"	"Ⅱ9E0018"	"12下-3下-5上7上-7下-10上"
"43"	"结球"	"C-03"	"萨利纳斯A"	"中"	"中蔬引"	"140"	"42.5"	"强"	"3943"	"--"	"椭圆"	"--"	"385.0"	"V09E0096"	"中国农科院蔬菜所"	"强"	"绿"	"SA LI NA SI A"	"多"	"21.0"	"上"	"Ⅱ9E0020"	"12下-3下-5上7上-7下-10上"
"44"	"结球"	"C-02"	"大湖118"	"中"	"中蔬引"	"140"	"40.9"	"强"	"3924"	"--"	"椭圆"	"--"	"310.0"	"V09E0097"	"中国农科院蔬菜所"	"强"	"绿"	"DA HU 118"	"多"	"22.5"	"上"	"Ⅱ9E0019"	"12下-3下-5上7上-7下-10上"
"45"	"结球"	"C-07"	"荷兰结球生菜"	"中"	"中蔬引自荷兰"	"35"	"27.1"	"较抗热"	"2250"	"--"	"圆形"	"--"	"500.0"	"V09E0098"	"中国农科院蔬菜所"	"较强"	"黄绿"	"HE LAN JIE QIU SHENG CAI"	"少"	"15.4"	"下"	"Ⅱ9E0032"	"春秋均可"
"46"	"结球"	"C-05"	"Astral"	"中"	"中蔬引自荷兰"	"43"	"38.5"	"抗热"	"3600"	"--"	"圆形"	"--"	"550.0"	"V09E0099"	"中国农科院蔬菜所"	"强"	"绿"	"Astral"	"较多"	"19.4"	"上"	"Ⅱ9E0030"	"春秋均可"
"47"	"结球"	"C-06"	"Malika"	"中"	"中蔬引自荷兰"	"40"	"35.5"	"抗热"	"2500"	"--"	"圆形"	"--"	"400.0"	"V09E0100"	"中国农科院蔬菜所"	"强"	"绿"	"Malika"	"较多"	"16.0"	"上"	"Ⅱ9E0031"	"春秋均可"
"48"	"结球"	"C-09"	"Cettuce"	"中"	"中蔬引自美国"	"60"	"39.7"	"不抗热烧边"	"1250"	"--"	"椭园"	"--"	"520.0"	"V09E0101"	"中国农科院蔬菜所"	"中"	"绿"	"Cettuce"	"较多"	"29.8"	"上"	"Ⅱ9E0104"	"春秋两季4-7,8-10"
"49"	"--"	"C-08"	"Parris talanlcos"	"微皱"	"中蔬引自墨西哥"	"35"	"34.2"	"较抗热"	"2100"	"--"	"--"	"--"	"420.0"	"V09E0102"	"中国农科院蔬菜所"	"强"	"绿"	"Parris talanlcos"	"较多"	"22.6"	"上"	"Ⅱ9E0069"	"春秋均可"
"50"	"结球"	"C-04"	"四季用秀水"	"中"	"中蔬引自日本"	"28"	"25.1"	"较抗热"	"1329"	"--"	"圆形"	"--"	"350.0"	"V09E0103"	"中国农科院蔬菜所"	"较强"	"黄绿"	"SI JI YONG XIU SHUI"	"少"	"15.0"	"下"	"Ⅱ9E0033"	"春秋均可"
