"id"	"保存单位"	"备注"	"叶长"	"保存编号"	"品种名称"	"抗病虫性"	"叶面"	"叶宽"	"叶色"	"统一编号"	"译名"	"抗逆性"	"栽培季节"	"亩产"	"种子来源"	"叶形"	"株高"	"叶柄长"	"种质库编号"	"品质"
"38"	"江苏农科院蔬菜所"	"--"	"12.0"	"79-1-9"	"大叶菠菜"	"抗霜霉病"	"较皱"	"8.0"	"绿"	"V09A0075"	"DA YE BO CAI"	"--"	"春2下至3下播,秋9上至10上播"	"1125"	"江苏南京市"	"椭圆"	"17.5"	"8.5"	"Ⅱ9A0144"	"上"
"39"	"江苏农科院蔬菜所"	"--"	"7.0"	"87-8-14"	"本菠菜"	"强"	"平滑"	"5.0"	"绿"	"V09A0076"	"BEN BO CAI"	"强"	"春3中-4中秋8中-11上"	"625"	"江苏南通县"	"戟形"	"12.0"	"--"	"Ⅱ9A0046"	"上"
"40"	"江苏农科院蔬菜所"	"分蘖性强"	"8.5"	"80-8-11"	"本地花叶菠菜"	"抗霜霉病"	"平滑"	"3.8"	"深绿"	"V09A0077"	"BEN DI HUA YE BO CAI"	"--"	"春3下至4下播,秋9上至10上播"	"1125"	"江苏如东县"	"戟形"	"12.0"	"8.5"	"Ⅱ9A0050"	"中"
"41"	"江苏农科院蔬菜所"	"--"	"7.5"	"78-8-2"	"尖叶菠菜"	"抗霜霉病"	"平滑"	"4.5"	"绿"	"V09A0078"	"JIAN YE BO CAI"	"--"	"春3下至4下播,秋9上至10上播"	"1250"	"江苏如皋县"	"戟形"	"10.5"	"7.5"	"Ⅱ9A0064"	"上"
"42"	"内蒙农科院蔬菜所"	"--"	"12.0"	"内9A004"	"经棚圆叶菠菜"	"较强"	"皱缩"	"7.5"	"深绿"	"V09A0093"	"JING PENG YUAN YE BO CAI"	"中"	"3下播5下收"	"2250"	"内蒙古克什克腾旗"	"戟形"	"8.5"	"8.5"	"Ⅱ9A0097"	"上"
"43"	"内蒙农科院蔬菜所"	"地方品种"	"32.5"	"内9A020"	"经棚尖叶菠菜"	"强"	"平滑"	"7.5"	"深绿"	"V09A0094"	"JING PENG JIAN YE BO CAI"	"强"	"4上-5中"	"1250"	"内蒙古克什克腾旗"	"箭形"	"23.5"	"19.5"	"Ⅱ9A0109"	"上"
"44"	"内蒙农科院蔬菜所"	"地方品种"	"9.5"	"内9A015"	"林西尖叶菠菜"	"中"	"平滑"	"4.0"	"绿"	"V09A0095"	"LIN XI JIAN YE BO CAI"	"强"	"3下-5中"	"1250"	"内蒙古林西县"	"椭圆"	"14.0"	"7.0"	"Ⅱ9A0105"	"中"
"45"	"内蒙农科院蔬菜所"	"--"	"12.5"	"内9A001"	"通辽圆叶菠菜"	"中"	"较皱"	"6.5"	"绿"	"V09A0096"	"TONG LIAO YUAN YE BO CAI"	"中"	"3中播5下收"	"2375"	"内蒙古通辽市"	"戟形"	"8.5"	"8.0"	"Ⅱ9A0096"	"中"
"46"	"内蒙农科院蔬菜所"	"--"	"12.0"	"内9A006"	"通辽尖叶菠菜"	"中"	"较皱"	"5.5"	"浅绿"	"V09A0097"	"TONG LIAO JIAN YE BO CAI"	"强"	"3中播5下收"	"1875"	"内蒙古通辽市"	"戟形"	"12.5"	"7.5"	"Ⅱ9A0099"	"上"
"47"	"青海农科院园艺所"	"--"	"14.0"	"Ⅱ9A006"	"法国菠菜"	"--"	"较皱"	"9.5"	"绿"	"V09A0111"	"FA GUO BO CAI"	"抗寒耐碱"	"春秋冬"	"1000"	"青海西宁市"	"戟形"	"27.5"	"14.0"	"Ⅱ9A0149"	"上"
"48"	"山西农科院蔬菜所"	"--"	"14.9"	"Ⅱ9A0074"	"刺籽菠菜"	"中"	"较皱"	"9.9"	"绿"	"V09A0120"	"CI ZI BO CAI"	"较耐寒"	"3中播5上收"	"1400"	"山西长子县"	"戟形"	"26.5"	"13.0"	"Ⅱ9A0077"	"--"
"49"	"山西农科院蔬菜所"	"--"	"15.6"	"Ⅱ9A0010"	"宿根菠菜"	"中"	"较皱"	"10.9"	"绿"	"V09A0121"	"SU GEN BO CAI"	"耐寒"	"3中播5中收"	"1300"	"山西广灵县"	"戟形"	"29.4"	"16.6"	"Ⅱ9A0023"	"--"
"50"	"山西农科院蔬菜所"	"--"	"14.9"	"Ⅱ9A0034"	"苛岚菠菜"	"中"	"较皱"	"10.8"	"绿"	"V09A0122"	"KE LAN BO CAI"	"较耐寒"	"3中播5中收"	"2600"	"山西苛岚县"	"戟形"	"24.6"	"12.1"	"Ⅱ9A0075"	"--"
"51"	"山西农科院蔬菜所"	"--"	"12.2"	"Ⅱ9A0046"	"尖叶菠菜"	"中"	"较皱"	"8.6"	"深绿"	"V09A0123"	"JIAN YE BO CAI"	"耐寒"	"3中播5中收"	"1300"	"山西离石县"	"戟形"	"22.0"	"11.6"	"Ⅱ9A0076"	"--"
"52"	"山西农科院蔬菜所"	"--"	"15.9"	"Ⅱ9A0078"	"临汾菠菜"	"中"	"较皱"	"14.0"	"深绿"	"V09A0124"	"LIN FEN BO CAI"	"较耐寒"	"3中播5中收"	"1100"	"山西临汾县"	"戟形"	"23.6"	"12.3"	"Ⅱ9A0078"	"--"
"53"	"新疆农科院园艺所"	"--"	"12.8"	"86-0316"	"圆叶菠菜"	"中"	"皱缩"	"5.5"	"深绿"	"V09A0137"	"YUAN YE BO CAI"	"较强"	"4中-7中"	"534"	"新疆哈密市"	"椭圆"	"27.7"	"15.4"	"Ⅱ9A0048"	"中上"
"54"	"新疆农科院园艺所"	"--"	"13.0"	"86-037"	"圆叶菠菜"	"中"	"较皱"	"8.8"	"绿"	"V09A0138"	"YUAN YE BO CAI"	"较强"	"4中-7上"	"778"	"新疆哈密市"	"戟形"	"18.1"	"11.0"	"Ⅱ9A0044"	"上"
"55"	"新疆农科院园艺所"	"折产"	"13.0"	"86-0421"	"圆叶菠菜"	"强"	"较皱"	"8.0"	"绿"	"V09A0139"	"YUAN YE BO CAI"	"中"	"4月中旬-5月中旬"	"334"	"新疆喀什县"	"圆形"	"10.2"	"13.0"	"Ⅱ9A0139"	"中"
"56"	"新疆农科院园艺所"	"分蘖性强,单株重40克"	"12.0"	"86-59"	"圆叶菠菜"	"强"	"平滑"	"8.5"	"深绿"	"V09A0140"	"YUAN YE BO CAI"	"强"	"3下播5中收,8中下播10上始收"	"2000"	"新疆乌县"	"戟形"	"25.0"	"12.0"	"Ⅱ9A0042"	"中上"
"57"	"新疆农科院园艺所"	"分蘖性强,单株重35克左右"	"15.0"	"86-68"	"尖叶菠菜"	"强"	"平滑"	"7.8"	"绿"	"V09A0141"	"JIAN YE BO CAI"	"强"	"3下播5中收,8中播10上收,9底播次年4上中收"	"1500"	"新疆乌县"	"戟形"	"24.0"	"12.0"	"Ⅱ9A0043"	"中"
