"id"	"成都穗位高"	"年份吐丝数"	"北京区产量"	"杨穗位高"	"杨陵镇穗粗"	"年份区产量"	"北京抽雄数"	"平均穗行数"	"品种名称"	"年份抽雄数"	"公穗位高"	"平均穗位高"	"成都抽雄数"	"北京穗位高"	"成都吐丝数"	"成都穗行数"	"平均穗粗"	"平均抽雄数"	"北京穗行数"	"公抽雄数"	"北京成熟数"	"公成熟数"	"公吐丝数"	"年份穗位高"	"成都成熟数"	"杨吐丝数"	"北京穗粗"	"杨穗行数"	"公区产量"	"成都区产量"	"公穗行数"	"杨区产量"	"杨成熟数"	"平均区产量"	"北京吐丝数"	"年份成熟数"	"杨抽雄数"	"年份穗行数"	"平均吐丝数"	"年份穗粗"	"平均成熟数"	"公主岭穗粗"	"成都穗粗"
"746"	"82.8"	"--"	"420.0"	"119.3"	"4.1"	"--"	"--"	"14.0"	"Santiago"	"--"	"133.0"	"1025"	"--"	"75"	"--"	"14"	"3.9"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"3.8"	"--"	"--"	"630"	"--"	"--"	"--"	"1485.8"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"4.2"	"3.6"
"747"	"86.3"	"--"	"562.5"	"117.2"	"4.3"	"--"	"--"	"14.0"	"Santiago"	"--"	"127.5"	"1020"	"--"	"77"	"--"	"14"	"4.0"	"--"	"14.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"3.6"	"--"	"--"	"811.7"	"--"	"--"	"--"	"1596.0"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"4.2"	"3.9"
"748"	"78.0"	"--"	"847.8"	"102.0"	"4.0"	"--"	"--"	"13.0"	"M306"	"--"	"96.0"	"91.7"	"--"	"90.7"	"--"	"14"	"4.0"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.6"	"--"	"--"	"860"	"--"	"--"	"--"	"1551.7"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.4"	"3.9"
"749"	"89.1"	"--"	"845.0"	"75.0"	"4.2"	"--"	"--"	"12.0"	"M306"	"--"	"107.0"	"86.5"	"--"	"75"	"--"	"12"	"4.0"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"4.1"	"--"	"--"	"373.3"	"--"	"--"	"--"	"1254.3"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"4.5"	"3.2"
"750"	"83.6"	"--"	"846.4"	"88.5"	"4.1"	"--"	"--"	"13.0"	"M306"	"--"	"101.5"	"89.1"	"--"	"82.9"	"--"	"12"	"4.0"	"--"	"14.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"3.9"	"--"	"--"	"616.7"	"--"	"--"	"--"	"1403.0"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"4.5"	"3.4"
"751"	"61.0"	"--"	"565.0"	"80.0"	"3.9"	"--"	"--"	"14.0"	"黄早四"	"--"	"90.0"	"77.2"	"--"	"77.8"	"--"	"14"	"3.8"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.3"	"--"	"--"	"443.3"	"--"	"--"	"--"	"957.6"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.4"	"3.7"
"752"	"53.7"	"--"	"450.0"	"68.0"	"3.8"	"--"	"--"	"13.0"	"黄早四"	"--"	"91.0"	"72.0"	"--"	"75"	"--"	"14"	"3.8"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"3.8"	"--"	"--"	"593.3"	"--"	"--"	"--"	"786.9"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"4.1"	"3.5"
"753"	"57.4"	"--"	"5072.0"	"74"	"3.9"	"--"	"--"	"14.0"	"黄早四"	"--"	"90.5"	"74.6"	"--"	"76.4"	"--"	"13"	"3.8"	"--"	"13.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"3.6"	"--"	"--"	"518.3"	"--"	"--"	"--"	"872.3"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"4.3"	"3.6"
"754"	"48.0"	"--"	"873.0"	"80.0"	"4.4"	"--"	"--"	"15.0"	"早49"	"--"	"70.0"	"65"	"--"	"60"	"--"	"14"	"4.4"	"--"	"16.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"4.1"	"--"	"--"	"403"	"--"	"--"	"--"	"856.4"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.7"	"3.7"
"755"	"40.4"	"--"	"500.0"	"49.0"	"4.1"	"--"	"--"	"14.0"	"早49"	"--"	"71.0"	"53.9"	"--"	"55"	"--"	"14"	"4.1"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"4.3"	"--"	"--"	"493"	"--"	"--"	"--"	"678.3"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"4.6"	"3.3"
"756"	"44.2"	"--"	"686.2"	"64.5"	"4.3"	"--"	"--"	"15.0"	"早49"	"--"	"70.5"	"59.4"	"--"	"57.5"	"--"	"14"	"4.3"	"--"	"15.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"4.5"	"--"	"--"	"448.2"	"--"	"--"	"--"	"767.4"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"4.7"	"3.5"
"757"	"51.7"	"--"	"766.1"	"70.0"	"4.2"	"--"	"--"	"13.0"	"中741"	"--"	"79.0"	"68.7"	"--"	"74.1"	"--"	"14"	"4.0"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.9"	"--"	"--"	"473.3"	"--"	"--"	"--"	"962.1"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.2"	"3.7"
"758"	"54.3"	"--"	"467.0"	"66.0"	"4.1"	"--"	"--"	"13.0"	"中741"	"--"	"103.0"	"67.6"	"--"	"47"	"--"	"14"	"3.9"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"4.2"	"--"	"--"	"533.3"	"--"	"--"	"--"	"821.5"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"3.9"	"3.5"
"759"	"53.0"	"--"	"616.6"	"68"	"4.2"	"--"	"--"	"13.0"	"中741"	"--"	"91.0"	"68.2"	"--"	"60.6"	"--"	"13"	"4.0"	"--"	"14.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"4.1"	"--"	"--"	"503.3"	"--"	"--"	"--"	"891.8"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"4.1"	"3.6"
"760"	"49.7"	"--"	"1099.8"	"43.0"	"4.8"	"--"	"--"	"18.0"	"冀35"	"--"	"60.0"	"52.6"	"--"	"57.5"	"--"	"16"	"4.7"	"--"	"120.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"4.7"	"--"	"--"	"473.3"	"--"	"--"	"--"	"1776.6"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"5.1"	"4.3"
"761"	"41.8"	"--"	"210.0"	"51.0"	"4.8"	"--"	"--"	"18.0"	"冀35"	"--"	"75.0"	"57.0"	"--"	"60"	"--"	"20"	"4.5"	"--"	"18.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"4.3"	"--"	"--"	"363.3"	"--"	"--"	"--"	"12608.0"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"5.0"	"3.9"
"762"	"45.8"	"--"	"654.0"	"47"	"4.8"	"--"	"--"	"18.0"	"冀35"	"--"	"67.5"	"54.8"	"--"	"58.8"	"--"	"18"	"4.6"	"--"	"19.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"4.5"	"--"	"--"	"418.3"	"--"	"--"	"--"	"940.1"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"5.1"	"4.1"
"763"	"36.3"	"--"	"60.0"	"48.0"	"4.4"	"--"	"--"	"15.0"	"H2"	"--"	"51.0"	"45.0"	"--"	"44.8"	"--"	"14"	"3.9"	"--"	"16.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.2"	"--"	"--"	"480"	"--"	"--"	"--"	"642.3"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.1"	"3.9"
"764"	"32.2"	"--"	"--"	"52.0"	"4.7"	"--"	"--"	"14.0"	"H2"	"--"	"53.0"	"44.3"	"--"	"40"	"--"	"14"	"4.0"	"--"	"12.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"3.3"	"--"	"--"	"526.7"	"--"	"--"	"--"	"748.8"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"4.2"	"3.8"
"765"	"34.3"	"--"	"--"	"50"	"4.6"	"--"	"--"	"15.0"	"H2"	"--"	"52.0"	"44.7"	"--"	"42.4"	"--"	"14"	"4.0"	"--"	"14.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"3.3"	"--"	"--"	"503.4"	"--"	"--"	"--"	"695.6"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"4.2"	"3.9"
"766"	"60.0"	"--"	"336.4"	"63.0"	"4.0"	"--"	"--"	"15.0"	"南23-32"	"--"	"80.0"	"63.4"	"--"	"50.5"	"--"	"16"	"3.9"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.2"	"--"	"--"	"756.7"	"--"	"--"	"--"	"1303.5"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.4"	"4.0"
"767"	"53.5"	"--"	"475.0"	"--"	"--"	"--"	"--"	"14.0"	"南23-32"	"--"	"82.0"	"60.2"	"--"	"45"	"--"	"12"	"3.8"	"--"	"16.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"3.9"	"--"	"--"	"646.7"	"--"	"--"	"--"	"1114.6"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"4.5"	"3.1"
"768"	"--"	"--"	"405.7"	"--"	"--"	"--"	"--"	"15.0"	"南23-32"	"--"	"--"	"--"	"--"	"--"	"--"	"14"	"--"	"--"	"15.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"3.6"	"--"	"--"	"701.7"	"--"	"--"	"--"	"1209.0"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"4.5"	"3.6"
"769"	"36.7"	"--"	"335.8"	"45.0"	"3.7"	"--"	"--"	"14.0"	"82黄6"	"--"	"63.0"	"47.7"	"--"	"46.0"	"--"	"16"	"3.8"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.3"	"--"	"--"	"443.3"	"--"	"--"	"--"	"772.2"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.4"	"3.7"
"770"	"40.6"	"--"	"--"	"47.0"	"3.6"	"--"	"--"	"14.0"	"82黄6"	"--"	"57.0"	"42.4"	"--"	"25"	"--"	"14"	"3.5"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"--"	"--"	"--"	"--"	"350"	"--"	"--"	"--"	"926.4"	"--"	"--"	"--"	"--"	"--"	"1998.0"	"--"	"4.1"	"2.9"
"771"	"38.7"	"--"	"--"	"46"	"3.7"	"--"	"--"	"14.0"	"82黄6"	"--"	"60.0"	"45.1"	"--"	"35.5"	"--"	"15"	"3.7"	"--"	"14.0"	"--"	"--"	"--"	"--"	"平均"	"--"	"--"	"--"	"--"	"--"	"396.7"	"--"	"--"	"--"	"849.3"	"--"	"--"	"--"	"--"	"--"	"平均"	"--"	"4.3"	"3.3"
"772"	"59.3"	"--"	"589.2"	"85.0"	"4.3"	"--"	"--"	"16.0"	"沈118"	"--"	"92.0"	"72.5"	"--"	"53.5"	"--"	"18"	"4.0"	"--"	"14.0"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"--"	"3.2"	"--"	"--"	"723.3"	"--"	"--"	"--"	"1646.5"	"--"	"--"	"--"	"--"	"--"	"1997.0"	"--"	"4.3"	"4.2"
