"id"	"成都穗位高"	"年份吐丝数"	"北京区产量"	"杨穗位高"	"杨陵镇穗粗"	"年份区产量"	"北京抽雄数"	"平均穗行数"	"品种名称"	"年份抽雄数"	"公穗位高"	"平均穗位高"	"成都抽雄数"	"北京穗位高"	"成都吐丝数"	"成都穗行数"	"平均穗粗"	"平均抽雄数"	"北京穗行数"	"公抽雄数"	"北京成熟数"	"公成熟数"	"公吐丝数"	"年份穗位高"	"成都成熟数"	"杨吐丝数"	"北京穗粗"	"杨穗行数"	"公区产量"	"成都区产量"	"公穗行数"	"杨区产量"	"杨成熟数"	"平均区产量"	"北京吐丝数"	"年份成熟数"	"杨抽雄数"	"年份穗行数"	"平均吐丝数"	"年份穗粗"	"平均成熟数"	"公主岭穗粗"	"成都穗粗"
"1"	"45.0"	"1997.0"	"1167.0"	"79.0"	"4.5"	"1997.0"	"58.0"	"15.0"	"太系112×中128"	"1997.0"	"70.0"	"69"	"59"	"83"	"64.0"	"14"	"4.5"	"59.0"	"14.0"	"67.0"	"111.0"	"128.0"	"71.0"	"1997.0"	"109"	"55.0"	"4.6"	"16.0"	"2697.0"	"940"	"16.0"	"2330.0"	"90.0"	"1784.0"	"63"	"1997.0"	"51.0"	"1997.0"	"63"	"1997.0"	"110.0"	"4.5"	"--"
"2"	"59.0"	"1998.0"	"760.0"	"68.0"	"4.8"	"1998.0"	"65.0"	"15.0"	"太系112×中128"	"1998.0"	"129.0"	"82"	"51"	"70"	"52.0"	"14"	"4.3"	"59.0"	"16.0"	"62.0"	"99.0"	"116.0"	"64.0"	"1998.0"	"105"	"60.0"	"4"	"14.0"	"1941.0"	"860"	"16.0"	"2650.0"	"91.0"	"1553.0"	"--"	"1998.0"	"58.0"	"1998.0"	"58"	"1998.0"	"103.0"	"4.2"	"4.1"
"3"	"52.0"	"平均"	"964.0"	"74"	"4.7"	"平均"	"62.0"	"15.0"	"太系112×中128"	"平均"	"100"	"76"	"55"	"77"	"58.0"	"14"	"4.4"	"59.0"	"16.0"	"65"	"105.0"	"122"	"67"	"平均"	"107"	"57"	"4.3"	"16"	"2319"	"900"	"16"	"2490"	"91"	"1669.0"	"63"	"平均"	"55"	"平均"	"60"	"平均"	"107.0"	"4.4"	"4.1"
"4"	"44.0"	"1997.0"	"1075.0"	"68.0"	"4.4"	"1997.0"	"62.0"	"14.0"	"太系112×矮中自05"	"1997.0"	"85.0"	"67"	"59"	"70"	"65.0"	"14"	"4.6"	"60.0"	"14.0"	"64.0"	"111.0"	"131.0"	"71.0"	"1997.0"	"114"	"59.0"	"4.6"	"14.0"	"2726.0"	"1040"	"16.0"	"2060.0"	"101.0"	"1725.0"	"66"	"1997.0"	"56.0"	"1997.0"	"65"	"1997.0"	"114.0"	"4.8"	"--"
"5"	"62.0"	"1998.0"	"1136.0"	"57.0"	"4.9"	"1998.0"	"63.0"	"14.0"	"太系112×矮中自05"	"1998.0"	"107.0"	"75"	"53"	"72"	"55.0"	"14"	"4.8"	"60.0"	"14.0"	"63.0"	"98.0"	"129.0"	"66.0"	"1998.0"	"110"	"64.0"	"4.9"	"14.0"	"3017.0"	"1080"	"14.0"	"2880.0"	"91.0"	"2027.0"	"--"	"1998.0"	"60.0"	"1998.0"	"61"	"1998.0"	"107.0"	"4.8"	"4.7"
"6"	"53.0"	"平均"	"1103.0"	"63"	"4.7"	"平均"	"63.0"	"14.0"	"太系112×矮中自05"	"平均"	"96"	"71"	"56"	"71"	"60.0"	"14"	"4.7"	"60.0"	"14.0"	"64"	"105.0"	"130"	"68"	"平均"	"112"	"61"	"4.8"	"14"	"2872"	"1060"	"15"	"2470"	"96"	"1876.0"	"66"	"平均"	"58"	"平均"	"63"	"平均"	"110.0"	"4.8"	"4.7"
"7"	"50.0"	"1997.0"	"1038.0"	"78.0"	"4.0"	"1997.0"	"58.0"	"13.0"	"太系112×MOl7"	"1997.0"	"70.0"	"69"	"59"	"77"	"66.0"	"12"	"4.2"	"58.0"	"14.0"	"60.0"	"109.0"	"127.0"	"66.0"	"1997.0"	"110"	"58.0"	"4.1"	"14.0"	"2765.0"	"660"	"14.0"	"2060.0"	"91.0"	"1631.0"	"63"	"1997.0"	"55.0"	"1997.0"	"64"	"1997.0"	"109.0"	"4.5"	"--"
"8"	"70.0"	"1998"	"672.0"	"--"	"--"	"1998"	"62.0"	"13.0"	"太系112×MOl7"	"1998"	"88"	"78"	"55"	"77"	"57.0"	"14"	"4"	"58.0"	"14.0"	"58"	"98.0"	"116"	"64"	"1998"	"111"	"--"	"3.9"	"--"	"2188"	"940"	"14"	"--"	"--"	"1267.0"	"--"	"1998"	"--"	"1998"	"61"	"1998"	"108.0"	"4.2"	"3.8"
"9"	"60.0"	"平均"	"855.0"	"78"	"4"	"平均"	"60.0"	"13.0"	"太系112×MOl7"	"平均"	"79"	"74"	"57"	"77"	"62.0"	"13"	"4.1"	"58.0"	"13.0"	"59"	"104.0"	"122"	"65"	"平均"	"111"	"58"	"4"	"13"	"2477"	"800"	"13"	"2060"	"91"	"1445.0"	"63"	"平均"	"55"	"平均"	"63"	"平均"	"109.0"	"4.4"	"3.8"
"10"	"68.0"	"1997.0"	"1343.0"	"100.0"	"5.0"	"1997.0"	"60.0"	"15.0"	"沈112×中128"	"1997.0"	"107.0"	"93"	"60"	"97"	"65.0"	"14"	"4.7"	"60.0"	"16.0"	"67.0"	"112.0"	"127.0"	"71.0"	"1997.0"	"113"	"56.0"	"4.6"	"16.0"	"3206.0"	"1230"	"16.0"	"3930.0"	"96.0"	"2427.0"	"65"	"1997.0"	"53.0"	"1997.0"	"64"	"1997.0"	"112.0"	"4.5"	"--"
"11"	"84.0"	"1998.0"	"960.0"	"98.0"	"5.0"	"1998.0"	"65.0"	"15.0"	"沈112×中128"	"1998.0"	"100.0"	"96"	"54"	"102"	"54.0"	"16"	"4.7"	"60.0"	"14.0"	"62.0"	"99.0"	"127.0"	"65.0"	"1998.0"	"108"	"63.0"	"4.6"	"14.0"	"3418.0"	"870"	"16.0"	"3720.0"	"92.0"	"2242.0"	"--"	"1998.0"	"60.0"	"1998.0"	"61"	"1998.0"	"107.0"	"4.7"	"4.3"
"12"	"76.0"	"平均"	"1152.0"	"99"	"5"	"平均"	"63.0"	"15.0"	"沈112×中128"	"平均"	"104"	"95"	"57"	"100"	"60.0"	"15"	"4.7"	"60.0"	"15.0"	"65"	"106.0"	"127"	"68"	"平均"	"111"	"60"	"4.6"	"15"	"3312"	"1050"	"15"	"3825"	"94"	"2335.0"	"65"	"平均"	"57"	"平均"	"63"	"平均"	"110.0"	"4.6"	"4.3"
"13"	"51.0"	"1997.0"	"957.0"	"84.0"	"4.1"	"1997.0"	"--"	"15.0"	"沈112×矮中自05"	"1997.0"	"80.0"	"72"	"60"	"73"	"66.0"	"14"	"4.4"	"60.0"	"16.0"	"64.0"	"112.0"	"127.0"	"72.0"	"1997.0"	"114"	"60.0"	"4.4"	"16.0"	"2400.0"	"1010"	"16.0"	"2600.0"	"104.0"	"1742.0"	"63"	"1997.0"	"57.0"	"1997.0"	"64"	"1997.0"	"114.0"	"4.7"	"--"
"14"	"79.0"	"1998.0"	"1175.0"	"67.0"	"5.0"	"1998.0"	"63.0"	"15.0"	"沈112×矮中自05"	"1998.0"	"121.0"	"89"	"56"	"87"	"56.0"	"14"	"4.6"	"60.0"	"16.0"	"61.0"	"98.0"	"130.0"	"67.0"	"1998.0"	"111"	"65.0"	"4.6"	"14.0"	"2939.0"	"930"	"16.0"	"3380.0"	"98.0"	"2106.0"	"--"	"1998.0"	"61.0"	"1998.0"	"63"	"1998.0"	"109.0"	"4.4"	"4.3"
"15"	"65.0"	"平均"	"1066.0"	"76"	"4.6"	"平均"	"63.0"	"15.0"	"沈112×矮中自05"	"平均"	"101"	"81"	"58"	"80"	"61.0"	"14"	"4.5"	"60.0"	"15.0"	"63"	"105.0"	"129"	"70"	"平均"	"113"	"63"	"4.5"	"15"	"2670"	"970"	"16"	"2990"	"101"	"1924.0"	"63"	"平均"	"59"	"平均"	"64"	"平均"	"112.0"	"4.6"	"4.3"
"16"	"66.0"	"1997.0"	"871.0"	"102.0"	"4.3"	"1997.0"	"59.0"	"14.0"	"沈112×MO17"	"1997.0"	"85.0"	"83"	"61"	"78"	"66.0"	"12"	"4.3"	"59.0"	"14.0"	"61.0"	"109.0"	"123.0"	"68.0"	"1997.0"	"113"	"58.0"	"4.1"	"14.0"	"2798.0"	"1060"	"16.0"	"2880.0"	"95.0"	"1902.0"	"62"	"1997.0"	"55.0"	"1997.0"	"64"	"1997.0"	"110.0"	"4.6"	"--"
"17"	"66.0"	"1998.0"	"630.0"	"96.0"	"4.7"	"1998.0"	"63.0"	"14.0"	"沈112×MO17"	"1998.0"	"119.0"	"94"	"55"	"93"	"57.0"	"14"	"4.2"	"59.0"	"14.0"	"59.0"	"105.0"	"120.0"	"64.0"	"1998.0"	"111"	"62.0"	"4.2"	"14.0"	"3359.0"	"1050"	"16.0"	"3880.0"	"92.0"	"2105.0"	"--"	"1998.0"	"60.0"	"1998.0"	"61"	"1998.0"	"107.0"	"4.3"	"3.7"
"18"	"66.0"	"平均"	"751.0"	"99"	"4.5"	"平均"	"61.0"	"14.0"	"沈112×MO17"	"平均"	"102"	"89"	"58"	"86"	"62.0"	"13"	"4.3"	"59.0"	"14.0"	"60"	"107.0"	"122"	"71"	"平均"	"112"	"60"	"4.2"	"13"	"3079"	"1055"	"15"	"3130"	"94"	"2004.0"	"62"	"平均"	"58"	"平均"	"62"	"平均"	"109.0"	"4.5"	"3.7"
"19"	"71.0"	"1997.0"	"1218.0"	"97.0"	"5.0"	"1997.0"	"--"	"16.0"	"吉资3×中128"	"1997.0"	"100.0"	"89"	"61"	"88"	"66.0"	"16"	"4.7"	"63.0"	"16.0"	"71.0"	"110.0"	"126.0"	"72.0"	"1997.0"	"113"	"60.0"	"4.7"	"16.0"	"2964.0"	"1270"	"16.0"	"3660.0"	"97.0"	"2278.0"	"63"	"1997.0"	"57.0"	"1997.0"	"65"	"1997.0"	"112.0"	"4.5"	"--"
"20"	"85.0"	"1998.0"	"970.0"	"95.0"	"4.9"	"1998.0"	"65.0"	"17.0"	"吉资3×中128"	"1998.0"	"122.0"	"97"	"61"	"87"	"62.0"	"18"	"4.6"	"63.0"	"16.0"	"64.0"	"99.0"	"124.0"	"69.0"	"1998.0"	"117"	"63.0"	"4.5"	"18.0"	"2715.0"	"840"	"18.0"	"2190.0"	"90.0"	"1679.0"	"--"	"1998.0"	"62.0"	"1998.0"	"65"	"1998.0"	"108.0"	"4.6"	"4.2"
"21"	"78.0"	"平均"	"1094.0"	"96"	"5"	"平均"	"65.0"	"17.0"	"吉资3×中128"	"平均"	"111"	"93"	"61"	"88"	"64.0"	"16"	"4.7"	"63.0"	"16.0"	"68"	"105.0"	"125"	"71"	"平均"	"115"	"62"	"4.6"	"17"	"2840"	"1055"	"17"	"2925"	"94"	"1979.0"	"63"	"平均"	"60"	"平均"	"65"	"平均"	"110.0"	"4.6"	"4.2"
"22"	"63.0"	"1997.0"	"1055.0"	"95.0"	"4.5"	"1997.0"	"--"	"16.0"	"吉资3×矮中自05"	"1997.0"	"100.0"	"85"	"61"	"83"	"66.0"	"16"	"4.6"	"60.0"	"16.0"	"64.0"	"111.0"	"126.0"	"72.0"	"1997.0"	"113"	"67.0"	"4.5"	"16.0"	"2503.0"	"1060"	"16.0"	"2540.0"	"104.0"	"1790.0"	"65"	"1997.0"	"56.0"	"1997.0"	"66"	"1997.0"	"114.0"	"4.7"	"--"
"23"	"80.0"	"1998.0"	"1203.0"	"88.0"	"4.9"	"1998.0"	"64.0"	"16.0"	"吉资3×矮中自05"	"1998.0"	"119.0"	"93"	"59"	"85"	"65.0"	"16"	"4.6"	"63.0"	"16.0"	"65.0"	"99.0"	"133.0"	"70.0"	"1998.0"	"122"	"67.0"	"4.8"	"16.0"	"2942.0"	"1150"	"18.0"	"3150.0"	"97.0"	"2111.0"	"--"	"1998.0"	"63.0"	"1998.0"	"67"	"1998.0"	"113.0"	"4.5"	"4.3"
"24"	"72.0"	"平均"	"1129.0"	"92"	"4.7"	"平均"	"64.0"	"16.0"	"吉资3×矮中自05"	"平均"	"110"	"89"	"60"	"84"	"66.0"	"15"	"4.6"	"62.0"	"16.0"	"65"	"105.0"	"130"	"71"	"平均"	"118"	"64"	"4.7"	"15"	"2723"	"1105"	"17"	"2845"	"101"	"1951.0"	"65"	"平均"	"60"	"平均"	"67"	"平均"	"114.0"	"4.6"	"4.3"
"25"	"67.0"	"1997.0"	"1023.0"	"99.0"	"4.3"	"1997.0"	"--"	"15.0"	"吉资3×MO17"	"1997.0"	"90.0"	"84"	"61"	"83"	"66.0"	"14"	"4.3"	"61.0"	"16.0"	"64.0"	"109.0"	"121.0"	"70.0"	"1997.0"	"111"	"59.0"	"4.1"	"16.0"	"2760.0"	"980"	"16.0"	"2580.0"	"95.0"	"1836.0"	"62"	"1997.0"	"57.0"	"1997.0"	"64"	"1997.0"	"109.0"	"4.6"	"--"
"26"	"76.0"	"1998.0"	"900.0"	"96.0"	"3.6"	"1998.0"	"63.0"	"16.0"	"吉资3×MO17"	"1998.0"	"114.0"	"94"	"61"	"88"	"67.0"	"16"	"3.8"	"61.0"	"16.0"	"61.0"	"98.0"	"119.0"	"65.0"	"1998.0"	"116"	"64.0"	"4"	"16.0"	"2229.0"	"790"	"16.0"	"3280.0"	"92.0"	"1800.0"	"--"	"1998.0"	"60.0"	"1998.0"	"63"	"1998.0"	"106.0"	"4.1"	"3.7"
"27"	"72.0"	"平均"	"962.0"	"98"	"4"	"平均"	"63.0"	"16.0"	"吉资3×MO17"	"平均"	"102"	"89"	"61"	"86"	"64.0"	"15"	"4.1"	"61.0"	"15.0"	"63"	"104.0"	"120"	"68"	"平均"	"114"	"62"	"4.1"	"15"	"2495"	"885"	"16"	"2930"	"94"	"1816.0"	"62"	"平均"	"58"	"平均"	"64"	"平均"	"108.0"	"4.4"	"3.7"
"28"	"62.0"	"1997.0"	"1048.0"	"87.0"	"4.4"	"1997.0"	"60.0"	"15.0"	"吉资4×中128"	"1997.0"	"105.0"	"84"	"60"	"80"	"65.0"	"14"	"4.4"	"62.0"	"16.0"	"70.0"	"111.0"	"127.0"	"69.0"	"1997.0"	"111"	"59.0"	"4.4"	"16.0"	"2319.0"	"1110"	"16.0"	"2350.0"	"96.0"	"1707.0"	"64"	"1997.0"	"56.0"	"1997.0"	"64"	"1997.0"	"111.0"	"4.4"	"--"
"29"	"78"	"1998.0"	"1267"	"79.0"	"4.9"	"1998.0"	"62"	"15"	"吉资4×中128"	"1998.0"	"96.0"	"87"	"58"	"93"	"62"	"14"	"4.5"	"63"	"16"	"62.0"	"99"	"127.0"	"67.0"	"1998.0"	"112"	"66.0"	"4.5"	"16.0"	"2431.0"	"930"	"16.0"	"3080.0"	"90.0"	"1952"	"--"	"1998.0"	"59.0"	"1998.0"	"65"	"1998.0"	"107"	"4.4"	"4"
"30"	"70"	"平均"	"1158"	"83"	"4.7"	"平均"	"61"	"15"	"吉资4×中128"	"平均"	"101"	"86"	"59"	"81"	"64"	"14"	"4.5"	"63"	"16"	"66"	"105"	"127"	"68"	"平均"	"112"	"63"	"4.5"	"15"	"2375"	"1020"	"15"	"2715"	"93"	"1830"	"64"	"平均"	"58"	"平均"	"64"	"平均"	"109"	"4.4"	"4"
"31"	"55.0"	"1997.0"	"1125.0"	"84.0"	"4.5"	"1997.0"	"62.0"	"15.0"	"吉资4×矮中自05"	"1997.0"	"90.0"	"76"	"60"	"75"	"65.0"	"16"	"4.5"	"61.0"	"16.0"	"65.0"	"112.0"	"128.0"	"72.0"	"1997.0"	"113"	"60.0"	"4.4"	"14.0"	"2587.0"	"1370"	"16.0"	"2210.0"	"103.0"	"1823.0"	"66"	"1997.0"	"57.0"	"1997.0"	"66"	"1997.0"	"111.0"	"4.7"	"--"
"32"	"71.0"	"1998.0"	"1180.0"	"57.0"	"5.0"	"1998.0"	"64.0"	"15.0"	"吉资4×矮中自05"	"1998.0"	"114.0"	"80"	"56"	"77"	"58.0"	"16"	"4.7"	"61.0"	"16.0"	"63.0"	"99.0"	"126.0"	"68.0"	"1998.0"	"113"	"64.0"	"4.7"	"16.0"	"3044.0"	"1110"	"--"	"3580.0"	"95.0"	"2229.0"	"--"	"1998.0"	"59.0"	"1998.0"	"63"	"1998.0"	"107.0"	"4.7"	"4.4"
"33"	"63.0"	"平均"	"1153.0"	"71"	"4.8"	"平均"	"63.0"	"15.0"	"吉资4×矮中自05"	"平均"	"102"	"78"	"58"	"76"	"62.0"	"16"	"4.6"	"61.0"	"15.0"	"64"	"106.0"	"127"	"70"	"平均"	"113"	"62"	"4.6"	"15"	"2816"	"1240"	"15"	"2895"	"99"	"2026.0"	"66"	"平均"	"58"	"平均"	"65"	"平均"	"109.0"	"4.7"	"4.4"
"34"	"67.0"	"1997.0"	"892.0"	"90.0"	"4.4"	"1997.0"	"59.0"	"14.0"	"吉资4×MO17"	"1997.0"	"95.0"	"82"	"58"	"75"	"64.0"	"12"	"4.2"	"59.0"	"14.0"	"64.0"	"109.0"	"123.0"	"69.0"	"1997.0"	"112"	"59.0"	"3.9"	"14.0"	"2852.0"	"1210"	"14.0"	"2980.0"	"94.0"	"1984.0"	"63"	"1997.0"	"55.0"	"1997.0"	"64"	"1997.0"	"110.0"	"4.4"	"--"
"35"	"86.0"	"1998.0"	"1150.0"	"81.0"	"4.7"	"1998.0"	"63.0"	"14.0"	"吉资4×MO17"	"1998.0"	"120.0"	"94"	"56"	"87"	"56.0"	"14"	"4.3"	"60.0"	"14.0"	"60.0"	"99.0"	"120.0"	"66.0"	"1998.0"	"111"	"64.0"	"4.1"	"14.0"	"2648.0"	"900"	"16.0"	"3610.0"	"91.0"	"2077.0"	"--"	"1998.0"	"60.0"	"1998.0"	"62"	"1998.0"	"105.0"	"4.1"	"4.1"
"36"	"77.0"	"平均"	"1021.0"	"86"	"4.6"	"平均"	"61.0"	"14.0"	"吉资4×MO17"	"平均"	"108"	"88"	"57"	"81"	"60.0"	"13"	"4.3"	"60.0"	"14.0"	"62"	"104.0"	"122"	"68"	"平均"	"112"	"62"	"4"	"14"	"2750"	"1055"	"15"	"3295"	"93"	"2031.0"	"63"	"平均"	"58"	"平均"	"63"	"平均"	"108.0"	"4.3"	"4.1"
"37"	"66.0"	"1997.0"	"1182.0"	"101.0"	"4.4"	"1997.0"	"--"	"14.0"	"吉资5×中128"	"1997.0"	"95.0"	"86"	"59"	"82"	"65.0"	"14"	"4.6"	"59.0"	"16.0"	"64.0"	"111.0"	"128.0"	"71.0"	"1997.0"	"112"	"57.0"	"4.6"	"14.0"	"3267.0"	"1200"	"16.0"	"2910.0"	"94.0"	"2140.0"	"62"	"1997.0"	"54.0"	"1997.0"	"64"	"1997.0"	"111.0"	"4.7"	"--"
"38"	"95.0"	"1998.0"	"1413.0"	"106.0"	"5.1"	"1998.0"	"67.0"	"14.0"	"吉资5×中128"	"1998.0"	"89.0"	"96"	"55"	"95"	"64.0"	"14"	"4.7"	"61.0"	"14.0"	"63.0"	"99.0"	"126.0"	"66.0"	"1998.0"	"108"	"62.0"	"4.5"	"14.0"	"3208.0"	"1020"	"17.0"	"3460.0"	"89.0"	"2275.0"	"--"	"1998.0"	"59.0"	"1998.0"	"64"	"1998.0"	"106.0"	"4.9"	"4.4"
"39"	"81.0"	"平均"	"1298.0"	"103"	"4.8"	"平均"	"67.0"	"14.0"	"吉资5×中128"	"平均"	"92"	"91"	"57"	"89"	"65.0"	"14"	"4.7"	"60.0"	"15.0"	"64"	"105.0"	"127"	"68"	"平均"	"110"	"60"	"4.6"	"14"	"3238"	"1110"	"15"	"3189"	"92"	"2208.0"	"62"	"平均"	"57"	"平均"	"64"	"平均"	"108.0"	"4.8"	"4.4"
"40"	"64.0"	"1997.0"	"1462.0"	"86.0"	"4.7"	"1997.0"	"56.0"	"13.0"	"吉资5×矮中自05"	"1997.0"	"95.0"	"82"	"59"	"83"	"65.0"	"12"	"4.8"	"58.0"	"14.0"	"62.0"	"111.0"	"126.0"	"73.0"	"1997.0"	"113"	"58.0"	"4.8"	"16.0"	"3284.0"	"1210"	"14.0"	"2970.0"	"101.0"	"2232.0"	"61"	"1997.0"	"54.0"	"1997.0"	"64"	"1997.0"	"113.0"	"4.9"	"--"
"41"	"81.0"	"1998.0"	"1368.0"	"82.0"	"5.0"	"1998.0"	"63.0"	"13.0"	"吉资5×矮中自05"	"1998.0"	"144.0"	"96"	"56"	"77"	"58.0"	"14"	"4.9"	"60.0"	"14.0"	"64.0"	"98.0"	"125.0"	"69.0"	"1998.0"	"113"	"62.0"	"4.8"	"14.0"	"4053.0"	"1210"	"--"	"3540.0"	"92.0"	"2543.0"	"--"	"1998.0"	"58.0"	"1998.0"	"63"	"1998.0"	"107.0"	"5.0"	"4.6"
"42"	"73.0"	"平均"	"1415.0"	"84"	"4.9"	"平均"	"60.0"	"13.0"	"吉资5×矮中自05"	"平均"	"120"	"89"	"58"	"80"	"62.0"	"13"	"4.9"	"59.0"	"13.0"	"63"	"105.0"	"126"	"71"	"平均"	"113"	"60"	"4.8"	"14"	"3669"	"1210"	"13"	"3255"	"97"	"2388.0"	"61"	"平均"	"56"	"平均"	"64"	"平均"	"110.0"	"5"	"4.6"
"43"	"71.0"	"1997.0"	"1180.0"	"93.0"	"4.3"	"1997.0"	"--"	"13.0"	"吉资5×MO17"	"1997.0"	"95.0"	"84"	"60"	"78"	"65.0"	"12"	"4.2"	"60.0"	"14.0"	"64.0"	"109.0"	"128.0"	"71.0"	"1997.0"	"112"	"59.0"	"4.3"	"14.0"	"3252.0"	"1140"	"14.0"	"2670.0"	"95.0"	"2061.0"	"63"	"1997.0"	"55.0"	"1997.0"	"65"	"1997.0"	"111.0"	"4.1"	"--"
"44"	"93"	"1998.0"	"1277"	"89.0"	"4.8"	"1998.0"	"62"	"13"	"吉资5×MO17"	"1998.0"	"111.0"	"98"	"54"	"100"	"58"	"14"	"4.4"	"58"	"14"	"60.0"	"98"	"118.0"	"65.0"	"1998.0"	"111"	"64.0"	"4.4"	"14.0"	"3072.0"	"1020"	"16.0"	"3980.0"	"90.0"	"2337"	"--"	"1998.0"	"57.0"	"1998.0"	"62"	"1998.0"	"104"	"4.5"	"4"
"45"	"82"	"平均"	"1299"	"91"	"4.6"	"平均"	"62"	"13"	"吉资5×MO17"	"平均"	"103"	"91"	"57"	"89"	"62"	"13"	"4.3"	"59"	"13"	"62"	"104"	"123"	"68"	"平均"	"112"	"62"	"4.4"	"13"	"3162"	"1080"	"14"	"3325"	"93"	"2199"	"63"	"平均"	"56"	"平均"	"64"	"平均"	"107"	"4.3"	"4"
"46"	"70.0"	"1997.0"	"1312.0"	"115.0"	"4.9"	"1997"	"--"	"16.0"	"吉资6×中128"	"1997"	"122"	"99"	"63"	"90"	"68.0"	"14"	"4.9"	"64.0"	"18.0"	"71.0"	"112.0"	"129.0"	"75"	"1997.0"	"112"	"60.0"	"4.9"	"18"	"3797.0"	"1160"	"18.0"	"2630"	"93"	"2225.0"	"60"	"1997"	"57"	"1997"	"66"	"1997.0"	"112.0"	"5"	"--"
"47"	"83.0"	"1998.0"	"915.0"	"90.0"	"5.3"	"1998.0"	"65.0"	"16.0"	"吉资6×中128"	"1998.0"	"133.0"	"96"	"63"	"78"	"67.0"	"16"	"4.8"	"63.0"	"16.0"	"65.0"	"99.0"	"127.0"	"68.0"	"1998.0"	"117"	"62.0"	"4.7"	"16.0"	"3100.0"	"890"	"18.0"	"3080.0"	"90.0"	"1996.0"	"--"	"1998.0"	"60.0"	"1998.0"	"66"	"1998.0"	"108.0"	"4.6"	"4.4"
"48"	"77.0"	"平均"	"1114.0"	"103"	"5.1"	"平均"	"65.0"	"16.0"	"吉资6×中128"	"平均"	"128"	"98"	"63"	"84"	"68.0"	"15"	"4.9"	"64.0"	"16.0"	"68"	"106.0"	"128"	"72"	"平均"	"115"	"61"	"4.8"	"17"	"3449"	"875"	"17"	"2855"	"92"	"2111.0"	"60"	"平均"	"58"	"平均"	"66"	"平均"	"110.0"	"4.8"	"4.4"
"49"	"53.0"	"1997.0"	"1133.0"	"101.0"	"4.7"	"1997.0"	"64.0"	"16.0"	"吉资6×矮中自05"	"1997.0"	"102.0"	"85"	"64"	"85"	"70.0"	"16"	"4.7"	"63.0"	"16.0"	"68.0"	"110.0"	"131.0"	"75.0"	"1997.0"	"113"	"61.0"	"4.7"	"16.0"	"2551.0"	"960"	"16.0"	"2270.0"	"104.0"	"1729.0"	"69"	"1997.0"	"56.0"	"1997.0"	"69"	"1997.0"	"115.0"	"4.8"	"--"
"50"	"78.0"	"1998.0"	"1322.0"	"74.0"	"5.3"	"1998.0"	"65.0"	"16.0"	"吉资6×矮中自05"	"1998.0"	"126.0"	"90"	"57"	"82"	"63.0"	"16"	"5.1"	"62.0"	"16.0"	"63.0"	"98.0"	"129.0"	"67.0"	"1998.0"	"116"	"68.0"	"5.1"	"16.0"	"3846.0"	"1160"	"18.0"	"3320.0"	"95.0"	"2412.0"	"--"	"1998.0"	"61.0"	"1998.0"	"66"	"1998.0"	"110.0"	"5.2"	"4.8"
"51"	"66.0"	"平均"	"1228.0"	"88"	"5"	"平均"	"65.0"	"16.0"	"吉资6×矮中自05"	"平均"	"114"	"88"	"61"	"84"	"67.0"	"15"	"4.9"	"63.0"	"16.0"	"66"	"104.0"	"130"	"71"	"平均"	"115"	"65"	"4.9"	"15"	"3199"	"1060"	"17"	"2795"	"100"	"2071.0"	"69"	"平均"	"59"	"平均"	"68"	"平均"	"113.0"	"5"	"4.8"
"52"	"71.0"	"1997.0"	"728.0"	"98.0"	"4.6"	"1997.0"	"--"	"15.0"	"吉资6×MO17"	"1997.0"	"95.0"	"86"	"65"	"80"	"70.0"	"14"	"4.7"	"62.0"	"16.0"	"65.0"	"111.0"	"128.0"	"73.0"	"1997.0"	"112"	"60.0"	"4.4"	"16.0"	"3430.0"	"1080"	"16.0"	"2600.0"	"93.0"	"1960.0"	"67"	"1997.0"	"56.0"	"1997.0"	"68"	"1997.0"	"111.0"	"5.1"	"--"
"53"	"78"	"1998.0"	"988"	"86.0"	"4.9"	"1998.0"	"62"	"15"	"吉资6×MO17"	"1998.0"	"126.0"	"96"	"61"	"92"	"65"	"16"	"4.4"	"62"	"16"	"64.0"	"100"	"121.0"	"69.0"	"1998.0"	"120"	"64.0"	"4.1"	"14.0"	"3278.0"	"870"	"16.0"	"3050.0"	"92.0"	"2047"	"--"	"1998.0"	"59.0"	"1998.0"	"66"	"1998.0"	"108"	"4.6"	"4"
"54"	"75"	"平均"	"858"	"92"	"4.8"	"平均"	"62"	"15"	"吉资6×MO17"	"平均"	"111"	"91"	"63"	"86"	"67"	"15"	"4.6"	"62"	"15"	"65"	"106"	"125"	"71"	"平均"	"116"	"62"	"4.3"	"15"	"3354"	"975"	"16"	"2825"	"93"	"2004"	"67"	"平均"	"58"	"平均"	"67"	"平均"	"109"	"4.8"	"4"
"55"	"63.0"	"1997.0"	"1170.0"	"94.0"	"4.6"	"1997"	"--"	"15.0"	"吉资8×中128"	"1997"	"100"	"86"	"60"	"88"	"65.0"	"14"	"4.8"	"61.0"	"16.0"	"69.0"	"112.0"	"126.0"	"74"	"1997.0"	"113"	"58.0"	"4.7"	"16"	"2397.0"	"1290"	"16.0"	"2370"	"93"	"1807.0"	"64"	"1997"	"54"	"1997"	"65"	"1997.0"	"111.0"	"5"	"--"
