"id"	"抗寒性评价"	"科名"	"未展开叶色"	"叶柄颜色"	"干物率"	"评价D"	"生育期"	"评价A"	"抗风评价"	"评价H"	"老茎外皮色"	"亲和力评价"	"叶脉颜色"	"纤维素含量"	"评价C"	"种质名称"	"特异性用途"	"父本亲和力"	"淀粉含量"	"抗风等级"	"维生C含量"	"评价E"	"种质来源"	"省"	"老茎内皮色"	"评价F"	"亩产量"	"母本亲和力"	"块根外皮色"	"氰酸含量"	"属名"	"统一编号"	"块根内皮色"	"学名"	"评价B"	"评价G"	"抗寒等级"	"中间裂片形"	"块根形状"	"植株形态"	"蛋白质含量"
"31"	"--"	"Euphorbiaceae(大戟科)"	"紫红"	"绿带紫"	"45.6"	"中"	"240"	"早"	"--"	"中"	"灰绿色"	"亲和力偏低"	"绿色"	"2.2"	"高"	"M.col-22"	"早熟,育种"	"17.4"	"31.1"	"--"	"27.7"	"低"	"哥伦比亚"	"国外"	"深绿"	"低"	"1244.0"	"20.8"	"褐色"	"4.02"	"Manihot(木薯属)"	"MS000033"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中低"	"低"	"--"	"披针形"	"圆锥"	"集"	"3.0"
"32"	"--"	"Euphorbiaceae(大戟科)"	"花斑"	"紫红"	"--"	"--"	"270"	"中"	"--"	"--"	"黄色"	"--"	"紫红"	"--"	"--"	"花叶木薯"	"花叶,观赏"	"--"	"--"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"--"	"--"	"浅黄"	"--"	"Manihot(木薯属)"	"MS000042"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"--"	"--"	"--"	"披针形"	"圆柱"	"集"	"--"
"33"	"--"	"Euphorbiaceae(大戟科)"	"紫红"	"紫红"	"34.4"	"中低"	"240"	"早"	"抗风"	"中"	"黑褐色"	"适作父母本"	"紫红"	"2.4"	"低"	"CM1468"	"育种"	"30.0"	"29.0"	"1"	"30.7"	"低"	"哥伦比亚"	"国外"	"深绿"	"低"	"1804.0"	"31.2"	"褐色"	"3.12"	"Manihot(木薯属)"	"MS000052"	"紫红色"	"Manihot esculenta Crantz(木薯)"	"中高"	"低"	"--"	"披针形"	"圆锥"	"伞形"	"2.0"
"34"	"--"	"Euphorbiaceae(大戟科)"	"褐色"	"紫红"	"36.8"	"中低"	"270"	"中"	"--"	"--"	"灰绿色"	"--"	"紫红"	"--"	"中"	"HANATEE"	"育种"	"--"	"29.8"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"深绿"	"--"	"1864.8"	"--"	"黄褐"	"--"	"Manihot(木薯属)"	"MS000053"	"白色"	"Manihot esculenta Crantz(木薯)"	"中高"	"--"	"--"	"戟形"	"圆锥"	"集"	"--"
"35"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"紫红"	"36.7"	"中低"	"270"	"中"	"--"	"--"	"褐色"	"--"	"绿色"	"--"	"中"	"CG1372-5"	"种质保存"	"--"	"29.7"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"1386.0"	"--"	"黄褐"	"--"	"Manihot(木薯属)"	"MS000054"	"白色"	"Manihot esculenta Crantz(木薯)"	"中"	"--"	"--"	"披针形"	"圆锥"	"直"	"--"
"36"	"--"	"Euphorbiaceae(大戟科)"	"褐色"	"紫红"	"37.3"	"中"	"270"	"中"	"--"	"--"	"灰绿色"	"--"	"绿色"	"--"	"中"	"CM2399-4"	"种质保存"	"--"	"30.0"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"深绿"	"--"	"1365.0"	"--"	"黄褐"	"--"	"Manihot(木薯属)"	"MS000055"	"白色"	"Manihot esculenta Crantz(木薯)"	"中"	"--"	"--"	"披针形"	"圆锥"	"集"	"--"
"37"	"不抗"	"Euphorbiaceae(大戟科)"	"紫红"	"绿带紫"	"40.3"	"高"	"270"	"中"	"中抗"	"中"	"灰褐色"	"适作父母本"	"绿色"	"2.2"	"高"	"CM1585-13"	"矮杆,育种"	"39.5"	"35.4"	"2-3"	"46.7"	"低"	"哥伦比亚"	"国外"	"浅绿"	"低"	"876.0"	"27.5"	"褐色"	"4.56"	"Manihot(木薯属)"	"MS000056"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"低"	"低"	"5"	"披针形"	"圆锥"	"集"	"1.6"
"38"	"--"	"Euphorbiaceae(大戟科)"	"浅褐"	"绿带紫"	"39.3"	"高"	"270"	"中"	"不抗风"	"中高"	"灰色"	"--"	"绿色"	"1.7"	"中高"	"CM523-7"	"高淀粉,育种"	"--"	"35.3"	"4-5"	"52.2"	"低"	"哥伦比亚"	"国外"	"浅绿"	"低"	"1454.0"	"--"	"浅黄"	"27.57"	"Manihot(木薯属)"	"MS000057"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中高"	"高"	"--"	"披针形"	"圆锥"	"集"	"1.6"
"39"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"紫红"	"35.8"	"中低"	"270"	"中"	"--"	"--"	"褐色"	"--"	"紫红"	"--"	"中低"	"CM7530-3"	"种质保存"	"--"	"28.8"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"1723.0"	"--"	"浅黄"	"--"	"Manihot(木薯属)"	"MS000058"	"浅红"	"Manihot esculenta Crantz(木薯)"	"中高"	"--"	"--"	"椭圆形"	"圆锥"	"集"	"--"
"40"	"--"	"Euphorbiaceae(大戟科)"	"褐色"	"绿带紫"	"36.8"	"中低"	"270"	"中"	"--"	"--"	"灰褐色"	"--"	"绿色"	"--"	"中"	"CM4054-40"	"种质保存"	"--"	"29.8"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"1065.0"	"--"	"浅黄"	"--"	"Manihot(木薯属)"	"MS000059"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"低"	"--"	"--"	"线形"	"圆柱"	"集"	"--"
"41"	"--"	"Euphorbiaceae(大戟科)"	"褐色"	"乳黄"	"38.1"	"中高"	"270"	"中"	"--"	"--"	"褐色"	"--"	"绿色"	"--"	"中高"	"CM3372-4"	"种质保存"	"--"	"31.1"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"866.0"	"--"	"褐色"	"--"	"Manihot(木薯属)"	"MS000060"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"低"	"--"	"--"	"披针形"	"圆柱"	"集"	"--"
"42"	"--"	"Euphorbiaceae(大戟科)"	"紫红"	"绿带紫"	"36.7"	"中低"	"270"	"中"	"--"	"--"	"褐色"	"--"	"绿色"	"--"	"中"	"CM2607-15"	"种质保存"	"--"	"29.7"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"1732.0"	"--"	"褐色"	"--"	"Manihot(木薯属)"	"MS000061"	"白色"	"Manihot esculenta Crantz(木薯)"	"中高"	"--"	"--"	"披针形"	"圆锥"	"集"	"--"
"43"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"紫红"	"36.4"	"中低"	"270"	"中"	"--"	"--"	"红褐色"	"--"	"紫红"	"--"	"中"	"CM1568-2"	"种质保存"	"--"	"29.4"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"1066.0"	"--"	"褐色"	"--"	"Manihot(木薯属)"	"MS000062"	"紫红"	"Manihot esculenta Crantz(木薯)"	"低"	"--"	"--"	"戟形"	"圆锥"	"集"	"--"
"44"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"紫红"	"36.5"	"中低"	"270"	"中"	"--"	"--"	"灰绿色"	"--"	"绿色"	"--"	"中"	"CM2399-1"	"种质保存"	"--"	"29.5"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"深绿"	"--"	"1638.0"	"--"	"浅黄"	"--"	"Manihot(木薯属)"	"MS000063"	"白色"	"Manihot esculenta Crantz(木薯)"	"中高"	"--"	"--"	"披针形"	"圆柱"	"伞形"	"--"
"45"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"绿带紫"	"38.7"	"中高"	"270"	"中"	"--"	"--"	"褐色"	"适作父母本"	"绿色"	"--"	"中高"	"CM3970-8"	"种质保存"	"56.5"	"31.7"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"1909.0"	"46.1"	"红褐"	"--"	"Manihot(木薯属)"	"MS000064"	"紫红"	"Manihot esculenta Crantz(木薯)"	"高"	"--"	"--"	"披针形"	"圆锥"	"集"	"--"
"46"	"不抗"	"Euphorbiaceae(大戟科)"	"绿色"	"绿色"	"43.5"	"高"	"270"	"中"	"中抗"	"中"	"灰色"	"适作父母本"	"绿色"	"1.7"	"高"	"CM3993-9"	"抗风,育种"	"43.0"	"33.0"	"2-3"	"48.1"	"低"	"哥伦比亚"	"国外"	"深绿"	"低"	"1260.0"	"34.4"	"浅黄"	"9.02"	"Manihot(木薯属)"	"MS000065"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中低"	"中高"	"5"	"披针形"	"圆锥"	"伞形"	"1.6"
"47"	"不抗"	"Euphorbiaceae(大戟科)"	"绿色"	"乳黄"	"38.3"	"中高"	"270"	"中"	"中抗"	"中"	"灰色"	"--"	"绿色"	"1.7"	"中高"	"CM4040-1"	"抗风,育种"	"--"	"31.2"	"2-3"	"41.3"	"低"	"哥伦比亚"	"国外"	"绿色"	"低"	"1514.0"	"--"	"浅黄"	"4.82"	"Manihot(木薯属)"	"MS000066"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中高"	"低"	"5"	"线形"	"圆锥"	"伞形"	"1.4"
"48"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"乳黄"	"35.6"	"中低"	"270"	"中"	"抗风"	"中"	"灰色"	"--"	"绿色"	"1.9"	"中低"	"CM4031-2"	"丰产,生产加工"	"--"	"28.7"	"1"	"36.1"	"低"	"哥伦比亚"	"国外"	"浅绿"	"低"	"2074.0"	"--"	"浅黄"	"6.68"	"Manihot(木薯属)"	"MS000067"	"浅红"	"Manihot esculenta Crantz(木薯)"	"高"	"中"	"--"	"线形"	"圆锥"	"伞形"	"2.5"
"49"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"绿色"	"35.3"	"低"	"270"	"中"	"抗风"	"中"	"灰绿色"	"--"	"绿色"	"3.0"	"中低"	"CM3044-2"	"雄性不育,育种"	"--"	"27.3"	"2"	"29.9"	"低"	"哥伦比亚"	"国外"	"深绿"	"低"	"1649.0"	"--"	"浅黄"	"5.79"	"Manihot(木薯属)"	"MS000068"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中高"	"中"	"--"	"披针形"	"圆柱"	"伞形"	"2.6"
"50"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"绿色"	"38.8"	"中高"	"270"	"中"	"--"	"--"	"灰绿色"	"--"	"绿色"	"--"	"中高"	"CM1149-1"	"丰产,生产加工"	"--"	"31.8"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"深绿"	"--"	"1982.0"	"--"	"褐色"	"--"	"Manihot(木薯属)"	"MS000069"	"紫红"	"Manihot esculenta Crantz(木薯)"	"高"	"--"	"--"	"披针形"	"圆锥"	"集"	"--"
"51"	"--"	"Euphorbiaceae(大戟科)"	"紫红"	"浅褐"	"35.3"	"中低"	"270"	"中"	"--"	"--"	"灰绿色"	"--"	"绿色"	"--"	"中低"	"CM4044-1"	"种质保存"	"--"	"28.3"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"深绿"	"--"	"2173.0"	"--"	"黄褐"	"--"	"Manihot(木薯属)"	"MS000070"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"高"	"--"	"--"	"披针形"	"圆锥"	"直"	"--"
"52"	"不抗"	"Euphorbiaceae(大戟科)"	"浅红"	"浅红"	"40.5"	"高"	"270"	"中"	"不抗风"	"高"	"红褐色"	"--"	"绿色"	"1.7"	"高"	"SM614-1"	"种质保存"	"--"	"34.2"	"4-5"	"65.6"	"低"	"哥伦比亚"	"国外"	"浅绿"	"低"	"1216.0"	"--"	"褐色"	"6.18"	"Manihot(木薯属)"	"MS000071"	"紫红"	"Manihot esculenta Crantz(木薯)"	"中低"	"中"	"5"	"披针形"	"圆柱"	"伞形"	"2.3"
"53"	"不抗"	"Euphorbiaceae(大戟科)"	"褐色"	"紫红"	"35.6"	"中低"	"270"	"中"	"不抗风"	"中"	"灰褐色"	"--"	"绿色"	"1.7"	"中低"	"SM483-3"	"种质保存"	"--"	"27.9"	"4-5"	"41.8"	"低"	"哥伦比亚"	"国外"	"浅绿"	"低"	"1390.0"	"--"	"浅黄"	"5.06"	"Manihot(木薯属)"	"MS000072"	"白色"	"Manihot esculenta Crantz(木薯)"	"中"	"中"	"5"	"披针形"	"圆锥"	"伞形"	"1.7"
"54"	"--"	"Euphorbiaceae(大戟科)"	"紫红"	"紫红"	"34.5"	"低"	"270"	"中"	"--"	"--"	"褐色"	"--"	"绿色"	"--"	"低"	"SM582-5"	"种质保存"	"--"	"24.5"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"1945.0"	"--"	"褐色"	"--"	"Manihot(木薯属)"	"MS000073"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"高"	"--"	"--"	"披针形"	"圆柱"	"伞形"	"--"
"55"	"--"	"Euphorbiaceae(大戟科)"	"绿色"	"绿带紫"	"32.0"	"低"	"270"	"中"	"--"	"--"	"灰绿色"	"--"	"绿色"	"--"	"低"	"SM465-1"	"种质保存"	"--"	"25.0"	"--"	"--"	"--"	"哥伦比亚"	"国外"	"浅绿"	"--"	"1173.0"	"--"	"浅黄"	"--"	"Manihot(木薯属)"	"MS000074"	"乳黄"	"Manihot esculenta Crantz(木薯)"	"中低"	"--"	"--"	"椭圆形"	"圆锥"	"分散"	"--"
