"id"	"保存编号"	"品种名称"	"生长状态"	"叶面"	"种子来源"	"生育期"	"抗逆性"	"叶形"	"亩产"	"茸毛"	"译名"	"备注"	"叶缘"	"单株重"	"统一编号"	"保存单位"	"抗病虫性"	"叶色"	"茎色"	"叶角"	"株高"	"种质库编号"	"栽培季节"
"20"	"88-HN-24"	"福州尖叶白苋菜"	"--"	"皱缩"	"福建福州市"	"53"	"强"	"长卵"	"875"	"--"	"FU ZHOU JIAN YE BAI XIAN CAI"	"--"	"全缘"	"--"	"V09C0026"	"福州市蔬菜科研所"	"强"	"绿"	"浅绿"	"--"	"29.8"	"Ⅱ9C0116"	"3上-4上,5中-6上"
"21"	"88-HN-13"	"福州郊区圆叶白苋"	"--"	"皱缩"	"福建福州市"	"43"	"强"	"卵圆"	"1125"	"--"	"FU ZHOU JIAO QU YUAN YE BAI XIAN"	"--"	"全缘"	"--"	"V09C0027"	"福州市蔬菜科研所"	"强"	"绿"	"浅绿"	"--"	"35.1"	"Ⅱ9C0118"	"3上-3下,5中-5下"
"22"	"88-HN-30"	"红黄穗苋"	"--"	"皱缩"	"福建果树所"	"45"	"中"	"卵圆"	"550"	"--"	"HONG HUANG SUI XIAN"	"红色"	"全缘"	"--"	"V09C0028"	"福州市蔬菜科研所"	"强"	"紫"	"紫"	"--"	"30.0"	"Ⅱ9C0117"	"3中-5中,5-6"
"23"	"89-HN-3"	"泉州红苋菜"	"矮生"	"平滑"	"福建泉州市"	"55"	"中"	"--"	"1250"	"--"	"QUAN ZHOU HONG XIAN CAI"	"--"	"全缘"	"--"	"V09C0038"	"福州市蔬菜科研所"	"强"	"紫"	"紫"	"半横展"	"45.0"	"Ⅱ9C0154"	"2下-5上,5上-8中"
"24"	"88-HN-4"	"泉州绿苋菜"	"--"	"平滑"	"福建泉州市"	"48"	"强"	"--"	"875"	"--"	"QUAN ZHOU LU XIAN CAI"	"--"	"全缘"	"--"	"V09C0039"	"福州市蔬菜科研所"	"强"	"--"	"--"	"--"	"35.0"	"Ⅱ9C0111"	"3中-5中,5上-7上"
"25"	"89-HN-29"	"上杭白苋菜"	"--"	"--"	"福建上杭县"	"65"	"中"	"--"	"1000"	"--"	"SHANG HANG BAI XIAN CAI"	"--"	"--"	"250.0"	"V09C0040"	"福州市蔬菜科研所"	"强"	"绿"	"绿"	"--"	"62.0"	"Ⅱ9C0190"	"3中-8中"
"26"	"89-HN-31"	"武平红苋菜"	"--"	"皱缩"	"福建武平县"	"43"	"中"	"菱形"	"800"	"--"	"WU PING HONG XIAN CAI"	"--"	"全缘"	"--"	"V09C0041"	"福州市蔬菜科研所"	"强"	"红"	"紫"	"--"	"33.0"	"Ⅱ9C0189"	"3中-5中,5上-6下"
"27"	"88-HN-16"	"漳州绿叶苋"	"--"	"皱缩"	"福建漳州市"	"55"	"强"	"卵圆"	"675"	"--"	"ZHANG ZHOU LU YE XIAN"	"--"	"缺刻"	"--"	"V09C0042"	"福州市蔬菜科研所"	"强"	"红"	"浅绿"	"--"	"125.0"	"Ⅱ9C0113"	"3中-5中,5上-6下"
"28"	"G16-39"	"AP-4"	"--"	"较皱"	"广东引自台湾"	"25"	"耐热耐旱"	"卵圆"	"375"	"--"	"AP-4"	"--"	"全缘"	"--"	"V09C0063"	"广东农科院经作所"	"抗病虫"	"绿"	"浅绿"	"--"	"20.0"	"Ⅱ9C0210"	"春夏秋"
"29"	"G16-42"	"AP-1苋菜"	"--"	"较皱"	"广东引自台湾"	"25"	"耐热耐旱"	"卵圆"	"375"	"--"	"AP-1 XIAN CAI"	"--"	"全缘"	"--"	"V09C0064"	"广东农科院经作所"	"抗病虫"	"浅绿"	"浅绿"	"--"	"20.0"	"Ⅱ9C0213"	"春夏秋"
"30"	"G16-40"	"花红叶苋菜"	"--"	"较皱"	"广东中山市"	"25"	"耐热耐旱"	"卵圆"	"375"	"--"	"HUA HONG YE XIAN CAI"	"--"	"全缘"	"--"	"V09C0065"	"广东农科院经作所"	"抗病虫"	"紫"	"浅绿"	"--"	"22.0"	"Ⅱ9C0211"	"春夏秋"
"31"	"200108"	"青叶苋菜"	"矮生"	"平滑"	"广西"	"50"	"强"	"卵圆"	"625"	"无"	"QING YE XIAN CAI"	"--"	"全缘"	"32.5"	"V09C0066"	"广西农科院园艺所"	"--"	"绿"	"绿"	"半横展"	"24.0"	"Ⅱ9C0161"	"3-8"
"32"	"200047"	"花叶苋菜"	"短缩"	"微皱"	"广西"	"48"	"中"	"圆形"	"438"	"无"	"HUA YE XIAN CAI"	"--"	"全缘"	"25.0"	"V09C0067"	"广西农科院园艺所"	"--"	"红"	"浅绿"	"半横展"	"21.0"	"Ⅱ9C0055"	"2-6"
"33"	"9-C-22-18"	"红苋菜"	"直立"	"平滑"	"贵州贵阳市"	"--"	"中"	"卵园"	"--"	"中"	"HONG XIAN CAI"	"--"	"全缘"	"--"	"V09C0073"	"贵州农科院园艺所"	"--"	"绿"	"红"	"--"	"40.0"	"Ⅱ9C0182"	"3月下旬-8月"
"34"	"9-C-22-8"	"红苋菜"	"直立"	"平滑"	"贵州黎平县"	"--"	"中"	"长卵"	"--"	"多"	"HONG XIAN CAI"	"--"	"全缘"	"--"	"V09C0074"	"贵州农科院园艺所"	"--"	"红"	"红"	"--"	"120.0"	"Ⅱ9C0186"	"3下-8"
"35"	"9-C-22-6"	"红苋菜"	"直立"	"平滑"	"贵州桐梓县"	"--"	"中"	"卵圆"	"--"	"少"	"HONG XIAN CAI"	"--"	"全缘"	"--"	"V09C0075"	"贵州农科院园艺所"	"--"	"红"	"红"	"--"	"70.0"	"Ⅱ9C0184"	"3下-8"
"36"	"9-C-22-15"	"白苋菜"	"直立"	"平滑"	"贵州印江县"	"--"	"中"	"卵园"	"--"	"中"	"BAI XIAN CAI"	"--"	"全缘"	"--"	"V09C0076"	"贵州农科院园艺所"	"--"	"绿"	"红"	"--"	"50.0"	"Ⅱ9C0181"	"3月下旬-8月"
"37"	"9-C-22-1"	"红苋菜"	"直立"	"平滑"	"贵州遵义市"	"--"	"中"	"长卵"	"--"	"少"	"HONG XIAN CAI"	"--"	"全缘"	"--"	"V09C0077"	"贵州农科院园艺所"	"--"	"红"	"红"	"--"	"80.0"	"Ⅱ9C0183"	"3月下旬-8月"
"38"	"G16-14"	"红苋菜"	"--"	"微皱"	"海南海口市"	"25"	"耐热耐旱"	"卵圆"	"375"	"--"	"HONG XIAN CAI"	"该种为野生,可用做半栽培"	"全缘"	"--"	"V09C0079"	"广东农科院经作所"	"抗病不抗虫"	"紫"	"紫"	"--"	"18.0"	"Ⅱ9C0126"	"春,夏,秋"
"39"	"G16-15"	"红苋菜"	"--"	"微皱"	"海南海口市"	"25"	"耐热耐旱"	"卵圆"	"375"	"--"	"HONG XIAN CAI"	"该种为野生,可用做半栽培种"	"全缘"	"--"	"V09C0080"	"广东农科院经作所"	"抗病不抗虫"	"紫"	"紫"	"--"	"18.5"	"Ⅱ9C0127"	"春,夏,秋"
"40"	"9D0012"	"许昌英英菜"	"--"	"较皱缩"	"河南许昌市"	"60"	"强"	"圆形"	"1000"	"--"	"XU CHANG YING YING CAI"	"*"	"全缘"	"--"	"V09C0099"	"河南农科院园艺所"	"--"	"紫"	"浅紫"	"--"	"30.3"	"Ⅱ9C0023"	"3中播5中收"
"41"	"9D0015"	"许昌玉米菜"	"--"	"较皱缩"	"河南许昌市"	"60"	"--"	"圆形"	"1500"	"--"	"XU CHANG YU MI CAI"	"*"	"全缘"	"--"	"V09C0100"	"河南农科院园艺所"	"--"	"紫"	"绿"	"--"	"42.0"	"Ⅱ9C0024"	"3中播5中收"
"42"	"9D0010"	"圆叶玉米菜"	"--"	"较皱缩"	"河南禹县"	"60"	"--"	"圆形"	"1500"	"--"	"YUAN YE YU MI CAI"	"*"	"全缘"	"--"	"V09C0101"	"河南农科院园艺所"	"--"	"绿"	"浅绿"	"--"	"29.2"	"Ⅱ9C0022"	"3播5,6收"
"43"	"9D0006"	"郑州白苋菜"	"--"	"较皱缩"	"河南郑州市"	"60"	"耐热"	"卵圆"	"2000"	"--"	"ZHENG ZHOU BAI XIAN CAI"	"*"	"全缘"	"--"	"V09C0102"	"河南农科院园艺所"	"抗病"	"绿"	"绿"	"--"	"32.6"	"Ⅱ9C0020"	"3下播-5下收"
"44"	"9D0007"	"郑州红苋菜"	"--"	"较皱缩"	"河南郑州市"	"55"	"--"	"卵圆"	"1000"	"--"	"ZHENG ZHOU HONG XIAN CAI"	"*"	"全缘"	"--"	"V09C0103"	"河南农科院园艺所"	"--"	"紫"	"浅紫"	"--"	"35.0"	"Ⅱ9C0021"	"4播-6收"
"45"	"续Ⅱ9C0010"	"红苋菜"	"直立"	"平滑"	"湖北当阳县"	"--"	"强"	"卵圆"	"1250"	"无"	"HONG XIAN CAI"	"--"	"全缘"	"--"	"V09C0106"	"湖北农科院经作所"	"强"	"红"	"绿"	"--"	"23.0"	"Ⅱ9C0207"	"3下-5中"
"46"	"续II9C0011"	"红叶苋菜"	"直立"	"平滑"	"湖北罗田县"	"--"	"强"	"卵圆"	"1250"	"无"	"HONG YE XIAN CAI"	"--"	"全缘"	"--"	"V09C0107"	"湖北农科院经作所"	"--"	"红"	"绿"	"--"	"25.0"	"Ⅱ9C0152"	"3下-5上8下-9中"
"47"	"续II9C0005"	"红叶苋菜"	"--"	"平滑"	"湖北麻城县"	"--"	"--"	"长卵"	"1750"	"中"	"HONG YE XIAN CAI"	"--"	"全缘"	"--"	"V09C0108"	"湖北农科院经作所"	"--"	"红"	"红"	"--"	"30.0"	"Ⅱ9C0143"	"4上-7下"
"48"	"续Ⅱ9C0008"	"红圆叶苋菜"	"直立"	"平滑"	"湖北武昌县"	"--"	"强"	"圆形"	"1250"	"无"	"HONG YUAN YE XIAN CAI"	"--"	"全缘"	"--"	"V09C0109"	"湖北农科院经作所"	"强"	"红"	"绿"	"--"	"22.5"	"Ⅱ9C0206"	"3下-5上8下-9中"
"49"	"续Ⅱ9C0006"	"尖叶红苋"	"--"	"平滑"	"湖北武昌县"	"--"	"较强"	"长卵"	"875"	"无"	"JIAN YE HONG XIAN"	"--"	"全缘"	"--"	"V09C0110"	"湖北农科院经作所"	"--"	"紫"	"深绿"	"半横展"	"28.0"	"Ⅱ9C0170"	"4上-7上"
"50"	"9-C09"	"红柳叶苋"	"--"	"皱缩"	"湖南郴州市"	"40"	"强"	"卵圆"	"1500"	"--"	"HONG LIU YE XIAN"	"*"	"缺刻"	"--"	"V09C0121"	"湖南农科院蔬菜所"	"强"	"红"	"绿"	"--"	"41.0"	"Ⅱ9C0089"	"3播5收"
"51"	"9-C31"	"红苋菜"	"矮生"	"皱缩"	"湖南大庸县"	"50"	"强"	"长卵"	"1250"	"少"	"HONG XIAN CAI"	"--"	"全缘"	"11.0"	"V09C0122"	"湖南农科院蔬菜所"	"中"	"红"	"浅绿"	"--"	"18.0"	"Ⅱ9C0044"	"5上-7下"
"52"	"9-C04"	"红苋菜"	"--"	"微皱"	"湖南凤凰县"	"50"	"中"	"长卵"	"1250"	"--"	"HONG XIAN CAI"	"*"	"全缘"	"--"	"V09C0123"	"湖南农科院蔬菜所"	"中"	"绿"	"浅绿"	"--"	"18.0"	"Ⅱ9C0036"	"4上5下播7上8末收"
"53"	"9-C30"	"小竹叶苋菜"	"矮生"	"皱缩"	"湖南衡阳市"	"30"	"强"	"长卵"	"1000"	"少"	"XIAO ZHU YE XIAN CAI"	"--"	"全缘"	"7.0"	"V09C0124"	"湖南农科院蔬菜所"	"强"	"绿"	"绿"	"--"	"18.0"	"Ⅱ9C0043"	"4上-7上"
"54"	"9-C02"	"红苋菜"	"矮生"	"平滑"	"湖南洪江市"	"60"	"强"	"--"	"1250"	"少"	"HONG XIAN CAI"	"--"	"全缘"	"15.0"	"V09C0125"	"湖南农科院蔬菜所"	"强"	"紫"	"紫"	"--"	"25.0"	"Ⅱ9C0083"	"5上-7下"
