"id"	"熟性"	"种皮次色"	"保存编号"	"品种名称"	"株型"	"种子皮色"	"株幅"	"翼瓣色"	"种子形状"	"嫩荚次色"	"种子大小"	"嫩荚色"	"翼瓣次色"	"品质"	"译名"	"备注"	"抗病虫性"	"荚长"	"荚厚"	"荚形"	"统一编号"	"保存单位"	"老荚日数"	"单荚重"	"抗逆性"	"青荚日数"	"种子来源"	"亩产"	"株高"	"荚宽"	"种质库编号"	"栽培季节"
"83"	"--"	"--"	"79-3-49"	"广一六月枯"	"--"	"黄"	"56.6"	"白"	"卵圆"	"--"	"中"	"绿"	"--"	"好"	"GUANG YI LIU YUE KU"	"*"	"--"	"6.6"	"0.7"	"扁条"	"V07F0204"	"江苏农科院蔬菜所"	"88"	"2.4"	"强"	"69"	"江苏无锡市"	"450"	"56.5"	"1.2"	"Ⅱ7F0024"	"春5中-8中"
"84"	"--"	"绿"	"78-3-4"	"五月枯"	"--"	"绿"	"35.0"	"紫"	"卵圆"	"--"	"小"	"绿"	"--"	"好"	"WU YUE KU"	"*"	"--"	"5.1"	"0.6"	"扁条"	"V07F0205"	"江苏农科院蔬菜所"	"86"	"1.8"	"强"	"59"	"江苏无锡市"	"275"	"39.0"	"1.1"	"Ⅱ7F0006"	"春5中-8中"
"85"	"--"	"绿"	"79-3-45"	"五月枯"	"--"	"绿"	"47.4"	"白"	"卵圆"	"--"	"小"	"绿"	"--"	"好"	"WU YUE KU"	"*"	"--"	"5.5"	"0.7"	"扁条"	"V07F0208"	"江苏农科院蔬菜所"	"86"	"2.0"	"强"	"67"	"江苏无锡市"	"275"	"44.3"	"1.2"	"Ⅱ7F0291"	"春5中-8中"
"86"	"--"	"--"	"78-9-2"	"四月红"	"--"	"褐"	"54.7"	"紫"	"卵圆"	"--"	"小"	"绿"	"--"	"好"	"SI YUE HONG"	"*"	"--"	"5.5"	"0.6"	"扁条"	"V07F0209"	"江苏农科院蔬菜所"	"88"	"1.8"	"强"	"65"	"江苏盐城市"	"350"	"53.7"	"1.1"	"Ⅱ7F0181"	"春5中-8中"
"87"	"--"	"--"	"78-9-3"	"五月种"	"--"	"黄"	"46.7"	"白"	"卵圆"	"--"	"小"	"绿"	"--"	"好"	"WU YUE ZHONG"	"*"	"--"	"6.1"	"0.7"	"扁条"	"V07F0210"	"江苏农科院蔬菜所"	"91"	"2.1"	"强"	"72"	"江苏盐城县"	"350"	"59.7"	"1.1"	"Ⅱ7F0168"	"春5中-8中"
"88"	"--"	"--"	"78-9-98"	"六月白"	"--"	"黄"	"65.4"	"紫"	"卵圆"	"--"	"大"	"绿"	"--"	"差"	"LIU YUE BAI"	"*"	"--"	"5.6"	"0.9"	"扁条"	"V07F0211"	"江苏农科院蔬菜所"	"120"	"2.9"	"强"	"95"	"江苏盐城县"	"450"	"61.3"	"1.4"	"Ⅱ7F0171"	"春5中-9中"
"89"	"--"	"--"	"79-7-8"	"六月豆"	"--"	"黄"	"53.8"	"白"	"卵圆"	"--"	"中"	"绿"	"--"	"好"	"LIU YUE DOU"	"*"	"--"	"5.7"	"0.7"	"扁条"	"V07F0212"	"江苏农科院蔬菜所"	"88"	"2.1"	"强"	"65"	"江苏扬州市"	"450"	"54.0"	"1.1"	"Ⅱ7F0239"	"春4上-8中"
"90"	"--"	"--"	"79-7-7"	"五月头"	"--"	"黄"	"47.5"	"紫"	"卵圆"	"--"	"小"	"绿"	"--"	"好"	"WU YUE TOU"	"*"	"--"	"5.7"	"0.6"	"扁条"	"V07F0213"	"江苏农科院蔬菜所"	"86"	"1.3"	"中"	"65"	"江苏扬州市"	"450"	"50.7"	"1.0"	"Ⅱ7F0007"	"春3中-6下"
"91"	"--"	"绿"	"79-7-56"	"大青豆"	"--"	"绿"	"61.3"	"紫"	"圆"	"--"	"中"	"绿"	"--"	"好"	"DA QING DOU"	"*"	"--"	"7.1"	"1.0"	"扁条"	"V07F0214"	"江苏农科院蔬菜所"	"128"	"3.7"	"强"	"103"	"江苏扬州市"	"575"	"70.2"	"1.4"	"Ⅱ7F0238"	"夏6上-10中"
"92"	"--"	"--"	"79-7-57"	"九里香"	"--"	"紫"	"62.9"	"白"	"卵圆"	"--"	"大"	"绿"	"--"	"好"	"JIU LI XIANG"	"*"	"--"	"6.4"	"0.8"	"扁条"	"V07F0215"	"江苏农科院蔬菜所"	"129"	"3.2"	"强"	"103"	"江苏扬州市"	"575"	"75.2"	"1.4"	"Ⅱ7F0061"	"夏5下-10上"
"93"	"--"	"绿"	"80-2-70"	"八月白"	"--"	"绿"	"62.7"	"紫"	"卵圆"	"--"	"大"	"绿"	"--"	"好"	"BA YUE BAI"	"*"	"--"	"6.6"	"0.8"	"扁条"	"V07F0216"	"江苏农科院蔬菜所"	"114"	"3.0"	"强"	"86"	"江苏宜兴县"	"550"	"73.0"	"1.3"	"Ⅱ7F0054"	"夏6中-10上"
"94"	"--"	"绿"	"78-2-1"	"五月枯"	"--"	"绿"	"50.1"	"紫"	"卵圆"	"--"	"小"	"绿"	"--"	"好"	"WU YUE KU"	"*"	"--"	"5.1"	"0.6"	"扁条"	"V07F0217"	"江苏农科院蔬菜所"	"86"	"1.7"	"强"	"59"	"江苏镇江市"	"275"	"40.8"	"0.9"	"Ⅱ7F0005"	"春5中-8上"
"95"	"--"	"--"	"82-2-147"	"沙仁豆"	"--"	"褐"	"--"	"--"	"卵圆"	"--"	"大"	"--"	"--"	"好"	"SHA REN DOU"	"*"	"--"	"--"	"--"	"--"	"V07F0218"	"江苏农科院蔬菜所"	"135"	"--"	"--"	"110"	"江苏镇江市"	"--"	"--"	"--"	"Ⅱ7F0254"	"夏6中-10下"
"96"	"--"	"--"	"80-6-145"	"大四粒"	"--"	"黄"	"60.4"	"紫"	"卵圆"	"--"	"中"	"绿"	"--"	"好"	"DA SI LI"	"*"	"--"	"8.2"	"0.8"	"扁条"	"V07F0219"	"江苏农科院蔬菜所"	"120"	"3.5"	"强"	"95"	"江苏泗阳县"	"450"	"65.5"	"1.3"	"Ⅱ7F0210"	"春5中-9中"
"97"	"较晚"	"--"	"Ⅱ7F0009"	"黑皮黄心大豆"	"矮生"	"黑"	"40.0"	"紫"	"卵圆"	"--"	"较小"	"绿"	"--"	"较好"	"HEI PI HUANG XIN DA DOU"	"--"	"强"	"6.0"	"--"	"扁条"	"V07F0220"	"南昌市蔬菜所"	"140"	"--"	"强"	"120"	"江西南康县"	"550"	"45.0"	"1.2"	"Ⅱ7F0229"	"7上-10下"
"98"	"--"	"--"	"S34-57"	"荒八石"	"--"	"黄"	"--"	"--"	"肾形"	"--"	"小"	"绿"	"--"	"好"	"HUANG BA SHI"	"*"	"强"	"6.0"	"0.8"	"扁条"	"V07F0272"	"上海农科院园艺所"	"115"	"2.1"	"强"	"100"	"上海南汇县"	"600"	"92.2"	"1.3"	"Ⅱ7F0079"	"5下6上-9上中始收"
"99"	"晚"	"--"	"S34-46"	"牛踏扁"	"矮生"	"绿"	"--"	"紫"	"肾形"	"--"	"大"	"绿"	"--"	"好"	"NIU TA BIAN"	"--"	"弱"	"6.4"	"0.7"	"扁条"	"V07F0273"	"上海农科院园艺所"	"130"	"2.6"	"弱"	"110"	"上海南汇县"	"300"	"110.0"	"1.6"	"Ⅱ7F0122"	"夏-秋"
"100"	"--"	"--"	"S34-65"	"青皮绿肉豆"	"--"	"深绿"	"--"	"--"	"圆"	"--"	"大"	"绿"	"--"	"好"	"QING PI LU ROU DOU"	"*"	"强"	"6.3"	"0.7"	"扁条"	"V07F0274"	"上海农科院园艺所"	"130"	"1.8"	"强"	"115"	"上海南汇县"	"500"	"89.8"	"1.3"	"Ⅱ7F0136"	"6上中-9中下始收"
"101"	"中"	"--"	"S34-48"	"慢红皮"	"矮生"	"褐"	"--"	"紫"	"肾形"	"--"	"大"	"绿"	"--"	"好"	"MAN HONG PI"	"--"	"强"	"5.2"	"0.7"	"扁条"	"V07F0275"	"上海农科院园艺所"	"113"	"1.6"	"强"	"100"	"上海南汇县"	"250"	"82.8"	"1.2"	"Ⅱ7F0124"	"春-夏"
"102"	"--"	"--"	"S34-63"	"早毛豆"	"--"	"黄"	"--"	"--"	"肾形"	"--"	"小"	"绿"	"--"	"差"	"ZAO MAO DOU"	"*"	"强"	"5.0"	"0.6"	"扁条"	"V07F0276"	"上海农科院园艺所"	"90"	"--"	"强"	"75"	"上海南汇县"	"350"	"51.8"	"1.2"	"Ⅱ7F0135"	"4上-7上末收"
"103"	"--"	"--"	"S34-1"	"六月白大豆"	"--"	"黄"	"--"	"--"	"肾形"	"--"	"小"	"绿"	"--"	"好"	"LIU YUE BAI DA DOU"	"*"	"强"	"5.2"	"0.6"	"扁条"	"V07F0297"	"上海农科院园艺所"	"85"	"1.2"	"强"	"70"	"上海上海县"	"500"	"61.8"	"1.1"	"Ⅱ7F0088"	"5中-8中末收"
"104"	"--"	"--"	"S34-43"	"绿皮绿肉"	"--"	"深绿"	"--"	"--"	"圆"	"--"	"大"	"绿"	"--"	"好"	"LU PI LU ROU"	"*"	"强"	"5.0"	"0.9"	"扁条"	"V07F0298"	"上海农科院园艺所"	"130"	"2.0"	"强"	"115"	"上海上海县"	"600"	"93.2"	"1.3"	"Ⅱ7F0119"	"6中-10中始收"
"105"	"--"	"--"	"S34-68"	"羊污豆"	"--"	"黑"	"--"	"--"	"圆"	"--"	"大"	"绿"	"--"	"好"	"YANG WU DOU"	"*"	"强"	"6.1"	"0.9"	"扁条"	"V07F0299"	"上海农科院园艺所"	"115"	"2.3"	"强"	"100"	"上海上海县"	"500"	"100.9"	"1.2"	"Ⅱ7F0138"	"5上中-8中下始收"
"106"	"--"	"--"	"S34-42"	"香黑豆"	"--"	"黑"	"--"	"--"	"圆"	"--"	"大"	"绿"	"--"	"好"	"XIANG HEI DOU"	"*"	"强"	"6.1"	"0.9"	"扁条"	"V07F0300"	"上海农科院园艺所"	"125"	"2.0"	"强"	"110"	"上海上海县"	"500"	"98.8"	"1.4"	"Ⅱ7F0118"	"6上-9下始收"
"107"	"--"	"黑"	"S34-66"	"早早青"	"--"	"白"	"--"	"--"	"圆"	"--"	"大"	"绿"	"--"	"好"	"ZAO ZAO QING"	"*"	"中"	"5.8"	"0.8"	"扁条"	"V07F0301"	"上海农科院园艺所"	"125"	"1.8"	"中"	"110"	"上海上海县"	"600"	"83.3"	"1.2"	"Ⅱ7F0137"	"6中-9下始收"
"108"	"--"	"--"	"S34-62"	"西风黑"	"--"	"黑"	"--"	"--"	"肾形"	"--"	"大"	"绿"	"--"	"好"	"XI FENG HEI"	"*"	"强"	"6.0"	"0.7"	"扁条"	"V07F0315"	"上海农科院园艺所"	"170"	"1.8"	"强"	"150"	"上海松江县"	"500"	"122.4"	"1.4"	"Ⅱ7F0134"	"6-10下始收"
"109"	"晚"	"白"	"S34-54"	"牛踏扁"	"矮生"	"绿"	"--"	"紫"	"肾形"	"--"	"大"	"绿"	"--"	"好"	"NIU TA BIAN"	"--"	"弱"	"6.5"	"0.9"	"扁条"	"V07F0316"	"上海农科院园艺所"	"140"	"2.7"	"弱"	"120"	"上海松江县"	"250"	"103.0"	"1.3"	"Ⅱ7F0127"	"夏-秋"
"110"	"--"	"--"	"S34-87"	"西风生"	"--"	"黑"	"--"	"--"	"肾形"	"--"	"大"	"绿"	"--"	"好"	"XI FENG SHENG"	"*"	"强"	"--"	"--"	"扁条"	"V07F0317"	"上海农科院园艺所"	"170"	"--"	"强"	"150"	"上海松江县"	"500"	"--"	"--"	"Ⅱ7F0156"	"6-10下始收"
"111"	"晚"	"绿"	"S34-51"	"等西风"	"矮生"	"绿"	"--"	"紫"	"肾形"	"--"	"大"	"绿"	"--"	"好"	"DENG XI FENG"	"--"	"强"	"6.4"	"0.8"	"扁条"	"V07F0318"	"上海农科院园艺所"	"140"	"1.8"	"强"	"120"	"上海松江县"	"300"	"98.5"	"1.5"	"Ⅱ7F0126"	"夏-秋"
"112"	"--"	"--"	"S34-73"	"西风豆"	"--"	"深绿"	"--"	"--"	"圆"	"--"	"大"	"绿"	"--"	"好"	"XI FENG DOU"	"*"	"中"	"--"	"--"	"扁条"	"V07F0319"	"上海农科院园艺所"	"--"	"--"	"中"	"150"	"上海松江县"	"--"	"--"	"--"	"Ⅱ7F0143"	"6-10下始收"
"113"	"--"	"--"	"17061"	"五月拔"	"--"	"黄"	"52.5"	"白"	"肾形"	"--"	"--"	"绿"	"--"	"好"	"WU YUE BA"	"*青豆质软,味佳"	"强"	"5.0"	"0.7"	"扁条"	"V07F0325"	"浙江农科院园艺所"	"100"	"--"	"强"	"90"	"浙江杭州市"	"500"	"57.5"	"1.8"	"Ⅱ7F0336"	"3上中-3下4上-6中7上"
"114"	"--"	"--"	"17062"	"六月拔"	"--"	"浅黄"	"55.0"	"白"	"卵圆"	"--"	"--"	"绿"	"--"	"好"	"LIU YUE BA"	"*青豆质软,味佳"	"强"	"5.0"	"0.8"	"扁条"	"V07F0326"	"浙江农科院园艺所"	"110"	"2.0"	"强"	"100"	"浙江杭州市"	"375"	"65.0"	"1.3"	"Ⅱ7F0337"	"4中-7下8下"
"115"	"中"	"--"	"17065"	"七月拔"	"矮生"	"黄"	"45.0"	"紫"	"肾形"	"--"	"--"	"黄"	"--"	"好"	"QI YUE BA"	"--"	"强"	"5.5"	"0.8"	"扁条"	"V07F0327"	"浙江农科院园艺所"	"80"	"6.5"	"强"	"60"	"浙江宁波市"	"2500"	"50.0"	"0.9"	"Ⅱ7F0323"	"4中-5中,7下-8下"
"116"	"早"	"--"	"17066"	"早白香元毛豆"	"矮生"	"浅黄"	"42.5"	"白"	"肾形"	"--"	"--"	"浅绿"	"--"	"好"	"ZAO BAI XIANG YUAN MAO DOU"	"--"	"中"	"6.0"	"0.8"	"扁条"	"V07F0328"	"浙江农科院园艺所"	"150"	"3.5"	"中"	"120"	"浙江平湖县"	"250"	"47.5"	"1.5"	"Ⅱ7F0305"	"4下-8下"
"117"	"--"	"--"	"--"	"乌瑙库"	"半蔓生"	"--"	"--"	"白"	"--"	"--"	"--"	"绿"	"--"	"--"	"WU NAO KU"	"--"	"中"	"--"	"--"	"--"	"V07F0329"	"中国农科院蔬菜所"	"200"	"--"	"强"	"180"	"中蔬引亚蔬中心"	"350"	"80.0"	"--"	"Ⅱ7F0250"	"4下-10下"
