"id"	"统一编号"	"品种名称"	"高程"	"东经"	"北纬"	"原产地"	"保存单位"	"单位编号"	"籼粳"	"早中晚"	"水陆"	"粘糯"	"米色"	"米香"	"芒长"	"粒形状"	"粒长度"	"长宽比"	"颖尖色"	"颖壳色"	"颖毛有无"	"护颖长短"	"颖尖弯直"	"株高"	"出穗期"	"糙米率"	"精米率"	"垩白率"	"蛋白质"	"赖氨酸"	"总淀粉"	"直链淀粉"	"支链淀粉"	"糊化温度"	"胶稠度"	"苗瘟"	"白叶枯"	"纹枯病"	"褐稻虱"	"白背飞虱"	"芽期耐寒"	"苗期耐旱"	"耐盐"	"路径"	"稻区"
"1"	"01-00003"	"宽叶二谷粱"	"54"	"11600"	"3942"	"房山县"	"北京农科院"	"京3"	"粳"	"中"	"水"	"粘"	"白"	"Null"	"无"	"阔卵"	"短"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"	"105"	"8.28"	"79.5"	"71.9"		"10.6"	"0.367"	"75.91"	"26.4"	"57.9"	"6"	"85"	"7"	"1"		"9"					"北京"	"4-1"
"2"	"01-00006"	"大白芒"	"65"	"11613"	"4013"	"北京"	"北京农科院"	"京6"	"粳"	"中"	"水"	"粘"	"白"	"Null"	"长"	"椭圆"	"中"	"Null"	"无"	"秆黄"	"Null"	"Null"	"Null"	"115"	"8.19"	"75.2"	"67.3"		"15.38"	"0.557"	"70.18"	"20.4"	"57.6"	"6"	"39"	"9"	"7"		"9"					"北京"	"4-1"
"3"	"01-00007"	"大粒紫金箍"	"65"	"11613"	"4013"	"北京"	"北京农科院"	"京7"	"粳"	"中"	"水"	"粘"	"白"	"Null"	"短"	"椭圆"	"中"	"Null"	"红褐"	"秆黄"	"Null"	"Null"	"Null"	"111"	"8.15"	"77.4"	"69.3"		"11.87"	"0.43"	"74.54"	"23.6"	"59.2"	"5.8"	"51"	"7"	"9"		"7"					"北京"	"4-1"
"4"	"02-00002"	"三河大白芒"	"22"	"11704"	"3959"	"三河县"	"河北廊坊地区所"	"9"	"粳"	"早"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"138"	"8.6"	"83.4"	"75.1"		"6.88"	"0.265"	"79.76"	"18.8"	"69.8"	"6.8"	"89"								"9"	"河北"	"4-1"
"5"	"02-00004"	"三河羊毛旱稻"	"22"	"11704"	"3959"	"三河县"	"河北廊坊地区所"	"11"	"粳"	"中"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"128"	"8.12"	"81"	"73.1"		"9.01"	"0.351"	"77.74"	"25.4"	"61"	"5"	"92"	"4"	"5"		"7"	"9"	"3"	"5"	"5"	"河北"	"4-1"
"6"	"02-00008"	"安次小红芒"		"11642"	"3930"	"安次县"	"河北廊坊地区所"	"20"	"粳"	"中晚"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"176"	"8.23"	"78.1"	"70.4"		"11.2"	"0.383"	"75.29"	"21.3"	"62.4"	"6"	"53"	"6"	"5"		"9"	"9"	"3"		"9"	"河北"	"4-1"
"7"	"02-00011"	"霸县葡萄红"	"7"	"11623"	"3907"	"霸县"	"河北廊坊地区所"	"25"	"粳"	"中晚"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"中"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"158"	"8.25"	"79.1"	"71.6"		"10.92"	"0.374"	"75.54"	"19.7"	"64.2"	"6"	"56"	"5"	"5"		"9"	"9"	"1"	"5"	"9"	"河北"	"4-1"
"8"	"02-00014"	"霸县大白芒"	"7"	"11623"	"3907"	"霸县"	"河北廊坊地区所"	"338"	"粳"	"晚"	"水"	"粘"	"白"	"无"	"长"	"椭圆"	"中"	"中"	"无"	"秆黄"	"有"	"短"	"直"		"8.24"	"79.9"	"71.8"		"10.11"	"0.387"	"75.65"	"21.6"	"62.5"	"5.8"	"70"	"2"	"5"		"9"	"9"	"1"	"9"	"9"	"河北"	"4-1"
"9"	"02-00017"	"文安小红芒 I"	"7"	"11628"	"3852"	"文安县"	"河北廊坊地区所"	"27"	"粳"	"早"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"120"	"8.1"	"79.2"	"70.9"		"10.67"	"0.409"	"74.78"	"22.8"	"60.3"	"5.7"	"54"	"4"	"7"		"9"	"9"	"1"	"9"	"9"	"河北"	"4-1"
"10"	"02-00021"	"文安旱稻种"	"7"	"11628"	"3852"	"文安县"	"河北廊坊地区所"	"31"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"122"	"8.1"	"80.8"	"73.1"		"8.46"	"0.33"	"78.42"	"23.4"	"63.7"	"5"	"86"	"4"	"7"		"3"	"7"	"3"	"5"	"9"	"河北"	"4-1"
"11"	"02-00023"	"遵化蚊子嘴"	"50"	"11734"	"4100"	"遵化县"	"河北廊坊地区所"	"43"	"粳"	"中"	"陆"	"粘"	"白"	"无"	"短"	"阔卵"	"中"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"127"	"8.12"	"80"	"71.6"		"9.02"	"0.347"	"77"	"21.2"	"64.4"	"5.8"	"59"	"2"	"7"		"9"	"5"	"1"	"9"	"9"	"河北"	"4-1"
"12"	"02-00024"	"遵化旱粳子"	"50"	"11734"	"4100"	"遵化县"	"河北廊坊地区所"	"44"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"短"	"阔卵"	"中"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"126"	"8.7"											"4"	"7"		"9"	"9"	"3"	"9"	"9"	"河北"	"4-1"
"13"	"02-00025"	"迁西本地稻子(红芒)"	"107"	"11818"	"4009"	"迁西县"	"河北廊坊地区所"	"46"	"粳"	"中晚"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"宽"	"红褐"	"秆黄"	"有"	"短"	"直"	"135"	"8.22"	"79.4"	"71"		"10.08"	"0.342"	"76.88"	"19.8"	"65.6"	"6.2"	"47"	"7"	"7"		"7"	"9"		"5"	"9"	"河北"	"4-1"
"14"	"02-00026"	"迁西小红芒"	"107"	"11818"	"4009"	"迁西县"	"河北廊坊地区所"	"47"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"秆黄"	"有"	"短"	"直"	"134"	"8.8"	"80.8"	"72.3"		"9.12"	"0.355"	"78"	"22.6"	"64.1"	"4.6"	"65"	"2"	"5"		"9"	"9"	"3"	"1"	"9"	"河北"	"4-1"
"15"	"02-00027"	"玉田抚宁小白仁"	"14"	"11743"	"3945"	"玉田县"	"河北廊坊地区所"	"48"	"粳"	"极早"	"陆"	"粘"	"白"	"无"	"短"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"129"	"7.31"	"80.3"	"72"		"9.3"	"0.316"	"78.15"	"15.2"	"71.6"	"6"	"80"	"6"	"7"		"7"	"5"		"5"	"9"	"河北"	"4-1"
"16"	"02-00028"	"玉田小白芒"	"14"	"11743"	"3945"	"玉田县"	"河北廊坊地区所"	"49"	"粳"	"中"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"159"	"8.18"	"81"	"72.5"		"8.94"	"0.344"	"77.66"	"22.2"	"64.1"	"5.3"	"72"	"5"	"7"		"9"	"9"		"5"	"9"	"河北"	"4-1"
"17"	"02-00029"	"玉田大白芒"	"14"	"11743"	"3945"	"玉田县"	"河北廊坊地区所"	"51"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"134"	"8.1"	"80.3"	"71.9"		"8.24"	"0.317"	"78.29"	"25.5"	"61.5"	"5"	"88"	"4"	"7"		"9"	"9"	"1"	"5"	"9"	"河北"	"4-1"
"18"	"02-00030"	"玉田旱稻子"	"14"	"11743"	"3945"	"玉田县"	"河北廊坊地区所"	"52"	"粳"	"中"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"秆黄"	"有"	"短"	"直"	"148"	"8.18"	"79.8"	"72.1"		"11.03"	"0.377"	"75.5"	"19.8"	"64.1"	"6"	"51"	"7"	"3"		"9"	"5"		"5"	"9"	"河北"	"4-1"
"19"	"02-00031"	"玉田小红芒"	"14"	"11743"	"3945"	"玉田县"	"河北廊坊地区所"	"53"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"136"	"8.6"	"79.8"	"71.6"		"9.43"	"0.365"	"77.24"	"23.6"	"62.2"	"5.2"	"74"	"3"	"5"		"9"	"9"	"1"	"9"	"9"	"河北"	"4-1"
"20"	"02-00034"	"丰润三百粒"	"30"	"11803"	"3948"	"丰润县"	"河北廊坊地区所"	"56"	"粳"	"中晚"	"陆"	"粘"	"白"	"无"	"短"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"149"	"8.25"	"80.2"	"71.9"		"10.7"	"0.369"	"76.24"	"22.2"	"62.5"	"6"	"51"	"6"	"5"		"9"	"9"	"1"	"9"	"9"	"河北"	"4-1"
"21"	"02-00036"	"丰润旱稻子"	"30"	"11803"	"3948"	"丰润县"	"河北廊坊地区所"	"58"	"粳"	"中"	"陆"	"粘"	"红"	"无"	"中"	"阔卵"	"短"	"中"	"紫褐"	"紫褐"	"有"	"短"	"直"	"160"	"8.18"	"79.3"	"71.8"		"10.51"	"0.406"	"75.89"	"19.8"	"64.5"	"5"	"74"	"4"	"9"		"9"	"3"	"1"	"9"	"9"	"河北"	"4-1"
"22"	"02-00039"	"迁安水糯子"	"53"	"11843"	"4000"	"迁安县"	"河北廊坊地区所"	"61"	"粳"	"早"	"水"	"糯"	"白"	"无"	"短"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"132"	"8.1"	"79.2"	"71.7"		"10.85"	"0.372"	"76.13"	"2.3"	"82.3"	"4.1"	"95"	"6"	"7"		"9"	"3"	"3"	"9"	"9"	"河北"	"4-1"
"23"	"02-00040"	"迁安大白芒"	"53"	"11843"	"4000"	"迁安县"	"河北廊坊地区所"	"62"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"118"	"8.8"	"78.1"	"69.9"		"9.44"	"0.322"	"78.41"	"23.7"	"63.4"	"4.2"	"77"	"5"	"5"		"9"	"9"	"1"	"9"	"5"	"河北"	"4-1"
"24"	"02-00042"	"迁安糯子"	"53"	"11843"	"4000"	"迁安县"	"河北廊坊地区所"	"65"	"粳"	"早"	"陆"	"糯"	"白"	"无"	"短"	"阔卵"	"中"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"142"	"8.9"	"79.3"	"71.5"		"8.43"	"0.28"	"79.6"	"2.2"	"86.2"	"5"	"83"	"8"	"9"		"9"	"5"		"5"	"9"	"河北"	"4-1"
"25"	"02-00044"	"卢龙大白芒"	"47"	"11852"	"3953"	"卢龙县"	"河北廊坊地区所"	"67"	"粳"	"中"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"120"	"8.11"	"80.7"	"72.3"		"8.37"	"0.32"	"77.93"	"25.8"	"60.8"	"5.2"	"90"	"5"	"7"		"9"		"3"	"1"	"9"	"河北"	"4-1"
"26"	"02-00045"	"卢龙小红芒"	"47"	"11852"	"3953"	"卢龙县"	"河北廊坊地区所"	"68"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"148"	"8.6"	"77.9"	"69.8"		"9.48"	"0.323"	"78.14"	"23.7"	"63.1"	"5"	"77"	"3"	"7"		"9"	"9"	"1"	"1"	"9"	"河北"	"4-1"
"27"	"02-00046"	"卢龙小红芒"	"47"	"11852"	"3953"	"卢龙县"	"河北廊坊地区所"	"69"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"宽"	"红褐"	"赤褐"	"有"	"短"	"直"	"139"	"8.6"	"79.2"	"71.7"		"9.46"	"0.324"	"78.28"	"23.3"	"63.7"	"4.1"	"83"	"2"	"7"		"9"		"1"	"9"	"9"	"河北"	"4-1"
"28"	"02-00047"	"卢龙糯子"	"47"	"11852"	"3953"	"卢龙县"	"河北廊坊地区所"	"70"	"粳"	"中"	"陆"	"糯"	"白"	"无"	"无"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"148"	"8.14"	"79"	"70.7"		"7.6"	"0.29"	"79.2"	"2"	"86"	"4.1"	"76"	"5"	"7"		"9"	"9"	"3"	"5"	"9"	"河北"	"4-1"
"29"	"02-00051"	"抚宁小白仁(抚宁旱稻 本地旱稻)"	"20"	"11914"	"3953"	"抚宁县"	"河北廊坊地区所"	"74"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"短"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"125"	"8.1"	"82.6"	"73.9"		"8.62"	"0.329"	"77.69"	"19.6"	"66.7"	"6.3"	"89"	"5"	"7"		"9"	"9"	"3"	"9"	"9"	"河北"	"4-1"
"30"	"02-00052"	"抚宁小白芒"	"20"	"11914"	"3953"	"抚宁县"	"河北廊坊地区所"	"75"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"132"	"8.8"																		"9"	"河北"	"4-1"
"31"	"02-00053"	"抚宁大红芒"	"20"	"11914"	"3953"	"抚宁县"	"河北廊坊地区所"	"76"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"秆黄"	"有"	"短"	"直"	"145"	"8.7"	"79.2"	"70.9"		"7.77"	"0.297"	"78.89"	"25.9"	"61.8"	"5.2"	"93"	"2"	"7"		"9"	"9"	"3"	"9"	"9"	"河北"	"4-1"
"32"	"02-00056"	"抚宁麻壳子"	"20"	"11914"	"3953"	"抚宁县"	"河北廊坊地区所"	"79"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"139"	"8.5"	"77.7"	"70.4"		"9.96"	"0.34"	"77.14"	"23.3"	"62.4"	"5.2"	"67"	"3"	"7"		"9"	"9"	"3"	"9"	"9"	"河北"	"4-1"
"33"	"02-00057"	"抚宁小红芒"	"20"	"11914"	"3953"	"抚宁县"	"河北廊坊地区所"	"80"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"139"	"8.8"	"78.3"	"70.1"		"10.12"	"0.346"	"76.85"	"22.5"	"62.9"	"4.6"	"41"	"6"	"9"		"7"	"5"		"5"	"9"	"河北"	"4-1"
"34"	"02-00058"	"抚宁紫皮粳子"	"20"	"11914"	"3953"	"抚宁县"	"河北廊坊地区所"	"81"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"紫褐"	"紫褐"	"有"	"短"	"直"	"117"	"8.6"											"4"	"7"		"9"	"7"	"7"	"9"	"9"	"河北"	"4-1"
"35"	"02-00062"	"秦皇岛当地旱稻(小白仁)"	"2"	"11936"	"3956"	"秦皇岛市"	"河北廊坊地区所"	"83"	"粳"	"极早"	"陆"	"粘"	"白"	"无"	"短"	"阔卵"	"短"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"124"	"7.31"	"79.8"	"71.5"		"10.35"	"0.352"	"76.54"	"15.1"	"69.9"	"6"	"68"	"5"	"7"		"9"	"9"	"5"	"9"	"9"	"河北"	"4-1"
"36"	"02-00063"	"秦皇岛唐抚 1号"	"2"	"11936"	"3956"	"秦皇岛市"	"河北廊坊地区所"	"84"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"短"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"147"	"8.8"	"79.1"	"70.8"		"9.4"	"0.318"	"77.58"	"11.1"	"75.1"	"4"	"75"	"4"	"5"		"5"	"9"	"7"	"9"	"9"	"河北"	"4-1"
"37"	"02-00064"	"秦皇岛无芒粳子"	"2"	"11936"	"3956"	"秦皇岛市"	"河北廊坊地区所"	"85"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"短"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"137"	"8.7"	"81"	"72.5"		"10.99"	"0.42"	"75.18"	"23.1"	"60.4"	"5"	"53"	"2"	"7"		"9"	"9"	"3"	"1"	"9"	"河北"	"4-1"
"38"	"02-00065"	"秦皇岛大红芒"	"2"	"11936"	"3956"	"秦皇岛市"	"河北廊坊地区所"	"86"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"133"	"8.1"	"80.5"	"72.8"		"9.59"	"0.367"	"76.73"	"24"	"61.3"	"7"	"73"	"4"	"7"		"9"	"9"	"7"	"5"	"9"	"河北"	"4-1"
"39"	"02-00069"	"昌黎小红芒"	"17"	"11909"	"3942"	"昌黎县"	"河北廊坊地区所"	"90"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"118"	"8.4"	"79.8"	"71.4"		"10.03"	"0.342"	"77.36"	"22.1"	"63.9"	"5.3"	"48"	"5"	"9"		"9"	"9"		"1"	"9"	"河北"	"4-1"
"40"	"02-00071"	"昌黎小红芒"	"17"	"11909"	"3942"	"昌黎县"	"河北廊坊地区所"	"346"	"粳"	"Null"	"Null"	"Null"	"白"	"无"	"特长"	"阔卵"	"短"	"中"	"无"	"褐"	"有"	"短"	"直"			"80.3"	"72.1"		"8.56"	"0.33"	"78.53"	"22.7"	"64.6"	"7"	"60"	"4"	"5"		"9"	"9"	"3"	"1"	"9"	"河北"	"4-1"
"41"	"02-00074"	"滦县小红芒(本地稻子)"	"42"	"11841"	"3944"	"滦县"	"河北廊坊地区所"	"93"	"粳"	"中晚"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"中"	"中"	"无"	"秆黄"	"有"	"短"	"直"	"137"	"8.25"	"78.4"	"70.7"		"10.57"	"0.362"	"76.37"	"20.8"	"64.1"	"6"	"56"	"5"	"7"		"9"	"9"	"3"	"1"	"7"	"河北"	"4-1"
"42"	"02-00078"	"唐山朝鲜稻(竹叶青)"	"50"	"11809"	"3942"	"唐山市"	"河北廊坊地区所"	"97"	"粳"	"中"	"水"	"粘"	"白"	"无"	"无"	"阔卵"	"短"	"中"	"红褐"	"秆黄"	"有"	"短"	"直"	"134"	"8.12"	"82.2"	"74.1"		"9.66"	"0.375"	"77.43"	"18.8"	"67.2"	"5"	"80"	"5"	"5"		"7"	"7"	"3"	"1"	"9"	"河北"	"4-1"
"43"	"02-00079"	"韦南红芒稻"	"6"	"11807"	"3933"	"丰南县"	"河北廊坊地区所"	"98"	"粳"	"中晚"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"宽"	"红褐"	"赤褐"	"有"	"短"	"直"	"128"	"8.27"	"81"	"73"		"8.09"	"0.272"	"79.37"	"15.4"	"72.8"	"4"	"80"	"9"	"5"		"7"	"9"		"5"	"9"	"河北"	"4-1"
"44"	"02-00080"	"滦南红芒粳子"	"15"	"11841"	"3930"	"滦南县"	"河北廊坊地区所"	"99"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"秆黄"	"有"	"短"	"直"	"124"	"8.9"															"9"			"9"	"河北"	"4-1"
"45"	"02-00081"	"乐亭小红芒"	"9"	"11854"	"3925"	"乐亭县"	"河北廊坊地区所"	"100"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"中"	"宽"	"红褐"	"秆黄"	"有"	"短"	"直"	"130"	"8.6"	"80"	"71.6"		"9.07"	"0.352"	"77.82"	"25.4"	"61.1"	"6"	"92"	"3"	"9"		"9"	"9"	"3"	"5"	"9"	"河北"	"4-1"
"46"	"02-00083"	"青龙大白芒"	"220"	"11956"	"4025"	"青龙县"	"河北廊坊地区所"	"102"	"粳"	"早"	"水"	"粘"	"白"	"无"	"中"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"121"	"8.2"	"81"	"73.3"		"9.19"	"0.311"	"78.08"	"14.6"	"72.2"	"6"	"77"	"5"	"7"		"9"	"9"	"3"	"5"	"9"	"河北"	"6-3"
"47"	"02-00085"	"青龙旱粳子"	"220"	"11956"	"4025"	"青龙县"	"河北廊坊地区所"	"104"	"粳"	"中"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"138"	"8.11"	"79.6"	"71.3"		"9.65"	"0.333"	"77.86"	"23.2"	"63.3"	"4.5"	"72"	"4"	"7"		"7"			"5"	"9"	"河北"	"6-3"
"48"	"02-00088"	"青龙粳子 1"	"220"	"11956"	"4025"	"青龙县"	"河北廊坊地区所"	"107"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"中"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"143"	"8.2"	"80.9"	"73.2"		"10.37"	"0.359"	"76.63"	"20"	"65.1"	"5.5"	"57"	"5"	"5"		"9"	"9"	"5"	"9"	"9"	"河北"	"6-3"
"49"	"02-00089"	"青龙粳子 2"	"220"	"11956"	"4025"	"青龙县"	"河北廊坊地区所"	"108"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"中"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"132"	"8.1"	"80.7"	"73.2"		"10.39"	"0.402"	"76.31"	"23.2"	"61.6"	"6"	"59"	"5"	"5"		"9"	"9"	"3"	"9"	"9"	"河北"	"6-3"
"50"	"02-00090"	"青龙旱稻"	"220"	"11956"	"4025"	"青龙县"	"河北廊坊地区所"	"109"	"粳"	"极早"	"陆"	"粘"	"白"	"无"	"中"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"117"	"7.3"	"81.3"	"72.8"		"11.25"	"0.429"	"74.19"	"17.1"	"65.3"	"4"	"85"	"4"	"5"		"5"	"9"	"7"	"9"	"9"	"河北"	"6-3"
"51"	"02-00092"	"青龙旱稻 (有芒)"	"220"	"11956"	"4025"	"青龙县"	"河北廊坊地区所"	"111"	"粳"	"极早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"宽"	"无"	"秆黄"	"有"	"短"	"直"	"139"	"7.29"	"80.5"	"72"		"10.23"	"0.352"	"76.9"	"16.9"	"68.5"	"6"	"75"	"5"	"5"		"9"	"7"	"7"	"1"	"9"	"河北"	"6-3"
"52"	"02-00097"	"宽城黄毛稻"	"300"	"11828"	"4033"	"宽城县"	"河北廊坊地区所"	"116"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"128"	"8.4"	"80.6"	"72.1"		"9.05"	"0.352"	"78.04"	"23.6"	"63.1"	"4.8"	"71"	"4"	"7"		"9"	"9"	"7"	"9"	"5"	"河北"	"6-3"
"53"	"02-00098"	"宽城旱稻"	"300"	"11828"	"4033"	"宽城县"	"河北廊坊地区所"	"117"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"长"	"椭圆"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"122"	"8.2"	"80.2"	"72"		"10.05"	"0.388"	"76.7"	"24.4"	"60.8"	"5"	"82"	"4"	"5"		"9"	"9"	"5"	"9"	"9"	"河北"	"6-3"
"54"	"02-00099"	"平泉小粒白"	"492"	"11842"	"4100"	"平泉县"	"河北廊坊地区所"	"118"	"粳"	"极早"	"水"	"粘"	"白"	"无"	"短"	"阔卵"	"中"	"中"	"紫褐"	"紫褐"	"有"	"短"	"直"	"122"	"7.22"	"80.2"	"72.3"		"11.1"	"0.426"	"74.97"	"22.7"	"60.6"	"7"	"32"	"4"	"7"		"9"	"9"	"3"	"9"	"9"	"河北"	"6-3"
"55"	"02-00106"	"承德青森 5号"	"269"	"11756"	"4058"	"承德县"	"河北廊坊地区所"	"125"	"粳"	"极早"	"水"	"粘"	"白"	"无"	"无"	"阔卵"	"短"	"宽"	"红褐"	"秆黄"	"有"	"短"	"直"		"7.19"	"80.7"	"72.7"		"10.54"	"0.362"	"76.2"	"12.5"	"72.2"	"6.8"	"69"	"5"	"7"		"7"	"9"	"3"	"5"	"9"	"河北"	"6-3"
"56"	"02-00111"	"承德京租"	"269"	"11756"	"4058"	"承德县"	"河北廊坊地区所"	"130"	"粳"	"极早"	"水"	"粘"	"白"	"无"	"长"	"阔卵"	"短"	"中"	"无"	"黄"	"有"	"短"	"直"	"130"	"7.23"	"81.7"	"73.5"		"12.28"	"0.466"	"73.07"	"15.5"	"65.7"	"6.9"	"72"	"5"	"5"		"9"	"9"	"3"	"1"	"9"	"河北"	"6-3"
"57"	"02-00112"	"承德黄洋稻子"	"269"	"11756"	"4058"	"承德县"	"河北廊坊地区所"	"131"	"粳"	"极早"	"水"	"粘"	"白"	"无"	"中"	"阔卵"	"短"	"中"	"无"	"黄"	"有"	"短"	"直"	"118"	"7.29"	"80.3"	"72.5"		"9.94"	"0.341"	"77.33"	"17.5"	"68.4"	"5.1"	"55"	"5"	"5"		"9"	"9"	"3"	"1"	"9"	"河北"	"6-3"
"58"	"02-00122"	"兴隆蚊子嘴"	"583"	"11729"	"4024"	"兴隆县"	"河北廊坊地区所"	"141"	"粳"	"早"	"陆"	"粘"	"白"	"无"	"中"	"阔卵"	"中"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"128"	"8.8"	"80"	"72.4"		"10.87"	"0.378"	"76.39"	"20.9"	"64"	"5.3"	"31"	"8"	"9"		"9"	"9"		"5"	"9"	"河北"	"6-3"
"59"	"02-00133"	"隆化毛葫芦"	"555"	"11743"	"4118"	"隆化县"	"河北廊坊地区所"	"152"	"粳"	"极早"	"水"	"粘"	"红"	"无"	"长"	"阔卵"	"中"	"中"	"红褐"	"秆黄"	"有"	"短"	"直"	"106"	"7.25"	"79.8"	"71.8"		"12.75"	"0.489"	"72.98"	"22"	"59.1"	"6"	"54"	"4"	"7"		"7"	"7"	"1"	"9"	"9"	"河北"	"6-3"
"60"	"02-00136"	"隆化大红袍"	"555"	"11743"	"4118"	"隆化县"	"河北廊坊地区所"	"155"	"粳"	"极早"	"水"	"粘"	"白"	"无"	"短"	"阔卵"	"短"	"中"	"红褐"	"赤褐"	"有"	"短"	"直"	"105"	"7.24"	"81"	"72.5"		"10.84"	"0.377"	"75.93"	"20.3"	"64.1"	"5.4"	"51"	"6"	"7"		"5"	"9"		"5"	"9"	"河北"	"6-3"
"61"	"02-00145"	"丰宁粳子"	"660"	"11638"	"4113"	"丰宁县"	"河北廊坊地区所"	"164"	"粳"	"极早"	"陆"	"粘"	"红"	"无"	"中"	"阔卵"	"中"	"中"	"红褐"	"秆黄"	"有"	"短"	"直"	"107"	"7.25"											"5"	"7"		"9"	"7"	"3"	"9"	"9"	"河北"	"6-3"
