"id"	"科名"	"可溶固形物"	"品种名称"	"省"	"原产地"	"可食率"	"外观评价"	"内质评价"	"维生素C"	"种子数"	"风味"	"特异及用途"	"柠檬酸"	"单果重评价"	"果实成熟期"	"肉质"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"粗细"	"总糖"	"果汁"
"228"	"Rutaceae(芸香科)"	"8.50"	"红皮山桔"	"广东"	"广东杨村"	"61.31"	"较差"	"下"	"49.05"	"16.7"	"酸,味淡"	"砧木"	"2.60"	"很小"	"11月下"	"软"	"中早"	"Citrus tangeruna Hort.(红橘)"	"GJLR0327"	"HONG PI SHAN JIE"	"38.0"	"Citrus(柑橘属)"	"橙红"	"较粗"	"5.66"	"37.63"
"229"	"Rutaceae(芸香科)"	"10.80"	"早桔"	"浙江"	"浙江黄岩"	"75.03"	"中"	"中"	"14.47"	"11.2"	"酸甜,味中"	"鲜食"	"0.47"	"小"	"11月上中"	"软"	"中早"	"--"	"GJLR0328"	"ZAO JIE"	"93.3"	"Citrus(柑橘属)"	"浅橙"	"中"	"9.55"	"52.96"
"230"	"Rutaceae(芸香科)"	"8.90"	"新本1号"	"浙江"	"浙江黄岩"	"66.08"	"中"	"上"	"--"	"3.1"	"酸甜,较浓"	"少核,优质,加工"	"0.36"	"小"	"11月下"	"细嫩"	"中"	"--"	"GJLR0329"	"XIN BEN 1 HAO"	"80.0"	"Citrus(柑橘属)"	"浅橙"	"中"	"6.76"	"33.30"
"231"	"Rutaceae(芸香科)"	"10.00"	"诺瓦桔(美No:1)"	"国外"	"美国"	"70.49"	"好"	"中上"	"28.70"	"23.8"	"酸甜,味浓,微香"	"鲜食"	"1.37"	"中小"	"11月下-12月上"	"脆嫩"	"中"	"--"	"GJLR0330"	"NUO WA JIE (MEI No:1)"	"115.0"	"Citrus(柑橘属)"	"深橙"	"细"	"8.22"	"56.31"
"232"	"Rutaceae(芸香科)"	"9.40"	"金诺桔(美No:2)"	"国外"	"美国"	"65.84"	"好"	"中上"	"27.66"	"21.5"	"酸甜,味浓,微香"	"鲜食"	"1.47"	"小"	"11月下-12月上"	"细嫩"	"中"	"--"	"GJLR0331"	"JIN NUO JIE (MEI No:2)"	"90.0"	"Citrus(柑橘属)"	"深橙"	"细"	"7.48"	"35.25"
"233"	"Rutaceae(芸香科)"	"9.50"	"恩科尔桔"	"国外"	"美国"	"75.67"	"较好"	"中上"	"23.28"	"5.2"	"酸甜,味中"	"--"	"1.56"	"中小"	"12月上"	"细软"	"中"	"--"	"GJLR0332"	"EN KE ER JIE"	"122.5"	"Citrus(柑橘属)"	"浅橙"	"中"	"7.34"	"50.36"
"234"	"Rutaceae(芸香科)"	"9.00"	"默科尔桔"	"国外"	"美国"	"82.20"	"较好"	"中"	"23.76"	"11.5"	"酸甜"	"--"	"1.79"	"中小"	"12月上"	"较粗"	"中"	"--"	"GJLR0333"	"MO KE ER JIE"	"107.5"	"Citrus(柑橘属)"	"深橙"	"细"	"6.70"	"55.20"
"235"	"Rutaceae(芸香科)"	"10.20"	"丹西红桔"	"国外"	"墨西哥"	"76.10"	"较好"	"中"	"35.45"	"11.5"	"酸甜,较浓"	"--"	"1.61"	"小"	"11月下"	"较嫩"	"中"	"Citrus tangeruna Hort.(红橘)"	"GJLR0334"	"DAN XI HONG JIE"	"72.0"	"Citrus(柑橘属)"	"深橙"	"细"	"8.43"	"55.30"
"236"	"Rutaceae(芸香科)"	"11.10"	"鲁宾逊红桔"	"国外"	"墨西哥"	"66.07"	"中"	"中上"	"32.66"	"10.7"	"甜,较浓"	"--"	"0.85"	"小"	"11月中下"	"粗脆"	"中"	"Citrus tangeruna Hort.(红橘)"	"GJLR0335"	"LU BIN XUN HONG JIE"	"58.9"	"Citrus(柑橘属)"	"深橙"	"较细"	"8.50"	"23.72"
"237"	"Rutaceae(芸香科)"	"9.00"	"温州1-2-1"	"四川"	"四川重庆"	"65.79"	"中"	"中"	"28.87"	"--"	"酸甜,味中"	"--"	"0.58"	"中小"	"11月中下"	"柔软"	"中"	"Citrus unshiu Marc.(温州蜜橘)"	"GJLR0336"	"WEN ZHOU 1-2-1"	"143.2"	"Citrus(柑橘属)"	"橙"	"较粗"	"7.52"	"48.23"
"238"	"Rutaceae(芸香科)"	"9.00"	"温州1-2-3"	"四川"	"四川重庆"	"72.29"	"中"	"中"	"30.63"	"--"	"酸甜,味中"	"--"	"0.57"	"中小"	"11月中下"	"柔软"	"中"	"Citrus unshiu Marc.(温州蜜橘)"	"GJLR0337"	"WEN ZHOU 1-2-3"	"143.9"	"Citrus(柑橘属)"	"浅橙"	"较粗"	"8.13"	"48.93"
"239"	"Rutaceae(芸香科)"	"9.50"	"明尼奥拉桔柚"	"国外"	"美国"	"72.96"	"较好"	"中上"	"22.85"	"5.5"	"酸甜,味浓,微香"	"耐贮,鲜食"	"1.48"	"中小"	"12月上中"	"柔软"	"中"	"--"	"GJLR0338"	"MING NI AO LA JIE YOU"	"149.0"	"Citrus(柑橘属)"	"深红"	"较粗"	"7.50"	"55.07"
"240"	"Rutaceae(芸香科)"	"9.80"	"早黄本地早(实生)"	"浙江"	"浙江黄岩"	"62.19"	"中"	"中上"	"23.40"	"9.5"	"甜,味淡"	"早熟,鲜食"	"0.50"	"中小"	"10月中下"	"脆嫩"	"早"	"--"	"GJLR0339"	"ZAO HUANG BEN DI ZAO (SHI SHEN"	"103.4"	"Citrus(柑橘属)"	"浅橙"	"较粗"	"8.02"	"46.53"
"241"	"Rutaceae(芸香科)"	"10.30"	"甜桔"	"四川"	"四川江津"	"54.55"	"较差"	"中下"	"21.27"	"13.3"	"酸甜,味中"	"鲜食"	"0.73"	"很小"	"11月下"	"较嫩"	"中"	"--"	"GJLR0340"	"TIAN JIE"	"38.0"	"Citrus(柑橘属)"	"浅橙"	"中"	"7.63"	"34.58"
"242"	"Rutaceae(芸香科)"	"9.70"	"十月桔"	"浙江"	"浙江黄岩"	"64.83"	"较差"	"中"	"29.27"	"13.6"	"酸甜,较浓"	"鲜食"	"0.65"	"很小"	"12月上中"	"较细"	"中"	"--"	"GJLR0341"	"SHI YUE JIE"	"43.0"	"Citrus(柑橘属)"	"浅橙"	"较粗"	"8.83"	"46.52"
"243"	"Rutaceae(芸香科)"	"10.90"	"碰柑(江津)"	"四川"	"四川江津"	"73.24"	"较好"	"中上"	"30.29"	"14.0"	"酸甜,较浓,微香"	"鲜食"	"0.64"	"中小"	"12月上中"	"脆嫩"	"中"	"Citrus reticulata(碰柑)"	"GJLR0342"	"PENG GAN (JIANG JIN )"	"139.5"	"Citrus(柑橘属)"	"橙"	"较细"	"7.71"	"51.29"
