"id"	"蚜害病评价"	"异亮氨酸"	"酩氨酸"	"样品类型"	"花色"	"单荚粒数"	"全生育日数"	"叶斑病级"	"支链淀粉"	"总淀粉"	"丙氨酸"	"锈病指数"	"译名"	"叶斑病指数"	"荚色"	"单株产量"	"粒色"	"色氨酸"	"苏氨酸"	"属名"	"粗脂肪"	"胱氨酸"	"丝氨酸"	"赖氨酸"	"甘氨酸"	"天冬氨酸"	"蛋氨酸"	"谷氨酸"	"分枝数"	"百粒重"	"叶斑病评价"	"熟期抗旱"	"粒形"	"成熟期"	"粗蛋白"	"直链淀粉"	"省"	"组氨酸"	"库编号"	"品种名称"	"锈病严重度"	"脐环色"	"保存编号"	"学名"	"锈病普遍率"	"备注"	"播种期"	"种子来源"	"原产地"	"脯氨酸"	"株高"	"芽期抗旱"	"单株荚数"	"保存单位"	"芽期耐盐"	"缬氨酸"	"统一编号"	"锈病评价"	"蚜害病级"	"苯丙氨酸"	"结荚习性"	"亮氨酸"	"荚长"	"总和"	"生长习性"	"精氨酸"	"科名"	"苗期耐盐"
"871"	"--"	"--"	"--"	"地方"	"紫"	"7.7"	"115"	"--"	"--"	"--"	"--"	"--"	"JIANG DOU"	"--"	"--"	"25.4"	"橙"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"15.8"	"--"	"--"	"肾形"	"9.08"	"--"	"--"	"山西"	"--"	"--"	"豇豆"	"--"	"--"	"653"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.16"	"--"	"隰县"	"--"	"82.0"	"--"	"21.0"	"山西省农科院品资所"	"--"	"--"	"I0002053"	"--"	"--"	"--"	"无限"	"--"	"14.3"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"872"	"--"	"--"	"--"	"地方"	"紫"	"8.6"	"115"	"--"	"--"	"--"	"--"	"--"	"JIANG DOU"	"--"	"--"	"32.9"	"橙"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"15.8"	"--"	"--"	"肾形"	"9.08"	"--"	"--"	"山西"	"--"	"I2C02287"	"豇豆"	"--"	"--"	"654"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.19"	"--"	"隰县"	"--"	"100.0"	"--"	"27.8"	"山西省农科院品资所"	"--"	"--"	"I0002054"	"--"	"--"	"--"	"无限"	"--"	"14.3"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"--"
"873"	"--"	"--"	"--"	"地方"	"紫"	"8.4"	"115"	"--"	"--"	"--"	"--"	"--"	"JIANG DOU"	"--"	"--"	"36.7"	"红紫"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"26.7"	"--"	"--"	"肾形"	"9.08"	"--"	"--"	"山西"	"--"	"--"	"豇豆"	"--"	"--"	"637"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.16"	"--"	"昔阳县"	"--"	"142.0"	"--"	"16.4"	"山西省农科院品资所"	"--"	"--"	"I0002055"	"--"	"--"	"--"	"无限"	"--"	"13.3"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"874"	"--"	"--"	"--"	"地方"	"紫"	"8.5"	"107"	"--"	"--"	"--"	"--"	"--"	"JIANG DOU"	"--"	"浅红"	"130.5"	"红紫"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"4.2"	"15.2"	"--"	"--"	"肾形"	"9.30"	"--"	"--"	"山西"	"--"	"I2C01744"	"豇豆"	"--"	"--"	"80-275"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.19"	"--"	"中阳县"	"--"	"101.0"	"--"	"101.0"	"山西省农科院品资所"	"--"	"--"	"I0002056"	"--"	"--"	"--"	"无限"	"--"	"11.5"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"875"	"--"	"--"	"--"	"地方"	"紫"	"8.9"	"115"	"--"	"--"	"--"	"--"	"--"	"HONG JIANG DOU"	"--"	"--"	"16.8"	"红白双色"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"15.9"	"--"	"--"	"肾形"	"9.08"	"--"	"--"	"山西"	"--"	"I2C01745"	"红豇豆"	"--"	"--"	"610"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.16"	"--"	"阳曲县"	"--"	"150.0"	"--"	"11.8"	"山西省农科院品资所"	"--"	"--"	"I0002057"	"--"	"--"	"--"	"无限"	"--"	"15.0"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"--"
"876"	"--"	"--"	"--"	"地方"	"紫"	"8.2"	"118"	"--"	"--"	"--"	"--"	"--"	"BAI JIANG DOU"	"--"	"黄白"	"17.2"	"红白双色"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"3.3"	"19.2"	"--"	"--"	"肾形"	"9.14"	"--"	"--"	"山西"	"--"	"I2C02258"	"白豇豆"	"--"	"黑环"	"80-248"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.19"	"--"	"平定县"	"--"	"99.0"	"--"	"10.9"	"山西省农科院品资所"	"--"	"--"	"I0002058"	"--"	"--"	"--"	"无限"	"--"	"11.1"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"877"	"--"	"--"	"--"	"地方"	"白"	"10.8"	"115"	"--"	"--"	"--"	"--"	"--"	"HONG JIANG DOU"	"--"	"--"	"27.1"	"红白双色"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"13.7"	"--"	"--"	"肾形"	"9.08"	"--"	"--"	"山西"	"--"	"--"	"红豇豆"	"--"	"--"	"628"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.16"	"--"	"汾阳县"	"--"	"86.0"	"--"	"18.0"	"山西省农科院品资所"	"--"	"--"	"I0002059"	"--"	"--"	"--"	"无限"	"--"	"13.9"	"--"	"蔓生"	"--"	"Leguminosae(豆科)"	"--"
"878"	"--"	"--"	"--"	"地方"	"紫"	"10.4"	"107"	"--"	"--"	"--"	"--"	"--"	"MAO HOU JIANG DOU"	"--"	"黄白"	"27.9"	"红白双色"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"6.1"	"13.4"	"--"	"--"	"肾形"	"9.30"	"--"	"--"	"山西"	"--"	"I2C01746"	"毛猴豇豆"	"--"	"黑环"	"80-273"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.19"	"--"	"汾阳县"	"--"	"104.0"	"--"	"20.0"	"山西省农科院品资所"	"--"	"--"	"I0002060"	"--"	"--"	"--"	"无限"	"--"	"12.7"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"879"	"--"	"--"	"--"	"地方"	"紫"	"9.5"	"98"	"--"	"--"	"--"	"--"	"--"	"HONG JIANG DOU"	"--"	"黄白"	"23.8"	"橙底褐花"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.4"	"12.7"	"--"	"--"	"肾形"	"8.25"	"--"	"--"	"山西"	"--"	"I2C02279"	"红豇豆"	"--"	"黑环"	"80-226"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.19"	"--"	"河曲县"	"--"	"136.0"	"--"	"19.8"	"山西省农科院品资所"	"--"	"--"	"I0002061"	"--"	"--"	"--"	"无限"	"--"	"11.8"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
"880"	"--"	"--"	"--"	"地方"	"紫"	"8.9"	"98"	"--"	"--"	"--"	"--"	"--"	"HONG JIANG DOU"	"--"	"黄白"	"14.0"	"橙底褐花"	"--"	"--"	"Vigna(豇豆属)"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"2.3"	"14.2"	"--"	"--"	"肾形"	"8.25"	"--"	"--"	"山西"	"--"	"I2C01747"	"红豇豆"	"--"	"黑环"	"80-228"	"Vigna unguiculata (L.) Walp.(豇豆)"	"--"	"--"	"5.19"	"--"	"河曲县"	"--"	"110.0"	"--"	"11.1"	"山西省农科院品资所"	"--"	"--"	"I0002062"	"--"	"--"	"--"	"无限"	"--"	"11.5"	"--"	"半蔓生"	"--"	"Leguminosae(豆科)"	"--"
