"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"选育单位"	"播种期"	"缬氨酸"	"结荚习性"	"精氨酸"	"苏氨酸"	"丙氨酸"	"单株产量"	"总和"	"苗期耐盐"	"天冬氨酸"	"异亮氨酸"	"锈病普遍率"	"省"	"直链淀粉"	"脂肪"	"组氨酸"	"芽期抗寒"	"分枝数"	"区"	"全生育日数"	"叶斑病级"	"总淀粉"	"东经"	"色氨酸"	"百粒重"	"属名"	"统一编号"	"芽期抗旱"	"学名"	"粒形"	"苯丙氨酸"	"熟期抗旱"	"支链淀粉"	"花色"	"成熟期"	"蛋白质"	"北纬"	"亮氨酸"	"库编号"	"锈病抗性"	"生长习性"	"保存单位"	"原产地"	"备注"	"蚜害指数"	"甘氨酸"	"单荚粒数"	"蚜害病评价"	"胱氨酸"	"样品类型"	"芽期耐盐"	"单株荚数"	"粒色"	"锈病严重度"	"育成年份"	"酩氨酸"	"脯氨酸"	"叶斑病指数"	"荚长"	"赖氨酸"	"丝氨酸"	"译名"	"蚜害病级别"	"花期抗寒"	"高程"	"荚色"	"蚜害比值"	"种子来源"	"株高"	"叶斑病评价"	"锈病指数"	"主茎节数"	"酪氨酸"	"抗旱级别"	"爆裂率"	"谷锈严重度"	"粗蛋白"	"单位编号"	"白发病病率"	"VE"	"米色"	"VB2"	"白发病抗性"	"线虫病指"	"脂肪酸183"	"抽穗日数"	"一株茎数"	"粟芒蝇评价"	"主茎长度"	"粗脂肪"	"抗旱性"	"主茎直径"	"硒"	"蝇被害株率"	"蝇抗性级别"	"单株粒重"	"脂肪酸160"	"粳糯性"
"667"	"--"	"Leguminosae(豆科)"	"1248"	"白小豆"	"--"	"--"	"6.16"	"--"	"无限"	"--"	"--"	"--"	"24.9"	"--"	"--"	"--"	"--"	"90"	"河南"	"13.22"	"--"	"--"	"3"	"7.2"	"中部"	"111"	"7"	"54.20"	"11205"	"--"	"6.3"	"Vigna(豇豆属)"	"B0002872"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"长圆柱"	"--"	"--"	"--"	"黄"	"10.05"	"22.84"	"3408"	"--"	"I2F02283"	"HS"	"蔓生"	"河南农科院粮作所"	"嵩县"	"--"	"--"	"--"	"8.8"	"S"	"--"	"地方"	"--"	"45.0"	"黄"	"60"	"--"	"--"	"--"	"82.2"	"8.0"	"--"	"--"	"BAI XIAO DOU"	"7"	"--"	"340"	"黄白"	"--"	"--"	"86.0"	"HS"	"54"																											
"668"	"--"	"Leguminosae(豆科)"	"1391"	"黄白小豆"	"--"	"--"	"6.17"	"--"	"无限"	"--"	"--"	"--"	"46.7"	"--"	"--"	"--"	"--"	"--"	"河南"	"--"	"--"	"--"	"--"	"7.5"	"中部"	"112"	"--"	"--"	"11111"	"--"	"6.5"	"Vigna(豇豆属)"	"B0002882"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"--"	"--"	"黄"	"10.07"	"--"	"3446"	"--"	"I2F02291"	"--"	"蔓生"	"河南农科院粮作所"	"陕县"	"--"	"--"	"--"	"9.3"	"--"	"--"	"地方"	"--"	"77.3"	"白"	"--"	"--"	"--"	"--"	"--"	"7.7"	"--"	"--"	"HUANG BAI XIAO DOU"	"--"	"--"	"397"	"黄白"	"--"	"--"	"83.0"	"--"	"--"																											
"669"	"--"	"Leguminosae(豆科)"	"1152"	"黄小豆"	"--"	"--"	"6.16"	"--"	"无限"	"--"	"--"	"--"	"25.1"	"--"	"--"	"--"	"--"	"100"	"河南"	"14.27"	"--"	"--"	"5"	"4.6"	"中部"	"104"	"7-9"	"51.70"	"11343"	"--"	"9.0"	"Vigna(豇豆属)"	"B0002886"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"长圆柱"	"--"	"--"	"--"	"黄"	"9.28"	"23.26"	"3429"	"--"	"I2F02295"	"HS"	"半蔓生"	"河南农科院粮作所"	"新郑县"	"--"	"--"	"--"	"9.0"	"HS"	"--"	"地方"	"--"	"31.0"	"杏黄"	"60"	"--"	"--"	"--"	"88.9"	"7.9"	"--"	"--"	"HUANG XIAO DOU"	"9"	"--"	"117"	"黄白"	"--"	"--"	"69.4"	"HS"	"60"																											
"670"	"--"	"Leguminosae(豆科)"	"1412"	"黄小豆"	"--"	"--"	"6.17"	"--"	"无限"	"--"	"--"	"--"	"34.3"	"--"	"--"	"--"	"--"	"100"	"河南"	"13.08"	"--"	"--"	"4"	"8.4"	"中部"	"103"	"7"	"53.50"	"11412"	"--"	"6.1"	"Vigna(豇豆属)"	"B0002898"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"--"	"--"	"黄"	"9.28"	"20.44"	"3536"	"--"	"I2F02302"	"HS"	"蔓生"	"河南农科院粮作所"	"淇县"	"--"	"--"	"--"	"8.2"	"HS"	"--"	"地方"	"--"	"68.6"	"黄"	"100"	"--"	"--"	"--"	"75.6"	"7.8"	"--"	"--"	"HUANG XIAO DOU"	"9"	"--"	"70"	"黄白"	"--"	"--"	"78.0"	"S"	"100"																											
"671"	"--"	"Leguminosae(豆科)"	"1412"	"黄小豆"	"--"	"--"	"6.17"	"--"	"无限"	"--"	"--"	"--"	"34.3"	"--"	"--"	"--"	"--"	"100"	"河南"	"13.08"	"--"	"--"	"4"	"8.4"	"中部"	"103"	"7"	"53.50"	"11412"	"--"	"6.1"	"Vigna(豇豆属)"	"B0002898"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"--"	"--"	"黄"	"9.28"	"20.44"	"3536"	"--"	"I2F02302"	"HS"	"蔓生"	"河南农科院粮作所"	"淇县"	"--"	"--"	"--"	"8.2"	"HS"	"--"	"地方"	"--"	"68.6"	"黄"	"100"	"--"	"--"	"--"	"75.6"	"7.8"	"--"	"--"	"HUANG XIAO DOU"	"9"	"--"	"70"	"黄白"	"--"	"--"	"78.0"	"S"	"100"																											
"672"	"--"	"Leguminosae(豆科)"	"1324"	"绿小豆"	"--"	"--"	"6.17"	"--"	"无限"	"--"	"--"	"--"	"31.3"	"--"	"--"	"--"	"--"	"90"	"河南"	"14.49"	"--"	"--"	"4"	"8.2"	"中部"	"105"	"9"	"52.16"	"11228"	"--"	"6.0"	"Vigna(豇豆属)"	"B0002903"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"--"	"--"	"黄"	"9.30"	"21.86"	"3409"	"--"	"I2F02340"	"HS"	"蔓生"	"河南农科院粮作所"	"汝阳县"	"--"	"--"	"--"	"8.8"	"HS"	"--"	"地方"	"--"	"59.2"	"绿"	"60"	"--"	"--"	"--"	"93.3"	"6.1"	"--"	"--"	"LU XIAO DOU"	"9"	"--"	"306"	"黄白"	"--"	"--"	"94.6"	"HS"	"54"																											
"673"	"--"	"Leguminosae(豆科)"	"1395"	"绿小豆"	"--"	"--"	"6.17"	"--"	"无限"	"--"	"--"	"--"	"29.5"	"--"	"--"	"--"	"--"	"100"	"河南"	"14.31"	"--"	"--"	"4"	"6.0"	"中部"	"111"	"7-9"	"52.92"	"11111"	"--"	"6.8"	"Vigna(豇豆属)"	"B0002909"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"--"	"--"	"黄"	"10.06"	"22.28"	"3446"	"--"	"I2F02311"	"HS"	"蔓生"	"河南农科院粮作所"	"陕县"	"--"	"--"	"--"	"7.9"	"HS"	"--"	"地方"	"--"	"55.0"	"绿"	"100"	"--"	"--"	"--"	"91.1"	"7.7"	"--"	"--"	"LU XIAO DOU"	"9"	"--"	"397"	"黑"	"--"	"--"	"81.0"	"HS"	"100"																											
"674"	"--"	"Leguminosae(豆科)"	"1153"	"狸小豆"	"--"	"--"	"6.16"	"--"	"无限"	"--"	"--"	"--"	"37.6"	"--"	"--"	"--"	"--"	"100"	"河南"	"12.79"	"--"	"--"	"5"	"5.8"	"中部"	"101"	"7"	"51.66"	"11323"	"--"	"4.8"	"Vigna(豇豆属)"	"B0002916"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"长圆柱"	"--"	"--"	"--"	"黄"	"9.25"	"21.56"	"3432"	"--"	"I2F02316"	"HS"	"蔓生"	"河南农科院粮作所"	"密县"	"--"	"--"	"--"	"9.5"	"S"	"--"	"地方"	"--"	"82.4"	"麻"	"100"	"--"	"--"	"--"	"82.2"	"7.7"	"--"	"--"	"LI XIAO DOU"	"7"	"--"	"400"	"黄白"	"--"	"--"	"89.0"	"HS"	"100"																											
"675"	"--"	"Leguminosae(豆科)"	"1344"	"黑小豆"	"--"	"--"	"6.17"	"--"	"无限"	"--"	"--"	"--"	"30.0"	"--"	"--"	"--"	"--"	"60"	"河南"	"13.63"	"--"	"--"	"3"	"6.2"	"中部"	"112"	"7"	"50.20"	"11228"	"--"	"6.1"	"Vigna(豇豆属)"	"B0002930"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"长圆柱"	"--"	"--"	"--"	"黄"	"10.07"	"23.24"	"3409"	"--"	"I2F02320"	"S"	"蔓生"	"河南农科院粮作所"	"汝阳县"	"--"	"--"	"--"	"9.8"	"HS"	"--"	"地方"	"--"	"50.2"	"黑"	"40"	"--"	"--"	"--"	"75.6"	"8.5"	"--"	"--"	"HEI XIAO DOU"	"9"	"--"	"306"	"黄白"	"--"	"--"	"86.2"	"S"	"24"																											
"676"	"--"	"Leguminosae(豆科)"	"00177"	"红小豆"	"--"	"--"	"6.06"	"--"	"有限"	"--"	"--"	"--"	"26.7"	"--"	"--"	"--"	"--"	"--"	"湖北"	"--"	"--"	"--"	"--"	"4.8"	"中部"	"133"	"--"	"--"	"11111"	"--"	"8.6"	"Vigna(豇豆属)"	"B0002954"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"--"	"--"	"黄"	"10.17"	"--"	"3028"	"--"	"I2F03298"	"--"	"直立"	"湖北农科院现代化所"	"长阳县"	"--"	"--"	"--"	"6.6"	"--"	"--"	"地方"	"--"	"47.1"	"红"	"--"	"--"	"--"	"--"	"--"	"7.0"	"--"	"--"	"HONG XIAO DOU"	"--"	"--"	"83"	"黄白"	"--"	"--"	"78.1"	"--"	"--"																											
"677"	"--"	"Leguminosae(豆科)"	"00122"	"圆形小豆"	"--"	"--"	"6.06"	"--"	"有限"	"--"	"--"	"--"	"25.2"	"--"	"--"	"--"	"--"	"--"	"湖北"	"--"	"--"	"--"	"--"	"5.3"	"中部"	"134"	"--"	"--"	"10928"	"--"	"9.7"	"Vigna(豇豆属)"	"B0002957"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"--"	"--"	"黄"	"10.18"	"--"	"3017"	"--"	"I2F03299"	"--"	"直立"	"湖北农科院现代化所"	"恩施市"	"--"	"--"	"--"	"6.9"	"--"	"--"	"地方"	"--"	"37.6"	"红"	"--"	"--"	"--"	"--"	"--"	"7.2"	"--"	"--"	"YUAN XING XIAO DOU"	"--"	"--"	"420"	"黄白"	"--"	"--"	"84.3"	"--"	"--"																											
"678"	"--"	"Leguminosae(豆科)"	"00181"	"圆形小豆"	"--"	"--"	"6.06"	"--"	"有限"	"--"	"--"	"--"	"20.5"	"--"	"--"	"--"	"--"	"--"	"湖北"	"--"	"--"	"--"	"--"	"4.8"	"中部"	"113"	"--"	"--"	"10938"	"--"	"8.2"	"Vigna(豇豆属)"	"B0002958"	"--"	"Vigna angularis (Willd)Ohwi&Ohashi(小豆)"	"短圆柱"	"--"	"--"	"--"	"黄"	"9.27"	"--"	"3036"	"--"	"I2F03300"	"--"	"直立"	"湖北农科院现代化所"	"建始县"	"--"	"--"	"--"	"6.8"	"--"	"--"	"地方"	"--"	"36.7"	"红"	"--"	"--"	"--"	"--"	"--"	"6.9"	"--"	"--"	"YUAN XING XIAO DOU"	"--"	"--"	"545"	"黄白"	"--"	"--"	"78.0"	"--"	"--"																											
