"id"	"科名"	"保存编号"	"品种名称"	"类型"	"省"	"生育日数"	"分枝数"	"出油率"	"生理成熟期"	"开花期"	"播种期"	"学名"	"统一编号"	"出苗期"	"出麻率"	"属名"	"抗逆性"	"种子发芽"	"干茎产量"	"种皮色"	"工艺长度"	"单株朔果数"	"单株生产力"	"库编号"	"纤维产量"	"保存单位"	"原产地"	"种子来源"	"花色"	"品种代号"	"纤维强度"	"备注"	"原茎产量"	"抗病性"	"纤维号"	"千粒重"	"分茎数"	"译名"	"抗倒伏性"	"抗旱性"	"工艺成熟期"	"株高"	"种子产量"
"1241"	"Linaceae(亚麻科)"	"210"	"SEIREK"	"油用"	"国外"	"103"	"5.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001810"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"39.0"	"25.20"	"--"	"I3B00758"	"--"	"河北坝上农科所"	"RUSSIA"	"美国"	"兰"	"2256"	"--"	"--"	"--"	"抗"	"--"	"6.70"	"--"	"SEIREK"	"--"	"--"	"--"	"50.0"	"--"
"1242"	"Linaceae(亚麻科)"	"211"	"STEPNOI"	"油用"	"国外"	"103"	"4.75"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001811"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"38.0"	"25.50"	"--"	"I3B00759"	"--"	"河北坝上农科所"	"RUSSIA"	"美国"	"兰"	"2258"	"--"	"--"	"--"	"感"	"--"	"6.87"	"--"	"STEPNOI"	"--"	"--"	"--"	"41.0"	"--"
"1243"	"Linaceae(亚麻科)"	"212"	"SWETOTSCH"	"油用"	"国外"	"98"	"5.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001812"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"32.0"	"13.40"	"--"	"I3B00760"	"--"	"河北坝上农科所"	"RUSSIA"	"美国"	"兰"	"2259"	"--"	"--"	"--"	"感"	"--"	"5.64"	"1.4"	"SWETOTSCH"	"--"	"--"	"--"	"45.0"	"--"
"1244"	"Linaceae(亚麻科)"	"213"	"ZARSKI"	"油用"	"国外"	"83"	"3.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001813"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"23.0"	"18.90"	"--"	"I3B00761"	"--"	"河北坝上农科所"	"RUSSIA"	"美国"	"兰"	"2260"	"--"	"--"	"--"	"感"	"--"	"5.67"	"1.2"	"ZARSKI"	"--"	"--"	"--"	"37.0"	"--"
"1245"	"Linaceae(亚麻科)"	"214"	"CHISSAISKI"	"油用"	"国外"	"85"	"4.20"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001814"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"24.0"	"27.70"	"--"	"I3B00762"	"--"	"河北坝上农科所"	"RUSSIA"	"美国"	"兰"	"2261"	"--"	"--"	"--"	"抗"	"--"	"5.20"	"1.6"	"CHISSAISKI"	"--"	"--"	"--"	"40.0"	"--"
"1246"	"Linaceae(亚麻科)"	"215"	"P.I.260267"	"油用"	"国外"	"95"	"3.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001815"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"31.0"	"26.70"	"--"	"I3B00763"	"--"	"河北坝上农科所"	"ETHIOPIA"	"美国"	"兰"	"2263"	"--"	"--"	"--"	"高抗"	"--"	"5.40"	"1.0"	"P.I.260267"	"--"	"--"	"--"	"51.0"	"--"
"1247"	"Linaceae(亚麻科)"	"216"	"5648-C"	"油用"	"国外"	"95"	"3.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001816"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"41.0"	"17.40"	"--"	"I3B00764"	"--"	"河北坝上农科所"	"OTTAWA"	"美国"	"兰"	"2264"	"--"	"--"	"--"	"抗"	"--"	"5.47"	"1.6"	"5648-C"	"--"	"--"	"--"	"50.0"	"--"
"1248"	"Linaceae(亚麻科)"	"217"	"262522"	"油用"	"国外"	"85"	"3.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001817"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"34.0"	"29.50"	"--"	"I3B00765"	"--"	"河北坝上农科所"	"ISRAEL"	"美国"	"兰"	"2265-1"	"--"	"--"	"--"	"感"	"--"	"5.95"	"1.0"	"262522"	"--"	"--"	"--"	"51.0"	"--"
"1249"	"Linaceae(亚麻科)"	"218"	"262523"	"油用"	"国外"	"81"	"2.50"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001818"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"20.0"	"23.40"	"--"	"I3B00766"	"--"	"河北坝上农科所"	"ISRAEL"	"美国"	"兰"	"2266"	"--"	"--"	"--"	"抗"	"--"	"5.66"	"1.1"	"262523"	"--"	"--"	"--"	"47.0"	"--"
"1250"	"Linaceae(亚麻科)"	"219"	"252525"	"油用"	"国外"	"79"	"3.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00001819"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"淡褐"	"27.0"	"16.00"	"--"	"I3B00767"	"--"	"河北坝上农科所"	"ISRAEL"	"美国"	"兰"	"2267"	"--"	"--"	"--"	"高感"	"--"	"5.89"	"0.8"	"252525"	"--"	"--"	"--"	"42.0"	"--"
