"id"	"科名"	"保存编号"	"品种名称"	"类型"	"省"	"生育日数"	"分枝数"	"出油率"	"生理成熟期"	"开花期"	"播种期"	"学名"	"统一编号"	"出苗期"	"出麻率"	"属名"	"抗逆性"	"种子发芽"	"干茎产量"	"种皮色"	"工艺长度"	"单株朔果数"	"单株生产力"	"库编号"	"纤维产量"	"保存单位"	"原产地"	"种子来源"	"花色"	"品种代号"	"纤维强度"	"备注"	"原茎产量"	"抗病性"	"纤维号"	"千粒重"	"分茎数"	"译名"	"抗倒伏性"	"抗旱性"	"工艺成熟期"	"株高"	"种子产量"
"1"	"Linaceae(亚麻科)"	"001"	"和田巴合奇来胡麻"	"油用"	"新疆"	"84"	"3.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000001"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"32.9"	"--"	"--"	"I3B00331"	"--"	"新疆农科院新Ⅰ--"	"新疆合田"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"4.60"	"0.8"	"HE TIAN BA HE QI LAI HU MA"	"--"	"--"	"--"	"51.6"	"--"
"2"	"Linaceae(亚麻科)"	"002"	"墨玉红胡麻"	"油用"	"新疆"	"83"	"5.30"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000002"	"--"	"--"	"Linum(亚麻属)"	"抗倒弱"	"--"	"--"	"褐"	"34.7"	"--"	"--"	"I3B00332"	"--"	"新疆农科院新Ⅰ--"	"新疆墨玉"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"4.10"	"1.1"	"MO YU HONG HU MA"	"--"	"--"	"--"	"55.6"	"--"
"3"	"Linaceae(亚麻科)"	"003"	"叶成红胡麻"	"油用"	"新疆"	"83"	"4.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000003"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"23.6"	"--"	"--"	"I3B00333"	"--"	"新疆农科院新Ⅰ--"	"新疆叶城"	"--"	"深兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.90"	"1.4"	"YE CHENG HONG HU MA"	"--"	"--"	"--"	"51.6"	"--"
"4"	"Linaceae(亚麻科)"	"004"	"麦盖提早熟白胡麻"	"兼用"	"新疆"	"95"	"4.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000004"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"黄"	"43.6"	"--"	"--"	"I3B00334"	"--"	"新疆农科院新Ⅰ--"	"新疆麦盖提"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"3.90"	"3.6"	"MAI GAI TI ZAO SHU BAI HU MA"	"--"	"--"	"--"	"63.9"	"--"
"5"	"Linaceae(亚麻科)"	"005"	"麦盖提红胡麻"	"兼用"	"新疆"	"104"	"3.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000005"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"淡褐"	"47.3"	"--"	"--"	"I3B00335"	"--"	"新疆农科院新Ⅰ--"	"新疆麦盖提"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.00"	"1.2"	"MAI GAI TI HONG HU MA"	"--"	"--"	"--"	"69.0"	"--"
"6"	"Linaceae(亚麻科)"	"006"	"莎车早熟胡麻"	"兼用"	"新疆"	"94"	"4.30"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000006"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"黄"	"45.1"	"--"	"--"	"I3B00336"	"--"	"新疆农科院新Ⅰ--"	"新疆莎车"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"3.90"	"1.9"	"SHA CHE ZAO SHU HU MA"	"--"	"--"	"--"	"66.7"	"--"
"7"	"Linaceae(亚麻科)"	"007"	"莎车早熟白胡麻"	"油用"	"新疆"	"86"	"2.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000007"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"黄"	"20.6"	"--"	"--"	"I3B00337"	"--"	"新疆农科院新Ⅰ--"	"新疆莎车"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"4.60"	"1.4"	"SHA CHE ZAO SHU BAI HU MA"	"--"	"--"	"--"	"47.8"	"--"
"8"	"Linaceae(亚麻科)"	"008"	"莎车早熟胡麻"	"油用"	"新疆"	"89"	"2.50"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000008"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"35.0"	"--"	"--"	"I3B00338"	"--"	"新疆农科院新Ⅰ--"	"新疆莎车"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.00"	"0.5"	"SHA CHE ZAO SHU HU MA"	"--"	"--"	"--"	"56.1"	"--"
"9"	"Linaceae(亚麻科)"	"009"	"莎车红胡麻"	"油用"	"新疆"	"79"	"3.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000009"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"22.0"	"--"	"--"	"I3B00339"	"--"	"新疆农科院新Ⅰ--"	"新疆莎车"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.50"	"1.8"	"SHA CHE HONG HU MA"	"--"	"--"	"--"	"44.5"	"--"
"10"	"Linaceae(亚麻科)"	"010"	"疏附红胡麻"	"油用"	"新疆"	"88"	"4.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000010"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"淡褐"	"36.8"	"--"	"--"	"I3B00340"	"--"	"新疆农科院新Ⅰ--"	"新疆疏附"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.00"	"0.9"	"SHU FU HONG HU MA"	"--"	"--"	"--"	"58.6"	"--"
"11"	"Linaceae(亚麻科)"	"011"	"疏勒油用胡麻"	"油用"	"新疆"	"89"	"3.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000011"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"35.2"	"--"	"--"	"I3B00341"	"--"	"新疆农科院新Ⅰ--"	"新疆疏勒"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.40"	"1.2"	"SHU LE YOU YONG HU MA"	"--"	"--"	"--"	"56.1"	"--"
"12"	"Linaceae(亚麻科)"	"012"	"疏勒红胡麻"	"油用"	"新疆"	"89"	"3.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000012"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"淡褐"	"35.9"	"--"	"--"	"I3B00342"	"--"	"新疆农科院新Ⅰ--"	"新疆疏勒"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.20"	"2.5"	"SHU LE HONG HU MA"	"--"	"--"	"--"	"54.1"	"--"
"13"	"Linaceae(亚麻科)"	"013"	"疏勒白胡麻"	"兼用"	"新疆"	"92"	"4.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000013"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"黄"	"42.9"	"--"	"--"	"I3B00343"	"--"	"新疆农科院新Ⅰ--"	"新疆疏勒"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"3.80"	"3.3"	"SHU LE BAI HU MA"	"--"	"--"	"--"	"61.5"	"--"
"14"	"Linaceae(亚麻科)"	"014"	"英吉莎胡麻"	"油用"	"新疆"	"92"	"3.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000014"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"33.4"	"--"	"--"	"I3B00344"	"--"	"新疆农科院新Ⅰ--"	"新疆英吉莎"	"--"	"深兰"	"--"	"--"	"--"	"--"	"--"	"--"	"2.90"	"1.3"	"YING JI SHA HU MA"	"--"	"--"	"--"	"55.9"	"--"
"15"	"Linaceae(亚麻科)"	"015"	"喀什胡麻"	"油用"	"新疆"	"79"	"3.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000015"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"23.4"	"--"	"--"	"I3B00345"	"--"	"新疆农科院新Ⅰ--"	"新疆喀什"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.80"	"1.0"	"KA SHI HU MA"	"--"	"--"	"--"	"48.2"	"--"
"16"	"Linaceae(亚麻科)"	"016"	"巴楚胡麻"	"油用"	"新疆"	"104"	"4.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000016"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"褐"	"38.1"	"--"	"--"	"I3B00346"	"--"	"新疆农科院新Ⅰ--"	"新疆巴楚"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.00"	"1.2"	"BA CHU HU MA"	"--"	"--"	"--"	"62.2"	"--"
"17"	"Linaceae(亚麻科)"	"017"	"阿克苏白胡麻"	"油用"	"新疆"	"99"	"4.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000017"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"黄"	"39.2"	"--"	"--"	"I3B00347"	"--"	"新疆农科院新Ⅰ--"	"新疆阿克苏"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"3.20"	"1.9"	"A KE SU BAI HU MA"	"--"	"--"	"--"	"58.4"	"--"
"18"	"Linaceae(亚麻科)"	"018"	"阿克苏红胡麻"	"兼用"	"新疆"	"104"	"3.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000018"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"淡褐"	"43.4"	"--"	"--"	"I3B00348"	"--"	"新疆农科院新Ⅰ--"	"新疆阿克苏"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.00"	"2.1"	"A KE SU HONG HU MA"	"--"	"--"	"--"	"68.3"	"--"
"19"	"Linaceae(亚麻科)"	"019"	"拜城白胡麻"	"兼用"	"新疆"	"91"	"3.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000019"	"--"	"--"	"Linum(亚麻属)"	"抗倒中"	"--"	"--"	"黄"	"57.8"	"--"	"--"	"I3B00349"	"--"	"新疆农科院新Ⅰ--"	"新疆拜城"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"3.60"	"2.3"	"BAI CHENG BAI HU MA"	"--"	"--"	"--"	"63.3"	"--"
"20"	"Linaceae(亚麻科)"	"020"	"库尔勒红胡麻"	"兼用"	"新疆"	"98"	"4.20"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000020"	"--"	"--"	"Linum(亚麻属)"	"抗倒弱"	"--"	"--"	"淡褐"	"48.8"	"--"	"--"	"I3B00547"	"--"	"新疆农科院新Ⅰ--"	"新疆库尔勒"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"3.00"	"1.7"	"KU ER LE HONG HU MA"	"--"	"--"	"--"	"68.6"	"--"
"21"	"Linaceae(亚麻科)"	"农科所"	"定亚1号"	"油用"	"甘肃"	"113"	"3.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000100"	"--"	"--"	"Linum(亚麻属)"	"抗旱高抗锈"	"--"	"--"	"淡褐"	"39.5"	"--"	"--"	"I3B00008"	"--"	"甘肃定西地区"	"(雁农1号×尚义大桃)×雁农1号"	"--"	"兰"	"--"	"--"	"原代号3-33"	"--"	"--"	"--"	"6.20"	"--"	"DING YA 1 HAO"	"--"	"--"	"--"	"51.4"	"--"
"22"	"Linaceae(亚麻科)"	"--"	"定亚2号"	"油用"	"甘肃"	"113"	"4.50"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000101"	"--"	"--"	"Linum(亚麻属)"	"抗旱抗锈"	"--"	"--"	"淡褐"	"30.2"	"--"	"--"	"I3B00009"	"--"	"甘肃定西地区"	"--"	"--"	"兰"	"--"	"--"	"原代号定杂389"	"--"	"--"	"--"	"6.40"	"--"	"DING YA 2 HAO"	"--"	"--"	"--"	"45.4"	"--"
"23"	"Linaceae(亚麻科)"	"--"	"定亚3号"	"油用"	"甘肃"	"111"	"4.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000102"	"--"	"--"	"Linum(亚麻属)"	"抗旱抗锈"	"--"	"--"	"褐"	"30.2"	"--"	"--"	"I3B00010"	"--"	"甘肃定西地区"	"张北大粒×雁农1号"	"--"	"兰"	"--"	"--"	"原代号定杂655"	"--"	"--"	"--"	"6.00"	"--"	"DING YA 3 HAO"	"--"	"--"	"--"	"46.8"	"--"
"24"	"Linaceae(亚麻科)"	"--"	"定亚4号"	"油用"	"甘肃"	"120"	"4.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000103"	"--"	"--"	"Linum(亚麻属)"	"抗旱抗锈"	"--"	"--"	"褐"	"36.7"	"--"	"--"	"I3B00011"	"--"	"甘肃定西地区"	"--"	"--"	"兰"	"--"	"--"	"原代号定杂4314"	"--"	"--"	"--"	"7.20"	"--"	"DING YA 4 HAO"	"--"	"--"	"--"	"51.2"	"--"
"25"	"Linaceae(亚麻科)"	"--"	"定亚5号"	"油用"	"甘肃"	"111"	"3.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000104"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"--"	"31.0"	"--"	"--"	"I3B00012"	"--"	"甘肃定西地区"	"--"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"7.20"	"--"	"DING YA 5 HAO"	"--"	"--"	"--"	"46.3"	"--"
"26"	"Linaceae(亚麻科)"	"--"	"定亚6号"	"油用"	"甘肃"	"115"	"3.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000105"	"--"	"--"	"Linum(亚麻属)"	"抗旱,锈病虫"	"--"	"--"	"深褐"	"35.6"	"--"	"--"	"I3B00013"	"--"	"甘肃定西地区"	"(张北大粒×荷兰)×(四子王旗×沃龙涅什)"	"--"	"兰"	"--"	"--"	"原代号642-12"	"--"	"--"	"--"	"8.20"	"0.1"	"DING YA 6 HAO"	"--"	"--"	"--"	"51.3"	"--"
"27"	"Linaceae(亚麻科)"	"--"	"定亚7号"	"油用"	"甘肃"	"112"	"3.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000106"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"--"	"37.1"	"--"	"--"	"I3B00014"	"--"	"甘肃定西地区"	"--"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"7.00"	"--"	"DING YA 7 HAO"	"--"	"--"	"--"	"53.8"	"--"
"28"	"Linaceae(亚麻科)"	"--"	"定亚8号"	"油用"	"甘肃"	"110"	"3.90"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000107"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"--"	"30.9"	"--"	"--"	"I3B00392"	"--"	"甘肃定西地区"	"--"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"7.40"	"--"	"DING YA 8 HAO"	"--"	"--"	"--"	"43.6"	"--"
"29"	"Linaceae(亚麻科)"	"--"	"定亚9号"	"油用"	"甘肃"	"111"	"4.30"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000108"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"--"	"29.9"	"--"	"--"	"I3B00393"	"--"	"甘肃定西地区"	"--"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"6.40"	"--"	"DING YA 9 HAO"	"--"	"--"	"--"	"42.8"	"--"
"30"	"Linaceae(亚麻科)"	"--"	"定亚10号"	"兼用"	"甘肃"	"118"	"3.50"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000109"	"--"	"--"	"Linum(亚麻属)"	"抗旱,锈耐水肥"	"--"	"--"	"褐"	"40.2"	"--"	"--"	"I3B00015"	"--"	"甘肃定西地区"	"定亚1号×64-327"	"--"	"兰"	"--"	"--"	"原代号662-2"	"--"	"--"	"--"	"6.80"	"--"	"DING YA 10 HAO"	"--"	"--"	"--"	"52.4"	"--"
"31"	"Linaceae(亚麻科)"	"--"	"定亚11号"	"油用"	"甘肃"	"112"	"4.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000110"	"--"	"--"	"Linum(亚麻属)"	"抗旱,锈"	"--"	"--"	"褐"	"32.1"	"--"	"--"	"I3B00394"	"--"	"甘肃定西地区"	"定亚1号×64-545"	"--"	"兰"	"--"	"--"	"原代号663-6"	"--"	"--"	"--"	"6.00"	"--"	"DING YA 11 HAO"	"--"	"--"	"--"	"45.0"	"--"
"32"	"Linaceae(亚麻科)"	"--"	"定亚12号"	"油用"	"甘肃"	"111"	"3.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000111"	"--"	"--"	"Linum(亚麻属)"	"抗旱,锈"	"--"	"--"	"褐"	"33.3"	"--"	"--"	"I3B00395"	"--"	"甘肃定西地区"	"(雁农1号×18-3)×(荷兰×张北大粒)"	"--"	"兰"	"--"	"--"	"原代号6610-7"	"--"	"--"	"--"	"6.20"	"--"	"DING YA 12 HAO"	"--"	"--"	"--"	"50.1"	"--"
"33"	"Linaceae(亚麻科)"	"--"	"定亚13号"	"油用"	"甘肃"	"113"	"4.60"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000112"	"--"	"--"	"Linum(亚麻属)"	"--"	"--"	"--"	"--"	"38.0"	"--"	"--"	"I3B00016"	"--"	"甘肃定西地区"	"--"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"6.40"	"--"	"DING YA 13 HAO"	"--"	"--"	"--"	"51.4"	"--"
"34"	"Linaceae(亚麻科)"	"--"	"定亚14号"	"油用"	"甘肃"	"114"	"4.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000113"	"--"	"--"	"Linum(亚麻属)"	"抗旱,锈"	"--"	"--"	"--"	"35.4"	"--"	"--"	"I3B00017"	"--"	"甘肃定西地区"	"定亚4号×维尔1650"	"--"	"兰"	"--"	"--"	"原代号6612-1"	"--"	"--"	"--"	"7.60"	"--"	"DING YA 14 HAO"	"--"	"--"	"--"	"52.8"	"--"
"35"	"Linaceae(亚麻科)"	"5"	"甘亚－号"	"兼用"	"甘肃"	"104"	"5.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000121"	"--"	"--"	"Linum(亚麻属)"	"抗旱"	"--"	"--"	"黄"	"54.4"	"--"	"--"	"I3B00385"	"--"	"甘肃张掖地区"	"系选于张掖白胡麻"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"0.5"	"GAN YA －HAO"	"--"	"--"	"--"	"72.2"	"--"
"36"	"Linaceae(亚麻科)"	"001"	"甘亚２号"	"兼用"	"甘肃"	"116"	"8.80"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000173"	"--"	"--"	"Linum(亚麻属)"	"抗倒强"	"--"	"--"	"褐"	"43.9"	"--"	"--"	"I3B00073"	"--"	"甘肃省农科院"	"甘肃省农科院杂交选育"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"6.41"	"0.1"	"GAN YA ２HAO"	"--"	"--"	"--"	"58.9"	"--"
"37"	"Linaceae(亚麻科)"	"002"	"甘亚３号"	"兼用"	"甘肃"	"123"	"6.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000174"	"--"	"--"	"Linum(亚麻属)"	"抗旱强"	"--"	"--"	"褐"	"52.0"	"--"	"--"	"I3B00074"	"--"	"甘肃省农科院"	"甘肃省农科院杂交选育"	"--"	"白"	"--"	"--"	"--"	"--"	"--"	"--"	"8.60"	"0.3"	"GAN YA ３HAO"	"--"	"--"	"--"	"69.7"	"--"
"38"	"Linaceae(亚麻科)"	"003"	"甘亚４号"	"兼用"	"甘肃"	"115"	"5.20"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000175"	"--"	"--"	"Linum(亚麻属)"	"抗倒抗锈"	"--"	"--"	"褐"	"47.3"	"--"	"--"	"I3B00075"	"--"	"甘肃省农科院"	"甘肃省农科院杂交选育"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"6.58"	"0.6"	"GAN YA ４HAO"	"--"	"--"	"--"	"70.6"	"--"
"39"	"Linaceae(亚麻科)"	"004"	"陇亚１号"	"兼用"	"甘肃"	"117"	"4.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000176"	"--"	"--"	"Linum(亚麻属)"	"抗锈"	"--"	"--"	"褐"	"46.3"	"--"	"--"	"I3B00076"	"--"	"甘肃省农科院"	"甘肃省农科院杂交选育"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"8.10"	"0.8"	"LONG YA １HAO"	"--"	"--"	"--"	"65.4"	"--"
"40"	"Linaceae(亚麻科)"	"005"	"陇亚２号"	"油用"	"甘肃"	"119"	"5.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000177"	"--"	"--"	"Linum(亚麻属)"	"抗旱强"	"--"	"--"	"淡褐"	"33.5"	"--"	"--"	"I3B00077"	"--"	"甘肃省农科院"	"甘肃省农科院杂交选育"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"8.80"	"1.1"	"LONG YA ２HAO"	"--"	"--"	"--"	"48.6"	"--"
"41"	"Linaceae(亚麻科)"	"006"	"陇亚３号"	"兼用"	"甘肃"	"115"	"4.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000178"	"--"	"--"	"Linum(亚麻属)"	"抗倒抗锈"	"--"	"--"	"褐"	"36.1"	"--"	"--"	"I3B00078"	"--"	"甘肃省农科院"	"甘肃省农科院杂交选育"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"6.30"	"0.5"	"LONG YA ３HAO"	"--"	"--"	"--"	"53.0"	"--"
"42"	"Linaceae(亚麻科)"	"007"	"陇亚４号"	"兼用"	"甘肃"	"113"	"6.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000179"	"--"	"--"	"Linum(亚麻属)"	"抗旱强"	"--"	"--"	"褐"	"33.9"	"--"	"--"	"I3B00079"	"--"	"甘肃省农科院"	"甘肃省农科院杂交选育系统选育"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"8.10"	"0.4"	"LONG YA ４HAO"	"--"	"--"	"--"	"52.0"	"--"
"43"	"Linaceae(亚麻科)"	"008"	"陇亚５号"	"油用"	"甘肃"	"110"	"6.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000180"	"--"	"--"	"Linum(亚麻属)"	"抗旱耐脊"	"--"	"--"	"褐"	"35.9"	"--"	"--"	"I3B00080"	"--"	"甘肃省农科院"	"甘肃省农科院杂交选育"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"7.74"	"5.6"	"LONG YA ５HAO"	"--"	"--"	"--"	"55.6"	"--"
"44"	"Linaceae(亚麻科)"	"144"	"宁亚一号"	"油用"	"宁夏"	"95"	"--"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000186"	"--"	"--"	"Linum(亚麻属)"	"抗倒"	"--"	"--"	"深褐"	"36.8"	"--"	"--"	"I3B00263"	"--"	"宁夏农科所"	"由尚义大桃系选育成"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"10.40"	"--"	"NING YA YI HAO"	"--"	"--"	"--"	"55.0"	"--"
"45"	"Linaceae(亚麻科)"	"145"	"宁亚二号"	"兼用"	"宁夏"	"93"	"--"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000187"	"--"	"20.00"	"Linum(亚麻属)"	"不抗倒"	"--"	"--"	"深褐"	"42.0"	"--"	"--"	"I3B00264"	"--"	"宁夏农科所"	"永宁二混子×尚义大桃"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"8.30"	"--"	"NING YA ER HAO"	"--"	"--"	"--"	"62.0"	"--"
"46"	"Linaceae(亚麻科)"	"1035"	"固杂一号"	"油用"	"宁夏"	"112"	"3.10"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000193"	"--"	"--"	"Linum(亚麻属)"	"抗旱"	"--"	"--"	"深褐"	"37.9"	"--"	"--"	"I3B00390"	"--"	"宁夏固原农科所"	"固原红×大头"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"6.10"	"--"	"GU ZA YI HAO"	"--"	"--"	"--"	"47.3"	"--"
"47"	"Linaceae(亚麻科)"	"1036"	"固杂二号"	"兼用"	"宁夏"	"106"	"3.70"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000194"	"--"	"--"	"Linum(亚麻属)"	"抗旱"	"--"	"--"	"淡褐"	"41.5"	"--"	"--"	"I3B00272"	"--"	"宁夏固原农科所"	"固原红×匈牙利一号"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"6.00"	"--"	"GU ZA ER HAO"	"--"	"--"	"--"	"48.1"	"--"
"48"	"Linaceae(亚麻科)"	"1038"	"固杂三号"	"兼用"	"宁夏"	"100"	"4.20"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000195"	"--"	"--"	"Linum(亚麻属)"	"抗旱"	"--"	"--"	"深褐"	"53.2"	"--"	"--"	"I3B00273"	"--"	"宁夏固原农科所"	"固原红×大头"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"6.90"	"0.7"	"GU ZA SAN HAO"	"--"	"--"	"--"	"67.4"	"--"
"49"	"Linaceae(亚麻科)"	"1037"	"固系一号"	"兼用"	"宁夏"	"90"	"6.40"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000196"	"--"	"--"	"Linum(亚麻属)"	"抗倒"	"--"	"--"	"深褐"	"42.0"	"--"	"--"	"I3B00274"	"--"	"宁夏固原农科所"	"由张北大粒系选育成"	"--"	"兰"	"--"	"--"	"--"	"--"	"--"	"--"	"6.40"	"0.7"	"GU XI YI HAO"	"--"	"--"	"--"	"58.2"	"--"
"50"	"Linaceae(亚麻科)"	"190"	"雁系17号"	"油用"	"山西"	"94"	"4.00"	"--"	"--"	"--"	"--"	"Linum usitatissimum L.(亚麻)"	"00000198"	"--"	"--"	"Linum(亚麻属)"	"抗倒强"	"--"	"--"	"黄绿"	"37.7"	"--"	"--"	"I3B00178"	"--"	"山西雁北农科所"	"雁农一号内系选"	"--"	"白"	"--"	"--"	"雁农一号内系选"	"--"	"--"	"--"	"4.60"	"--"	"YAN XI 17 HAO"	"--"	"--"	"--"	"57.9"	"--"
