"id"	"种质名称"	"种质小类"	"种质大类"	"种质类型"	"种质来源"	"优异性状"	"利用价值"	"评定等级"	"联系单位"
"95"	"中矮1号（S2）"	"梨"	"果树"	"育成品种"	"中国农业科学院果树研究所南果梨X巴梨杂交品种“锦香”梨的实生后代选育而成。"	"使树体矮化；早期结果、丰产、与品种亲和性好；抗枝干腐烂病（病情指数为12），高抗枝干轮纹病（病情指数为0）。"	"中矮1号的培育成功填补了我国梨树矮化密植的空白；利用中矮1号中间砧可进行梨树高度密植栽培，定植树第二年开花；三年大量结果，亩产可达500公斤以上；四年丰产，亩产可达2000公斤。利用中矮1号可进行梨树日光温室大棚设施栽培，使果实提早1~2月上市，当年见果，第二年亩产1000公斤，每斤9~10元，经济效益显著，且果实新梢、优质、无污染。"		"中国农业科学院果树研究所"
"96"	"中系8314"	"水稻"	"主要作物"			"该种质全生育期104天，抗叶瘟0级。"	"可作抗性育种亲本利用。沪州地区作为稻瘟病的抗源，配制了一些杂交，组合，可望选育出较好的抗性新品种。"		"中国水稻研究所"
"97"	"中组1号"	"水稻"	"主要作物"	"突变体"	"以Basmati370的成熟胚为材料，组织培养，选育而成。"	"产量高，蛋白质含量达11.8%，比一般品种高3.8个百分点，适应性广。"	"中组1号产量高，蛋白质含量高，生育期适中，非常适合南方双季稻地区作早稻种植。已被6个省的种子公司和农科所所利用，在南方稻区种植面积达14万公顷。"		"中国水稻研究所"
"98"	"中豇1号"	"豇豆"	"蔬菜"	"育成品种"	"中国农科院品资所从尼日利亚引进的豇豆品种中单株定向选育而成。"	"矮生直立，株型较紧凑，结荚集中，一般株高50cm以下，属极矮生型种质。春、夏、秋播均表现极早熟，生育期70-85天，比当地品种早熟20天以上，荚长18-23cm(普通豇豆12-16cm)，高产稳产，单产明显高于当地对照品种，适应性强。籽粒紫红，蛋白质含量25-27%，淀粉49.28%。"	"矮而直立、早熟、高产是当前急需的豇豆品种，该品种其株型紧凑，结荚集中，适应了这需要。为高产提供了条件，可作间作套种，也适于干旱、瘠薄地区种植。用其作亲本可改造我国地方品种蔓生、低产特性。适做加工食品。已在河北、河南、安徽推广利用，并用于育种。"		"中国农科院品资所"
"99"	"中超123"	"水稻"	"主要作物"	"育成品种"	"以“36天”为母本，恢复系“C57”为父本杂交得到“76C33”，再以76C33为母本，“制7”为父本转育而成。"	"属最新育成优异二用品系。分蘖弱，耐肥抗倒，穗大粒多，每穗总粒数259.5，结实率83.8%，千粒重33.8g。综合性状优良，高产稳产，杂交优势强。株型理想，综合性状优良，与培矮64S、秀立04A等不育系配组得到中超123系列组合均表现出强大的杂种优势。已作为超高产品种正在扩大示范试种，表现高产稳产。作为恢复系与秀水04A、W6154S等三系，二系配组表现杂种优势。"			"中国水稻研究所"
"100"	"中野1号（94-6）"	"大豆"	"主要作物"	"育成品种"	"西藏大豆（“察隅1号”X河南野生大豆“ZYD3576”）X吉林“大湾大粒”选育而成。"	"炸荚性极低，蛋白质和脂肪含量总和达64%，茎秆直立，百粒重达20g，单株粒重可达30g以上，耐盐1级，综合性状好，抗逆，抗病。"	"该品种具有西藏大豆和野生血缘，遗传基础广泛，具有一定的耐盐碱和耐旱性，可作为育种亲本加以利用。另外，在辽宁，山东，河北，天津，北京，陕西等地已种植利用。"		"中国农科院品资所"
"101"	"串枝红杏"	"杏"	"果树"	"地方品种"	"1983年全国资源考察中发掘的农家品种，并引入国家资源圃。"	"极晚熟品种，果实发育期为96天，达一级标准，平均单果重52.5g，外观美丽，肉质硬脆，汁少，味甜酸，可溶性固形物10.2%，总糖7.1%，总酸1.6%，VC9.1mg/100g。离核，可食率96%。耐贮，可贮放10天。极丰产，8年生最高亩产5000kg；适宜深加工。"	"该品种为极晚熟的鲜食加工兼用品种，其适应性广，极丰产，是北方可用于产业化开发的良种。用其加工的糖水罐头、中华杏茶多次获奖，用其加工的杏脯为河北省出口免检产品。仅辽、冀两省已开发10.77万亩，创年经济效益3.94万元。"		"辽宁省果树科学研究所"
"102"	"之青3号"	"豇豆"	"蔬菜"	"育成品种"	"浙江省农业科学院园艺研究所红嘴燕X青皮杂交后代经系统选育鉴定获得。"	"抗病毒病，中抗煤霉病，农艺性状优异，商品苹长度、单苹重、单株产量明显优于当前主栽品种“之豇282”，品质优良。"	"农艺性状好，产量高，品质优，具有较大的直接推广应用价值；可作为绿荚抗病亲本在育种中进一步应用。已在生产上较大面积推广，并于1999年通过浙江省品种认定委员会认定。"		"浙江省农业科学院园艺研究所"
"103"	"云桂大叶"	"茶树"	"茶桑"	"遗传材料"	"中国农业科学院茶业研究所对广西桂林的桂北大叶茶与云南大叶茶自然杂交后代种子系统鉴定评价而获得。"	"适制高档名优茶，品质优异。用一芽二叶制烘青茶，总分达90.5~92.5；制茶品质优于福鼎大白茶。氨基酸含量高达3.9%。生长势强。抗寒性较强，在-9.6℃时轻微受冻。优异性状的遗传性基本稳定。"	"直接用于生产，创制高档名优绿茶；也可用作优质绿茶育种材料。已在安徽东至茶树良种场、江苏无锡茶叶品种研究所栽培利用，所制“香山云尖”售价比当地主栽品种高30%左右；“无锡毫茶”品质优于福鼎大白茶。"		"中国农业科学院茶业研究所"
"104"	"云辐84-Fb5"	"甘蔗"	"糖烟"	"高代品系"	"云蔗73-159经辐射获突变单株选育而成"	"高产、亩产达6吨以上，蔗糖含量平均14.65%；宿根萌发率142-152%；宿根体眠芽在-5℃气温下7天仍能发株生长；水淹6-8天后仍能正常生长；抗黑穗病、褐条病。"	"早熟、高糖、多抗甘蔗品种是当前生产急需，云辐84-Fb5以其早熟、高糖丰产、抗旱耐寒及适应性广等特性，深受蔗农欢迎。是云南主推品种（系）之一。"		"云南农科院甘蔗所"
"105"	"京糯2号"	"玉米"	"主要作物"	"高代品系"	"北京市农科院引进"	"根系发达，植株健壮，穗部性状优良，籽粒白色，糯质型，支链淀粉含量高，食口性好，表现抗病高产，穗粗达4.0cm，千粒重365克。"	"京糯2号配合力较高，可直接用于测配选育优良杂交糯玉米组合，亦可作为改良糯玉米自交系的优异亲本材料，解决生产上特用玉米产量低的问题。可作鲜穗青食、食品加工、工业原料、糯玉米饲料等直接利用。已作为糯玉米特殊用途的主栽品种之一，同时用其作亲本配制了一些组合。"		"中国农科院品资所"
"106"	"假黄豆（RN-9）"	"大豆"	"主要作物"	"地方品种"	"从山东地方品种筛选自制。"	"高抗大豆孢囊线虫1号生理小种、高产。"	"可作为小黑豆品种推广种植，亦可作为高产，抗虫亲本供育种利用。累计配制18个组合，部分组合品（株）系表现比现有推广品种优越。已选育出优异种质8860（百粒重<10g）等23份优异品系"		"山东省农科院作物所"
"107"	"克4430-20"	"大豆"	"主要作物"	"高代品系"	"用“克交69-5236”与“十胜长叶”杂交选育而成。"	"综合农艺性状优良，抗逆性强，适应性广，高产，有较高的配合力和遗传力。"	"已成为黑龙江省大豆育种具有突破性的骨干亲本，用其做亲本已育成了许多优良品种，如“合丰25”、“合丰26”、“合丰30”、“红丰5号”和“农垦1号”等，并由此衍生出一批丰产、抗病、质优的大豆新品种如绥农14等，已成为黑龙江省的主栽品种。"		"黑龙江省农科院育种所"
"108"	"兰布莱特GL-5"	"棉花"	"棉麻"	"国外引进品种"	"从美国引进"	"全株无腺体，棉酚含量0.0000%；综合性7状较好，皮棉产量可达推广品种70%左右，铃较大（>6.5克/个）"	"因其种子（种仁）不含棉毒素，种子除做肥料用外，还当做粮食和饲料使用，大大提高了种子利用价值。同时，棉籽油减少了脱毒过程，节省了成本。我国育成的一系列主要低酚棉品种几乎都有“兰布莱特GL-5”的“血缘”。"		"中国农科院棉花所"
"109"	"冀豆12号"	"大豆"	"主要作物"	"育成品种"	"河北省家林科学院粮作所以油83-14×晋大7826杂交选育而成。"	"综合农艺性状优良，株高60-70厘米，3个短分枝与主茎构成塔形结构，结荚多，鼓粒快。抗花叶病毒和孢囊线虫病，蛋白质含量46.5%。"	"适宜在湖北省夏播地区推广，也可在山东、河南、山西、江苏等省部分地区种植。"		"河北省农林科学院粮作所"
"110"	"冀青101"	"大豆"	"主要作物"	"高代品系"	"冀豆9×Centurylox-2.3选育而成"	"综合农艺性状优良，抗花叶病毒，蛋白质含量56.44%，脂肪氧化酶缺失(B23)Lox-2.3。是较好的高产无腥优异种质。"	"可作为专用品种的优异亲本，已有一批后代株系正在选择之中。用其加工的豆奶，营养乳品味好，色泽鲜艳，营养丰富。"		"河北省农林科学院粮作所"
"111"	"冀黄103"	"大豆"	"主要作物"	"高代品系"	"河北农林科学院粮作所以中品661×8032杂交选育而成。"	"综合农艺性状优良，根系发达，茎杆粗壮有韧性，抗倒性强，抗花叶病毒病，抗旱性突出，蛋白质含量42.6%，脂肪含量20.97%。示范亩产253公斤。"	"适合蛋白加工，又适宜榨油加工。干旱瘠薄地及低洼水涝地均适宜种植。"		"河北省农林科学院粮作所"
"112"	"冀黄105"	"大豆"	"主要作物"	"高代品系"	"用“冀豆9”与“Centurylox-2.3”杂交选育而成。"	"综合农艺性状优良，高产，抗病，优质，抗倒，脂肪氧化酶缺失Lox-2.3。"	"“冀黄105”脂氧酶缺失2和3，可作为消除豆腥味专用品种优异亲本。适宜河北省夏播种植。已有一批高产，高蛋白，青毛豆，青豆，黑豆的后代株系在选育之中，有望获得更优质的脂氧酶缺失品系。用其加工的豆奶，营养乳品味好，营养丰富，深受市场欢迎。"		"河北省农林科学院粮油作物研究所"
"113"	"南洋占"	"水稻"	"主要作物"	"地方品种"	"从广西农科院引进"	"大粒种质，千粒重47.2g。全生育期115天。有较好的广亲和性，抗寒性较强，米粒有清香味。"	"其大粒性状和广亲和性，可作为育种生物技术研究材料加以利用。"		"中国水稻研究所"
"114"	"厚皮种1号"	"苎麻"	"棉麻"	"地方品种"	"湖南省武岗县"	"发蔸较快，分株力较强，生长势强，植株齐匀；原麻绿白色，手感柔软，斑疵少，锈脚短；纤维品质特优，年三季的平均单纤维支数达2600支。"	"在纤维品质方面有重大应用价值，可作为高产、优质育种材料。现已利用其与牛耳青杂交，育成有价值的优良单蔸5个，均表现高产、优质性状。"		"中国农科院麻类所"
"115"	"吉林小粒27号"	"大豆"	"主要作物"	"育成品种"	"吉林农科院大豆所以通农9号×D50444-1F2代，再与吉林18号杂交，采用系谱法与混合法选择而成。"	"极早熟类型，高抗孢囊线虫，大豆花叶病，大豆蚜虫。蛋白质含量45.19%。是外贸出口专用品种。"	"品质佳，口感好，是制做纳豆和生豆芽的理想原料。可在无霜期较短的山区、半山区推广种植。"		"吉林农科院大豆所"
"116"	"吉资5号"	"玉米"	"主要作物"	"高代品系"	"5003与黄早4自交系正反交的F1人工混合授粉后株选自交选择育成。"	"配合力高，品质优良，高抗丝黑穗病和黑粉病，抗基腐病，产量较高，苗期早发性好。"	"吉资5自交系是我国玉米杂交种四大骨干系之一的黄早4和配合力突出的5003自交系的换代系。吉资5集中了黄早4、5003的高配合力，克服了二系高感丝黑穗的缺点，抗丝黑穗和黑粉病，产量较高，利用价值很高。"		"中国农科院品资所"
"117"	"吉青127号"	"大豆"	"主要作物"	"育成品种"	"“吉青1号”与“大绿”杂交选育而成。"	"矮秆，早熟，绿种皮，绿子叶，黄脐，园型粒，百粒重28.9g。"	"青仁青豆是豆芽，泡豆，豆奶粉，罐头等豆制豆品工业的重要原料，该品种粒大深受国内外市场欢迎，矮秆适宜同玉米间作，亦可作为优良的早熟，大粒矮秆亲本加以利用。"		"吉林省农科院大豆所"
"118"	"启豆2号(优系50)"	"蚕豆"	"杂粮"	"育成品种"	"江苏省启东县蚕豆试验站选育"	"丰产性好，一般单作亩产210公斤，生育期207天，早熟性3级，属中早熟。抗锈病，苗期耐盐达到2级，长荚型，荚长达9.8cm，荚粒数平均为3粒。抗倒伏，适应性广。"	"可在长江中下游大面积种植，是蚕豆锈病高发地区的优良品种，也是蚕豆育种不可多得的优良亲本，已育成南通大蚕豆，启豆3号等品种和一批优异品系。"		"江苏沿江地区农科所"
"119"	"品综2号"	"玉米"	"主要作物"	"育成品种"	"山西农科院“八五”入库材料"	"上所述高产抗病，抗小斑，矮花叶，丝黑穗，中抗大斑病，综合性状优异。"	"品综2号为高产、抗病，综合性状优良的群体，利用其选育一环系或进一步与其它种质合成群体，或作进一步改良的基础群体，均能取得很高遗传增益，为一育种价值很高的优异种质。已利用其直接选育一环系，得到一批高产、株型好、配合力较高的高代品系；已利用其作为原材料先后选育出多个早代或高代选系。"		"中国农科院品资所"
"120"	"哈91R3-188"	"大豆"	"主要作物"	"高代品系"	"用“Merit”与“1782-198”杂交选育而成。"	"综合农艺性状良好，抗逆，抗酸雨，抗SMV3号弱毒株系和SMV1号株系，高抗由两株系引致的种粒斑驳，早熟。"	"作为高抗SMV3号强毒株系的优异亲本利用，并已配制20多个组合。正在进一步研究中的育成该种质拓宽了东北大豆抗病毒种质的遗传基础，因熟期早，抗性强等，便于东北春大豆区利用。"		"黑龙江省农科院育种所"
"121"	"四川巫山小牛角"	"辣椒"	"蔬菜"	"地方品种"	"“七五”中国农业科学院蔬菜花卉研究所搜集入国家种质库。"	"高抗烟草花叶病毒（TMV），平均相对病情指数为3.1609；高Vc含量，平均值为166.82mg/100g鲜果重；早熟，始花节位9~10节；株形紧凑，座果率高，果形小牛角，果实大小为10.6cmX3.2cm，单果重26g；耐寒、耐热且耐湿；生长势强，适应性广。"	"作为辣椒品种直接在生产上推广应用，特别是喜辣地区会更为适宜；作为鲜食辣椒抗TMV育种材料，可用于抗病亲本材料；也可用作抗烟草花叶病毒的抗源材料。已提供江苏、湖南、辽宁等省级农业科学院辣椒抗TMV杂交育种利用。"		"江苏省农业科学院蔬菜研究所"
"122"	"四川无融合生殖水稻材料SAR-2"	"水稻"	"主要作物"		"混合稻谷样本双胚苗选择。"	"具助细胞成胚的无融合生殖特性。"	"用SAR-2助细胞成胚特性固定部分杂种优势。用其育成了恢复系材料“101”、“102”。"		"四川农业大学水稻研究所"
"123"	"墨西哥910"	"棉花"	"棉麻"	"国外引进品种"	"从墨西哥引进"	"抗旱；品质优良，绒长29.6mm，比强21.7CN/tex，细度4.4；产量较高，为推广品种中棉19的71.5%。"	"为我国提供了抗旱与优质相结合的优异种质。用其与“泗阳437”杂交育成“泗棉3号”，通过国家审定，并大面积推广。"		"中国农科院棉花所"
"124"	"多产稻"	"水稻"	"主要作物"	"国外引进品种"	"从韩国引进。"	"株型直立紧凑，不早衰，成熟时青枝绿叶籽粒黄。米质优良，心、腹白较小，抗稻瘟病，白叶枯病，耐肥抗倒，再生能力强。"	"在安徽、浙江、江西等省作中稻栽培，亩产可达600-650kg，在湖南作中稻栽培收割后再生稻亩产340kg，米质比头季更优。"		"中国农科院品资所"
"125"	"多年生水稻品系4913"	"水稻"	"主要作物"	"高代品系"	"东乡野生稻与粳稻0298杂交，选育而成。"	"耐寒性很强，能在N28°41’自然条件下越冬。"	"利用4913品系可以开展多年生水稻杂种优势利用，改变传统的水稻种植制度，实现稻田免耕法降低成本，增加效益，还可减少水土流失。还是抗寒育种的宝贵材料。"		"江西省农科院水稻研究所"
"126"	"多年生稻1"	"水稻"	"主要作物"		"从地方品种中选育而成。"	"抗寒性强，生长旺盛，田间清秀，抗病虫性强，株型好，产量高。"	"可在生产上直接利用，亦可作为育种材料利用。其抗寒性为显性，可以遗传，目前已配置杂交组合，拟作进一步研究。在水稻多年生性的育种中已得到一些有苗头组合，可望育成新品种。"		"中国水稻研究所"
"127"	"大石早生李"	"李子"	"果树"	"国外引进品种"	"1983年从日本引入，经多年多点试栽鉴定而获得。"	"极早熟品种，果实发育期为60天，达一级标准，平均单果重50g，最大102g。外观鲜红色，果肉黄色，肉质细密，多汁，味甜酸，微香，可溶性固形物11.5%，总糖6.12%，总酸1.82%，VC7.19mg/100g。核小，可食率97.6%。鲜食品质上等，是我国第一个设施栽培的李品种。"	"大石早生李比我国极早熟的李（绥棱红）早上市15~27天，且果实外观美丽，品质佳，使我国鲜李的供应期提前了15~20天。该品种适宜设施栽培，比露地栽培又提前上市60天，是首选设施栽培李品种。已先后在辽宁、江苏、河北、甘肃通过了省级品种审（认）定，在河南、北京、陕西、重庆、四川、福建、浙江、湖北等省、市试栽成功。仅辽宁、河北、河南三省已开发6.71万亩，年经济效益达11.5亿元。"		"辽宁省果树科学研究所"
"128"	"大黑2号"	"玉米"	"主要作物"	"育成品种"	"黑粒玉米、狗屎玉米、S6772、S78599、兰1和兰3六个地方品种相互交配形成品种间杂交种,再次交配连续优选而成。"	"高产、抗旱、抗倒伏、抗大、小斑病及丝黑穗病，籽粒黑色，食口性好，籽粒中氨基酸含量齐全，适应性广是青食的好原料。"	"黑糯玉米作为特用玉米具很高商品价值：玉黑2号以其色泽独特，营养丰富，富含锌、硒、铁等元素，为玉米青食、冷藏、速冷、制粒、罐头、酿造等各种玉米食品以及深加工提供新原料。该品种可作为组建群体，综合种和选育二环系优异亲本材料。是当前生产上急需的种质资源。以太黑2号为亲本，已选育出一批优异高代糯玉米自交系，用太黑2号黑玉米进行深加工制成黑玉米食品，效益更高。"		"中国农科院品资所"
"129"	"奉新红米"	"水稻"	"主要作物"	"育成品种"	"辐射、选育而成。"	"综合性状优良，株型较好，后期较色好，无垩白，直链淀粉19.59%，蛋白质8.08%，糊化温度5.5级，口感好，属于红米型优质米。"	"可在生产上直接利用，亦可作为育种材料。"		"中国水稻研究所"
"130"	"宁麦资18"	"小麦"	"主要作物"	"育成品种"	"对“鄂引85－123”系统选育而成"	"白粒，抗穗发芽，综合农艺性状良好，耐湿，中抗赤霉病。"	"可作育种亲本利用之。已育成多个白粒抗穗发芽的小麦新品系。"		"中国农科院品资所"
"131"	"宽京早312高"	"谷子"	"杂粮"	"高代品系"	"京谷1号×矮88/日本60日杂交而成"	"适应性广泛，综合农艺性状好；中矮秆，直立不倒伏；高抗白发病、黑穗病；含蛋白质13.33%、脂肪5.3%、赖氨酸0.28%；亩产可达350公斤。"	"可直接生产应用，也可作为优质、抗倒、抗病育种材料，现已有多个育种单位利用，并育成了一批优良高代品系。"		"中国农科院品资所"
"132"	"宽叶长果"	"黄麻"	"棉麻"	"育成品种"	"中国农科院麻类所利用“广丰长果”与“巴长4号”有性杂交选育而成。"	"株型较整齐，植株粗壮，鲜皮较厚，生长势好。纤维产量167公斤/亩以上；纤维支数450支左右，强度44。5公斤/克。中抗黑点炭疽病；叶片较宽厚，光合能力较强。"	"曾作为主栽品种在长江流域大面积推广。利用该种质育成“湘黄麻2号”、“湘黄麻3号”等品种。该种质光合能力强的特性具有重要利用价值。"		"中国农科院麻类所"
"133"	"寸谷糯"	"水稻"	"主要作物"	"地方品种"	"从贵州农科院水稻所引进"	"大粒种质，千粒重为37.7g，全生育期116天。"	"做大粒亲本供育种利用。江西用寸谷糯配置了组合，可望选育大粒型新品种。"		"中国水稻研究所"
"134"	"巴西陆稻IAPAR-9"	"水稻"	"主要作物"	"国外引进品种"	"从巴西引进"	"抗旱，耐瘠薄，抗稻瘟病，主要品质指标达到部颁优质米二级标准。"	"可实行麦稻轮作，替代夏播玉米、大豆、谷类等作物。对发展节水农业，调整旱作粮食结构，具有十分重要的现实意义。以该种质为旱稻亲本已配制40多个组合，可望选育出产量，抗瘟性，抗倒性，米质等超过巴西陆稻的新品种。"		"中国农科院品资所"
"135"	"巴麻72-3"	"黄麻"	"棉麻"	"国外引进品种"	"中国农科院麻类所从巴基斯坦引进后鉴定筛选而成。"	"中熟，株型较整齐，植株粗壮，分枝位高，纤维支数484支；高抗黑点炭疽病；纤维产量167公斤/亩；且有很强的耐淹性。"	"可直接推广利用，在湖滩受淹地区增产更为明显。其良好耐淹特性具有很好利用价值，利用该种质已育成高产，优质、抗病高代品系。"		"中国农科院麻类所"
"136"	"广西玉林羊角椒"	"辣椒"	"蔬菜"	"地方品种"	"“七五”中国农业科学院蔬菜花卉研究所搜集入国家种质库。"	"高抗黄瓜花叶病毒（CMV），平均相对病情指数>3；高辣椒素0.345%；果形大，商品性好，果大小为17.2cmX3.18cm，单果重28g；耐热且耐湿；产量高，生活力强，适应性广。"	"作为辣椒品种直接在生产上推广应用，特别适宜喜爱偏辣羊角地区种植；作为鲜食辣椒抗CMV育种材料，可用于抗病亲本材料；也可用作抗CMV的抗源材料。已提供江苏、湖南、辽宁等省级农业科学院辣椒抗CMV杂交育种利用。"		"江苏省农业科学院蔬菜研究所"
"137"	"成龙水晶米"	"水稻"	"主要作物"	"育成品种"		"综合性状优良，分蘖率较强，长势旺，株型紧凑，田间抗病虫性强，米质的外观品质好。"	"可在生产上直接利用。丽水地区种植表现为米质优、产量高。已有多家育种单位引用。"		"中国水稻研究所"
"138"	"抗寒苹果矮化砧GM310"	"苹果"	"果树"	"育成品种"	"吉林省农科院果树所从红海棠与Mg矮化砧杂交组合中选育出抗寒苹果矮砧GM310。"	"与基砧和嫁接品种金红、龙冠、K9、冬红等多个品种嫁接亲合力好；在嫁接品种后2~3年可见果，比乔化木提早2年；抗寒性强，在公主岭自然条件下越冬无冻害发生，人工模拟低温可抗-39.5℃，相当于山荆子；矮化性好，应用GM310，4~6年生树仅为乔化树的48.2~52.7%；见果头2年，株产可达1~3公斤，3~4年丰产期，株产达5~10公斤；柔韧性较好。"	"抗寒苹果矮砧GM310具有与多品种嫁接亲合性强、矮化性、抗寒性、早果性、丰产性好等特点，且嫁接的接口无大小脚现象，亲合性优于GM256，对寒冷地区矮化苹果的栽培具有广阔的利用前景和价值。在吉林、东北等地推广应用面积达20公顷，利用定植矮化砧嫁接栽培品种，嫁接品种第2年开始见果，3~4年进入丰产期，矮化效果为乔化的左右。自然越冬的情况下，无冻害发生。"		"吉林省农业科学院果树研究所"
"139"	"新三越选"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进的日本品种。"	"分蘖率较强，单株有效穗15.3，结实率58.6%，株型紧凑，田间抗病虫性强，丰产性好。"	"该种质在丽水地区种植表现株型优，田间清秀，抗性强，产量较高，可以直接在生产上利用。也可做育种亲本利用。"		"中国水稻研究所"
"140"	"新油4号"	"油菜"	"油料作物"	"育成品种"	"新疆农科院经作所泽蒙2号♂X556♀杂交选育而成"	"芥酸含量<1%；种皮色泽纯黄，全株角果数>426，耐肥，抗倒伏，产量高，适应性广；耐白锈病和霜霉病；具有恢、保持性。"	"是我国第一代芥菜型低芥酸春油菜品种，由于品质优异，产量高，适应性广，被重点选定为芥菜型油菜骨干亲本材料，供我国春油菜区芥菜型油菜育种利用。对我国发展优质高产芥菜型油菜起到关键作用。其恢、保特性可作为芥菜型油菜细胞质雄性不育系的优良保持系。利用“新油4号”作母本已培育出双低芥菜型油菜“新油8号”；利用其为保持系已配制成芥菜型油菜优势组合。"		"中国农科院油料所"
"141"	"无蜡(4334)"	"小麦"	"主要作物"	"高代品系"	"用小麦品种“Kukoho”与冰草(Agropyroncristatum,2n=4x=28,PPPP)进行远缘杂交，再回交、自交后人工创造的新种质。"	"株型结构好，矮秆，对温光反应不敏感，兼抗白粉病和条锈病，中抗纹枯病，综合农艺性状良好。"	"该种质对拓宽小麦育种遗传基础，培育综合抗病性好，应适性广泛的高产小麦新品种具有重要价值。山西省农科院小麦所用该种质做亲本，配制杂交组合8个，获得F4，有望从中选出适合当地种植的优良品种。"		"中国农科院品资所"
"142"	"日铸茶"	"茶树"	"茶桑"	"地方品种"	"原产于浙江省绍兴县王化乡日铸岭，宁代已有栽培，是古老的地方品种。"	"适制高档名优茶，品质优异。用一芽二叶制烘青茶，总分达91.7~92.4；制茶品质优。氨基酸含量高达3.9%。抗寒性强，在-9.6℃时未有受冻。适应性强。优异性状的遗传性基本稳定。"	"为北部或寒冷茶区提供适应性强，制茶品质优，可直接用于生产；也可用作优质、抗寒绿茶育种材料。已在安徽东至茶树良种场栽培利用，所制“香山云尖”售价比当地主栽品种高50%左右；在江苏无锡建立示范基地。"		"中国农业科学院茶业研究所"
"143"	"早探系"	"棉花"	"棉麻"	"高代品系"	"由美国得克萨斯州引进的Tamcotcamde中的变异株选育而成"	"抗枯萎病，耐黄萎病；纤维品质优良，绒长29.5mm以上，比强22.5CN/tex，马克隆值5.1；皮棉产量比推广品种高6.5%以上。为综合性状好，丰产型种质。"	"播期弹性大，可在小麦地预留棉行中直播或育苗移栽，也可麦收后移栽；铃期短，吐絮畅，比同类品种早3-5天吐完絮；抗灾能力强，水淹20多天或被冰雹打后恢复快。"		"中国农科院棉花所"
"144"	"早硕蜜"	"蟠桃"	"果树"	"育成品种"	"江苏省农业科学院园艺所白芒蟋桃X朝霞杂交后代鉴定筛选获得。"	"成熟极早，果实生育期为65天，比同类早熟品种“新红早”提前上市5天。果实大，平均果重95g，大果重137g，比同期成熟的极早熟品种“早露蟋桃”单果重15%。可溶性固形物为13~15%，果味香浓，具有广泛适应性和较强的抗病虫能力。"	"早硕蜜蟋桃果实成熟极早，填补了蟋桃在极早熟桃品种中的空白。该品种果大、质优、丰产、适应性广，全国各桃区均可种植，亦适合保护地栽培，为设施园艺增添了新的桃品种类型。已在江苏、江西、山东、河北、河南、福建、上海等省（市）推广2500余亩。"		"江苏省农业科学院园艺所"
"145"	"早红2号"	"油桃"	"果树"	"国外引进品种"	"1985年由新西兰引入国家果树种质郑州桃圃，英文名称：EarlyRedTwo"	"果形大，平均单果重150g，最大果250g；外观好，果形圆整，果顶微凹，果皮底色橙黄，全面着深红色；低需冷量，需冷量500小时；抗裂果；早熟、耐贮运、离核：果实生育期92天；早期丰产性好，有花粉，自然坐果率30.4%，密植栽培第二年1200kg/667m2；该品种含有矮化基因，对果形、色泽、离核等优良性状的遗传能力强。"	"适宜保护地和露地栽培，是优良的短低温育种材料，含矮化基因，可作为矮化桃育种材料。作为保护地栽培的主要品种之一，已在辽宁、山东、河南、河北、甘肃等省推广，全国种植面积1.2万亩，三年累计产值6.48亿元。露地栽培面积3万亩，三年累计产值5.4亿元。"		"中国农业科学院郑州果树研究所"
"146"	"早绿地豆"	"菜豆"	"蔬菜"	"国外引进品种"	"吉林省农科院从法国引进，原名“Gally”"	"半产，嫩荚产量1156公斤/亩，早熟，60-70天采嫩荚，全生育期90-100天；矮生、直立、多荚，单株荚数18-22个；高蛋白，籽粒粗蛋白含量为29.98%；中抗炭疽病，高抗病毒病，适应性广。"	"适于城郊蔬菜种植，通过地膜复盖可提前上市增加效益，嫩荚质脆，纤维少，口感好，略带甜味，是一个推广前景十分看好的地豆品种。已通过北京市品种审定。已在北京、河北、内蒙古、黑龙江推广，并已用作育种亲本。"		"中国农科院品资所"
"147"	"晋品1号"	"大豆"	"主要作物"	"育成品种"	"“GBY”（不育株）为母本，“晋豆4号”为父本进行天然异交，采用隔离区法和隔代回交法，轮加选择而成。"	"“晋品1号”为高产菜用大豆，综合农艺性状优良，大粒，易煮熟，口感好，较甜并有浓郁的香味。品质好，脂肪含量20.6%，蛋白质含量40.8%,，含糖较高，抗虫。"	"该品种有较高的商品价值和食用价值，可为城市增添新毛豆品种，该品种已在山西省。北京市广泛种植。"		"山西省农科院品资所"
"148"	"晋品44号(原名1264)"	"大豆"	"主要作物"	"高代品系"	"赤不流黑豆×晋造14号选育而成"	"综合性状优良，高抗大豆孔囊线虫1、3、4号小种，具有一级抗旱性(B19)，蛋白质含量46.1%。"	"可直接用于生产，对抗SCN育种，抗病机理研究，分子标记等研究有一定价值。"		"山西省农科院品资所"
"149"	"朝之光"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进的日本品种。"	"该种质综合性状优良，分蘖率强，单株有效穗16.4，结实率78.6%，株型好，田间抗病虫性强，米质好。"	"可在生产上直接利用。在荆州地区种植，表现良好，可以直接推广。"		"中国水稻研究所"
