"id"	"种质名称"	"种质小类"	"种质大类"	"种质类型"	"种质来源"	"优异性状"	"利用价值"	"评定等级"	"联系单位"
"47"	"Harrington"	"大麦"	"杂粮"	"国外引进品种"	"从美国和加拿大引进。"	"优质啤酒大麦，浸出率达814%，蛋白质含量1009%，超过国家优质啤酒大麦标准，农艺性状优良。"	"引进优质、丰产的啤酒大麦品种经鉴定后推广，是目前生产上急需解决的问题。该种质已在甘肃河西走廊推广利用，1999年经甘肃省农作物品种审定委员会通过审定，2000年推广面积达4万亩。甘肃、新疆用该种质做亲本配制杂交组合，后代表现品质好。"		"中国农科院品资所"
"48"	"Hiproly"	"大麦"	"杂粮"	"国外引进品种"	"从瑞典引进。"	"高蛋白，高赖氨酸，高赖氨酸基因lys位于第7染色体上。"	"为我国饲用和食用大麦育种和科研提供了优质源。扬州大学用该种质做亲本育成“B9602”新品系，蛋白质含量在13%以上，抗倒伏，丰产性好。"		"中国农科院品资所"
"49"	"IACUBA 
          19"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进。"	"该种质分蘖率强，单株有效穗15.7，结实率62.9%，株型好，田间抗病虫性强，米质优，产量较高。"	"可在生产上直接利用，亦可做育种亲本利用。"		"中国水稻研究所"
"50"	"IACUBA 
          23"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"分蘖率较强，单株有效穗10.9，结实率46.5%，株型好，田间抗病虫性强，米质的外观品质好。"	"综合性状优良，米质好，在生产上直接利用效果很好，也可做育种亲本利用。"		"中国水稻研究所"
"51"	"IACUBA 
          26"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进的古巴品种"	"分蘖率较强，单株有效穗13，每穗总粒数为129.2，结实率75.1%，株型好，田间抗病虫性强，产量较高，米质的外观品质好。"	"该种质综合性状优良，产量较高，可在生产上直接利用。亦可做育种亲本等利用。"		"中国水稻研究所。"
"52"	"ICSV691"	"高粱"	"杂粮"	"国外引进品种"	"山西省农科院品资所从国际半干旱热带作物所引进"	"综合性状好，株高适中，穗形好(中散)，通风透光，穗大，对黑穗病免疫，抗靶斑病和高粱蚜虫。"	"可解决目前生产上品种抗病，虫性差的问题，是一个很好的抗病育种材料。"		"中国农科院品资所"
"53"	"IR 
          47310-94-4-3-IR"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"该种质分蘖率较强，单株有效穗11.3，结实率79.3%，田间抗病虫性强。"	"该种质综合性状优良，长势旺，产量较高，已在生产和育种中得到利用。"		"中国水稻研究所"
"54"	"IR 
          65598-112-2"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"综合性状优良，穗大粒多，抗倒性强。有热带粳稻的血缘。"	"可在我国水稻超高产育种中发挥作用，并作为新株型材料已在育种中得以利用。"		"中国水稻研究所"
"55"	"IR 
          69116-67-3-2-3"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"该种质株型紧凑，抗倒性强，分蘖率较弱，单株有效穗9.3，结实率44.1%，田间抗病虫性强。有热带粳稻的血缘。"	"可做育种亲本利用，并已在超高产育种中得到了利用。"		"中国水稻研究所"
"56"	"IR 
          71217-24-1-2"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"综合性状优良，分蘖率较弱，单株有效穗11.0，穗大，结实率70.8%，株型好，抗倒性强，田间抗病虫性强。"	"可做育种材料利用。"		"中国水稻研究所"
"57"	"IR-BB1"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"综合性状优良，高抗白叶枯病，单株有效穗7.0，结实率67.0%。"	"该种质是抗性育种的优异亲本，并已配置杂交组合，有较好苗头株系。"		"中国水稻研究所"
"58"	"IR-BB207"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"高抗白叶枯病，单株有效穗7.0，穗大，结实率55.4%。"	"可做育种亲本利用，在荆州地区种植表现抗白叶枯病强，米质优，产量高，可直接推广利用。"		"中国水稻研究所"
"59"	"IR9115-40-1-3"	"水稻"	"主要作物"	"国外引进品种"	"从国际水稻所引进"	"综合性状优良，中抗褐飞虱，抗叶瘟。分蘖强，单株有效穗19.7，结实率77.4%。"	"可在生产上直接利用，并作双抗材料已做育种亲本利用。"		"中国水稻研究所"
"60"	"IRAT 
          109"	"水稻"	"主要作物"		"从科特迪瓦引进"	"该种质株型好，分蘖率较强，单株有效穗9.4，结实率58.0%，配合力高，所配组合杂交优势强，抗稻瘟病强，谷粒大，米质的外观品质好。抗旱性强。"	"可作抗旱品种在缺水地区种植，在襄樊等地种植表现较好。亦可做抗旱亲本在育种中利用。"		"中国水稻研究所"
"61"	"ITA 
          182"	"水稻"	"主要作物"	"国外引进品种"	"从尼日利亚引进"	"该种质分蘖率弱，株型好，田间抗病虫性强，具有广亲和性，配合力好。"	"做育种材料，已经得到几个有希望的新组合。"		"中国水稻研究所"
"62"	"ITA 
          233"	"水稻"	"主要作物"	"国外引进品种"	"从国际热带农业研究所引进"	"为大粒种质，千粒重39.1g。株型好，长相清秀，田间抗性好。"	"做育种亲本利用。该种质在丽水地区表现株型好，大粒，多抗，已作为亲本加以利用。"		"中国水稻研究所"
"63"	"J-1-113"	"红麻"	"棉麻"	"国外引进抗源"	"作为特异抗源从美国引进后经改良创新获得"	"高抗红麻根结线虫病，是栽培类型目前发现的唯一高抗源；综合农艺性状较好，杆硬抗倒，晚熟类型；中抗红麻炭疽病，耐旱、耐涝性较强；遗传基础稳定，适应性较广，纤维产量240公斤/亩；纤维品质较好，纤维支数265支，纤维强力431.2牛顿/克，符合纺织要求。"	"可在病区作应急品种直接种植，又可作抗源亲本，是我国红麻抗线虫育种和生产上急需的特异抗源。已被多家红麻育种单位利用，并已育成4个高抗根结线虫病的高代品系。"		"中国农科院麻类所"
