"id"	"统一编号"	"品种名称"	"原产地"	"亲本来源"	"保存单位"	"保存编号"	"播种期"	"株高"	"穗位高"	"主茎叶片数"	"雄穗分枝数"	"抽丝日数"	"生育日数"	"双穗率"	"穗形"	"粒型"	"粒色"	"轴色"	"穗长"	"穗粗"	"穗行数"	"千粒重"	"地点"	"播种日期"	"株型"	"单株粒重"	"出籽率"	"大斑病"	"小斑病"	"黑穗病"	"花叶病"	"粗蛋白"	"粗脂肪"	"总淀粉"	"赖氨酸"
"47"	"0L040078"	"D805-南4-47"	"临汾市"	"DS05×SC704"	"山西农科院品资所"	"S135"	"4/29"	"170"	"62"	"17"		"95"	"116"	"49.0"	"柱"	"马齿"	"黄"	"红"	"18.2"	"3.8"	"12-14"	"320.0"	"太原"	"4.29"	"中间"	"91.0"	"80.0"	"MS"	"MR"	"R"	"S"	"12.05"	"4.27"	"69.58"	"0.280
"
"48"	"0L040101"	"KH14"	"忻州市"	"忻综五号"	"山西农科院玉米所"	"省0043"	"4/28"	"160"	"70"	"20"		"86"	"135"	"55.0"	"中间"	"中间"	"黄"	"粉"	"15.2"	"3.8"	"14"	"289.0"	"忻州"	"4.28"				"MS"	"S"	"HR"	"S"	"11.37"	"3.46"	"70.76"	"0.270
"
"49"	"0L040102"	"KH23"	"忻州市"	"晚抗群体"	"山西农科院玉米所"	"省0044"	"4/28"	"210"	"90"	"20"		"86"	"134"	"10.0"	"锥"	"中间"	"黄、红"	"粉"	"16.0"	"3.9"	"14"	"330.0"	"忻州"	"4.28"								"11.87"	"4.78"	"70.08"	"0.300
"
"50"	"0L040118"	"XZ45"	"忻州市"	"P6群体"	"山西农科院玉米所"	"省0060"	"4/28"	"196"	"66"	"22"		"88"	"134"	"17.0"	"柱"	"中间"	"黄"	"白"	"16.0"	"4.8"	"16"	"350.0"	"忻州"	"4.28"				"MS"	"MS"	"R"	"MR"	"11.81"	"5.09"	"67.19"	"0.250
"
"51"	"0L040119"	"XZ50"	"忻州市"	"P6群体"	"山西农科院玉米所"	"省0061"	"4/28"	"143"	"52"	"21"	"少"	"88"	"134"	"17.0"	"柱"	"偏马"	"黄、红"	"红"	"13.2"	"4.8"	"16"	"284.0"	"忻州市"	"4.28"				"S"	"MS"	"HR"	"S"	"12.83"	"3.6"	"66.92"	"0.283
"
"52"	"0L040122"	"VG85-5"	"忻州市"	"5003×关17"	"山西农科院玉米所"	"省0064"	"4/28"	"135"	"45"	"19"	"多"	"83"	"131"	"85.0"	"中间"	"马齿"	"黄"	"红"	"14.2"	"3.8"	"14"	"256.0"	"忻州市"	"4.28"				"S"	"MS"	"R"	"S"	"11.52"	"2.62"	"69.42"	"0.280
"
"53"	"0L050013"	"82黄8"	"赤峰农科所"	"6202B/334-11"	"赤峰市农科所"	"自13"	"5/2"	"151"	"44"	"17"	"多"	"87"	"120"	"78.1"	"柱"	"马齿"	"黄"	"白"	"16.2"	"4.3"	"12-14"	"294.0"	"赤峰市"	"5.02"	"上冲"	"43.3"	"66.5"			"HR"	"S"				
"54"	"0L050015"	"82黄6"	"赤峰农科所"	"维门粗"	"赤峰市农科所"	"自15"	"5/2"	"199"	"53"	"19"	"中"	"82"	"119"	"19.4"	"柱"	"马齿"	"黄"	"红"	"20.0"	"4.6"	"16-18"	"377.0"	"赤峰市"	"5.02"	"中间"	"79.4"	"78.6"	"MS"	"S"	"HR"	"S"	"12.7"	"4.14"	"68.46"	
"55"	"0L060029"	"朝23"	"沈阳市"	"65-2×330"	"辽宁农科院育种所"	"1-0238"	"4/27"	"158"	"60"	"19"	"多"	"95"	"137"	"13.0"	"柱"	"马齿"	"黄"	"红"	"13.5"	"4.7"	"20"	"260.0"	"沈阳市"	"4.27"	"中间"	"80.0"	"80.0"	"S"	"S"	"S"	"S"	"11.15"	"4.3"	"69.34"	
"56"	"0L060034"	"铁205"	"铁岭市"	"朝阳黄马牙"	"辽宁农科院育种所"	"1-0255"	"4/27"	"175"	"63"	"21"	"多"	"95"	"135"	"15.0"	"柱"	"马齿"	"黄"	"红"	"9.5"	"4.6"	"16"	"306.0"	"沈阳市"	"4.27"	"中间"	"105.0"	"79.3"	"R"	"MS"	"S"	"S"	"10.27"	"4.58"	"69.03"	
"57"	"0L060058"	"高5-16"	"本溪县"	"B/O O 331"	"辽宁农科院育种所"	"1-0337"	"4/27"	"199"	"70"	"22"	"多"	"90"	"138"	"11.0"	"柱"	"马齿"	"黄"	"白"	"14.4"	"3.8"	"14"	"259.0"	"沈阳市"	"4.27"	"中间"			"MR"	"MS"		"S"	"12.74"	"5.07"	"64.22"	
"58"	"0L060117"	"沈118"	"沈阳市"	"B73×超甜"	"辽宁沈阳市农科所"	"S005"	"4/24"	"145"	"50"	"19"	"中"	"72"	"145"	"30.0"	"柱"	"马齿"	"黄"	"红"	"14.5"	"4.5"	"16"	"330.0"	"沈阳市"	"4.24"	"中间"			"MS"	"S"	"R"	"S"	"12.2"	"4.48"	"68.16"	"0.262
"
"59"	"0L060120"	"沈125"	"沈阳市"	"6045/(5003×E28)"	"辽宁沈阳市农科所"	"S008"	"4/24"	"220"	"90"	"20"	"中"	"61"	"145"	"3.4"	"柱"	"马齿"	"黄"	"红"	"20.5"	"5.0"	"14"	"364.0"	"沈阳市"	"4.24"	"上冲"			"S"	"MS"	"S"	"S"	"11.32"	"4.17"	"68.86"	"0.249
"
"60"	"0L060249"	"7922"	"铁岭市"	"美国杂交种"	"辽宁铁岭市农科所"	"211"	"4/19"	"255"	"93"	"19"	"中"	"77"	"135"	"73.1"	"柱"	"马齿"	"黄"	"白"	"15.0"	"4.8"	"16"	"293.0"	"铁岭市"	"4.19"	"中间"			"MS"	"MS"	"R"	"S"	"10.15"	"5.07"	"70.23"	"0.232
"
"61"	"0L070011"	"大W1024"	"吉林省"	"吉双3号"	"吉林白城市农科所"	"1104"	"春"	"192"	"72"	"18"		"85"	"112"	"14.8"	"长锥"	"偏马"	"黄"	"红"	"17.8"	"4.2"	"16"	"287.0"	"白城市"	"4.24"	"平展"	"98.0"	"85.0"			"HR"					
"62"	"0L070034"	"吉770"	"公主岭市"	"吉63×M14"	"吉林农科院玉米所"	"10018"	"4/26"	"209"	"65"	"20"	"少"	"89"	"142"	"1.1"	"长锥"	"马齿"	"黄"	"红"	"17.3"	"4.0"	"16"	"216.0"	"公主岭市"	"4.26"	"中间"	"105.0"	"85.0"	"HR"	"MS"			"11.0"	"4.71"	"71.51"	
"63"	"0L070066"	"吉846"																																	
"64"	"0L070096"	"吉880"	"公主岭市"	"哲B77A"	"吉林农科院玉米所"	"10075"	"4/26"	"220"	"80"	"20"	"少"	"91"	"147"	"10.0"	"柱"	"偏硬"	"桔黄"	"浅红"	"20.0"	"3.8"	"14"	"247.0"	"公主岭市"	"4.26"	"上冲"	"113.0"	"79.3"	"MR"	"MR"	"HS"	"S"	"9.76"	"4.65"	"71.62"	"0.232
"
"65"	"0L130025"	"岩38"	"龙岩市"	"鲁单38"	"福建龙岩农科所"	"117"	"8/7"	"194"	"70"	"16"	"中"	"50"	"106"	"25.0"	"锥"	"偏马"	"黄"	"白"	"14.6"	"4.6"	"16"	"224.0"	"龙岩市"	"8.07"	"上冲"	"120.3"	"84.3"	"MS"	"S"	"S"	"R"	"13.07"	"4.55"	"67.54"	"0.310
"
"66"	"0L150051"	"H5-1-2"	"泰安市"	"黄早4×矮旅9"	"山东农科院玉米所"	"1417"	"4/24"	"126"	"33"	"17"	"中"	"77"	"110"	"0.1"	"柱"	"硬粒"	"黄"	"红"	"10.0"	"3.1"	"12"	"270.0"	"济南市"	"4.24"	"上冲"	"50.0"	"75.0"	"MS"	"MS"	"S"	"S"				
"67"	"0L150057"	"7910421"	"济宁市"		"山东农科院玉米所"	"1438"	"4/24"	"101"	"33"	"19"	"中"	"79"	"115"	"0.5"	"柱"	"硬粒"	"黄"	"红"	"11.0"	"3.0"	"10"	"235.0"	"济南市"	"4.24"				"MS"	"MS"	"R"	"S"	"13.46"	"4.24"	"66.15"	"0.300
"
"68"	"0L150095"	"原齐722"	"济南市"	"(原武02×齐31)r"	"山东农科院原子能所"	"1406"	"4/23"	"125"	"40"	"20"	"中"	"77"	"118"	"1.4"	"锥"	"硬粒"	"黄"	"红"	"13.5"	"4.3"	"16"	"Null"	"济南市"	"4.23"	"上冲"			"MS"	"MS"	"R"	"S"	"13.03"	"3.98"	"68.11"	"0.325
"
"69"	"0L150100"	"鲁原92"	"济南市"	"(原齐123×1137)S"	"山东农科院原子能所"	"1446"	"4/23"	"165"	"60"	"17"	"少"	"76"	"110"	"1.0"	"锥"	"马齿"	"黄"	"红"	"15.0"	"4.5"	"14"	"258.0"	"济南市"	"4.23"	"上冲"			"S"	"MS"	"R"	"S"	"12.2"	"4.62"	"70.54"	"0.300
"
"70"	"0L160016"	"32"	"郑州市"	"3382"	"河南农科院粮作所"	"L玉-016"	"6/15"	"165"	"45"	"20"	"少"	"52"	"94"	"25.0"	"锥"	"马齿"	"黄"	"白"	"14.0"	"3.5"	"10"	"190.0"	"郑州市"	"4.28"	"上冲"	"52.0"	"80.7"								
"71"	"0L160020"	"郑白11"	"河南农科院"	"墨白"	"河南农科院粮作所"	"L玉-020"	"4/21"	"150"	"35"	"12"	"中"	"55"	"106"	"25.0"	"柱"	"偏硬"	"白"	"白"	"18.5"	"3.6"	"12"	"227.0"	"郑州市"	"4.28"	"上冲"	"108.0"	"85.6"		"HR"		"S"	"11.09"	"3.53"	"69.74"	"0.274
"
"72"	"0L160024"	"153A"	"河南农大"	"群体"	"河南农科院粮作所"	"L玉-024"	"4/20"	"180"	"80"	"18"	"中"	"55"	"105"	"95.0"	"柱"	"硬粒"	"淡黄"	"白"	"10.0"	"4.0"	"14"	"230.0"	"郑州市"	"4.28"	"上冲"	"56.5"	"82.9"				"S"	"12.02"	"4.32"	"69.7"	"0.338
"
"73"	"0L160058"	"郑34"	"河南农科院"	"340分离"	"河南农科院粮作所"	"L玉-058"	"4/20"	"170"	"40"	"13"	"多"	"73"	"109"	"5.0"	"柱"	"偏马"	"黄"	"白"	"12.0"	"4.8"	"20"	"312.0"	"郑州市"	"4.28"	"中间"	"92.0"	"70.8"				"S"	"10.44"	"3.71"	"69.35"	"0.265
"
"74"	"0L210028"	"秋23"	"成都市"	"南充秋子"	"四川农科院作物所"	"16"	"3/26"	"165"	"65"	"21"	"中"	"86"	"123"	"11.8"	"锥"	"硬粒"	"黄"	"白"	"14.7"	"3.5"	"14-16"	"172.0"	"成都市"	"3.26"	"中间"	"36.2"	"78.9"	"MS"	"HS"	"R"	"S"	"10.44"	"4.37"	"71.6"	"0.254
"
"75"	"0L210030"	"朝甲4-6 Ht"	"成都市"	"朝鲜玉米"	"四川农科院作物所"	"18"	"3/26"	"194"	"91"	"19"	"中"	"84"	"120"	"27.8"	"柱"	"中间"	"黄"	"红、白"	"18.2"	"3.6"	"12-14"	"172.0"	"成都市"	"3.26"	"上冲"	"57.4"	"75.5"	"MS"	"S"	"R"	"HR"	"13.03"	"4.43"	"65.5"	"0.312
"
