"id"	"熟性"	"科名"	"品质"	"品种名称"	"小裂片对数"	"叶面蜡粉"	"叶面"	"株幅"	"收获期"	"开展度"	"省"	"叶裂刻"	"定植期"	"耐寒性"	"叶缘"	"肉质"	"单产"	"播种期"	"属名"	"统一编号"	"芥辣味"	"叶柄宽"	"学名"	"抗逆性"	"叶柄厚"	"繁种单位"	"生长期"	"叶柄色"	"耐旱性"	"株型"	"叶色"	"叶面刺毛"	"抗虫性"	"叶形"	"耐涝性"	"叶柄长"	"贮藏性"	"叶柄特征"	"备注"	"叶长"	"抗病性"	"结球性"	"叶宽"	"单株重"	"单位编号"	"译名"	"品种来源"	"用途"	"耐热性"	"栽培时期"	"种子千粒重"	"株高"	"分蘖性"	"叶翼"	"种质库编号"
"37"	"--"	"Cruciferae(十字花科)"	"--"	"雪里蕻"	"--"	"--"	"皱缩"	"--"	"--"	"50.0"	"河北"	"--"	"--"	"--"	"深齿"	"纤维中"	"4000"	"--"	"Brassica(芸薹属)"	"V03A0158"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"河北农科院蔬菜所"	"60"	"--"	"--"	"--"	"深绿"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"细长"	"--"	"--"	"中"	"--"	"--"	"200.0"	"蕻2号"	"XUE LI HONG"	"石家庄市"	"腌制"	"--"	"8中-10中"	"--"	"45.0"	"中"	"--"	"Ⅱ3A0495"
"38"	"--"	"Cruciferae(十字花科)"	"--"	"登封花叶芥"	"--"	"--"	"稍皱"	"--"	"--"	"--"	"河南"	"--"	"--"	"--"	"深齿"	"柔嫩"	"--"	"--"	"Brassica(芸薹属)"	"V03A0159"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"河南农科院园艺所"	"50"	"--"	"--"	"--"	"紫绿"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"圆"	"--"	"--"	"--"	"--"	"--"	"--"	"3B0025"	"DENG FENG HUA YE JIE"	"河南登封县"	"腌制"	"--"	"8下-9中"	"--"	"58.0"	"弱"	"--"	"Ⅱ3A0267"
"39"	"--"	"Cruciferae(十字花科)"	"--"	"方城腊菜"	"--"	"--"	"稍皱"	"--"	"--"	"--"	"河南"	"--"	"--"	"--"	"深齿"	"脆嫩"	"3000"	"--"	"Brassica(芸薹属)"	"V03A0160"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"中"	"--"	"河南农科院园艺所"	"180"	"--"	"--"	"--"	"深绿"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"--"	"--"	"--"	"--"	"3B0016"	"FANG CHENG LA CAI"	"河南方城县"	"腌制"	"--"	"9下-次年3下"	"--"	"44.3"	"中"	"--"	"Ⅱ3A0210"
"40"	"--"	"Cruciferae(十字花科)"	"--"	"固始雪里蕻"	"--"	"--"	"稍皱"	"--"	"--"	"--"	"河南"	"--"	"--"	"--"	"深齿"	"柔嫩"	"--"	"--"	"Brassica(芸薹属)"	"V03A0161"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"耐湿"	"--"	"河南农科院园艺所"	"60"	"--"	"--"	"--"	"深绿"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"扁圆"	"--"	"--"	"--"	"--"	"--"	"--"	"3B0022"	"GU SHI XUE LI HONG"	"河南固始县"	"腌制"	"--"	"8下-10上"	"--"	"48.7"	"中"	"--"	"Ⅱ3A0212"
"41"	"--"	"Cruciferae(十字花科)"	"--"	"荥阳小芥"	"--"	"--"	"稍皱"	"--"	"--"	"--"	"河南"	"--"	"--"	"--"	"深齿"	"柔嫩"	"2000"	"--"	"Brassica(芸薹属)"	"V03A0185"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"河南农科院园艺所"	"90"	"--"	"--"	"--"	"深绿"	"--"	"--"	"长椭圆"	"--"	"--"	"--"	"圆"	"--"	"--"	"--"	"--"	"--"	"--"	"3B0023"	"XING YANG XIAO JIE"	"河南荥阳县"	"腌制"	"--"	"8中-11中"	"--"	"43.0"	"强"	"--"	"Ⅱ3A0213"
"42"	"--"	"Cruciferae(十字花科)"	"--"	"紫叶芥"	"--"	"--"	"中皱"	"--"	"--"	"75.0"	"湖北"	"--"	"--"	"--"	"锯齿"	"粗糙"	"2000"	"--"	"Brassica(芸薹属)"	"V03A0186"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"湖北农科院经作所"	"--"	"--"	"--"	"--"	"紫绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"宽厚"	"秋冬栽培"	"--"	"强"	"--"	"--"	"2500.0"	"Ⅱ3A0009"	"ZI YE JIE"	"湖北大悟县"	"腌制"	"--"	"9中-3中下"	"--"	"85.0"	"弱"	"--"	"Ⅱ3A0382"
"43"	"--"	"Cruciferae(十字花科)"	"--"	"板叶芥菜"	"--"	"--"	"稍皱"	"--"	"--"	"80.0"	"湖北"	"--"	"--"	"--"	"锯齿"	"粗糙"	"2000"	"--"	"Brassica(芸薹属)"	"V03A0187"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"湖北农科院经作所"	"--"	"--"	"--"	"--"	"淡绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"扁圆"	"秋冬栽培"	"--"	"强"	"--"	"--"	"2800.0"	"Ⅱ3A0007"	"BAN YE JIE CAI"	"湖北鄂州市"	"腌制"	"--"	"9中-3中下"	"--"	"77.5"	"弱"	"--"	"Ⅱ3A0379"
"44"	"--"	"Cruciferae(十字花科)"	"--"	"花叶芥菜"	"--"	"--"	"中皱"	"--"	"--"	"60.0"	"湖北"	"--"	"--"	"--"	"锯齿"	"粗糙"	"2000"	"--"	"Brassica(芸薹属)"	"V03A0188"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"湖北农科院经作所"	"--"	"--"	"--"	"--"	"绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"宽厚"	"秋冬栽培"	"--"	"强"	"--"	"--"	"3000.0"	"Ⅱ3A0011"	"HUA YE JIE CAI"	"湖北鄂州市"	"腌制"	"--"	"9中-3中下"	"--"	"75.0"	"弱"	"--"	"Ⅱ3A0378"
"45"	"--"	"Cruciferae(十字花科)"	"--"	"芥菜"	"--"	"--"	"稍皱"	"--"	"--"	"77.5"	"湖北"	"--"	"--"	"--"	"锯齿"	"粗糙"	"2000"	"--"	"Brassica(芸薹属)"	"V03A0189"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"湖北农科院经作所"	"--"	"--"	"--"	"--"	"紫绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"圆"	"秋冬栽培"	"--"	"强"	"--"	"--"	"2500.0"	"Ⅱ3A0008"	"JIE CAI"	"湖北恩施市"	"腌制"	"--"	"9中-3中下"	"--"	"77.5"	"弱"	"--"	"Ⅱ3A0383"
"46"	"--"	"Cruciferae(十字花科)"	"--"	"雪里蕻"	"--"	"--"	"中皱"	"--"	"--"	"30.0"	"湖北"	"--"	"--"	"--"	"锯齿"	"粗糙"	"1375"	"--"	"Brassica(芸薹属)"	"V03A0198"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"湖北农科院经作所"	"90"	"--"	"--"	"--"	"绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"圆"	"秋冬栽培"	"--"	"强"	"--"	"--"	"2300.0"	"Ⅱ3A0012"	"XUE LI HONG"	"湖北钟祥县"	"腌制"	"--"	"8下-4上"	"--"	"35.0"	"强"	"--"	"Ⅱ3A0380"
"47"	"--"	"Cruciferae(十字花科)"	"--"	"芥菜"	"--"	"--"	"稍皱"	"--"	"--"	"70.0"	"湖北"	"--"	"--"	"--"	"锯齿"	"粗糙"	"2000"	"--"	"Brassica(芸薹属)"	"V03A0199"	"中"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"强"	"--"	"湖北农科院经作所"	"--"	"--"	"--"	"--"	"紫绿"	"--"	"--"	"倒卵"	"--"	"--"	"--"	"宽厚"	"秋冬栽培"	"--"	"强"	"--"	"--"	"3000.0"	"Ⅱ3A0006"	"JIE CAI"	"湖北秭归县"	"腌制"	"--"	"9中-3中下"	"--"	"70.0"	"弱"	"--"	"Ⅱ3A0384"
"48"	"--"	"Cruciferae(十字花科)"	"--"	"泡泡青菜"	"--"	"--"	"多皱"	"--"	"--"	"93.8"	"湖南"	"--"	"--"	"--"	"全缘"	"脆嫩"	"2250"	"--"	"Brassica(芸薹属)"	"V03A0200"	"浓"	"--"	"Brassica juncea var. foliosa Bailey(叶芥菜)"	"中"	"--"	"湖南农科院蔬菜所"	"140"	"--"	"--"	"--"	"绿"	"--"	"--"	"椭圆"	"--"	"--"	"--"	"长圆"	"叶茎兼用"	"--"	"强"	"--"	"--"	"1467.0"	"3-A31"	"PAO PAO QING CAI"	"湖南常德市"	"熟食腌制"	"--"	"8中8下-9中下-1上2下"	"--"	"39.9"	"弱"	"--"	"Ⅱ3A0090"
