"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"66"	"晚"	"88M-2"	"地冬瓜"	"葡匐蔓生"	"DI DONG GUA"	"10.0"	"140"	"多"	"强"	"中"	"灰"	"--"	"掌状"	"--"	"--"	"4500"	"灰色"	"*"	"--"	"--"	"--"	"17"	"宁夏"	"V05E0171"	"宁夏农科院园艺所"	"强"	"Ⅱ5C0124"	"宁夏银川市"	"--"	"4中-9中"	"--"	"具刺"
"67"	"中"	"8"	"广饶大冬瓜"	"葡匐蔓生"	"GUANG RAO DA DONG GUA"	"5.6"	"125"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"6000"	"--"	"*"	"圆柱形"	"--"	"--"	"25"	"山东"	"V05E0172"	"山东农科院蔬菜所"	"--"	"Ⅱ5C0062"	"山东广饶县"	"--"	"4-9"	"--"	"棱"
"68"	"早"	"2-(1)"	"惠民冬瓜"	"葡匐蔓生"	"HUI MIN DONG GUA"	"3.5"	"115"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"4000"	"--"	"*"	"圆柱形"	"--"	"--"	"14"	"山东"	"V05E0173"	"山东农科院蔬菜所"	"--"	"Ⅱ5C0058"	"山东惠民县"	"--"	"4-8"	"--"	"棱"
"69"	"中"	"24"	"蓬莱冬瓜"	"葡匐蔓生"	"PENG LAI DONG GUA"	"7.5"	"125"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"6250"	"--"	"*"	"圆柱形"	"--"	"--"	"28"	"山东"	"V05E0177"	"山东农科院蔬菜所"	"--"	"Ⅱ5C0080"	"山东篷莱县"	"--"	"4-9"	"--"	"平"
"70"	"--"	"Ⅱ5C014-2"	"屯里冬瓜"	"蔓生"	"TUN LI DONG GUA"	"6.5"	"--"	"多"	"中"	"--"	"--"	"--"	"心形"	"--"	"--"	"2250"	"--"	"--"	"圆形"	"多"	"--"	"19"	"山西"	"V05E0193"	"山西农科院蔬菜所"	"中"	"Ⅱ5C0006"	"山西临汾市"	"--"	"4上-9中"	"--"	"--"
"71"	"中"	"Ⅱ5C013"	"园籽冬瓜"	"蔓生"	"YUAN ZI DONG GUA"	"5.8"	"120"	"多"	"强"	"--"	"绿"	"--"	"心形"	"微甜"	"--"	"3983"	"绿色"	"*"	"圆形"	"--"	"软"	"18"	"山西"	"V05E0194"	"山西农科院蔬菜所"	"耐热"	"Ⅱ5C0004"	"山西临汾市"	"--"	"4中-5中-9中"	"--"	"棱"
"72"	"中"	"Ⅱ5C0043"	"孝义架冬瓜"	"攀援蔓生"	"XIAO YI JIA DONG GUA"	"7.4"	"165"	"多"	"强"	"中"	"绿"	"--"	"心形"	"--"	"--"	"5000"	"奶油色"	"--"	"圆柱形"	"--"	"微甜"	"19"	"山西"	"V05E0200"	"山西农科院蔬菜所"	"中"	"Ⅱ5C0182"	"山西孝义县"	"--"	"4上-9中"	"--"	"平"
"73"	"晚"	"Ⅱ5C0024"	"翼城大冬瓜"	"蔓生"	"YI CHENG DA DONG GUA"	"7.5"	"130"	"多"	"弱"	"--"	"绿"	"--"	"心形"	"微甜"	"--"	"5161"	"绿色"	"*"	"圆柱形"	"--"	"软"	"19"	"山西"	"V05E0204"	"山西农科院蔬菜所"	"耐热"	"Ⅱ5C0057"	"山西翼城县"	"--"	"4中-5中-9下"	"--"	"棱"
"74"	"中"	"Ⅱ5C045"	"运城冬瓜"	"攀援蔓生"	"YUN CHENG DONG GUA"	"5.7"	"165"	"多"	"中"	"中"	"绿"	"--"	"心形"	"--"	"--"	"4500"	"奶油色"	"--"	"扁圆形"	"--"	"微甜"	"14"	"山西"	"V05E0205"	"山西农科院蔬菜所"	"中"	"Ⅱ5C0083"	"山西运城县"	"--"	"4上-9中"	"--"	"平"
"75"	"晚"	"9a-312"	"西安笨冬瓜"	"葡匐蔓生"	"XI AN BEN DONG GUA"	"12.5"	"110"	"多"	"--"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"7500"	"--"	"*"	"圆柱形"	"--"	"--"	"--"	"陕西"	"V05E0207"	"陕西农科院蔬菜所"	"--"	"Ⅱ5C0187"	"陕西西安市"	"--"	"3中-7上9中"	"--"	"--"
"76"	"早"	"S24-7"	"六叶小青冬瓜"	"葡匐蔓生"	"LIU YE XIAO QING DONG GUA"	"7.0"	"110"	"少"	"弱"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"4500"	"绿色"	"*"	"圆柱形"	"--"	"致密"	"10"	"上海"	"V05E0208"	"上海农科院园艺所"	"中"	"Ⅱ5C0129"	"上海"	"--"	"2上播种4中定植6上始收"	"斑块状"	"--"
"77"	"晚"	"S24-3"	"大青皮冬瓜"	"葡匐蔓生"	"DA QING PI DONG GUA"	"17.5"	"125"	"少"	"弱"	"重感"	"绿"	"--"	"掌状"	"--"	"--"	"4000"	"绿色"	"*"	"椭圆形"	"--"	"致密"	"14"	"上海"	"V05E0209"	"上海农科院园艺所"	"弱"	"Ⅱ5C0084"	"上海青浦县"	"--"	"2下-4下-6下"	"--"	"--"
"78"	"中"	"S24-2"	"有边子冬瓜"	"葡匐蔓生"	"YOU BIAN ZI DONG GUA"	"15.0"	"200"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1500"	"绿色"	"--"	"椭圆形"	"无"	"圆滑致密"	"--"	"上海"	"V05E0210"	"上海农科院园艺所"	"耐热"	"Ⅱ5C0101"	"上海上海县"	"--"	"--"	"--"	"平"
"79"	"中"	"I3-002"	"成都大冬瓜"	"攀援蔓生"	"CHENG DU DA DONG GUA"	"8.5"	"130"	"多"	"强"	"不抗枯萎"	"绿"	"--"	"心形"	"微甜"	"--"	"3000"	"绿色"	"*"	"圆柱形"	"--"	"汁多软"	"18"	"四川"	"V05E0211"	"成都市第一农科所"	"耐热"	"Ⅱ5C0148"	"四川成都市"	"--"	"3下播-4上中定植-8始收"	"--"	"平"
"80"	"晚"	"I3-024"	"梅林大冬瓜"	"攀援蔓生"	"MEI LIN DA DONG GUA"	"15.0"	"150"	"多"	"中"	"--"	"绿"	"--"	"掌状"	"微甜"	"--"	"5000"	"绿色"	"*"	"圆柱形"	"--"	"致密"	"15"	"四川"	"V05E0214"	"成都市第一农科所"	"--"	"Ⅱ5C0119"	"四川天全县"	"--"	"3-8"	"--"	"具刺"
"81"	"中"	"5C-001"	"白皮冬瓜"	"攀援蔓生"	"BAI PI DONG GUA"	"10.0"	"90"	"多"	"中"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"5000"	"绿色"	"*"	"圆柱形"	"--"	"软"	"8"	"天津"	"V05E0218"	"天津农科院蔬菜所"	"耐热旱"	"Ⅱ5C0030"	"天津汉沽区"	"--"	"4下-7下"	"--"	"具刺"
"82"	"中"	"5C-003"	"菊花青"	"攀援蔓生"	"JU HUA QING"	"18.0"	"125"	"--"	"强"	"抗白粉霜霉"	"绿"	"--"	"掌状"	"微甜"	"--"	"7500"	"绿色"	"*"	"圆形"	"--"	"软"	"15"	"天津"	"V05E0219"	"天津农科院蔬菜所"	"耐旱"	"Ⅱ5C0031"	"天津西郊区"	"--"	"4-8中"	"--"	"具刺"
"83"	"中"	"86-66"	"大冬瓜"	"蔓生"	"DA DONG GUA"	"--"	"--"	"--"	"--"	"--"	"绿"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"圆柱形"	"--"	"--"	"--"	"新疆"	"V05E0220"	"新疆农科院园艺所"	"中"	"Ⅱ5C0014"	"新疆81年征"	"--"	"--"	"--"	"平"
"84"	"晚"	"86-3"	"枕头冬瓜"	"葡匐蔓生"	"ZHEN TOU DONG GUA"	"3.0"	"132"	"多"	"中"	"中"	"黄"	"--"	"掌状"	"--"	"--"	"2000"	"黄色"	"--"	"圆柱形"	"--"	"硬,微甜"	"11"	"新疆"	"V05E0221"	"新疆农科院园艺所"	"中"	"Ⅱ5C0070"	"新疆石河子市"	"--"	"4中-9下"	"--"	"棱"
"85"	"早"	"86-62"	"长冬瓜"	"葡匐蔓生"	"CHANG DONG GUA"	"7.7"	"119"	"多"	"中"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"2667"	"绿色"	"--"	"圆柱形"	"--"	"软"	"11"	"新疆"	"V05E0222"	"新疆农科院园艺所"	"强"	"Ⅱ5C0069"	"新疆石河子市"	"--"	"4中-9下"	"--"	"棱"
"86"	"中"	"27#"	"滑皮冬瓜"	"葡匐蔓生"	"HUA PI DONG GUA"	"22.8"	"120"	"少"	"强"	"中"	"绿"	"--"	"心形"	"微甜"	"--"	"1250"	"灰色"	"--"	"圆柱形"	"--"	"软"	"22"	"云南"	"V05E0224"	"云南农科院园艺所"	"耐湿热"	"Ⅱ5C0181"	"云南昆明市"	"--"	"4中-9中"	"--"	"平"
"87"	"早"	"16070"	"圆冬瓜"	"葡匐蔓生"	"YUAN DONG GUA"	"1.5"	"110"	"多"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"1313"	"绿色"	"--"	"圆柱形"	"多"	"圆滑致密"	"8"	"浙江"	"V05E0226"	"浙江农科院园艺所"	"中"	"Ⅱ5C0178"	"浙江杭州市"	"--"	"2下-8上"	"--"	"平"
"88"	"中"	"16075"	"青冬瓜"	"葡匐蔓生"	"QING DONG GUA"	"18.0"	"150"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"2000"	"绿色"	"--"	"扁圆形"	"多"	"圆滑致密"	"--"	"浙江"	"V05E0227"	"浙江农科院园艺所"	"强"	"Ⅱ5C0189"	"浙江临海市"	"--"	"4上-8下"	"--"	"平"
"89"	"--"	"16076"	"早冬瓜"	"葡匐蔓生"	"ZAO DONG GUA"	"5.0"	"--"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"2500"	"绿色"	"--"	"扁圆形"	"有"	"--"	"15"	"浙江"	"V05E0228"	"浙江农科院园艺所"	"中"	"Ⅱ5C0186"	"浙江绍兴市"	"--"	"4上-9下"	"--"	"平"
