"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"24"	"--"	"5-C-22-31"	"圆桶冬瓜"	"--"	"YUAN TONG DONG GUA"	"15.0"	"--"	"多"	"强"	"--"	"--"	"--"	"--"	"甜"	"--"	"3500"	"灰色"	"*"	"圆柱形"	"--"	"--"	"--"	"贵州"	"V05E0042"	"贵州农科院园艺所"	"强"	"Ⅱ5C0017"	"贵州贵阳市"	"--"	"2下-10"	"--"	"具刺"
"25"	"--"	"5-C-22-32"	"青皮冬瓜"	"--"	"QING PI DONG GUA"	"17.5"	"--"	"--"	"强"	"--"	"绿"	"--"	"--"	"酸"	"--"	"2500"	"绿色"	"*"	"圆柱形"	"--"	"--"	"--"	"贵州"	"V05E0043"	"贵州农科院园艺所"	"--"	"Ⅱ5C0018"	"贵州贵阳市"	"--"	"2下-10"	"--"	"--"
"26"	"早"	"G32-29"	"白坡冬"	"葡匐蔓生"	"BAI PO DONG"	"7.5"	"120"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"1500"	"--"	"--"	"圆柱形"	"--"	"圆滑致密"	"19"	"海南"	"V05E0044"	"广东农科院经作所"	"--"	"Ⅱ5C0171"	"海南海口市"	"--"	"2-3"	"--"	"--"
"27"	"中"	"G32-32"	"苦瓜叶粉皮冬"	"葡匐蔓生"	"KU GUA YE FEN PI DONG"	"6.0"	"120"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"1500"	"--"	"--"	"圆柱形"	"--"	"软"	"20"	"海南"	"V05E0046"	"广东农科院经作所"	"耐热"	"Ⅱ5C0175"	"海南琼海县"	"--"	"2-3"	"--"	"--"
"28"	"中"	"G32-18"	"粉皮冬"	"攀援蔓生"	"FEN PI DONG"	"10.0"	"120"	"多"	"中"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"1500"	"--"	"--"	"圆柱形"	"--"	"软"	"27"	"海南"	"V05E0047"	"广东农科院经作所"	"耐热"	"Ⅱ5C0098"	"海南琼海县"	"--"	"2-3"	"--"	"--"
"29"	"中"	"G32-20"	"四方头白皮冬瓜"	"攀援蔓生"	"SI FANG TOU BAI PI DONG GUA"	"7.0"	"120"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"1500"	"--"	"--"	"圆柱形"	"--"	"圆滑致密"	"17"	"海南"	"V05E0049"	"广东农科院经作所"	"耐热"	"Ⅱ5C0212"	"海南文昌县"	"--"	"2-3"	"--"	"--"
"30"	"中"	"冬20号"	"毛边籽冬瓜"	"葡匐蔓生"	"MAO BIAN ZI DONG GUA"	"2.5"	"120"	"多"	"中"	"不抗病毒"	"绿"	"--"	"掌状"	"--"	"--"	"1750"	"绿色"	"--"	"圆柱形"	"白"	"--"	"15"	"河北"	"V05E0050"	"河北农科院蔬菜所"	"中"	"Ⅱ5C0204"	"河北柏乡县"	"--"	"4下-8下"	"--"	"平"
"31"	"中"	"冬16号"	"一条蔓"	"葡匐蔓生"	"YI TIAO MAN"	"2.7"	"120"	"中"	"中"	"不抗病毒"	"绿"	"--"	"掌状"	"--"	"--"	"2250"	"绿色"	"--"	"圆柱形"	"白"	"--"	"15"	"河北"	"V05E0053"	"河北农科院蔬菜所"	"中"	"Ⅱ5C0201"	"河北丰南县"	"--"	"4下-8下"	"--"	"平"
"32"	"早"	"冬14号"	"本地冬瓜"	"葡匐蔓生"	"BEN DI DONG GUA"	"3.0"	"110"	"多"	"弱"	"不抗病毒"	"绿"	"--"	"掌状"	"--"	"--"	"2000"	"绿色"	"--"	"圆柱形"	"白"	"--"	"17"	"河北"	"V05E0054"	"河北农科院蔬菜所"	"中"	"Ⅱ5C0200"	"河北宽城县"	"--"	"4下-8中"	"--"	"平"
"33"	"早"	"冬5号"	"长圆冬瓜"	"葡匐蔓生"	"CHANG YUAN DONG GUA"	"4.3"	"110"	"少"	"中"	"不抗病毒"	"绿"	"--"	"掌状"	"--"	"--"	"2000"	"绿色"	"--"	"圆柱形"	"白"	"--"	"20"	"河北"	"V05E0058"	"河北农科院蔬菜所"	"中"	"Ⅱ5C0198"	"河北平山县"	"--"	"4下-8中"	"--"	"平"
"34"	"中"	"冬8号"	"黄毛冬瓜"	"蔓生"	"HUANG MAO DONG GUA"	"4.7"	"100"	"多"	"弱"	"不抗病毒"	"绿"	"--"	"--"	"--"	"--"	"4000"	"绿色"	"*"	"圆柱形"	"--"	"--"	"24"	"河北"	"V05E0059"	"河北农科院蔬菜所"	"中"	"Ⅱ5C0142"	"河北青龙县"	"--"	"3下-7下"	"--"	"具刺"
