"id"	"肉质"	"栽培季节"	"品种名称"	"叶形"	"瓜刺多少"	"种质库编号"	"单瓜重"	"商瓜次色"	"老瓜皮色"	"分枝性"	"生育期"	"熟性"	"结瓜习性"	"瓜形"	"备注"	"瓜面腊粉"	"风味"	"抗逆性"	"瓜棱形状"	"抗病虫性"	"种子来源"	"亩产"	"老瓜斑纹"	"商瓜皮色"	"老瓜次色"	"保存单位"	"商瓜斑纹"	"译名"	"统一编号"	"保存编号"	"生长习性"
"63"	"圆滑致密"	"4下播育苗"	"羊角蜜"	"掌状"	"--"	"Ⅱ5N0123"	"0.4"	"--"	"绿色"	"强"	"88"	"中"	"侧蔓结瓜"	"圆形"	"--"	"无"	"甜"	"--"	"平"	"--"	"辽宁沈阳市"	"750"	"--"	"绿"	"--"	"辽宁农科院园艺所"	"--"	"YANG JIAO MI"	"V05Q0175"	"5FA6"	"蔓生"
"64"	"--"	"4中-7下"	"农田一号"	"掌状"	"--"	"Ⅱ5N0120"	"0.3"	"--"	"黄色"	"强"	"83"	"中"	"侧蔓结瓜"	"圆柱形"	"--"	"无"	"甜"	"--"	"棱"	"--"	"辽宁沈阳市"	"750"	"--"	"黄"	"--"	"辽宁农科院园艺所"	"--"	"NONG TIAN YI HAO"	"V05Q0178"	"5FA3"	"蔓生"
"65"	"软"	"夏5上-8中"	"宁甜1号"	"心形"	"--"	"Ⅱ5N0126"	"0.5"	"--"	"褐色"	"强"	"100"	"晚"	"子蔓"	"圆形"	"--"	"--"	"--"	"强"	"粗糙"	"--"	"宁夏银川市"	"1000"	"--"	"绿"	"--"	"宁夏农科院园艺所"	"--"	"NING TIAN 1 HAO"	"V05Q0190"	"ⅥM89E-1"	"葡匐蔓生"
"66"	"软"	"4下-8上"	"香瓜"	"心形"	"--"	"Ⅱ5N0207"	"0.3"	"--"	"奶油色"	"--"	"25"	"--"	"--"	"圆形"	"--"	"--"	"香"	"--"	"平"	"抗"	"山东章丘县"	"600"	"--"	"桔黄"	"--"	"山东农科院蔬菜所"	"--"	"XIANG GUA"	"V05Q0218"	"甜29"	"葡匐蔓生"
"67"	"圆滑致密"	"4下-8上"	"笑开花"	"心形"	"--"	"Ⅱ5N0201"	"0.9"	"--"	"绿色"	"--"	"24"	"--"	"--"	"心形"	"--"	"--"	"甜"	"--"	"平"	"抗"	"山东章丘县"	"850"	"--"	"灰"	"--"	"山东农科院蔬菜所"	"--"	"XIAO KAI HUA"	"V05Q0219"	"甜23"	"葡匐蔓生"
"68"	"软"	"4下-8上"	"蛤蟆酥"	"心形"	"--"	"Ⅱ5N0202"	"0.1"	"--"	"桔黄色"	"--"	"24"	"--"	"--"	"心形"	"--"	"--"	"微甜"	"--"	"--"	"抗"	"山东章丘县"	"500"	"--"	"黄"	"--"	"山东农科院蔬菜所"	"--"	"GE MA SU"	"V05Q0220"	"甜24"	"葡匐蔓生"
"69"	"圆滑致密"	"4下-7上中"	"临汾红桃瓜"	"心形"	"--"	"Ⅱ5N0211"	"0.4"	"--"	"--"	"中"	"--"	"--"	"子1节"	"圆形"	"--"	"--"	"甜"	"--"	"平"	"抗"	"山西临汾县"	"313"	"--"	"绿"	"--"	"山西农科院蔬菜所"	"--"	"LIN FEN HONG TAO GUA"	"V05Q0221"	"Ⅱ5N0005"	"葡匐蔓生"
"70"	"圆滑致密"	"4下-7上中"	"临县红皮甜瓜"	"心形"	"--"	"Ⅱ5N0210"	"0.4"	"--"	"--"	"中"	"--"	"--"	"子1节或孙1节"	"椭圆形"	"--"	"--"	"甜"	"--"	"平"	"抗"	"山西临县"	"300"	"--"	"绿"	"--"	"山西农科院蔬菜所"	"--"	"LIN XIAN HONG PI TIAN GUA"	"V05Q0222"	"Ⅱ5N0004"	"葡匐蔓生"
"71"	"--"	"4-7"	"Cantalope"	"心形"	"--"	"Ⅱ5N0218"	"0.8"	"--"	"黄色"	"--"	"33"	"晚"	"7"	"圆形"	"--"	"少"	"淡而无味"	"强"	"平"	"重感"	"上蔬引自美国"	"--"	"--"	"黄"	"--"	"中国农科院蔬菜所"	"--"	"Cantalope"	"V05Q0228"	"G-011"	"蔓生"
"72"	"圆滑致密"	"3下-8中"	"雪梨瓜"	"心形"	"无"	"Ⅱ5N0124"	"0.6"	"--"	"奶油色"	"强"	"80"	"中"	"第一侧蔓"	"扁圆形"	"--"	"无"	"甜"	"中"	"平"	"抗"	"浙江杭州市"	"1875"	"--"	"奶油色"	"--"	"浙江农科院园艺所"	"--"	"XUE LI GUA"	"V05Q0229"	"16122"	"蔓生"
"73"	"圆滑致密"	"3下-8上"	"花皮梢瓜"	"心形"	"无"	"Ⅱ5N0125"	"0.8"	"--"	"绿色"	"强"	"90"	"晚"	"第一侧蔓"	"圆柱形"	"--"	"无"	"甜"	"强"	"棱"	"抗"	"浙江杭州市"	"3250"	"纹"	"绿"	"--"	"浙江农科院园艺所"	"--"	"HUA PI SHAO GUA"	"V05Q0230"	"16123"	"蔓生"
"74"	"圆滑致密"	"3下-8下"	"黄金瓜"	"掌状"	"无"	"Ⅱ5N0138"	"0.5"	"--"	"黄色"	"强"	"70"	"早"	"第一侧蔓"	"扁圆形"	"--"	"无"	"甜"	"中"	"棱"	"中"	"浙江杭州市"	"1750"	"--"	"桔黄"	"--"	"浙江农科院园艺所"	"--"	"HUANG JIN GUA"	"V05Q0231"	"16121"	"蔓生"
"75"	"圆滑致密"	"3上-7下"	"白啄瓜"	"掌状"	"无"	"Ⅱ5N0056"	"0.5"	"--"	"黄色"	"强"	"120"	"早"	"2-3"	"圆形"	"--"	"无"	"甜"	"强"	"平"	"抗"	"浙江温州市"	"--"	"--"	"绿"	"--"	"浙江农科院园艺所"	"--"	"BAI ZHUO GUA"	"V05Q0232"	"16130"	"蔓生"
