"id"	"肉质"	"栽培季节"	"品种名称"	"叶形"	"瓜刺多少"	"种质库编号"	"单瓜重"	"商瓜次色"	"老瓜皮色"	"分枝性"	"生育期"	"熟性"	"结瓜习性"	"瓜形"	"备注"	"瓜面腊粉"	"风味"	"抗逆性"	"瓜棱形状"	"抗病虫性"	"种子来源"	"亩产"	"老瓜斑纹"	"商瓜皮色"	"老瓜次色"	"保存单位"	"商瓜斑纹"	"译名"	"统一编号"	"保存编号"	"生长习性"
"23"	"松脆汁多"	"4下-8中下"	"黄绿皮克克奇"	"椭圆"	"--"	"Ⅱ5N0173"	"2.5"	"--"	"--"	"--"	"110"	"中"	"孙子蔓"	"椭圆形"	"--"	"--"	"香"	"耐阴湿"	"--"	"重感"	"甘肃金塔县"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"HUANG LU PI KE KE QI"	"V05Q0032"	"甘Ⅱ5I043"	"--"
"24"	"圆滑致密"	"4下-8中下"	"花皮克克奇"	"心形"	"--"	"Ⅱ5N0174"	"2.5"	"--"	"--"	"--"	"110"	"中"	"孙子蔓"	"椭圆形"	"--"	"--"	"香"	"耐阴湿"	"--"	"重感"	"甘肃金塔县"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"HUA PI KE KE QI"	"V05Q0033"	"甘Ⅱ5I045"	"--"
"25"	"松脆汁多"	"4下-8中下"	"白皮克克奇"	"心形"	"--"	"Ⅱ5N0094"	"2.5"	"--"	"--"	"--"	"110"	"中"	"孙蔓"	"椭圆形"	"--"	"--"	"香"	"耐阴湿"	"--"	"重感"	"甘肃金塔县"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"BAI PI KE KE QI"	"V05Q0034"	"甘Ⅱ5I044"	"--"
"26"	"质软汁多"	"4上-7中"	"兰甜五号"	"心形"	"--"	"Ⅱ5N0074"	"1.5"	"--"	"--"	"--"	"100"	"中"	"子孙蔓"	"椭圆形"	"--"	"--"	"香"	"耐寒"	"--"	"抗"	"甘肃兰州市"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"LAN TIAN WU HAO"	"V05Q0039"	"甘Ⅱ5I081"	"--"
"27"	"软"	"4上-7中下"	"小暑红瓤白兰瓜"	"心形"	"--"	"Ⅱ5N0091"	"1.5"	"--"	"--"	"--"	"100"	"中"	"子蔓"	"圆形"	"--"	"--"	"香"	"中"	"--"	"抗"	"甘肃兰州市"	"625"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"XIAO SHU HONG RANG BAI LAN GUA"	"V05Q0045"	"甘Ⅱ5I034"	"--"
"28"	"软"	"4上-7中"	"白皱绸"	"椭圆"	"--"	"Ⅱ5N0100"	"1.3"	"--"	"--"	"--"	"100"	"中"	"子蔓"	"圆形"	"--"	"--"	"醇香"	"不耐贮"	"--"	"中"	"甘肃兰州市"	"500"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"BAI ZHOU CHOU"	"V05Q0049"	"甘Ⅱ5I054"	"--"
"29"	"软"	"4上-8上"	"绿肉C-81"	"心形"	"--"	"Ⅱ5N0226"	"1.3"	"--"	"--"	"--"	"120"	"晚"	"孙蔓"	"圆形"	"--"	"--"	"香"	"中"	"--"	"中"	"甘肃兰州市"	"750"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"LU ROU C-81"	"V05Q0054"	"甘Ⅱ5I084"	"--"
"30"	"软"	"4上-8中"	"76-22白兰瓜"	"心形"	"--"	"Ⅱ5N0227"	"2.5"	"--"	"--"	"--"	"125"	"晚"	"孙蔓"	"椭圆形"	"--"	"--"	"香"	"中"	"--"	"中"	"甘肃兰州市"	"1000"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"76-22 BAI LAN GUA"	"V05Q0055"	"甘Ⅱ5I085"	"--"
"31"	"细软汁中"	"4上-7中下"	"兰甜四号"	"心形"	"--"	"Ⅱ5N0228"	"1.2"	"--"	"--"	"--"	"100"	"中"	"--"	"圆形"	"--"	"--"	"--"	"强"	"--"	"抗"	"甘肃兰州市"	"800"	"--"	"--"	"--"	"甘肃农科院蔬菜所"	"--"	"LAN TIAN SI HAO"	"V05Q0056"	"甘Ⅱ5I086"	"--"
"32"	"--"	"3-6"	"华南108"	"--"	"--"	"Ⅱ5N0030"	"0.5"	"--"	"--"	"强"	"90"	"早"	"--"	"扁圆形"	"产量为农家产量"	"--"	"--"	"耐湿"	"--"	"--"	"广东选育品种"	"1000"	"--"	"奶油色"	"--"	"广东农科院经作所"	"--"	"HUA NAN 108"	"V05Q0066"	"G40-9"	"葡匐蔓生"
