"id"	"品种名称"	"代表品种"	"来源"
"76"	"丹9046"	"丹玉 23号、丹2100、辽丹933、西"	"丹东农业科学院"
"77"	"黄 428－3"	"丹玉21号"	"辽宁省丹东市农业科学院"
"78"	"辽10732"	"辽单28号"	"辽宁省农业科学院玉米研究所"
"79"	"辽 3053"	"辽单 26号"	"辽宁省农业科学院玉米研究所"
"80"	"C8605－2"	"铁单 10号、铁单 12"	"辽宁省铁岭市农业科学院"
"81"	"5005"	"农大60、陕单13号"	"辽宁省沈阳市农业科学研究所"
"82"	"138e"	"陕单931"	"辽宁省丹东农科院"
"83"	"N46"	"铁玉1号"	"辽宁省铁岭市农业科学研究所"
"84"	"衡白522"	"苏玉（糯）1号"	"河北省农业科学院旱作农业研究所"
"85"	"冀815"		"河北省农林科学院粮油作物研究所崔绍平"
"86"	"海218"	"唐抗8号"	"河北省唐山市农业科学研究所"
"87"	"白 131C"	"唐玉6号"	"河北省唐山市农业科学研究所"
"88"	"18C"	"唐单4号"	"河北省唐山市农业科学研究所"
"89"	"沿 12"		"河北省涿州市农业科学研究所"
"90"	"金09"	"抗 1号"	"山西省农业科学院玉米研究所"
"91"	"长562"	"晋单25号"	"山西省农科院谷子研究所"
"92"	"长554"	"晋单30号"	"山西省农业科学院谷子研究所玉米育种室"
"93"	"长3154"	"晋单3O号、晋单29号"	"山西省农业科学院谷子研究所玉米室"
"94"	"南23－32"	"忻抗1号、临单11号"	"山西省农业科学院小麦研究所玉米研究课题组"
"95"	"自334－11"	"长早6号"	"山西省农业科学院谷子研究所"
"96"	"C649"	"晋单 29号"	"山西省农业科学院谷子研究所玉米研究室"
"97"	"A513"	"长单35号"	"山西省农业科学院谷子研究所"
"98"	"Sh21"	"Sh21×京404、Sh21 ×BJH3"	"山西省农业科学院小麦研究所玉米课题组"
"99"	"T12"	"T12× Sh21、T12×沈 135"	"山西省农业科学院小麦研究所玉米研究课题组"
"100"	"Sh15"	"晋单34号"	"山西省农业科学院小麦研究所玉米研究课题组"
"101"	"海 9－21"	"晋单36号、太单30号"	"山西省农业科学院作物遗传研究所玉米研究室"
"102"	"金黄 96C"	"晋单36号"	"中国农业科学院作物育种栽培研究所"
"103"	"太411"	"太单 30号"	"山西省农业科学院作物遗传研究所"
"104"	"164"	"长单39号"	"山西省农业科学院谷子研究所"
"105"	"84－108－1"	"晋单32号"	"山西省农业科学院高寒区作物研究所"
"106"	"T18"	"屯玉6号、9708、9712"	"山西省屯玉种业集团"
"107"	"太系113"	"晋单35号"	"山西省农业科学院作物遗传研究所"
"108"	"A49（249）"	"原501"	"山西省农业科学院玉米研究所徐瑞洋和山西省原平市种子公司史耀先、张禄明"
"109"	"82黄 6"	"赤单72"	"内蒙古自治区赤峰市农业科学研究所玉米研究室梁同生、刘淑梅"
"110"	"3081"	"内单4号"	"内蒙古哲里木盟农业科学研究所从"
"111"	"4767"	"哲单8号"	"内蒙古哲里木盟农业科学研究所"
"112"	"773－1"	"蒙单5号"	"内蒙古自治区哲里木盟农业科学研究所"
"113"	"750"	"哲单11号，哲单13号"	"内蒙古哲里木盟农业科学研究所"
"114"	"85黄 3"	"赤单202、黑龙221"	"内蒙古自治区赤峰市农业科学研究所玉米研究室梁同生"
"115"	"7152"	"哲单10号"	"内蒙古哲里木盟农业科学研究所"
"116"	"扎903"	"哲单32"	"内蒙古哲里木盟扎鲁特旗原种场以桦"
"117"	"扎918"	"哲单33号"	"内蒙古哲里木盟农业科学研究所和扎鲁特旗原种场"
"118"	"哲 01"	"哲早1号，哲早2号"	"内蒙古哲里木盟农业科学研究所以黄早 4 ×维尔 44为基础材料，结合南繁育种加代，经过连续6代以上自交选择"
"119"	"610"	"哲单12号"	"内蒙古哲里木盟农业科学研究所以 4767 ×黄早四为基础材料，经过连续 6代自交与选择，于1991年育成。"
"120"	"1208"	"哲单21号"	"由内蒙古哲里木盟农业科学研究所从B81－1群体材料中，在哲盟地区于1991年选育而成。"
"121"	"592"	"哲单18号"	"内蒙古哲里木盟农业科学研究所以 4767 ×绿早 4为基础材料，结合南繁育种加代，经过连续6代以上自交选择，"
"122"	"5492"	"哲单102"	"内蒙古自治区哲里木盟农业科学研究所以掖881・F2为基础材料，经南繁育种及连续6代自交选择，于1995年育成。"
"123"	"6417"	"6417×9046、哲单101"	"内蒙古自治区哲里木盟农业科学研究所以 773－1× 78－84-7Ht为基础材料，结合海南加代选育，经过6代自交，"
"124"	"熊掌"	"合玉 17号、合玉 210"	"于1994年引入内蒙古哲里木盟农业科学研究所。"
"125"	"海 014"	"龙单8号"	"于1995年引入内蒙古哲里木盟农业科学研究所。"
"126"	"东 237"	"东农248"	"于1997年引入内蒙古哲里木盟农业科学研究所，进行资源观察种植。"
"127"	"东 46"	"东农248"	"于1998年引入哲里木盟农业科学研究所。"
"128"	"478"	"掖单12号、掖单13号、掖单19号、西玉"	"是山东省莱州市玉米研究所1984年从8112×5003杂交后代中选出的二环系。"
"129"	"81162"	"四密25"	"山东省莱州市农科所从（矮金525 ×掖107）× 106材料中，于1986年9月选育而成。"
"130"	"4112"	"四密21"	"山东省莱州市农科所1986年从A619×8112材料中选育而成。选育地点在莱州市。"
"131"	"85478"	"掖单12、掖单13、掖单19、掖单21、"	"由山东省莱州市玉米研究所于 1987年从 8112 × 5003的杂交后代中选育而成。"
"132"	"齐 319"	"鲁单50。"	"是山东省农业科学院玉米研究所1989年从美国先锋公司玉米杂交种78599中，经多代自交选育而成。"
"133"	"齐 318"	"中原单32号"	"山东省农业科学院玉米研究所选育的高代系78599，经中国农业科学院原子能利用研究所于1990年引进利用，1997"
"134"	"鲁原 92"	"鲁单14、鲁单50"	"是山东省农业科学院从“原齐123×1137”杂交后代中选出的二环系。"
"135"	"H21"	"鲁原单14"	"莱阳农学院于20世纪80年代末期选育而成。该自交系来自黄早4与H84的杂交后代，经多代自交选育后定型。"
"136"	"掖107"	"掖单2号、掖单44号、陕高农2号"	"山东省原掖县（今莱州市）农科所从国外引入的XL80中选育而成。"
"137"	"502"	"西玉3号(478 × 502)、掖单20"	"山东省莱州市西由种子公司从 340×黄早四杂交材料中于1991年选育而成。"
"138"	"8085泰"		"由河南省农业科学院引泰国自交系，转交两代稳定后育成。"
"139"	"豫20"		"由河南省农业科学院用Mo17与凤可1杂交，再以Mo17为轮回亲本经两次回交再自交育成。"
