"编码"	"名称"	"父级"	"面源坐标"	"城市"	"区县"	"绝对地址"	"位置"	"省份"
"20929"	"齐齐哈尔中心批发市场"	"黑龙江省"	"46.230028,122.406960;48.941809,126.681810"	"齐齐哈尔市"	"铁锋区"	"黑龙江省齐齐哈尔市铁锋区"	"123.9872889421725,47.34769981336638"	"黑龙江省"
"20938"	"黑龙江牡丹江市蔬菜批发市场"	"黑龙江省"	"43.432678,128.237511;45.993685,131.329477"	"牡丹江市"	"西安区"	"黑龙江省牡丹江市西安区"	"129.608035395637,44.58852115278252"	"黑龙江省"
"20956"	"苏州市南环桥农副产品批发市场"	"江苏省"	"31.269777,120.695201;31.270549,120.696099"	"苏州市"	"吴中区"	"江苏省苏州市吴中区"	"120.69564996966642,31.270162674055094"	"江苏省"
"20958"	"江苏常州宣塘桥水产品交易市场"	"江苏省"	"31.744379,119.899382;31.782755,119.944297"	"常州市"	"钟楼区"	"江苏省常州市钟楼区"	"119.92208180815928,31.763632627354482"	"江苏省"
"20959"	"江苏凌家塘农副产品批发市场"	"江苏省"	"31.774517,119.908152;31.775284,119.909050"	"常州市"	"钟楼区"	"江苏省常州市钟楼区"	"119.90860069572686,31.774900444694445"	"江苏省"
"20962"	"江苏丰县南关农贸市场"	"江苏省"	"34.413782,116.368368;34.941536,116.879752"	"徐州市"	"丰县"	"江苏省徐州市丰县"	"116.61573315372702,34.69577332862766"	"江苏省"
"20965"	"江苏徐州七里沟农副产品中心"	"江苏省"	"34.207602,117.203271;34.244912,117.248186"	"徐州市"	"泉山区"	"江苏省徐州市泉山区"	"117.22572882393528,34.22625880233486"	"江苏省"
"20966"	"江苏淮海蔬菜批发市场"	"江苏省"	"34.303321,117.243561;34.304067,117.244459"	"徐州市"	"鼓楼区"	"江苏省徐州市鼓楼区"	"117.24401010731793,34.30369382951125"	"江苏省"
"20968"	"江苏宜兴蔬菜副食品批发市场"	"江苏省"	"31.126323,119.526079;31.616676,120.116605"	"无锡市"	"宜兴市"	"江苏省无锡市宜兴市"	"119.79026529658498,31.362244911878832"	"江苏省"
"20969"	"江苏无锡朝阳市场"	"江苏省"	"31.572460,120.316481;31.577545,120.320582"	"无锡市"	"南长区"	"江苏省无锡市南长区"	"120.31667009140375,31.57413027999515"	"江苏省"
"20972"	"南京紫金山批发市场"	"江苏省"	"32.045975,118.814672;32.107167,118.886536"	"南京市"	"玄武区"	"江苏省南京市玄武区"	"118.85060374491826,32.07657638667517"	"江苏省"
"20985"	"新疆石河子西部绿珠果蔬菜批发市场"	"新疆维吾尔自治区"	"44.299689,86.081529;44.331938,86.126444"	"新疆维吾尔自治区直辖县级行政单位"	"石河子市"	"新疆维吾尔自治区新疆维吾尔自治区直辖县级行政单位石河子市"	"86.10398626477361,44.31581533123711"	"新疆维吾尔自治区"
"20989"	"广西柳州柳邕农副产品批发市场"	"广西壮族自治区"	"24.291150,109.398562;24.291974,109.399460"	"柳州市"	"柳南区"	"广西壮族自治区柳州市柳南区"	"109.39901114110336,24.291561964245464"	"广西壮族自治区"
"20992"	"广西田阳县果蔬菜批发市场"	"广西壮族自治区"	"23.488993,106.383400;24.122990,107.150470"	"百色市"	"田阳县"	"广西壮族自治区百色市田阳县"	"106.81127009413865,23.729759302773665"	"广西壮族自治区"
"20995"	"新疆伊犁哈萨克族自治州霍城县界梁子66团农贸市场"	"新疆维吾尔自治区"	"43.974785,81.070748;43.975433,81.071647"	"伊犁哈萨克自治州"	"霍城县"	"新疆维吾尔自治区伊犁哈萨克自治州霍城县"	"81.071197476712,43.975108897998425"	"新疆维吾尔自治区"
"21006"	"四川成都西部禽蛋批发市场"	"四川省"	"26.051572,97.359373;34.318719,108.553306"	"雅安市"	"宝兴县"	"四川省雅安市宝兴县"	"102.89915972360397,30.36748093795755"	"四川省"
"21010"	"四川成都龙泉聚和果蔬菜交易中心"	"四川省"	"27.703665,118.724969;28.341604,119.436745"	"丽水市"	"龙泉市"	"浙江省丽水市龙泉市"	"119.08229725532058,28.050639306133373"	"浙江省"
"21014"	"四川泸州仔猪批发市场"	"四川省"	"27.665382,105.151607;29.332416,106.387189"	"泸州市"	"龙马潭区"	"四川省泸州市龙马潭区"	"105.44397028920636,28.895929803860103"	"四川省"
