"编码"	"名称"	"父级"	"面源坐标"	"城市"	"区县"	"绝对地址"	"位置"	"省份"
"2576584"	"晋运城果品中心市场"	"山西省"	"35.060608,111.024917;35.061346,111.025815"	"运城市"	"盐湖区"	"山西省运城市盐湖区"	"111.02536564467387,35.06097686050944"	"山西省"
"2576593"	"晋新绛蔬菜批发市场"	"山西省"	"35.602256,111.229510;35.602989,111.230408"	"运城市"	"新绛县"	"山西省运城市新绛县"	"111.22995905530222,35.60262254673549"	"山西省"
"2604441"	"黑龙江鹤岗万圃源蔬菜批发市场"	"黑龙江省"	"47.339596,130.270435;47.340207,130.271333"	"鹤岗市"	"工农区"	"黑龙江省鹤岗市工农区"	"130.27088406334744,47.33990132618852"	"黑龙江省"
"2604461"	"山东济南市堤口果品批发市场"	"山东省"	"36.676068,116.968239;36.676792,116.969137"	"济南市"	"天桥区"	"山东省济南市天桥区"	"116.96864412647602,36.67643589705958"	"山东省"
"8753469"	"菜苔"	"蔬菜"						
"8753866"	"折耳根"	"蔬菜"						
"8753869"	"豌豆尖"	"蔬菜"						
"8754028"	"豌豆"	"蔬菜"						
"8754197"	"红蒜5.0公分"	"蔬菜"						
"8754211"	"白蒜5.0公分"	"蔬菜"						
"8754222"	"白蒜6.0公分"	"蔬菜"						
"8754625"	"猪皮"	"畜产品"						
"8754641"	"活鹅"	"畜产品"						
"8754660"	"籼米(晚籼米)"	"粮油"						
"8754673"	"粳米(普通)"	"粮油"						
"8754689"	"菜油(散装)"	"粮油"						
"8754698"	"一级豆油(散装)"	"粮油"						
"8754700"	"糯米"	"粮油"						
"8754705"	"活鲤鱼"	"水产品"						
"8754710"	"白鲢活鱼"	"水产品"						
"8754711"	"活草鱼"	"水产品"						
"8754722"	"活鲫鱼"	"水产品"						
"8754735"	"鲅鱼"	"水产品"						
"8754743"	"花鲢活鱼"	"水产品"						
"8754761"	"红香蕉苹果"	"果品"						
"8754770"	"黄金瓜"	"果品"						
"8754773"	"网纹瓜"	"果品"						
"8754776"	"早春红玉瓜"	"果品"						
"8754784"	"雪莲果"	"果品"						
"8754791"	"葡萄干(特级)"	"果品"						
"8754795"	"葡萄干(通货)"	"果品"						
"8754804"	"特小凤西瓜"	"果品"						
"8754813"	"麒麟西瓜"	"果品"						
"8754822"	"京欣西瓜"	"果品"						
"8754833"	"黑美人西瓜"	"果品"						
"8754842"	"嘎拉苹果"	"果品"						
"8754846"	"白糖罐甜瓜"	"果品"						
"8754856"	"甜瓜"	"果品"						
"8754866"	"荔枝(妃子笑)"	"果品"						
"8754876"	"芒果(金煌芒)"	"果品"						
"8755899"	"南京高淳县水产批发市场有限公司"	"江苏省"	"31.327108,118.868655;31.327879,118.869553"	"南京市"	"高淳区"	"江苏省南京市高淳区"	"118.86910401721812,31.327493824389823"	"江苏省"
"8756123"	"湖北荆州两湖平原农产品交易物流中心"	"湖北省"	"31.046341,112.225696;31.047115,112.226594"	"荆门市"	"掇刀区"	"湖北省荆门市掇刀区"	"112.22614525056323,31.046727891883823"	"湖北省"
"8756299"	"甘肃定西市安定区马铃薯批发市场"	"甘肃省"	"35.304318,104.224905;36.049531,105.028781"	"定西市"	"安定区"	"甘肃省定西市安定区"	"104.63762366893054,35.644415174265774"	"甘肃省"
"8756521"	"葵花籽"	"粮油"						
"8756539"	"黑大片葵花籽"	"粮油"						
"8756564"	"砂糖橘"	"果品"						
"8756566"	"年桔"	"果品"						
"8757132"	"四川广安邻水县农产品交易中心"	"四川省"	"30.341923,106.943327;30.342702,106.944225"	"广安市"	"邻水县"	"四川省广安市邻水县"	"106.94377577098943,30.34231211228913"	"四川省"
"8757171"	"四川省江油仔猪批发市场"	"四川省"	"31.545245,104.520438;32.326892,105.295479"	"绵阳市"	"江油市"	"四川省绵阳市江油市"	"104.93314929992522,31.952426668806112"	"四川省"
"8763807"	"辽宁阜新蔬菜农产品综合批发市场"	"辽宁省"	"41.698835,121.026509;42.849680,122.983045"	"阜新市"	"海州区"	"辽宁省阜新市海州区"	"121.66082212856833,42.01925010706022"	"辽宁省"
"8763836"	"天津范庄子蔬菜批发市场"	"天津市"	"38.911144,116.935950;38.911845,116.936848"	"天津市"	"静海县"	"天津市静海县"	"116.9363989183985,38.911494512962506"	"天津市"
"8763855"	"新疆乌尔禾蔬菜批发市场"	"新疆维吾尔自治区"	"45.703648,85.230994;46.218994,86.042524"	"克拉玛依市"	"乌尔禾区"	"新疆维吾尔自治区克拉玛依市乌尔禾区"	"85.51114926401839,46.00657561684927"	"新疆维吾尔自治区"
"8763884"	"山西省吕梁离石马茂庄农贸批发市场"	"山西省"	"37.030461,111.446278;37.066465,111.491193"	"吕梁市"	"孝义市"	"山西省吕梁市孝义市"	"111.46873573850176,37.04846519886435"	"山西省"
"9060807"	"红蒜6.0公分"	"蔬菜"						
"9060826"	"芝麻(白芝麻)"	"粮油"						
"9060833"	"葡萄干(一级)"	"果品"						
"9060834"	"葡萄干(二级)"	"果品"						
"9060839"	"晚籼稻"	"粮油"						
"9060841"	"早籼稻"	"粮油"						
"9060853"	"枸杞一级"	"蔬菜"						
"9060946"	"安徽砀山农产品中心惠丰批发市场"	"安徽省"	"34.274682,116.165700;34.656810,116.644649"	"宿州市"	"砀山县"	"安徽省宿州市砀山县"	"116.4202822720679,34.4540572423079"	"安徽省"
"9348019"	"荷花坑批发市场"	"河北省"	"30.366063,118.215596;30.405005,118.260511"	"黄山市"	"黄山区"	"安徽省黄山市黄山区"	"118.23805384124275,30.38553584444139"	"安徽省"
"9348188"	"新疆兵团农二师库尔勒市孔雀农副产品综合批发市场"	"新疆建设兵团"	"41.765968,86.145874;41.766641,86.146772"	"巴音郭楞蒙古自治州"	"库尔勒市"	"新疆维吾尔自治区巴音郭楞蒙古自治州库尔勒市"	"86.14632313396723,41.766304704837616"	"新疆维吾尔自治区"
"9513388"	"山西省汇隆商城"	"山西省"	"37.677959,112.753036;37.678673,112.753935"	"晋中市"	"榆次区"	"山西省晋中市榆次区"	"112.75348564937758,37.67831616038027"	"山西省"
"15001796"	"宁波江北名特优农副产品批发交易市场"	"浙江省"	"29.930074,121.533836;29.930856,121.534735"	"宁波市"	"江北区"	"浙江省宁波市江北区"	"121.5342855395703,29.930464772732396"	"浙江省"
"15001931"	"甘肃酒泉春光农产品市场"	"甘肃省"	"38.110047,92.328860;42.801545,100.208205"	"酒泉市"	"肃州区"	"甘肃省酒泉市肃州区"	"98.50841450616744,39.74147376815896"	"甘肃省"
"15002168"	"四川凉山州西昌市广平农副土特产品市场"	"四川省"	"27.540283,101.776476;28.183233,102.427724"	"凉山彝族自治州"	"西昌市"	"四川省凉山彝族自治州西昌市"	"102.11788786037536,27.863377395840185"	"四川省"
"15002873"	"沼虾"	"水产品"						
"15002880"	"伽师瓜"	"果品"						
"15002886"	"荔枝(黑叶)"	"果品"						
"15002887"	"荔枝(白腊)"	"果品"						
"15002889"	"荔枝(桂味)"	"果品"						
"15002896"	"乔纳金苹果"	"果品"						
"15002905"	"广柑"	"果品"						
"15011220"	"小黄鱼"	"水产品"						
"15052298"	"马鲅鱼"	"水产品"						
"15052307"	"金丝枣"	"果品"						
"15052308"	"高粱"	"粮油"						
"15052322"	"章鱼"	"水产品"						
"15052348"	"白桃"	"果品"						
"15052357"	"芒果(红象牙9号)"	"果品"						
"15052363"	"芒果(农院3号)"	"果品"						
"15052367"	"芒果(台农一号)"	"果品"						
"15058263"	"麻花公鸡"	"畜产品"						
"15059625"	"龙眼(储良)"	"果品"						
"15059632"	"龙眼(石硖)"	"果品"						
"15060112"	"南方粮食交易市场"	"江西省"	"29.735309,116.001284;29.736093,116.002182"	"九江市"	"浔阳区"	"江西省九江市浔阳区"	"116.00173306266578,29.735701422894675"	"江西省"
"15060184"	"芸豆"	"粮油"						
"15060236"	"莲蓬"	"蔬菜"						
"15060243"	"黄河蜜"	"果品"						
"15060257"	"蛇"	"畜产品"						
"15060369"	"西葫芦白瓜籽(炒货)"	"粮油"						
"15060639"	"菱角"	"果品"						
"15060703"	"S33(油葵)"	"粮油"						
"15060735"	"黑中片籽瓜子"	"粮油"						
"15060767"	"基础母牛(500斤左右)"	"畜产品"						
"15060783"	"绿马奶葡萄干"	"果品"						
"15060784"	"红马奶葡萄干"	"果品"						
"15060812"	"条形辣椒干(二荆条)"	"蔬菜"						
"15060815"	"条形辣椒干(小米椒)"	"蔬菜"						
"15060819"	"圆形辣椒干(草莓椒)"	"蔬菜"						
"15060821"	"圆形辣椒干(子弹头)"	"蔬菜"						
"15092392"	"芒果(农院5号)"	"果品"						
"15092406"	"金龙芒"	"果品"						
"15092411"	"大枣"	"果品"						
"15092420"	"黄花母鸡"	"畜产品"						
"15092423"	"三黄公鸡"	"畜产品"						
"16007579"	"青枣"	"果品"						
"16007602"	"菱枣"	"果品"						
"16007628"	"木瓜"	"果品"						
"16007643"	"大黄花鱼"	"水产品"						
"16007712"	"葡萄"	"果品"						
"16007742"	"心里美萝卜"	"蔬菜"						
"16007828"	"白芝麻"	"粮油"						
"16007912"	"香水梨"	"果品"						
"16007932"	"海棠果"	"果品"						
"16026921"	"花盖梨"	"果品"						
"16026950"	"鳊鱼"	"水产品"						
"16026976"	"马蹄"	"蔬菜"						
"16027048"	"蘑菇"	"蔬菜"						
"16027050"	"内三元生猪"	"畜产品"						
"16027051"	"外三元生猪"	"畜产品"						
"16027052"	"内三元仔猪"	"畜产品"						
"16027053"	"外三元仔猪"	"畜产品"						
"16027054"	"内三元母猪"	"畜产品"						
"16027055"	"外三元母猪"	"畜产品"						
"19982077"	"山东匡山农产品综合交易市场"	"山东省"	"36.694438,116.949475;36.695161,116.950374"	"济南市"	"槐荫区"	"山东省济南市槐荫区"	"116.94992451042823,36.69479962082762"	"山东省"
"22346051"	"青岛黄河路农产品批发市场"	"山东省"	"35.940000,120.174307;35.949688,120.182830"	"青岛市"	"黄岛区"	"山东省青岛市黄岛区"	"120.17953274657158,35.942925116525686"	"山东省"
"22346058"	"南京农副产品物流中心"	"江苏省"	"31.994546,118.891236;31.995311,118.892134"	"南京市"	"江宁区"	"江苏省南京市江宁区"	"118.89168522587353,31.994928406123694"	"江苏省"
"32370712"	"阳春市三农生猪猪苗批发市场"	"广东省"	"21.846916,111.288637;22.684671,112.168555"	"阳江市"	"阳春市"	"广东省阳江市阳春市"	"111.69444876955889,22.223897927949462"	"广东省"
"32902062"	"西部欣桥农产品物流中心市场"	"陕西省"	"34.254474,108.848650;34.255220,108.849548"	"西安市"	"雁塔区"	"陕西省西安市雁塔区"	"108.84909906081342,34.25484672149418"	"陕西省"
"32904608"	"云南省元谋县蔬菜批发市场"	"云南省"	"25.387629,101.606756;26.114585,102.114747"	"楚雄彝族自治州"	"元谋县"	"云南省楚雄彝族自治州元谋县"	"101.87051082300964,25.78319551195352"	"云南省"
"37576569"	"大丰市丰收大地农产品价格信息中心"	"江苏省"	"33.226880,120.501935;33.227660,120.504768"	"盐城市"	"大丰市"	"江苏省盐城市大丰市"	"120.502178429252,33.22687977198862"	"江苏省"
"49319130"	"中国北方杂粮加工物流中心"	"辽宁省"	"32.075451,112.140860;32.076215,112.141758"	"襄阳市"	"樊城区"	"湖北省襄阳市樊城区"	"112.14130876976002,32.07583297185703"	"湖北省"
