"id"	"成熟期"	"形状"	"科名"	"品种名称"	"转化糖％"	"原产地"	"外观评价"	"汁液"	"香气"	"含酸量％"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"省"	"肉质"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"整齐度"	"内质评价"	"可食率％"
"30"	"4月下旬"	"倒卵"	"Rosaceae(蔷薇科)"	"台湾茂木"	"8.92"	"台湾"	"中"	"多"	"无"	"0.14"	"6.15"	"浓甜"	"品质佳,鲜食与罐存兼优品种"	"中小"	"台湾"	"致密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"YPM0076"	"TAI WAN MAO MU"	"25.1"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"中上"	"68.8"
"31"	"4.20"	"椭圆"	"Rosaceae(蔷薇科)"	"湖北六二"	"6.80"	"湖北"	"中"	"多"	"无"	"0.42"	"6.60"	"甜酸适中"	"--"	"小"	"湖北"	"紧密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0106"	"HU BEI LIU ER"	"24.6"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"中下"	"70.6"
"32"	"5.06"	"椭圆"	"Rosaceae(蔷薇科)"	"土肥"	"8.68"	"日本"	"中"	"多"	"无"	"0.11"	"8.36"	"稍偏酸"	"果大"	"特大"	"国外"	"柔软"	"中晚"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0118"	"TU FEI"	"50.5"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"中"	"66.6"
"33"	"4.26"	"倒卵"	"Rosaceae(蔷薇科)"	"汤川"	"11.06"	"日本"	"中"	"多"	"无"	"0.22"	"8.90"	"甜酸适中"	"--"	"中小"	"国外"	"细密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0119"	"TANG CHUAN"	"28.8"	"Eriobotrya(枇杷属)"	"橙黄"	"整齐"	"中"	"68.5"
"34"	"4.23"	"倒卵"	"Rosaceae(蔷薇科)"	"江西独核"	"8.61"	"江西"	"差"	"多"	"无"	"0.31"	"7.26"	"甜酸适中"	"--"	"小"	"江西"	"细密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0120"	"JIANG XI DU HE"	"22.3"	"Eriobotrya(枇杷属)"	"橙黄"	"一般"	"中下"	"67.5"
"35"	"4.08"	"圆形"	"Rosaceae(蔷薇科)"	"华宝3号"	"6.88"	"湖北"	"中"	"多"	"无"	"0.37"	"3.87"	"甜酸适中"	"--"	"中小"	"湖北"	"稍粗"	"早"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0147"	"HUA BAO 3 HAO"	"27.2"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"中"	"64.7"
"36"	"5.11"	"近圆"	"Rosaceae(蔷薇科)"	"大度河枇杷"	"11.97"	"四川"	"好"	"多"	"无"	"0.17"	"2.64"	"浓甜"	"枇杷原始种"	"特小"	"四川"	"柔软"	"晚"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0148"	"DA DU HE PI PA"	"3.5"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"下"	"45.6"
"37"	"5.06"	"椭圆"	"Rosaceae(蔷薇科)"	"贵州野生"	"7.46"	"贵州"	"差"	"多"	"无"	"0.87"	"6.72"	"特酸"	"野生枇杷"	"特小"	"贵州"	"柔软"	"中晚"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0150"	"GUI ZHOU YE SHENG"	"11.2"	"Eriobotrya(枇杷属)"	"橙黄"	"整齐"	"下"	"43.4"
"38"	"4.24"	"倒卵"	"Rosaceae(蔷薇科)"	"先进"	"8.79"	"日本"	"中"	"中"	"无"	"0.22"	"7.74"	"甜酸适中"	"--"	"中小"	"国外"	"细密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0151"	"XIAN JIN"	"29.7"	"Eriobotrya(枇杷属)"	"橙黄"	"整齐"	"中"	"60.7"
"39"	"4.26"	"倒卵"	"Rosaceae(蔷薇科)"	"森本"	"8.07"	"日本"	"中"	"多"	"无"	"0.38"	"5.06"	"稍偏酸"	"--"	"中小"	"国外"	"细密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0152"	"SEN BEN"	"26.6"	"Eriobotrya(枇杷属)"	"橙黄"	"中等"	"中"	"64.9"
"40"	"4.24"	"倒卵"	"Rosaceae(蔷薇科)"	"香滨"	"8.45"	"美国"	"中"	"中"	"无"	"0.26"	"8.02"	"甜酸适中"	"品质好"	"中大"	"国外"	"细密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0153"	"XIANG BIN"	"37.2"	"Eriobotrya(枇杷属)"	"浅橙红"	"整齐"	"中上"	"68.6"
"41"	"4.25"	"倒卵"	"Rosaceae(蔷薇科)"	"福源早生"	"7.20"	"日本"	"好"	"多"	"无"	"0.60"	"7.74"	"甜酸适中"	"果较大,外观与品质好"	"大"	"国外"	"消融"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0154"	"FU YUAN ZAO SHENG"	"41.7"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"上"	"64.5"
"42"	"4.24"	"倒卵"	"Rosaceae(蔷薇科)"	"早生大"	"7.84"	"日本"	"好"	"偏少"	"无"	"0.15"	"8.42"	"甜多酸少"	"--"	"中小"	"国外"	"细密"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0155"	"ZAO SHENG DA"	"26.4"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"中"	"58.8"
"43"	"5.05"	"椭圆"	"Rosaceae(蔷薇科)"	"黄金块"	"9.70"	"美国"	"好"	"多"	"无"	"0.58"	"8.98"	"甜酸适中"	"果特大,种子少"	"特大"	"国外"	"细密"	"中晚"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0156"	"HUANG JIN KUAI"	"51.9"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"上"	"69.0"
"44"	"5.03"	"倒卵"	"Rosaceae(蔷薇科)"	"湖南红砂"	"6.89"	"湖南"	"中"	"中"	"无"	"0.42"	"7.57"	"甜酸适中"	"--"	"中小"	"湖南"	"消融"	"中晚"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0157"	"HU NAN HONG SHA"	"26.9"	"Eriobotrya(枇杷属)"	"浅橙红"	"整齐"	"中"	"64.9"
"45"	"4.08"	"倒卵"	"Rosaceae(蔷薇科)"	"湖南田中"	"7.51"	"湖南"	"好"	"多"	"无"	"0.37"	"5.72"	"甜酸适中"	"早熟,果锈少,鲜艳美观"	"大"	"湖南"	"细密"	"早"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0158"	"HU NAN TIAN ZHONG"	"39.4"	"Eriobotrya(枇杷属)"	"橙红"	"整齐"	"上"	"70.0"
"46"	"4.27"	"椭圆"	"Rosaceae(蔷薇科)"	"木罗枇杷"	"8.39"	"广西"	"中"	"中"	"有异"	"0.30"	"8.89"	"偏酸"	"--"	"中小"	"广西"	"稍粗"	"中"	"Eriobotrya japonica Lindl.(枇杷)"	"MPE0160"	"MU LUO PI PA"	"25.8"	"Eriobotrya(枇杷属)"	"橙红"	"中等"	"下"	"58.7"
