"id"	"胶乳颜色"	"三小叶间距"	"生长快慢"	"叶片形状"	"侧脉胶"	"叶基"	"学名"	"科名"	"属名"	"小叶柄长度"	"物候落叶"	"省"	"叶缘形状"	"产量高低B"	"产量高低A"	"染色体数"	"落叶早晚"	"胶值比"	"物候抽芽"	"蜜腺形态"	"原产地"	"茎围比"	"统一编号"	"种质名称"	"大叶枕"	"抽芽早晚"
"1785"	"白"	"靠近"	"中等"	"椭圆"	"1.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"34.3"	"3月中旬"	"微突"	"巴西"	"82.6"	"XJA04536"	"RO/CM/10 44/64"	"浅"	"中"
"1786"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"43.3"	"4月上旬"	"微突"	"巴西"	"77.0"	"XJA04537"	"RO/CM/10 44/643"	"浅"	"晚"
"1787"	"白"	"分离"	"快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"中"	"较低"	"中等"	"36"	"晚"	"88.7"	"4月上旬"	"平"	"巴西"	"124.0"	"XJA04538"	"RO/CM/10 44/644"	"无"	"晚"
"1788"	"白"	"分离"	"较快"	"椭圆"	"2.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"中等"	"较低"	"36"	"晚"	"64.7"	"4月上旬"	"微突"	"巴西"	"111.2"	"XJA04539"	"RO/CM/10 44/647"	"浅"	"晚"
"1789"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"晚"	"84.2"	"4月上旬"	"微突"	"巴西"	"93.2"	"XJA04540"	"RO/CM/10 44/648"	"浅"	"晚"
"1790"	"白"	"重迭"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"79.8"	"4月上旬"	"平"	"巴西"	"106.2"	"XJA04541"	"RO/CM/10 44/65"	"无"	"晚"
"1791"	"黄"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"晚"	"81.4"	"4月上旬"	"微突"	"巴西"	"76.7"	"XJA04542"	"RO/CM/10 44/650"	"无"	"晚"
"1792"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"46.9"	"3月中旬"	"平"	"巴西"	"76.4"	"XJA04543"	"RO/CM/10 44/654"	"浅"	"中"
"1793"	"白"	"重迭"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"48.1"	"4月上旬"	"平"	"巴西"	"76.7"	"XJA04544"	"RO/CM/10 44/66"	"无"	"晚"
"1794"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"57.1"	"4月上旬"	"突"	"巴西"	"60.8"	"XJA04545"	"RO/CM/10 44/661"	"无"	"晚"
"1795"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"楔形"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"25.5"	"4月上旬"	"平"	"巴西"	"60.5"	"XJA04546"	"RO/CM/10 44/662"	"无"	"晚"
"1796"	"白"	"分离"	"快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"晚"	"84.9"	"4月上旬"	"平"	"巴西"	"137.2"	"XJA04547"	"RO/CM/10 44/663"	"无"	"晚"
"1797"	"白"	"分离"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"37.4"	"4月上旬"	"平"	"巴西"	"106.9"	"XJA04548"	"RO/CM/10 44/665"	"无"	"晚"
"1798"	"黄"	"靠近"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"34.2"	"3月中旬"	"平"	"巴西"	"72.5"	"XJA04549"	"RO/CM/10 44/666"	"浅"	"中"
"1799"	"白"	"靠近"	"快"	"椭圆"	"2.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"晚"	"82.1"	"4月上旬"	"微突"	"巴西"	"146.2"	"XJA04550"	"RO/CM/10 44/668"	"无"	"晚"
"1800"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"62.6"	"4月上旬"	"平"	"巴西"	"98.4"	"XJA04551"	"RO/CM/10 44/669"	"无"	"晚"
"1801"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"1月上旬"	"国外"	"大"	"较低"	"较低"	"36"	"早"	"61.2"	"2月上旬"	"平"	"巴西"	"63.2"	"XJA04552"	"RO/CM/10 44/67"	"浅"	"早"
"1802"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"较低"	"36"	"中"	"77.5"	"3月中旬"	"微突"	"巴西"	"77.2"	"XJA04553"	"RO/CM/10 44/670"	"无"	"中"
"1803"	"白"	"靠近"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"67.1"	"4月上旬"	"微突"	"巴西"	"64.9"	"XJA04554"	"RO/CM/10 44/673"	"无"	"晚"
"1804"	"白"	"靠近"	"较慢"	"椭圆"	"2.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"晚"	"87.7"	"4月上旬"	"微突"	"巴西"	"73.6"	"XJA04555"	"RO/CM/10 44/675"	"无"	"晚"
"1805"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"3月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"晚"	"99.7"	"4月上旬"	"平"	"巴西"	"90.1"	"XJA04556"	"RO/CM/10 44/681"	"浅"	"晚"
"1806"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"63.5"	"4月上旬"	"微突"	"巴西"	"68.7"	"XJA04557"	"RO/CM/10 44/683"	"无"	"晚"
"1807"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"38.8"	"4月上旬"	"微突"	"巴西"	"66.2"	"XJA04558"	"RO/CM/10 44/685"	"浅"	"晚"
"1808"	"白"	"靠近"	"中等"	"椭圆"	"2.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"晚"	"83.7"	"4月上旬"	"平"	"巴西"	"83.3"	"XJA04559"	"RO/CM/10 44/687"	"无"	"晚"
"1809"	"白"	"分离"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"中"	"96.0"	"4月上旬"	"微突"	"巴西"	"104.2"	"XJA04560"	"RO/CM/10 44/688"	"无"	"晚"
"1810"	"白"	"分离"	"快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"58.9"	"4月上旬"	"平"	"巴西"	"130.3"	"XJA04081"	"RO/C/9 23/194"	"无"	"晚"
"1811"	"白"	"分离"	"快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"38.6"	"3月中旬"	"平"	"巴西"	"120.8"	"XJA04082"	"RO/C/9 23/197"	"无"	"中"
"1812"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"60.8"	"3月中旬"	"微突"	"巴西"	"8.3"	"XJA04083"	"RO/C/9 23/198"	"浅"	"中"
"1813"	"白"	"分离"	"中等"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"中等"	"低"	"36"	"晚"	"39.4"	"3月中旬"	"平"	"巴西"	"84.3"	"XJA04084"	"RO/C/9 23/199"	"浅"	"中"
"1814"	"白"	"显著分离"	"较慢"	"倒卵"	"2.0"	"楔形"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"74.9"	"3月中旬"	"平"	"巴西"	"77.3"	"XJA04085"	"RO/C/9 23/20"	"浅"	"中"
"1815"	"白"	"显著分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"3.1"	"3月中旬"	"平"	"巴西"	"56.3"	"XJA04086"	"RO/C/9 23/200"	"浅"	"中"
"1816"	"白"	"分离"	"较慢"	"椭圆"	"3.0"	"楔形"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"中等"	"低"	"36"	"晚"	"35.7"	"2月上旬"	"平"	"巴西"	"77.6"	"XJA04087"	"RO/C/9 23/201"	"无"	"早"
"1817"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"中"	"79.3"	"3月中旬"	"平"	"巴西"	"62.4"	"XJA04088"	"RO/C/9 23/202"	"无"	"中"
"1818"	"白"	"分离"	"较快"	"椭圆"	"4.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较高"	"低"	"36"	"晚"	"50.0"	"4月上旬"	"突"	"巴西"	"105.6"	"XJA04089"	"RO/C/9 23/208"	"无"	"晚"
"1819"	"黄"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"13.3"	"4月上旬"	"平"	"巴西"	"90.7"	"XJA04090"	"RO/C/9 23/211"	"浅"	"晚"
"1820"	"白"	"分离"	"中等"	"椭圆"	"3.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"1月上旬"	"国外"	"大"	"较高"	"低"	"36"	"早"	"33.0"	"3月中旬"	"平"	"巴西"	"92.7"	"XJA04091"	"RO/C/9 23/216"	"浅"	"中"
"1821"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"较低"	"36"	"晚"	"66.1"	"3月中旬"	"平"	"巴西"	"45.9"	"XJA04092"	"RO/C/9 23/218"	"无"	"中"
"1822"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"较低"	"高"	"36"	"中"	"169.9"	"3月中旬"	"微突"	"巴西"	"75.8"	"XJA04093"	"RO/C/9 23/219"	"浅"	"中"
"1823"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"32.1"	"4月上旬"	"平"	"巴西"	"37.3"	"XJA04094"	"RO/C/9 23/221"	"浅"	"晚"
"1824"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"16.6"	"4月上旬"	"平"	"巴西"	"54.7"	"XJA04095"	"RO/C/9 23/223"	"浅"	"晚"
"1825"	"黄"	"分离"	"快"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"27.5"	"4月上旬"	"平"	"巴西"	"123.6"	"XJA04096"	"RO/C/9 23/224"	"无"	"晚"
"1826"	"白"	"靠近"	"较慢"	"椭圆"	"1.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"41.2"	"3月中旬"	"平"	"巴西"	"67.4"	"XJA04097"	"RO/C/9 23/225"	"浅"	"中"
"1827"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"31.4"	"3月中旬"	"平"	"巴西"	"64.0"	"XJA04098"	"RO/C/9 23/230"	"无"	"中"
"1828"	"白"	"分离"	"慢"	"椭圆"	"2.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"中等"	"较低"	"36"	"早"	"74.9"	"3月中旬"	"微突"	"巴西"	"52.2"	"XJA04099"	"RO/C/9 23/231"	"浅"	"中"
"1829"	"白"	"分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"29.5"	"3月中旬"	"微突"	"巴西"	"63.1"	"XJA04100"	"RO/C/9 23/237"	"无"	"中"
"1830"	"白"	"分离"	"慢"	"椭圆"	"1.0"	"纯尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"10.7"	"4月上旬"	"平"	"巴西"	"46.6"	"XJA04101"	"RO/C/9 23/238"	"无"	"晚"
"1831"	"白"	"分离"	"快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"28.5"	"4月上旬"	"平"	"巴西"	"151.7"	"XJA04102"	"RO/C/9 23/239"	"无"	"晚"
"1832"	"白"	"分离"	"快"	"倒卵"	"1.0"	"楔形"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"2.6"	"3月中旬"	"微突"	"巴西"	"123.6"	"XJA04103"	"RO/C/9 23/244"	"浅"	"中"
"1833"	"白"	"分离"	"中等"	"椭圆"	"4.5"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"高"	"较低"	"36"	"晚"	"68.7"	"4月上旬"	"微突"	"巴西"	"83.1"	"XJA04104"	"RO/C/9 23/248"	"浅"	"晚"
"1834"	"白"	"分离"	"较快"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"4.4"	"3月中旬"	"微突"	"巴西"	"101.1"	"XJA04105"	"RO/C/9 23/251"	"无"	"中"
"1835"	"黄"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"24.8"	"3月中旬"	"平"	"巴西"	"68.3"	"XJA04106"	"RO/C/9 23/258"	"浅"	"中"
"1836"	"白"	"靠近"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"低"	"低"	"36"	"早"	"23.5"	"3月中旬"	"平"	"巴西"	"52.2"	"XJA04107"	"RO/C/9 23/259"	"浅"	"中"
"1837"	"白"	"靠近"	"快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"29.6"	"3月中旬"	"平"	"巴西"	"120.8"	"XJA04108"	"RO/C/9 23/264"	"无"	"中"
"1838"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"1月上旬"	"国外"	"大"	"较低"	"中等"	"36"	"早"	"95.5"	"3月中旬"	"微突"	"巴西"	"56.5"	"XJA04109"	"RO/C/9 23/266"	"浅"	"中"
"1839"	"白"	"靠近"	"较慢"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"中等"	"较低"	"36"	"中"	"69.7"	"2月上旬"	"平"	"巴西"	"73.9"	"XJA04110"	"RO/C/9 23/269"	"无"	"早"
"1840"	"白"	"分离"	"中等"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"中等"	"低"	"36"	"中"	"49.4"	"4月上旬"	"平"	"巴西"	"84.8"	"XJA04111"	"RO/C/9 23/27"	"无"	"晚"
"1841"	"白"	"分离"	"较快"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"36.7"	"3月中旬"	"平"	"巴西"	"111.8"	"XJA04112"	"RO/C/9 23/276"	"无"	"中"
"1842"	"白"	"显著分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"55.8"	"4月上旬"	"平"	"巴西"	"57.1"	"XJA04113"	"RO/C/9 23/277"	"浅"	"晚"
"1843"	"白"	"分离"	"中等"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"33.3"	"3月中旬"	"平"	"巴西"	"87.8"	"XJA04114"	"RO/C/9 23/28"	"浅"	"中"
"1844"	"白"	"分离"	"中等"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"2月中旬"	"国外"	"大"	"中等"	"低"	"36"	"中"	"44.7"	"3月中旬"	"平"	"巴西"	"97.8"	"XJA04115"	"RO/C/9 23/280"	"深"	"中"
"1845"	"黄"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"2.1"	"3月中旬"	"微突"	"巴西"	"81.5"	"XJA04116"	"RO/C/9 23/282"	"无"	"中"
"1846"	"白"	"分离"	"慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"28.3"	"2月上旬"	"平"	"巴西"	"57.7"	"XJA04117"	"RO/C/9 23/283"	"无"	"早"
"1847"	"白"	"靠近"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"20.6"	"3月中旬"	"微突"	"巴西"	"67.4"	"XJA04118"	"RO/C/9 23/29"	"浅"	"中"
"1848"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"3月中旬"	"国外"	"大"	"较低"	"低"	"36"	"晚"	"50.6"	"3月中旬"	"平"	"巴西"	"90.7"	"XJA04119"	"RO/C/9 23/291"	"浅"	"中"
"1849"	"白"	"显著分离"	"较慢"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"1月上旬"	"国外"	"大"	"较低"	"低"	"36"	"早"	"22.1"	"2月上旬"	"平"	"巴西"	"60.2"	"XJA04120"	"RO/C/9 23/294"	"无"	"早"
"1850"	"白"	"靠近"	"慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"短"	"3月中旬"	"国外"	"大"	"低"	"低"	"36"	"晚"	"37.0"	"4月上旬"	"平"	"巴西"	"57.2"	"XJA04121"	"RO/C/9 23/295"	"深"	"晚"
"1851"	"白"	"分离"	"较慢"	"椭圆"	"1.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"中"	"2月中旬"	"国外"	"大"	"低"	"低"	"36"	"中"	"39.5"	"2月上旬"	"微突"	"巴西"	"72.9"	"XJA04122"	"RO/C/9 23/296"	"深"	"早"
"1852"	"白"	"分离"	"快"	"椭圆"	"3.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"3月中旬"	"国外"	"大"	"中等"	"低"	"36"	"晚"	"22.2"	"3月中旬"	"平"	"巴西"	"120.9"	"XJA04123"	"RO/C/9 23/299"	"无"	"中"
"1853"	"白"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"极短"	"3月中旬"	"国外"	"大"	"较低"	"中等"	"36"	"晚"	"95.8"	"4月上旬"	"平"	"巴西"	"82.6"	"XJA04124"	"RO/C/9 23/302"	"浅"	"晚"
"1854"	"黄"	"分离"	"中等"	"椭圆"	"2.0"	"渐尖"	"Hevea brasilensis(巴西橡胶)"	"Euphorbiaceae(大戟科)"	"Hevea(三叶橡胶属)"	"长"	"2月中旬"	"国外"	"大"	"较低"	"低"	"36"	"中"	"25.6"	"3月中旬"	"微突"	"巴西"	"95.5"	"XJA04125"	"RO/C/9 23/303"	"无"	"中"
