"id"	"统一编号"	"保存单位"	"品种名称"	"系谱"	"来源"	"芒"	"壳色"	"粒色"	"冬春性"	"成熟期"	"穗粒数"	"穗长"	"株高"	"千粒重"	"粗蛋白"	"省份"
"529"	"ZM014205"	"晋0698"	"临汾521"	"太谷256/矮丰4号//687-44/山前麦"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"早"	"28"	"8"	"86"	"40"	"14.28"	"山西
"
"530"	"ZM014206"	"晋0699"	"临汾525"	"太谷256/矮丰4号//687-44/山前麦"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"早"	"25"	"7"	"83"	"40"	"14.7"	"山西
"
"531"	"ZM014207"	"晋0700"	"临汾534"	"临汾5084/小偃7014-5"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"早"	"32"	"8"	"90"	"43"	"16.1"	"山西
"
"532"	"ZM014208"	"晋0701"	"临汾580"	"泰山1号/山前麦//小偃7014-5"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"早"	"32"	"8"	"90"	"42"	"15.9"	"山西
"
"533"	"ZM014209"	"晋0702"	"临汾602"	"临汾4113-高中杆/陕7587"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"早"	"31"		"90"	"45"		"山西
"
"534"	"ZM014210"	"晋0703"	"临汾5064"	"太谷256/矮丰4号//沙瑞克F70/临汾9号"	"山西省农科院小麦所"	"顶"	"白"	"白"	"弱冬"	"早"	"30"	"8"	"85"	"40"		"山西
"
"535"	"ZM014211"	"晋0704"	"临汾5084"	"(ST2422/464)/晋麦7号"	"山西省农科院小麦所"	"长"	"白"	"红"	"弱冬"	"中"	"38"	"10"	"85"	"40"		"山西
"
"536"	"ZM014212"	"晋0705"	"临汾7410"	"(ST2422/464)/6354C"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"早"	"33"	"8"	"90"	"40"		"山西
"
"537"	"ZM014214"	"晋0707"	"临汾40825"	"蚰包/小偃759//西北丰收/(ST2422/464)"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"中"	"44"	"11"	"88"	"38"		"山西
"
"538"	"ZM014216"	"晋0709"	"临汾41018"	"西北丰收/(ST2422/464)//陕7587-5"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"中"	"40"	"11"	"85"	"45"	"15.72"	"山西
"
"539"	"ZM014217"	"晋0710"	"临汾51135"	"小偃759/4443//(ST2422/464)/6354C"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"中"	"29"	"9"	"90"	"43"		"山西
"
"540"	"ZM014219"	"晋0712"	"临辐4094"	"K239/5084"	"山西省农科院小麦所"	"长"	"白"	"白"	"冬"	"中"	"40"	"7"	"75"	"43.5"		"山西
"
"541"	"ZM014220"	"晋0713"	"临辐4369"	"晋麦20/尤30"	"山西省农科院小麦所"	"长"	"白"	"白"	"弱冬"	"早"	"48"	"9"	"68"	"41.8"		"山西
"
"542"	"ZM014221"	"晋0714"	"临辐4459"	"濮农3665/7025-0-14-3-7-7"	"山西省农科院小麦所"	"长"	"白"	"白"	"冬"	"中"	"40"	"8"	"85"	"61.4"		"山西
"
"543"	"ZM014222"	"晋0715"	"临辐4561"	"77-3643/冀麦2号"	"山西省农科院小麦所"	"长"	"白"	"白"	"冬"	"早"	"40"	"7"	"86"	"40.4"		"山西
"
"544"	"ZM014223"	"晋0716"	"临辐4576"	"77-3643/冀麦2号"	"山西省农科院小麦所"	"长"	"白"	"白"	"冬"	"早"	"40"	"8"	"80"	"44.4"		"山西
"
