"id"	"统一编号"	"保存单位"	"品种名称"	"系谱"	"来源"	"芒"	"壳色"	"粒色"	"冬春性"	"成熟期"	"穗粒数"	"穗长"	"株高"	"千粒重"	"粗蛋白"	"省份"
"1"	"ZM013629"	"京3992"	"中安78125-7-1-4-3"	"徐73154/徐7964"	"中国农科院作物所"	"长"	"白"	"白"	"春"	"极晚"	"41"	"8"	"80"	"53.7"	"15.31"	"北京
"
"2"	"ZM013630"	"京3993"	"中作CA7992"	"蚰包/抗引655"	"中国农科院作物所"	"无"	"白"	"红"	"冬"	"晚"	"40"	"7"	"75"	"34.3"	"13.48"	"北京
"
"3"	"ZM013631"	"京3994"	"中作CA8129"	"京双2号/洛夫林13//京双3号"	"中国农科院作物所"	"长"	"白"	"白"	"冬"	"中"	"46"	"8"	"85"	"35.4"		"北京
"
"4"	"ZM013632"	"京3995"	"中作79-2060"	"达西亚/新冬矮1号"	"中国农科院作物所"	"长"	"白"	"红"	"冬"	"晚"	"37"	"7"	"80"	"37.9"	"15.26"	"北京
"
"5"	"ZM013633"	"京3996"	"中作4240-1"	"北京15/洛夫林10号"	"中国农科院作物所"	"顶"	"白"	"红"	"冬"	"中"	"55"	"10"	"100"	"37.6"	"15.24"	"北京
"
"6"	"ZM013634"	"京3997"	"中作4564A-1"	"洛夫林13/有芒白2号"	"中国农科院作物所"	"长"	"白"	"红"	"冬"	"早"	"34"	"8"	"72"	"35.2"		"北京
"
"7"	"ZM013635"	"京3998"	"中作45021-2"	"有芒白7号/洛夫林10号//百红/有芒白4号"	"中国农科院作物所"	"长"	"白"	"红"	"冬"	"中"	"55"	"11"	"92"	"38"	"13.21"	"北京
"
"8"	"ZM013636"	"京3999"	"中作45039-7"	"有芒白7号/洛夫林10号//百红/有芒白4号"	"中国农科院作物所"	"长"	"白"	"红"	"冬"	"中"	"53"	"10"	"100"	"40.6"		"北京
"
"9"	"ZM013637"	"京4000"	"中植2-8"	"加瑞/比塞卡"	"中国农科院植保所"	"无"	"白"	"红"	"冬"	"晚"	"40"	"11"	"110"	"29"		"北京
"
"10"	"ZM013638"	"京4001"	"中植4-2"	"有芒白7号/抗引655"	"中国农科院植保所"	"长"	"白"	"红"	"冬"	"晚"	"43"	"11"	"105"	"30.2"	"14.27"	"北京
"
"11"	"ZM013639"	"京4002"	"中植81-5020"	"郑6矮/洛夫林10号//75-78"	"中国农科院植保所"	"无"	"白"	"白"	"冬"	"中"	"38"	"8"	"75"	"33.2"		"北京
"
"12"	"ZM013640"	"京4003"	"中植823-8995"	"高加索/JRV68-77//TT111"	"中国农科院植保所"	"长"	"白"	"红"	"春"	"晚"	"55"	"10"	"80"	"30.7"		"北京
"
"13"	"ZM013641"	"京4004"	"中植5189"	"重135/抗引655"	"中国农科院植保所"	"长"	"白"	"红"	"冬"	"中"	"38"	"8"	"85"	"36.9"	"15.59"	"北京
"
"14"	"ZM013642"	"京4005"	"中植5192"	"重135/抗引655"	"中国农科院植保所"	"长"	"白"	"红"	"冬"	"中"	"33"	"9"	"90"	"35.5"	"14.94"	"北京
"
"15"	"ZM013643"	"京4006"	"东大1号"	"P262/洛夫林10号//有芒白2号"	"北京东北旺农场"	"长"	"白"	"红"	"冬"	"中"	"33"	"10"	"95"	"60.2"		"北京
"
"16"	"ZM013644"	"京4007"	"东大2号"	"200-13-113/农大139"	"北京东北旺农场"	"长"	"白"	"红"	"冬"	"中"	"29"	"11"	"110"	"52.7"		"北京
"
"17"	"ZM013645"	"京4008"	"东大3号"	"中高秆36/弗罗瑞斯"	"北京东北旺农场"	"无"	"白"	"白"	"冬"	"中"	"41"	"9"	"80"	"45.6"		"北京
"
"18"	"ZM013646"	"京4009"	"叶79-1"	"Null"	"中国农科院植保所"	"长"	"白"	"红"	"冬"	"中"	"41"	"8"	"85"	"40.9"	"15.28"	"北京
"
"19"	"ZM013647"	"京4010"	"多抗821"	"烟台685-53/洛夫林13"	"中国农科院植保所"	"长"	"白"	"白"	"冬"	"晚"	"32"	"10"	"110"	"61.4"	"15.08"	"北京
"
"20"	"ZM013651"	"京4014"	"农大6086"	"农大45/北京8号"	"北京农业大学"	"长"	"白"	"白"	"冬"	"中"	"46"	"10"	"100"	"40"	"14.84"	"北京
"
"21"	"ZM013652"	"京4015"	"农大20031"	"有芒白7号/4026"	"北京农业大学"	"长"	"白"	"红"	"冬"	"中"	"39"	"10"	"90"	"41"	"14.05"	"北京
"
"22"	"ZM013653"	"京4016"	"农大40946"	"5239/70-8//山前麦/3/洛夫林13/有芒白2号"	"北京农业大学"	"长"	"白"	"白"	"冬"	"中"	"40"	"10"	"80"	"46"	"14.16"	"北京
"
"23"	"ZM013654"	"京4017"	"农大81125"	"钱保德/农大139"	"北京农业大学"	"长"	"白"	"红"	"冬"	"中"	"38"	"10"	"95"	"33"	"16.44"	"北京
"
"24"	"ZM013655"	"京4018"	"农大81142"	"5021/女水妖//7021/洛夫林10号"	"北京农业大学"	"长"	"白"	"红"	"冬"	"中"	"35"	"9"	"92"	"42"	"15.79"	"北京
"
"25"	"ZM013656"	"京4019"	"京东79-东62"	"蚰包/有芒白2号//山前麦"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"44"	"8"	"60"	"32"	"16.17"	"北京
"
"26"	"ZM013657"	"京4020"	"京东79-东75-34"	"京双6号/山前麦//京双3号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"38"	"10"	"90"	"50.5"	"17.43"	"北京
"
"27"	"ZM013658"	"京4021"	"京东79-东86"	"京双2号/洛夫林13"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"中"	"37"	"8"	"85"	"39.7"		"北京
"
"28"	"ZM013659"	"京4022"	"京东81-东175"	"京双2号/洛夫林13//蚰包/有芒红7号"	"北京农场局农科所"	"无"	"白"	"红"	"冬"	"中"	"44"	"6"	"80"	"35"		"北京
"
"29"	"ZM013660"	"京4023"	"京东82-42"	"蚰包/有芒白2号//山前麦"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"55"	"11"	"67"	"45.1"	"15.18"	"北京
"
"30"	"ZM013661"	"京4024"	"京东82-78"	"5238/有芒白1号//山前麦"	"北京农场局农科所"	"无"	"白"	"红"	"冬"	"中"	"45"	"10"	"79"	"42"		"北京
"
"31"	"ZM013662"	"京4025"	"京东3061A-4"	"蚰包/有芒白2号//洛夫林13"	"北京农场局农科所"	"无"	"白"	"红"	"冬"	"晚"	"44"	"9"	"105"	"53"		"北京
"
"32"	"ZM013663"	"京4026"	"京东3062A-2"	"蚰包/有芒白2号//洛夫林13"	"北京农场局农科所"	"无"	"白"	"白"	"冬"	"晚"	"33"	"9"	"98"	"52.4"	"14.81"	"北京
"
"33"	"ZM013664"	"京4027"	"京东3062A-4"	"蚰包/有芒白2号//洛夫林13"	"北京农场局农科所"	"无"	"白"	"白"	"冬"	"晚"	"30"	"8"	"95"	"53.5"	"16.53"	"北京
"
"34"	"ZM013665"	"京4028"	"京东3063A-2"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"31"	"10"	"95"	"57.8"		"北京
"
"35"	"ZM013666"	"京4029"	"京东3063A-3"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"36"	"11"	"100"	"55.6"		"北京
"
"36"	"ZM013667"	"京4030"	"京东3064A-1"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"36"	"10"	"95"	"54.2"		"北京
"
"37"	"ZM013668"	"京4031"	"京东3064A-2"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"27"	"12"	"95"	"54"	"16.0"	"北京
"
"38"	"ZM013669"	"京4032"	"京东3064A-3"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"31"	"11"	"100"	"50.5"	"16.68"	"北京
"
"39"	"ZM013670"	"京4033"	"京东3064A-4"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"无"	"白"	"白"	"冬"	"晚"	"30"	"10"	"100"	"51.5"		"北京
"
"40"	"ZM013671"	"京4034"	"京东3065A-1"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"32"	"11"	"95"	"51.3"	"15.39"	"北京
"
"41"	"ZM013672"	"京4035"	"京东3065A-3"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"27"	"9"	"100"	"51.1"	"16.9"	"北京
"
"42"	"ZM013673"	"京4036"	"京东3065A-4"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"22"	"9"	"105"	"57.7"	"16.11"	"北京
"
"43"	"ZM013676"	"京4039"	"京东3067-1"	"中高秆36/夫洛来斯//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"33"	"10"	"90"	"60.2"		"北京
"
"44"	"ZM013677"	"京4040"	"京东3068-1"	"P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"无"	"红"	"红"	"冬"	"中"	"28"	"10"	"100"	"56.3"	"15.35"	"北京
"
"45"	"ZM013678"	"京4041"	"京东3068-2"	"200-13-113/农大139"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"28"	"9"	"90"	"50.1"		"北京
"
"46"	"ZM013679"	"京4042"	"京东3069-1"	"高加索/有芒白7号//蚰包/有芒白2号"	"北京农场局农科所"	"无"	"白"	"白"	"冬"	"晚"	"29"	"7"	"95"	"51.7"		"北京
"
"47"	"ZM013680"	"京4043"	"京东3070-1"	"蚰包/有芒白2号//洛夫林13"	"北京农场局农科所"	"无"	"白"	"白"	"冬"	"晚"	"28"	"8"	"100"	"55.4"	"15.4"	"北京
"
"48"	"ZM013682"	"京4045"	"京东5227"	"中高秆36/有芒白2号//洛夫林13/7206"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"30"	"9"	"80"	"43.3"	"15.03"	"北京
"
"49"	"ZM013683"	"京4046"	"京东6025"	"蚰包/有芒白2号//山前麦/3/京旺3号"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"中"	"39"	"10"	"82"	"46.4"	"13.54"	"北京
"
"50"	"ZM013684"	"京4047"	"京东07287"	"03253/3/高加索/5104//5238/有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"早"	"50"	"7"	"80"	"42"		"北京
"
"51"	"ZM013685"	"京4048"	"京东08313"	"72-088/洛夫林13//168/北京15"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"早"	"33"	"8"	"77"	"44"		"北京
"
"52"	"ZM013686"	"京4049"	"京东08339"	"72-088/洛夫林13"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"晚"	"51"	"6"	"60"	"40"	"17.19"	"北京
"
"53"	"ZM013687"	"京4050"	"京东08343"	"5239/70-8//山前麦"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"晚"	"54"	"8"	"64"	"32.5"	"15.41"	"北京
"
"54"	"ZM013688"	"京4051"	"京东08344"	"中高秆36/有芒白2号/3/5238/有芒白2号//洛夫林10号"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"中"	"71"	"12"	"69"	"42.5"	"14.63"	"北京
"
"55"	"ZM013689"	"京4052"	"京东08393"	"5238/有芒白1号//山前麦/3/(T.J.B293/82)"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"57"	"9"	"37"	"25.4"	"18.5"	"北京
"
"56"	"ZM013690"	"京4053"	"京东30234-30"	"5238/有芒白1号//山前麦/3/(T.J.B293/82)"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"35"	"9"	"95"	"58.5"		"北京
"
"57"	"ZM013691"	"京4054"	"京东50113"	"71-348/利伯留拉//京双2号/3/山前麦"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"早"	"38"	"9"	"72"	"49.6"	"17.2"	"北京
"
"58"	"ZM013692"	"京4055"	"京东50295"	"Null"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"早"	"40"	"8"	"75"	"48.2"	"15.39"	"北京
"
"59"	"ZM013693"	"京4056"	"京东50378"	"京旺6号/3/蚰包/有芒白2号//山前麦"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"早"	"43"	"8"	"65"	"50.9"	"13.76"	"北京
"
"60"	"ZM013694"	"京4057"	"京东50379"	"京旺6号/3/蚰包/有芒白2号//山前麦"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"早"	"36"	"8"	"65"	"51.4"	"13.77"	"北京
"
"61"	"ZM013695"	"京4058"	"京东50380"	"京旺6号/3/蚰包/有芒白2号//山前麦"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"早"	"43"	"8"	"65"	"50.5"	"13.52"	"北京
"
"62"	"ZM013696"	"京4059"	"京东051063"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"早"	"36"	"10"	"110"	"54.3"	"15.03"	"北京
"
"63"	"ZM013697"	"京4060"	"京东051064"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"无"	"白"	"白"	"冬"	"中"	"33"	"8"	"97"	"57.4"	"15.03"	"北京
"
"64"	"ZM013698"	"京4061"	"京农79-5"	"有芒白4号/洛夫林10号"	"北京农科院作物所"	"长"	"白"	"红"	"冬"	"中"	"35"	"10"	"80"	"51.5"	"16.03"	"北京
"
"65"	"ZM013699"	"京4062"	"京农79-15"	"有芒白7号/洛夫林10号"	"北京农科院作物所"	"长"	"白"	"红"	"强冬"	"中"	"32"	"11"	"100"	"47.2"	"14.87"	"北京
"
"66"	"ZM013700"	"京4063"	"京农81-5470"	"有芒白7号/洛林夫13//有芒白7号/3/半高秆"	"北京农科院作物所"	"长"	"白"	"红"	"弱冬"	"中"	"39"	"10"	"95"	"45.7"	"13.46"	"北京
"
"67"	"ZM013701"	"京4064"	"京农81-鉴35"	"有芒白7号/洛夫林10号//有芒白7号/半高秆"	"北京农科院作物所"	"长"	"白"	"红"	"弱冬"	"中"	"37"	"9"	"95"	"43.2"	"14.05"	"北京
"
"68"	"ZM013702"	"京4065"	"京农83-鉴32"	"山前麦/有芒白7号"	"北京农科院作物所"	"长"	"白"	"红"	"冬"	"晚"	"40"	"9"	"85"	"37.3"	"14.46"	"北京
"
"69"	"ZM013703"	"京4066"	"京农83-鉴54"	"山前麦/有芒白7号"	"北京农科院作物所"	"长"	"白"	"红"	"冬"	"中"	"38"	"9"	"90"	"33.7"		"北京
"
"70"	"ZM013704"	"京4067"	"京农83-鉴77"	"有芒白7号/洛夫林10号//有芒白4号"	"北京农科院作物所"	"长"	"白"	"红"	"弱冬"	"中"	"37"	"9"	"70"	"31.6"		"北京
"
"71"	"ZM013705"	"京4068"	"春11-13"	"Null"	"北京东北旺农场"	"长"	"白"	"红"	"冬"	"中"	"33"	"10"	"95"	"57.2"		"北京
"
"72"	"ZM013706"	"京4069"	"品冬3号"	"2246/4619-13"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"中"	"40"	"9"	"95"	"54.9"		"北京
"
"73"	"ZM013708"	"京4071"	"品冬5号"	"93148-3/72-629"	"中国农科院品资所"	"长"	"白"	"白"	"冬"	"晚"	"37"	"12"	"90"	"49"	"14.84"	"北京
"
"74"	"ZM013709"	"京4072"	"品冬6号"	"93148-3/72-629"	"中国农科院品资所"	"长"	"白"	"白"	"冬"	"晚"	"40"	"14"	"87"	"49.6"	"15.32"	"北京
"
"75"	"ZM013710"	"京4073"	"品冬4615-5"	"1085-2/35346-3"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"中"	"39"	"10"	"100"	"51.6"	"16.33"	"北京
"
"76"	"ZM013685"	"京4048"	"京东08313"	"72-088/洛夫林13//168/北京15"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"早"	"33"	"8"	"77"	"44"		"北京
"
"77"	"ZM013686"	"京4049"	"京东08339"	"72-088/洛夫林13"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"晚"	"51"	"6"	"60"	"40"	"17.19"	"北京
"
"78"	"ZM013687"	"京4050"	"京东08343"	"5239/70-8//山前麦"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"晚"	"54"	"8"	"64"	"32.5"	"15.41"	"北京
"
"79"	"ZM013688"	"京4051"	"京东08344"	"中高秆36/有芒白2号/3/5238/有芒白2号//洛夫林10号"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"中"	"71"	"12"	"69"	"42.5"	"14.63"	"北京
"
"80"	"ZM013689"	"京4052"	"京东08393"	"5238/有芒白1号//山前麦/3/(T.J.B293/82)"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"晚"	"57"	"9"	"37"	"25.4"	"18.5"	"北京
"
"81"	"ZM013690"	"京4053"	"京东30234-30"	"5238/有芒白1号//山前麦/3/(T.J.B293/82)"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"中"	"35"	"9"	"95"	"58.5"		"北京
"
"82"	"ZM013691"	"京4054"	"京东50113"	"71-348/利伯留拉//京双2号/3/山前麦"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"早"	"38"	"9"	"72"	"49.6"	"17.2"	"北京
"
"83"	"ZM013692"	"京4055"	"京东50295"	"Null"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"早"	"40"	"8"	"75"	"48.2"	"15.39"	"北京
"
"84"	"ZM013693"	"京4056"	"京东50378"	"京旺6号/3/蚰包/有芒白2号//山前麦"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"早"	"43"	"8"	"65"	"50.9"	"13.76"	"北京
"
"85"	"ZM013694"	"京4057"	"京东50379"	"京旺6号/3/蚰包/有芒白2号//山前麦"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"早"	"36"	"8"	"65"	"51.4"	"13.77"	"北京
"
"86"	"ZM013695"	"京4058"	"京东50380"	"京旺6号/3/蚰包/有芒白2号//山前麦"	"北京农场局农科所"	"长"	"白"	"白"	"冬"	"早"	"43"	"8"	"65"	"50.5"	"13.52"	"北京
"
"87"	"ZM013696"	"京4059"	"京东051063"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"长"	"白"	"红"	"冬"	"早"	"36"	"10"	"110"	"54.3"	"15.03"	"北京
"
"88"	"ZM013697"	"京4060"	"京东051064"	"200-13-113/农大139/3/P262/洛夫林10号//有芒白2号"	"北京农场局农科所"	"无"	"白"	"白"	"冬"	"中"	"33"	"8"	"97"	"57.4"	"15.03"	"北京
"
"89"	"ZM013698"	"京4061"	"京农79-5"	"有芒白4号/洛夫林10号"	"北京农科院作物所"	"长"	"白"	"红"	"冬"	"中"	"35"	"10"	"80"	"51.5"	"16.03"	"北京
"
"90"	"ZM013699"	"京4062"	"京农79-15"	"有芒白7号/洛夫林10号"	"北京农科院作物所"	"长"	"白"	"红"	"强冬"	"中"	"32"	"11"	"100"	"47.2"	"14.87"	"北京
"
"91"	"ZM013700"	"京4063"	"京农81-5470"	"有芒白7号/洛林夫13//有芒白7号/3/半高秆"	"北京农科院作物所"	"长"	"白"	"红"	"弱冬"	"中"	"39"	"10"	"95"	"45.7"	"13.46"	"北京
"
"92"	"ZM013701"	"京4064"	"京农81-鉴35"	"有芒白7号/洛夫林10号//有芒白7号/半高秆"	"北京农科院作物所"	"长"	"白"	"红"	"弱冬"	"中"	"37"	"9"	"95"	"43.2"	"14.05"	"北京
"
"93"	"ZM013702"	"京4065"	"京农83-鉴32"	"山前麦/有芒白7号"	"北京农科院作物所"	"长"	"白"	"红"	"冬"	"晚"	"40"	"9"	"85"	"37.3"	"14.46"	"北京
"
"94"	"ZM013703"	"京4066"	"京农83-鉴54"	"山前麦/有芒白7号"	"北京农科院作物所"	"长"	"白"	"红"	"冬"	"中"	"38"	"9"	"90"	"33.7"		"北京
"
"95"	"ZM013704"	"京4067"	"京农83-鉴77"	"有芒白7号/洛夫林10号//有芒白4号"	"北京农科院作物所"	"长"	"白"	"红"	"弱冬"	"中"	"37"	"9"	"70"	"31.6"		"北京
"
"96"	"ZM013705"	"京4068"	"春11-13"	"Null"	"北京东北旺农场"	"长"	"白"	"红"	"冬"	"中"	"33"	"10"	"95"	"57.2"		"北京
"
"97"	"ZM013706"	"京4069"	"品冬3号"	"2246/4619-13"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"中"	"40"	"9"	"95"	"54.9"		"北京
"
"98"	"ZM013708"	"京4071"	"品冬5号"	"93148-3/72-629"	"中国农科院品资所"	"长"	"白"	"白"	"冬"	"晚"	"37"	"12"	"90"	"49"	"14.84"	"北京
"
"99"	"ZM013709"	"京4072"	"品冬6号"	"93148-3/72-629"	"中国农科院品资所"	"长"	"白"	"白"	"冬"	"晚"	"40"	"14"	"87"	"49.6"	"15.32"	"北京
"
"100"	"ZM013710"	"京4073"	"品冬4615-5"	"1085-2/35346-3"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"中"	"39"	"10"	"100"	"51.6"	"16.33"	"北京
"
"101"	"ZM013736"	"京4099"	"品抗455-456"	"PKBL-16/佛内单克"	"中国农科院品资所"	"长"	"白"	"白"	"冬"	"晚"	"47"	"11"	"100"	"38.2"	"15.62"	"北京
"
"102"	"ZM013737"	"京4100"	"品抗473-474"	"PKBL-16/佛内单克"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"晚"	"38"	"10"	"80"	"33.8"	"15.25"	"北京
"
"103"	"ZM013738"	"京4101"	"品抗504-505"	"PKBL-16/季拉多598"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"晚"	"56"	"11"	"78"	"25.9"	"15.85"	"北京
"
"104"	"ZM013739"	"京4102"	"品抗548-549"	"PKBL-16/季拉多598"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"晚"	"54"	"10"	"90"	"34.6"	"14.43"	"北京
"
"105"	"ZM013740"	"京4103"	"品抗595-596"	"PKBL-16/季拉多598"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"晚"	"43"	"10"	"100"	"42.3"	"14.98"	"北京
"
"106"	"ZM013741"	"京4104"	"品抗777-778"	"PKBL-16/兰孩"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"晚"	"46"	"10"	"100"	"35.8"	"15.66"	"北京
"
"107"	"ZM013742"	"京4105"	"品抗851-852"	"PKBL-16/季拉多598"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"晚"	"33"	"10"	"95"	"35"		"北京
"
"108"	"ZM013743"	"京4106"	"品抗1099-1101"	"兰孩/查平戈"	"中国农科院品资所"	"顶"	"白"	"红"	"冬"	"晚"	"41"	"11"	"95"	"39.2"	"13.91"	"北京
"
"109"	"ZM013744"	"京4107"	"品抗1131-1132"	"兰孩/纽瑞"	"中国农科院品资所"	"无"	"白"	"红"	"冬"	"晚"	"42"	"10"	"95"	"30.5"	"15.79"	"北京
"
"110"	"ZM013745"	"京4108"	"品抗1182-1183"	"PKBL-16/墨巴66"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"晚"	"58"	"11"	"80"	"24.9"	"14.2"	"北京
"
"111"	"ZM013746"	"京4109"	"品抗1231-1232"	"PKBL-16/墨巴66"	"中国农科院品资所"	"无"	"白"	"红"	"冬"	"晚"	"42"	"9"	"105"	"32.6"	"14.29"	"北京
"
"112"	"ZM013747"	"京4110"	"品抗1271"	"PKBL-16/巴赫约S67"	"中国农科院品资所"	"无"	"白"	"红"	"冬"	"晚"	"55"	"10"	"80"	"27.5"	"14.83"	"北京
"
"113"	"ZM013748"	"京4111"	"品抗1276"	"PKBL-16/巴赫约S67"	"中国农科院品资所"	"无"	"白"	"白"	"冬"	"晚"	"49"	"8"	"85"	"24.1"	"14.42"	"北京
"
"114"	"ZM013749"	"京4112"	"品抗1286-1287"	"F16-71/中引606"	"中国农科院品资所"	"长"	"白"	"红"	"冬"	"晚"	"49"	"10"	"90"	"32"	"14.14"	"北京
"
"115"	"ZM013750"	"京4113"	"品春1"	"76(15)9-20/金沙江3号"	"中国农科院品资所"	"长"	"白"	"白"	"春"	"极早"	"34"	"11"	"100"	"57"		"北京
"
"116"	"ZM013751"	"京4114"	"品春2"	"金沙江1号/奥尔森"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"极早"	"27"	"11"	"85"	"56"		"北京
"
"117"	"ZM013752"	"京4115"	"品春3"	"临1/黄花5号"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"极早"	"30"	"8"	"90"	"58"		"北京
"
"118"	"ZM013753"	"京4116"	"品春4"	"76-2/T36"	"中国农科院品资所"	"长"	"白"	"白"	"春"	"早"	"37"	"10"	"87"	"53"	"12.78"	"北京
"
"119"	"ZM013754"	"京4117"	"品春5"	"03/金沙江2号"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"早"	"23"	"8"	"90"	"57"	"17.62"	"北京
"
"120"	"ZM013755"	"京4118"	"品春6"	"03/金沙江2号"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"早"	"27"	"9"	"92"	"56"	"18.42"	"北京
"
"121"	"ZM013756"	"京4119"	"品春7"	"金沙江2号/肖村大粒"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"早"	"36"	"12"	"95"	"56"	"15.19"	"北京
"
"122"	"ZM013757"	"京4120"	"品春8"	"76-1/PH88"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"早"	"26"	"11"	"95"	"62"	"18.27"	"北京
"
"123"	"ZM013758"	"京4121"	"品春16"	"红芒22/托卢卡//金沙江3号"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"极早"	"21"	"9"	"91"	"49.3"		"北京
"
"124"	"ZM013759"	"京4122"	"品春17"	"76-1/PH88"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"早"	"28"	"11"	"102"	"51.1"		"北京
"
"125"	"ZM013760"	"京4123"	"品春18"	"阿富汗/肖村大粒"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"早"	"34"	"10"	"98"	"53.2"		"北京
"
"126"	"ZM013761"	"京4124"	"品春19"	"金沙江1号/93148//72-629"	"中国农科院品资所"	"长"	"白"	"白"	"春"	"早"	"33"	"10"	"88"	"59.5"		"北京
"
"127"	"ZM013762"	"京4125"	"品春20"	"76-2/T36"	"中国农科院品资所"	"长"	"白"	"白"	"春"	"中"	"33"	"9"	"90"	"57.4"		"北京
"
"128"	"ZM013763"	"京4126"	"品春21"	"金沙江1号/93148//72-629"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"中"	"27"	"10"	"90"	"54.6"		"北京
"
"129"	"ZM013764"	"京4127"	"品春22"	"肖村大粒/金沙江3号//肖村大粒"	"中国农科院品资所"	"长"	"白"	"白"	"春"	"中"	"30"	"12"	"93"	"51.8"	"14.73"	"北京
"
"130"	"ZM013765"	"京4128"	"品春23"	"76338/T36"	"中国农科院品资所"	"长"	"白"	"红"	"春"	"中早"	"37"	"9"	"90"	"55"		"北京
"
"131"	"ZM013767"	"京4130"	"原冬2177"	"原恢1号/洛夫林13"	"中国农科院原子能所"	"无"	"白"	"红"	"冬"	"中"	"40"	"10"	"95"	"29"	"15.13"	"北京
"
"132"	"ZM013768"	"京4131"	"原冬2408"	"(阿芙乐尔/东方红3号)辐射处理"	"中国农科院原子能所"	"长"	"白"	"红"	"冬"	"中"	"36"	"8"	"100"	"40"	"15.53"	"北京
"
