"id"	"成熟期"	"科名"	"种子含油率"	"产地或来源"	"库编号"	"单株果球数"	"千粒重"	"壳型"	"统一编号"	"出苗期"	"省"	"亚油酸"	"皮壳率"	"译名"	"叶缘"	"品种名称"	"苞片有无刺"	"播种期"	"学名"	"单位编号"	"保存单位"	"属名"	"抗逆性"	"叶片有无刺"	"选育方法"	"株高"	"花色"
"1084"	"4/5"	"Compositae(菊科)"	"22.94"	"伊朗"	"I4E00727"	"16"	"56.0"	"普通"	"WHH01304"	"10/26"	"国外"	"--"	"55.6"	"PI 250718"	"全缘"	"PI 250718"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w232"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"205.0"	"桔黄"
"1085"	"4/11"	"Compositae(菊科)"	"27.05"	"伊朗"	"I4E00728"	"28"	"40.0"	"普通"	"WHH01305"	"10/23"	"国外"	"--"	"36.6"	"PI 250921"	"锯齿"	"PI 250921"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w233"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"199.0"	"桔黄"
"1086"	"4/19"	"Compositae(菊科)"	"25.10"	"以色列"	"I4E00729"	"32"	"66.0"	"普通"	"WHH01306"	"10/26"	"国外"	"--"	"45.0"	"PI 251289"	"浅裂"	"PI 251289"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w234"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"160.0"	"桔黄"
"1087"	"4/11"	"Compositae(菊科)"	"25.38"	"土耳其"	"I4E00730"	"26"	"33.0"	"普通"	"WHH01307"	"10/23"	"国外"	"--"	"58.3"	"PI 251977"	"浅裂"	"PI 251977"	"无"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w235"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"155.0"	"桔黄"
"1088"	"4/11"	"Compositae(菊科)"	"29.72"	"土耳其"	"I4E00731"	"19"	"42.0"	"普通"	"WHH01308"	"10/29"	"国外"	"--"	"55.6"	"PI 251986"	"浅裂"	"PI 251986"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w392"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"170.0"	"桔黄"
"1089"	"4/18"	"Compositae(菊科)"	"26.92"	"土耳其"	"I4E00732"	"27"	"39.0"	"普通"	"WHH01309"	"10/23"	"国外"	"--"	"60.0"	"PI 252041"	"锯齿"	"PI 252041"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w236"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"164.0"	"桔黄"
"1090"	"4/11"	"Compositae(菊科)"	"30.70"	"葡萄牙"	"I4E00733"	"16"	"40.0"	"普通"	"WHH01310"	"10/24"	"国外"	"--"	"37.5"	"PI 253556"	"锯齿"	"PI 253556"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w238"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"157.0"	"桔黄"
"1091"	"4/11"	"Compositae(菊科)"	"24.56"	"叙利亚"	"I4E00734"	"19"	"60.0"	"普通"	"WHH01311"	"10/25"	"国外"	"--"	"50.0"	"PI 253896"	"全缘"	"PI 253896"	"少"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w239"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"无"	"引种"	"160.0"	"桔黄"
"1092"	"4/18"	"Compositae(菊科)"	"26.76"	"阿富汗"	"I4E00735"	"28"	"41.0"	"普通"	"WHH01312"	"10/23"	"国外"	"--"	"39.5"	"PI 253911"	"锯齿"	"PI 253911"	"中"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w240"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"167.0"	"桔黄"
"1093"	"4/10"	"Compositae(菊科)"	"25.60"	"印度"	"I4E00736"	"17"	"76.0"	"条纹"	"WHH01313"	"10/24"	"国外"	"--"	"64.0"	"PI 260618"	"锯齿"	"PI 260618"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w241"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"160.0"	"桔黄"
"1094"	"4/7"	"Compositae(菊科)"	"32.78"	"苏联"	"I4E00737"	"31"	"45.0"	"普通"	"WHH01314"	"10/24"	"国外"	"--"	"50.0"	"PI 262435"	"锯齿"	"PI 262435"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w243"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"155.0"	"桔黄"
"1095"	"4/17"	"Compositae(菊科)"	"27.16"	"阿富汗"	"I4E00738"	"22"	"31.0"	"普通"	"WHH01315"	"10/25"	"国外"	"--"	"50.0"	"PI 268374"	"锯齿"	"PI 268374"	"少"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w244"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"192.0"	"桔黄"
"1096"	"4/7"	"Compositae(菊科)"	"28.63"	"印度"	"I4E00739"	"15"	"70.0"	"条纹"	"WHH01316"	"10/24"	"国外"	"--"	"45.4"	"PI 283736"	"锯齿"	"PI 283736"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w245"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"156.0"	"桔黄"
"1097"	"4/7"	"Compositae(菊科)"	"25.64"	"印度"	"I4E00740"	"25"	"63.0"	"条纹"	"WHH01317"	"10/24"	"国外"	"--"	"53.6"	"PI 283752"	"锯齿"	"PI 283752"	"多"	"9/21"	"Carthamus tinctorius L.(红花)"	"93w248"	"云南省农科院油料所"	"Carthamus(红花属)"	"--"	"中"	"引种"	"148.0"	"桔黄"
