"id"	"备注"	"枯萎病抗指"	"老荚日数"	"单荚重"	"品种名称"	"水分"	"株型"	"保存编号"	"译名"	"青荚日数"	"荚形"	"干重蛋白"	"荚壁纤维"	"种子来源"	"炭疽病抗指"	"荚厚"	"翼瓣次色"	"种子形状"	"种子皮色"	"种皮次色"	"株高"	"干重纤维"	"种子大小"	"保存单位"	"亩产"	"翼瓣色"	"种质库编号"	"统一编号"	"栽培季节"	"嫩荚色"	"鲜重蛋白"	"抗逆性"	"荚宽"	"株幅"	"品质"	"嫩荚次色"	"荚长"	"鲜重纤维"
"270"	"--"	"--"	"104"	"8.8"	"洋刀豆"	"--"	"蔓生"	"--"	"YANG DAO DOU"	"75"	"扁条"	"--"	"较少"	"中蔬引自杭州"	"--"	"0.9"	"--"	"肾形"	"白"	"--"	"--"	"--"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1797"	"V07A2102"	"4月下至7月下露地直播"	"绿"	"--"	"中"	"1.1"	"--"	"好"	"--"	"14.0"	"--"
"271"	"--"	"0.2852"	"85"	"5.7"	"Preresco"	"90.07"	"矮生"	"80-2"	"Preresco"	"65"	"棍形"	"22.52"	"少"	"中蔬引自荷兰"	"3.1480"	"0.9"	"--"	"截形"	"白"	"--"	"--"	"13.84"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1791"	"V07A2103"	"4月下至7月下露地直播"	"绿"	"2.24"	"弱"	"0.9"	"--"	"差"	"--"	"12.8"	"1.37"
"272"	"--"	"-1.0469"	"91"	"20.6"	"赛尔卡"	"81.75"	"蔓生"	"80-30"	"SAI ER KA"	"--"	"扁条"	"15.64"	"少"	"中蔬引自荷兰"	"0.6200"	"1.0"	"--"	"肾形"	"白"	"--"	"--"	"14.88"	"大"	"中国农科院蔬菜所"	"2000"	"白"	"Ⅱ7A1083"	"V07A2104"	"4月下旬露地直播"	"绿"	"2.85"	"--"	"1.9"	"--"	"好"	"--"	"25.8"	"2.72"
"273"	"--"	"0.4563"	"85"	"--"	"花架芸豆"	"86.69"	"蔓生"	"P65"	"HUA JIA YUN DOU"	"65"	"扁条"	"23.44"	"--"	"中蔬引自河北"	"-0.4312"	"1.2"	"--"	"圆"	"米色"	"黑"	"--"	"11.70"	"大"	"中国农科院蔬菜所"	"--"	"紫"	"Ⅱ7A1795"	"V07A2105"	"4月下至7月下露地直播"	"--"	"2.42"	"中"	"1.0"	"--"	"--"	"--"	"1.6"	"1.21"
"274"	"--"	"0.4633"	"90"	"8.0"	"Tenderlake"	"92.76"	"矮生"	"85-2"	"Tenderlake"	"70"	"棍形"	"23.70"	"少"	"中蔬引自美国"	"0.1943"	"0.9"	"--"	"肾形"	"白"	"--"	"--"	"14.62"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1789"	"V07A2106"	"4月下至7月下露地直播"	"绿"	"1.72"	"中上"	"0.9"	"--"	"好"	"--"	"14.8"	"1.06"
"275"	"--"	"-0.3797"	"95"	"23.6"	"黛特"	"88.55"	"蔓生"	"82-46"	"DAI TE"	"--"	"细长条"	"22.78"	"少"	"中蔬引自美国"	"-0.3700"	"1.1"	"--"	"肾形"	"白"	"--"	"--"	"12.52"	"大"	"中国农科院蔬菜所"	"2000"	"白"	"Ⅱ7A1095"	"V07A2107"	"4月下旬露地直播"	"绿"	"2.61"	"--"	"1.5"	"--"	"好"	"--"	"24.6"	"1.43"
"276"	"--"	"0.1471"	"84"	"4.9"	"赛尼劳克"	"79.11"	"半蔓生"	"79-32"	"SAI NI LAO KE"	"--"	"扁条"	"21.11"	"多"	"中蔬引自美国"	"0.9600"	"0.8"	"--"	"圆"	"白"	"--"	"--"	"15.90"	"小"	"中国农科院蔬菜所"	"1250"	"白"	"Ⅱ7A1076"	"V07A2108"	"4月下旬露地直播"	"绿"	"4.41"	"--"	"1.1"	"--"	"差"	"--"	"10.3"	"3.32"
"277"	"--"	"0.0561"	"92"	"20.4"	"肯塔基奇异"	"89.40"	"蔓生"	"80-33"	"KEN TA JI QI YI"	"73"	"棍形"	"19.24"	"少"	"中蔬引自美国"	"-0.8400"	"1.1"	"--"	"卵圆"	"红"	"--"	"--"	"13.02"	"大"	"中国农科院蔬菜所"	"2000"	"白"	"Ⅱ7A1084"	"V07A2109"	"4月下旬露地直播"	"绿"	"2.04"	"--"	"1.3"	"--"	"好"	"--"	"24.2"	"1.38"
"278"	"--"	"0.7962"	"98"	"19.4"	"80 J 64"	"87.78"	"蔓生"	"82-29"	"80 J 64"	"--"	"棍形"	"21.80"	"少"	"中蔬引自美国"	"-3.1442"	"--"	"--"	"截形"	"棕"	"--"	"--"	"15.00"	"大"	"中国农科院蔬菜所"	"2000"	"白"	"Ⅱ7A1093"	"V07A2110"	"4月下旬露地直播"	"绿"	"2.66"	"--"	"1.2"	"--"	"好"	"--"	"25.8"	"1.83"
"279"	"--"	"0.8632"	"87"	"13.7"	"波玛瑙"	"87.20"	"蔓生"	"82-44"	"BO MA NAO"	"--"	"扁条"	"20.70"	"少"	"中蔬引自美国"	"-0.7100"	"1.0"	"--"	"圆"	"褐"	"--"	"--"	"14.20"	"大"	"中国农科院蔬菜所"	"2000"	"白"	"Ⅱ7A1094"	"V07A2111"	"4月下旬露地直播"	"绿"	"2.65"	"--"	"1.0"	"--"	"好"	"--"	"15.8"	"1.82"
"280"	"--"	"0.2897"	"91"	"19.4"	"肯塔基奇异"	"89.50"	"蔓生"	"82-7"	"KEN TA JI QI YI"	"--"	"剑形"	"19.72"	"少"	"中蔬引自日本"	"0.0500"	"1.1"	"--"	"卵圆"	"紫"	"紫"	"--"	"12.76"	"大"	"中国农科院蔬菜所"	"2000"	"白"	"Ⅱ7A1090"	"V07A2112"	"4月下旬露地直播"	"绿"	"2.07"	"--"	"1.1"	"--"	"好"	"--"	"23.3"	"1.34"
"281"	"--"	"0.1471"	"96"	"9.3"	"里科23"	"90.66"	"半蔓生"	"79-30"	"LI KE 23"	"48"	"扁条"	"20.42"	"多"	"中蔬引自日本"	"2.1300"	"0.9"	"--"	"卵圆"	"白"	"--"	"--"	"14.99"	"较大"	"中国农科院蔬菜所"	"1250"	"白"	"Ⅱ7A1075"	"V07A2113"	"4月下旬露地直播"	"绿"	"1.91"	"--"	"1.5"	"--"	"好"	"--"	"11.8"	"1.40"
"282"	"--"	"0.3413"	"107"	"7.7"	"蔓生阿尔卑斯"	"85.70"	"蔓生"	"79-49"	"MAN SHENG A ER BEI SI"	"--"	"扁条"	"21.27"	"中"	"中蔬引自日本"	"-0.9700"	"0.9"	"--"	"圆"	"褐"	"--"	"--"	"14.64"	"大"	"中国农科院蔬菜所"	"1250"	"紫"	"Ⅱ7A1078"	"V07A2114"	"4月下旬露地直播"	"绿"	"3.04"	"--"	"1.3"	"--"	"好"	"--"	"12.9"	"2.09"
"283"	"--"	"0.6055"	"96"	"10.6"	"里科帕896"	"87.64"	"半蔓生"	"79-47"	"LI KE PA 896"	"--"	"棍形"	"17.50"	"较多"	"中蔬引自日本"	"2.9400"	"1.1"	"--"	"卵圆"	"褐"	"--"	"--"	"17.72"	"小"	"中国农科院蔬菜所"	"1250"	"浅紫"	"Ⅱ7A1077"	"V07A2115"	"4月下旬露地直播"	"绿"	"2.16"	"--"	"1.2"	"--"	"好"	"--"	"14.1"	"2.19"
"284"	"--"	"0.6990"	"86"	"7.8"	"Lamaniere"	"91.49"	"矮生"	"79-78"	"Lamaniere"	"66"	"棍形"	"21.88"	"少"	"中蔬引自日本"	"10.2800"	"1.0"	"--"	"肾形"	"红"	"棕"	"--"	"14.99"	"大"	"中国农科院蔬菜所"	"--"	"浅棕"	"Ⅱ7A1792"	"V07A2116"	"4月下至7月下露地直播"	"浅绿"	"1.86"	"中"	"1.0"	"--"	"较好"	"--"	"14.8"	"1.28"
"285"	"--"	"-0.0149"	"90"	"11.2"	"日引"	"92.25"	"矮生"	"85-45"	"RI YIN"	"70"	"扁条"	"20.71"	"少"	"中蔬引自日本"	"-0.3893"	"0.9"	"--"	"肾形"	"白"	"--"	"--"	"12.88"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1790"	"V07A2117"	"4月下至7月下露地直播"	"绿"	"1.60"	"中"	"1.0"	"--"	"好"	"--"	"19.4"	"1.00"
"286"	"--"	"0.3553"	"85"	"15.5"	"肉豆"	"89.91"	"蔓生"	"P67"	"ROU DOU"	"65"	"--"	"24.74"	"--"	"中蔬引自陕西"	"0.1567"	"1.2"	"--"	"卵圆"	"米色"	"褐"	"--"	"12.49"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1793"	"V07A2118"	"4月下至7月下露地直播"	"绿"	"2.50"	"中"	"1.2"	"--"	"--"	"--"	"18.9"	"1.26"
"287"	"--"	"--"	"108"	"10.8"	"长白刀豆"	"--"	"蔓生"	"--"	"CHANG BAI DAO DOU"	"78"	"棍形"	"--"	"较少"	"中蔬引自上海"	"--"	"1.0"	"--"	"肾形"	"白"	"--"	"--"	"--"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1798"	"V07A2119"	"4月下至7月下露地直播"	"绿"	"--"	"中"	"1.1"	"--"	"较好"	"--"	"15.0"	"--"
"288"	"--"	"-0.2731"	"90"	"8.2"	"Gololimmens"	"91.90"	"矮生"	"86-4"	"Gololimmens"	"70"	"棍形"	"22.85"	"中"	"中蔬引自西德"	"1.8100"	"0.9"	"--"	"卵圆"	"白"	"--"	"--"	"15.84"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1787"	"V07A2120"	"4月下至7月下露地直播"	"浅黄"	"1.85"	"中上"	"1.1"	"--"	"差"	"--"	"14.7"	"1.28"
"289"	"--"	"0.8771"	"96"	"17.6"	"无名"	"88.49"	"蔓生"	"80-29"	"WU MING"	"--"	"剑形"	"20.16"	"少"	"中蔬引自新西兰"	"-0.4815"	"1.0"	"--"	"肾形"	"白"	"--"	"--"	"14.73"	"大"	"中国农科院蔬菜所"	"2000"	"紫"	"Ⅱ7A1082"	"V07A2121"	"4月下旬露地直播"	"绿"	"2.32"	"--"	"1.4"	"--"	"好"	"--"	"19.7"	"1.70"
"290"	"--"	"0.4563"	"90"	"5.1"	"矮菜豆"	"91.07"	"矮生"	"88-3"	"AI CAI DOU"	"72"	"棍形"	"22.16"	"少"	"中蔬引自亚蔬中心"	"1.1197"	"0.9"	"--"	"截形"	"白"	"--"	"--"	"13.66"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1778"	"V07A2122"	"4月下至7月下露地直播"	"绿"	"1.98"	"下"	"0.9"	"--"	"差"	"--"	"13.5"	"1.22"
"291"	"--"	"0.2157"	"90"	"7.6"	"Yaemidori Saito No2"	"91.90"	"矮生"	"88-7"	"Yaemidori Saito No2"	"72"	"棍形"	"22.71"	"少"	"中蔬引自亚蔬中心"	"-0.0551"	"1.1"	"--"	"截形"	"白"	"--"	"--"	"15.50"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1780"	"V07A2123"	"4月下至7月下露地直播"	"绿"	"1.84"	"中"	"1.0"	"--"	"差"	"--"	"14.5"	"1.26"
"292"	"--"	"0.0657"	"97"	"7.8"	"Black creasback"	"90.39"	"蔓生"	"88-8"	"Black creasback"	"79"	"棍形"	"20.32"	"多"	"中蔬引自亚蔬中心"	"-1.3120"	"1.0"	"--"	"卵圆"	"黑"	"--"	"--"	"12.60"	"中"	"中国农科院蔬菜所"	"--"	"紫"	"Ⅱ7A1781"	"V07A2124"	"4月下至7月下露地直播"	"绿"	"1.95"	"下"	"1.0"	"--"	"较好"	"--"	"13.2"	"1.21"
"293"	"--"	"--"	"90"	"9.2"	"Tendercrop"	"--"	"矮生"	"88-4"	"Tendercrop"	"72"	"棍形"	"--"	"少"	"中蔬引自亚蔬中心"	"--"	"1.1"	"--"	"截形"	"白"	"--"	"--"	"--"	"中"	"中国农科院蔬菜所"	"--"	"浅紫"	"Ⅱ7A1779"	"V07A2125"	"4月下至7月下露地直播"	"绿"	"--"	"中上"	"1.0"	"--"	"好"	"--"	"14.7"	"--"
"294"	"--"	"0.6365"	"105"	"15.0"	"白花杨"	"89.01"	"蔓生"	"--"	"BAI HUA YANG"	"85"	"扁条"	"20.08"	"少"	"中蔬引自延庆"	"-0.3579"	"1.1"	"--"	"卵圆"	"白"	"--"	"--"	"12.36"	"中"	"中国农科院蔬菜所"	"--"	"白"	"Ⅱ7A1794"	"V07A2126"	"4月下至7月下露地直播"	"绿"	"2.21"	"中下"	"1.3"	"--"	"好"	"--"	"18.1"	"1.36"
"295"	"--"	"0.1201"	"81"	"8.1"	"黑角王子"	"91.45"	"矮生"	"86-7"	"HEI JIAO WANG ZI"	"61"	"棍形"	"22.27"	"多"	"中蔬引自英国"	"0.4642"	"0.7"	"--"	"截形"	"黑"	"--"	"--"	"16.09"	"中"	"中国农科院蔬菜所"	"--"	"紫"	"Ⅱ7A1788"	"V07A2127"	"4月下至7月下露地直播"	"绿"	"1.90"	"中"	"0.9"	"--"	"很差"	"--"	"16.5"	"1.38"
"296"	"--"	"1.2464"	"--"	"15.0"	"梅城川豆"	"90.86"	"蔓生"	"7-A39"	"MEI CHENG CHUAN DOU"	"60"	"棍形"	"20.50"	"少"	"湖南安化县"	"1.5555"	"1.5"	"--"	"肾形"	"褐"	"--"	"250.0"	"12.99"	"大"	"湖南农科院蔬菜所"	"1250"	"白"	"Ⅱ7A0473"	"V07A0738"	"3上-5下7中"	"浅绿"	"1.87"	"中"	"1.5"	"--"	"--"	"--"	"15.0"	"1.19"
"297"	"--"	"1.4675"	"165"	"5.2"	"架金豆"	"89.18"	"蔓生"	"7-A38"	"JIA JIN DOU"	"120"	"扁条"	"21.56"	"--"	"湖南安乡县"	"1.6212"	"0.6"	"--"	"肾形"	"黄"	"--"	"200.0"	"13.19"	"中"	"湖南农科院蔬菜所"	"1125"	"白"	"Ⅱ7A0472"	"V07A0739"	"3下-5中6下"	"浅绿"	"2.33"	"中"	"1.2"	"--"	"好"	"--"	"11.0"	"1.43"
"298"	"--"	"-0.4083"	"70"	"5.0"	"保靖四季豆"	"88.24"	"蔓生"	"7-A43"	"BAO JING SI JI DOU"	"45"	"扁条"	"22.75"	"--"	"湖南保靖县"	"0.9414"	"0.8"	"--"	"肾形"	"白"	"--"	"275.0"	"14.62"	"大"	"湖南农科院蔬菜所"	"1125"	"白"	"Ⅱ7A0477"	"V07A0740"	"4上-6下"	"浅绿"	"2.67"	"中"	"1.0"	"--"	"好"	"--"	"14.0"	"1.72"
"299"	"--"	"0.4599"	"--"	"--"	"红花京豆"	"92.28"	"--"	"7-A34"	"HONG HUA JING DOU"	"--"	"--"	"21.00"	"--"	"湖南常德市"	"3.0672"	"--"	"--"	"--"	"--"	"--"	"--"	"15.05"	"--"	"湖南农科院蔬菜所"	"--"	"--"	"Ⅱ7A0468"	"V07A0741"	"--"	"--"	"1.62"	"--"	"--"	"--"	"--"	"--"	"--"	"1.16"
"300"	"*"	"0.5167"	"80"	"10.0"	"圆金豆"	"87.22"	"蔓生"	"7-A33"	"YUAN JIN DOU"	"60"	"细长条"	"21.25"	"中"	"湖南常德市"	"-0.5187"	"0.5"	"--"	"肾形"	"白"	"--"	"195.0"	"16.26"	"中"	"湖南农科院蔬菜所"	"1050"	"红"	"Ⅱ7A0467"	"V07A0742"	"3下-7上春夏"	"浅绿"	"2.72"	"耐热旱"	"1.1"	"--"	"好"	"--"	"11.0"	"2.08"
"301"	"*引进品种"	"1.3834"	"100"	"13.0"	"广东扁荚"	"91.55"	"蔓生"	"7-A01"	"GUANG DONG BIAN JIA"	"80"	"扁条"	"23.50"	"中"	"湖南长沙市"	"-0.4409"	"0.9"	"--"	"卵圆"	"褐"	"--"	"305.0"	"13.37"	"中"	"湖南农科院蔬菜所"	"1000"	"白"	"Ⅱ7A0444"	"V07A0743"	"--"	"浅绿"	"1.99"	"耐热"	"1.6"	"--"	"好"	"--"	"16.0"	"1.13"
"302"	"--"	"0.3147"	"--"	"9.5"	"红花早藤豆"	"89.53"	"蔓生"	"7-A35"	"HONG HUA ZAO TENG DOU"	"70"	"棍形"	"18.63"	"--"	"湖南长沙市"	"0.9144"	"0.9"	"--"	"肾形"	"黄"	"--"	"250.0"	"13.17"	"大"	"湖南农科院蔬菜所"	"1250"	"紫"	"Ⅱ7A0469"	"V07A0744"	"3上-5下6上"	"浅绿"	"1.95"	"较强"	"0.9"	"--"	"好"	"--"	"14.8"	"1.38"
"303"	"*引进品种"	"0.1906"	"95"	"13.0"	"法国藤豆"	"91.54"	"蔓生"	"7-A03"	"FA GUO TENG DOU"	"75"	"扁条"	"20.56"	"中"	"湖南长沙市"	"-0.3393"	"0.8"	"--"	"肾形"	"棕"	"--"	"275.0"	"13.96"	"大"	"湖南农科院蔬菜所"	"1250"	"白"	"Ⅱ7A0445"	"V07A0745"	"--"	"浅绿"	"1.74"	"耐寒"	"1.2"	"--"	"好"	"--"	"16.5"	"1.18"
"304"	"--"	"--"	"70"	"7.3"	"美国豆"	"--"	"矮生"	"291"	"MEI GUO DOU"	"55"	"棍形"	"--"	"少"	"吉林辉南县"	"--"	"1.5"	"--"	"卵圆"	"红"	"--"	"100.0"	"--"	"中"	"吉林省蔬菜所"	"500"	"紫"	"Ⅱ7A2199"	"V07A0854"	"4下-6下"	"绿"	"--"	"中"	"1.5"	"--"	"好"	"--"	"17.2"	"--"
"305"	"--"	"--"	"70"	"7.2"	"极早豆"	"--"	"矮生"	"277"	"JI ZAO DOU"	"53"	"棍形"	"--"	"少"	"吉林辉南县"	"--"	"1.5"	"--"	"卵圆"	"白"	"--"	"65.0"	"--"	"中"	"吉林省蔬菜所"	"375"	"白"	"Ⅱ7A2138"	"V07A0855"	"4下-6下"	"绿"	"--"	"强"	"1.5"	"--"	"好"	"--"	"17.0"	"--"
"306"	"--"	"0.7033"	"90"	"5.2"	"范家紫花皮"	"88.73"	"蔓生"	"156"	"FAN JIA ZI HUA PI"	"70"	"扁条"	"12.13"	"少"	"吉林吉林市"	"2.8792"	"1.0"	"--"	"卵圆"	"浅粉"	"紫"	"--"	"12.58"	"中"	"吉林省蔬菜所"	"1000"	"白"	"Ⅱ7A1453"	"V07A0856"	"5上播种7上收"	"浅绿"	"2.49"	"抗病毒抗炭疽"	"1.5"	"--"	"好"	"紫"	"8.3"	"1.42"
"307"	"*"	"0.9115"	"73"	"8.5"	"白羊角"	"91.99"	"半蔓生"	"349"	"BAI YANG JIAO"	"50"	"棍形"	"21.79"	"少"	"吉林吉林市"	"2.4488"	"1.0"	"--"	"卵圆"	"浅紫"	"黑"	"125.0"	"17.37"	"中"	"吉林省蔬菜所"	"1000"	"紫"	"Ⅱ7A0096"	"V07A0857"	"4下5上-6下7中下春夏"	"黄"	"1.74"	"--"	"1.2"	"--"	"好"	"--"	"14.7"	"1.39"
"308"	"*"	"1.1048"	"80"	"9.6"	"青羊角"	"88.07"	"蔓生"	"425"	"QING YANG JIAO"	"60"	"棍形"	"19.63"	"中"	"吉林吉林市"	"1.0063"	"1.0"	"--"	"卵圆"	"黑"	"--"	"225.0"	"11.53"	"中"	"吉林省蔬菜所"	"1125"	"紫"	"Ⅱ7A0594"	"V07A0858"	"5上中-7上夏"	"绿"	"2.34"	"--"	"1.2"	"--"	"好"	"--"	"15.3"	"1.38"
"309"	"--"	"0.3292"	"88"	"7.4"	"农引二号"	"92.28"	"矮生"	"141"	"NONG YIN ER HAO"	"68"	"棍形"	"20.16"	"少"	"吉林农大"	"-1.3628"	"0.9"	"--"	"卵圆"	"褐"	"--"	"55.0"	"16.53"	"中"	"吉林省蔬菜所"	"800"	"紫"	"Ⅱ7A0606"	"V07A0898"	"5上-8上"	"绿"	"1.56"	"强"	"10.0"	"45.0"	"好"	"--"	"13.5"	"1.28"
"310"	"--"	"1.6953"	"85"	"6.7"	"早油豆"	"93.10"	"矮生"	"143"	"ZAO YOU DOU"	"70"	"扁条"	"24.80"	"中"	"吉林引黑龙江"	"-4.2175"	"0.6"	"--"	"圆"	"紫"	"--"	"50.0"	"17.60"	"中"	"吉林省蔬菜所"	"750"	"浅紫"	"Ⅱ7A0608"	"V07A0934"	"5上-8上"	"浅绿"	"1.71"	"强"	"1.4"	"40.0"	"好"	"--"	"12.4"	"1.23"
"311"	"--"	"1.0137"	"85"	"9.7"	"荷兰豆"	"86.16"	"矮生"	"198"	"HE LAN DOU"	"65"	"剑形"	"26.03"	"中"	"吉林引自荷兰"	"5.0804"	"0.8"	"--"	"圆"	"--"	"紫"	"45.0"	"12.20"	"中"	"吉林省蔬菜所"	"500"	"深紫"	"Ⅱ7A1815"	"V07A0935"	"5上-8中"	"绿"	"3.60"	"弱"	"1.4"	"45.0"	"好"	"红"	"14.0"	"1.69"
"312"	"--"	"0.6046"	"--"	"9.8"	"五台山七寸莲"	"84.72"	"蔓生"	"151"	"WU TAI SHAN QI CUN LIAN"	"83"	"棍形"	"20.11"	"--"	"吉林引自河北"	"9.4736"	"1.0"	"--"	"卵圆"	"浅棕"	"--"	"200.0"	"12.02"	"--"	"吉林省蔬菜所"	"900"	"白"	"Ⅱ7A0611"	"V07A0936"	"--"	"绿"	"3.07"	"耐热"	"1.2"	"--"	"好"	"--"	"16.0"	"1.84"
"313"	"--"	"0.8912"	"--"	"13.5"	"双季豆"	"91.38"	"蔓生"	"372"	"SHUANG JI DOU"	"70"	"扁条"	"22.40"	"少"	"吉林引自锦州"	"0.9997"	"--"	"--"	"肾形"	"棕"	"--"	"--"	"13.93"	"中"	"吉林省蔬菜所"	"1000"	"白"	"Ⅱ7A0564"	"V07A0937"	"春秋"	"浅绿"	"1.93"	"--"	"1.3"	"--"	"好"	"--"	"18.5"	"1.20"
"314"	"*引自辽宁"	"0.3691"	"71"	"10.9"	"红鲜豆"	"88.90"	"蔓生"	"421"	"HONG XIAN DOU"	"53"	"棍形"	"19.34"	"少"	"吉林引自辽宁"	"1.4673"	"1.0"	"--"	"卵圆"	"黑"	"--"	"275.0"	"12.82"	"中"	"吉林省蔬菜所"	"1125"	"紫"	"Ⅱ7A0591"	"V07A0938"	"5中-7上夏秋"	"绿"	"2.15"	"--"	"1.1"	"--"	"好"	"--"	"18.0"	"1.42"
"315"	"--"	"1.0437"	"85"	"7.4"	"五月绿"	"91.84"	"矮生"	"149"	"WU YUE LU"	"70"	"棍形"	"18.26"	"少"	"吉林引自日本"	"2.4623"	"0.8"	"--"	"卵圆"	"白"	"--"	"55.0"	"14.42"	"小"	"吉林省蔬菜所"	"750"	"白"	"Ⅱ7A0610"	"V07A0939"	"5上-8上"	"浅绿"	"1.49"	"强"	"0.9"	"45.0"	"好"	"--"	"15.5"	"1.18"
"316"	"--"	"1.1227"	"90"	"6.1"	"腰子刀豆"	"91.33"	"蔓生"	"7-A-23-79"	"YAO ZI DAO DOU"	"70"	"扁条"	"23.90"	"少"	"吉林引自云南"	"3.2277"	"0.8"	"--"	"圆"	"红"	"--"	"100.0"	"18.40"	"中"	"吉林省蔬菜所"	"250"	"浅紫"	"Ⅱ7A1821"	"V07A0940"	"5上-7中"	"浅绿"	"2.07"	"中"	"1.0"	"--"	"好"	"--"	"16.0"	"1.60"
"317"	"*"	"1.3499"	"68"	"9.2"	"大白皮"	"84.63"	"蔓生"	"430"	"DA BAI PI"	"50"	"扁条"	"22.31"	"中"	"吉林蛟河县"	"0.2752"	"0.5"	"--"	"卵圆"	"浅粉"	"--"	"275.0"	"13.58"	"中"	"吉林省蔬菜所"	"1000"	"深紫"	"Ⅱ7A1449"	"V07A0948"	"5中-7上夏"	"白"	"3.43"	"--"	"1.5"	"--"	"好"	"--"	"15.1"	"2.09"
"318"	"*"	"1.9575"	"67"	"4.3"	"六月早"	"92.48"	"矮生"	"336"	"LIU YUE ZAO"	"47"	"剑形"	"23.56"	"中"	"吉林蛟河县"	"0.7535"	"0.5"	"--"	"截形"	"浅黄"	"--"	"45.0"	"17.54"	"大"	"吉林省蔬菜所"	"875"	"浅红"	"Ⅱ7A0091"	"V07A0949"	"5上-6下夏"	"绿"	"1.77"	"--"	"1.4"	"--"	"好"	"--"	"14.3"	"1.27"
"319"	"--"	"0.1923"	"90"	"16.6"	"蛟河花粒"	"89.34"	"蔓生"	"148"	"JIAO HE HUA LI"	"65"	"扁条"	"24.26"	"少"	"吉林蛟河县"	"3.1947"	"1.2"	"--"	"卵圆"	"白"	"灰"	"200.0"	"12.28"	"大"	"吉林省蔬菜所"	"500"	"紫"	"Ⅱ7A1062"	"V07A0950"	"5上-7中"	"绿"	"2.59"	"中"	"2.5"	"--"	"好"	"绿"	"16.5"	"1.31"
"320"	"*"	"-0.6428"	"68"	"7.5"	"矮园四季豆"	"80.93"	"矮生"	"79-0-6"	"AI YUAN SI JI DOU"	"50"	"棍形"	"20.94"	"较少"	"江苏常州市"	"-0.3306"	"0.8"	"--"	"肾形"	"黑"	"--"	"45.0"	"13.22"	"中"	"江苏农科院蔬菜所"	"625"	"紫"	"Ⅱ7A1150"	"V07A0951"	"3下4上-6上6下春夏"	"绿"	"3.99"	"耐热"	"1.1"	"45.0"	"好"	"--"	"16.4"	"2.52"
"321"	"*"	"0.1092"	"73"	"8.8"	"蔓四季豆"	"91.82"	"蔓生"	"81-0-32"	"MAN SI JI DOU"	"58"	"棍形"	"23.25"	"中"	"江苏常州市"	"0.8338"	"1.1"	"--"	"肾形"	"黑"	"--"	"200.0"	"12.53"	"小"	"江苏农科院蔬菜所"	"1125"	"浅紫"	"Ⅱ7A1676"	"V07A0952"	"3下中下-6上7上春夏"	"绿"	"1.90"	"较强"	"1.0"	"--"	"好"	"--"	"13.6"	"1.02"
"322"	"--"	"0.6109"	"88"	"8.4"	"苏优一号"	"91.99"	"蔓生"	"89-1-48"	"SU YOU YI HAO"	"68"	"棍形"	"23.23"	"很少"	"江苏南京市"	"-1.2703"	"1.0"	"--"	"肾形"	"白"	"--"	"390.0"	"12.70"	"较小"	"江苏农科院蔬菜所"	"750"	"白"	"Ⅱ7A2129"	"V07A0956"	"4上中-11上"	"绿"	"1.86"	"较强"	"0.9"	"--"	"--"	"--"	"14.5"	"1.02"
"323"	"--"	"0.3861"	"70"	"7.5"	"苏优二号"	"90.27"	"矮生"	"89-1-49"	"SU YOU ER HAO"	"58"	"棍形"	"21.85"	"少"	"江苏南京市"	"-1.2741"	"0.9"	"--"	"肾形"	"黑"	"--"	"48.0"	"13.28"	"中"	"江苏农科院蔬菜所"	"653"	"深红"	"Ⅱ7A2130"	"V07A0957"	"4上中-7中,7下-11上"	"绿"	"2.13"	"强"	"0.9"	"--"	"好"	"--"	"14.0"	"1.29"
"324"	"新育品种"	"--"	"73"	"7.9"	"长白二号"	"--"	"蔓生"	"88-4-44"	"CHANG BAI ER HAO"	"58"	"棍形"	"--"	"中"	"江苏苏州市"	"--"	"1.2"	"--"	"肾形"	"白"	"--"	"210.0"	"--"	"较小"	"江苏农科院蔬菜所"	"750"	"白"	"Ⅱ7A1605"	"V07A0967"	"4中定植5下-7中收"	"浅绿"	"--"	"耐热"	"1.3"	"--"	"好"	"--"	"14.5"	"--"
"325"	"新育品种"	"-0.5193"	"66"	"5.9"	"313四季豆"	"91.97"	"蔓生"	"89-7-46"	"313 SI JI DOU"	"50"	"棍形"	"22.83"	"少"	"江苏扬州市"	"0.7631"	"1.0"	"--"	"肾形"	"白"	"--"	"--"	"12.28"	"小"	"江苏农科院蔬菜所"	"938"	"白"	"Ⅱ7A1667"	"V07A0977"	"4中定植6上-7上收"	"绿"	"1.83"	"中"	"1.0"	"--"	"好"	"--"	"11.1"	"0.99"
