"id"	"彩色"	"科名"	"可溶性酸"	"可溶固形物"	"品种名称"	"省"	"原产地"	"生育期"	"外观评价"	"汁液"	"内质评价"	"花粉有无"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"可溶性糖"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"底色"
"20"	"红"	"Rosaceae(蔷薇科)"	"0.13"	"10.5"	"81-10-84"	"江苏"	"江苏南京"	"74"	"好"	"多"	"上"	"有"	"7.76"	"甜"	"鲜食"	"中"	"白"	"6.16"	"软溶"	"110.0"	"早"	"6.37"	"Prunus persica L.(桃)"	"TK0020"	"81-10-84"	"椭圆"	"Prunus(李属)"	"粘"	"乳黄"
"21"	"紫红"	"Rosaceae(蔷薇科)"	"0.58"	"9.0"	"B8R6T58"	"国外"	"美国"	"72"	"中"	"中"	"中"	"有"	"9.17"	"酸甜"	"--"	"中"	"白"	"7.06"	"硬溶"	"104.0"	"早"	"7.10"	"Prunus persica L.(桃)"	"TE0026"	"B8R6T58"	"椭圆"	"Prunus(李属)"	"粘"	"乳白"
"22"	"紫红"	"Rosaceae(蔷薇科)"	"0.78"	"9.6"	"D2R32T158"	"国外"	"美国"	"77"	"中"	"中"	"中"	"有"	"19.88"	"酸甜"	"--"	"中"	"白"	"6.22"	"硬溶"	"90.9"	"早"	"7.93"	"Prunus persica L.(桃)"	"TG0027"	"D2R32T158"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"23"	"红"	"Rosaceae(蔷薇科)"	"0.68"	"10.3"	"D2R32T158"	"国外"	"美国"	"67"	"中"	"中"	"中下"	"有"	"10.76"	"酸甜"	"--"	"中"	"白"	"7.01"	"硬溶"	"119.0"	"早"	"6.91"	"Prunus persica L.(桃)"	"TE0027"	"D2R32T158"	"椭圆"	"Prunus(李属)"	"粘"	"乳白"
"24"	"红"	"Rosaceae(蔷薇科)"	"0.85"	"11.0"	"NJ250"	"国外"	"美国"	"107"	"中"	"中"	"中"	"有"	"5.65"	"酸甜"	"--"	"极大"	"白"	"8.12"	"硬溶"	"234.0"	"中"	"6.04"	"Prunus persica L.(桃)"	"TE0028"	"NJ250"	"椭圆"	"Prunus(李属)"	"离"	"乳白"
"25"	"红"	"Rosaceae(蔷薇科)"	"0.99"	"10.0"	"NJ251"	"国外"	"美国"	"112"	"中"	"中"	"中下"	"有"	"8.85"	"酸"	"--"	"极大"	"白"	"8.15"	"硬溶"	"229.0"	"中"	"7.56"	"Prunus persica L.(桃)"	"TE0029"	"NJ251"	"椭圆"	"Prunus(李属)"	"半离"	"乳白"
"26"	"红"	"Rosaceae(蔷薇科)"	"0.92"	"11.5"	"NJ252"	"国外"	"美国"	"123"	"中"	"中"	"中"	"有"	"8.51"	"酸甜"	"--"	"极大"	"白"	"8.28"	"软溶"	"200.0"	"晚"	"9.80"	"Prunus persica L.(桃)"	"TE0030"	"NJ252"	"圆"	"Prunus(李属)"	"离"	"乳白"
"27"	"红"	"Rosaceae(蔷薇科)"	"0.93"	"11.2"	"NJ257"	"国外"	"美国"	"127"	"中"	"中"	"中"	"有"	"6.74"	"酸甜"	"--"	"极大"	"白"	"8.31"	"软溶"	"196.0"	"晚"	"8.44"	"Prunus persica L.(桃)"	"TE0031"	"NJ257"	"椭圆"	"Prunus(李属)"	"离"	"乳白"
"28"	"红"	"Rosaceae(蔷薇科)"	"0.78"	"9.9"	"阿目斯丁"	"国外"	"美国"	"83"	"好"	"中"	"中"	"有"	"8.43"	"酸甜适中"	"--"	"中"	"白"	"6.29"	"软溶"	"103.0"	"早"	"7.46"	"Prunus persica L.(桃)"	"TK0056"	"A MU SI DING"	"圆"	"Prunus(李属)"	"半离"	"乳黄"
"29"	"紫红"	"Rosaceae(蔷薇科)"	"0.48"	"11.3"	"阿目斯丁"	"国外"	"美国"	"69"	"中"	"多"	"中"	"有"	"12.67"	"酸甜适中"	"早熟亲本"	"中"	"白"	"6.16"	"软溶"	"83.2"	"早"	"6.43"	"Prunus persica L.(桃)"	"TG0056"	"A MU SI DING"	"圆"	"Prunus(李属)"	"半离"	"绿白"
"30"	"紫红"	"Rosaceae(蔷薇科)"	"0.32"	"10.1"	"阿目斯丁"	"国外"	"美国"	"69"	"好"	"中"	"中下"	"有"	"6.74"	"甜酸"	"--"	"中"	"白"	"7.03"	"软溶"	"85.0"	"早"	"6.49"	"Prunus persica L.(桃)"	"TE0056"	"A MU SI DING"	"圆"	"Prunus(李属)"	"半离"	"绿白"
"31"	"红"	"Rosaceae(蔷薇科)"	"0.23"	"11.5"	"白凤"	"国外"	"日本"	"93"	"好"	"中"	"中上"	"有"	"5.16"	"甜"	"鲜食"	"中"	"白"	"7.11"	"硬溶"	"114.0"	"中"	"7.89"	"Prunus persica L.(桃)"	"TK0058"	"BAI FENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"32"	"红"	"Rosaceae(蔷薇科)"	"0.21"	"11.0"	"白凤"	"国外"	"日本"	"100"	"好"	"中"	"上"	"有"	"11.00"	"甜"	"鲜食优良亲本"	"中"	"白"	"7.14"	"硬溶"	"106.9"	"中"	"8.61"	"Prunus persica L.(桃)"	"TG0058"	"BAI FENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"33"	"红"	"Rosaceae(蔷薇科)"	"0.35"	"8.8"	"白凤"	"国外"	"日本"	"113"	"好"	"中"	"中上"	"有"	"7.98"	"甜"	"鲜食"	"中"	"白"	"7.29"	"硬溶"	"110.0"	"中"	"9.01"	"Prunus persica L.(桃)"	"TE0058"	"BAI FENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"34"	"红"	"Rosaceae(蔷薇科)"	"0.72"	"9.5"	"薄皮洋桃"	"国外"	"日本"	"83"	"中"	"多"	"中"	"有"	"4.85"	"甜酸"	"--"	"小"	"白"	"6.30"	"硬溶"	"73.0"	"早"	"6.78"	"Prunus persica L.(桃)"	"TK0067"	"BAO PI YANG TAO"	"圆"	"Prunus(李属)"	"离"	"乳黄"
"35"	"红"	"Rosaceae(蔷薇科)"	"0.15"	"10.5"	"布目早生"	"国外"	"日本"	"80"	"好"	"多"	"中上"	"有"	"5.52"	"甜"	"鲜食"	"大"	"白"	"6.23"	"软溶"	"130.0"	"早"	"8.30"	"Prunus persica L.(桃)"	"TK0074"	"BU MU ZAO SHENG"	"椭圆"	"Prunus(李属)"	"半离"	"乳黄"
"36"	"红"	"Rosaceae(蔷薇科)"	"0.23"	"10.8"	"布目早生"	"国外"	"日本"	"76"	"好"	"多"	"上"	"有"	"11.25"	"甜"	"鲜食"	"中"	"白"	"6.19"	"软溶"	"110.0"	"早"	"8.90"	"Prunus persica L.(桃)"	"TG0074"	"BU MU ZAO SHENG"	"椭圆"	"Prunus(李属)"	"半离"	"乳黄"
"37"	"红"	"Rosaceae(蔷薇科)"	"0.17"	"10.6"	"仓方早生"	"国外"	"日本"	"91"	"好"	"中"	"上"	"无"	"4.74"	"甜酸"	"鲜食"	"极大"	"白"	"7.07"	"硬溶"	"167.0"	"中"	"7.87"	"Prunus persica L.(桃)"	"TK0075"	"CANG FANG ZAO SHENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"38"	"红"	"Rosaceae(蔷薇科)"	"0.35"	"12.0"	"仓方早生"	"国外"	"日本"	"88"	"好"	"--"	"中上"	"无"	"11.79"	"甜"	"鲜食耐贮运"	"中"	"白"	"7.04"	"硬溶"	"115.8"	"早"	"7.81"	"Prunus persica L.(桃)"	"TG0075"	"CANG FANG ZAO SHENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"39"	"红"	"Rosaceae(蔷薇科)"	"0.33"	"10.0"	"初香美"	"国外"	"日本"	"86"	"好"	"多"	"上"	"有"	"6.50"	"酸甜适中"	"鲜食"	"大"	"白"	"6.29"	"软溶"	"147.0"	"早"	"5.36"	"Prunus persica L.(桃)"	"TK0081"	"CHU XIANG MEI"	"椭圆"	"Prunus(李属)"	"半离"	"乳黄"
"40"	"紫红"	"Rosaceae(蔷薇科)"	"0.51"	"8.5"	"初香美"	"国外"	"日本"	"80"	"好"	"多"	"中"	"有"	"6.32"	"酸甜适中"	"鲜食"	"大"	"白"	"7.11"	"软溶"	"158.0"	"早"	"6.80"	"Prunus persica L.(桃)"	"TE0081"	"CHU XIANG MEI"	"椭圆"	"Prunus(李属)"	"半离"	"乳白"
"41"	"红"	"Rosaceae(蔷薇科)"	"0.49"	"11.8"	"传十郎"	"国外"	"日本"	"104"	"好"	"多"	"中"	"有"	"6.33"	"甜酸"	"--"	"大"	"白"	"7.21"	"软溶"	"136.0"	"中"	"6.15"	"Prunus persica L.(桃)"	"TK0082"	"CHUAN SHI LANG"	"圆"	"Prunus(李属)"	"离"	"乳白"
"42"	"红"	"Rosaceae(蔷薇科)"	"0.29"	"12.1"	"传十郎"	"国外"	"日本"	"97"	"中"	"多"	"中"	"有"	"10.12"	"甜酸"	"--"	"中"	"白"	"7.12"	"软溶"	"112.1"	"中"	"9.03"	"Prunus persica L.(桃)"	"TG0082"	"CHUAN SHI LANG"	"圆"	"Prunus(李属)"	"离"	"乳白"
"43"	"粉红"	"Rosaceae(蔷薇科)"	"0.66"	"11.0"	"春时"	"国外"	"美国"	"77"	"中"	"中"	"中"	"有"	"6.17"	"甜酸"	"鲜食"	"中"	"白"	"6.21"	"硬溶"	"107.0"	"早"	"7.19"	"Prunus persica L.(桃)"	"TK0084"	"CHUN SHI"	"卵圆"	"Prunus(李属)"	"粘"	"乳黄"
"44"	"红"	"Rosaceae(蔷薇科)"	"0.83"	"10.3"	"春时"	"国外"	"美国"	"68"	"中"	"中"	"中下"	"有"	"13.46"	"酸甜适中"	"--"	"小"	"白"	"6.09"	"硬溶"	"55.6"	"早"	"8.29"	"Prunus persica L.(桃)"	"TG0084"	"CHUN SHI"	"卵圆"	"Prunus(李属)"	"粘"	"乳黄"
"45"	"红"	"Rosaceae(蔷薇科)"	"1.33"	"9.0"	"春时"	"国外"	"美国"	"64"	"中"	"多"	"中"	"有"	"12.27"	"甜酸"	"--"	"中"	"白"	"6.29"	"硬溶"	"88.0"	"早"	"8.50"	"Prunus persica L.(桃)"	"TE0084"	"CHUN SHI"	"椭圆"	"Prunus(李属)"	"粘"	"乳白"
"46"	"红"	"Rosaceae(蔷薇科)"	"0.59"	"9.2"	"大和早生"	"国外"	"日本"	"86"	"好"	"中"	"中"	"有"	"7.65"	"甜酸"	"鲜食"	"大"	"白"	"7.01"	"软溶"	"127.0"	"早"	"6.76"	"Prunus persica L.(桃)"	"TK0085"	"DA HE ZAO SHENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"47"	"紫红"	"Rosaceae(蔷薇科)"	"0.61"	"11.6"	"大和早生"	"国外"	"日本"	"83"	"中"	"中"	"中"	"有"	"10.21"	"甜酸"	"--"	"中"	"白"	"6.27"	"软溶"	"87.4"	"早"	"7.85"	"Prunus persica L.(桃)"	"TG0085"	"DA HE ZAO SHENG"	"圆"	"Prunus(李属)"	"半离"	"乳白"
"48"	"红"	"Rosaceae(蔷薇科)"	"0.22"	"14.4"	"大久保"	"国外"	"日本"	"105"	"好"	"中"	"上"	"有"	"5.33"	"甜"	"兼用"	"大"	"白"	"7.23"	"硬溶"	"159.0"	"中"	"7.18"	"Prunus persica L.(桃)"	"TK0088"	"DA JIU BAO"	"圆"	"Prunus(李属)"	"离"	"乳白"
"49"	"红"	"Rosaceae(蔷薇科)"	"0.25"	"12.5"	"大久保"	"国外"	"日本"	"104"	"好"	"中"	"中上"	"有"	"8.45"	"甜"	"兼用"	"中"	"白"	"7.20"	"硬溶"	"113.3"	"中"	"10.07"	"Prunus persica L.(桃)"	"TG0088"	"DA JIU BAO"	"圆"	"Prunus(李属)"	"离"	"乳白"
"50"	"红"	"Rosaceae(蔷薇科)"	"0.64"	"10.5"	"大久保"	"国外"	"日本"	"105"	"好"	"多"	"上"	"有"	"5.36"	"甜"	"鲜食"	"极大"	"白"	"8.08"	"硬溶"	"204.0"	"中"	"7.29"	"Prunus persica L.(桃)"	"TE0088"	"DA JIU BAO"	"圆"	"Prunus(李属)"	"离"	"乳白"
"51"	"紫红"	"Rosaceae(蔷薇科)"	"0.56"	"11.5"	"东王母"	"国外"	"日本"	"83"	"中"	"中"	"中"	"有"	"10.47"	"甜酸"	"--"	"中"	"白"	"6.30"	"软溶"	"83.4"	"早"	"8.36"	"Prunus persica L.(桃)"	"TG0092"	"DONG WANG MU"	"圆"	"Prunus(李属)"	"粘"	"绿白"
"52"	"红"	"Rosaceae(蔷薇科)"	"0.65"	"10.8"	"东云水蜜"	"国外"	"日本"	"86"	"中"	"多"	"中下"	"无"	"8.98"	"甜酸"	"--"	"中"	"白"	"7.01"	"软溶"	"87.5"	"早"	"8.69"	"Prunus persica L.(桃)"	"TG0093"	"DONG YUN SHUI MI"	"圆"	"Prunus(李属)"	"粘"	"乳黄"
"53"	"红"	"Rosaceae(蔷薇科)"	"0.27"	"13.4"	"冈山100号"	"国外"	"日本"	"106"	"好"	"多"	"上"	"有"	"6.26"	"甜"	"鲜食"	"大"	"白"	"7.24"	"软溶"	"136.0"	"中"	"7.68"	"Prunus persica L.(桃)"	"TK0109"	"GANG SHAN 100 HAO"	"圆"	"Prunus(李属)"	"离"	"乳白"
"54"	"红"	"Rosaceae(蔷薇科)"	"0.34"	"14.3"	"冈山11号"	"国外"	"日本"	"136"	"好"	"中"	"中"	"无"	"8.80"	"酸甜"	"果大"	"极大"	"白"	"8.20"	"软溶"	"195.0"	"晚"	"10.77"	"Prunus persica L.(桃)"	"TG0110"	"GANG SHAN 11 HAO"	"椭圆"	"Prunus(李属)"	"粘"	"绿白"
"55"	"紫红"	"Rosaceae(蔷薇科)"	"0.26"	"12.8"	"冈山3号"	"国外"	"日本"	"110"	"好"	"多"	"中上"	"有"	"10.12"	"甜"	"--"	"中"	"白"	"7.24"	"软溶"	"111.6"	"中"	"10.23"	"Prunus persica L.(桃)"	"TG0111"	"GANG SHAN 3 HAO"	"椭圆"	"Prunus(李属)"	"粘"	"乳黄"
"56"	"红"	"Rosaceae(蔷薇科)"	"0.56"	"12.0"	"冈山500号"	"国外"	"日本"	"109"	"好"	"多"	"中上"	"有"	"6.30"	"酸甜"	"鲜食"	"大"	"白"	"7.24"	"硬溶"	"152.0"	"中"	"6.84"	"Prunus persica L.(桃)"	"TK0112"	"GANG SHAN 500 HAO"	"椭圆"	"Prunus(李属)"	"粘"	"乳黄"
"57"	"紫红"	"Rosaceae(蔷薇科)"	"0.22"	"12.5"	"冈山500号"	"国外"	"日本"	"106"	"好"	"多"	"中上"	"有"	"10.38"	"甜"	"--"	"中"	"白"	"7.20"	"软溶"	"108.1"	"中"	"9.59"	"Prunus persica L.(桃)"	"TG0112"	"GANG SHAN 500 HAO"	"椭圆"	"Prunus(李属)"	"粘"	"绿白"
"58"	"红"	"Rosaceae(蔷薇科)"	"0.44"	"11.2"	"冈山500号"	"国外"	"日本"	"105"	"好"	"多"	"中上"	"有"	"6.92"	"甜"	"--"	"极大"	"白"	"8.06"	"软溶"	"181.0"	"中"	"6.04"	"Prunus persica L.(桃)"	"TE0112"	"GANG SHAN 500 HAO"	"椭圆"	"Prunus(李属)"	"粘"	"白"
"59"	"紫红"	"Rosaceae(蔷薇科)"	"0.19"	"11.5"	"冈山5号"	"国外"	"日本"	"102"	"好"	"多"	"中上"	"有"	"11.00"	"甜"	"--"	"中"	"白"	"7.16"	"软溶"	"107.5"	"中"	"10.08"	"Prunus persica L.(桃)"	"TG0113"	"GANG SHAN 5 HAO"	"椭圆"	"Prunus(李属)"	"粘"	"乳黄"
"60"	"粉红"	"Rosaceae(蔷薇科)"	"0.15"	"13.3"	"冈山白"	"国外"	"日本"	"121"	"好"	"多"	"上"	"无"	"6.04"	"甜"	"鲜食"	"大"	"白"	"8.07"	"硬溶"	"159.0"	"晚"	"7.97"	"Prunus persica L.(桃)"	"TK0114"	"GANG SHAN BAI"	"椭圆"	"Prunus(李属)"	"粘"	"乳白"
"61"	"红"	"Rosaceae(蔷薇科)"	"0.25"	"13.5"	"冈山白"	"国外"	"日本"	"118"	"中"	"中"	"中上"	"无"	"9.68"	"甜"	"--"	"中"	"白"	"8.03"	"硬溶"	"109.0"	"中"	"11.40"	"Prunus persica L.(桃)"	"TG0114"	"GANG SHAN BAI"	"椭圆"	"Prunus(李属)"	"粘"	"绿白"
"62"	"红"	"Rosaceae(蔷薇科)"	"0.43"	"10.8"	"冈山白"	"国外"	"日本"	"116"	"好"	"多"	"上"	"无"	"7.27"	"甜"	"鲜食"	"极大"	"白"	"8.19"	"硬溶"	"238.0"	"中"	"7.86"	"Prunus persica L.(桃)"	"TE0114"	"GANG SHAN BAI"	"椭圆"	"Prunus(李属)"	"粘"	"白"
"63"	"粉红"	"Rosaceae(蔷薇科)"	"0.37"	"10.2"	"冈山早生"	"国外"	"日本"	"77"	"好"	"中"	"中上"	"有"	"6.63"	"酸甜"	"鲜食"	"中"	"白"	"6.22"	"软溶"	"102.0"	"早"	"5.44"	"Prunus persica L.(桃)"	"TK0116"	"GANG SHAN ZAO SHENG"	"圆"	"Prunus(李属)"	"半离"	"乳白"
"64"	"红"	"Rosaceae(蔷薇科)"	"0.76"	"14.8"	"哈露红"	"国外"	"加拿大"	"133"	"好"	"多"	"中下"	"有"	"9.98"	"甜酸"	"砧木"	"小"	"白"	"8.14"	"软溶"	"44.0"	"晚"	"8.05"	"Prunus persica L.(桃)"	"TK0118"	"HA LU HONG"	"圆"	"Prunus(李属)"	"离"	"乳白"
"65"	"红"	"Rosaceae(蔷薇科)"	"0.73"	"11.9"	"黄圣球"	"国外"	"美国"	"108"	"好"	"多"	"中"	"有"	"5.60"	"酸甜"	"--"	"大"	"白"	"7.24"	"软溶"	"155.0"	"中"	"7.03"	"Prunus persica L.(桃)"	"TK0124"	"HUANG SHENG QIU"	"圆"	"Prunus(李属)"	"离"	"乳白"
"66"	"红"	"Rosaceae(蔷薇科)"	"0.21"	"12.0"	"吉娜迪克斯7号"	"国外"	"法国"	"86"	"好"	"中"	"中上"	"有"	"5.19"	"甜"	"鲜食"	"中"	"白"	"7.05"	"硬溶"	"120.0"	"早"	"8.40"	"Prunus persica L.(桃)"	"TK0127"	"JI NA DI KE SI 7 HAO"	"圆"	"Prunus(李属)"	"离"	"乳黄"
"67"	"红"	"Rosaceae(蔷薇科)"	"0.88"	"9.6"	"桔早生"	"国外"	"日本"	"92"	"好"	"多"	"中"	"有"	"7.16"	"甜酸"	"--"	"大"	"白"	"7.07"	"软溶"	"138.0"	"中"	"6.74"	"Prunus persica L.(桃)"	"TK0129"	"JIE ZAO SHENG"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"68"	"红"	"Rosaceae(蔷薇科)"	"0.81"	"12.0"	"桔早生"	"国外"	"日本"	"87"	"好"	"中"	"中下"	"有"	"14.70"	"甜酸"	"--"	"中"	"白"	"7.01"	"软溶"	"89.0"	"早"	"7.79"	"Prunus persica L.(桃)"	"TG0129"	"JIE ZAO SHENG"	"圆"	"Prunus(李属)"	"半离"	"绿白"
"69"	"红"	"Rosaceae(蔷薇科)"	"0.73"	"11.7"	"离核水蜜"	"国外"	"日本"	"114"	"好"	"中"	"中"	"有"	"7.13"	"酸甜"	"--"	"大"	"白"	"7.30"	"硬溶"	"132.0"	"中"	"6.89"	"Prunus persica L.(桃)"	"TK0134"	"LI HE SHUI MI"	"圆"	"Prunus(李属)"	"离"	"乳白"
"70"	"紫红"	"Rosaceae(蔷薇科)"	"0.18"	"9.5"	"鲁宾"	"国外"	"美国"	"83"	"中"	"多"	"中"	"有"	"4.75"	"酸甜"	"--"	"中"	"白"	"6.28"	"硬溶"	"113.0"	"早"	"7.83"	"Prunus persica L.(桃)"	"TK0143"	"LU BIN"	"圆"	"Prunus(李属)"	"半离"	"乳白"
"71"	"紫红"	"Rosaceae(蔷薇科)"	"0.29"	"11.1"	"鲁宾"	"国外"	"美国"	"80"	"中"	"中"	"中"	"有"	"12.14"	"甜"	"--"	"小"	"白"	"6.28"	"硬溶"	"67.3"	"早"	"8.79"	"Prunus persica L.(桃)"	"TG0143"	"LU BIN"	"圆"	"Prunus(李属)"	"半离"	"绿白"
"72"	"紫红"	"Rosaceae(蔷薇科)"	"0.34"	"10.1"	"鲁宾"	"国外"	"美国"	"72"	"中"	"中"	"中"	"有"	"10.39"	"甜"	"鲜食"	"中"	"白"	"7.06"	"硬溶"	"114.0"	"早"	"8.90"	"Prunus persica L.(桃)"	"TE0143"	"LU BIN"	"圆"	"Prunus(李属)"	"半离"	"绿白"
"73"	"红"	"Rosaceae(蔷薇科)"	"0.19"	"13.2"	"浅间白桃"	"国外"	"日本"	"102"	"好"	"中"	"上"	"无"	"6.05"	"适中"	"鲜食"	"极大"	"白"	"7.17"	"硬溶"	"161.0"	"中"	"9.60"	"Prunus persica L.(桃)"	"TK0150"	"QIAN JIAN BAI TAO"	"卵圆"	"Prunus(李属)"	"粘"	"乳黄"
"74"	"粉红"	"Rosaceae(蔷薇科)"	"0.16"	"10.1"	"砂子早生"	"国外"	"日本"	"80"	"好"	"多"	"上"	"无"	"5.63"	"酸甜"	"鲜食"	"大"	"白"	"6.24"	"硬溶"	"159.0"	"早"	"7.59"	"Prunus persica L.(桃)"	"TK0163"	"SHA ZI ZAO SHENG"	"椭圆"	"Prunus(李属)"	"半离"	"乳白"
"75"	"红"	"Rosaceae(蔷薇科)"	"0.28"	"11.7"	"砂子早生"	"国外"	"日本"	"77"	"好"	"多"	"中"	"无"	"10.12"	"甜"	"鲜食果大"	"大"	"白"	"6.22"	"硬溶"	"122.4"	"早"	"9.81"	"Prunus persica L.(桃)"	"TG0163"	"SHA ZI ZAO SHENG"	"椭圆"	"Prunus(李属)"	"半离"	"绿白"
"76"	"红"	"Rosaceae(蔷薇科)"	"0.35"	"12.3"	"砂子早生"	"国外"	"日本"	"74"	"好"	"多"	"中上"	"无"	"6.30"	"甜"	"鲜食"	"极大"	"白"	"7.06"	"硬溶"	"225.0"	"早"	"7.73"	"Prunus persica L.(桃)"	"TE0163"	"SHA ZI ZAO SHENG"	"椭圆"	"Prunus(李属)"	"半离"	"乳白"
"77"	"红"	"Rosaceae(蔷薇科)"	"0.21"	"13.1"	"山根"	"国外"	"日本"	"110"	"好"	"多"	"上"	"有"	"5.60"	"甜"	"鲜食"	"大"	"白"	"7.27"	"硬溶"	"149.0"	"中"	"8.22"	"Prunus persica L.(桃)"	"TK0165"	"SHAN GEN"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"78"	"红"	"Rosaceae(蔷薇科)"	"0.54"	"12.3"	"山根"	"国外"	"日本"	"107"	"中"	"中"	"中"	"有"	"8.98"	"甜"	"--"	"中"	"白"	"7.23"	"硬溶"	"107.0"	"中"	"9.41"	"Prunus persica L.(桃)"	"TG0165"	"SHAN GEN"	"圆"	"Prunus(李属)"	"粘"	"乳黄"
"79"	"红"	"Rosaceae(蔷薇科)"	"0.21"	"11.5"	"土用"	"国外"	"日本"	"107"	"中"	"多"	"中上"	"有"	"11.44"	"甜"	"--"	"大"	"白"	"7.20"	"软溶"	"131.6"	"中"	"10.37"	"Prunus persica L.(桃)"	"TG0179"	"TU YONG"	"椭圆"	"Prunus(李属)"	"粘"	"乳黄"
"80"	"红"	"Rosaceae(蔷薇科)"	"1.08"	"13.9"	"西伯利亚C"	"国外"	"加拿大"	"114"	"中"	"中"	"中下"	"有"	"9.39"	"甜酸"	"桃半矮化砧木"	"中"	"白"	"8.11"	"硬溶"	"100.0"	"中"	"10.35"	"Prunus persica L.(桃)"	"TE0188"	"XI BO LI YA C"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"81"	"红"	"Rosaceae(蔷薇科)"	"0.20"	"14.3"	"西野"	"国外"	"日本"	"122"	"好"	"多"	"上"	"有"	"8.01"	"甜"	"鲜食"	"大"	"白"	"8.06"	"软溶"	"140.0"	"晚"	"8.72"	"Prunus persica L.(桃)"	"TK0198"	"XI YE"	"圆"	"Prunus(李属)"	"粘"	"乳黄"
"82"	"红"	"Rosaceae(蔷薇科)"	"0.90"	"11.4"	"小林"	"国外"	"日本"	"94"	"好"	"多"	"中"	"有"	"4.66"	"甜酸"	"--"	"大"	"白"	"7.09"	"软溶"	"153.0"	"中"	"6.06"	"Prunus persica L.(桃)"	"TK0208"	"XIAO LIN"	"扁圆"	"Prunus(李属)"	"粘"	"乳黄"
"83"	"红"	"Rosaceae(蔷薇科)"	"0.31"	"14.0"	"新大久保"	"国外"	"日本"	"107"	"好"	"多"	"上"	"无"	"7.51"	"甜"	"鲜食"	"大"	"白"	"7.25"	"软溶"	"153.0"	"中"	"9.03"	"Prunus persica L.(桃)"	"TK0211"	"XIN DA JIU BAO"	"圆"	"Prunus(李属)"	"粘"	"乳白"
"84"	"红"	"Rosaceae(蔷薇科)"	"0.29"	"11.4"	"新大久保"	"国外"	"日本"	"101"	"好"	"多"	"中上"	"无"	"8.80"	"甜"	"--"	"中"	"白"	"7.17"	"软溶"	"110.6"	"中"	"10.27"	"Prunus persica L.(桃)"	"TG0211"	"XIN DA JIU BAO"	"圆"	"Prunus(李属)"	"粘"	"乳黄"
"85"	"红"	"Rosaceae(蔷薇科)"	"0.53"	"11.0"	"新大久保"	"国外"	"日本"	"103"	"好"	"多"	"中上"	"无"	"7.85"	"甜"	"--"	"极大"	"白"	"8.05"	"软溶"	"213.0"	"中"	"7.79"	"Prunus persica L.(桃)"	"TE0211"	"XIN DA JIU BAO"	"圆"	"Prunus(李属)"	"粘"	"白"
"86"	"红"	"Rosaceae(蔷薇科)"	"0.69"	"10.5"	"银星"	"国外"	"日本"	"107"	"中"	"中"	"中"	"有"	"11.18"	"酸甜适中"	"--"	"大"	"白"	"7.20"	"不溶"	"130.2"	"中"	"9.54"	"Prunus persica L.(桃)"	"TG0224"	"YIN XING"	"椭圆"	"Prunus(李属)"	"粘"	"乳白"
"87"	"红"	"Rosaceae(蔷薇科)"	"0.69"	"9.1"	"羽衣"	"国外"	"日本"	"82"	"中"	"中"	"中"	"有"	"4.59"	"甜酸"	"--"	"小"	"白"	"6.30"	"软溶"	"77.0"	"早"	"7.15"	"Prunus persica L.(桃)"	"TK0231"	"YU YI"	"圆"	"Prunus(李属)"	"半离"	"乳黄"
"88"	"红"	"Rosaceae(蔷薇科)"	"0.72"	"12.3"	"玉汉"	"国外"	"日本"	"84"	"中"	"中"	"中"	"有"	"9.86"	"甜酸"	"--"	"中"	"白"	"7.01"	"软溶"	"85.3"	"早"	"8.41"	"Prunus persica L.(桃)"	"TG0232"	"YU HAN"	"圆"	"Prunus(李属)"	"半离"	"绿白"
"89"	"粉红"	"Rosaceae(蔷薇科)"	"0.53"	"10.2"	"早生水蜜"	"国外"	"日本"	"88"	"好"	"多"	"中"	"有"	"5.37"	"甜酸"	"鲜食"	"大"	"白"	"7.03"	"软溶"	"141.0"	"早"	"5.64"	"Prunus persica L.(桃)"	"TK0243"	"ZAO SHENG SHUI MI"	"扁圆"	"Prunus(李属)"	"粘"	"乳白"
"90"	"红"	"Rosaceae(蔷薇科)"	"0.77"	"10.6"	"早生水蜜"	"国外"	"日本"	"92"	"中"	"多"	"中"	"有"	"11.74"	"甜酸"	"--"	"大"	"白"	"7.07"	"软溶"	"135.3"	"中"	"7.57"	"Prunus persica L.(桃)"	"TG0243"	"ZAO SHENG SHUI MI"	"扁圆"	"Prunus(李属)"	"粘"	"绿白"
