"id"	"彩色"	"科名"	"可溶性酸"	"可溶固形物"	"品种名称"	"省"	"原产地"	"生育期"	"外观评价"	"汁液"	"内质评价"	"花粉有无"	"维生素C"	"风味"	"特异及用途"	"单果重评价"	"肉色"	"果实成熟期"	"肉质"	"单果重G"	"成熟期评价"	"可溶性糖"	"学名"	"统一编号"	"译名"	"果形"	"属名"	"核粘离性"	"底色"
"247"	"红"	"Rosaceae(蔷薇科)"	"0.83"	"10.8"	"玛利维拉"	"国外"	"美国"	"86"	"好"	"多"	"中"	"有"	"10.91"	"酸甜"	"短低温亲本具油桃基"	"中"	"白"	"6.25"	"软溶"	"90.0"	"早"	"7.65"	"Prunus persica L.(桃)"	"ZZ"	"MA LI WEI LA"	"圆"	"Prunus(李属)"	"离"	"白"
"248"	"红"	"Rosaceae(蔷薇科)"	"0.62"	"8.4"	"春冠"	"国外"	"美国"	"62"	"好"	"中"	"中"	"有"	"9.33"	"甜酸"	"早熟果大"	"中"	"黄"	"6.04"	"硬溶"	"82.0"	"中"	"7.05"	"Prunus persica L.(桃)"	"ZZ"	"CHUN GUAN"	"圆"	"Prunus(李属)"	"粘"	"黄"
"249"	"红"	"Rosaceae(蔷薇科)"	"0.52"	"8.7"	"六月金"	"国外"	"美国"	"87"	"好"	"中"	"中"	"有"	"9.68"	"甜酸"	"--"	"中"	"黄"	"6.27"	"硬溶"	"110.0"	"中"	"6.92"	"Prunus persica L.(桃)"	"ZZ"	"LIU YUE JIN"	"椭圆"	"Prunus(李属)"	"离"	"黄"
"250"	"红"	"Rosaceae(蔷薇科)"	"0.73"	"9.0"	"伏罗尼达冠"	"国外"	"美国"	"99"	"好"	"中"	"中"	"有"	"11.62"	"甜酸"	"--"	"中"	"黄"	"7.11"	"硬溶"	"103.0"	"中"	"6.41"	"Prunus persica L.(桃)"	"ZZ"	"FU LUO NI DA GUAN"	"圆"	"Prunus(李属)"	"离"	"黄"
"251"	"红"	"Rosaceae(蔷薇科)"	"0.83"	"8.8"	"增艳(油桃)"	"国外"	"美国"	"109"	"好"	"中"	"中"	"有"	"10.03"	"甜酸"	"--"	"中"	"黄"	"7.20"	"硬溶"	"118.0"	"中"	"5.91"	"Prunus persica var. nectarina Maxim.(油桃)"	"ZZ"	"ZENG YAN (YOU TAO )"	"圆"	"Prunus(李属)"	"离"	"黄"
"252"	"红"	"Rosaceae(蔷薇科)"	"0.63"	"8.8"	"五月火"	"国外"	"美国"	"60"	"好"	"中"	"中"	"有"	"11.75"	"甜酸"	"极早熟"	"小"	"黄"	"6.04"	"硬溶"	"72.0"	"极早"	"7.19"	"Prunus persica L.(桃)"	"ZZ"	"WU YUE HUO"	"卵圆"	"Prunus(李属)"	"粘"	"黄"
"253"	"红"	"Rosaceae(蔷薇科)"	"0.59"	"8.5"	"早星"	"国外"	"美国"	"76"	"好"	"中"	"中"	"有"	"11.44"	"甜酸"	"早熟丰产性好"	"中"	"黄"	"6.25"	"硬溶"	"80.0"	"早"	"7.44"	"Prunus persica L.(桃)"	"ZZ"	"ZAO XING"	"圆"	"Prunus(李属)"	"离"	"黄"
"254"	"红"	"Rosaceae(蔷薇科)"	"1.07"	"9.8"	"格兰特1号"	"国外"	"美国"	"89"	"好"	"中"	"中"	"有"	"13.82"	"甜酸"	"--"	"大"	"黄"	"6.30"	"硬溶"	"80.0"	"早"	"7.36"	"Prunus persica L.(桃)"	"ZZ"	"GE LAN TE 1 HAO"	"圆"	"Prunus(李属)"	"粘"	"黄"
"255"	"红"	"Rosaceae(蔷薇科)"	"0.85"	"10.9"	"卡洛红"	"国外"	"美国"	"90"	"好"	"中"	"中"	"有"	"13.38"	"甜酸"	"--"	"大"	"黄"	"7.04"	"硬溶"	"80.0"	"中"	"6.89"	"Prunus persica L.(桃)"	"ZZ"	"KA LUO HONG"	"圆"	"Prunus(李属)"	"粘"	"黄"
"256"	"红"	"Rosaceae(蔷薇科)"	"1.17"	"7.4"	"红日"	"国外"	"美国"	"97"	"好"	"中"	"中"	"有"	"11.88"	"酸甜"	"短低温丰产"	"小"	"黄"	"7.06"	"硬溶"	"55.0"	"中"	"6.07"	"Prunus persica L.(桃)"	"ZZ"	"HONG RI"	"圆"	"Prunus(李属)"	"离"	"黄"
