"id"	"肉质"	"栽培季节"	"品种名称"	"果面特征"	"抗逆性"	"种质库编号"	"果形"	"始花节位"	"株型"	"抗病虫性"	"生育期"	"熟性"	"成熟果皮色"	"果脐大小"	"备注"	"风味"	"单果重"	"种子来源"	"叶型"	"用途"	"叶色"	"亩产"	"生长习性"	"果肉色"	"保存单位"	"译名"	"省"	"保存编号"	"统一编号"
"445"	"--"	"2月末-7月中"	"Camdown"	"平滑"	"中"	"Ⅱ6A0775"	"圆形"	"7"	"蔓生"	"中"	"58"	"中熟"	"红"	"小"	"PI270219"	"--"	"150.0"	"中蔬引自加拿大"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Camdown"	"国外"	"78-238"	"V06A0857"
"446"	"--"	"2月末-7月中"	"Glabonnie"	"平滑"	"中"	"Ⅱ6A0844"	"圆形"	"8"	"蔓生"	"中"	"58"	"中熟"	"红"	"小"	"PI121665"	"--"	"80.0"	"中蔬引自加拿大"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Glabonnie"	"国外"	"78-23"	"V06A0858"
"447"	"--"	"2月末-7月中"	"Bestal PI121664"	"平滑"	"中"	"Ⅱ6A0693"	"圆形"	"7"	"蔓生"	"中"	"56"	"中熟"	"红"	"小"	"PI121664"	"--"	"55.0"	"中蔬引自加拿大"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Bestal PI121664"	"国外"	"78-22"	"V06A0859"
"448"	"--"	"2月末-7月中"	"Herald"	"平滑"	"弱"	"Ⅱ6A0694"	"圆形"	"5"	"蔓生"	"弱"	"60"	"中熟"	"红"	"小"	"PI121666"	"--"	"55.0"	"中蔬引自加拿大"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Herald"	"国外"	"78-24"	"V06A0860"
"449"	"--"	"2月末-7月中"	"Egypeian"	"平滑"	"中"	"Ⅱ6A0702"	"圆形"	"8"	"蔓生"	"中"	"60"	"中熟"	"黄"	"小"	"PI136451"	"酸甜"	"90.0"	"中蔬引自加拿大"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"黄"	"中国农科院蔬菜所"	"Egypeian"	"国外"	"78-48"	"V06A0861"
"450"	"--"	"2月末-7月中"	"Ostravske kane"	"平滑"	"--"	"Ⅱ6A0740"	"圆形"	"8"	"半蔓生"	"--"	"45"	"早熟"	"红"	"小"	"PI250434"	"酸甜"	"75.0"	"中蔬引自捷克"	"马铃薯叶"	"鲜食"	"深绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Ostravske kane"	"国外"	"78-145"	"V06A0862"
"451"	"--"	"2月末-7月中"	"Pruhonicky Vniversal"	"平滑"	"中"	"Ⅱ6A0741"	"圆形"	"6"	"半蔓生"	"中"	"45"	"早熟"	"红"	"小"	"PI250436"	"淡"	"60.0"	"中蔬引自捷克"	"马铃薯叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Pruhonicky Vniversal"	"国外"	"78-147"	"V06A0863"
"452"	"--"	"2月末-7月中"	"Stupicke"	"平滑"	"中"	"Ⅱ6A0742"	"圆形"	"7"	"蔓生"	"中"	"53"	"中熟"	"红"	"小"	"PI250435"	"--"	"50.0"	"中蔬引自捷克"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Stupicke"	"国外"	"78-146"	"V06A0864"
"453"	"--"	"2月末-7月中"	"Louisiana Red"	"平滑"	"强"	"Ⅱ6A0777"	"圆形"	"6"	"蔓生"	"强"	"55"	"中熟"	"红"	"小"	"PI270197"	"--"	"100.0"	"中蔬引自路易斯"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Louisiana Red"	"国外"	"78-227"	"V06A0865"
"454"	"面"	"5-7"	"Heing1327"	"平滑"	"强"	"Ⅱ6A0896"	"圆形"	"8"	"半蔓生"	"好"	"66"	"中熟"	"红"	"中"	"--"	"甜"	"67.5"	"中蔬引自罗马尼亚"	"普通叶"	"鲜食"	"绿"	"607"	"有限"	"红"	"中国农科院蔬菜所"	"Heing1327"	"国外"	"D-04"	"V06A0866"
"455"	"面"	"5-7"	"Sonesan"	"平滑"	"弱"	"Ⅱ6A0897"	"圆形"	"5"	"半蔓生"	"差"	"63"	"早熟"	"红"	"小"	"--"	"甜"	"65.0"	"中蔬引自罗马尼亚"	"普通叶"	"鲜食"	"绿"	"1403"	"有限"	"红"	"中国农科院蔬菜所"	"Sonesan"	"国外"	"D-05"	"V06A0867"
"456"	"面"	"5-7"	"BUZAU1600"	"平滑"	"强"	"Ⅱ6A0895"	"圆形"	"8"	"蔓生"	"好"	"69"	"中熟"	"红"	"大"	"--"	"甜"	"92.0"	"中蔬引自罗马尼亚"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"BUZAU1600"	"国外"	"D-03"	"V06A0868"
"457"	"--"	"2月末-7月中"	"De Tiganesti"	"平滑"	"强"	"Ⅱ6A0746"	"圆形"	"6"	"蔓生"	"强"	"58"	"中熟"	"红"	"小"	"PI258809"	"酸甜"	"45.0"	"中蔬引自罗马尼亚"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"黄"	"中国农科院蔬菜所"	"De Tiganesti"	"国外"	"78-164"	"V06A0869"
"458"	"--"	"2月末-7月中"	"Selectuinea Falticeni"	"平滑"	"强"	"Ⅱ6A0747"	"圆形"	"7"	"蔓生"	"强"	"60"	"中熟"	"红"	"中"	"PI258812"	"酸甜"	"95.0"	"中蔬引自罗马尼亚"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Selectuinea Falticeni"	"国外"	"78-167"	"V06A0870"
"459"	"--"	"2月末-7月中"	"Burgess crdck proof"	"平滑"	"中"	"Ⅱ6A0731"	"圆形"	"8"	"蔓生"	"中"	"60"	"中熟"	"红"	"小"	"PI223308"	"酸甜"	"100.0"	"中蔬引自罗侍岛"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Burgess crdck proof"	"国外"	"78-122"	"V06A0871"
"460"	"--"	"2月末-7月中"	"auebec"	"平滑"	"中"	"Ⅱ6A0809"	"圆形"	"6"	"蔓生"	"中"	"57"	"中熟"	"红"	"小"	"PI355114"	"--"	"80.0"	"中蔬引自马里兰"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"auebec"	"国外"	"78-768"	"V06A0872"
"461"	"--"	"2月末-7月中"	"Quebec"	"平滑"	"中"	"Ⅱ6A0810"	"圆形"	"6"	"蔓生"	"中"	"57"	"中熟"	"红"	"中"	"PI355116"	"--"	"75.0"	"中蔬引自马里兰"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Quebec"	"国外"	"78-770"	"V06A0873"
"462"	"--"	"2月末-7月中"	"Sugar"	"平滑"	"中"	"Ⅱ6A0782"	"圆形"	"5"	"蔓生"	"中"	"33"	"早熟"	"红"	"小"	"PI270248"	"酸甜"	"68.0"	"中蔬引自美国"	"普通叶"	"鲜食"	"绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Sugar"	"国外"	"78-261"	"V06A0874"
"463"	"面"	"2中-7下"	"奇果"	"平滑"	"中"	"Ⅱ6A0848"	"圆形"	"7"	"蔓生"	"中"	"80"	"早熟"	"红"	"小"	"--"	"中"	"50.0"	"中蔬引自美国"	"普通叶"	"加工"	"深绿"	"3000"	"有限"	"红"	"中国农科院蔬菜所"	"QI GUO"	"国外"	"CK1"	"V06A0875"
"464"	"--"	"2月末-7月中"	"Puck"	"平滑"	"弱"	"Ⅱ6A0806"	"圆形"	"4"	"蔓生"	"弱"	"59"	"早熟"	"黄"	"小"	"PI303779"	"--"	"45.0"	"中蔬引自美国"	"普通叶"	"鲜食"	"浅绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Puck"	"国外"	"78-510"	"V06A0876"
"465"	"--"	"2月末-7月中"	"Imp wasatch Beauty"	"平滑"	"中"	"Ⅱ6A0780"	"圆形"	"8"	"蔓生"	"中"	"58"	"中熟"	"红"	"小"	"PI270233"	"--"	"75.0"	"中蔬引自美国"	"普通叶"	"鲜食"	"浅绿"	"--"	"无限"	"红"	"中国农科院蔬菜所"	"Imp wasatch Beauty"	"国外"	"78-248"	"V06A0877"
