"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"瓜刺多少"	"肉质"	"雌首花节位"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"38"	"早"	"5-F16"	"长瓠瓜"	"攀援蔓生"	"CHANG HU GUA"	"1.0"	"70"	"--"	"强"	"不抗白粉"	"绿"	"--"	"掌状"	"微甜"	"--"	"2500"	"绿色"	"*"	"圆柱形"	"密"	"软"	"3"	"V05I0110"	"湖南农科院蔬菜所"	"耐寒旱"	"Ⅱ5G0082"	"湖南湘潭县"	"--"	"3中-6中下7"	"--"	"--"
"39"	"中"	"5-F02"	"长瓠瓜"	"攀援蔓生"	"CHANG HU GUA"	"2.0"	"70"	"--"	"强"	"重感"	"绿"	"--"	"掌状"	"微甜"	"--"	"4000"	"绿色"	"*"	"梨形"	"有"	"软"	"3"	"V05I0117"	"湖南农科院蔬菜所"	"耐寒"	"Ⅱ5G0054"	"湖南醴陵市"	"--"	"2上-5上6"	"--"	"--"
"40"	"中"	"81-12-20"	"扁葫芦"	"葡匐蔓生"	"BIAN HU LU"	"1.5"	"72"	"--"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"2250"	"褐色"	"*"	"扁圆形"	"--"	"软"	"8"	"V05I0120"	"江苏农科院蔬菜所"	"耐热"	"Ⅱ5G0172"	"江苏丰县"	"--"	"4下7上-7下"	"--"	"--"
"41"	"中"	"Ⅱ5G0006"	"三河瓠瓜"	"攀援蔓生"	"SAN HE HU GUA"	"1.4"	"110"	"--"	"中"	"抗"	"绿"	"--"	"心形"	"--"	"--"	"1875"	"褐色"	"*"	"圆柱形"	"--"	"圆滑致密"	"16"	"V05I0130"	"南昌市蔬菜所"	"耐寒"	"Ⅱ5G0069"	"江西景德镇市"	"--"	"3下-4上-6中7中"	"--"	"--"
"42"	"早"	"Ⅱ5G0005"	"里村瓠子"	"攀援蔓生"	"LI CUN HU ZI"	"1.0"	"90"	"--"	"强"	"抗"	"绿"	"--"	"心形"	"--"	"--"	"2250"	"褐色"	"*"	"圆柱形"	"--"	"圆滑致密"	"4"	"V05I0131"	"南昌市蔬菜所"	"耐寒"	"Ⅱ5G0170"	"江西景德镇市"	"--"	"3中-3下-5中6中"	"--"	"--"
"43"	"中"	"Ⅱ5G0009"	"山瓠"	"攀援蔓生"	"SHAN HU"	"1.3"	"105"	"--"	"中"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"2250"	"褐色"	"*"	"圆柱形"	"--"	"圆滑致密"	"10"	"V05I0132"	"南昌市蔬菜所"	"耐热旱"	"Ⅱ5G0097"	"江西九江市"	"--"	"3上-4上中-5下6中"	"--"	"--"
"44"	"中"	"Ⅱ5G0023"	"圆葫芦"	"--"	"YUAN HU LU"	"4.0"	"140"	"多"	"强"	"抗"	"灰白色"	"--"	"心形"	"甜"	"--"	"4000"	"奶油色"	"--"	"梨形"	"--"	"软"	"2"	"V05I0135"	"南昌市蔬菜所"	"强"	"Ⅱ5G0162"	"江西南康县"	"--"	"4月中-10月上"	"--"	"平"
"45"	"中"	"88H2-1"	"瓠瓜"	"蔓生"	"HU GUA"	"2.5"	"80"	"多"	"强"	"--"	"绿"	"--"	"圆形"	"--"	"--"	"2500"	"黄色"	"--"	"圆柱形"	"多"	"细嫩"	"--"	"V05I0144"	"宁夏农科院园艺所"	"强"	"Ⅱ5G0070"	"宁夏银川市"	"--"	"夏4下-7中"	"--"	"平"
"46"	"--"	"1"	"菜葫芦"	"蔓生"	"CAI HU LU"	"4.5"	"170"	"无"	"强"	"抗"	"绿"	"--"	"心形"	"微甜"	"--"	"1750"	"--"	"--"	"扁圆形"	"--"	"细软"	"30"	"V05I0148"	"山东农科院蔬菜所"	"--"	"Ⅱ5G0169"	"山东昌乐县"	"--"	"3下-6下"	"--"	"平"
"47"	"中"	"Ⅱ5G0004"	"平陆瓠瓜"	"葡匐蔓生"	"PING LU HU GUA"	"0.8"	"90"	"无"	"强"	"中"	"绿"	"--"	"心形"	"淡而无味"	"--"	"1500"	"绿色"	"--"	"椭圆形"	"--"	"--"	"2"	"V05I0149"	"山西农科院蔬菜所"	"中"	"Ⅱ5G0157"	"山西平陆县"	"--"	"4下-7下"	"--"	"平"
"48"	"早"	"Ⅱ5G0005"	"平陆瓠瓜"	"葡匐蔓生"	"PING LU HU GUA"	"1.2"	"80"	"无"	"强"	"重感"	"绿"	"--"	"心形"	"淡而无味"	"--"	"1750"	"绿色"	"--"	"圆柱形"	"--"	"--"	"2"	"V05I0150"	"山西农科院蔬菜所"	"中"	"Ⅱ5G0011"	"山西平陆县"	"--"	"4下-7中"	"--"	"平"
"49"	"晚"	"Ⅱ5G0001"	"清徐瓠子"	"葡匐蔓生"	"QING XU HU ZI"	"2.5"	"100"	"无"	"强"	"抗"	"绿"	"--"	"心形"	"淡而无味"	"--"	"1500"	"绿色"	"--"	"梨形"	"--"	"--"	"2"	"V05I0154"	"山西农科院蔬菜所"	"强"	"Ⅱ5G0008"	"山西清徐县"	"--"	"4下-8上"	"--"	"平"
"50"	"晚"	"86-0425"	"短把瓢葫芦"	"攀援蔓生"	"DUAN BA PIAO HU LU"	"0.9"	"123"	"少"	"中"	"中"	"绿"	"--"	"椭圆"	"酸"	"--"	"645"	"奶油色"	"观赏作瓢"	"圆形"	"--"	"松软"	"13"	"V05I0161"	"新疆农科院园艺所"	"强"	"Ⅱ5G0114"	"新疆吐鲁番市"	"--"	"5上-9下"	"--"	"--"
"51"	"中"	"86-0224"	"瓠瓜"	"蔓生"	"HU GUA"	"1.0"	"76"	"无"	"中"	"中"	"绿"	"--"	"心形"	"微甜"	"--"	"1364"	"褐色"	"--"	"弯颈形"	"--"	"软"	"7"	"V05I0163"	"新疆农科院园艺所"	"中"	"Ⅱ5G0023"	"新疆乌县"	"--"	"4中-9下"	"--"	"平"
"52"	"晚"	"16051"	"腰葫芦"	"蔓生"	"YAO HU LU"	"0.8"	"90"	"--"	"强"	"抗"	"绿"	"--"	"心形"	"--"	"--"	"1750"	"绿色"	"*"	"梨形"	"多"	"软"	"1"	"V05I0166"	"浙江农科院园艺所"	"强"	"Ⅱ5G0153"	"浙江杭州市"	"--"	"3上-6中-8下"	"--"	"--"
