"id"	"抗虫性"	"裂荚性"	"科名"	"种子来源地"	"品种名称"	"粗蛋白"	"鲜草产量"	"脐色"	"五氧化二磷"	"耐湿性"	"子叶出土"	"播种地点"	"初花期"	"茎形"	"茎生长习性"	"烘干率"	"单株分枝数"	"花序类型"	"成熟荚色"	"耐荫性"	"茎的性质"	"栽培类别"	"初生叶形"	"译名"	"叶缘"	"幼茎色"	"单株荚数"	"落荚性"	"播种期"	"属名"	"统一编号"	"耐瘠性"	"出苗期"	"学名"	"粒形"	"耐盐性"	"耐酸性"	"落叶性"	"茎色"	"种皮色"	"花色"	"成熟期"	"再生性"	"结荚习性"	"库编号"	"耐碱性"	"结荚高度"	"叶尖"	"省"	"氧化钾"	"荚形"	"盛花期"	"复叶类形"	"叶序"	"单株粒数"	"叶形"	"氮"	"生育天数"	"株高"	"备注"	"抗寒性"	"抗病性"	"荚长"	"千粒重"	"保存单位"	"繁殖系数"	"抗旱性"	"生活周期"	"叶基"	"子叶颜色"	"种子产量"
"301"	"中"	"不易"	"Leguminosae(豆科)"	"--"	"烟台箭豌"	"18.50"	"2700"	"白"	"0.78"	"弱"	"不出土"	"南京"	"5.13"	"方形中空"	"半攀缘"	"18.00"	"14.3"	"总状"	"淡黄"	"中"	"草本"	"--"	"2小叶,长椭圆"	"--"	"全缘"	"绿"	"110.2"	"半落"	"10.12"	"Vicia(巢菜属)"	"00000204"	"较强"	"10.20"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"黄灰"	"紫"	"6.27"	"中"	"无限"	"I7A00245"	"中"	"65.7"	"箭状"	"国外"	"--"	"扁长矩形"	"5.17"	"偶数羽状"	"互生"	"--"	"长椭圆"	"3.02"	"246"	"141.0"	"10.80饲用"	"弱"	"中"	"4.8"	"--"	"江苏省农科院土肥所78-126"	"10-25"	"强"	"一年生或越年生"	"楔形"	"绿"	"23.0"
"302"	"中"	"不易"	"Leguminosae(豆科)"	"宁夏农科院"	"雁右一号"	"18.38"	"4250"	"白"	"1.26"	"较强"	"不出土"	"南京"	"5.10"	"方形中空"	"半攀缘"	"13.80"	"10.5"	"总状"	"淡黄"	"中"	"草本"	"--"	"2小叶,长椭圆"	"--"	"全缘"	"绿"	"69.6"	"半落"	"10.12"	"Vicia(巢菜属)"	"00000205"	"强"	"10.20"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"褐有斑"	"紫"	"6.26"	"中"	"无限"	"I7A00121"	"中"	"71.3"	"箭状"	"国外"	"--"	"扁长矩形"	"5.15"	"偶数羽状"	"互生"	"549.8"	"长椭圆"	"2.94"	"246"	"207.0"	"8.60饲用"	"较弱"	"强"	"5.4"	"46.10"	"江苏省农科院土肥所81-325"	"15-35"	"强"	"一年生或越年生"	"楔形"	"绿"	"72.0"
"303"	"中"	"不易"	"Leguminosae(豆科)"	"右玉试验站"	"雁右2号"	"19.13"	"4000"	"白"	"0.73"	"中"	"不出土"	"南京"	"5.13"	"方形中空"	"半攀缘"	"16.30"	"10.5"	"总状"	"淡黄"	"--"	"草本"	"--"	"2小叶,长椭圆"	"(Bicol 1)"	"全缘"	"绿"	"69.6"	"半落"	"10.08"	"Vicia(巢菜属)"	"00000206"	"强"	"10.18"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"褐有斑"	"紫"	"7.05"	"中"	"无限"	"I7A00122"	"中"	"71.3"	"箭状"	"国外"	"--"	"扁长矩形"	"5.17"	"偶数羽状"	"互生"	"549.8"	"长椭圆"	"3.06"	"257"	"207.0"	"16.90饲用"	"较弱"	"强"	"5.4"	"46.10"	"江苏省农科院土肥所81-326"	"15-35"	"强"	"一年生或越年生"	"楔形"	"绿"	"85.0"
"304"	"中"	"不易"	"Leguminosae(豆科)"	"宁夏农科院"	"山西春箭"	"19.63"	"2700"	"白"	"0.83"	"较弱"	"不出土"	"南京"	"5.07"	"方形中空"	"半攀缘"	"19.00"	"15.7"	"总状"	"淡黄"	"中"	"草本"	"--"	"2小叶,长椭圆"	"(Bicol 2)"	"全缘"	"绿"	"73.3"	"落"	"10.12"	"Vicia(巢菜属)"	"00000207"	"中"	"10.21"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"黄灰"	"紫"	"6.27"	"中"	"无限"	"I7A00123"	"中"	"43.4"	"箭状"	"国外"	"--"	"扁长矩形"	"5.13"	"偶数羽状"	"互生"	"513.1"	"长椭圆"	"3.14"	"246"	"106.0"	"8.75饲用"	"弱"	"较强"	"4.7"	"45.50"	"江苏省农科院土肥所81-329"	"10-25"	"较强"	"一年生或越年生"	"楔形"	"绿"	"42.0"
"305"	"中"	"不易"	"Leguminosae(豆科)"	"甘肃省农科院"	"异叶箭豌"	"19.63"	"2600"	"白"	"0.83"	"弱"	"不出土"	"南京"	"5.06"	"方形中空"	"半攀缘"	"16.60"	"12.0"	"总状"	"淡黄"	"中"	"草本"	"--"	"2小叶,长椭圆"	"Banaue"	"全缘"	"绿"	"50.6"	"半落"	"10.11"	"Vicia(巢菜属)"	"00000208"	"较强"	"10.18"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"褐有斑"	"紫"	"6.15"	"中"	"无限"	"I7A00246"	"中"	"88.0"	"箭状"	"国外"	"--"	"扁长矩形"	"5.11"	"偶数羽状"	"互生"	"430.1"	"长椭圆"	"3.14"	"238"	"189.0"	"8.40饲用"	"较弱"	"--"	"--"	"25.30"	"江苏省农科院土肥所79-102"	"10-25"	"强"	"一年生或越年生"	"楔形"	"绿"	"36.0"
"306"	"中"	"不易"	"Leguminosae(豆科)"	"甘肃省农科院"	"阿尔巴尼亚箭豌"	"17.75"	"2750"	"白"	"0.80"	"中"	"不出土"	"南京"	"5.09"	"方形中空"	"半攀缘"	"14.40"	"8.2"	"总状"	"淡黄"	"中"	"草本"	"--"	"2小叶,长椭圆"	"Apalit"	"全缘"	"绿"	"55.6"	"半落"	"10.08"	"Vicia(巢菜属)"	"00000209"	"较强"	"10.18"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"棕黑"	"紫"	"6.28"	"中"	"无限"	"I7A00124"	"中"	"80.1"	"箭状"	"国外"	"--"	"扁长矩形"	"5.22"	"偶数羽状"	"互生"	"278.5"	"长椭圆"	"2.84"	"250"	"203.8"	"2.80饲用"	"弱"	"强"	"4.8"	"54.50"	"江苏省农科院土肥所79-96"	"20-40"	"强"	"一年生或越年生"	"楔形"	"绿"	"80.0"
"307"	"中"	"中"	"Leguminosae(豆科)"	"山西农科院"	"春箭豌豆"	"20.19"	"3000"	"白"	"0.79"	"较弱"	"不出土"	"南京"	"5.08"	"方形中空"	"半攀缘"	"--"	"13.6"	"总状"	"淡黄"	"中"	"草本"	"--"	"2小叶,长椭圆"	"Floridablanca 1"	"全缘"	"绿"	"80.0"	"半落"	"10.11"	"Vicia(巢菜属)"	"00000210"	"较强"	"10.18"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"褐有斑"	"紫"	"6.15"	"中"	"无限"	"I7A00125"	"中"	"92.4"	"箭状"	"国外"	"1.05"	"扁长矩形"	"5.12"	"偶数羽状"	"互生"	"560.0"	"长椭圆"	"3.23"	"238"	"195.4"	"2.90饲用"	"较弱"	"较强"	"--"	"49.90"	"江苏省农科院土肥所80-155"	"10-25"	"强"	"一年生或越年生"	"楔形"	"绿"	"32.0"
"308"	"中"	"不易"	"Leguminosae(豆科)"	"山东省山丹农场"	"干粉红花"	"18.13"	"3000"	"白"	"0.73"	"较弱"	"不出土"	"南京"	"5.07"	"方形中空"	"半攀缘"	"17.90"	"8.4"	"总状"	"淡黄"	"中"	"草本"	"--"	"2小叶,长椭圆"	"Floridablanca 2"	"全缘"	"绿"	"49.3"	"半落"	"10.12"	"Vicia(巢菜属)"	"00000211"	"较强"	"10.21"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"褐有斑"	"紫"	"6.18"	"中"	"无限"	"I7A00126"	"中"	"73.0"	"箭状"	"国外"	"--"	"扁长矩形"	"5.13"	"偶数羽状"	"互生"	"345.1"	"长椭圆"	"2.90"	"239"	"171.3"	"18.30饲用"	"中"	"较强"	"5.5"	"53.60"	"江苏省农科院土肥所78-1"	"15-40"	"强"	"一年生或越年生"	"楔形"	"绿"	"45.0"
"309"	"中"	"不易"	"Leguminosae(豆科)"	"徐州农科所"	"粉红花箭豌"	"21.32"	"3400"	"白"	"0.81"	"较弱"	"不出土"	"南京"	"5.09"	"方形中空"	"半攀缘"	"16.90"	"6.3"	"总状"	"淡黄"	"中"	"草本"	"--"	"2小叶,长椭圆"	"Majayjay"	"全缘"	"绿"	"--"	"半落"	"10.12"	"Vicia(巢菜属)"	"00000212"	"较强"	"10.18"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"褐有斑"	"粉红"	"6.19"	"中"	"无限"	"I7A00247"	"中"	"73.4"	"箭状"	"国外"	"1.16"	"扁长矩形"	"5.13"	"偶数羽状"	"互生"	"--"	"长椭圆"	"3.41"	"241"	"202.4"	"17.40饲用"	"中"	"较强"	"--"	"56.70"	"江苏省农科院土肥所78-7"	"15-35"	"强"	"一年生或越年生"	"楔形"	"绿"	"105.0"
"310"	"中"	"不易"	"Leguminosae(豆科)"	"中山植物园引自葡萄牙"	"""Tapiosgelei""箭豌"	"18.94"	"3625"	"白"	"0.76"	"较弱"	"不出土"	"南京"	"5.03"	"方形中空"	"半攀缘"	"15.40"	"12.4"	"总状"	"淡黄"	"中"	"草本"	"--"	"2小叶,长椭圆"	"Cagayan"	"全缘"	"绿"	"77.2"	"半落"	"10.12"	"Vicia(巢菜属)"	"00000213"	"较强"	"10.21"	"Vicia sativa L.(箭 豌豆)"	"扁圆"	"中"	"较强"	"中等"	"绿"	"褐有斑"	"紫"	"6.26"	"中"	"无限"	"I7A00127"	"中"	"53.0"	"箭状"	"国外"	"--"	"扁长矩形"	"5.07"	"偶数羽状"	"互生"	"509.5"	"长椭圆"	"3.03"	"245"	"119.8"	"2.45饲用"	"较弱"	"较强"	"5.5"	"54.20"	"江苏省农科院土肥所74-56"	"20-40"	"强"	"一年生或越年生"	"楔形"	"绿"	"77.0"
