"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"62"	"--"	"Ⅱ5Bc007-1"	"交口金瓜"	"葡匐蔓生"	"JIAO KOU JIN GUA"	"2.0"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"*两种果形,一种皮色"	"扁圆形"	"致密"	"16"	"山西"	"V05D0158"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc047"	"山西交口县"	"--"	"4下-8中"	"--"	"棱"
"63"	"--"	"Ⅱ5Bc047-1"	"静乐金瓜"	"葡匐蔓生"	"JING LE JIN GUA"	"4.0"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"褐色"	"*两种果形,一种皮色"	"扁圆形"	"致密"	"11"	"山西"	"V05D0160"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc086"	"山西静乐县"	"--"	"4下-8中"	"--"	"平"
"64"	"--"	"Ⅱ5Bc004-1"	"临汾金瓜"	"葡匐蔓生"	"LIN FEN JIN GUA"	"6.5"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"奶油色"	"*两种果形,一种皮色"	"圆形"	"致密"	"8"	"山西"	"V05D0164"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc043"	"山西临汾市"	"--"	"4下-8中"	"--"	"平"
"65"	"--"	"Ⅱ5Bc004-3"	"临汾金瓜"	"葡匐蔓生"	"LIN FEN JIN GUA"	"1.5"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"奶油色"	"*"	"圆柱形"	"致密"	"17"	"山西"	"V05D0165"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc044"	"山西临汾市"	"--"	"4下-8中"	"--"	"平"
"66"	"--"	"Ⅱ5Bc041-3"	"临县番瓜"	"葡匐蔓生"	"LIN XIAN FAN GUA"	"2.2"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"*"	"扁圆形"	"致密"	"8"	"山西"	"V05D0166"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc112"	"山西临汾县"	"--"	"4下-8中"	"--"	"棱"
"67"	"--"	"Ⅱ5Bc029-1"	"临汾金瓜"	"葡匐蔓生"	"LIN FEN JIN GUA"	"3.5"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"桔黄色"	"*两种果形,一种皮色"	"圆形"	"致密"	"18"	"山西"	"V05D0167"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc121"	"山西临汾县"	"--"	"4下-8中"	"--"	"棱"
"68"	"--"	"Ⅱ5Bc039-2"	"洋窝瓜"	"葡匐蔓生"	"YANG WO GUA"	"2.5"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"灰色"	"*"	"圆柱形"	"致密"	"10"	"山西"	"V05D0168"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc139"	"山西临猗县"	"--"	"4下-8中"	"--"	"平"
"69"	"--"	"Ⅱ5Bc022-2"	"朔县金瓜"	"葡匐蔓生"	"SHUO XIAN JIN GUA"	"7.5"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"桔黄色"	"*两种果形,一种皮色"	"圆形"	"致密"	"13"	"山西"	"V05D0177"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc109"	"山西朔县"	"--"	"4下-8中"	"--"	"平"
"70"	"--"	"Ⅱ5Bc046-1"	"白玉瓜"	"葡匐蔓生"	"BAI YU GUA"	"5.0"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"桔黄色"	"*两种果形,一种皮色"	"圆形"	"致密"	"21"	"山西"	"V05D0179"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc008"	"山西太原市"	"--"	"4下-8中"	"--"	"平"
"71"	"--"	"Ⅱ5Bc048-8"	"天镇金瓜"	"葡匐蔓生"	"TIAN ZHEN JIN GUA"	"1.5"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"桔黄色"	"*一种果形,三种皮色"	"圆形"	"致密"	"13"	"山西"	"V05D0181"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc069"	"山西天镇县"	"--"	"4下-8中"	"--"	"平"
"72"	"--"	"Ⅱ5Bc057-3"	"闻喜金瓜"	"葡匐蔓生"	"WEN XI JIN GUA"	"2.5"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"黄色"	"*"	"圆柱形"	"致密"	"12"	"山西"	"V05D0182"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc072"	"山西闻喜县"	"--"	"4下-8中"	"--"	"平"
"73"	"--"	"Ⅱ5Bc073-3"	"五寨青皮"	"--"	"WU ZHAI QING PI"	"1.4"	"110"	"--"	"--"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"--"	"--"	"--"	"14"	"山西"	"V05D0183"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc137"	"山西五寨县"	"--"	"4下-8中"	"--"	"平"
"74"	"--"	"Ⅱ5Bc077-2"	"五寨尖嘴"	"--"	"WU ZHAI JIAN ZUI"	"1.5"	"110"	"--"	"--"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"--"	"--"	"--"	"15"	"山西"	"V05D0185"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc114"	"山西五寨县"	"--"	"4下-8中"	"--"	"平"
"75"	"--"	"Ⅱ5Bc072-1"	"榆次青皮"	"--"	"YU CI QING PI"	"2.2"	"110"	"--"	"--"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"--"	"--"	"--"	"12"	"山西"	"V05D0195"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc081"	"山西榆次市"	"--"	"4下-8中"	"--"	"平"
"76"	"--"	"Ⅱ5Bc006B-3"	"白籽金瓜"	"葡匐蔓生"	"BAI ZI JIN GUA"	"4.0"	"113"	"无"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"*"	"圆形"	"致密"	"8"	"山西"	"V05D0201"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc046"	"山西左云县"	"--"	"4下-8中"	"--"	"平"
"77"	"--"	"Ⅱ5Bc045-1"	"岚县金瓜"	"葡匐蔓生"	"LAN XIAN JIN GUA"	"2.5"	"113"	"无"	"强"	"--"	"--"	"绿色"	"掌状"	"--"	"条斑"	"--"	"桔黄色"	"*一种果形,两种皮色"	"圆形"	"致密"	"14"	"山西"	"V05D0202"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc067"	"山西岚县"	"--"	"4下-8中"	"--"	"平"
"78"	"--"	"Ⅱ5Bc071-2"	"绛县吊瓜"	"葡匐蔓生"	"JIANG XIAN DIAO GUA"	"3.5"	"113"	"无"	"强"	"--"	"--"	"粉红色"	"掌状"	"--"	"斑"	"--"	"奶油色"	"*一种果形,两种皮色"	"圆柱形"	"致密"	"10"	"山西"	"V05D0215"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc080"	"山西绛县"	"--"	"4下-8中"	"--"	"平"
"79"	"--"	"Ⅱ5Bc076-3"	"黄窝瓜"	"葡匐蔓生"	"HUANG WO GUA"	"5.0"	"113"	"无"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"桔黄色"	"*"	"圆形"	"致密"	"15"	"山西"	"V05D0216"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bc083"	"山西绛县"	"--"	"4下-8中"	"--"	"平"
"80"	"--"	"9a-231"	"大白皮笋瓜"	"蔓生"	"DA BAI PI SUN GUA"	"2.1"	"--"	"--"	"--"	"--"	"黄"	"--"	"--"	"--"	"--"	"--"	"--"	"*"	"圆柱形"	"--"	"9"	"陕西"	"V05D0217"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bc197"	"陕西安康县"	"--"	"--"	"--"	"--"
"81"	"早"	"9a-283"	"白皮笋瓜"	"葡匐蔓生"	"BAI PI SUN GUA"	"5.0"	"70"	"--"	"强"	"--"	"黄"	"--"	"心形"	"--"	"--"	"--"	"--"	"*"	"圆柱形"	"圆滑致密"	"3"	"陕西"	"V05D0218"	"陕西农科院蔬菜所"	"耐肥水"	"Ⅱ5Bc202"	"陕西安康县"	"--"	"3下-6上"	"--"	"--"
"82"	"--"	"4a-206"	"红皮蕃瓜"	"蔓生"	"HONG PI FAN GUA"	"3.5"	"--"	"--"	"--"	"不抗花叶病毒病"	"红"	"--"	"--"	"--"	"--"	"--"	"--"	"*"	"扁圆形"	"--"	"15"	"陕西"	"V05D0219"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bc200"	"陕西安康县"	"--"	"--"	"--"	"--"
"83"	"--"	"9a-33"	"胡瓜"	"蔓生"	"HU GUA"	"2.5"	"--"	"--"	"--"	"--"	"--"	"--"	"掌状"	"--"	"网纹"	"--"	"褐色"	"--"	"圆柱形"	"--"	"--"	"陕西"	"V05D0223"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bc196"	"陕西佳县"	"--"	"--"	"--"	"棱"
"84"	"--"	"4a-172"	"小红蕃瓜"	"蔓生"	"XIAO HONG FAN GUA"	"5.5"	"--"	"--"	"--"	"--"	"--"	"--"	"圆形"	"甜"	"--"	"--"	"红色"	"--"	"扁圆形"	"--"	"20"	"陕西"	"V05D0228"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bc198"	"陕西宁陕县"	"--"	"--"	"--"	"平"
"85"	"--"	"9a-120"	"金瓜"	"蔓生"	"JIN GUA"	"3.5"	"--"	"--"	"--"	"--"	"--"	"--"	"圆形"	"淡而无味"	"--"	"--"	"红色"	"--"	"扁圆形"	"水多"	"15"	"陕西"	"V05D0229"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bc182"	"陕西平利县"	"--"	"--"	"--"	"平"
"86"	"--"	"9a-39"	"夏蕃瓜"	"--"	"XIA FAN GUA"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"陕西"	"V05D0233"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bc192"	"陕西清涧县"	"--"	"--"	"--"	"--"
"87"	"早"	"9a-289"	"黄皮荀瓜"	"葡匐蔓生"	"HUANG PI XUN GUA"	"1.3"	"80"	"--"	"强"	"--"	"黄"	"--"	"--"	"--"	"--"	"--"	"奶油色"	"*"	"圆柱形"	"细"	"8"	"陕西"	"V05D0235"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bc190"	"陕西西安市"	"--"	"3中下-6上8上"	"--"	"平"
"88"	"--"	"9a-266"	"洋笋瓜"	"蔓生"	"YANG SUN GUA"	"2.0"	"--"	"--"	"--"	"--"	"--"	"--"	"圆形"	"淡而无味"	"--"	"--"	"红色"	"--"	"圆形"	"水多"	"19"	"陕西"	"V05D0236"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bc189"	"陕西西乡县"	"--"	"--"	"--"	"平"
"89"	"晚"	"9a-134"	"蕃瓜"	"葡匐蔓生"	"FAN GUA"	"4.8"	"80"	"--"	"--"	"--"	"红"	"--"	"心形"	"淡而无味"	"--"	"--"	"--"	"*"	"扁圆形"	"软"	"9"	"陕西"	"V05D0237"	"陕西农科院蔬菜所"	"耐旱"	"Ⅱ5Bc195"	"陕西榆林县"	"绿色"	"5上-7下9中"	"--"	"--"
"90"	"--"	"9a-189"	"金瓜"	"蔓生"	"JIN GUA"	"5.0"	"--"	"--"	"--"	"--"	"--"	"--"	"圆形"	"淡而无味"	"--"	"--"	"红色"	"--"	"扁圆形"	"软"	"21"	"陕西"	"V05D0238"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bc184"	"陕西镇坪县"	"--"	"--"	"--"	"平"
"91"	"早"	"S26-9"	"金瓜"	"葡匐蔓生"	"JIN GUA"	"2.4"	"100"	"无"	"弱"	"中"	"桔黄"	"--"	"掌状"	"--"	"--"	"--"	"黄色"	"--"	"椭圆形"	"圆滑致密"	"--"	"上海"	"V05D0241"	"上海农科院园艺所"	"中"	"Ⅱ5Bc161"	"上海崇明县"	"--"	"3下-5下"	"--"	"棱"
"92"	"早"	"I2-073"	"地笋瓜"	"葡匐蔓生"	"DI SUN GUA"	"4.0"	"90"	"--"	"中"	"--"	"绿"	"--"	"心形"	"淡而无味"	"--"	"--"	"奶油色"	"--"	"圆柱形"	"致密软"	"10"	"四川"	"V05D0242"	"重庆市农科所"	"耐热涝"	"Ⅱ5Bc152"	"四川汉源县"	"--"	"3-6"	"--"	"棱"
"93"	"早"	"I2-099"	"青皮三月瓜"	"葡匐蔓生"	"QING PI SAN YUE GUA"	"0.5"	"90"	"少"	"中"	"--"	"绿"	"--"	"掌状"	"微甜"	"--"	"--"	"绿色"	"--"	"圆柱形"	"软"	"4"	"四川"	"V05D0243"	"重庆市农科所"	"强"	"Ⅱ5Bc144"	"四川会理县"	"--"	"1-3-8"	"--"	"棱"
"94"	"中"	"I2-005"	"金 瓜"	"攀援蔓生"	"JIN GUA"	"0.5"	"120"	"--"	"强"	"抗"	"--"	"--"	"掌状"	"--"	"--"	"--"	"黄色"	"--"	"扁圆形"	"--"	"10"	"四川"	"V05D0250"	"重庆市农科所"	"耐热"	"Ⅱ5Bc151"	"四川自贡市"	"--"	"3-7"	"--"	"平"
"95"	"早"	"I2-009"	"笋瓜"	"攀援蔓生"	"SUN GUA"	"1.5"	"90"	"--"	"强"	"--"	"黄"	"--"	"心形"	"--"	"--"	"--"	"褐色"	"--"	"椭圆形"	"--"	"7"	"四川"	"V05D0251"	"重庆市农科所"	"强"	"Ⅱ5Bc146"	"四川自贡市"	"--"	"3-5"	"--"	"平"
"96"	"晚"	"86-0454"	"南瓜"	"葡匐蔓生"	"NAN GUA"	"9.0"	"140"	"少"	"中"	"--"	"绿"	"--"	"掌状"	"微甜"	"--"	"--"	"绿色"	"可作饲料"	"椭圆形"	"--"	"8"	"新疆"	"V05D0252"	"新疆农科院园艺所"	"强"	"Ⅱ5Bc226"	"新疆"	"--"	"5中-10上"	"--"	"平"
"97"	"中"	"86-0457"	"奇台窝瓜"	"蔓生"	"QI TAI WO GUA"	"3.5"	"116"	"少"	"中"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1917"	"黄色"	"--"	"圆形"	"多纤维"	"10"	"新疆"	"V05D0254"	"新疆农科院园艺所"	"强"	"Ⅱ5Bc224"	"新疆奇台县"	"白色"	"5上-9下"	"--"	"平"
