"id"	"科名"	"生育期评价"	"品种名称"	"始果年龄"	"生育期D"	"省"	"外观评价"	"汁液"	"内质评价"	"早果性评价"	"维生素C"	"风味"	"特异及用途"	"可溶固形物"	"单果重评价"	"果实成熟期"	"肉质"	"可滴定酸％"	"果形"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"可溶性糖％"	"原产地"
"11"	"Rosaceae(蔷薇科)"	"极长"	"香早"	"5"	"228"	"四川"	"中"	"极多"	"上"	"中"	"1.00"	"甜"	"--"	"12.07"	"中"	"9月中"	"细松脆"	"0.190"	"圆锥"	"中"	"Pyrus pashia Buchet Ham.(川梨)"	"LIB0010"	"XIANG ZAO"	"143.40"	"Pyrus(梨属)"	"绿"	"8.98"	"四川金川"
"12"	"Rosaceae(蔷薇科)"	"中"	"得胜香"	"6"	"210"	"浙江"	"好"	"极多"	"上"	"晚"	"1.02"	"甜"	"--"	"10.30"	"中"	"9月中"	"细松脆"	"0.110"	"近圆"	"中"	"Pyrus spp.(梨)"	"LIB0011"	"DE SHENG XIANG"	"149.30"	"Pyrus(梨属)"	"绿"	"5.98"	"浙江杭州"
"13"	"Rosaceae(蔷薇科)"	"长"	"酥木"	"7"	"216"	"甘肃"	"中"	"中"	"中上"	"极晚"	"--"	"甜酸"	"--"	"12.23"	"中"	"9月中"	"粗松脆"	"0.500"	"圆"	"中"	"Pyrus spp.(梨)"	"LIB0012"	"SU MU"	"123.70"	"Pyrus(梨属)"	"黄白"	"9.39"	"甘肃陇中"
"14"	"Rosaceae(蔷薇科)"	"--"	"汉源白梨"	"6"	"216"	"四川"	"中"	"中"	"中上"	"晚"	"2.28"	"淡甜"	"--"	"11.20"	"中"	"9月中"	"中脆"	"0.090"	"倒卵"	"中"	"Pyrus bretschneideri Rehd.(白梨)"	"LIB0013"	"HAN YUAN BAI LI"	"117.50"	"Pyrus(梨属)"	"绿"	"7.95"	"四川汉源"
"15"	"Rosaceae(蔷薇科)"	"长"	"青海红梨"	"6"	"220"	"青海"	"中"	"多"	"中"	"晚"	"--"	"酸甜"	"--"	"12.70"	"小"	"9月中"	"中松脆"	"0.230"	"长圆"	"中"	"Pyrus spp.(梨)"	"LIB0014"	"QING HAI HONG LI"	"76.70"	"Pyrus(梨属)"	"黄绿"	"6.08"	"青海"
"16"	"Rosaceae(蔷薇科)"	"极长"	"安宁早"	"6"	"231"	"四川"	"好"	"中"	"中上"	"晚"	"0.99"	"甜"	"--"	"10.24"	"中"	"9月中"	"中松脆"	"0.130"	"近圆"	"中"	"Pyrus pashia Buchet Ham.(川梨)"	"LIB0015"	"AN NING ZAO"	"104.20"	"Pyrus(梨属)"	"绿"	"7.39"	"四川金川"
"17"	"Rosaceae(蔷薇科)"	"长"	"金川早"	"6"	"220"	"四川"	"中"	"多"	"中上"	"晚"	"1.03"	"甜酸"	"--"	"11.40"	"中"	"9月中"	"中脆"	"0.290"	"卵圆"	"中"	"Pyrus pashia Buchet Ham.(川梨)"	"LIB0016"	"JIN CHUAN ZAO"	"160.50"	"Pyrus(梨属)"	"黄绿"	"8.33"	"四川金川"
"18"	"Rosaceae(蔷薇科)"	"极长"	"大水核子"	"5"	"228"	"江苏"	"好"	"极多"	"中上"	"中"	"0.75"	"酸甜"	"个大,丰产,三倍体,可适量发展"	"10.20"	"大"	"9月中"	"细松脆"	"0.250"	"倒卵"	"中"	"Pyrus spp.(梨)"	"LIB0017"	"DA SHUI HE ZI"	"291.30"	"Pyrus(梨属)"	"黄绿"	"5.37"	"江苏泗阳"
"19"	"Rosaceae(蔷薇科)"	"中"	"硬枝青"	"6"	"210"	"江苏"	"中"	"中"	"中上"	"晚"	"--"	"甜"	"--"	"9.16"	"中"	"9月中"	"中脆"	"0.110"	"倒卵"	"中"	"Pyrus spp.(梨)"	"LIB0018"	"YING ZHI QING"	"125.00"	"Pyrus(梨属)"	"绿"	"4.94"	"江苏睢宁"
"20"	"Rosaceae(蔷薇科)"	"极长"	"天生伏"	"7"	"223"	"河南"	"好"	"多"	"上"	"极晚"	"0.88"	"甜"	"--"	"10.80"	"中"	"9月中"	"细松脆"	"0.220"	"倒圆锥"	"中"	"Pyrus spp.(梨)"	"LIB0019"	"TIAN SHENG FU"	"172.70"	"Pyrus(梨属)"	"绿"	"7.14"	"河南孟津"
"21"	"Rosaceae(蔷薇科)"	"长"	"无籽黄"	"4"	"211"	"新疆"	"中"	"少"	"中上"	"中"	"2.32"	"甜"	"--"	"12.53"	"中"	"8月下9月上"	"粗松软"	"0.230"	"圆"	"中"	"Pyrus sinkiangensis Yu(新疆梨)"	"LIB0020"	"WU ZI HUANG"	"107.20"	"Pyrus(梨属)"	"绿黄"	"8.50"	"新疆叶城"
"22"	"Rosaceae(蔷薇科)"	"极长"	"小水核"	"5"	"222"	"江苏"	"中"	"多"	"中上"	"中"	"--"	"酸甜"	"--"	"11.87"	"小"	"9月下"	"细脆"	"0.140"	"纺锤"	"晚"	"Pyrus spp.(梨)"	"LIB0021"	"XIAO SHUI HE"	"95.00"	"Pyrus(梨属)"	"绿"	"7.97"	"江苏泗阳"
"23"	"Rosaceae(蔷薇科)"	"长"	"金锤子"	"6"	"215"	"辽宁"	"中"	"多"	"中上"	"晚"	"--"	"酸甜"	"--"	"10.87"	"中"	"9月下"	"中松脆"	"0.230"	"圆柱"	"晚"	"Pyrus spp.(梨)"	"LIB0022"	"JIN CHUI ZI"	"165.40"	"Pyrus(梨属)"	"绿"	"8.54"	"辽宁庄河"
"24"	"Rosaceae(蔷薇科)"	"中"	"水罐"	"5"	"209"	"辽宁"	"中"	"中"	"中上"	"中"	"--"	"酸甜"	"--"	"14.80"	"中"	"9月下"	"中脆"	"0.270"	"扁圆"	"晚"	"Pyrus spp.(梨)"	"LIB0023"	"SHUI GUAN"	"107.50"	"Pyrus(梨属)"	"黄绿"	"11.24"	"辽宁"
"25"	"Rosaceae(蔷薇科)"	"长"	"沙河雪"	"7"	"218"	"河北"	"中"	"多"	"上"	"极晚"	"--"	"甜"	"--"	"12.88"	"大"	"9月下"	"细松脆"	"0.140"	"长圆"	"晚"	"Pyrus hopeiensis Yu(河北梨)"	"LIB0024"	"SHA HE XUE"	"210.30"	"Pyrus(梨属)"	"绿"	"7.06"	"河北"
"26"	"Rosaceae(蔷薇科)"	"长"	"早玉"	"--"	"216"	"国外"	"中"	"多"	"中"	"--"	"1.73"	"淡甜"	"--"	"9.45"	"小"	"8月上"	"中松脆"	"0.170"	"扁圆"	"--"	"Pyrus spp.(梨)"	"LIB0143"	"ZAO YU"	"78.80"	"Pyrus(梨属)"	"黄褐"	"6.87"	"日本"
"27"	"Rosaceae(蔷薇科)"	"中"	"王冠"	"6"	"204"	"国外"	"中"	"多"	"中上"	"晚"	"4.26"	"淡甜"	"--"	"10.27"	"小"	"8月上"	"中松脆"	"0.160"	"扁圆"	"晚"	"Pyrus spp.(梨)"	"LIB0146"	"WANG GUAN"	"76.90"	"Pyrus(梨属)"	"绿"	"6.05"	"日本"
"28"	"Rosaceae(蔷薇科)"	"短"	"王冠"	"5"	"207"	"国外"	"好"	"中"	"中"	"中"	"3.34"	"甜"	"--"	"11.07"	"小"	"7月中"	"中粗"	"0.140"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0146"	"WANG GUAN"	"96.87"	"Pyrus(梨属)"	"黄绿"	"7.57"	"日本"
"29"	"Rosaceae(蔷薇科)"	"中"	"幸水"	"3-4"	"204"	"国外"	"中"	"多"	"上"	"早中"	"4.35"	"甜"	"早熟,质优,丰产"	"12.77"	"中"	"8月中"	"细松脆"	"0.100"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0149"	"XING SHUI"	"122.00"	"Pyrus(梨属)"	"黄绿"	"7.27"	"日本"
"30"	"Rosaceae(蔷薇科)"	"短"	"幸水"	"3"	"213"	"国外"	"中"	"极多"	"上"	"早"	"1.86"	"甜"	"质优,可适量发展"	"12.32"	"中"	"8月上"	"细松脆"	"0.350"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0149"	"XING SHUI"	"194.60"	"Pyrus(梨属)"	"暗褐"	"5.68"	"日本"
"31"	"Rosaceae(蔷薇科)"	"长"	"多摩"	"--"	"211"	"国外"	"中"	"多"	"中上"	"--"	"2.33"	"酸甜"	"--"	"12.55"	"小"	"8月中"	"细松脆"	"0.100"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0150"	"DUO MO"	"71.60"	"Pyrus(梨属)"	"绿"	"7.94"	"日本"
"32"	"Rosaceae(蔷薇科)"	"中"	"丰水"	"3-4"	"205"	"国外"	"中"	"多"	"中上"	"早中"	"3.85"	"淡甜"	"--"	"9.80"	"中"	"8月中"	"细松脆"	"0.120"	"近圆"	"中"	"Pyrus spp.(梨)"	"LIB0151"	"FENG SHUI"	"142.00"	"Pyrus(梨属)"	"褐"	"7.71"	"日本"
"33"	"Rosaceae(蔷薇科)"	"长"	"丰水"	"5"	"226"	"国外"	"较好"	"极多"	"上"	"中"	"1.05"	"酸甜适度"	"质优,适量发展"	"13.60"	"中"	"8月下"	"细松脆"	"0.235"	"近圆"	"中晚"	"Pyrus spp.(梨)"	"LIB0151"	"FENG SHUI"	"170.80"	"Pyrus(梨属)"	"黄褐"	"8.14"	"日本"
"34"	"Rosaceae(蔷薇科)"	"长"	"国长"	"5"	"218"	"国外"	"好"	"多"	"中"	"中"	"1.53"	"酸甜"	"--"	"9.67"	"大"	"8月中"	"中松脆"	"0.190"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0152"	"GUO CHANG"	"214.30"	"Pyrus(梨属)"	"绿"	"7.74"	"日本"
"35"	"Rosaceae(蔷薇科)"	"中"	"博多青"	"5"	"210"	"国外"	"好"	"多"	"中上"	"中"	"1.59"	"淡甜"	"--"	"11.63"	"中"	"8月中"	"细松脆"	"0.230"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0153"	"BO DUO QING"	"135.30"	"Pyrus(梨属)"	"绿"	"7.58"	"日本"
"36"	"Rosaceae(蔷薇科)"	"长"	"博多青"	"3"	"235"	"国外"	"较好"	"多"	"中上"	"早"	"1.07"	"甜"	"--"	"14.83"	"中"	"8月上"	"细松脆"	"0.205"	"近圆"	"中"	"Pyrus spp.(梨)"	"LIB0153"	"BO DUO QING"	"178.50"	"Pyrus(梨属)"	"绿"	"8.86"	"日本"
"37"	"Rosaceae(蔷薇科)"	"长"	"八幸"	"--"	"218"	"国外"	"中"	"多"	"中上"	"--"	"2.75"	"淡甜"	"--"	"9.95"	"中"	"8月中"	"细松脆"	"0.110"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0154"	"BA XING"	"109.70"	"Pyrus(梨属)"	"黄绿"	"6.64"	"日本"
"38"	"Rosaceae(蔷薇科)"	"中"	"市原早生"	"4-5"	"205"	"国外"	"中"	"多"	"中上"	"中"	"1.20"	"甜"	"--"	"11.57"	"中"	"8月中"	"中脆"	"0.240"	"圆"	"早"	"Pyrus spp.(梨)"	"LIB0155"	"SHI YUAN ZAO SHENG"	"129.00"	"Pyrus(梨属)"	"褐"	"8.40"	"日本"
"39"	"Rosaceae(蔷薇科)"	"长"	"市原早生"	"3"	"220"	"国外"	"中"	"多"	"中"	"早"	"2.02"	"淡甜"	"--"	"10.59"	"大"	"8月上"	"中粗松"	"0.445"	"椭圆"	"中"	"Pyrus spp.(梨)"	"LIB0155"	"SHI YUAN ZAO SHENG"	"202.30"	"Pyrus(梨属)"	"黄褐"	"6.44"	"日本"
"40"	"Rosaceae(蔷薇科)"	"中"	"新水"	"3-4"	"202"	"国外"	"中"	"多"	"中上"	"早中"	"2.07"	"甜"	"--"	"11.10"	"小"	"8月中"	"细松脆"	"0.190"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0156"	"XIN SHUI"	"84.00"	"Pyrus(梨属)"	"黄褐"	"7.35"	"日本"
"41"	"Rosaceae(蔷薇科)"	"长"	"新水"	"4"	"228"	"国外"	"较好"	"多"	"中上"	"中"	"7.99"	"甜"	"早熟,质优,可适量发展"	"12.20"	"中"	"7月下"	"细松脆"	"0.450"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0156"	"XIN SHUI"	"132.80"	"Pyrus(梨属)"	"黄褐"	"5.99"	"日本"
"42"	"Rosaceae(蔷薇科)"	"中"	"独逸"	"5"	"205"	"国外"	"中"	"多"	"中上"	"中"	"2.70"	"甜"	"--"	"12.27"	"中"	"8月中下"	"中脆"	"0.180"	"扁圆"	"早中"	"Pyrus spp.(梨)"	"LIB0157"	"DU YI"	"107.50"	"Pyrus(梨属)"	"黄褐"	"6.65"	"日本"
"43"	"Rosaceae(蔷薇科)"	"短"	"独逸"	"3"	"214"	"国外"	"中"	"中"	"中上"	"早"	"2.36"	"甜"	"--"	"12.63"	"中"	"8月上"	"中粗松"	"0.230"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0157"	"DU YI"	"177.80"	"Pyrus(梨属)"	"红褐"	"5.51"	"日本"
"44"	"Rosaceae(蔷薇科)"	"中"	"二宫白"	"3"	"206"	"国外"	"好"	"多"	"中上"	"早"	"3.58"	"酸甜"	"--"	"11.90"	"中"	"8月下"	"细松脆"	"0.210"	"倒卵"	"中"	"Pyrus spp.(梨)"	"LIB0158"	"ER GONG BAI"	"100.50"	"Pyrus(梨属)"	"绿"	"7.43"	"日本"
"45"	"Rosaceae(蔷薇科)"	"长"	"二宫白"	"3"	"222"	"国外"	"较好"	"中"	"中上"	"早"	"5.26"	"甜"	"--"	"11.29"	"中"	"7月下"	"中粗"	"0.315"	"倒卵"	"早"	"Pyrus spp.(梨)"	"LIB0158"	"ER GONG BAI"	"136.70"	"Pyrus(梨属)"	"黄绿"	"5.71"	"日本"
"46"	"Rosaceae(蔷薇科)"	"中"	"水晶"	"5"	"206"	"国外"	"中"	"多"	"中"	"中"	"5.29"	"淡甜"	"--"	"10.43"	"小"	"8月下"	"细松脆"	"0.360"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0159"	"SHUI JING"	"98.30"	"Pyrus(梨属)"	"绿"	"7.44"	"日本"
"47"	"Rosaceae(蔷薇科)"	"中"	"二十世纪"	"6"	"208"	"国外"	"中"	"多"	"中上"	"晚"	"2.07"	"甜"	"--"	"11.10"	"中"	"8月下"	"中脆"	"0.190"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0160"	"ER SHI SHI JI"	"130.50"	"Pyrus(梨属)"	"黄绿"	"7.35"	"日本"
"48"	"Rosaceae(蔷薇科)"	"长"	"爱宕"	"--"	"218"	"国外"	"中"	"多"	"中上"	"--"	"1.88"	"淡甜"	"--"	"11.30"	"中"	"8月下"	"中松脆"	"0.120"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0165"	"AI DANG"	"106.70"	"Pyrus(梨属)"	"褐"	"8.55"	"日本"
"49"	"Rosaceae(蔷薇科)"	"长"	"清玉"	"--"	"211"	"国外"	"好"	"多"	"中上"	"--"	"2.82"	"淡甜"	"--"	"10.00"	"中"	"8月下"	"中松脆"	"0.120"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0166"	"QING YU"	"118.70"	"Pyrus(梨属)"	"绿"	"7.15"	"日本"
"50"	"Rosaceae(蔷薇科)"	"中"	"驹泽"	"6"	"207"	"国外"	"中"	"多"	"中上"	"晚"	"2.88"	"甜"	"--"	"13.27"	"中"	"8月下"	"中松脆"	"0.280"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0167"	"JU ZE"	"130.00"	"Pyrus(梨属)"	"黄绿"	"7.87"	"日本"
"51"	"Rosaceae(蔷薇科)"	"短"	"驹泽"	"4"	"219"	"国外"	"中"	"中"	"中上"	"中"	"2.42"	"浓甜"	"--"	"12.80"	"中"	"8月下"	"中粗"	"0.220"	"近圆"	"中晚"	"Pyrus spp.(梨)"	"LIB0167"	"JU ZE"	"171.90"	"Pyrus(梨属)"	"黄绿"	"10.31"	"日本"
"52"	"Rosaceae(蔷薇科)"	"中"	"江岛"	"6"	"209"	"国外"	"中"	"多"	"中上"	"晚"	"4.11"	"淡甜"	"--"	"10.60"	"中"	"8月下"	"中松脆"	"0.170"	"倒卵"	"中"	"Pyrus spp.(梨)"	"LIB0168"	"JIANG DAO"	"125.00"	"Pyrus(梨属)"	"黄绿"	"7.63"	"日本"
"53"	"Rosaceae(蔷薇科)"	"长"	"江岛"	"3"	"221"	"国外"	"好"	"多"	"中上"	"早"	"2.59"	"甜"	"--"	"12.47"	"中"	"8月上"	"中粗松"	"0.185"	"倒卵"	"中"	"Pyrus spp.(梨)"	"LIB0168"	"JIANG DAO"	"190.40"	"Pyrus(梨属)"	"黄绿"	"8.09"	"日本"
"54"	"Rosaceae(蔷薇科)"	"中"	"长十郎"	"5"	"209"	"国外"	"中"	"多"	"中上"	"中"	"2.44"	"甜"	"--"	"11.33"	"中"	"8月下"	"中松脆"	"0.140"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0169"	"CHANG SHI LANG"	"172.00"	"Pyrus(梨属)"	"褐"	"6.58"	"日本"
"55"	"Rosaceae(蔷薇科)"	"长"	"长十郎"	"3"	"227"	"国外"	"较好"	"中"	"中"	"早"	"0.85"	"甜"	"--"	"12.80"	"大"	"8月上"	"中粗紧"	"0.185"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0169"	"CHANG SHI LANG"	"206.00"	"Pyrus(梨属)"	"黄褐"	"5.30"	"日本"
"56"	"Rosaceae(蔷薇科)"	"长"	"朝日"	"6"	"211"	"国外"	"中"	"多"	"上"	"晚"	"3.65"	"甜"	"--"	"11.47"	"中"	"8月下"	"中松脆"	"0.140"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0170"	"CHAO RI"	"162.80"	"Pyrus(梨属)"	"黄绿"	"7.77"	"日本"
"57"	"Rosaceae(蔷薇科)"	"短"	"朝日"	"4"	"217"	"国外"	"中"	"中"	"中上"	"中"	"1.64"	"甜"	"--"	"13.80"	"中"	"8月中"	"中粗"	"0.245"	"圆"	"中"	"Pyrus spp.(梨)"	"LIB0170"	"CHAO RI"	"120.10"	"Pyrus(梨属)"	"黄"	"9.23"	"日本"
"58"	"Rosaceae(蔷薇科)"	"中"	"祗园"	"5"	"206"	"国外"	"中"	"极多"	"中上"	"中"	"3.46"	"甜"	"--"	"12.80"	"中"	"8月下"	"细松脆"	"0.180"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0171"	"ZHI YUAN"	"121.70"	"Pyrus(梨属)"	"黄绿"	"7.59"	"日本"
"59"	"Rosaceae(蔷薇科)"	"短"	"祗园"	"4"	"217"	"国外"	"中"	"多"	"中上"	"中"	"0.59"	"甜"	"--"	"12.54"	"中"	"8月中"	"中粗松"	"0.280"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0171"	"ZHI YUAN"	"177.20"	"Pyrus(梨属)"	"绿"	"8.04"	"日本"
"60"	"Rosaceae(蔷薇科)"	"中"	"菊水"	"6"	"206"	"国外"	"中"	"极多"	"中上"	"晚"	"3.46"	"甜"	"--"	"12.80"	"中"	"8月下"	"细松脆"	"0.180"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0172"	"JU SHUI"	"110.70"	"Pyrus(梨属)"	"黄绿"	"7.59"	"日本"
"61"	"Rosaceae(蔷薇科)"	"短"	"菊水"	"3"	"210"	"国外"	"中"	"多"	"中上"	"早"	"1.95"	"甜"	"--"	"13.95"	"中"	"8月中"	"中粗松"	"0.290"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0172"	"JU SHUI"	"174.90"	"Pyrus(梨属)"	"绿"	"7.04"	"日本"
"62"	"Rosaceae(蔷薇科)"	"中"	"相模"	"5-6"	"205"	"国外"	"中"	"多"	"中上"	"中晚"	"1.77"	"甜"	"--"	"14.13"	"中"	"8月中下"	"细松脆"	"0.140"	"圆"	"早中"	"Pyrus spp.(梨)"	"LIB0173"	"XIANG MO"	"103.00"	"Pyrus(梨属)"	"绿"	"7.72"	"日本"
"63"	"Rosaceae(蔷薇科)"	"短"	"相模"	"4"	"211"	"国外"	"中"	"多"	"中上"	"中"	"1.60"	"甜"	"--"	"14.53"	"中"	"7月下"	"中粗松"	"0.360"	"近圆"	"早"	"Pyrus spp.(梨)"	"LIB0173"	"XIANG MO"	"111.50"	"Pyrus(梨属)"	"黄褐"	"5.82"	"日本"
"64"	"Rosaceae(蔷薇科)"	"中"	"湘南"	"4"	"203"	"国外"	"中"	"多"	"中上"	"中"	"0.64"	"淡甜"	"--"	"10.67"	"中"	"9月上"	"中松脆"	"0.190"	"阔圆锥"	"中"	"Pyrus spp.(梨)"	"LIB0174"	"XIANG NAN"	"158.70"	"Pyrus(梨属)"	"褐"	"8.48"	"日本"
"65"	"Rosaceae(蔷薇科)"	"长"	"湘南"	"2"	"225"	"国外"	"中"	"多"	"中上"	"极早"	"1.51"	"酸甜适度"	"早果,丰产,可大量发展"	"10.40"	"极大"	"8月下"	"中粗松"	"0.140"	"圆锥"	"中晚"	"Pyrus spp.(梨)"	"LIB0174"	"XIANG NAN"	"326.40"	"Pyrus(梨属)"	"红褐"	"8.23"	"日本"
"66"	"Rosaceae(蔷薇科)"	"长"	"幸藏"	"4"	"216"	"国外"	"中"	"多"	"中上"	"中"	"1.88"	"酸甜"	"--"	"11.84"	"中"	"8月下9月上"	"中松脆"	"0.220"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0175"	"XING CANG"	"144.50"	"Pyrus(梨属)"	"黄褐"	"7.09"	"日本"
"67"	"Rosaceae(蔷薇科)"	"长"	"早生赤"	"5"	"211"	"国外"	"中"	"多"	"中上"	"中"	"1.98"	"酸甜"	"--"	"12.93"	"中"	"8月下9月上"	"中松脆"	"0.180"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0176"	"ZAO SHENG CHI"	"149.70"	"Pyrus(梨属)"	"橙黄"	"9.48"	"日本"
"68"	"Rosaceae(蔷薇科)"	"长"	"早生赤"	"4"	"234"	"国外"	"中"	"少"	"中下"	"中"	"1.99"	"淡甜"	"--"	"11.30"	"中"	"8月下"	"粗"	"0.245"	"扁圆"	"中晚"	"Pyrus spp.(梨)"	"LIB0176"	"ZAO SHENG CHI"	"130.90"	"Pyrus(梨属)"	"黄褐"	"6.22"	"日本"
"69"	"Rosaceae(蔷薇科)"	"长"	"海州"	"--"	"216"	"国外"	"中"	"多"	"中"	"--"	"0.60"	"甜酸"	"--"	"10.04"	"中"	"9月中"	"中松脆"	"0.160"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0182"	"HAI ZHOU"	"127.00"	"Pyrus(梨属)"	"褐"	"6.94"	"朝鲜"
"70"	"Rosaceae(蔷薇科)"	"中"	"新高"	"5"	"209"	"国外"	"中"	"极多"	"中上"	"中"	"1.30"	"甜"	"--"	"11.87"	"中"	"9月中"	"中脆"	"0.210"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0183"	"XIN GAO"	"149.30"	"Pyrus(梨属)"	"黄褐"	"9.69"	"日本"
"71"	"Rosaceae(蔷薇科)"	"长"	"松岛"	"6"	"212"	"国外"	"中"	"多"	"中上"	"晚"	"0.49"	"甜酸"	"--"	"11.73"	"中"	"9月上中"	"中松脆"	"0.280"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0184"	"SONG DAO"	"132.50"	"Pyrus(梨属)"	"黄褐"	"8.24"	"日本"
"72"	"Rosaceae(蔷薇科)"	"长"	"松岛"	"3"	"233"	"国外"	"中"	"中"	"中上"	"早"	"2.21"	"甜"	"丰产,质优,可适量发展"	"12.50"	"大"	"9月上"	"中粗松"	"0.275"	"扁圆"	"中晚"	"Pyrus spp.(梨)"	"LIB0184"	"SONG DAO"	"286.20"	"Pyrus(梨属)"	"赤褐"	"7.52"	"日本"
"73"	"Rosaceae(蔷薇科)"	"中"	"赤穗"	"5"	"205"	"国外"	"中"	"多"	"中上"	"中"	"2.10"	"甜"	"--"	"12.20"	"小"	"9月中"	"中脆"	"0.220"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0185"	"CHI SUI"	"84.70"	"Pyrus(梨属)"	"绿褐"	"7.91"	"日本"
"74"	"Rosaceae(蔷薇科)"	"长"	"赤穗"	"3"	"230"	"国外"	"较好"	"中"	"中"	"早"	"3.02"	"甜"	"--"	"11.83"	"中"	"7月下"	"中粗"	"0.245"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIB0185"	"CHI SUI"	"123.90"	"Pyrus(梨属)"	"赤褐"	"5.55"	"日本"
"75"	"Rosaceae(蔷薇科)"	"长"	"黄蜜"	"5"	"215"	"国外"	"中"	"多"	"中上"	"中"	"4.20"	"甜"	"--"	"13.30"	"中"	"9月中"	"中脆"	"0.170"	"阔圆锥"	"中"	"Pyrus spp.(梨)"	"LIB0187"	"HUANG MI"	"165.30"	"Pyrus(梨属)"	"褐"	"7.12"	"日本"
"76"	"Rosaceae(蔷薇科)"	"短"	"黄蜜"	"3"	"218"	"国外"	"中"	"中"	"中上"	"早"	"2.90"	"甜"	"--"	"13.27"	"极大"	"9月上"	"中粗松"	"0.180"	"阔卵"	"中晚"	"Pyrus spp.(梨)"	"LIB0187"	"HUANG MI"	"354.70"	"Pyrus(梨属)"	"黄褐"	"7.22"	"日本"
"77"	"Rosaceae(蔷薇科)"	"中"	"土佐锦"	"5-6"	"207"	"国外"	"中"	"中"	"中"	"中晚"	"2.83"	"淡甜"	"--"	"10.48"	"中"	"9月中"	"中脆"	"0.200"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIB0188"	"TU ZUO JIN"	"127.80"	"Pyrus(梨属)"	"红褐"	"6.27"	"日本"
"78"	"Rosaceae(蔷薇科)"	"长"	"土佐锦"	"3"	"231"	"国外"	"中"	"中"	"中上"	"早"	"2.01"	"甜"	"含糖高,可用于育种"	"13.60"	"极大"	"8月下"	"中粗紧"	"0.155"	"阔圆锥"	"中晚"	"Pyrus spp.(梨)"	"LIB0188"	"TU ZUO JIN"	"386.20"	"Pyrus(梨属)"	"黄褐"	"9.08"	"日本"
