"id"	"科名"	"生育期评价"	"品种名称"	"始果年龄"	"生育期D"	"省"	"外观评价"	"汁液"	"内质评价"	"早果性评价"	"维生素C"	"风味"	"特异及用途"	"可溶固形物"	"单果重评价"	"果实成熟期"	"肉质"	"可滴定酸％"	"果形"	"成熟期评价"	"学名"	"统一编号"	"译名"	"单果重G"	"属名"	"色泽"	"可溶性糖％"	"原产地"
"94"	"Rosaceae(蔷薇科)"	"中"	"圣马丽尼"	"6-7"	"204"	"国外"	"中"	"中"	"中上"	"晚"	"6.43"	"甜酸微香"	"--"	"10.50"	"中"	"8月下"	"细紧沙"	"0.250"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0335"	"SHENG MA LI NI"	"140.80"	"Pyrus(梨属)"	"黄绿"	"8.79"	"意大利"
"95"	"Rosaceae(蔷薇科)"	"长"	"巴梨"	"4-5"	"213"	"国外"	"中"	"极多"	"极上"	"中"	"6.73"	"酸甜香"	"果大,丰产,质极优,可适量发展"	"13.85"	"大"	"8月下9月上"	"细紧软"	"0.280"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0337"	"BA LI"	"216.80"	"Pyrus(梨属)"	"黄"	"9.87"	"英国"
"96"	"Rosaceae(蔷薇科)"	"中"	"日面红"	"5"	"205"	"国外"	"好"	"中"	"中上"	"中"	"6.26"	"甜粉香"	"--"	"15.67"	"大"	"8月下9月上"	"中松软沙"	"0.250"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0342"	"RI MIAN HONG"	"256.70"	"Pyrus(梨属)"	"绿黄"	"9.51"	"比利时"
"97"	"Rosaceae(蔷薇科)"	"长"	"康佛伦"	"8"	"211"	"国外"	"中"	"少"	"上"	"极晚"	"6.16"	"甜"	"丰产,质优,可适量发展"	"13.50"	"中"	"9月上"	"细紧软"	"0.130"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0343"	"KANG FO LUN"	"154.30"	"Pyrus(梨属)"	"绿"	"9.90"	"英国"
"98"	"Rosaceae(蔷薇科)"	"中"	"身不知"	"3-5"	"209"	"国外"	"中"	"中"	"中"	"早中"	"3.58"	"甜微香"	"相当丰产"	"11.47"	"中"	"9月上"	"中沙面"	"0.110"	"倒卵"	"中"	"Pyrus spp.(梨)"	"LIB0344"	"SHEN BU ZHI"	"189.00"	"Pyrus(梨属)"	"绿"	"7.56"	"日本"
"99"	"Rosaceae(蔷薇科)"	"长"	"安古列母"	"6-7"	"217"	"国外"	"中"	"多"	"中上"	"晚"	"6.63"	"甜微香"	"三倍体"	"15.73"	"大"	"9月中"	"细紧软"	"0.260"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0347"	"AN GU LIE MU"	"201.00"	"Pyrus(梨属)"	"淡黄"	"8.21"	"法国"
"100"	"Rosaceae(蔷薇科)"	"长"	"康德"	"5-6"	"216"	"国外"	"中"	"中"	"中"	"中晚"	"3.90"	"酸甜微香"	"--"	"15.83"	"中"	"9月中"	"细紧软"	"0.300"	"倒卵"	"中"	"Pyrus spp.(梨)"	"LIB0348"	"KANG DE"	"183.00"	"Pyrus(梨属)"	"淡绿"	"8.67"	"美国"
"101"	"Rosaceae(蔷薇科)"	"极长"	"康德"	"4"	"240"	"国外"	"中"	"中"	"中"	"中"	"2.19"	"酸甜"	"--"	"12.90"	"大"	"9月中"	"中粗紧"	"0.560"	"倒卵"	"晚"	"Pyrus spp.(梨)"	"LIB0348"	"KANG DE"	"278.90"	"Pyrus(梨属)"	"黄绿"	"8.23"	"美国"
"102"	"Rosaceae(蔷薇科)"	"长"	"贵妃"	"4-6"	"212"	"国外"	"中"	"多"	"中上"	"中晚"	"5.85"	"酸甜粉香"	"--"	"14.83"	"中"	"9月下"	"中紧软"	"0.270"	"倒卵"	"晚"	"Pyrus spp.(梨)"	"LIB0350"	"GUI FEI"	"189.30"	"Pyrus(梨属)"	"黄绿"	"8.11"	"美国"
"103"	"Rosaceae(蔷薇科)"	"极长"	"贵妃"	"4"	"241"	"国外"	"较差"	"少"	"中下"	"中"	"2.13"	"淡酸甜"	"--"	"9.80"	"中"	"9月中"	"中粗松"	"0.335"	"纺锤"	"晚"	"Pyrus spp.(梨)"	"LIB0350"	"GUI FEI"	"192.60"	"Pyrus(梨属)"	"绿褐"	"5.62"	"美国"
"104"	"Rosaceae(蔷薇科)"	"长"	"路易斯"	"6"	"220"	"国外"	"中"	"多"	"中"	"晚"	"--"	"甜酸微涩"	"三倍体"	"14.42"	"大"	"9月下"	"细紧软"	"0.490"	"葫芦"	"晚"	"Pyrus spp.(梨)"	"LIJ0351"	"LU YI SI"	"207.70"	"Pyrus(梨属)"	"黄白"	"8.36"	"法国"
"105"	"Rosaceae(蔷薇科)"	"长"	"久松"	"5"	"224"	"国外"	"中"	"中"	"中"	"中"	"1.79"	"甜"	"--"	"11.64"	"中"	"8月中"	"中粗"	"0.300"	"阔圆锥"	"中"	"Pyrus spp.(梨)"	"LIJ0353"	"JIU SONG"	"148.95"	"Pyrus(梨属)"	"黄褐"	"7.71"	"日本"
"106"	"Rosaceae(蔷薇科)"	"短"	"高雄"	"5"	"207"	"国外"	"中"	"多"	"中上"	"中"	"1.96"	"甜"	"--"	"12.55"	"中"	"8月中"	"中粗松"	"0.200"	"倒卵"	"中"	"Pyrus spp.(梨)"	"LIJ0354"	"GAO XIONG"	"145.80"	"Pyrus(梨属)"	"黄绿"	"9.13"	"日本"
"107"	"Rosaceae(蔷薇科)"	"长"	"大菊水"	"5"	"226"	"国外"	"较好"	"中"	"中上"	"中"	"2.58"	"甜"	"--"	"11.22"	"小"	"8月上中"	"中细"	"0.250"	"扁圆"	"中"	"Pyrus spp.(梨)"	"LIJ0378"	"DA JU SHUI"	"98.15"	"Pyrus(梨属)"	"绿"	"9.16"	"日本"
"108"	"Rosaceae(蔷薇科)"	"长"	"新世纪"	"3"	"222"	"国外"	"中"	"多"	"中上"	"早"	"2.68"	"甜"	"丰产,质优,适量发展"	"11.90"	"中"	"7月下"	"细松脆"	"0.230"	"圆"	"早"	"Pyrus spp.(梨)"	"LIJ0392"	"XIN SHI JI"	"126.20"	"Pyrus(梨属)"	"黄褐"	"8.38"	"日本"
"109"	"Rosaceae(蔷薇科)"	"长"	"罗阳晚"	"4"	"236"	"国外"	"中"	"多"	"上"	"中"	"2.00"	"酸甜适度"	"质优,晚熟,可用于育种"	"13.30"	"大"	"8月下"	"细松软"	"0.300"	"扁圆"	"中晚"	"Pyrus spp.(梨)"	"LIJ0395"	"LUO YANG WAN"	"268.60"	"Pyrus(梨属)"	"绿"	"7.19"	"日本"
"110"	"Rosaceae(蔷薇科)"	"短"	"吾妻锦"	"4"	"219"	"国外"	"中"	"多"	"中"	"中"	"1.65"	"甜"	"--"	"12.50"	"中"	"8月上中"	"细松脆"	"0.200"	"圆"	"中"	"Pyrus spp.(梨)"	"LIJ0396"	"WU QI JIN"	"143.40"	"Pyrus(梨属)"	"黄褐"	"8.81"	"日本"
"111"	"Rosaceae(蔷薇科)"	"长"	"八云"	"3"	"232"	"国外"	"中"	"中"	"中"	"早"	"3.10"	"甜"	"--"	"11.55"	"中"	"7月下"	"中粗"	"0.280"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIJ0443"	"BA YUN"	"107.50"	"Pyrus(梨属)"	"黄绿"	"5.60"	"日本"
"112"	"Rosaceae(蔷薇科)"	"长"	"早生长十郎"	"3"	"234"	"国外"	"较好"	"中"	"中"	"早"	"1.46"	"甜"	"--"	"12.05"	"中"	"8月上"	"中粗松"	"0.265"	"圆"	"中"	"Pyrus spp.(梨)"	"LIJ0444"	"ZAO SHENG CHANG SHI LANG"	"134.30"	"Pyrus(梨属)"	"红褐"	"4.88"	"日本"
"113"	"Rosaceae(蔷薇科)"	"长"	"石井早生"	"3"	"231"	"国外"	"中"	"多"	"中上"	"早"	"2.23"	"甜"	"--"	"11.20"	"中"	"7月下"	"中粗松"	"0.235"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIJ0445"	"SHI JING ZAO SHENG"	"174.60"	"Pyrus(梨属)"	"黄褐"	"5.80"	"日本"
"114"	"Rosaceae(蔷薇科)"	"短"	"翠星"	"4"	"213"	"国外"	"中"	"多"	"上"	"中"	"2.43"	"浓甜"	"--"	"13.97"	"中"	"8月下"	"细松脆"	"0.250"	"扁圆"	"中晚"	"Pyrus spp.(梨)"	"LIJ0448"	"CUI XING"	"182.40"	"Pyrus(梨属)"	"绿"	"8.55"	"日本"
"115"	"Rosaceae(蔷薇科)"	"极长"	"早生二十世纪"	"3"	"246"	"国外"	"较好"	"中"	"中"	"早"	"6.27"	"甜"	"--"	"10.66"	"中"	"7月下"	"中粗松"	"0.370"	"扁圆"	"早"	"Pyrus spp.(梨)"	"LIJ0453"	"ZAO SHENG ER SHI SHI JI"	"111.40"	"Pyrus(梨属)"	"绿"	"5.07"	"日本"
"116"	"Rosaceae(蔷薇科)"	"中"	"保利阿斯卡"	"2*"	"207"	"国外"	"中"	"少"	"中"	"早"	"--"	"酸甜微香"	"--"	"9.02"	"小"	"6月下"	"中脆软"	"0.130"	"葫芦"	"极早"	"Pyrus spp.(梨)"	"LIB0466"	"BAO LI A SI KA"	"50.20"	"Pyrus(梨属)"	"淡黄"	"7.49"	"保加利亚"
"117"	"Rosaceae(蔷薇科)"	"中"	"朱丽比恩"	"3*"	"204"	"国外"	"中"	"少"	"中"	"中"	"--"	"酸甜微香"	"--"	"10.07"	"小"	"7月上"	"中松软"	"0.310"	"葫芦"	"极早"	"Pyrus spp.(梨)"	"LIB0467"	"ZHU LI BI EN"	"91.30"	"Pyrus(梨属)"	"淡绿"	"5.96"	"东德"
"118"	"Rosaceae(蔷薇科)"	"中"	"利布林"	"5*"	"204"	"国外"	"好"	"多"	"中上"	"晚"	"--"	"酸甜粉香"	"--"	"11.03"	"中"	"8月中"	"细脆软溶"	"0.290"	"葫芦"	"早"	"Pyrus spp.(梨)"	"LIB0469"	"LI BU LIN"	"187.50"	"Pyrus(梨属)"	"绿黄"	"6.25"	"东德"
"119"	"Rosaceae(蔷薇科)"	"中"	"特雷沃"	"4*"	"203"	"国外"	"中"	"少"	"中"	"中"	"--"	"甜酸微香"	"--"	"10.76"	"中"	"8月上中"	"中紧软"	"0.470"	"葫芦"	"早"	"Pyrus spp.(梨)"	"LIB0471"	"TE LEI WO"	"152.70"	"Pyrus(梨属)"	"绿黄"	"6.36"	"德国"
"120"	"Rosaceae(蔷薇科)"	"中"	"洋1"	"4*"	"205"	"国外"	"中"	"中"	"中上"	"中"	"--"	"酸甜微涩香"	"--"	"11.61"	"中"	"8月下9月上"	"细紧软溶"	"0.480"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0472"	"YANG 1"	"116.00"	"Pyrus(梨属)"	"淡黄"	"6.00"	"美国"
"121"	"Rosaceae(蔷薇科)"	"中"	"洋2"	"3*"	"205"	"国外"	"中"	"中"	"中上"	"中"	"--"	"酸甜粉香"	"--"	"11.63"	"中"	"8月下9月上"	"中脆溶"	"0.220"	"葫芦"	"中"	"Pyrus spp.(梨)"	"LIB0473"	"YANG 2"	"151.90"	"Pyrus(梨属)"	"黄白"	"7.35"	"美国"
