"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"36"	"早"	"5-B-b-22-27"	"习水南瓜"	"葡匐蔓生"	"XI SHUI NAN GUA"	"3.5"	"93"	"--"	"--"	"--"	"绿"	"--"	"掌状"	"甜"	"--"	"--"	"褐色"	"老熟果重"	"圆形"	"--"	"6"	"贵州"	"V05C0080"	"贵州农科院园艺所"	"--"	"Ⅱ5Bb378"	"贵州习水县"	"绿色"	"3下"	"--"	"--"
"37"	"早"	"5-B-b-22-6"	"镇远磨盘瓜"	"葡匐蔓生"	"ZHEN YUAN MO PAN GUA"	"9.5"	"93"	"--"	"--"	"--"	"--"	"--"	"掌状"	"甜"	"--"	"--"	"绿色"	"老熟果重"	"圆形"	"--"	"15"	"贵州"	"V05C0081"	"贵州农科院园艺所"	"--"	"Ⅱ5Bb379"	"贵州镇远县"	"--"	"3下"	"--"	"--"
"38"	"中"	"G36-42"	"葫芦形南瓜"	"攀援蔓生"	"HU LU XING NAN GUA"	"2.9"	"130"	"少"	"中"	"--"	"--"	"--"	"掌状"	"中"	"--"	"900"	"黄色"	"--"	"梨形"	"致密"	"22"	"海南"	"V05C0082"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb560"	"海南白沙县"	"--"	"1下-3上"	"--"	"--"
"39"	"中"	"G36-31"	"苗村扁南瓜"	"攀援蔓生"	"MIAO CUN BIAN NAN GUA"	"2.3"	"120"	"少"	"中"	"--"	"--"	"--"	"掌状"	"中"	"--"	"850"	"褐色"	"--"	"扁圆形"	"致密"	"22"	"海南"	"V05C0083"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb550"	"海南白沙县"	"--"	"11下-3上"	"--"	"--"
"40"	"中"	"G36-53"	"阜途南瓜"	"攀援蔓生"	"FU TU NAN GUA"	"5.1"	"135"	"少"	"强"	"--"	"--"	"--"	"掌状"	"中"	"--"	"1600"	"--"	"--"	"圆柱形"	"致密"	"29"	"海南"	"V05C0084"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb622"	"海南白沙县"	"--"	"11中-3下"	"--"	"--"
"41"	"中"	"G36-54"	"苗村长南瓜"	"攀援蔓生"	"MIAO CUN CHANG NAN GUA"	"7.5"	"140"	"少"	"强"	"--"	"--"	"--"	"掌状"	"中"	"--"	"1750"	"黄色"	"--"	"圆柱形"	"致密"	"23"	"海南"	"V05C0087"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb623"	"海南白沙县"	"--"	"11中-3下"	"--"	"--"
"42"	"中"	"G36-34"	"南瓜"	"攀援蔓生"	"NAN GUA"	"3.5"	"120"	"少"	"中"	"--"	"--"	"--"	"掌状"	"淡而无味"	"--"	"1000"	"黄色"	"心室大,薄肉"	"扁圆形"	"致密"	"26"	"海南"	"V05C0088"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb553"	"海南昌江县"	"--"	"11下-3上"	"--"	"--"
"43"	"晚"	"G36-63"	"南瓜"	"攀援蔓生"	"NAN GUA"	"7.0"	"150"	"少"	"中"	"--"	"--"	"--"	"掌状"	"淡而无味"	"--"	"1350"	"褐色"	"--"	"圆形"	"软"	"29"	"海南"	"V05C0089"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb630"	"海南澄迈县"	"--"	"11中-3下"	"--"	"--"
"44"	"晚"	"G36-18"	"盒瓜"	"葡匐蔓生"	"HE GUA"	"6.5"	"120"	"--"	"中"	"--"	"--"	"--"	"掌状"	"甜"	"--"	"1250"	"褐色"	"--"	"扁圆形"	"软"	"29"	"海南"	"V05C0090"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb450"	"海南海口市"	"--"	"2-3"	"--"	"--"
"45"	"中"	"G36-16"	"合瓜"	"葡匐蔓生"	"HE GUA"	"8.7"	"115"	"--"	"中"	"--"	"--"	"--"	"掌状"	"微甜"	"--"	"1250"	"褐色"	"--"	"圆形"	"中等"	"25"	"海南"	"V05C0091"	"广东农科院经作所"	"耐热"	"Ⅱ5Bb435"	"海南琼山县"	"--"	"2-3"	"--"	"具瘤"
