"id"	"熟性"	"保存编号"	"品种名称"	"生长习性"	"译名"	"单瓜重"	"生育期"	"瓜面腊粉"	"分枝性"	"抗病虫性"	"商瓜皮色"	"老瓜次色"	"叶形"	"风味"	"老瓜斑纹"	"亩产"	"老瓜皮色"	"备注"	"瓜形"	"肉质"	"雌首花节位"	"省"	"统一编号"	"保存单位"	"抗逆性"	"种质库编号"	"种子来源"	"商瓜次色"	"栽培季节"	"商瓜斑纹"	"瓜棱形状"
"80"	"中"	"121"	"爬蔓角瓜"	"半蔓生"	"PA MAN JIAO GUA"	"4.5"	"85"	"少"	"弱"	"抗"	"绿"	"--"	"掌状"	"--"	"--"	"1500"	"奶油色"	"--"	"圆柱形"	"圆滑致密"	"6"	"吉林"	"V05C0247"	"吉林省蔬菜所"	"强"	"Ⅱ5Bb489"	"吉林德惠县"	"--"	"5上-7中"	"--"	"平"
"81"	"中"	"295"	"青皮倭瓜"	"葡匐蔓生"	"QING PI WO GUA"	"4.0"	"135"	"中"	"强"	"抗白粉"	"绿"	"--"	"心形"	"甜"	"--"	"2000"	"绿色"	"*"	"扁圆形"	"多纤维"	"10"	"吉林"	"V05C0250"	"吉林省蔬菜所"	"--"	"Ⅱ5Bb235"	"吉林延吉县"	"--"	"5中播8上中收"	"--"	"棱"
"82"	"中"	"80-4-35"	"洋番瓜"	"葡匐蔓生"	"YANG FAN GUA"	"6.6"	"96"	"多"	"强"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"2750"	"桔黄色"	"*"	"扁圆形"	"多纤维"	"19"	"江苏"	"V05C0251"	"江苏农科院蔬菜所"	"中"	"Ⅱ5Bb213"	"江苏常熟县"	"--"	"4下-6下-7下"	"斑块状"	"棱"
"83"	"早"	"80-4-51"	"铁皮南瓜"	"葡匐蔓生"	"TIE PI NAN GUA"	"4.5"	"95"	"多"	"强"	"中"	"绿"	"--"	"掌状"	"微甜"	"--"	"2750"	"黑色"	"*"	"圆柱形"	"致密"	"8"	"江苏"	"V05C0252"	"江苏农科院蔬菜所"	"中"	"Ⅱ5Bb211"	"江苏常熟县"	"--"	"4下-6下7下"	"--"	"棱"
"84"	"中"	"80-4-34"	"屋皮南瓜"	"葡匐蔓生"	"WU PI NAN GUA"	"4.9"	"96"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"微甜"	"--"	"2750"	"褐色"	"*"	"扁圆形"	"圆滑致密"	"18"	"江苏"	"V05C0253"	"江苏农科院蔬菜所"	"强"	"Ⅱ5Bb212"	"江苏常熟县"	"--"	"4下-6下-7下"	"--"	"棱"
"85"	"中"	"80-12-37"	"笨番瓜"	"葡匐蔓生"	"BEN FAN GUA"	"4.5"	"96"	"多"	"强"	"中"	"绿"	"--"	"掌状"	"--"	"--"	"2750"	"桔黄色"	"*"	"圆柱形"	"圆滑致密"	"14"	"江苏"	"V05C0254"	"江苏农科院蔬菜所"	"中"	"Ⅱ5Bb061"	"江苏东海县"	"--"	"4下-6下-7下"	"--"	"棱"
"86"	"晚"	"82-2-55"	"癞猴子"	"葡匐蔓生"	"LAI HOU ZI"	"3.5"	"100"	"多"	"强"	"--"	"黄"	"--"	"掌状"	"甜"	"--"	"2000"	"黄色"	"*"	"扁圆形"	"致密"	"20"	"江苏"	"V05C0283"	"江苏农科院蔬菜所"	"强"	"Ⅱ5Bb393"	"江苏镇江市"	"--"	"4下-7上-8上"	"--"	"具瘤"
"87"	"晚"	"79-2-5"	"南瓜"	"葡匐蔓生"	"NAN GUA"	"4.3"	"110"	"少"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"1750"	"黄色"	"--"	"扁圆形"	"致密"	"18"	"江苏"	"V05C0284"	"江苏农科院蔬菜所"	"强"	"Ⅱ5Bb062"	"江苏镇江市"	"--"	"4下-7下8中"	"--"	"具瘤"
"88"	"晚"	"80-6-44"	"盱眙南瓜(柿子南瓜)"	"葡匐蔓生"	"XU YI NAN GUA (SHI ZI NAN GUA )"	"4.3"	"95"	"多"	"强"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"7500"	"褐色"	"*"	"扁圆形"	"软"	"27"	"江苏"	"V05C0285"	"江苏农科院蔬菜所"	"强"	"Ⅱ5Bb197"	"江苏盱眙县"	"--"	"4下-6下.7下"	"斑块状"	"棱"
"89"	"晚"	"Ⅱ5B0009"	"赣南大南瓜"	"葡匐蔓生"	"GAN NAN DA NAN GUA"	"6.5"	"140"	"中"	"强"	"中"	"绿"	"--"	"心形"	"甜"	"--"	"3250"	"桔黄色"	"*可加工制南瓜干"	"扁圆形"	"--"	"16"	"江西"	"V05C0286"	"南昌市蔬菜所"	"耐湿"	"Ⅱ5Bb517"	"江西赣州市"	"--"	"3中-4上定植-6.8,3上播"	"--"	"平"
"90"	"晚"	"5B0004"	"癞皮南瓜"	"葡匐蔓生"	"LAI PI NAN GUA"	"21.5"	"180"	"中"	"弱"	"抗"	"绿"	"--"	"心形"	"甜"	"--"	"2500"	"黄色"	"*"	"扁圆形"	"软"	"17"	"江西"	"V05C0287"	"南昌市蔬菜所"	"耐寒"	"Ⅱ5Bb204"	"江西九江市"	"--"	"4上中-5上定植-8,9,4上播"	"线条状"	"具瘤"
"91"	"晚"	"Ⅱ5B0007"	"上饶大叶南瓜"	"葡匐蔓生"	"SHANG RAO DA YE NAN GUA"	"15.0"	"150"	"中"	"弱"	"中"	"绿"	"--"	"心形"	"淡而无味"	"网纹"	"2750"	"桔黄色"	"*"	"扁圆形"	"圆滑致密"	"19"	"江西"	"V05C0293"	"南昌市蔬菜所"	"耐旱"	"Ⅱ5Bb443"	"江西上饶市"	"--"	"3下-4中定植-7中8底"	"--"	"平"
"92"	"中"	"5BA1"	"黄牛腿"	"攀援蔓生"	"HUANG NIU TUI"	"5.0"	"85"	"少"	"中"	"--"	"黄"	"--"	"掌状"	"甜"	"--"	"4000"	"褐色"	"*"	"圆柱形"	"致密"	"14"	"辽宁"	"V05C0294"	"辽宁农科院园艺所"	"--"	"Ⅱ5Bb483"	"辽宁本溪市"	"--"	"40下播"	"--"	"棱"
"93"	"晚"	"Ⅱ5B0001"	"铁皮南瓜"	"蔓生"	"TIE PI NAN GUA"	"12.5"	"150"	"少"	"强"	"抗"	"绿"	"--"	"心形"	"甜"	"--"	"3000"	"褐色"	"--"	"扁圆形"	"软"	"17"	"江西"	"V05C0295"	"南昌市蔬菜所"	"强"	"Ⅱ5Bb617"	"南昌市郊"	"--"	"4-10"	"--"	"--"
"94"	"晚"	"内5B3003"	"八棱窝瓜"	"葡匐蔓生"	"BA LENG WO GUA"	"2.1"	"145"	"少"	"弱"	"抗"	"绿"	"--"	"心形"	"甜"	"--"	"1875"	"奶油色"	"*"	"梨形"	"汁多"	"15"	"内蒙"	"V05C0296"	"内蒙农科院蔬菜所"	"强"	"Ⅱ5Bb186"	"内蒙巴彦浩特 市"	"--"	"5上-9下"	"--"	"棱"
"95"	"晚"	"内5B2002"	"托克托黑皮窝瓜"	"葡匐蔓生"	"TUO KE TUO HEI PI WO GUA"	"2.8"	"140"	"中"	"中"	"抗"	"褐"	"--"	"心形"	"甜"	"--"	"3000"	"黑色"	"*"	"圆柱形"	"细汁多"	"12"	"内蒙"	"V05C0297"	"内蒙农科院蔬菜所"	"强"	"Ⅱ5Bb185"	"内蒙托克托县"	"--"	"5上-9下"	"--"	"棱"
"96"	"晚"	"内5B2005"	"神仙拐"	"葡匐蔓生"	"SHEN XIAN GUAI"	"4.1"	"150"	"中"	"强"	"抗"	"--"	"--"	"掌状"	"甜"	"--"	"1750"	"褐色"	"地方品种"	"长曲形"	"细粒质密"	"20"	"内蒙"	"V05C0300"	"内蒙农科院蔬菜所"	"中"	"Ⅱ5Bb520"	"内蒙乌兰浩特市"	"--"	"5中-9下"	"--"	"棱"
"97"	"中"	"ⅥA88N-1"	"烟脖子南瓜"	"葡匐蔓生"	"YAN BO ZI NAN GUA"	"3.0"	"100"	"多"	"弱"	"抗"	"绿"	"--"	"掌状"	"甜"	"--"	"2500"	"桔黄色"	"*"	"圆柱形"	"软"	"15"	"宁夏"	"V05C0301"	"宁夏农科院园艺所"	"强"	"Ⅱ5Bb485"	"宁夏银川市"	"--"	"4上-9上末收"	"--"	"平"
"98"	"中"	"ⅥA88N-2"	"黄皮八瓣"	"葡匐蔓生"	"HUANG PI BA BAN"	"3.5"	"110"	"多"	"弱"	"中"	"绿"	"--"	"掌状"	"甜"	"--"	"3000"	"褐色"	"*"	"扁圆形"	"软"	"19"	"宁夏"	"V05C0302"	"宁夏农科院园艺所"	"中"	"Ⅱ5Bb486"	"宁夏银川市"	"--"	"4上-9上末收"	"--"	"棱"
"99"	"--"	"ⅥA88N-10"	"花皮八瓣"	"匍匐蔓生"	"HUA PI BA BAN"	"2.0"	"120"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"1250"	"--"	"--"	"盘形"	"圆滑致密"	"18"	"宁夏"	"V05C0303"	"宁夏农科院园艺所"	"--"	"Ⅱ5Bb488"	"宁夏银川市"	"--"	"春夏4下-8下"	"--"	"棱"
"100"	"--"	"ⅥA88N-9"	"深灰八瓣"	"匍匐蔓生"	"SHEN HUI BA BAN"	"2.0"	"120"	"多"	"强"	"--"	"绿"	"--"	"掌状"	"--"	"--"	"1250"	"灰色"	"--"	"盘形"	"圆滑致密"	"15"	"宁夏"	"V05C0304"	"宁夏农科院园艺所"	"--"	"Ⅱ5Bb487"	"宁夏银川市"	"--"	"春夏4下-9上"	"--"	"棱"
"101"	"晚"	"Ⅱ5B006"	"番瓜"	"葡匐蔓生"	"FAN GUA"	"8.0"	"150"	"多"	"强"	"--"	"红"	"--"	"心形"	"--"	"--"	"1750"	"红色"	"--"	"扁圆形"	"艮"	"10"	"青海"	"V05C0306"	"青海农科院园艺所"	"--"	"Ⅱ5Bb215"	"青海乐都县"	"白色"	"春2下-8下"	"斑块状"	"棱"
"102"	"晚"	"Ⅱ5B012"	"循化南瓜"	"葡匐蔓生"	"XUN HUA NAN GUA"	"4.0"	"150"	"少"	"强"	"--"	"绿"	"--"	"心形"	"--"	"--"	"2500"	"绿色"	"--"	"扁圆形"	"艮"	"9"	"青海"	"V05C0307"	"青海农科院园艺所"	"--"	"Ⅱ5Bb515"	"青海循化县"	"--"	"4上-9下"	"--"	"平"
"103"	"晚"	"中1"	"博山长南瓜"	"葡匐蔓生"	"BO SHAN CHANG NAN GUA"	"2.4"	"130"	"中"	"强"	"抗病毒白粉"	"黑"	"--"	"掌状"	"甜"	"--"	"2000"	"黄色"	"*"	"圆柱形"	"软"	"18"	"山东"	"V05C0308"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bb093"	"山东博山"	"--"	"4上中-9"	"--"	"棱"
"104"	"晚"	"中31"	"费县大南瓜"	"葡匐蔓生"	"FEI XIAN DA NAN GUA"	"7.0"	"120"	"无"	"强"	"不抗白粉抗病毒"	"绿"	"--"	"掌状"	"微甜"	"--"	"2450"	"桔黄色"	"*"	"圆柱形"	"软"	"40"	"山东"	"V05C0309"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bb528"	"山东费县"	"--"	"4上中-9"	"--"	"棱"
"105"	"中"	"中34"	"冠县北瓜"	"葡匐蔓生"	"GUAN XIAN BEI GUA"	"2.3"	"103"	"中"	"强"	"不抗白粉抗病毒"	"黑"	"--"	"掌状"	"微甜"	"--"	"2165"	"褐色"	"*"	"梨形"	"多纤维"	"9"	"山东"	"V05C0310"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bb038"	"山东冠县"	"--"	"4上中-9"	"--"	"棱"
"106"	"中"	"中37"	"南瓜"	"葡匐蔓生"	"NAN GUA"	"8.0"	"125"	"中"	"强"	"中"	"黑"	"--"	"掌状"	"甜"	"--"	"3500"	"黄色"	"--"	"圆柱形"	"软"	"--"	"山东"	"V05C0327"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bb525"	"山东微山县"	"--"	"4上中-8月"	"--"	"平"
"107"	"晚"	"中18"	"潍坊冻番瓜"	"葡匐蔓生"	"WEI FANG DONG FAN GUA"	"3.6"	"120"	"中"	"强"	"抗白粉"	"黑"	"--"	"掌状"	"微甜"	"--"	"1950"	"黑色"	"*"	"圆柱形"	"软"	"36"	"山东"	"V05C0328"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bb522"	"山东潍坊市"	"--"	"4上中-9"	"--"	"棱"
"108"	"早"	"中19"	"潍坊叶儿三饭瓜"	"葡匐蔓生"	"WEI FANG YE ER SAN FAN GUA"	"0.9"	"100"	"无"	"强"	"抗病毒不抗白粉"	"绿"	"--"	"掌状"	"--"	"--"	"1325"	"桔黄色"	"*"	"圆柱形"	"软"	"8"	"山东"	"V05C0329"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bb030"	"山东潍坊市"	"白色"	"4上中-7下"	"斑块状"	"棱"
"109"	"早"	"中32"	"新泰南瓜"	"葡匐蔓生"	"XIN TAI NAN GUA"	"6.9"	"100"	"中"	"强"	"不抗白粉抗病毒"	"黑"	"--"	"掌状"	"甜"	"--"	"2500"	"黄色"	"*"	"圆柱形"	"软"	"8"	"山东"	"V05C0330"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bb037"	"山东新泰县"	"--"	"4上中-9"	"--"	"平"
"110"	"早"	"中22"	"烟台小白方瓜"	"葡匐蔓生"	"YAN TAI XIAO BAI FANG GUA"	"1.6"	"100"	"无"	"强"	"抗病毒白粉"	"绿"	"红色"	"掌状"	"甜"	"斑"	"1925"	"桔黄色"	"*"	"圆柱形"	"软"	"6"	"山东"	"V05C0331"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bb031"	"山东烟台市"	"白色"	"4上中-9"	"斑块状"	"平"
"111"	"早"	"中25"	"沂南牛腿方瓜"	"葡匐蔓生"	"YI NAN NIU TUI FANG GUA"	"2.5"	"100"	"中"	"强"	"不抗白粉抗病毒"	"黑"	"--"	"掌状"	"淡而无味"	"--"	"2375"	"--"	"*"	"圆柱形"	"水多"	"7"	"山东"	"V05C0335"	"山东农科院蔬菜所"	"--"	"Ⅱ5Bb033"	"山东沂南县"	"--"	"4上中-9"	"--"	"平"
"112"	"--"	"Ⅱ5Ba086-1"	"汾阳南瓜"	"葡匐蔓生"	"FEN YANG NAN GUA"	"2.0"	"135"	"少"	"强"	"--"	"--"	"绿色"	"掌状"	"--"	"斑纹"	"--"	"褐色"	"*"	"圆柱形"	"致密"	"11"	"山西"	"V05C0351"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb121"	"山西汾阳县"	"--"	"4下-9上"	"--"	"平"
"113"	"--"	"Ⅱ5Ba068-4"	"本地长南瓜"	"--"	"BEN DI CHANG NAN GUA"	"2.3"	"125"	"--"	"--"	"--"	"绿"	"--"	"--"	"--"	"--"	"1750"	"褐色"	"--"	"--"	"--"	"13"	"山西"	"V05C0355"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb137"	"山西古县"	"--"	"4下-9上"	"--"	"棱"
"114"	"--"	"Ⅱ5Ba013-7"	"临猗鼓南瓜"	"葡匐蔓生"	"LIN YI GU NAN GUA"	"1.5"	"135"	"少"	"强"	"--"	"--"	"绿色"	"掌状"	"--"	"斑纹"	"--"	"褐色"	"*两种果形,一种皮"	"扁圆形"	"致密"	"8"	"山西"	"V05C0369"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb100"	"山西临猗县"	"--"	"4下-9上"	"--"	"平"
"115"	"--"	"Ⅱ5Ba082-1"	"柳林南瓜"	"葡匐蔓生"	"LIU LIN NAN GUA"	"2.1"	"135"	"少"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"褐色"	"*"	"扁圆形"	"致密"	"10"	"山西"	"V05C0370"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb011"	"山西柳林县"	"--"	"4下-9上"	"--"	"棱"
"116"	"--"	"Ⅱ5Ba113-4"	"柳县南瓜"	"葡匐蔓生"	"LIU XIAN NAN GUA"	"2.3"	"135"	"少"	"强"	"--"	"--"	"绿色"	"掌状"	"--"	"斑纹"	"--"	"褐色"	"*两种果形,一种皮"	"圆形"	"致密"	"10"	"山西"	"V05C0371"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb130"	"山西柳林县"	"--"	"4下-9上"	"--"	"平"
"117"	"--"	"Ⅱ5Ba012-2"	"平陆枕头瓜"	"葡匐蔓生"	"PING LU ZHEN TOU GUA"	"3.5"	"135"	"少"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"*"	"梨形"	"致密"	"18"	"山西"	"V05C0372"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb004"	"山西平陆县"	"--"	"4下-9上"	"--"	"平"
"118"	"--"	"Ⅱ5Ba0051-6"	"七半芽南瓜"	"葡匐蔓生"	"QI BAN YA NAN GUA"	"2.0"	"135"	"少"	"强"	"--"	"--"	"绿色"	"掌状"	"--"	"斑纹"	"--"	"褐色"	"*"	"扁圆形"	"致密"	"11"	"山西"	"V05C0373"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb369"	"山西蒲县"	"--"	"4下-9上"	"--"	"棱"
"119"	"--"	"Ⅱ5Ba055-2"	"武乡南瓜"	"葡匐蔓生"	"WU XIANG NAN GUA"	"6.3"	"135"	"少"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"*"	"梨形"	"致密"	"12"	"山西"	"V05C0382"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb113"	"山西武乡县"	"--"	"4下-9上"	"--"	"平"
"120"	"--"	"Ⅱ5Ba111-8"	"襄汾北瓜"	"葡匐蔓生"	"XIANG FEN BEI GUA"	"1.7"	"135"	"少"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"褐色"	"*"	"扁圆形"	"致密"	"13"	"山西"	"V05C0383"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb129"	"山西襄汾县"	"--"	"4下-9上"	"--"	"棱"
"121"	"--"	"Ⅱ5Ba065-1"	"小北瓜"	"葡匐蔓生"	"XIAO BEI GUA"	"2.5"	"135"	"少"	"强"	"--"	"--"	"绿色"	"掌状"	"--"	"斑纹"	"--"	"褐色"	"*"	"扁圆形"	"致密"	"7"	"山西"	"V05C0384"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb007"	"山西襄汾县"	"--"	"4下-9上"	"--"	"棱"
"122"	"--"	"Ⅱ5Ba110-6"	"新绛北瓜"	"葡匐蔓生"	"XIN JIANG BEI GUA"	"1.2"	"135"	"少"	"强"	"--"	"--"	"绿色"	"掌状"	"--"	"网纹"	"--"	"褐色"	"*"	"扁圆形"	"致密"	"10"	"山西"	"V05C0385"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb128"	"山西新绛县"	"--"	"4下-9上"	"--"	"棱"
"123"	"--"	"Ⅱ5Ba098-1"	"阳城南瓜"	"葡匐蔓生"	"YANG CHENG NAN GUA"	"3.2"	"135"	"少"	"强"	"--"	"--"	"桔黄色"	"掌状"	"--"	"斑"	"--"	"褐色"	"*一种果形,两种皮"	"圆柱形"	"致密"	"13"	"山西"	"V05C0386"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb124"	"山西阳城县"	"--"	"4下-9上"	"--"	"平"
"124"	"--"	"Ⅱ5Ba0061-2"	"翼城南瓜"	"--"	"YI CHENG NAN GUA"	"2.0"	"125"	"--"	"--"	"--"	"绿"	"--"	"--"	"--"	"--"	"1750"	"褐色"	"--"	"--"	"--"	"13"	"山西"	"V05C0391"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb499"	"山西翼城县"	"--"	"4下-9上"	"--"	"棱"
"125"	"--"	"Ⅱ5Ba0037-1"	"运城长南瓜"	"葡匐蔓生"	"YUN CHENG CHANG NAN GUA"	"2.8"	"135"	"少"	"强"	"--"	"--"	"--"	"掌状"	"--"	"--"	"--"	"绿色"	"*"	"圆柱形"	"致密"	"9"	"山西"	"V05C0396"	"山西农科院蔬菜所"	"中"	"Ⅱ5Bb368"	"山西运城市"	"--"	"4下-9上"	"--"	"平"
"126"	"--"	"4a-175"	"南瓜"	"蔓生"	"NAN GUA"	"3.3"	"--"	"--"	"--"	"--"	"--"	"--"	"心形"	"淡而无味"	"--"	"--"	"红色"	"--"	"扁圆形"	"多纤维"	"21"	"陕西"	"V05C0412"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb150"	"陕西安康县"	"--"	"--"	"--"	"棱"
"127"	"中"	"4a-30"	"白河牛腿"	"葡匐蔓生"	"BAI HE NIU TUI"	"7.3"	"--"	"--"	"--"	"--"	"黄"	"--"	"--"	"--"	"--"	"--"	"--"	"*品质差,产量高"	"圆柱形"	"--"	"--"	"陕西"	"V05C0414"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb155"	"陕西白河县"	"--"	"3中下-7下8下"	"--"	"--"
"128"	"--"	"4a-199"	"园饼南瓜"	"蔓生"	"YUAN BING NAN GUA"	"5.0"	"--"	"--"	"--"	"--"	"--"	"--"	"心形"	"--"	"--"	"--"	"褐色"	"--"	"扁圆形"	"多纤维"	"22"	"陕西"	"V05C0415"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb144"	"陕西白河县"	"--"	"--"	"--"	"棱"
"129"	"--"	"4a-21"	"白河花皮柿饼"	"葡匐蔓生"	"BAI HE HUA PI SHI BING"	"7.5"	"--"	"--"	"--"	"抗花叶病毒病"	"褐"	"--"	"--"	"--"	"--"	"--"	"--"	"*"	"圆柱形"	"--"	"20"	"陕西"	"V05C0416"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb164"	"陕西白河县"	"--"	"--"	"--"	"棱"
"130"	"--"	"4a-203"	"南瓜(柿饼瓜)"	"葡匐蔓生"	"NAN GUA (SHI BING GUA )"	"6.0"	"--"	"--"	"--"	"抗花叶病毒病"	"褐"	"--"	"--"	"--"	"--"	"--"	"--"	"*"	"扁圆形"	"--"	"22"	"陕西"	"V05C0417"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb142"	"陕西白河县"	"--"	"--"	"--"	"棱"
"131"	"--"	"4a-35"	"牛腿"	"蔓生"	"NIU TUI"	"6.5"	"--"	"--"	"--"	"--"	"--"	"绿色"	"心形"	"甜"	"纹"	"--"	"褐色"	"--"	"梨形"	"软"	"19"	"陕西"	"V05C0418"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb182"	"陕西白河县"	"--"	"--"	"--"	"棱"
"132"	"--"	"4a-242"	"黄狼南瓜"	"蔓生"	"HUANG LANG NAN GUA"	"7.5"	"--"	"--"	"--"	"--"	"--"	"绿色"	"心形"	"淡而无味"	"网纹"	"--"	"褐色"	"--"	"扁圆形"	"多纤维"	"22"	"陕西"	"V05C0422"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb426"	"陕西大荔县"	"--"	"--"	"--"	"棱"
"133"	"--"	"4a-165"	"汉中山南瓜"	"蔓生"	"HAN ZHONG SHAN NAN GUA"	"8.0"	"--"	"--"	"--"	"抗花叶病毒"	"--"	"--"	"--"	"--"	"--"	"--"	"红色"	"--"	"扁圆形"	"--"	"28"	"陕西"	"V05C0425"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb614"	"陕西汉中市"	"--"	"--"	"--"	"棱"
"134"	"--"	"4a-61"	"猪咀南瓜"	"蔓生"	"ZHU JU NAN GUA"	"2.8"	"--"	"--"	"--"	"--"	"--"	"绿色"	"心形"	"甜"	"纹"	"--"	"褐色"	"--"	"扁圆形"	"软"	"14"	"陕西"	"V05C0427"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb224"	"陕西靖边县"	"--"	"--"	"--"	"棱"
"135"	"--"	"4a-159"	"枕头瓜"	"蔓生"	"ZHEN TOU GUA"	"5.3"	"--"	"--"	"--"	"--"	"--"	"黄色"	"心形"	"--"	"网纹"	"--"	"褐色"	"--"	"圆柱形"	"甜面"	"24"	"陕西"	"V05C0431"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb147"	"陕西略阳县"	"--"	"--"	"--"	"棱"
"136"	"--"	"4a-139"	"南瓜"	"蔓生"	"NAN GUA"	"3.0"	"--"	"--"	"--"	"--"	"--"	"绿色"	"心形"	"--"	"网纹"	"--"	"褐色"	"--"	"扁圆形"	"--"	"19"	"陕西"	"V05C0432"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb167"	"陕西略阳县"	"--"	"--"	"--"	"棱"
"137"	"--"	"4a-99"	"南瓜"	"蔓生"	"NAN GUA"	"3.5"	"--"	"--"	"--"	"--"	"--"	"--"	"心形"	"甜"	"--"	"--"	"黑色"	"--"	"扁圆形"	"软"	"23"	"陕西"	"V05C0433"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb237"	"陕西米脂县"	"--"	"--"	"--"	"棱"
"138"	"--"	"4a-118"	"勉县磨盘北瓜"	"蔓生"	"MIAN XIAN MO PAN BEI GUA"	"8.5"	"--"	"--"	"--"	"--"	"--"	"--"	"心形"	"甜"	"--"	"--"	"红色"	"--"	"扁圆形"	"软"	"22"	"陕西"	"V05C0434"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb615"	"陕西勉县"	"--"	"--"	"--"	"棱"
"139"	"--"	"4a-116"	"柿饼南瓜"	"葡匐蔓生"	"SHI BING NAN GUA"	"6.0"	"--"	"--"	"--"	"抗花叶病毒病"	"褐"	"--"	"--"	"--"	"--"	"--"	"--"	"*"	"扁圆形"	"--"	"19"	"陕西"	"V05C0435"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb413"	"陕西宁强县"	"--"	"--"	"--"	"棱"
"140"	"--"	"4a-226"	"柿饼南瓜"	"蔓生"	"SHI BING NAN GUA"	"3.8"	"--"	"--"	"--"	"--"	"--"	"绿色"	"心形"	"淡而无味"	"网纹"	"--"	"褐色"	"--"	"扁圆形"	"水多"	"19"	"陕西"	"V05C0449"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb149"	"陕西宁陕县"	"--"	"--"	"--"	"棱"
"141"	"--"	"4a-224"	"红瓜"	"蔓生"	"HONG GUA"	"3.8"	"--"	"--"	"--"	"--"	"--"	"--"	"圆形"	"淡而无味"	"--"	"--"	"红色"	"--"	"扁圆形"	"水多"	"19"	"陕西"	"V05C0450"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb165"	"陕西宁陕县"	"--"	"--"	"--"	"平"
"142"	"--"	"4a-207"	"枕头瓜"	"蔓生"	"ZHEN TOU GUA"	"4.0"	"--"	"--"	"--"	"--"	"--"	"绿色"	"心形"	"甜"	"网纹"	"--"	"褐色"	"--"	"圆柱形"	"软"	"18"	"陕西"	"V05C0451"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb145"	"陕西宁陕县"	"--"	"--"	"--"	"平"
"143"	"--"	"4a-248"	"柿饼瓜"	"蔓生"	"SHI BING GUA"	"2.0"	"--"	"--"	"--"	"--"	"--"	"--"	"心形"	"甜"	"--"	"--"	"红色"	"--"	"扁圆形"	"多纤维"	"19"	"陕西"	"V05C0452"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb424"	"陕西宁陕县"	"--"	"--"	"--"	"棱"
"144"	"--"	"4a-130"	"南瓜"	"蔓生"	"NAN GUA"	"8.5"	"--"	"--"	"--"	"--"	"--"	"绿色"	"心形"	"甜"	"纹"	"--"	"褐色"	"--"	"扁圆形"	"软"	"21"	"陕西"	"V05C0453"	"陕西农科院蔬菜所"	"--"	"Ⅱ5Bb418"	"陕西宁陕县"	"--"	"--"	"--"	"棱"
