"id"	"熟性"	"种子来源"	"属名"	"保存编号"	"壳"	"根腐穗病级"	"引入时间"	"省"	"穗长"	"赤霉病指数"	"条锈反应型"	"赤霉病抗性"	"抽穗期"	"保存单位"	"千粒重"	"田间抗寒性"	"系谱"	"白粉反应型"	"开花期"	"秆锈普遍率"	"赖氨酸"	"赤霉病病指"	"粗蛋白"	"叶锈普遍率"	"株高"	"穗粒数"	"原编号"	"叶锈反应型"	"白粉严重度"	"条锈普遍率"	"黄矮病"	"品种名称"	"叶锈严重度"	"芒"	"赤霉病病穗"	"原产地"	"秆锈反应型"	"抗旱性"	"样品类型"	"学名"	"秆锈严重度"	"科名"	"人工抗寒性"	"收种地"	"统一编号"	"沉淀值"	"冬春性"	"库编号"	"粒"	"硬度"	"成熟期"	"条锈严重度"	"根腐叶病级"	"染色体组"
"1"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"11.5"	"4.9"	"R"	"S"	"--"	"京MO 5"	"13.0"	"--"	"--"	"--"	"--"	"100"	"0.73"	"89.2"	"25.46"	"--"	"78"	"34"	"--"	"0"	"0"	"2"	"5"	"var.bornemanni"	"--"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum monococcum L.(栽培一粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000001"	"--"	"冬"	"I1B26916"	"红"	"--"	"--"	"2"	"MR"	
"2"	"晚"	"美国"	"Triticum L.(小麦属)"	"--"	"黑"	"MR"	"--"	"国外"	"10.5"	"--"	"--"	"--"	"--"	"京DS 4"	"28.8"	"--"	"H80-185-4"	"--"	"--"	"--"	"0.75"	"--"	"26.30"	"100"	"98"	"30"	"--"	"MS"	"--"	"--"	"--"	"var.kotchanyum"	"80"	"长"	"--"	"--"	"--"	"--"	"野生"	"Triticum dicoccoides (Koer.) Schweinf.(野生二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000002"	"--"	"春"	"I1B15099"	"红"	"--"	"--"	"--"	"S"	
"3"	"晚"	"西德"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"11.0"	"--"	"--"	"--"	"--"	"京DS 9"	"32.1"	"--"	"--"	"--"	"--"	"--"	"0.63"	"--"	"21.63"	"100"	"117"	"41"	"--"	"MS"	"--"	"--"	"--"	"var.kotschyi Abessinien"	"65"	"长"	"--"	"埃塞俄比亚"	"--"	"--"	"野生"	"Triticum dicoccoides (Koer.) Schweinf.(野生二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000003"	"--"	"春"	"I1B14473"	"白"	"--"	"--"	"--"	"MR"	
"4"	"晚"	"东德"	"Triticum L.(小麦属)"	"--"	"黑"	"--"	"--"	"国外"	"10.0"	"5.0"	"S"	"S"	"--"	"京DS 7"	"27.0"	"--"	"--"	"2"	"--"	"100"	"0.42"	"97.5"	"17.28"	"100"	"101"	"40"	"--"	"MS"	"1"	"100"	"3"	"var.spontaneonigrum"	"40"	"长"	"100.0"	"--"	"S"	"--"	"野生"	"Triticum dicoccoides (Koer.) Schweinf.(野生二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000004"	"10.4"	"春"	"--"	"红"	"--"	"--"	"25"	"R"	
"5"	"中"	"东德"	"Triticum L.(小麦属)"	"--"	"--"	"R"	"--"	"国外"	"11.0"	"5.0"	"R"	"S"	"--"	"京DS 8"	"16.9"	"--"	"--"	"2"	"--"	"100"	"0.42"	"96.7"	"15.85"	"100"	"104"	"40"	"--"	"MS"	"2"	"100"	"3"	"var.spontanes Villosum"	"80"	"长"	"100.0"	"--"	"S"	"--"	"野生"	"Triticum dicoccoides (Koer.) Schweinf.(野生二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000005"	"12.0"	"春"	"I1B14474"	"红"	"11.5"	"--"	"25"	"MS"	
"6"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.5"	"--"	"--"	"--"	"--"	"京DM 2"	"42.0"	"--"	"--"	"--"	"--"	"--"	"0.47"	"--"	"--"	"--"	"70"	"25"	"--"	"--"	"--"	"--"	"--"	"Ales"	"--"	"长"	"--"	"北也门"	"--"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000006"	"24.8"	"春"	"--"	"红"	"12.0"	"--"	"--"	"--"	
"7"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"8.0"	"5.0"	"MS"	"S"	"--"	"京DM 3"	"42.0"	"--"	"--"	"4"	"--"	"100"	"0.38"	"94.2"	"14.57"	"100"	"70"	"20"	"--"	"MS"	"6"	"100"	"3"	"Ales"	"80"	"长"	"100.0"	"北也门"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000007"	"12.0"	"春"	"I1B14475"	"红"	"10.4"	"--"	"40"	"MR"	
"8"	"晚"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"10.0"	"5.0"	"S"	"S"	"--"	"京DM 4"	"33.0"	"--"	"--"	"4"	"--"	"100"	"0.42"	"100.0"	"16.28"	"100"	"70"	"35"	"--"	"S"	"8"	"100"	"3"	"Amran"	"60"	"长"	"100.0"	"北也门"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000008"	"15.5"	"春"	"I1B14476"	"红"	"11.4"	"--"	"25"	"S"	
"9"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"0"	"--"	"国外"	"10.0"	"4.9"	"S"	"S"	"--"	"京DM 6"	"25.0"	"--"	"--"	"4"	"--"	"100"	"--"	"90.0"	"--"	"100"	"75"	"37"	"--"	"S"	"6"	"10"	"6"	"Boll A"	"60"	"长"	"100.0"	"北也门"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000009"	"--"	"春"	"--"	"红"	"--"	"--"	"10"	"S"	
"10"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.5"	"--"	"--"	"--"	"--"	"京DM 22"	"35.0"	"--"	"--"	"--"	"--"	"--"	"0.51"	"--"	"15.88"	"--"	"73"	"23"	"--"	"--"	"--"	"--"	"--"	"Bong A"	"--"	"长"	"--"	"北也门"	"--"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000010"	"--"	"春"	"--"	"红"	"--"	"--"	"--"	"--"	
"11"	"中"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"0"	"--"	"国外"	"8.2"	"5.0"	"R"	"S"	"--"	"京DM 1"	"35.0"	"--"	"--"	"4"	"--"	"100"	"0.42"	"90.8"	"15.98"	"100"	"72"	"25"	"--"	"S"	"6"	"10"	"6"	"Dhamar"	"40"	"长"	"100.0"	"北也门扎马尔省"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000011"	"15.0"	"春"	"I1B26917"	"红"	"10.6"	"--"	"5"	"S"	
"12"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"MR"	"--"	"国外"	"9.5"	"5.0"	"R"	"S"	"--"	"京DM 32"	"14.0"	"--"	"--"	"--"	"--"	"100"	"0.46"	"96.7"	"17.88"	"--"	"110"	"37"	"--"	"0"	"0"	"10"	"6"	"May"	"--"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000012"	"14.0"	"春"	"--"	"红"	"12.6"	"--"	"5"	"R"	
"13"	"早"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.6"	"4.8"	"R"	"S"	"--"	"京DM 5"	"30.0"	"--"	"--"	"4"	"--"	"100"	"0.35"	"88.3"	"13.81"	"100"	"70"	"20"	"--"	"MS"	"4"	"100"	"4"	"Roemale A"	"65"	"长"	"100.0"	"北也门阿姆兰"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000013"	"14.8"	"春"	"I1B10316"	"红"	"11.2"	"--"	"10"	"MR"	
"14"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"MR"	"--"	"国外"	"8.0"	"5.0"	"MR"	"S"	"--"	"京DM 39"	"13.0"	"--"	"--"	"--"	"--"	"100"	"--"	"98.3"	"--"	"--"	"102"	"35"	"--"	"0"	"0"	"100"	"6"	"Roter Kahler Halbbegrannter Sommer"	"--"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000014"	"--"	"春"	"I1B15100"	"红"	"--"	"--"	"25"	"R"	
"15"	"早"	"北也门"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"9.0"	"5.0"	"MR"	"S"	"--"	"京DM 7"	"37.0"	"--"	"--"	"1"	"--"	"100"	"0.34"	"97.5"	"12.92"	"100"	"73"	"23"	"--"	"MS"	"1"	"100"	"6"	"Taiz"	"65"	"长"	"100.0"	"北也门塔兹农场"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000015"	"13.9"	"春"	"I1B26918"	"红"	"10.9"	"--"	"25"	"MS"	
"16"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"黑"	"R"	"--"	"国外"	"9.5"	"5.0"	"S"	"S"	"--"	"京DM 40"	"29.0"	"--"	"--"	"3"	"--"	"100"	"0.56"	"98.3"	"19.44"	"100"	"124"	"45"	"--"	"MS"	"5"	"50"	"7"	"var.atratum Korn Schwavzer Behaarter"	"10"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000016"	"--"	"冬"	"I1B10317"	"红"	"--"	"--"	"25"	"MR"	
"17"	"晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"10.0"	"4.8"	"MS"	"S"	"--"	"京DM 18"	"26.0"	"--"	"--"	"--"	"--"	"100"	"0.42"	"88.3"	"17.49"	"80"	"111"	"49"	"--"	"MS"	"0"	"100"	"6"	"Var.farrum Alet., Abessinischer Emmer"	"2"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000017"	"9.0"	"春"	"I1B10318"	"红"	"11.1"	"--"	"40"	"R"	
"18"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"11.0"	"5.0"	"MS"	"S"	"--"	"京DM 30"	"24.0"	"--"	"--"	"3"	"--"	"100"	"0.37"	"95.0"	"13.72"	"100"	"110"	"39"	"--"	"MS"	"3"	"100"	"6"	"var.farrum Alet., Kahler Emmer"	"10"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000018"	"8.0"	"春"	"I1B14477"	"红"	"10.9"	"--"	"40"	"MS"	
"19"	"中"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"8.5"	"4.8"	"S"	"S"	"--"	"京DM 34"	"31.0"	"--"	"--"	"4"	"--"	"100"	"0.41"	"88.3"	"16.37"	"--"	"104"	"39"	"--"	"0"	"5"	"80"	"4"	"var.farrum Alet., N.P200"	"--"	"长"	"100.0"	"印度"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"80"	"Gramineae(禾本科)"	"--"	"--"	"XM000019"	"11.0"	"春"	"I1B14478"	"红"	"11.0"	"--"	"2"	"R"	
"20"	"中"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"7.5"	"4.9"	"S"	"S"	"--"	"京DM 35"	"33.0"	"--"	"--"	"3"	"--"	"50"	"0.41"	"90.0"	"15.87"	"--"	"90"	"39"	"--"	"0"	"3"	"80"	"4"	"var.farrum Alet., N.P201"	"--"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000020"	"11.0"	"春"	"I1B14479"	"红"	"11.4"	"--"	"40"	"R"	
"21"	"中"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"9.0"	"5.0"	"S"	"S"	"--"	"京DM 36"	"27.0"	"--"	"--"	"--"	"--"	"30"	"0.42"	"94.2"	"11.27"	"--"	"101"	"33"	"--"	"0"	"0"	"80"	"6"	"var.farrum Alet., N.P202"	"--"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000021"	"13.0"	"春"	"I1B14480"	"红"	"10.5"	"--"	"40"	"R"	
"22"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"8.0"	"5.0"	"MR"	"S"	"--"	"京DM 14"	"15.0"	"--"	"--"	"--"	"--"	"100"	"0.37"	"95.0"	"13.38"	"--"	"100"	"32"	"--"	"0"	"0"	"100"	"6"	"var.maturatum Flaksb."	"--"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000022"	"9.0"	"春"	"--"	"红"	"11.4"	"--"	"25"	"R"	
"23"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"11.0"	"--"	"--"	"--"	"--"	"京DM 15"	"27.0"	"--"	"--"	"--"	"--"	"--"	"0.53"	"--"	"16.71"	"--"	"122"	"40"	"--"	"--"	"--"	"--"	"--"	"var.novicium Korn."	"--"	"顶"	"--"	"--"	"--"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000023"	"--"	"春"	"--"	"红"	"--"	"--"	"--"	"--"	
"24"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"MR"	"--"	"国外"	"7.0"	"5.0"	"S"	"S"	"--"	"京DM 20"	"28.0"	"--"	"--"	"4"	"--"	"100"	"0.44"	"95.8"	"16.85"	"100"	"100"	"32"	"--"	"MS"	"7"	"100"	"6"	"var.pycnurum Alet. Bajonehtormiger Begrannter Emmer"	"80"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000024"	"13.0"	"春"	"I1B26919"	"红"	"10.6"	"--"	"80"	"R"	"--"
"25"	"晚"	"东德"	"Triticum L.(小麦属)"	"--"	"红"	"MS"	"--"	"国外"	"9.0"	"5.0"	"S"	"S"	"--"	"京DM 31"	"33.0"	"--"	"--"	"4"	"--"	"100"	"0.36"	"94.2"	"14.10"	"100"	"115"	"37"	"--"	"MS"	"5"	"100"	"6"	"var.rufum Schubl., Khapli"	"5"	"长"	"100.0"	"印度"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000025"	"9.1"	"春"	"I1B14481"	"红"	"11.0"	"--"	"100"	"R"	
"26"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"红"	"R"	"--"	"国外"	"9.6"	"5.0"	"S"	"S"	"--"	"京DM 16"	"27.0"	"--"	"--"	"4"	"--"	"100"	"0.34"	"98.3"	"13.87"	"--"	"126"	"43"	"--"	"0"	"7"	"100"	"6"	"var.tragi Korn."	"--"	"顶"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000026"	"18.0"	"春"	"I1B14482"	"红"	"11.2"	"--"	"65"	"MR"	
"27"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"MR"	"--"	"国外"	"8.6"	"5.0"	"MS"	"S"	"--"	"京DM 17"	"20.0"	"--"	"--"	"1"	"--"	"100"	"0.57"	"98.3"	"20.77"	"100"	"105"	"37"	"--"	"MS"	"2"	"100"	"3"	"var.volgense Flaksb."	"5"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000027"	"--"	"春"	"I1B15101"	"红"	"--"	"--"	"25"	"MS"	
"28"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"S"	"--"	"国外"	"8.0"	"5.0"	"S"	"S"	"--"	"京DM 41"	"30.0"	"--"	"--"	"--"	"--"	"100"	"0.47"	"100.0"	"--"	"--"	"100"	"32"	"--"	"0"	"0"	"80"	"6"	"Vernal"	"--"	"长"	"100.0"	"加拿大"	"MS"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"5"	"Gramineae(禾本科)"	"--"	"--"	"XM000028"	"9.5"	"春"	"I1B15102"	"红"	"11.2"	"--"	"25"	"MR"	
"29"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"10.0"	"5.0"	"R"	"S"	"--"	"京DM 42"	"8.0"	"--"	"--"	"--"	"--"	"100"	"0.44"	"95.0"	"--"	"--"	"95"	"35"	"--"	"0"	"0"	"100"	"6"	"Weiber Amidonia"	"--"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000029"	"16.0"	"春"	"I1B15103"	"红"	"12.9"	"--"	"10"	"R"	
"30"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"MS"	"--"	"国外"	"13.0"	"5.0"	"R"	"S"	"--"	"京DM 43"	"21.0"	"--"	"--"	"--"	"--"	"100"	"0.44"	"95.8"	"17.45"	"--"	"113"	"42"	"--"	"0"	"0"	"100"	"6"	"Weiber Sommer"	"--"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000030"	"16.5"	"春"	"I1B15104"	"红"	"12.8"	"--"	"10"	"MR"	
"31"	"极晚"	"东德"	"Triticum L.(小麦属)"	"--"	"白"	"MR"	"--"	"国外"	"8.0"	"5.0"	"S"	"S"	"--"	"京DM 44"	"12.0"	"--"	"--"	"--"	"--"	"100"	"0.41"	"95.8"	"16.38"	"--"	"100"	"35"	"--"	"0"	"0"	"50"	"6"	"White Spring"	"--"	"长"	"100.0"	"美国"	"S"	"--"	"地方"	"Triticum dicoccum Schuebl.(栽培二粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000031"	"9.0"	"春"	"I1B15105"	"红"	"10.8"	"--"	"25"	"R"	
"32"	"中"	"云南农科院粮作所"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"9.0"	"--"	"--"	"--"	"--"	"云626"	"54.0"	"--"	"--"	"--"	"--"	"--"	"0.41"	"--"	"14.93"	"--"	"105"	"36"	"--"	"--"	"--"	"--"	"--"	"中引779"	"--"	"长"	"--"	"墨西哥"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000035"	"--"	"春"	"I1B28851"	"白"	"15.5"	"--"	"--"	"--"	
"33"	"晚"	"意大利"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.6"	"5.0"	"MR"	"S"	"--"	"京DR 6"	"24.0"	"--"	"--"	"3"	"--"	"100"	"0.32"	"94.2"	"12.09"	"100"	"80"	"42"	"--"	"MS"	"3"	"100"	"6"	"2-5B X 1D r2-72"	"10"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"100"	"Gramineae(禾本科)"	"--"	"--"	"XM000065"	"11.0"	"春"	"--"	"白"	"11.8"	"--"	"25"	"R"	
"34"	"晚"	"意大利"	"Triticum L.(小麦属)"	"--"	"白"	"MR"	"--"	"国外"	"7.0"	"5.0"	"R"	"S"	"--"	"京DR 10"	"30.0"	"--"	"--"	"4"	"--"	"20"	"0.36"	"100.0"	"14.45"	"100"	"91"	"50"	"--"	"MS"	"5"	"100"	"6"	"4-12D x 11C rg-71"	"5"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000066"	"--"	"春"	"--"	"白"	"--"	"--"	"10"	"R"	
"35"	"晚"	"意大利"	"Triticum L.(小麦属)"	"--"	"白"	"MR"	"--"	"国外"	"7.0"	"5.0"	"R"	"S"	"--"	"京DR 12"	"30.0"	"--"	"--"	"4"	"--"	"100"	"0.32"	"100.0"	"12.02"	"100"	"91"	"41"	"--"	"MS"	"4"	"100"	"3"	"5-1F r7-69"	"25"	"长"	"100.0"	"--"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000067"	"--"	"春"	"I1B14486"	"红"	"--"	"--"	"10"	"MS"	
"36"	"极晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.5"	"4.9"	"R"	"S"	"--"	"京DR 4"	"26.0"	"--"	"--"	"4"	"--"	"100"	"0.56"	"87.5"	"20.68"	"100"	"80"	"44"	"--"	"S"	"5"	"2"	"3"	"5B x 1D"	"25"	"长"	"100.0"	"意大利"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000068"	"--"	"春"	"I1B15106"	"白"	"--"	"--"	"2"	"S"	
"37"	"晚"	"意大利"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"5.5"	"5.0"	"R"	"S"	"--"	"京DR 13"	"24.0"	"--"	"--"	"1"	"--"	"--"	"0.40"	"98.3"	"16.95"	"100"	"80"	"40"	"--"	"R"	"3"	"2"	"3"	"6-1F r4-69"	"25"	"长"	"100.0"	"--"	"0"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000069"	"--"	"春"	"I1B10320"	"红"	"--"	"--"	"2"	"S"	
"38"	"极晚"	"意大利"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.8"	"4.9"	"R"	"S"	"--"	"京DR 8"	"28.0"	"--"	"--"	"2"	"--"	"100"	"0.66"	"88.3"	"21.81"	"100"	"80"	"40"	"--"	"MS"	"3"	"2"	"3"	"8-5B x 1D r2-71"	"25"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000070"	"--"	"春"	"--"	"白"	"--"	"--"	"2"	"S"	
"39"	"晚"	"意大利"	"Triticum L.(小麦属)"	"--"	"白"	"MR"	"--"	"国外"	"6.8"	"5.0"	"R"	"S"	"--"	"京DR 11"	"30.0"	"--"	"--"	"3"	"--"	"100"	"0.30"	"100.0"	"11.81"	"100"	"83"	"45"	"--"	"MS"	"4"	"100"	"6"	"9-12D x r10-73"	"5"	"长"	"100.0"	"--"	"S"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"65"	"Gramineae(禾本科)"	"--"	"--"	"XM000071"	"--"	"春"	"I1B10321"	"白"	"--"	"--"	"10"	"MR"	
"40"	"晚"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"R"	"--"	"国外"	"7.0"	"4.9"	"MR"	"S"	"--"	"京DR 5"	"31.0"	"--"	"--"	"3"	"--"	"100"	"0.62"	"89.2"	"21.17"	"100"	"81"	"46"	"--"	"R"	"3"	"50"	"3"	"12D x 11C"	"25"	"长"	"100.0"	"意大利"	"MS"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"40"	"Gramineae(禾本科)"	"--"	"--"	"XM000072"	"--"	"春"	"I1B14487"	"白"	"--"	"--"	"10"	"S"	
"41"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"6.9"	"5.0"	"0"	"S"	"--"	"宁060"	"45.4"	"--"	"--"	"3"	"--"	"100"	"0.43"	"100.0"	"16.24"	"100"	"90"	"38"	"--"	"MS"	"3"	"--"	"5"	"[(61-130 x LDS/GLL""S"")BO""S""] GS""S"""	"25"	"黑长"	"100.0"	"墨西哥"	"MS"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"10"	"Gramineae(禾本科)"	"--"	"--"	"XM000073"	"--"	"春"	"I1B14366"	"白"	"--"	"--"	"--"	"S"	
"42"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白毛"	"--"	"--"	"国外"	"7.0"	"5.0"	"0"	"S"	"--"	"宁061"	"44.3"	"--"	"--"	"1"	"--"	"--"	"0.38"	"100.0"	"14.66"	"100"	"100"	"47"	"--"	"MS"	"3"	"--"	"5"	"[(61-130 x LDS/GLL""S"")BO""S""] Ptl""s"""	"10"	"长"	"100.0"	"墨西哥"	"0"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000074"	"--"	"春"	"I1B14367"	"白"	"--"	"--"	"--"	"S"	
"43"	"中"	"--"	"Triticum L.(小麦属)"	"--"	"白"	"--"	"--"	"国外"	"6.4"	"5.0"	"0"	"S"	"--"	"宁068"	"43.0"	"--"	"--"	"4"	"--"	"100"	"0.36"	"100.0"	"13.98"	"100"	"85"	"34"	"--"	"MS"	"5"	"--"	"4"	"61.150/LDS//GLL""S""/3/GR""S""/4/Mexi""s""/5/S15-CR""S"""	"10"	"长"	"100.0"	"墨西哥"	"S"	"5"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"25"	"Gramineae(禾本科)"	"--"	"--"	"XM000075"	"--"	"春"	"I1B14368"	"白"	"--"	"--"	"--"	"S"	
"44"	"中"	"中农院"	"Triticum L.(小麦属)"	"--"	"红"	"--"	"--"	"国外"	"8.2"	"--"	"--"	"--"	"--"	"青0359"	"44.8"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"--"	"101"	"26"	"--"	"--"	"--"	"--"	"--"	"65.150-Lds"	"--"	"长"	"--"	"墨西哥"	"--"	"--"	"地方"	"Triticum durum Desf.(硬粒小麦)"	"--"	"Gramineae(禾本科)"	"--"	"--"	"XM000076"	"--"	"春"	"I1B24707"	"白"	"14.5"	"--"	"--"	"--"	
