"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"天冬氨酸"	"精氨酸"	"丙氨酸"	"单株产量"	"总和"	"酪氨酸"	"异亮氨酸"	"省"	"色氨酸"	"组氨酸"	"分枝数"	"全生育日数"	"样品类型"	"总淀粉"	"百粒重"	"苏氨酸"	"统一编号"	"苯丙氨酸"	"学名"	"粒形"	"胱氨酸"	"支链淀粉"	"花色"	"粗脂肪"	"成熟期"	"粗蛋白"	"结荚习性"	"属名"	"亮氨酸"	"库编号"	"生长习性"	"保存单位"	"原产地"	"甘氨酸"	"单荚粒数"	"缬氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"备注"	"脯氨酸"	"赖氨酸"	"荚长"	"丝氨酸"	"译名"	"荚色"	"种子来源"	"株高"
"56"	"--"	"Leguminosae(豆科)"	"85-013"	"大紫花豆"	"--"	"3.31"	"--"	"--"	"--"	"138.0"	"--"	"--"	"--"	"四川"	"--"	"--"	"2.1"	"178"	"地方"	"--"	"115.0"	"--"	"E0000121"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"扁肾"	"--"	"--"	"红"	"--"	"9.25"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00181"	"蔓生"	"四川凉山州昭觉农科所"	"昭觉"	"--"	"2.5"	"--"	"--"	"39.0"	"花纹"	"--"	"--"	"--"	"10.6"	"--"	"DA ZI HUA DOU"	"黄褐"	"--"	"298.5"
"57"	"--"	"Leguminosae(豆科)"	"90-023"	"大花脸豆"	"--"	"3.31"	"--"	"--"	"--"	"99.3"	"--"	"--"	"--"	"四川"	"--"	"--"	"2.4"	"178"	"地方"	"--"	"108.3"	"--"	"E0000128"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"扁肾"	"--"	"--"	"红"	"--"	"9.25"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00184"	"蔓生"	"四川凉山州昭觉农科所"	"喜德"	"--"	"3.2"	"--"	"--"	"31.2"	"花纹"	"--"	"--"	"--"	"12.3"	"--"	"DA HUA LIAN DOU"	"褐"	"--"	"291.0"
"58"	"--"	"Leguminosae(豆科)"	"90-096"	"胖白豆"	"--"	"3.31"	"--"	"--"	"--"	"117.3"	"--"	"--"	"--"	"四川"	"--"	"--"	"2.7"	"186"	"地方"	"--"	"118.4"	"--"	"E0000129"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"扁肾"	"--"	"--"	"白"	"--"	"10.03"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00092"	"蔓生"	"四川凉山州昭觉农科所"	"金阳"	"--"	"2.7"	"--"	"--"	"37.0"	"白"	"--"	"--"	"--"	"11.4"	"--"	"PANG BAI DOU"	"褐"	"--"	"348.1"
"59"	"--"	"Leguminosae(豆科)"	"89-199"	"紫花豆"	"--"	"3.31"	"--"	"--"	"--"	"98.3"	"--"	"--"	"--"	"四川"	"--"	"--"	"2.5"	"179"	"地方"	"--"	"121.0"	"--"	"E0000131"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"扁肾"	"--"	"--"	"红"	"--"	"9.24"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00185"	"蔓生"	"四川凉山州昭觉农科所"	"冕宁"	"--"	"3.8"	"--"	"--"	"21.3"	"花纹"	"--"	"--"	"--"	"11.7"	"--"	"ZI HUA DOU"	"褐"	"--"	"265.0"
"60"	"--"	"Leguminosae(豆科)"	"541"	"大洋黄红豆"	"--"	"4.14"	"--"	"--"	"--"	"6.5"	"--"	"--"	"--"	"贵州"	"--"	"--"	"4.0"	"145"	"地方"	"--"	"142.4"	"--"	"E0000135"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"肾"	"--"	"--"	"红"	"--"	"9.12"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"--"	"蔓生"	"贵州省毕节地区农科所"	"威宁"	"--"	"4.2"	"--"	"--"	"2.1"	"花斑"	"--"	"--"	"--"	"9.8"	"--"	"DA YANG HUANG HONG DOU"	"褐"	"--"	"280.0"
"61"	"--"	"Leguminosae(豆科)"	"J0055"	"Pallar de"	"--"	"5.12"	"--"	"--"	"--"	"46.7"	"--"	"--"	"--"	"国外"	"--"	"--"	"6.6"	"174"	"国外"	"--"	"163.6"	"--"	"E0000137"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"矩形"	"--"	"--"	"白"	"--"	"11.02"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00105"	"蔓生"	"中国农科院品资所"	"西班牙"	"--"	"3.1"	"--"	"--"	"29.8"	"白"	"--"	"--"	"--"	"13.2"	"--"	"Pallar de"	"褐"	"--"	"150.0"
"62"	"--"	"Leguminosae(豆科)"	"J0053"	"Color"	"--"	"5.12"	"--"	"--"	"--"	"33.0"	"--"	"--"	"--"	"国外"	"--"	"--"	"6.2"	"174"	"国外"	"--"	"132.1"	"--"	"E0000138"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"宽肾"	"--"	"--"	"白"	"--"	"11.02"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00104"	"蔓生"	"中国农科院品资所"	"智利"	"--"	"3.6"	"--"	"--"	"13.5"	"花斑"	"--"	"--"	"--"	"13.6"	"--"	"Color"	"褐"	"--"	"150.0"
"63"	"--"	"Leguminosae(豆科)"	"Ⅲ0901028"	"东北四季豆"	"--"	"4.26"	"--"	"--"	"--"	"75.5"	"--"	"--"	"--"	"湖北"	"--"	"--"	"2.0"	"183"	"地方"	"--"	"134.7"	"--"	"E0000145"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"椭圆"	"--"	"--"	"粉红"	"--"	"10.26"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00118"	"蔓生"	"湖北省农科院农业现代化所"	"竹溪"	"--"	"3.3"	"--"	"--"	"17.5"	"褐花"	"--"	"--"	"--"	"13.0"	"--"	"DONG BEI SI JI DOU"	"黄"	"--"	"287.0"
"64"	"--"	"Leguminosae(豆科)"	"Ⅲ0901012"	"白花菜豆"	"--"	"4.26"	"--"	"--"	"--"	"52.7"	"--"	"--"	"--"	"湖北"	"--"	"--"	"0.9"	"178"	"地方"	"--"	"120.0"	"--"	"E0000146"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"椭圆"	"--"	"--"	"粉红"	"--"	"10.21"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00119"	"蔓生"	"湖北省农科院农业现代化所"	"巴东"	"--"	"2.4"	"--"	"--"	"18.3"	"褐花"	"--"	"--"	"--"	"10.0"	"--"	"BAI HUA CAI DOU"	"黄"	"--"	"298.0"
"65"	"--"	"Leguminosae(豆科)"	"It0502"	"多花菜豆"	"--"	"4.26"	"--"	"--"	"--"	"60.2"	"--"	"--"	"--"	"湖北"	"--"	"--"	"1.0"	"183"	"地方"	"--"	"157.1"	"--"	"E0000147"	"--"	"Phaseolus multiflorus Willd.(多花菜豆)"	"长椭圆"	"--"	"--"	"红"	"--"	"10.26"	"--"	"无限"	"Phaseolus(菜豆属)"	"--"	"I2L00120"	"蔓生"	"湖北省农科院农业现代化所"	"湖北农科院"	"--"	"3.0"	"--"	"--"	"12.9"	"紫底黑花"	"--"	"--"	"--"	"12.0"	"--"	"DUO HUA CAI DOU"	"黄"	"--"	"296.0"
