"id"	"蛋氨酸"	"科名"	"保存编号"	"品种名称"	"谷氨酸"	"播种期"	"结荚习性"	"精氨酸"	"丙氨酸"	"单株产量"	"总和"	"酪氨酸"	"天冬氨酸"	"异亮氨酸"	"省"	"色氨酸"	"脂肪"	"组氨酸"	"分枝数"	"全生育日数"	"样品类型"	"总淀粉"	"百粒重"	"苏氨酸"	"统一编号"	"苯丙氨酸"	"学名"	"粒形"	"胱氨酸"	"支链淀粉"	"花色"	"成熟期"	"蛋白质"	"属名"	"亮氨酸"	"库编号"	"生长习性"	"原产地"	"甘氨酸"	"单荚粒数"	"缬氨酸"	"直链淀粉"	"单株荚数"	"粒色"	"备注"	"脯氨酸"	"赖氨酸"	"荚长"	"丝氨酸"	"保存单位"	"荚色"	"译名"	"种子来源"	"株高"	"茎粗大小"	"蚜害病评价"	"荚型"	"株型"	"褐斑病指数"	"苗期耐盐"	"来源"	"锈病评价"	"茎粗"	"褐斑病级"	"锈病病级"	"耐旱性"	"蚜害病指数"	"白粉病评价"	"薯肉色"	"均匀度"	"白粉病级"	"顶叶色"	"赤斑病指数"	"芽期抗旱"	"脉基色"	"蚜害病级"	"最长蔓长"	"抗涝性"	"白粉病指数"	"柄基色"	"赤斑病级"	"耐盐性"	"育成年份"	"叶形"	"粗蛋白"	"蚜害病指"	"薯瘟抗性1"	"有效枝"	"耐贮性"	"熟期抗旱"	"烘干率"	"锈病指数"	"选育单位"	"产量"	"谷氨"	"谷"	"芽期耐盐"	"茎端茸毛"	"粒型"	"粗脂肪"	"叶片宽"	"熟性"	"基部分枝"	"赤斑病评价"	"叶色"	"褐斑病评价"
"11"	"--"	"Leguminosae(豆科)"	"GC11"	"鹰咀豆"	"--"	"3.14"	"无限"	"--"	"--"	"8.9"	"--"	"--"	"--"	"--"	"甘肃"	"--"	"--"	"--"	"12.0"	"153"	"地方"	"--"	"15.1"	"--"	"L0000011"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"紫"	"8.17"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00010"	"丛生"	"渭源县"	"--"	"1.2"	"--"	"--"	"38.5"	"褐"	"--"	"--"	"--"	"1.9"	"--"	"甘肃农科院粮作所"	"黄"	"YING JU DOU"	"--"	"83.0"																																																				
"12"	"--"	"Leguminosae(豆科)"	"GC12"	"鸡头豆"	"--"	"3.14"	"无限"	"--"	"--"	"5.3"	"--"	"--"	"--"	"--"	"甘肃"	"--"	"3.81"	"--"	"12.0"	"155"	"地方"	"42.34"	"12.2"	"--"	"L0000012"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"32.88"	"紫"	"8.16"	"20.86"	"Cicer(鹰嘴豆属)"	"--"	"I2N00011"	"丛生"	"静宁县"	"--"	"1.9"	"--"	"9.46"	"29.5"	"褐"	"--"	"--"	"--"	"2.0"	"--"	"甘肃农科院粮作所"	"黄"	"JI TOU DOU"	"--"	"74.0"																																																				
"13"	"--"	"Leguminosae(豆科)"	"GC14"	"鹰咀豆"	"--"	"3.14"	"无限"	"--"	"--"	"6.0"	"--"	"--"	"--"	"--"	"甘肃"	"--"	"--"	"--"	"12.0"	"160"	"地方"	"--"	"12.3"	"--"	"L0000013"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"紫"	"8.21"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00012"	"丛生"	"武威县"	"--"	"1.6"	"--"	"--"	"31.0"	"褐"	"--"	"--"	"--"	"1.9"	"--"	"甘肃农科院粮作所"	"黄"	"YING JU DOU"	"--"	"84.0"																																																				
"14"	"--"	"Leguminosae(豆科)"	"K43"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"1.3"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"22.2"	"112"	"国外"	"--"	"13.8"	"--"	"L0000014"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"6.30"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00129"	"丛生"	"--"	"--"	"1.5"	"--"	"--"	"69.0"	"白"	"--"	"--"	"--"	"2.0"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"47.8"																																																				
"15"	"--"	"Leguminosae(豆科)"	"K47"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"3.8"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"20.0"	"115"	"国外"	"--"	"14.5"	"--"	"L0000015"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"7.03"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00130"	"丛生"	"--"	"--"	"1.5"	"--"	"--"	"20.6"	"白"	"--"	"--"	"--"	"2.3"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"64.2"																																																				
"16"	"--"	"Leguminosae(豆科)"	"K48"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"6.3"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"21.6"	"115"	"国外"	"--"	"16.8"	"--"	"L0000016"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"7.03"	"--"	"Cicer(鹰嘴豆属)"	"--"	"--"	"丛生"	"--"	"--"	"1.4"	"--"	"--"	"37.0"	"白"	"--"	"--"	"--"	"2.1"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"60.4"																																																				
"17"	"0.32"	"Leguminosae(豆科)"	"K52"	"--"	"4.01"	"3.10"	"无限"	"2.16"	"0.96"	"5.3"	"22.53"	"0.66"	"2.61"	"1.03"	"国外"	"0.21"	"4.85"	"0.59"	"16.5"	"112"	"国外"	"46.32"	"7.9"	"0.84"	"L0000017"	"1.41"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"0.23"	"32.97"	"白"	"6.30"	"22.78"	"Cicer(鹰嘴豆属)"	"1.72"	"I2N00131"	"丛生"	"--"	"0.90"	"1.6"	"1.01"	"13.35"	"55.1"	"白"	"--"	"1.13"	"1.62"	"1.8"	"1.12"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"58.9"																																																				
"18"	"--"	"Leguminosae(豆科)"	"K76"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"8.7"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"29.0"	"112"	"国外"	"--"	"19.9"	"--"	"L0000018"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"6.30"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00132"	"丛生"	"--"	"--"	"1.1"	"--"	"--"	"61.4"	"白"	"--"	"--"	"--"	"1.6"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"52.6"																																																				
"19"	"--"	"Leguminosae(豆科)"	"K78"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"7.4"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"16.7"	"112"	"国外"	"--"	"16.5"	"--"	"L0000019"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"倒卵"	"--"	"--"	"白"	"6.30"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00133"	"丛生"	"--"	"--"	"1.4"	"--"	"--"	"51.0"	"白"	"--"	"--"	"--"	"2.3"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"ICARDA"	"55.1"																																																				
"20"	"--"	"Leguminosae(豆科)"	"K106"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"7.6"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"13.7"	"119"	"国外"	"--"	"12.4"	"--"	"L0000020"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"7.07"	"--"	"Cicer(鹰嘴豆属)"	"--"	"--"	"丛生"	"伊朗"	"--"	"1.3"	"--"	"--"	"57.8"	"白"	"--"	"--"	"--"	"1.9"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"美国"	"68.9"																																																				
"21"	"--"	"Leguminosae(豆科)"	"K107"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"5.4"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"15.4"	"119"	"国外"	"--"	"15.9"	"--"	"L0000021"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"7.07"	"--"	"Cicer(鹰嘴豆属)"	"--"	"--"	"丛生"	"伊朗"	"--"	"1.5"	"--"	"--"	"32.0"	"白"	"--"	"--"	"--"	"2.2"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"美国"	"73.3"																																																				
"22"	"0.27"	"Leguminosae(豆科)"	"K82"	"--"	"3.34"	"3.10"	"无限"	"1.52"	"0.85"	"16.4"	"18.99"	"0.58"	"2.24"	"0.89"	"国外"	"0.18"	"5.66"	"0.49"	"24.1"	"115"	"国外"	"48.15"	"23.3"	"0.77"	"L0000022"	"1.20"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"0.21"	"35.35"	"白"	"7.03"	"19.27"	"Cicer(鹰嘴豆属)"	"1.50"	"I2N00134"	"丛生"	"美国"	"0.78"	"1.0"	"0.89"	"12.80"	"82.1"	"白"	"--"	"0.89"	"1.44"	"2.2"	"0.95"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"美国"	"53.8"																																																				
"23"	"--"	"Leguminosae(豆科)"	"K111"	"--"	"--"	"3.10"	"无限"	"--"	"--"	"8.9"	"--"	"--"	"--"	"--"	"国外"	"--"	"--"	"--"	"16.1"	"119"	"国外"	"--"	"21.4"	"--"	"L0000023"	"--"	"Cicer arietinum L.(鹰嘴豆)"	"桃形"	"--"	"--"	"白"	"7.07"	"--"	"Cicer(鹰嘴豆属)"	"--"	"I2N00135"	"丛生"	"美国"	"--"	"1.0"	"--"	"--"	"42.0"	"白"	"--"	"--"	"--"	"2.3"	"--"	"中国农科院品资所"	"黄"	"鹰嘴豆"	"美国"	"78.9"																																																				
